♦K, ♥8, ♥5, ♣7, ♠7 | pair
♣7, ♥4, ♥10, ♠2, ♥2 | pair
♣7, ♥4, ♥10, ♠2, ♠7 | pair
♣7, ♥4, ♥10, ♥2, ♠7 | pair
♣7, ♥4, ♥10, ♠7, ♦5 | pair
♣7, ♥4, ♦6, ♦9, ♠7 | pair
♣7, ♥4, ♦6, ♠2, ♥2 | pair
♣7, ♥4, ♦6, ♠2, ♠7 | pair
♣7, ♥4, ♦6, ♥2, ♠7 | pair
♣7, ♥4, ♦6, ♠7, ♦5 | pair
♣7, ♥4, ♦9, ♠2, ♥2 | pair
♣7, ♥4, ♦9, ♠2, ♠7 | pair
♣7, ♥4, ♦9, ♥2, ♠7 | pair
♣7, ♥4, ♦9, ♠7, ♦5 | pair
♣7, ♥4, ♠2, ♥2, ♠7 | two pairs
♣7, ♥4, ♠2, ♥2, ♦5 | pair
♣7, ♥4, ♠2, ♠7, ♦5 | pair
♣7, ♥4, ♥2, ♠7, ♦5 | pair
♣7, ♦4, ♥10, ♦6, ♠7 | pair
♣7, ♦4, ♥10, ♦9, ♠7 | pair
♣7, ♦4, ♥10, ♠2, ♥2 | pair
♣7, ♦4, ♥10, ♠2, ♠7 | pair
♣7, ♦4, ♥10, ♥2, ♠7 | pair
♣7, ♦4, ♥10, ♠7, ♦5 | pair
♣7, ♦4, ♦6, ♦9, ♠7 | pair
♣7, ♦4, ♦6, ♠2, ♥2 | pair
♣7, ♦4, ♦6, ♠2, ♠7 | pair
♣7, ♦4, ♦6, ♥2, ♠7 | pair
♣7, ♦4, ♦6, ♠7, ♦5 | pair
♣7, ♦4, ♦9, ♠2, ♥2 | pair
♣7, ♦4, ♦9, ♠2, ♠7 | pair
♣7, ♦4, ♦9, ♥2, ♠7 | pair
♣7, ♦4, ♦9, ♠7, ♦5 | pair
♣7, ♦4, ♠2, ♥2, ♠7 | two pairs
♣7, ♦4, ♠2, ♥2, ♦5 | pair
♣7, ♦4, ♠2, ♠7, ♦5 | pair
♣7, ♦4, ♥2, ♠7, ♦5 | pair
♣7, ♥10, ♦6, ♦9, ♠7 | pair
♣7, ♥10, ♦6, ♠2, ♥2 | pair
♣7, ♥10, ♦6, ♠2, ♠7 | pair
♣7, ♥10, ♦6, ♥2, ♠7 | pair
♣7, ♥10, ♦6, ♠7, ♦5 | pair
♣7, ♥10, ♦9, ♠2, ♥2 | pair
♣7, ♥10, ♦9, ♠2, ♠7 | pair
♣7, ♥10, ♦9, ♥2, ♠7 | pair
♣7, ♥10, ♦9, ♠7, ♦5 | pair
♣7, ♥10, ♠2, ♥2, ♠7 | two pairs
♣7, ♥10, ♠2, ♥2, ♦5 | pair
♣7, ♥10, ♠2, ♠7, ♦5 | pair
♣7, ♥10, ♥2, ♠7, ♦5 | pair
♣7, ♦6, ♦9, ♠2, ♥2 | pair
♣7, ♦6, ♦9, ♠2, ♠7 | pair
♣7, ♦6, ♦9, ♥2, ♠7 | pair
♣7, ♦6, ♦9, ♠7, ♦5 | pair
♣7, ♦6, ♠2, ♥2, ♠7 | two pairs
♣7, ♦6, ♠2, ♥2, ♦5 | pair
♣7, ♦6, ♠2, ♠7, ♦5 | pair
♣7, ♦6, ♥2, ♠7, ♦5 | pair
♣7, ♦9, ♠2, ♥2, ♠7 | two pairs
♣7, ♦9, ♠2, ♥2, ♦5 | pair
♣7, ♦9, ♠2, ♠7, ♦5 | pair
♣7, ♦9, ♥2, ♠7, ♦5 | pair
♣7, ♠2, ♥2, ♠7, ♦5 | two pairs
♥4, ♦4, ♥10, ♦6, ♦9 | pair
♥4, ♦4, ♥10, ♦6, ♠2 | pair
♥4, ♦4, ♥10, ♦6, ♥2 | pair
♥4, ♦4, ♥10, ♦6, ♠7 | pair
♥4, ♦4, ♥10, ♦6, ♦5 | pair
♥4, ♦4, ♥10, ♦9, ♠2 | pair
♥4, ♦4, ♥10, ♦9, ♥2 | pair
♥4, ♦4, ♥10, ♦9, ♠7 | pair
♥4, ♦4, ♥10, ♦9, ♦5 | pair
♥4, ♦4, ♥10, ♠2, ♥2 | two pairs
♥4, ♦4, ♥10, ♠2, ♠7 | pair
♥4, ♦4, ♥10, ♠2, ♦5 | pair
♥4, ♦4, ♥10, ♥2, ♠7 | pair
♥4, ♦4, ♥10, ♥2, ♦5 | pair
♥4, ♦4, ♥10, ♠7, ♦5 | pair
♥4, ♦4, ♦6, ♦9, ♠2 | pair
♥4, ♦4, ♦6, ♦9, ♥2 | pair
♥4, ♦4, ♦6, ♦9, ♠7 | pair
♥4, ♦4, ♦6, ♦9, ♦5 | pair
♥4, ♦4, ♦6, ♠2, ♥2 | two pairs
♥4, ♦4, ♦6, ♠2, ♠7 | pair
♥4, ♦4, ♦6, ♠2, ♦5 | pair
♥4, ♦4, ♦6, ♥2, ♠7 | pair
♥4, ♦4, ♦6, ♥2, ♦5 | pair
♥4, ♦4, ♦6, ♠7, ♦5 | pair
♥4, ♦4, ♦9, ♠2, ♥2 | two pairs
♥4, ♦4, ♦9, ♠2, ♠7 | pair
♥4, ♦4, ♦9, ♠2, ♦5 | pair
♥4, ♦4, ♦9, ♥2, ♠7 | pair
♥4, ♦4, ♦9, ♥2, ♦5 | pair
♥4, ♦4, ♦9, ♠7, ♦5 | pair
♥4, ♦4, ♠2, ♥2, ♠7 | two pairs
♥4, ♦4, ♠2, ♥2, ♦5 | two pairs
♥4, ♦4, ♠2, ♠7, ♦5 | pair
♥4, ♦4, ♥2, ♠7, ♦5 | pair
♥4, ♥10, ♦6, ♠2, ♥2 | pair
♥4, ♥10, ♦9, ♠2, ♥2 | pair
♥4, ♥10, ♠2, ♥2, ♠7 | pair
♥4, ♥10, ♠2, ♥2, ♦5 | pair
♥4, ♦6, ♦9, ♠2, ♥2 | pair
♥4, ♦6, ♠2, ♥2, ♠7 | pair
♥4, ♦6, ♠2, ♥2, ♦5 | pair
♥4, ♦9, ♠2, ♥2, ♠7 | pair
♥4, ♦9, ♠2, ♥2, ♦5 | pair
♥4, ♠2, ♥2, ♠7, ♦5 | pair
♦4, ♥10, ♦6, ♠2, ♥2 | pair
♦4, ♥10, ♦9, ♠2, ♥2 | pair
♦4, ♥10, ♠2, ♥2, ♠7 | pair
♦4, ♥10, ♠2, ♥2, ♦5 | pair
♦4, ♦6, ♦9, ♠2, ♥2 | pair
♦4, ♦6, ♠2, ♥2, ♠7 | pair
♦4, ♦6, ♠2, ♥2, ♦5 | pair
♦4, ♦9, ♠2, ♥2, ♠7 | pair
♦4, ♦9, ♠2, ♥2, ♦5 | pair
♦4, ♠2, ♥2, ♠7, ♦5 | pair
♥10, ♦6, ♦9, ♠2, ♥2 | pair
♥10, ♦6, ♠2, ♥2, ♠7 | pair
♥10, ♦6, ♠2, ♥2, ♦5 | pair
♥10, ♦9, ♠2, ♥2, ♠7 | pair
♥10, ♦9, ♠2, ♥2, ♦5 | pair
♥10, ♠2, ♥2, ♠7, ♦5 | pair
♦6, ♦9, ♠2, ♥2, ♠7 | pair
♦6, ♦9, ♠2, ♥2, ♦5 | pair
♦6, ♠2, ♥2, ♠7, ♦5 | pair
♦9, ♠2, ♥2, ♠7, ♦5 | pair
