♠7,♣10,♦5,♥A,♠10 | Pair
♥A,♣6,♣4,♥8,♥A | Pair
♥A,♣6,♣4,♥8,♦8 | Pair
♥A,♣6,♣4,♥A,♦8 | Pair
♥A,♣6,♠10,♥8,♥A | Pair
♥A,♣6,♠10,♥8,♦8 | Pair
♥A,♣6,♠10,♥A,♦8 | Pair
♥A,♣6,♥8,♥A,♦8 | Pair
♥A,♣6,♥8,♥A,♦8 | Pair
♥A,♦2,♣4,♠10,♥A | Pair
♥A,♦2,♣4,♥8,♥A | Pair
♥A,♦2,♣4,♥8,♦8 | Pair
♥A,♦2,♣4,♥A,♦8 | Pair
♥A,♦2,♠10,♥8,♥A | Pair
♥A,♦2,♠10,♥8,♦8 | Pair
♥A,♦2,♠10,♥A,♦8 | Pair
♥A,♦2,♥8,♥A,♦8 | Pair
♥A,♦2,♥8,♥A,♦8 | Pair
♥A,♣4,♠10,♥8,♥A | Pair
♥A,♣4,♠10,♥8,♦8 | Pair
♥A,♣4,♠10,♥A,♦8 | Pair
♥A,♣4,♥8,♥A,♦8 | Pair
♥A,♣4,♥8,♥A,♦8 | Pair
♥A,♠10,♥8,♥A,♦8 | Pair
♥A,♠10,♥8,♥A,♦8 | Pair
♣3,♦2,♣6,♦2,♣4 | Pair
♣3,♦2,♣6,♦2,♠10 | Pair
♣3,♦2,♣6,♦2,♥8 | Pair
♣3,♦2,♣6,♦2,♥A | Pair
♣3,♦2,♣6,♦2,♦8 | Pair
♣3,♦2,♣6,♥8,♦8 | Pair
♣3,♦2,♦2,♣4,♠10 | Pair
♣3,♦2,♦2,♣4,♥8 | Pair
♣3,♦2,♦2,♣4,♥A | Pair
♣3,♦2,♦2,♣4,♦8 | Pair
♣3,♦2,♦2,♠10,♥8 | Pair
♣3,♦2,♦2,♠10,♥A | Pair
♣3,♦2,♦2,♠10,♦8 | Pair
♣3,♦2,♦2,♥8,♥A | Pair
♣3,♦2,♦2,♥8,♦8 | Pair
♣3,♦2,♦2,♥8,♦8 | Pair
♣3,♦2,♦2,♥A,♦8 | Pair
♣3,♦2,♣4,♥8,♦8 | Pair
♣3,♦2,♠10,♥8,♦8 | Pair
♣3,♦2,♥8,♥A,♦8 | Pair
♣3,♣6,♦2,♥8,♦8 | Pair
♣3,♣6,♣4,♥8,♦8 | Pair
♣3,♣6,♠10,♥8,♦8 | Pair
♣3,♣6,♥8,♥A,♦8 | Pair
♣3,♦2,♣4,♥8,♦8 | Pair
♣3,♦2,♠10,♥8,♦8 | Pair
♣3,♦2,♥8,♥A,♦8 | Pair
♣3,♣4,♠10,♥8,♦8 | Pair
♣3,♣4,♥8,♥A,♦8 | Pair
♣3,♠10,♥8,♥A,♦8 | Pair
♦2,♣6,♦2,♣4,♠10 | Pair
♦2,♣6,♦2,♣4,♥8 | Pair
♦2,♣6,♦2,♣4,♥A | Pair
♦2,♣6,♦2,♣4,♦8 | Pair
♦2,♣6,♦2,♠10,♥8 | Pair
♦2,♣6,♦2,♠10,♥A | Pair
♦2,♣6,♦2,♠10,♦8 | Pair
♦2,♣6,♦2,♥8,♥A | Pair
♦2,♣6,♦2,♥8,♦8 | Pair
♦2,♣6,♦2,♥8,♦8 | Pair
♦2,♣6,♦2,♥A,♦8 | Pair
♦2,♣6,♣4,♥8,♦8 | Pair
♦2,♣6,♠10,♥8,♦8 | Pair
♦2,♣6,♥8,♥A,♦8 | Pair
♦2,♦2,♣4,♠10,♥8 | Pair
♦2,♦2,♣4,♠10,♥A | Pair
♦2,♦2,♣4,♠10,♦8 | Pair
♦2,♦2,♣4,♥8,♥A | Pair
♦2,♦2,♣4,♥8,♦8 | Pair
♦2,♦2,♣4,♥8,♦8 | Pair
♦2,♦2,♣4,♥A,♦8 | Pair
♦2,♦2,♠10,♥8,♥A | Pair
♦2,♦2,♠10,♥8,♦8 | Pair
♦2,♦2,♠10,♥8,♦8 | Pair
♦2,♦2,♠10,♥A,♦8 | Pair
♦2,♦2,♥8,♥A,♦8 | Pair
♦2,♦2,♥8,♥A,♦8 | Pair
♦2,♣4,♠10,♥8,♦8 | Pair
♦2,♣4,♥8,♥A,♦8 | Pair
♦2,♠10,♥8,♥A,♦8 | Pair
♣6,♦2,♣4,♥8,♦8 | Pair
♣6,♦2,♠10,♥8,♦8 | Pair
♣6,♦2,♥8,♥A,♦8 | Pair
♣6,♣4,♠10,♥8,♦8 | Pair
♣6,♣4,♥8,♥A,♦8 | Pair
♣6,♠10,♥8,♥A,♦8 | Pair
♦2,♣4,♠10,♥8,♦8 | Pair
♦2,♣4,♥8,♥A,♦8 | Pair
♦2,♠10,♥8,♥A,♦8 | Pair
♣4,♠10,♥8,♥A,♦8 | Pair
