♥K,♥A,♣4,♠K,♦8 | Pair
♦8,♥7,♦T,♦A,♠7 | Pair
♦8,♥7,♦T,♣7,♦K | Pair
♦8,♥7,♦T,♣7,♠7 | Full House
♦8,♥7,♦T,♣7,♦2 | Pair
♦8,♥7,♦T,♦K,♠7 | Pair
♦8,♥7,♦T,♠7,♦2 | Pair
♦8,♥7,♦A,♣7,♦K | Pair
♦8,♥7,♦A,♣7,♠7 | Full House
♦8,♥7,♦A,♣7,♦2 | Pair
♦8,♥7,♦A,♦K,♠7 | Pair
♦8,♥7,♦A,♠7,♦2 | Pair
♦8,♥7,♣7,♦K,♠7 | Full House
♦8,♥7,♣7,♦K,♦2 | Pair
♦8,♥7,♣7,♠7,♦2 | Full House
♦8,♥7,♦K,♠7,♦2 | Pair
♦8,♦T,♦A,♣7,♠7 | Pair
♦8,♦T,♦A,♦K,♦2 | Flush
♦8,♦T,♣7,♦K,♠7 | Pair
♦8,♦T,♣7,♠7,♦2 | Pair
♦8,♦A,♣7,♦K,♠7 | Pair
♦8,♦A,♣7,♠7,♦2 | Pair
♦8,♣7,♦K,♠7,♦2 | Pair
♥7,♦T,♦A,♣7,♦K | Pair
♥7,♦T,♦A,♣7,♠7 | Full House
♥7,♦T,♦A,♣7,♦2 | Pair
♥7,♦T,♦A,♦K,♠7 | Pair
♥7,♦T,♦A,♠7,♦2 | Pair
♥7,♦T,♣7,♦K,♠7 | Full House
♥7,♦T,♣7,♦K,♦2 | Pair
♥7,♦T,♣7,♠7,♦2 | Full House
♥7,♦T,♦K,♠7,♦2 | Pair
♥7,♦A,♣7,♦K,♠7 | Full House
♥7,♦A,♣7,♦K,♦2 | Pair
♥7,♦A,♣7,♠7,♦2 | Full House
♥7,♦A,♦K,♠7,♦2 | Pair
♥7,♣7,♦K,♠7,♦2 | Full House
♦T,♦A,♣7,♦K,♠7 | Pair
♦T,♦A,♣7,♠7,♦2 | Pair
♦T,♣7,♦K,♠7,♦2 | Pair
♦A,♣7,♦K,♠7,♦2 | Pair
