♠5, ♣J, ♣2, ♣6, ♦2 | pair
♣2, ♦2, ♠9, ♠K, ♠10 | pair
♣2, ♦2, ♠9, ♠K, ♠4 | pair
♣2, ♦2, ♠9, ♠K, ♥2 | three of a kind
♣2, ♦2, ♠9, ♠10, ♠4 | pair
♣2, ♦2, ♠9, ♠10, ♥2 | three of a kind
♣2, ♦2, ♠9, ♠4, ♥2 | three of a kind
♣2, ♦2, ♠K, ♠10, ♠4 | pair
♣2, ♦2, ♠K, ♠10, ♥2 | three of a kind
♣2, ♦2, ♠K, ♠4, ♥2 | three of a kind
♣2, ♦2, ♠10, ♠4, ♥2 | three of a kind
♣2, ♦3, ♣9, ♠9, ♠K | pair
♣2, ♦3, ♣9, ♠9, ♠10 | pair
♣2, ♦3, ♣9, ♠9, ♠4 | pair
♣2, ♦3, ♣9, ♠9, ♥2 | two pairs
♣2, ♦3, ♣9, ♠K, ♥2 | pair
♣2, ♦3, ♣9, ♠10, ♥2 | pair
♣2, ♦3, ♣9, ♠4, ♥2 | pair
♣2, ♦3, ♠9, ♠K, ♥2 | pair
♣2, ♦3, ♠9, ♠10, ♥2 | pair
♣2, ♦3, ♠9, ♠4, ♥2 | pair
♣2, ♦3, ♠K, ♠10, ♥2 | pair
♣2, ♦3, ♠K, ♠4, ♥2 | pair
♣2, ♦3, ♠10, ♠4, ♥2 | pair
♣2, ♣9, ♠9, ♠K, ♠10 | pair
♣2, ♣9, ♠9, ♠K, ♠4 | pair
♣2, ♣9, ♠9, ♠K, ♥2 | two pairs
♣2, ♣9, ♠9, ♠10, ♠4 | pair
♣2, ♣9, ♠9, ♠10, ♥2 | two pairs
♣2, ♣9, ♠9, ♠4, ♥2 | two pairs
♣2, ♣9, ♠K, ♠10, ♥2 | pair
♣2, ♣9, ♠K, ♠4, ♥2 | pair
♣2, ♣9, ♠10, ♠4, ♥2 | pair
♣2, ♠9, ♠K, ♠10, ♥2 | pair
♣2, ♠9, ♠K, ♠4, ♥2 | pair
♣2, ♠9, ♠10, ♠4, ♥2 | pair
♣2, ♠K, ♠10, ♠4, ♥2 | pair
♣6, ♥K, ♦2, ♦3, ♠K | pair
♣6, ♥K, ♦2, ♦3, ♥2 | pair
♣6, ♥K, ♦2, ♣9, ♠9 | pair
♣6, ♥K, ♦2, ♣9, ♠K | pair
♣6, ♥K, ♦2, ♣9, ♥2 | pair
♣6, ♥K, ♦2, ♠9, ♠K | pair
♣6, ♥K, ♦2, ♠9, ♥2 | pair
♣6, ♥K, ♦2, ♠K, ♠10 | pair
♣6, ♥K, ♦2, ♠K, ♠4 | pair
♣6, ♥K, ♦2, ♠K, ♥2 | two pairs
♣6, ♥K, ♦2, ♠10, ♥2 | pair
♣6, ♥K, ♦2, ♠4, ♥2 | pair
♣6, ♥K, ♦3, ♣9, ♠9 | pair
♣6, ♥K, ♦3, ♣9, ♠K | pair
♣6, ♥K, ♦3, ♠9, ♠K | pair
♣6, ♥K, ♦3, ♠K, ♠10 | pair
♣6, ♥K, ♦3, ♠K, ♠4 | pair
♣6, ♥K, ♦3, ♠K, ♥2 | pair
♣6, ♥K, ♣9, ♠9, ♠K | two pairs
♣6, ♥K, ♣9, ♠9, ♠10 | pair
♣6, ♥K, ♣9, ♠9, ♠4 | pair
♣6, ♥K, ♣9, ♠9, ♥2 | pair
♣6, ♥K, ♣9, ♠K, ♠10 | pair
♣6, ♥K, ♣9, ♠K, ♠4 | pair
♣6, ♥K, ♣9, ♠K, ♥2 | pair
♣6, ♥K, ♠9, ♠K, ♠10 | pair
♣6, ♥K, ♠9, ♠K, ♠4 | pair
♣6, ♥K, ♠9, ♠K, ♥2 | pair
♣6, ♥K, ♠K, ♠10, ♠4 | pair
♣6, ♥K, ♠K, ♠10, ♥2 | pair
♣6, ♥K, ♠K, ♠4, ♥2 | pair
♣6, ♦2, ♦3, ♣9, ♠9 | pair
♣6, ♦2, ♦3, ♣9, ♥2 | pair
♣6, ♦2, ♦3, ♠9, ♥2 | pair
♣6, ♦2, ♦3, ♠K, ♥2 | pair
♣6, ♦2, ♦3, ♠10, ♥2 | pair
♣6, ♦2, ♦3, ♠4, ♥2 | pair
♣6, ♦2, ♣9, ♠9, ♠K | pair
♣6, ♦2, ♣9, ♠9, ♠10 | pair
♣6, ♦2, ♣9, ♠9, ♠4 | pair
♣6, ♦2, ♣9, ♠9, ♥2 | two pairs
♣6, ♦2, ♣9, ♠K, ♥2 | pair
♣6, ♦2, ♣9, ♠10, ♥2 | pair
♣6, ♦2, ♣9, ♠4, ♥2 | pair
♣6, ♦2, ♠9, ♠K, ♥2 | pair
♣6, ♦2, ♠9, ♠10, ♥2 | pair
♣6, ♦2, ♠9, ♠4, ♥2 | pair
♣6, ♦2, ♠K, ♠10, ♥2 | pair
♣6, ♦2, ♠K, ♠4, ♥2 | pair
♣6, ♦2, ♠10, ♠4, ♥2 | pair
♣6, ♦3, ♣9, ♠9, ♠K | pair
♣6, ♦3, ♣9, ♠9, ♠10 | pair
♣6, ♦3, ♣9, ♠9, ♠4 | pair
♣6, ♦3, ♣9, ♠9, ♥2 | pair
♣6, ♣9, ♠9, ♠K, ♠10 | pair
♣6, ♣9, ♠9, ♠K, ♠4 | pair
♣6, ♣9, ♠9, ♠K, ♥2 | pair
♣6, ♣9, ♠9, ♠10, ♠4 | pair
♣6, ♣9, ♠9, ♠10, ♥2 | pair
♣6, ♣9, ♠9, ♠4, ♥2 | pair
♥K, ♦2, ♦3, ♣9, ♠9 | pair
♥K, ♦2, ♦3, ♣9, ♠K | pair
♥K, ♦2, ♦3, ♣9, ♥2 | pair
♥K, ♦2, ♦3, ♠9, ♠K | pair
♥K, ♦2, ♦3, ♠9, ♥2 | pair
♥K, ♦2, ♦3, ♠K, ♠10 | pair
♥K, ♦2, ♦3, ♠K, ♠4 | pair
♥K, ♦2, ♦3, ♠K, ♥2 | two pairs
♥K, ♦2, ♦3, ♠10, ♥2 | pair
♥K, ♦2, ♦3, ♠4, ♥2 | pair
♥K, ♦2, ♣9, ♠9, ♠K | two pairs
♥K, ♦2, ♣9, ♠9, ♠10 | pair
♥K, ♦2, ♣9, ♠9, ♠4 | pair
♥K, ♦2, ♣9, ♠9, ♥2 | two pairs
♥K, ♦2, ♣9, ♠K, ♠10 | pair
♥K, ♦2, ♣9, ♠K, ♠4 | pair
♥K, ♦2, ♣9, ♠K, ♥2 | two pairs
♥K, ♦2, ♣9, ♠10, ♥2 | pair
♥K, ♦2, ♣9, ♠4, ♥2 | pair
♥K, ♦2, ♠9, ♠K, ♠10 | pair
♥K, ♦2, ♠9, ♠K, ♠4 | pair
♥K, ♦2, ♠9, ♠K, ♥2 | two pairs
♥K, ♦2, ♠9, ♠10, ♥2 | pair
♥K, ♦2, ♠9, ♠4, ♥2 | pair
♥K, ♦2, ♠K, ♠10, ♠4 | pair
♥K, ♦2, ♠K, ♠10, ♥2 | two pairs
♥K, ♦2, ♠K, ♠4, ♥2 | two pairs
♥K, ♦2, ♠10, ♠4, ♥2 | pair
♥K, ♦3, ♣9, ♠9, ♠K | two pairs
♥K, ♦3, ♣9, ♠9, ♠10 | pair
♥K, ♦3, ♣9, ♠9, ♠4 | pair
♥K, ♦3, ♣9, ♠9, ♥2 | pair
♥K, ♦3, ♣9, ♠K, ♠10 | pair
♥K, ♦3, ♣9, ♠K, ♠4 | pair
♥K, ♦3, ♣9, ♠K, ♥2 | pair
♥K, ♦3, ♠9, ♠K, ♠10 | pair
♥K, ♦3, ♠9, ♠K, ♠4 | pair
♥K, ♦3, ♠9, ♠K, ♥2 | pair
♥K, ♦3, ♠K, ♠10, ♠4 | pair
♥K, ♦3, ♠K, ♠10, ♥2 | pair
♥K, ♦3, ♠K, ♠4, ♥2 | pair
♥K, ♣9, ♠9, ♠K, ♠10 | two pairs
♥K, ♣9, ♠9, ♠K, ♠4 | two pairs
♥K, ♣9, ♠9, ♠K, ♥2 | two pairs
♥K, ♣9, ♠9, ♠10, ♠4 | pair
♥K, ♣9, ♠9, ♠10, ♥2 | pair
♥K, ♣9, ♠9, ♠4, ♥2 | pair
♥K, ♣9, ♠K, ♠10, ♠4 | pair
♥K, ♣9, ♠K, ♠10, ♥2 | pair
♥K, ♣9, ♠K, ♠4, ♥2 | pair
♥K, ♠9, ♠K, ♠10, ♠4 | pair
♥K, ♠9, ♠K, ♠10, ♥2 | pair
♥K, ♠9, ♠K, ♠4, ♥2 | pair
♥K, ♠K, ♠10, ♠4, ♥2 | pair
♦2, ♦3, ♣9, ♠9, ♠K | pair
♦2, ♦3, ♣9, ♠9, ♠10 | pair
♦2, ♦3, ♣9, ♠9, ♠4 | pair
♦2, ♦3, ♣9, ♠9, ♥2 | two pairs
♦2, ♦3, ♣9, ♠K, ♥2 | pair
♦2, ♦3, ♣9, ♠10, ♥2 | pair
♦2, ♦3, ♣9, ♠4, ♥2 | pair
♦2, ♦3, ♠9, ♠K, ♥2 | pair
♦2, ♦3, ♠9, ♠10, ♥2 | pair
♦2, ♦3, ♠9, ♠4, ♥2 | pair
♦2, ♦3, ♠K, ♠10, ♥2 | pair
♦2, ♦3, ♠K, ♠4, ♥2 | pair
♦2, ♦3, ♠10, ♠4, ♥2 | pair
♦2, ♣9, ♠9, ♠K, ♠10 | pair
♦2, ♣9, ♠9, ♠K, ♠4 | pair
♦2, ♣9, ♠9, ♠K, ♥2 | two pairs
♦2, ♣9, ♠9, ♠10, ♠4 | pair
♦2, ♣9, ♠9, ♠10, ♥2 | two pairs
♦2, ♣9, ♠9, ♠4, ♥2 | two pairs
♦2, ♣9, ♠K, ♠10, ♥2 | pair
♦2, ♣9, ♠K, ♠4, ♥2 | pair
♦2, ♣9, ♠10, ♠4, ♥2 | pair
♦2, ♠9, ♠K, ♠10, ♥2 | pair
♦2, ♠9, ♠K, ♠4, ♥2 | pair
♦2, ♠9, ♠10, ♠4, ♥2 | pair
♦2, ♠K, ♠10, ♠4, ♥2 | pair
♦3, ♣9, ♠9, ♠K, ♠10 | pair
♦3, ♣9, ♠9, ♠K, ♠4 | pair
♦3, ♣9, ♠9, ♠K, ♥2 | pair
♦3, ♣9, ♠9, ♠10, ♠4 | pair
♦3, ♣9, ♠9, ♠10, ♥2 | pair
♦3, ♣9, ♠9, ♠4, ♥2 | pair
♣9, ♠9, ♠K, ♠10, ♠4 | pair
♣9, ♠9, ♠K, ♠10, ♥2 | pair
♣9, ♠9, ♠K, ♠4, ♥2 | pair
♣9, ♠9, ♠10, ♠4, ♥2 | pair
