♥2, ♥7, ♣9, ♥8, ♠2 | pair
♣J, ♥4, ♣A, ♦4, ♠4 | three of a kind
♣J, ♥4, ♠K, ♦4, ♠4 | three of a kind
♣J, ♠2, ♠5, ♦4, ♠4 | pair
♣J, ♠2, ♥10, ♦4, ♠4 | pair
♣J, ♠2, ♣A, ♦4, ♠4 | pair
♣J, ♠2, ♠K, ♦4, ♠4 | pair
♣J, ♠5, ♥10, ♦4, ♠4 | pair
♣J, ♠5, ♣A, ♦4, ♠4 | pair
♣J, ♠5, ♠K, ♦4, ♠4 | pair
♣J, ♥10, ♣A, ♦4, ♠4 | pair
♣J, ♥10, ♠K, ♦4, ♠4 | pair
♣J, ♣A, ♠K, ♦4, ♠4 | pair
♥4, ♠2, ♠5, ♥10, ♦4 | pair
♥4, ♠2, ♠5, ♥10, ♠4 | pair
♥4, ♠2, ♠5, ♣A, ♦4 | pair
♥4, ♠2, ♠5, ♣A, ♠4 | pair
♥4, ♠2, ♠5, ♠K, ♦4 | pair
♥4, ♠2, ♠5, ♠K, ♠4 | pair
♥4, ♠2, ♠5, ♦4, ♠4 | three of a kind
♥4, ♠2, ♥10, ♣A, ♦4 | pair
♥4, ♠2, ♥10, ♣A, ♠4 | pair
♥4, ♠2, ♥10, ♠K, ♦4 | pair
♥4, ♠2, ♥10, ♠K, ♠4 | pair
♥4, ♠2, ♥10, ♦4, ♠4 | three of a kind
♥4, ♠2, ♣A, ♠K, ♦4 | pair
♥4, ♠2, ♣A, ♠K, ♠4 | pair
♥4, ♠2, ♣A, ♦4, ♠4 | three of a kind
♥4, ♠2, ♠K, ♦4, ♠4 | three of a kind
♥4, ♠5, ♥10, ♣A, ♦4 | pair
♥4, ♠5, ♥10, ♣A, ♠4 | pair
♥4, ♠5, ♥10, ♠K, ♦4 | pair
♥4, ♠5, ♥10, ♠K, ♠4 | pair
♥4, ♠5, ♥10, ♦4, ♠4 | three of a kind
♥4, ♠5, ♣A, ♠K, ♦4 | pair
♥4, ♠5, ♣A, ♠K, ♠4 | pair
♥4, ♠5, ♣A, ♦4, ♠4 | three of a kind
♥4, ♠5, ♠K, ♦4, ♠4 | three of a kind
♥4, ♥10, ♣A, ♠K, ♦4 | pair
♥4, ♥10, ♣A, ♠K, ♠4 | pair
♥4, ♥10, ♣A, ♦4, ♠4 | three of a kind
♥4, ♥10, ♠K, ♦4, ♠4 | three of a kind
♥4, ♣A, ♠K, ♦4, ♠4 | three of a kind
♠2, ♠5, ♥10, ♦4, ♠4 | pair
♠2, ♠5, ♣A, ♦4, ♠4 | pair
♠2, ♠5, ♠K, ♦4, ♠4 | pair
♠2, ♥10, ♣A, ♦4, ♠4 | pair
♠2, ♥10, ♠K, ♦4, ♠4 | pair
♠2, ♣A, ♠K, ♦4, ♠4 | pair
♠5, ♥10, ♣A, ♦4, ♠4 | pair
♠5, ♥10, ♠K, ♦4, ♠4 | pair
♠5, ♣A, ♠K, ♦4, ♠4 | pair
♥10, ♣A, ♠K, ♦4, ♠4 | pair
