♠8,♣4,♥9,♣J,♠J | Pair
♠3,♠Q,♦6,♣3,♠J | Pair
♠3,♠Q,♦6,♣3,♣T | Pair
♠3,♠Q,♠5,♣3,♠J | Pair
♠3,♠Q,♠5,♣3,♣T | Pair
♠3,♠Q,♣3,♠J,♣T | Pair
♠3,♦6,♠5,♣3,♠J | Pair
♠3,♦6,♠5,♣3,♣T | Pair
♠3,♦6,♣3,♠J,♣T | Pair
♠3,♠5,♣3,♠J,♣T | Pair
♦T,♣6,♠Q,♦6,♠5 | Pair
♦T,♣6,♠Q,♦6,♣3 | Pair
♦T,♣6,♠Q,♦6,♠J | Pair
♦T,♣6,♠Q,♦6,♣T | Two Pairs
♦T,♣6,♠Q,♠5,♣T | Pair
♦T,♣6,♠Q,♣3,♣T | Pair
♦T,♣6,♠Q,♠J,♣T | Pair
♦T,♣6,♦6,♠5,♣3 | Pair
♦T,♣6,♦6,♠5,♠J | Pair
♦T,♣6,♦6,♠5,♣T | Two Pairs
♦T,♣6,♦6,♣3,♠J | Pair
♦T,♣6,♦6,♣3,♣T | Two Pairs
♦T,♣6,♦6,♠J,♣T | Two Pairs
♦T,♣6,♠5,♣3,♣T | Pair
♦T,♣6,♠5,♠J,♣T | Pair
♦T,♣6,♣3,♠J,♣T | Pair
♦T,♠Q,♦6,♠5,♣T | Pair
♦T,♠Q,♦6,♣3,♣T | Pair
♦T,♠Q,♦6,♠J,♣T | Pair
♦T,♠Q,♠5,♣3,♣T | Pair
♦T,♠Q,♠5,♠J,♣T | Pair
♦T,♠Q,♣3,♠J,♣T | Pair
♦T,♦6,♠5,♣3,♣T | Pair
♦T,♦6,♠5,♠J,♣T | Pair
♦T,♦6,♣3,♠J,♣T | Pair
♦T,♠5,♣3,♠J,♣T | Pair
♣6,♠Q,♦6,♠5,♣3 | Pair
♣6,♠Q,♦6,♠5,♠J | Pair
♣6,♠Q,♦6,♠5,♣T | Pair
♣6,♠Q,♦6,♣3,♠J | Pair
♣6,♠Q,♦6,♣3,♣T | Pair
♣6,♠Q,♦6,♠J,♣T | Pair
♣6,♦6,♠5,♣3,♠J | Pair
♣6,♦6,♠5,♣3,♣T | Pair
♣6,♦6,♠5,♠J,♣T | Pair
♣6,♦6,♣3,♠J,♣T | Pair
