♠K, ♠8, ♣9, ♠5, ♥K | pair
♠K, ♣4, ♣7, ♣K, ♥6 | pair
♠K, ♣4, ♣7, ♣K, ♣8 | pair
♠K, ♣4, ♣7, ♣K, ♥7 | two pairs
♠K, ♣4, ♣7, ♣K, ♦8 | pair
♠K, ♣4, ♣7, ♥9, ♥7 | pair
♠K, ♣4, ♣7, ♥6, ♥7 | pair
♠K, ♣4, ♣7, ♣8, ♥7 | pair
♠K, ♣4, ♣7, ♣8, ♦8 | pair
♠K, ♣4, ♣7, ♥7, ♦8 | pair
♠K, ♣4, ♥K, ♣K, ♥9 | three of a kind
♠K, ♣4, ♥K, ♣K, ♥6 | three of a kind
♠K, ♣4, ♥K, ♣K, ♣8 | three of a kind
♠K, ♣4, ♥K, ♣K, ♥7 | three of a kind
♠K, ♣4, ♥K, ♣K, ♦8 | three of a kind
♠K, ♣4, ♥K, ♥9, ♥6 | pair
♠K, ♣4, ♥K, ♥9, ♣8 | pair
♠K, ♣4, ♥K, ♥9, ♥7 | pair
♠K, ♣4, ♥K, ♥9, ♦8 | pair
♠K, ♣4, ♥K, ♥6, ♣8 | pair
♠K, ♣4, ♥K, ♥6, ♥7 | pair
♠K, ♣4, ♥K, ♥6, ♦8 | pair
♠K, ♣4, ♥K, ♣8, ♥7 | pair
♠K, ♣4, ♥K, ♣8, ♦8 | two pairs
♠K, ♣4, ♥K, ♥7, ♦8 | pair
♠K, ♣4, ♣K, ♥9, ♥6 | pair
♠K, ♣4, ♣K, ♥9, ♣8 | pair
♠K, ♣4, ♣K, ♥9, ♥7 | pair
♠K, ♣4, ♣K, ♥9, ♦8 | pair
♠K, ♣4, ♣K, ♥6, ♣8 | pair
♠K, ♣4, ♣K, ♥6, ♥7 | pair
♠K, ♣4, ♣K, ♥6, ♦8 | pair
♠K, ♣4, ♣K, ♣8, ♥7 | pair
♠K, ♣4, ♣K, ♣8, ♦8 | two pairs
♠K, ♣4, ♣K, ♥7, ♦8 | pair
♠K, ♣4, ♥9, ♣8, ♦8 | pair
♠K, ♣4, ♥6, ♣8, ♦8 | pair
♠K, ♣4, ♣8, ♥7, ♦8 | pair
♠K, ♣7, ♥K, ♣K, ♥9 | three of a kind
♠K, ♣7, ♥K, ♣K, ♥6 | three of a kind
♠K, ♣7, ♥K, ♣K, ♣8 | three of a kind
♠K, ♣7, ♥K, ♣K, ♥7 | fullhouse
♠K, ♣7, ♥K, ♣K, ♦8 | three of a kind
♠K, ♣7, ♥K, ♥9, ♥6 | pair
♠K, ♣7, ♥K, ♥9, ♣8 | pair
♠K, ♣7, ♥K, ♥9, ♥7 | two pairs
♠K, ♣7, ♥K, ♥9, ♦8 | pair
♠K, ♣7, ♥K, ♥6, ♣8 | pair
♠K, ♣7, ♥K, ♥6, ♥7 | two pairs
♠K, ♣7, ♥K, ♥6, ♦8 | pair
♠K, ♣7, ♥K, ♣8, ♥7 | two pairs
♠K, ♣7, ♥K, ♣8, ♦8 | two pairs
♠K, ♣7, ♥K, ♥7, ♦8 | two pairs
♠K, ♣7, ♣K, ♥9, ♥6 | pair
♠K, ♣7, ♣K, ♥9, ♣8 | pair
♠K, ♣7, ♣K, ♥9, ♥7 | two pairs
♠K, ♣7, ♣K, ♥9, ♦8 | pair
♠K, ♣7, ♣K, ♥6, ♣8 | pair
♠K, ♣7, ♣K, ♥6, ♥7 | two pairs
♠K, ♣7, ♣K, ♥6, ♦8 | pair
♠K, ♣7, ♣K, ♣8, ♥7 | two pairs
♠K, ♣7, ♣K, ♣8, ♦8 | two pairs
♠K, ♣7, ♣K, ♥7, ♦8 | two pairs
♠K, ♣7, ♥9, ♥6, ♥7 | pair
♠K, ♣7, ♥9, ♣8, ♥7 | pair
♠K, ♣7, ♥9, ♣8, ♦8 | pair
♠K, ♣7, ♥9, ♥7, ♦8 | pair
♠K, ♣7, ♥6, ♣8, ♥7 | pair
♠K, ♣7, ♥6, ♣8, ♦8 | pair
♠K, ♣7, ♥6, ♥7, ♦8 | pair
♠K, ♣7, ♣8, ♥7, ♦8 | two pairs
♠K, ♥K, ♣K, ♥9, ♥6 | three of a kind
♠K, ♥K, ♣K, ♥9, ♣8 | three of a kind
♠K, ♥K, ♣K, ♥9, ♥7 | three of a kind
♠K, ♥K, ♣K, ♥9, ♦8 | three of a kind
♠K, ♥K, ♣K, ♥6, ♣8 | three of a kind
♠K, ♥K, ♣K, ♥6, ♥7 | three of a kind
♠K, ♥K, ♣K, ♥6, ♦8 | three of a kind
♠K, ♥K, ♣K, ♣8, ♥7 | three of a kind
♠K, ♥K, ♣K, ♣8, ♦8 | fullhouse
♠K, ♥K, ♣K, ♥7, ♦8 | three of a kind
♠K, ♥K, ♥9, ♥6, ♣8 | pair
♠K, ♥K, ♥9, ♥6, ♥7 | pair
♠K, ♥K, ♥9, ♥6, ♦8 | pair
♠K, ♥K, ♥9, ♣8, ♥7 | pair
♠K, ♥K, ♥9, ♣8, ♦8 | two pairs
♠K, ♥K, ♥9, ♥7, ♦8 | pair
♠K, ♥K, ♥6, ♣8, ♥7 | pair
♠K, ♥K, ♥6, ♣8, ♦8 | two pairs
♠K, ♥K, ♥6, ♥7, ♦8 | pair
♠K, ♥K, ♣8, ♥7, ♦8 | two pairs
♠K, ♣K, ♥9, ♥6, ♣8 | pair
♠K, ♣K, ♥9, ♥6, ♥7 | pair
♠K, ♣K, ♥9, ♥6, ♦8 | pair
♠K, ♣K, ♥9, ♣8, ♥7 | pair
♠K, ♣K, ♥9, ♣8, ♦8 | two pairs
♠K, ♣K, ♥9, ♥7, ♦8 | pair
♠K, ♣K, ♥6, ♣8, ♥7 | pair
♠K, ♣K, ♥6, ♣8, ♦8 | two pairs
♠K, ♣K, ♥6, ♥7, ♦8 | pair
♠K, ♣K, ♣8, ♥7, ♦8 | two pairs
♠K, ♥9, ♥6, ♣8, ♦8 | pair
♠K, ♥9, ♣8, ♥7, ♦8 | pair
♠K, ♥6, ♣8, ♥7, ♦8 | pair
♠8, ♣9, ♠5, ♠7, ♣7 | pair
♠8, ♣9, ♠5, ♠7, ♥9 | pair
♠8, ♣9, ♠5, ♠7, ♥6 | straight
♠8, ♣9, ♠5, ♠7, ♣8 | pair
♠8, ♣9, ♠5, ♠7, ♥7 | pair
♠8, ♣9, ♠5, ♠7, ♦8 | pair
♠8, ♣9, ♠5, ♣4, ♥9 | pair
♠8, ♣9, ♠5, ♣4, ♣8 | pair
♠8, ♣9, ♠5, ♣4, ♦8 | pair
♠8, ♣9, ♠5, ♣7, ♥9 | pair
♠8, ♣9, ♠5, ♣7, ♥6 | straight
♠8, ♣9, ♠5, ♣7, ♣8 | pair
♠8, ♣9, ♠5, ♣7, ♥7 | pair
♠8, ♣9, ♠5, ♣7, ♦8 | pair
♠8, ♣9, ♠5, ♥K, ♣K | pair
♠8, ♣9, ♠5, ♥K, ♥9 | pair
♠8, ♣9, ♠5, ♥K, ♣8 | pair
♠8, ♣9, ♠5, ♥K, ♦8 | pair
♠8, ♣9, ♠5, ♣K, ♥9 | pair
♠8, ♣9, ♠5, ♣K, ♣8 | pair
♠8, ♣9, ♠5, ♣K, ♦8 | pair
♠8, ♣9, ♠5, ♥9, ♥6 | pair
♠8, ♣9, ♠5, ♥9, ♣8 | two pairs
♠8, ♣9, ♠5, ♥9, ♥7 | pair
♠8, ♣9, ♠5, ♥9, ♦8 | two pairs
♠8, ♣9, ♠5, ♥6, ♣8 | pair
♠8, ♣9, ♠5, ♥6, ♥7 | straight
♠8, ♣9, ♠5, ♥6, ♦8 | pair
♠8, ♣9, ♠5, ♣8, ♥7 | pair
♠8, ♣9, ♠5, ♣8, ♦8 | three of a kind
♠8, ♣9, ♠5, ♥7, ♦8 | pair
♠8, ♣9, ♠7, ♣4, ♣7 | pair
♠8, ♣9, ♠7, ♣4, ♥9 | pair
♠8, ♣9, ♠7, ♣4, ♣8 | pair
♠8, ♣9, ♠7, ♣4, ♥7 | pair
♠8, ♣9, ♠7, ♣4, ♦8 | pair
♠8, ♣9, ♠7, ♣7, ♥K | pair
♠8, ♣9, ♠7, ♣7, ♣K | pair
♠8, ♣9, ♠7, ♣7, ♥9 | two pairs
♠8, ♣9, ♠7, ♣7, ♥6 | pair
♠8, ♣9, ♠7, ♣7, ♣8 | two pairs
♠8, ♣9, ♠7, ♣7, ♥7 | three of a kind
♠8, ♣9, ♠7, ♣7, ♦8 | two pairs
♠8, ♣9, ♠7, ♥K, ♣K | pair
♠8, ♣9, ♠7, ♥K, ♥9 | pair
♠8, ♣9, ♠7, ♥K, ♣8 | pair
♠8, ♣9, ♠7, ♥K, ♥7 | pair
♠8, ♣9, ♠7, ♥K, ♦8 | pair
♠8, ♣9, ♠7, ♣K, ♥9 | pair
♠8, ♣9, ♠7, ♣K, ♣8 | pair
♠8, ♣9, ♠7, ♣K, ♥7 | pair
♠8, ♣9, ♠7, ♣K, ♦8 | pair
♠8, ♣9, ♠7, ♥9, ♥6 | pair
♠8, ♣9, ♠7, ♥9, ♣8 | two pairs
♠8, ♣9, ♠7, ♥9, ♥7 | two pairs
♠8, ♣9, ♠7, ♥9, ♦8 | two pairs
♠8, ♣9, ♠7, ♥6, ♣8 | pair
♠8, ♣9, ♠7, ♥6, ♥7 | pair
♠8, ♣9, ♠7, ♥6, ♦8 | pair
♠8, ♣9, ♠7, ♣8, ♥7 | two pairs
♠8, ♣9, ♠7, ♣8, ♦8 | three of a kind
♠8, ♣9, ♠7, ♥7, ♦8 | two pairs
♠8, ♣9, ♣4, ♣7, ♥9 | pair
♠8, ♣9, ♣4, ♣7, ♣8 | pair
♠8, ♣9, ♣4, ♣7, ♥7 | pair
♠8, ♣9, ♣4, ♣7, ♦8 | pair
♠8, ♣9, ♣4, ♥K, ♣K | pair
♠8, ♣9, ♣4, ♥K, ♥9 | pair
♠8, ♣9, ♣4, ♥K, ♣8 | pair
♠8, ♣9, ♣4, ♥K, ♦8 | pair
♠8, ♣9, ♣4, ♣K, ♥9 | pair
♠8, ♣9, ♣4, ♣K, ♣8 | pair
♠8, ♣9, ♣4, ♣K, ♦8 | pair
♠8, ♣9, ♣4, ♥9, ♥6 | pair
♠8, ♣9, ♣4, ♥9, ♣8 | two pairs
♠8, ♣9, ♣4, ♥9, ♥7 | pair
♠8, ♣9, ♣4, ♥9, ♦8 | two pairs
♠8, ♣9, ♣4, ♥6, ♣8 | pair
♠8, ♣9, ♣4, ♥6, ♦8 | pair
♠8, ♣9, ♣4, ♣8, ♥7 | pair
♠8, ♣9, ♣4, ♣8, ♦8 | three of a kind
♠8, ♣9, ♣4, ♥7, ♦8 | pair
♠8, ♣9, ♣7, ♥K, ♣K | pair
♠8, ♣9, ♣7, ♥K, ♥9 | pair
♠8, ♣9, ♣7, ♥K, ♣8 | pair
♠8, ♣9, ♣7, ♥K, ♥7 | pair
♠8, ♣9, ♣7, ♥K, ♦8 | pair
♠8, ♣9, ♣7, ♣K, ♥9 | pair
♠8, ♣9, ♣7, ♣K, ♣8 | pair
♠8, ♣9, ♣7, ♣K, ♥7 | pair
♠8, ♣9, ♣7, ♣K, ♦8 | pair
♠8, ♣9, ♣7, ♥9, ♥6 | pair
♠8, ♣9, ♣7, ♥9, ♣8 | two pairs
♠8, ♣9, ♣7, ♥9, ♥7 | two pairs
♠8, ♣9, ♣7, ♥9, ♦8 | two pairs
♠8, ♣9, ♣7, ♥6, ♣8 | pair
♠8, ♣9, ♣7, ♥6, ♥7 | pair
♠8, ♣9, ♣7, ♥6, ♦8 | pair
♠8, ♣9, ♣7, ♣8, ♥7 | two pairs
♠8, ♣9, ♣7, ♣8, ♦8 | three of a kind
♠8, ♣9, ♣7, ♥7, ♦8 | two pairs
♠8, ♣9, ♥K, ♣K, ♥9 | two pairs
♠8, ♣9, ♥K, ♣K, ♥6 | pair
♠8, ♣9, ♥K, ♣K, ♣8 | two pairs
♠8, ♣9, ♥K, ♣K, ♥7 | pair
♠8, ♣9, ♥K, ♣K, ♦8 | two pairs
♠8, ♣9, ♥K, ♥9, ♥6 | pair
♠8, ♣9, ♥K, ♥9, ♣8 | two pairs
♠8, ♣9, ♥K, ♥9, ♥7 | pair
♠8, ♣9, ♥K, ♥9, ♦8 | two pairs
♠8, ♣9, ♥K, ♥6, ♣8 | pair
♠8, ♣9, ♥K, ♥6, ♦8 | pair
♠8, ♣9, ♥K, ♣8, ♥7 | pair
♠8, ♣9, ♥K, ♣8, ♦8 | three of a kind
♠8, ♣9, ♥K, ♥7, ♦8 | pair
♠8, ♣9, ♣K, ♥9, ♥6 | pair
♠8, ♣9, ♣K, ♥9, ♣8 | two pairs
♠8, ♣9, ♣K, ♥9, ♥7 | pair
♠8, ♣9, ♣K, ♥9, ♦8 | two pairs
♠8, ♣9, ♣K, ♥6, ♣8 | pair
♠8, ♣9, ♣K, ♥6, ♦8 | pair
♠8, ♣9, ♣K, ♣8, ♥7 | pair
♠8, ♣9, ♣K, ♣8, ♦8 | three of a kind
♠8, ♣9, ♣K, ♥7, ♦8 | pair
♠8, ♣9, ♥9, ♥6, ♣8 | two pairs
♠8, ♣9, ♥9, ♥6, ♥7 | pair
♠8, ♣9, ♥9, ♥6, ♦8 | two pairs
♠8, ♣9, ♥9, ♣8, ♥7 | two pairs
♠8, ♣9, ♥9, ♣8, ♦8 | fullhouse
♠8, ♣9, ♥9, ♥7, ♦8 | two pairs
♠8, ♣9, ♥6, ♣8, ♥7 | pair
♠8, ♣9, ♥6, ♣8, ♦8 | three of a kind
♠8, ♣9, ♥6, ♥7, ♦8 | pair
♠8, ♣9, ♣8, ♥7, ♦8 | three of a kind
♠8, ♠5, ♠7, ♣4, ♣7 | pair
♠8, ♠5, ♠7, ♣4, ♥6 | straight
♠8, ♠5, ♠7, ♣4, ♣8 | pair
♠8, ♠5, ♠7, ♣4, ♥7 | pair
♠8, ♠5, ♠7, ♣4, ♦8 | pair
♠8, ♠5, ♠7, ♣7, ♥K | pair
♠8, ♠5, ♠7, ♣7, ♣K | pair
♠8, ♠5, ♠7, ♣7, ♥9 | pair
♠8, ♠5, ♠7, ♣7, ♥6 | pair
♠8, ♠5, ♠7, ♣7, ♣8 | two pairs
♠8, ♠5, ♠7, ♣7, ♥7 | three of a kind
♠8, ♠5, ♠7, ♣7, ♦8 | two pairs
♠8, ♠5, ♠7, ♥K, ♣K | pair
♠8, ♠5, ♠7, ♥K, ♣8 | pair
♠8, ♠5, ♠7, ♥K, ♥7 | pair
♠8, ♠5, ♠7, ♥K, ♦8 | pair
♠8, ♠5, ♠7, ♣K, ♣8 | pair
♠8, ♠5, ♠7, ♣K, ♥7 | pair
♠8, ♠5, ♠7, ♣K, ♦8 | pair
♠8, ♠5, ♠7, ♥9, ♥6 | straight
♠8, ♠5, ♠7, ♥9, ♣8 | pair
♠8, ♠5, ♠7, ♥9, ♥7 | pair
♠8, ♠5, ♠7, ♥9, ♦8 | pair
♠8, ♠5, ♠7, ♥6, ♣8 | pair
♠8, ♠5, ♠7, ♥6, ♥7 | pair
♠8, ♠5, ♠7, ♥6, ♦8 | pair
♠8, ♠5, ♠7, ♣8, ♥7 | two pairs
♠8, ♠5, ♠7, ♣8, ♦8 | three of a kind
♠8, ♠5, ♠7, ♥7, ♦8 | two pairs
♠8, ♠5, ♣4, ♣7, ♥6 | straight
♠8, ♠5, ♣4, ♣7, ♣8 | pair
♠8, ♠5, ♣4, ♣7, ♥7 | pair
♠8, ♠5, ♣4, ♣7, ♦8 | pair
♠8, ♠5, ♣4, ♥K, ♣K | pair
♠8, ♠5, ♣4, ♥K, ♣8 | pair
♠8, ♠5, ♣4, ♥K, ♦8 | pair
♠8, ♠5, ♣4, ♣K, ♣8 | pair
♠8, ♠5, ♣4, ♣K, ♦8 | pair
♠8, ♠5, ♣4, ♥9, ♣8 | pair
♠8, ♠5, ♣4, ♥9, ♦8 | pair
♠8, ♠5, ♣4, ♥6, ♣8 | pair
♠8, ♠5, ♣4, ♥6, ♥7 | straight
♠8, ♠5, ♣4, ♥6, ♦8 | pair
♠8, ♠5, ♣4, ♣8, ♥7 | pair
♠8, ♠5, ♣4, ♣8, ♦8 | three of a kind
♠8, ♠5, ♣4, ♥7, ♦8 | pair
♠8, ♠5, ♣7, ♥K, ♣K | pair
♠8, ♠5, ♣7, ♥K, ♣8 | pair
♠8, ♠5, ♣7, ♥K, ♥7 | pair
♠8, ♠5, ♣7, ♥K, ♦8 | pair
♠8, ♠5, ♣7, ♣K, ♣8 | pair
♠8, ♠5, ♣7, ♣K, ♥7 | pair
♠8, ♠5, ♣7, ♣K, ♦8 | pair
♠8, ♠5, ♣7, ♥9, ♥6 | straight
♠8, ♠5, ♣7, ♥9, ♣8 | pair
♠8, ♠5, ♣7, ♥9, ♥7 | pair
♠8, ♠5, ♣7, ♥9, ♦8 | pair
♠8, ♠5, ♣7, ♥6, ♣8 | pair
♠8, ♠5, ♣7, ♥6, ♥7 | pair
♠8, ♠5, ♣7, ♥6, ♦8 | pair
♠8, ♠5, ♣7, ♣8, ♥7 | two pairs
♠8, ♠5, ♣7, ♣8, ♦8 | three of a kind
♠8, ♠5, ♣7, ♥7, ♦8 | two pairs
♠8, ♠5, ♥K, ♣K, ♥9 | pair
♠8, ♠5, ♥K, ♣K, ♥6 | pair
♠8, ♠5, ♥K, ♣K, ♣8 | two pairs
♠8, ♠5, ♥K, ♣K, ♥7 | pair
♠8, ♠5, ♥K, ♣K, ♦8 | two pairs
♠8, ♠5, ♥K, ♥9, ♣8 | pair
♠8, ♠5, ♥K, ♥9, ♦8 | pair
♠8, ♠5, ♥K, ♥6, ♣8 | pair
♠8, ♠5, ♥K, ♥6, ♦8 | pair
♠8, ♠5, ♥K, ♣8, ♥7 | pair
♠8, ♠5, ♥K, ♣8, ♦8 | three of a kind
♠8, ♠5, ♥K, ♥7, ♦8 | pair
♠8, ♠5, ♣K, ♥9, ♣8 | pair
♠8, ♠5, ♣K, ♥9, ♦8 | pair
♠8, ♠5, ♣K, ♥6, ♣8 | pair
♠8, ♠5, ♣K, ♥6, ♦8 | pair
♠8, ♠5, ♣K, ♣8, ♥7 | pair
♠8, ♠5, ♣K, ♣8, ♦8 | three of a kind
♠8, ♠5, ♣K, ♥7, ♦8 | pair
♠8, ♠5, ♥9, ♥6, ♣8 | pair
♠8, ♠5, ♥9, ♥6, ♥7 | straight
♠8, ♠5, ♥9, ♥6, ♦8 | pair
♠8, ♠5, ♥9, ♣8, ♥7 | pair
♠8, ♠5, ♥9, ♣8, ♦8 | three of a kind
♠8, ♠5, ♥9, ♥7, ♦8 | pair
♠8, ♠5, ♥6, ♣8, ♥7 | pair
♠8, ♠5, ♥6, ♣8, ♦8 | three of a kind
♠8, ♠5, ♥6, ♥7, ♦8 | pair
♠8, ♠5, ♣8, ♥7, ♦8 | three of a kind
♠8, ♠7, ♣4, ♣7, ♥K | pair
♠8, ♠7, ♣4, ♣7, ♣K | pair
♠8, ♠7, ♣4, ♣7, ♥9 | pair
♠8, ♠7, ♣4, ♣7, ♥6 | pair
♠8, ♠7, ♣4, ♣7, ♣8 | two pairs
♠8, ♠7, ♣4, ♣7, ♥7 | three of a kind
♠8, ♠7, ♣4, ♣7, ♦8 | two pairs
♠8, ♠7, ♣4, ♥K, ♣K | pair
♠8, ♠7, ♣4, ♥K, ♣8 | pair
♠8, ♠7, ♣4, ♥K, ♥7 | pair
♠8, ♠7, ♣4, ♥K, ♦8 | pair
♠8, ♠7, ♣4, ♣K, ♣8 | pair
♠8, ♠7, ♣4, ♣K, ♥7 | pair
♠8, ♠7, ♣4, ♣K, ♦8 | pair
♠8, ♠7, ♣4, ♥9, ♣8 | pair
♠8, ♠7, ♣4, ♥9, ♥7 | pair
♠8, ♠7, ♣4, ♥9, ♦8 | pair
♠8, ♠7, ♣4, ♥6, ♣8 | pair
♠8, ♠7, ♣4, ♥6, ♥7 | pair
♠8, ♠7, ♣4, ♥6, ♦8 | pair
♠8, ♠7, ♣4, ♣8, ♥7 | two pairs
♠8, ♠7, ♣4, ♣8, ♦8 | three of a kind
♠8, ♠7, ♣4, ♥7, ♦8 | two pairs
♠8, ♠7, ♣7, ♥K, ♣K | two pairs
♠8, ♠7, ♣7, ♥K, ♥9 | pair
♠8, ♠7, ♣7, ♥K, ♥6 | pair
♠8, ♠7, ♣7, ♥K, ♣8 | two pairs
♠8, ♠7, ♣7, ♥K, ♥7 | three of a kind
♠8, ♠7, ♣7, ♥K, ♦8 | two pairs
♠8, ♠7, ♣7, ♣K, ♥9 | pair
♠8, ♠7, ♣7, ♣K, ♥6 | pair
♠8, ♠7, ♣7, ♣K, ♣8 | two pairs
♠8, ♠7, ♣7, ♣K, ♥7 | three of a kind
♠8, ♠7, ♣7, ♣K, ♦8 | two pairs
♠8, ♠7, ♣7, ♥9, ♥6 | pair
♠8, ♠7, ♣7, ♥9, ♣8 | two pairs
♠8, ♠7, ♣7, ♥9, ♥7 | three of a kind
♠8, ♠7, ♣7, ♥9, ♦8 | two pairs
♠8, ♠7, ♣7, ♥6, ♣8 | two pairs
♠8, ♠7, ♣7, ♥6, ♥7 | three of a kind
♠8, ♠7, ♣7, ♥6, ♦8 | two pairs
♠8, ♠7, ♣7, ♣8, ♥7 | fullhouse
♠8, ♠7, ♣7, ♣8, ♦8 | fullhouse
♠8, ♠7, ♣7, ♥7, ♦8 | fullhouse
♠8, ♠7, ♥K, ♣K, ♥9 | pair
♠8, ♠7, ♥K, ♣K, ♥6 | pair
♠8, ♠7, ♥K, ♣K, ♣8 | two pairs
♠8, ♠7, ♥K, ♣K, ♥7 | two pairs
♠8, ♠7, ♥K, ♣K, ♦8 | two pairs
♠8, ♠7, ♥K, ♥9, ♣8 | pair
♠8, ♠7, ♥K, ♥9, ♥7 | pair
♠8, ♠7, ♥K, ♥9, ♦8 | pair
♠8, ♠7, ♥K, ♥6, ♣8 | pair
♠8, ♠7, ♥K, ♥6, ♥7 | pair
♠8, ♠7, ♥K, ♥6, ♦8 | pair
♠8, ♠7, ♥K, ♣8, ♥7 | two pairs
♠8, ♠7, ♥K, ♣8, ♦8 | three of a kind
♠8, ♠7, ♥K, ♥7, ♦8 | two pairs
♠8, ♠7, ♣K, ♥9, ♣8 | pair
♠8, ♠7, ♣K, ♥9, ♥7 | pair
♠8, ♠7, ♣K, ♥9, ♦8 | pair
♠8, ♠7, ♣K, ♥6, ♣8 | pair
♠8, ♠7, ♣K, ♥6, ♥7 | pair
♠8, ♠7, ♣K, ♥6, ♦8 | pair
♠8, ♠7, ♣K, ♣8, ♥7 | two pairs
♠8, ♠7, ♣K, ♣8, ♦8 | three of a kind
♠8, ♠7, ♣K, ♥7, ♦8 | two pairs
♠8, ♠7, ♥9, ♥6, ♣8 | pair
♠8, ♠7, ♥9, ♥6, ♥7 | pair
♠8, ♠7, ♥9, ♥6, ♦8 | pair
♠8, ♠7, ♥9, ♣8, ♥7 | two pairs
♠8, ♠7, ♥9, ♣8, ♦8 | three of a kind
♠8, ♠7, ♥9, ♥7, ♦8 | two pairs
♠8, ♠7, ♥6, ♣8, ♥7 | two pairs
♠8, ♠7, ♥6, ♣8, ♦8 | three of a kind
♠8, ♠7, ♥6, ♥7, ♦8 | two pairs
♠8, ♠7, ♣8, ♥7, ♦8 | fullhouse
♠8, ♣4, ♣7, ♥K, ♣K | pair
♠8, ♣4, ♣7, ♥K, ♣8 | pair
♠8, ♣4, ♣7, ♥K, ♥7 | pair
♠8, ♣4, ♣7, ♥K, ♦8 | pair
♠8, ♣4, ♣7, ♣K, ♣8 | pair
♠8, ♣4, ♣7, ♣K, ♥7 | pair
♠8, ♣4, ♣7, ♣K, ♦8 | pair
♠8, ♣4, ♣7, ♥9, ♣8 | pair
♠8, ♣4, ♣7, ♥9, ♥7 | pair
♠8, ♣4, ♣7, ♥9, ♦8 | pair
♠8, ♣4, ♣7, ♥6, ♣8 | pair
♠8, ♣4, ♣7, ♥6, ♥7 | pair
♠8, ♣4, ♣7, ♥6, ♦8 | pair
♠8, ♣4, ♣7, ♣8, ♥7 | two pairs
♠8, ♣4, ♣7, ♣8, ♦8 | three of a kind
♠8, ♣4, ♣7, ♥7, ♦8 | two pairs
♠8, ♣4, ♥K, ♣K, ♥9 | pair
♠8, ♣4, ♥K, ♣K, ♥6 | pair
♠8, ♣4, ♥K, ♣K, ♣8 | two pairs
♠8, ♣4, ♥K, ♣K, ♥7 | pair
♠8, ♣4, ♥K, ♣K, ♦8 | two pairs
♠8, ♣4, ♥K, ♥9, ♣8 | pair
♠8, ♣4, ♥K, ♥9, ♦8 | pair
♠8, ♣4, ♥K, ♥6, ♣8 | pair
♠8, ♣4, ♥K, ♥6, ♦8 | pair
♠8, ♣4, ♥K, ♣8, ♥7 | pair
♠8, ♣4, ♥K, ♣8, ♦8 | three of a kind
♠8, ♣4, ♥K, ♥7, ♦8 | pair
♠8, ♣4, ♣K, ♥9, ♣8 | pair
♠8, ♣4, ♣K, ♥9, ♦8 | pair
♠8, ♣4, ♣K, ♥6, ♣8 | pair
♠8, ♣4, ♣K, ♥6, ♦8 | pair
♠8, ♣4, ♣K, ♣8, ♥7 | pair
♠8, ♣4, ♣K, ♣8, ♦8 | three of a kind
♠8, ♣4, ♣K, ♥7, ♦8 | pair
♠8, ♣4, ♥9, ♥6, ♣8 | pair
♠8, ♣4, ♥9, ♥6, ♦8 | pair
♠8, ♣4, ♥9, ♣8, ♥7 | pair
♠8, ♣4, ♥9, ♣8, ♦8 | three of a kind
♠8, ♣4, ♥9, ♥7, ♦8 | pair
♠8, ♣4, ♥6, ♣8, ♥7 | pair
♠8, ♣4, ♥6, ♣8, ♦8 | three of a kind
♠8, ♣4, ♥6, ♥7, ♦8 | pair
♠8, ♣4, ♣8, ♥7, ♦8 | three of a kind
♠8, ♣7, ♥K, ♣K, ♥9 | pair
♠8, ♣7, ♥K, ♣K, ♥6 | pair
♠8, ♣7, ♥K, ♣K, ♣8 | two pairs
♠8, ♣7, ♥K, ♣K, ♥7 | two pairs
♠8, ♣7, ♥K, ♣K, ♦8 | two pairs
♠8, ♣7, ♥K, ♥9, ♣8 | pair
♠8, ♣7, ♥K, ♥9, ♥7 | pair
♠8, ♣7, ♥K, ♥9, ♦8 | pair
♠8, ♣7, ♥K, ♥6, ♣8 | pair
♠8, ♣7, ♥K, ♥6, ♥7 | pair
♠8, ♣7, ♥K, ♥6, ♦8 | pair
♠8, ♣7, ♥K, ♣8, ♥7 | two pairs
♠8, ♣7, ♥K, ♣8, ♦8 | three of a kind
♠8, ♣7, ♥K, ♥7, ♦8 | two pairs
♠8, ♣7, ♣K, ♥9, ♣8 | pair
♠8, ♣7, ♣K, ♥9, ♥7 | pair
♠8, ♣7, ♣K, ♥9, ♦8 | pair
♠8, ♣7, ♣K, ♥6, ♣8 | pair
♠8, ♣7, ♣K, ♥6, ♥7 | pair
♠8, ♣7, ♣K, ♥6, ♦8 | pair
♠8, ♣7, ♣K, ♣8, ♥7 | two pairs
♠8, ♣7, ♣K, ♣8, ♦8 | three of a kind
♠8, ♣7, ♣K, ♥7, ♦8 | two pairs
♠8, ♣7, ♥9, ♥6, ♣8 | pair
♠8, ♣7, ♥9, ♥6, ♥7 | pair
♠8, ♣7, ♥9, ♥6, ♦8 | pair
♠8, ♣7, ♥9, ♣8, ♥7 | two pairs
♠8, ♣7, ♥9, ♣8, ♦8 | three of a kind
♠8, ♣7, ♥9, ♥7, ♦8 | two pairs
♠8, ♣7, ♥6, ♣8, ♥7 | two pairs
♠8, ♣7, ♥6, ♣8, ♦8 | three of a kind
♠8, ♣7, ♥6, ♥7, ♦8 | two pairs
♠8, ♣7, ♣8, ♥7, ♦8 | fullhouse
♠8, ♥K, ♣K, ♥9, ♥6 | pair
♠8, ♥K, ♣K, ♥9, ♣8 | two pairs
