♥7,♦Q,♥5,♠A,♣A | Pair
♠A,♣K,♠K,♦5,♣3 | Pair
♠A,♣K,♠K,♦5,♣5 | Two Pairs
♠A,♣K,♠K,♦5,♠8 | Pair
♠A,♣K,♠K,♣T,♠J | Pair
♠A,♣K,♠K,♣T,♣3 | Pair
♠A,♣K,♠K,♣T,♣5 | Pair
♠A,♣K,♠K,♣T,♠8 | Pair
♠A,♣K,♠K,♠J,♣3 | Pair
♠A,♣K,♠K,♠J,♣5 | Pair
♠A,♣K,♠K,♠J,♠8 | Pair
♠A,♣K,♠K,♣3,♣5 | Pair
♠A,♣K,♠K,♣3,♠8 | Pair
♠A,♣K,♠K,♣5,♠8 | Pair
♠A,♣K,♦5,♣T,♣5 | Pair
♠A,♣K,♦5,♠J,♣5 | Pair
♠A,♣K,♦5,♣3,♣5 | Pair
♠A,♣K,♦5,♣5,♠8 | Pair
♠A,♣A,♠K,♦5,♣T | Pair
♠A,♣A,♠K,♦5,♠J | Pair
♠A,♣A,♠K,♦5,♣3 | Pair
♠A,♣A,♠K,♦5,♣5 | Two Pairs
♠A,♣A,♠K,♦5,♠8 | Pair
♠A,♣A,♠K,♣T,♠J | Pair
♠A,♣A,♠K,♣T,♣3 | Pair
♠A,♣A,♠K,♣T,♣5 | Pair
♠A,♣A,♠K,♣T,♠8 | Pair
♠A,♣A,♠K,♠J,♣3 | Pair
♠A,♣A,♠K,♠J,♣5 | Pair
♠A,♣A,♠K,♠J,♠8 | Pair
♠A,♣A,♠K,♣3,♣5 | Pair
♠A,♣A,♠K,♣3,♠8 | Pair
♠A,♣A,♠K,♣5,♠8 | Pair
♠A,♣A,♦5,♣T,♠J | Pair
♠A,♣A,♦5,♣T,♣3 | Pair
♠A,♣A,♦5,♣T,♣5 | Two Pairs
♠A,♣A,♦5,♣T,♠8 | Pair
♠A,♣A,♦5,♠J,♣3 | Pair
♠A,♣A,♦5,♠J,♣5 | Two Pairs
♠A,♣A,♦5,♠J,♠8 | Pair
♠A,♣A,♦5,♣3,♣5 | Two Pairs
♠A,♣A,♦5,♣3,♠8 | Pair
♠A,♣A,♦5,♣5,♠8 | Two Pairs
♠A,♣A,♣T,♠J,♣3 | Pair
♠A,♣A,♣T,♠J,♣5 | Pair
♠A,♣A,♣T,♠J,♠8 | Pair
♠A,♣A,♣T,♣3,♣5 | Pair
♠A,♣A,♣T,♣3,♠8 | Pair
♠A,♣A,♣T,♣5,♠8 | Pair
♠A,♣A,♠J,♣3,♣5 | Pair
♠A,♣A,♠J,♣3,♠8 | Pair
♠A,♣A,♠J,♣5,♠8 | Pair
♠A,♣A,♣3,♣5,♠8 | Pair
♠A,♠K,♦5,♣T,♣5 | Pair
♠A,♠K,♦5,♠J,♣5 | Pair
♠A,♠K,♦5,♣3,♣5 | Pair
♠A,♠K,♦5,♣5,♠8 | Pair
♠A,♦5,♣T,♠J,♣5 | Pair
♠A,♦5,♣T,♣3,♣5 | Pair
♠A,♦5,♣T,♣5,♠8 | Pair
♠A,♦5,♠J,♣3,♣5 | Pair
♠A,♦5,♠J,♣5,♠8 | Pair
♠A,♦5,♣3,♣5,♠8 | Pair
♣K,♣A,♠K,♦5,♣T | Pair
♣K,♣A,♠K,♦5,♠J | Pair
♣K,♣A,♠K,♦5,♣3 | Pair
♣K,♣A,♠K,♦5,♣5 | Two Pairs
♣K,♣A,♠K,♦5,♠8 | Pair
♣K,♣A,♠K,♣T,♠J | Pair
♣K,♣A,♠K,♣T,♣3 | Pair
♣K,♣A,♠K,♣T,♣5 | Pair
♣K,♣A,♠K,♣T,♠8 | Pair
♣K,♣A,♠K,♠J,♣3 | Pair
♣K,♣A,♠K,♠J,♣5 | Pair
♣K,♣A,♠K,♠J,♠8 | Pair
♣K,♣A,♠K,♣3,♣5 | Pair
♣K,♣A,♠K,♣3,♠8 | Pair
♣K,♣A,♠K,♣5,♠8 | Pair
♣K,♣A,♦5,♣T,♣5 | Pair
♣K,♣A,♦5,♠J,♣5 | Pair
♣K,♣A,♦5,♣3,♣5 | Pair
♣K,♣A,♦5,♣5,♠8 | Pair
♣K,♣A,♣T,♣3,♣5 | Flush
♣K,♠K,♦5,♣T,♠J | Pair
♣K,♠K,♦5,♣T,♣3 | Pair
♣K,♠K,♦5,♣T,♣5 | Two Pairs
♣K,♠K,♦5,♣T,♠8 | Pair
♣K,♠K,♦5,♠J,♣3 | Pair
♣K,♠K,♦5,♠J,♣5 | Two Pairs
♣K,♠K,♦5,♠J,♠8 | Pair
♣K,♠K,♦5,♣3,♣5 | Two Pairs
♣K,♠K,♦5,♣3,♠8 | Pair
♣K,♠K,♦5,♣5,♠8 | Two Pairs
♣K,♠K,♣T,♠J,♣3 | Pair
♣K,♠K,♣T,♠J,♣5 | Pair
♣K,♠K,♣T,♠J,♠8 | Pair
♣K,♠K,♣T,♣3,♣5 | Pair
♣K,♠K,♣T,♣3,♠8 | Pair
♣K,♠K,♣T,♣5,♠8 | Pair
♣K,♠K,♠J,♣3,♣5 | Pair
♣K,♠K,♠J,♣3,♠8 | Pair
♣K,♠K,♠J,♣5,♠8 | Pair
♣K,♠K,♣3,♣5,♠8 | Pair
♣K,♦5,♣T,♠J,♣5 | Pair
♣K,♦5,♣T,♣3,♣5 | Pair
♣K,♦5,♣T,♣5,♠8 | Pair
♣K,♦5,♠J,♣3,♣5 | Pair
♣K,♦5,♠J,♣5,♠8 | Pair
♣K,♦5,♣3,♣5,♠8 | Pair
♣A,♠K,♦5,♣T,♣5 | Pair
♣A,♠K,♦5,♠J,♣5 | Pair
♣A,♠K,♦5,♣3,♣5 | Pair
♣A,♠K,♦5,♣5,♠8 | Pair
♣A,♦5,♣T,♠J,♣5 | Pair
♣A,♦5,♣T,♣3,♣5 | Pair
♣A,♦5,♣T,♣5,♠8 | Pair
♣A,♦5,♠J,♣3,♣5 | Pair
♣A,♦5,♠J,♣5,♠8 | Pair
♣A,♦5,♣3,♣5,♠8 | Pair
♠K,♦5,♣T,♠J,♣5 | Pair
♠K,♦5,♣T,♣3,♣5 | Pair
♠K,♦5,♣T,♣5,♠8 | Pair
♠K,♦5,♠J,♣3,♣5 | Pair
♠K,♦5,♠J,♣5,♠8 | Pair
♠K,♦5,♣3,♣5,♠8 | Pair
♦5,♣T,♠J,♣3,♣5 | Pair
♦5,♣T,♠J,♣5,♠8 | Pair
♦5,♣T,♣3,♣5,♠8 | Pair
♦5,♠J,♣3,♣5,♠8 | Pair
