♦8, ♥4, ♠4, ♦9, ♦7 | pair
♦7, ♥7, ♣10, ♠K, ♥K | two pairs
♦7, ♥7, ♣10, ♠K, ♠2 | pair
♦7, ♥7, ♣10, ♠K, ♦K | two pairs
♦7, ♥7, ♣10, ♥2, ♥K | pair
♦7, ♥7, ♣10, ♥2, ♠2 | two pairs
♦7, ♥7, ♣10, ♥2, ♦K | pair
♦7, ♥7, ♣10, ♥K, ♠2 | pair
♦7, ♥7, ♣10, ♥K, ♦K | two pairs
♦7, ♥7, ♣10, ♠2, ♦K | pair
♦7, ♥7, ♠K, ♥2, ♥K | two pairs
♦7, ♥7, ♠K, ♥2, ♠2 | two pairs
♦7, ♥7, ♠K, ♥2, ♦K | two pairs
♦7, ♥7, ♠K, ♥K, ♠2 | two pairs
♦7, ♥7, ♠K, ♥K, ♦K | fullhouse
♦7, ♥7, ♠K, ♠2, ♦K | two pairs
♦7, ♥7, ♥2, ♥K, ♠2 | two pairs
♦7, ♥7, ♥2, ♥K, ♦K | two pairs
♦7, ♥7, ♥2, ♠2, ♦K | two pairs
♦7, ♥7, ♥K, ♠2, ♦K | two pairs
♦7, ♣10, ♠K, ♥2, ♥K | pair
♦7, ♣10, ♠K, ♥2, ♠2 | pair
♦7, ♣10, ♠K, ♥2, ♦K | pair
♦7, ♣10, ♠K, ♥K, ♠2 | pair
♦7, ♣10, ♠K, ♥K, ♦K | three of a kind
♦7, ♣10, ♠K, ♠2, ♦K | pair
♦7, ♣10, ♥2, ♥K, ♠2 | pair
♦7, ♣10, ♥2, ♥K, ♦K | pair
♦7, ♣10, ♥2, ♠2, ♦K | pair
♦7, ♣10, ♥K, ♠2, ♦K | pair
♦7, ♠K, ♥2, ♥K, ♠2 | two pairs
♦7, ♠K, ♥2, ♥K, ♦K | three of a kind
♦7, ♠K, ♥2, ♠2, ♦K | two pairs
♦7, ♠K, ♥K, ♠2, ♦K | three of a kind
♦7, ♥2, ♥K, ♠2, ♦K | two pairs
♥7, ♣10, ♠K, ♥2, ♥K | pair
♥7, ♣10, ♠K, ♥2, ♠2 | pair
♥7, ♣10, ♠K, ♥2, ♦K | pair
♥7, ♣10, ♠K, ♥K, ♠2 | pair
♥7, ♣10, ♠K, ♥K, ♦K | three of a kind
♥7, ♣10, ♠K, ♠2, ♦K | pair
♥7, ♣10, ♥2, ♥K, ♠2 | pair
♥7, ♣10, ♥2, ♥K, ♦K | pair
♥7, ♣10, ♥2, ♠2, ♦K | pair
♥7, ♣10, ♥K, ♠2, ♦K | pair
♥7, ♠K, ♥2, ♥K, ♠2 | two pairs
♥7, ♠K, ♥2, ♥K, ♦K | three of a kind
♥7, ♠K, ♥2, ♠2, ♦K | two pairs
♥7, ♠K, ♥K, ♠2, ♦K | three of a kind
♥7, ♥2, ♥K, ♠2, ♦K | two pairs
♣10, ♠K, ♥2, ♥K, ♠2 | two pairs
♣10, ♠K, ♥2, ♥K, ♦K | three of a kind
♣10, ♠K, ♥2, ♠2, ♦K | two pairs
♣10, ♠K, ♥K, ♠2, ♦K | three of a kind
♣10, ♥2, ♥K, ♠2, ♦K | two pairs
♠K, ♥2, ♥K, ♠2, ♦K | fullhouse
