♥K, ♥A, ♣4, ♠K, ♦8 | pair
♣4, ♦10, ♣7, ♠7, ♦2 | pair
♣4, ♦A, ♣7, ♦K, ♠7 | pair
♣4, ♦A, ♣7, ♠7, ♦2 | pair
♣4, ♣7, ♦K, ♠7, ♦2 | pair
♠K, ♦8, ♥7, ♦10, ♣7 | pair
♠K, ♦8, ♥7, ♦10, ♦K | pair
♠K, ♦8, ♥7, ♦10, ♠7 | pair
♠K, ♦8, ♥7, ♦A, ♣7 | pair
♠K, ♦8, ♥7, ♦A, ♦K | pair
♠K, ♦8, ♥7, ♦A, ♠7 | pair
♠K, ♦8, ♥7, ♣7, ♦K | two pairs
♠K, ♦8, ♥7, ♣7, ♠7 | three of a kind
♠K, ♦8, ♥7, ♣7, ♦2 | pair
♠K, ♦8, ♥7, ♦K, ♠7 | two pairs
♠K, ♦8, ♥7, ♦K, ♦2 | pair
♠K, ♦8, ♥7, ♠7, ♦2 | pair
♠K, ♦8, ♦10, ♦A, ♦K | pair
♠K, ♦8, ♦10, ♣7, ♦K | pair
♠K, ♦8, ♦10, ♣7, ♠7 | pair
♠K, ♦8, ♦10, ♦K, ♠7 | pair
♠K, ♦8, ♦10, ♦K, ♦2 | pair
♠K, ♦8, ♦A, ♣7, ♦K | pair
♠K, ♦8, ♦A, ♣7, ♠7 | pair
♠K, ♦8, ♦A, ♦K, ♠7 | pair
♠K, ♦8, ♦A, ♦K, ♦2 | pair
♠K, ♦8, ♣7, ♦K, ♠7 | two pairs
♠K, ♦8, ♣7, ♦K, ♦2 | pair
♠K, ♦8, ♣7, ♠7, ♦2 | pair
♠K, ♦8, ♦K, ♠7, ♦2 | pair
♠K, ♥7, ♦10, ♦A, ♣7 | pair
♠K, ♥7, ♦10, ♦A, ♦K | pair
♠K, ♥7, ♦10, ♦A, ♠7 | pair
♠K, ♥7, ♦10, ♣7, ♦K | two pairs
♠K, ♥7, ♦10, ♣7, ♠7 | three of a kind
♠K, ♥7, ♦10, ♣7, ♦2 | pair
♠K, ♥7, ♦10, ♦K, ♠7 | two pairs
♠K, ♥7, ♦10, ♦K, ♦2 | pair
♠K, ♥7, ♦10, ♠7, ♦2 | pair
♠K, ♥7, ♦A, ♣7, ♦K | two pairs
♠K, ♥7, ♦A, ♣7, ♠7 | three of a kind
♠K, ♥7, ♦A, ♣7, ♦2 | pair
♠K, ♥7, ♦A, ♦K, ♠7 | two pairs
♠K, ♥7, ♦A, ♦K, ♦2 | pair
♠K, ♥7, ♦A, ♠7, ♦2 | pair
♠K, ♥7, ♣7, ♦K, ♠7 | fullhouse
♠K, ♥7, ♣7, ♦K, ♦2 | two pairs
♠K, ♥7, ♣7, ♠7, ♦2 | three of a kind
♠K, ♥7, ♦K, ♠7, ♦2 | two pairs
♠K, ♦10, ♦A, ♣7, ♦K | pair
♠K, ♦10, ♦A, ♣7, ♠7 | pair
♠K, ♦10, ♦A, ♦K, ♠7 | pair
♠K, ♦10, ♦A, ♦K, ♦2 | pair
♠K, ♦10, ♣7, ♦K, ♠7 | two pairs
♠K, ♦10, ♣7, ♦K, ♦2 | pair
♠K, ♦10, ♣7, ♠7, ♦2 | pair
♠K, ♦10, ♦K, ♠7, ♦2 | pair
♠K, ♦A, ♣7, ♦K, ♠7 | two pairs
♠K, ♦A, ♣7, ♦K, ♦2 | pair
♠K, ♦A, ♣7, ♠7, ♦2 | pair
♠K, ♦A, ♦K, ♠7, ♦2 | pair
♠K, ♣7, ♦K, ♠7, ♦2 | two pairs
♦8, ♥7, ♦10, ♦A, ♣7 | pair
♦8, ♥7, ♦10, ♦A, ♠7 | pair
♦8, ♥7, ♦10, ♣7, ♦K | pair
♦8, ♥7, ♦10, ♣7, ♠7 | three of a kind
♦8, ♥7, ♦10, ♣7, ♦2 | pair
♦8, ♥7, ♦10, ♦K, ♠7 | pair
♦8, ♥7, ♦10, ♠7, ♦2 | pair
♦8, ♥7, ♦A, ♣7, ♦K | pair
♦8, ♥7, ♦A, ♣7, ♠7 | three of a kind
♦8, ♥7, ♦A, ♣7, ♦2 | pair
♦8, ♥7, ♦A, ♦K, ♠7 | pair
♦8, ♥7, ♦A, ♠7, ♦2 | pair
♦8, ♥7, ♣7, ♦K, ♠7 | three of a kind
♦8, ♥7, ♣7, ♦K, ♦2 | pair
♦8, ♥7, ♣7, ♠7, ♦2 | three of a kind
♦8, ♥7, ♦K, ♠7, ♦2 | pair
♦8, ♦10, ♦A, ♣7, ♠7 | pair
♦8, ♦10, ♦A, ♦K, ♦2 | flush
♦8, ♦10, ♣7, ♦K, ♠7 | pair
♦8, ♦10, ♣7, ♠7, ♦2 | pair
♦8, ♦A, ♣7, ♦K, ♠7 | pair
♦8, ♦A, ♣7, ♠7, ♦2 | pair
♦8, ♣7, ♦K, ♠7, ♦2 | pair
♥7, ♦10, ♦A, ♣7, ♦K | pair
♥7, ♦10, ♦A, ♣7, ♠7 | three of a kind
♥7, ♦10, ♦A, ♣7, ♦2 | pair
♥7, ♦10, ♦A, ♦K, ♠7 | pair
♥7, ♦10, ♦A, ♠7, ♦2 | pair
♥7, ♦10, ♣7, ♦K, ♠7 | three of a kind
♥7, ♦10, ♣7, ♦K, ♦2 | pair
♥7, ♦10, ♣7, ♠7, ♦2 | three of a kind
♥7, ♦10, ♦K, ♠7, ♦2 | pair
♥7, ♦A, ♣7, ♦K, ♠7 | three of a kind
♥7, ♦A, ♣7, ♦K, ♦2 | pair
♥7, ♦A, ♣7, ♠7, ♦2 | three of a kind
♥7, ♦A, ♦K, ♠7, ♦2 | pair
♥7, ♣7, ♦K, ♠7, ♦2 | three of a kind
♦10, ♦A, ♣7, ♦K, ♠7 | pair
♦10, ♦A, ♣7, ♠7, ♦2 | pair
♦10, ♣7, ♦K, ♠7, ♦2 | pair
♦A, ♣7, ♦K, ♠7, ♦2 | pair
