♣Q,♥4,♣4,♠J,♥T | Pair
♠J,♥T,♠8,♠6,♣J | Pair
♠J,♥T,♠8,♠6,♦T | Pair
♠J,♥T,♠8,♦8,♣J | Two Pairs
♠J,♥T,♠8,♦8,♦T | Two Pairs
♠J,♥T,♠8,♦8,♥2 | Pair
♠J,♥T,♠8,♣J,♦T | Two Pairs
♠J,♥T,♠8,♣J,♥2 | Pair
♠J,♥T,♠8,♦T,♥2 | Pair
♠J,♥T,♣K,♥6,♠6 | Pair
♠J,♥T,♣K,♥6,♣J | Pair
♠J,♥T,♣K,♥6,♦T | Pair
♠J,♥T,♣K,♠6,♣J | Pair
♠J,♥T,♣K,♠6,♦T | Pair
♠J,♥T,♣K,♦8,♣J | Pair
♠J,♥T,♣K,♦8,♦T | Pair
♠J,♥T,♣K,♣J,♦T | Two Pairs
♠J,♥T,♣K,♣J,♥2 | Pair
♠J,♥T,♣K,♦T,♥2 | Pair
♠J,♥T,♥6,♠6,♦8 | Pair
♠J,♥T,♥6,♠6,♣J | Two Pairs
♠J,♥T,♥6,♠6,♦T | Two Pairs
♠J,♥T,♥6,♠6,♥2 | Pair
♠J,♥T,♥6,♦8,♣J | Pair
♠J,♥T,♥6,♦8,♦T | Pair
♠J,♥T,♥6,♣J,♦T | Two Pairs
♠J,♥T,♥6,♣J,♥2 | Pair
♠J,♥T,♥6,♦T,♥2 | Pair
♠J,♥T,♠6,♦8,♣J | Pair
♠J,♥T,♠6,♦8,♦T | Pair
♠J,♥T,♠6,♣J,♦T | Two Pairs
♠J,♥T,♠6,♣J,♥2 | Pair
♠J,♥T,♠6,♦T,♥2 | Pair
♠J,♥T,♦8,♣J,♦T | Two Pairs
♠J,♥T,♦8,♣J,♥2 | Pair
♠J,♥T,♦8,♦T,♥2 | Pair
♠J,♥T,♣J,♦T,♥2 | Two Pairs
♠J,♠8,♣K,♥6,♠6 | Pair
♠J,♠8,♣K,♥6,♦8 | Pair
♠J,♠8,♣K,♥6,♣J | Pair
♠J,♠8,♣K,♠6,♦8 | Pair
♠J,♠8,♣K,♠6,♣J | Pair
♠J,♠8,♣K,♦8,♣J | Two Pairs
♠J,♠8,♣K,♦8,♦T | Pair
♠J,♠8,♣K,♦8,♥2 | Pair
♠J,♠8,♣K,♣J,♦T | Pair
♠J,♠8,♣K,♣J,♥2 | Pair
♠J,♠8,♥6,♠6,♦8 | Two Pairs
♠J,♠8,♥6,♠6,♣J | Two Pairs
♠J,♠8,♥6,♠6,♦T | Pair
♠J,♠8,♥6,♠6,♥2 | Pair
♠J,♠8,♥6,♦8,♣J | Two Pairs
♠J,♠8,♥6,♦8,♦T | Pair
♠J,♠8,♥6,♦8,♥2 | Pair
♠J,♠8,♥6,♣J,♦T | Pair
♠J,♠8,♥6,♣J,♥2 | Pair
♠J,♠8,♠6,♦8,♣J | Two Pairs
♠J,♠8,♠6,♦8,♦T | Pair
♠J,♠8,♠6,♦8,♥2 | Pair
♠J,♠8,♠6,♣J,♦T | Pair
♠J,♠8,♠6,♣J,♥2 | Pair
♠J,♠8,♦8,♣J,♦T | Two Pairs
♠J,♠8,♦8,♣J,♥2 | Two Pairs
♠J,♠8,♦8,♦T,♥2 | Pair
♠J,♠8,♣J,♦T,♥2 | Pair
♠J,♣K,♥6,♠6,♦8 | Pair
♠J,♣K,♥6,♠6,♣J | Two Pairs
♠J,♣K,♥6,♠6,♦T | Pair
♠J,♣K,♥6,♠6,♥2 | Pair
♠J,♣K,♥6,♦8,♣J | Pair
♠J,♣K,♥6,♣J,♦T | Pair
♠J,♣K,♥6,♣J,♥2 | Pair
♠J,♣K,♠6,♦8,♣J | Pair
♠J,♣K,♠6,♣J,♦T | Pair
♠J,♣K,♠6,♣J,♥2 | Pair
♠J,♣K,♦8,♣J,♦T | Pair
♠J,♣K,♦8,♣J,♥2 | Pair
♠J,♣K,♣J,♦T,♥2 | Pair
♠J,♥6,♠6,♦8,♣J | Two Pairs
♠J,♥6,♠6,♦8,♦T | Pair
♠J,♥6,♠6,♦8,♥2 | Pair
♠J,♥6,♠6,♣J,♦T | Two Pairs
♠J,♥6,♠6,♣J,♥2 | Two Pairs
♠J,♥6,♠6,♦T,♥2 | Pair
♠J,♥6,♦8,♣J,♦T | Pair
♠J,♥6,♦8,♣J,♥2 | Pair
♠J,♥6,♣J,♦T,♥2 | Pair
♠J,♠6,♦8,♣J,♦T | Pair
♠J,♠6,♦8,♣J,♥2 | Pair
♠J,♠6,♣J,♦T,♥2 | Pair
♠J,♦8,♣J,♦T,♥2 | Pair
♥T,♠8,♣K,♥6,♠6 | Pair
♥T,♠8,♣K,♥6,♦8 | Pair
♥T,♠8,♣K,♥6,♦T | Pair
♥T,♠8,♣K,♠6,♦8 | Pair
♥T,♠8,♣K,♠6,♦T | Pair
♥T,♠8,♣K,♦8,♣J | Pair
♥T,♠8,♣K,♦8,♦T | Two Pairs
♥T,♠8,♣K,♦8,♥2 | Pair
♥T,♠8,♣K,♣J,♦T | Pair
♥T,♠8,♣K,♦T,♥2 | Pair
♥T,♠8,♥6,♠6,♦8 | Two Pairs
♥T,♠8,♥6,♠6,♣J | Pair
♥T,♠8,♥6,♠6,♦T | Two Pairs
♥T,♠8,♥6,♠6,♥2 | Pair
♥T,♠8,♥6,♦8,♣J | Pair
♥T,♠8,♥6,♦8,♦T | Two Pairs
♥T,♠8,♥6,♦8,♥2 | Pair
♥T,♠8,♥6,♣J,♦T | Pair
♥T,♠8,♥6,♦T,♥2 | Pair
♥T,♠8,♠6,♦8,♣J | Pair
♥T,♠8,♠6,♦8,♦T | Two Pairs
♥T,♠8,♠6,♦8,♥2 | Pair
♥T,♠8,♠6,♣J,♦T | Pair
♥T,♠8,♠6,♦T,♥2 | Pair
♥T,♠8,♦8,♣J,♦T | Two Pairs
♥T,♠8,♦8,♣J,♥2 | Pair
♥T,♠8,♦8,♦T,♥2 | Two Pairs
♥T,♠8,♣J,♦T,♥2 | Pair
♥T,♣K,♥6,♠6,♦8 | Pair
♥T,♣K,♥6,♠6,♣J | Pair
♥T,♣K,♥6,♠6,♦T | Two Pairs
♥T,♣K,♥6,♠6,♥2 | Pair
♥T,♣K,♥6,♦8,♦T | Pair
♥T,♣K,♥6,♣J,♦T | Pair
♥T,♣K,♥6,♦T,♥2 | Pair
♥T,♣K,♠6,♦8,♦T | Pair
♥T,♣K,♠6,♣J,♦T | Pair
♥T,♣K,♠6,♦T,♥2 | Pair
♥T,♣K,♦8,♣J,♦T | Pair
♥T,♣K,♦8,♦T,♥2 | Pair
♥T,♣K,♣J,♦T,♥2 | Pair
♥T,♥6,♠6,♦8,♣J | Pair
♥T,♥6,♠6,♦8,♦T | Two Pairs
♥T,♥6,♠6,♦8,♥2 | Pair
♥T,♥6,♠6,♣J,♦T | Two Pairs
♥T,♥6,♠6,♣J,♥2 | Pair
♥T,♥6,♠6,♦T,♥2 | Two Pairs
♥T,♥6,♦8,♣J,♦T | Pair
♥T,♥6,♦8,♦T,♥2 | Pair
♥T,♥6,♣J,♦T,♥2 | Pair
♥T,♠6,♦8,♣J,♦T | Pair
♥T,♠6,♦8,♦T,♥2 | Pair
♥T,♠6,♣J,♦T,♥2 | Pair
♥T,♦8,♣J,♦T,♥2 | Pair
♠8,♣K,♥6,♠6,♦8 | Two Pairs
♠8,♣K,♥6,♠6,♣J | Pair
♠8,♣K,♥6,♠6,♦T | Pair
♠8,♣K,♥6,♠6,♥2 | Pair
♠8,♣K,♥6,♦8,♣J | Pair
♠8,♣K,♥6,♦8,♦T | Pair
♠8,♣K,♥6,♦8,♥2 | Pair
♠8,♣K,♠6,♦8,♣J | Pair
♠8,♣K,♠6,♦8,♦T | Pair
♠8,♣K,♠6,♦8,♥2 | Pair
♠8,♣K,♦8,♣J,♦T | Pair
♠8,♣K,♦8,♣J,♥2 | Pair
♠8,♣K,♦8,♦T,♥2 | Pair
♠8,♥6,♠6,♦8,♣J | Two Pairs
♠8,♥6,♠6,♦8,♦T | Two Pairs
♠8,♥6,♠6,♦8,♥2 | Two Pairs
♠8,♥6,♠6,♣J,♦T | Pair
♠8,♥6,♠6,♣J,♥2 | Pair
♠8,♥6,♠6,♦T,♥2 | Pair
♠8,♥6,♦8,♣J,♦T | Pair
♠8,♥6,♦8,♣J,♥2 | Pair
♠8,♥6,♦8,♦T,♥2 | Pair
♠8,♠6,♦8,♣J,♦T | Pair
♠8,♠6,♦8,♣J,♥2 | Pair
♠8,♠6,♦8,♦T,♥2 | Pair
♠8,♦8,♣J,♦T,♥2 | Pair
♣K,♥6,♠6,♦8,♣J | Pair
♣K,♥6,♠6,♦8,♦T | Pair
♣K,♥6,♠6,♦8,♥2 | Pair
♣K,♥6,♠6,♣J,♦T | Pair
♣K,♥6,♠6,♣J,♥2 | Pair
♣K,♥6,♠6,♦T,♥2 | Pair
♥6,♠6,♦8,♣J,♦T | Pair
♥6,♠6,♦8,♣J,♥2 | Pair
♥6,♠6,♦8,♦T,♥2 | Pair
♥6,♠6,♣J,♦T,♥2 | Pair
