♦7,♠T,♥K,♣3,♥3 | Pair
♣3,♣A,♥4,♣2,♠A | Pair
♣3,♣A,♥4,♦Q,♠A | Pair
♣3,♣A,♥4,♣T,♠A | Pair
♣3,♣A,♣2,♦Q,♠A | Pair
♣3,♣A,♣2,♣T,♠A | Pair
♣3,♣A,♦Q,♣T,♠A | Pair
♠9,♥3,♠7,♣A,♠A | Pair
♠9,♥3,♣A,♥4,♠A | Pair
♠9,♥3,♣A,♣2,♠A | Pair
♠9,♥3,♣A,♦Q,♠A | Pair
♠9,♥3,♣A,♣T,♠A | Pair
♠9,♠7,♣A,♥4,♠A | Pair
♠9,♠7,♣A,♣2,♠A | Pair
♠9,♠7,♣A,♦Q,♠A | Pair
♠9,♠7,♣A,♣T,♠A | Pair
♠9,♣A,♥4,♣2,♠A | Pair
♠9,♣A,♥4,♦Q,♠A | Pair
♠9,♣A,♥4,♣T,♠A | Pair
♠9,♣A,♣2,♦Q,♠A | Pair
♠9,♣A,♣2,♣T,♠A | Pair
♠9,♣A,♦Q,♣T,♠A | Pair
♥3,♠7,♣A,♥4,♠A | Pair
♥3,♠7,♣A,♣2,♠A | Pair
♥3,♠7,♣A,♦Q,♠A | Pair
♥3,♠7,♣A,♣T,♠A | Pair
♥3,♣A,♥4,♣2,♠A | Pair
♥3,♣A,♥4,♦Q,♠A | Pair
♥3,♣A,♥4,♣T,♠A | Pair
♥3,♣A,♣2,♦Q,♠A | Pair
♥3,♣A,♣2,♣T,♠A | Pair
♥3,♣A,♦Q,♣T,♠A | Pair
♠7,♣A,♥4,♣2,♠A | Pair
♠7,♣A,♥4,♦Q,♠A | Pair
♠7,♣A,♥4,♣T,♠A | Pair
♠7,♣A,♣2,♦Q,♠A | Pair
♠7,♣A,♣2,♣T,♠A | Pair
♠7,♣A,♦Q,♣T,♠A | Pair
♣A,♥4,♣2,♦Q,♠A | Pair
♣A,♥4,♣2,♣T,♠A | Pair
♣A,♥4,♦Q,♣T,♠A | Pair
♣A,♣2,♦Q,♣T,♠A | Pair
