♣Q, ♥4, ♣4, ♠J, ♥10 | pair
♣4, ♥10, ♠8, ♥6, ♦10 | pair
♣4, ♥10, ♠8, ♠6, ♦8 | pair
♣4, ♥10, ♠8, ♠6, ♦10 | pair
♣4, ♥10, ♠8, ♦8, ♣J | pair
♣4, ♥10, ♠8, ♦8, ♦10 | two pairs
♣4, ♥10, ♠8, ♦8, ♥2 | pair
♣4, ♥10, ♠8, ♣J, ♦10 | pair
♣4, ♥10, ♠8, ♦10, ♥2 | pair
♣4, ♥10, ♣K, ♥6, ♠6 | pair
♣4, ♥10, ♣K, ♥6, ♦10 | pair
♣4, ♥10, ♣K, ♠6, ♦10 | pair
♣4, ♥10, ♣K, ♦8, ♦10 | pair
♣4, ♥10, ♣K, ♣J, ♦10 | pair
♣4, ♥10, ♣K, ♦10, ♥2 | pair
♣4, ♥10, ♥6, ♠6, ♦8 | pair
♣4, ♥10, ♥6, ♠6, ♣J | pair
♣4, ♥10, ♥6, ♠6, ♦10 | two pairs
♣4, ♥10, ♥6, ♠6, ♥2 | pair
♣4, ♥10, ♥6, ♦8, ♦10 | pair
♣4, ♥10, ♥6, ♣J, ♦10 | pair
♣4, ♥10, ♥6, ♦10, ♥2 | pair
♣4, ♥10, ♠6, ♦8, ♦10 | pair
♣4, ♥10, ♠6, ♣J, ♦10 | pair
♣4, ♥10, ♠6, ♦10, ♥2 | pair
♣4, ♥10, ♦8, ♣J, ♦10 | pair
♣4, ♥10, ♦8, ♦10, ♥2 | pair
♣4, ♥10, ♣J, ♦10, ♥2 | pair
♣4, ♠8, ♣K, ♥6, ♠6 | pair
♣4, ♠8, ♣K, ♥6, ♦8 | pair
♣4, ♠8, ♣K, ♠6, ♦8 | pair
♣4, ♠8, ♣K, ♦8, ♣J | pair
♣4, ♠8, ♣K, ♦8, ♦10 | pair
♣4, ♠8, ♣K, ♦8, ♥2 | pair
♣4, ♠8, ♥6, ♠6, ♦8 | two pairs
♣4, ♠8, ♥6, ♠6, ♣J | pair
♣4, ♠8, ♥6, ♠6, ♦10 | pair
♣4, ♠8, ♥6, ♠6, ♥2 | pair
♣4, ♠8, ♥6, ♦8, ♣J | pair
♣4, ♠8, ♥6, ♦8, ♦10 | pair
♣4, ♠8, ♥6, ♦8, ♥2 | pair
♣4, ♠8, ♠6, ♦8, ♣J | pair
♣4, ♠8, ♠6, ♦8, ♦10 | pair
♣4, ♠8, ♠6, ♦8, ♥2 | pair
♣4, ♠8, ♦8, ♣J, ♦10 | pair
♣4, ♠8, ♦8, ♣J, ♥2 | pair
♣4, ♠8, ♦8, ♦10, ♥2 | pair
♣4, ♣K, ♥6, ♠6, ♦8 | pair
♣4, ♣K, ♥6, ♠6, ♣J | pair
♣4, ♣K, ♥6, ♠6, ♦10 | pair
♣4, ♣K, ♥6, ♠6, ♥2 | pair
♣4, ♥6, ♠6, ♦8, ♣J | pair
♣4, ♥6, ♠6, ♦8, ♦10 | pair
♣4, ♥6, ♠6, ♦8, ♥2 | pair
♣4, ♥6, ♠6, ♣J, ♦10 | pair
♣4, ♥6, ♠6, ♣J, ♥2 | pair
♣4, ♥6, ♠6, ♦10, ♥2 | pair
♠J, ♥10, ♠8, ♣K, ♦8 | pair
♠J, ♥10, ♠8, ♣K, ♣J | pair
♠J, ♥10, ♠8, ♣K, ♦10 | pair
♠J, ♥10, ♠8, ♥6, ♠6 | pair
♠J, ♥10, ♠8, ♥6, ♦8 | pair
♠J, ♥10, ♠8, ♥6, ♣J | pair
♠J, ♥10, ♠8, ♥6, ♦10 | pair
♠J, ♥10, ♠8, ♠6, ♦8 | pair
♠J, ♥10, ♠8, ♠6, ♣J | pair
♠J, ♥10, ♠8, ♠6, ♦10 | pair
♠J, ♥10, ♠8, ♦8, ♣J | two pairs
♠J, ♥10, ♠8, ♦8, ♦10 | two pairs
♠J, ♥10, ♠8, ♦8, ♥2 | pair
♠J, ♥10, ♠8, ♣J, ♦10 | two pairs
♠J, ♥10, ♠8, ♣J, ♥2 | pair
♠J, ♥10, ♠8, ♦10, ♥2 | pair
♠J, ♥10, ♣K, ♥6, ♠6 | pair
♠J, ♥10, ♣K, ♥6, ♣J | pair
♠J, ♥10, ♣K, ♥6, ♦10 | pair
♠J, ♥10, ♣K, ♠6, ♣J | pair
♠J, ♥10, ♣K, ♠6, ♦10 | pair
♠J, ♥10, ♣K, ♦8, ♣J | pair
♠J, ♥10, ♣K, ♦8, ♦10 | pair
♠J, ♥10, ♣K, ♣J, ♦10 | two pairs
♠J, ♥10, ♣K, ♣J, ♥2 | pair
♠J, ♥10, ♣K, ♦10, ♥2 | pair
♠J, ♥10, ♥6, ♠6, ♦8 | pair
♠J, ♥10, ♥6, ♠6, ♣J | two pairs
♠J, ♥10, ♥6, ♠6, ♦10 | two pairs
♠J, ♥10, ♥6, ♠6, ♥2 | pair
♠J, ♥10, ♥6, ♦8, ♣J | pair
♠J, ♥10, ♥6, ♦8, ♦10 | pair
♠J, ♥10, ♥6, ♣J, ♦10 | two pairs
♠J, ♥10, ♥6, ♣J, ♥2 | pair
♠J, ♥10, ♥6, ♦10, ♥2 | pair
♠J, ♥10, ♠6, ♦8, ♣J | pair
♠J, ♥10, ♠6, ♦8, ♦10 | pair
♠J, ♥10, ♠6, ♣J, ♦10 | two pairs
♠J, ♥10, ♠6, ♣J, ♥2 | pair
♠J, ♥10, ♠6, ♦10, ♥2 | pair
♠J, ♥10, ♦8, ♣J, ♦10 | two pairs
♠J, ♥10, ♦8, ♣J, ♥2 | pair
♠J, ♥10, ♦8, ♦10, ♥2 | pair
♠J, ♥10, ♣J, ♦10, ♥2 | two pairs
♠J, ♠8, ♣K, ♥6, ♠6 | pair
♠J, ♠8, ♣K, ♥6, ♦8 | pair
♠J, ♠8, ♣K, ♥6, ♣J | pair
♠J, ♠8, ♣K, ♠6, ♦8 | pair
♠J, ♠8, ♣K, ♠6, ♣J | pair
♠J, ♠8, ♣K, ♦8, ♣J | two pairs
♠J, ♠8, ♣K, ♦8, ♦10 | pair
♠J, ♠8, ♣K, ♦8, ♥2 | pair
♠J, ♠8, ♣K, ♣J, ♦10 | pair
♠J, ♠8, ♣K, ♣J, ♥2 | pair
♠J, ♠8, ♥6, ♠6, ♦8 | two pairs
♠J, ♠8, ♥6, ♠6, ♣J | two pairs
♠J, ♠8, ♥6, ♠6, ♦10 | pair
♠J, ♠8, ♥6, ♠6, ♥2 | pair
♠J, ♠8, ♥6, ♦8, ♣J | two pairs
♠J, ♠8, ♥6, ♦8, ♦10 | pair
♠J, ♠8, ♥6, ♦8, ♥2 | pair
♠J, ♠8, ♥6, ♣J, ♦10 | pair
♠J, ♠8, ♥6, ♣J, ♥2 | pair
♠J, ♠8, ♠6, ♦8, ♣J | two pairs
♠J, ♠8, ♠6, ♦8, ♦10 | pair
♠J, ♠8, ♠6, ♦8, ♥2 | pair
♠J, ♠8, ♠6, ♣J, ♦10 | pair
♠J, ♠8, ♠6, ♣J, ♥2 | pair
♠J, ♠8, ♦8, ♣J, ♦10 | two pairs
♠J, ♠8, ♦8, ♣J, ♥2 | two pairs
♠J, ♠8, ♦8, ♦10, ♥2 | pair
♠J, ♠8, ♣J, ♦10, ♥2 | pair
♠J, ♣K, ♥6, ♠6, ♦8 | pair
♠J, ♣K, ♥6, ♠6, ♣J | two pairs
♠J, ♣K, ♥6, ♠6, ♦10 | pair
♠J, ♣K, ♥6, ♠6, ♥2 | pair
♠J, ♣K, ♥6, ♦8, ♣J | pair
♠J, ♣K, ♥6, ♣J, ♦10 | pair
♠J, ♣K, ♥6, ♣J, ♥2 | pair
♠J, ♣K, ♠6, ♦8, ♣J | pair
♠J, ♣K, ♠6, ♣J, ♦10 | pair
♠J, ♣K, ♠6, ♣J, ♥2 | pair
♠J, ♣K, ♦8, ♣J, ♦10 | pair
♠J, ♣K, ♦8, ♣J, ♥2 | pair
♠J, ♣K, ♣J, ♦10, ♥2 | pair
♠J, ♥6, ♠6, ♦8, ♣J | two pairs
♠J, ♥6, ♠6, ♦8, ♦10 | pair
♠J, ♥6, ♠6, ♦8, ♥2 | pair
♠J, ♥6, ♠6, ♣J, ♦10 | two pairs
♠J, ♥6, ♠6, ♣J, ♥2 | two pairs
♠J, ♥6, ♠6, ♦10, ♥2 | pair
♠J, ♥6, ♦8, ♣J, ♦10 | pair
♠J, ♥6, ♦8, ♣J, ♥2 | pair
♠J, ♥6, ♣J, ♦10, ♥2 | pair
♠J, ♠6, ♦8, ♣J, ♦10 | pair
♠J, ♠6, ♦8, ♣J, ♥2 | pair
♠J, ♠6, ♣J, ♦10, ♥2 | pair
♠J, ♦8, ♣J, ♦10, ♥2 | pair
♥10, ♠8, ♣K, ♥6, ♠6 | pair
♥10, ♠8, ♣K, ♥6, ♦8 | pair
♥10, ♠8, ♣K, ♥6, ♦10 | pair
♥10, ♠8, ♣K, ♠6, ♦8 | pair
♥10, ♠8, ♣K, ♠6, ♦10 | pair
♥10, ♠8, ♣K, ♦8, ♣J | pair
♥10, ♠8, ♣K, ♦8, ♦10 | two pairs
♥10, ♠8, ♣K, ♦8, ♥2 | pair
♥10, ♠8, ♣K, ♣J, ♦10 | pair
♥10, ♠8, ♣K, ♦10, ♥2 | pair
♥10, ♠8, ♥6, ♠6, ♦8 | two pairs
♥10, ♠8, ♥6, ♠6, ♣J | pair
♥10, ♠8, ♥6, ♠6, ♦10 | two pairs
♥10, ♠8, ♥6, ♠6, ♥2 | pair
♥10, ♠8, ♥6, ♦8, ♣J | pair
♥10, ♠8, ♥6, ♦8, ♦10 | two pairs
♥10, ♠8, ♥6, ♦8, ♥2 | pair
♥10, ♠8, ♥6, ♣J, ♦10 | pair
♥10, ♠8, ♥6, ♦10, ♥2 | pair
♥10, ♠8, ♠6, ♦8, ♣J | pair
♥10, ♠8, ♠6, ♦8, ♦10 | two pairs
♥10, ♠8, ♠6, ♦8, ♥2 | pair
♥10, ♠8, ♠6, ♣J, ♦10 | pair
♥10, ♠8, ♠6, ♦10, ♥2 | pair
♥10, ♠8, ♦8, ♣J, ♦10 | two pairs
♥10, ♠8, ♦8, ♣J, ♥2 | pair
♥10, ♠8, ♦8, ♦10, ♥2 | two pairs
♥10, ♠8, ♣J, ♦10, ♥2 | pair
♥10, ♣K, ♥6, ♠6, ♦8 | pair
♥10, ♣K, ♥6, ♠6, ♣J | pair
♥10, ♣K, ♥6, ♠6, ♦10 | two pairs
♥10, ♣K, ♥6, ♠6, ♥2 | pair
♥10, ♣K, ♥6, ♦8, ♦10 | pair
♥10, ♣K, ♥6, ♣J, ♦10 | pair
♥10, ♣K, ♥6, ♦10, ♥2 | pair
♥10, ♣K, ♠6, ♦8, ♦10 | pair
♥10, ♣K, ♠6, ♣J, ♦10 | pair
♥10, ♣K, ♠6, ♦10, ♥2 | pair
♥10, ♣K, ♦8, ♣J, ♦10 | pair
♥10, ♣K, ♦8, ♦10, ♥2 | pair
♥10, ♣K, ♣J, ♦10, ♥2 | pair
♥10, ♥6, ♠6, ♦8, ♣J | pair
♥10, ♥6, ♠6, ♦8, ♦10 | two pairs
♥10, ♥6, ♠6, ♦8, ♥2 | pair
♥10, ♥6, ♠6, ♣J, ♦10 | two pairs
♥10, ♥6, ♠6, ♣J, ♥2 | pair
♥10, ♥6, ♠6, ♦10, ♥2 | two pairs
♥10, ♥6, ♦8, ♣J, ♦10 | pair
♥10, ♥6, ♦8, ♦10, ♥2 | pair
♥10, ♥6, ♣J, ♦10, ♥2 | pair
♥10, ♠6, ♦8, ♣J, ♦10 | pair
♥10, ♠6, ♦8, ♦10, ♥2 | pair
♥10, ♠6, ♣J, ♦10, ♥2 | pair
♥10, ♦8, ♣J, ♦10, ♥2 | pair
♠8, ♣K, ♥6, ♠6, ♦8 | two pairs
♠8, ♣K, ♥6, ♠6, ♣J | pair
♠8, ♣K, ♥6, ♠6, ♦10 | pair
♠8, ♣K, ♥6, ♠6, ♥2 | pair
♠8, ♣K, ♥6, ♦8, ♣J | pair
♠8, ♣K, ♥6, ♦8, ♦10 | pair
♠8, ♣K, ♥6, ♦8, ♥2 | pair
♠8, ♣K, ♠6, ♦8, ♣J | pair
♠8, ♣K, ♠6, ♦8, ♦10 | pair
♠8, ♣K, ♠6, ♦8, ♥2 | pair
♠8, ♣K, ♦8, ♣J, ♦10 | pair
♠8, ♣K, ♦8, ♣J, ♥2 | pair
♠8, ♣K, ♦8, ♦10, ♥2 | pair
♠8, ♥6, ♠6, ♦8, ♣J | two pairs
♠8, ♥6, ♠6, ♦8, ♦10 | two pairs
♠8, ♥6, ♠6, ♦8, ♥2 | two pairs
♠8, ♥6, ♠6, ♣J, ♦10 | pair
♠8, ♥6, ♠6, ♣J, ♥2 | pair
♠8, ♥6, ♠6, ♦10, ♥2 | pair
♠8, ♥6, ♦8, ♣J, ♦10 | pair
♠8, ♥6, ♦8, ♣J, ♥2 | pair
♠8, ♥6, ♦8, ♦10, ♥2 | pair
♠8, ♠6, ♦8, ♣J, ♦10 | pair
♠8, ♠6, ♦8, ♣J, ♥2 | pair
♠8, ♠6, ♦8, ♦10, ♥2 | pair
♠8, ♦8, ♣J, ♦10, ♥2 | pair
♣K, ♥6, ♠6, ♦8, ♣J | pair
♣K, ♥6, ♠6, ♦8, ♦10 | pair
♣K, ♥6, ♠6, ♦8, ♥2 | pair
♣K, ♥6, ♠6, ♣J, ♦10 | pair
♣K, ♥6, ♠6, ♣J, ♥2 | pair
♣K, ♥6, ♠6, ♦10, ♥2 | pair
♥6, ♠6, ♦8, ♣J, ♦10 | pair
♥6, ♠6, ♦8, ♣J, ♥2 | pair
♥6, ♠6, ♦8, ♦10, ♥2 | pair
♥6, ♠6, ♣J, ♦10, ♥2 | pair
