♣J,♠J,♠A,♠T,♦8 | Pair
♠J,♠A,♣2,♠8,♣8 | Pair
♠J,♠A,♣2,♥J,♥Q | Pair
♠J,♠A,♣2,♥J,♦2 | Two Pairs
♠J,♠A,♣2,♥J,♥3 | Pair
♠J,♠A,♣2,♥J,♣4 | Pair
♠J,♠A,♣2,♥J,♦5 | Pair
♠J,♠A,♣2,♥J,♣8 | Pair
♠J,♠A,♣2,♥Q,♦2 | Pair
♠J,♠A,♣2,♦2,♥3 | Pair
♠J,♠A,♣2,♦2,♣4 | Pair
♠J,♠A,♣2,♦2,♦5 | Pair
♠J,♠A,♣2,♦2,♣8 | Pair
♠J,♠A,♠8,♥J,♥Q | Pair
♠J,♠A,♠8,♥J,♦2 | Pair
♠J,♠A,♠8,♥J,♥3 | Pair
♠J,♠A,♠8,♥J,♣4 | Pair
♠J,♠A,♠8,♥J,♦5 | Pair
♠J,♠A,♠8,♥J,♣8 | Two Pairs
♠J,♠A,♠8,♥Q,♣8 | Pair
♠J,♠A,♠8,♦2,♣8 | Pair
♠J,♠A,♠8,♥3,♣8 | Pair
♠J,♠A,♠8,♣4,♣8 | Pair
♠J,♠A,♠8,♦5,♣8 | Pair
♠J,♠A,♥J,♥Q,♦2 | Pair
♠J,♠A,♥J,♥Q,♥3 | Pair
♠J,♠A,♥J,♥Q,♣4 | Pair
♠J,♠A,♥J,♥Q,♦5 | Pair
♠J,♠A,♥J,♥Q,♣8 | Pair
♠J,♠A,♥J,♦2,♥3 | Pair
♠J,♠A,♥J,♦2,♣4 | Pair
♠J,♠A,♥J,♦2,♦5 | Pair
♠J,♠A,♥J,♦2,♣8 | Pair
♠J,♠A,♥J,♥3,♣4 | Pair
♠J,♠A,♥J,♥3,♦5 | Pair
♠J,♠A,♥J,♥3,♣8 | Pair
♠J,♠A,♥J,♣4,♦5 | Pair
♠J,♠A,♥J,♣4,♣8 | Pair
♠J,♠A,♥J,♦5,♣8 | Pair
♠J,♠T,♦8,♣2,♠8 | Pair
♠J,♠T,♦8,♣2,♥J | Pair
♠J,♠T,♦8,♣2,♦2 | Pair
♠J,♠T,♦8,♣2,♣8 | Pair
♠J,♠T,♦8,♠8,♥J | Two Pairs
♠J,♠T,♦8,♠8,♥Q | Pair
♠J,♠T,♦8,♠8,♦2 | Pair
♠J,♠T,♦8,♠8,♥3 | Pair
♠J,♠T,♦8,♠8,♣4 | Pair
♠J,♠T,♦8,♠8,♦5 | Pair
♠J,♠T,♦8,♠8,♣8 | Full House
♠J,♠T,♦8,♥J,♥Q | Pair
♠J,♠T,♦8,♥J,♦2 | Pair
♠J,♠T,♦8,♥J,♥3 | Pair
♠J,♠T,♦8,♥J,♣4 | Pair
♠J,♠T,♦8,♥J,♦5 | Pair
♠J,♠T,♦8,♥J,♣8 | Two Pairs
♠J,♠T,♦8,♥Q,♣8 | Pair
♠J,♠T,♦8,♦2,♣8 | Pair
♠J,♠T,♦8,♥3,♣8 | Pair
♠J,♠T,♦8,♣4,♣8 | Pair
♠J,♠T,♦8,♦5,♣8 | Pair
♠J,♠T,♣2,♠8,♥J | Pair
♠J,♠T,♣2,♠8,♦2 | Pair
♠J,♠T,♣2,♠8,♣8 | Pair
♠J,♠T,♣2,♥J,♥Q | Pair
♠J,♠T,♣2,♥J,♦2 | Two Pairs
♠J,♠T,♣2,♥J,♥3 | Pair
♠J,♠T,♣2,♥J,♣4 | Pair
♠J,♠T,♣2,♥J,♦5 | Pair
♠J,♠T,♣2,♥J,♣8 | Pair
♠J,♠T,♣2,♥Q,♦2 | Pair
♠J,♠T,♣2,♦2,♥3 | Pair
♠J,♠T,♣2,♦2,♣4 | Pair
♠J,♠T,♣2,♦2,♦5 | Pair
♠J,♠T,♣2,♦2,♣8 | Pair
♠J,♠T,♠8,♥J,♥Q | Pair
♠J,♠T,♠8,♥J,♦2 | Pair
♠J,♠T,♠8,♥J,♥3 | Pair
♠J,♠T,♠8,♥J,♣4 | Pair
♠J,♠T,♠8,♥J,♦5 | Pair
♠J,♠T,♠8,♥J,♣8 | Two Pairs
♠J,♠T,♠8,♥Q,♣8 | Pair
♠J,♠T,♠8,♦2,♣8 | Pair
♠J,♠T,♠8,♥3,♣8 | Pair
♠J,♠T,♠8,♣4,♣8 | Pair
♠J,♠T,♠8,♦5,♣8 | Pair
♠J,♠T,♥J,♥Q,♦2 | Pair
♠J,♠T,♥J,♥Q,♥3 | Pair
♠J,♠T,♥J,♥Q,♣4 | Pair
♠J,♠T,♥J,♥Q,♦5 | Pair
♠J,♠T,♥J,♥Q,♣8 | Pair
♠J,♠T,♥J,♦2,♥3 | Pair
♠J,♠T,♥J,♦2,♣4 | Pair
♠J,♠T,♥J,♦2,♦5 | Pair
♠J,♠T,♥J,♦2,♣8 | Pair
♠J,♠T,♥J,♥3,♣4 | Pair
♠J,♠T,♥J,♥3,♦5 | Pair
♠J,♠T,♥J,♥3,♣8 | Pair
♠J,♠T,♥J,♣4,♦5 | Pair
♠J,♠T,♥J,♣4,♣8 | Pair
♠J,♠T,♥J,♦5,♣8 | Pair
♠J,♦8,♣2,♠8,♥J | Two Pairs
♠J,♦8,♣2,♠8,♥Q | Pair
♠J,♦8,♣2,♠8,♦2 | Two Pairs
♠J,♦8,♣2,♠8,♥3 | Pair
♠J,♦8,♣2,♠8,♣4 | Pair
♠J,♦8,♣2,♠8,♦5 | Pair
♠J,♦8,♣2,♠8,♣8 | Full House
♠J,♦8,♣2,♥J,♥Q | Pair
♠J,♦8,♣2,♥J,♦2 | Two Pairs
♠J,♦8,♣2,♥J,♥3 | Pair
♠J,♦8,♣2,♥J,♣4 | Pair
♠J,♦8,♣2,♥J,♦5 | Pair
♠J,♦8,♣2,♥J,♣8 | Two Pairs
♠J,♦8,♣2,♥Q,♦2 | Pair
♠J,♦8,♣2,♥Q,♣8 | Pair
♠J,♦8,♣2,♦2,♥3 | Pair
♠J,♦8,♣2,♦2,♣4 | Pair
♠J,♦8,♣2,♦2,♦5 | Pair
♠J,♦8,♣2,♦2,♣8 | Two Pairs
♠J,♦8,♣2,♥3,♣8 | Pair
♠J,♦8,♣2,♣4,♣8 | Pair
♠J,♦8,♣2,♦5,♣8 | Pair
♠J,♦8,♠8,♥J,♥Q | Two Pairs
♠J,♦8,♠8,♥J,♦2 | Two Pairs
♠J,♦8,♠8,♥J,♥3 | Two Pairs
♠J,♦8,♠8,♥J,♣4 | Two Pairs
♠J,♦8,♠8,♥J,♦5 | Two Pairs
♠J,♦8,♠8,♥J,♣8 | Full House
♠J,♦8,♠8,♥Q,♦2 | Pair
♠J,♦8,♠8,♥Q,♥3 | Pair
♠J,♦8,♠8,♥Q,♣4 | Pair
♠J,♦8,♠8,♥Q,♦5 | Pair
♠J,♦8,♠8,♥Q,♣8 | Full House
♠J,♦8,♠8,♦2,♥3 | Pair
♠J,♦8,♠8,♦2,♣4 | Pair
♠J,♦8,♠8,♦2,♦5 | Pair
♠J,♦8,♠8,♦2,♣8 | Full House
♠J,♦8,♠8,♥3,♣4 | Pair
♠J,♦8,♠8,♥3,♦5 | Pair
♠J,♦8,♠8,♥3,♣8 | Full House
♠J,♦8,♠8,♣4,♦5 | Pair
♠J,♦8,♠8,♣4,♣8 | Full House
♠J,♦8,♠8,♦5,♣8 | Full House
♠J,♦8,♥J,♥Q,♦2 | Pair
♠J,♦8,♥J,♥Q,♥3 | Pair
♠J,♦8,♥J,♥Q,♣4 | Pair
♠J,♦8,♥J,♥Q,♦5 | Pair
♠J,♦8,♥J,♥Q,♣8 | Two Pairs
♠J,♦8,♥J,♦2,♥3 | Pair
♠J,♦8,♥J,♦2,♣4 | Pair
♠J,♦8,♥J,♦2,♦5 | Pair
♠J,♦8,♥J,♦2,♣8 | Two Pairs
♠J,♦8,♥J,♥3,♣4 | Pair
♠J,♦8,♥J,♥3,♦5 | Pair
♠J,♦8,♥J,♥3,♣8 | Two Pairs
♠J,♦8,♥J,♣4,♦5 | Pair
♠J,♦8,♥J,♣4,♣8 | Two Pairs
♠J,♦8,♥J,♦5,♣8 | Two Pairs
♠J,♦8,♥Q,♦2,♣8 | Pair
♠J,♦8,♥Q,♥3,♣8 | Pair
♠J,♦8,♥Q,♣4,♣8 | Pair
♠J,♦8,♥Q,♦5,♣8 | Pair
♠J,♦8,♦2,♥3,♣8 | Pair
♠J,♦8,♦2,♣4,♣8 | Pair
♠J,♦8,♦2,♦5,♣8 | Pair
♠J,♦8,♥3,♣4,♣8 | Pair
♠J,♦8,♥3,♦5,♣8 | Pair
♠J,♦8,♣4,♦5,♣8 | Pair
♠J,♣2,♠8,♥J,♥Q | Pair
♠J,♣2,♠8,♥J,♦2 | Two Pairs
♠J,♣2,♠8,♥J,♥3 | Pair
♠J,♣2,♠8,♥J,♣4 | Pair
♠J,♣2,♠8,♥J,♦5 | Pair
♠J,♣2,♠8,♥J,♣8 | Two Pairs
♠J,♣2,♠8,♥Q,♦2 | Pair
♠J,♣2,♠8,♥Q,♣8 | Pair
♠J,♣2,♠8,♦2,♥3 | Pair
♠J,♣2,♠8,♦2,♣4 | Pair
♠J,♣2,♠8,♦2,♦5 | Pair
♠J,♣2,♠8,♦2,♣8 | Two Pairs
♠J,♣2,♠8,♥3,♣8 | Pair
♠J,♣2,♠8,♣4,♣8 | Pair
♠J,♣2,♠8,♦5,♣8 | Pair
♠J,♣2,♥J,♥Q,♦2 | Two Pairs
♠J,♣2,♥J,♥Q,♥3 | Pair
♠J,♣2,♥J,♥Q,♣4 | Pair
♠J,♣2,♥J,♥Q,♦5 | Pair
♠J,♣2,♥J,♥Q,♣8 | Pair
♠J,♣2,♥J,♦2,♥3 | Two Pairs
♠J,♣2,♥J,♦2,♣4 | Two Pairs
♠J,♣2,♥J,♦2,♦5 | Two Pairs
♠J,♣2,♥J,♦2,♣8 | Two Pairs
♠J,♣2,♥J,♥3,♣4 | Pair
♠J,♣2,♥J,♥3,♦5 | Pair
♠J,♣2,♥J,♥3,♣8 | Pair
♠J,♣2,♥J,♣4,♦5 | Pair
♠J,♣2,♥J,♣4,♣8 | Pair
♠J,♣2,♥J,♦5,♣8 | Pair
♠J,♣2,♥Q,♦2,♥3 | Pair
♠J,♣2,♥Q,♦2,♣4 | Pair
♠J,♣2,♥Q,♦2,♦5 | Pair
♠J,♣2,♥Q,♦2,♣8 | Pair
♠J,♣2,♦2,♥3,♣4 | Pair
♠J,♣2,♦2,♥3,♦5 | Pair
♠J,♣2,♦2,♥3,♣8 | Pair
♠J,♣2,♦2,♣4,♦5 | Pair
♠J,♣2,♦2,♣4,♣8 | Pair
♠J,♣2,♦2,♦5,♣8 | Pair
♠J,♠8,♥J,♥Q,♦2 | Pair
♠J,♠8,♥J,♥Q,♥3 | Pair
♠J,♠8,♥J,♥Q,♣4 | Pair
♠J,♠8,♥J,♥Q,♦5 | Pair
♠J,♠8,♥J,♥Q,♣8 | Two Pairs
♠J,♠8,♥J,♦2,♥3 | Pair
♠J,♠8,♥J,♦2,♣4 | Pair
♠J,♠8,♥J,♦2,♦5 | Pair
♠J,♠8,♥J,♦2,♣8 | Two Pairs
♠J,♠8,♥J,♥3,♣4 | Pair
♠J,♠8,♥J,♥3,♦5 | Pair
♠J,♠8,♥J,♥3,♣8 | Two Pairs
♠J,♠8,♥J,♣4,♦5 | Pair
♠J,♠8,♥J,♣4,♣8 | Two Pairs
♠J,♠8,♥J,♦5,♣8 | Two Pairs
♠J,♠8,♥Q,♦2,♣8 | Pair
♠J,♠8,♥Q,♥3,♣8 | Pair
♠J,♠8,♥Q,♣4,♣8 | Pair
♠J,♠8,♥Q,♦5,♣8 | Pair
♠J,♠8,♦2,♥3,♣8 | Pair
♠J,♠8,♦2,♣4,♣8 | Pair
♠J,♠8,♦2,♦5,♣8 | Pair
♠J,♠8,♥3,♣4,♣8 | Pair
♠J,♠8,♥3,♦5,♣8 | Pair
♠J,♠8,♣4,♦5,♣8 | Pair
♠J,♥J,♥Q,♦2,♥3 | Pair
♠J,♥J,♥Q,♦2,♣4 | Pair
♠J,♥J,♥Q,♦2,♦5 | Pair
♠J,♥J,♥Q,♦2,♣8 | Pair
♠J,♥J,♥Q,♥3,♣4 | Pair
♠J,♥J,♥Q,♥3,♦5 | Pair
♠J,♥J,♥Q,♥3,♣8 | Pair
♠J,♥J,♥Q,♣4,♦5 | Pair
♠J,♥J,♥Q,♣4,♣8 | Pair
♠J,♥J,♥Q,♦5,♣8 | Pair
♠J,♥J,♦2,♥3,♣4 | Pair
♠J,♥J,♦2,♥3,♦5 | Pair
♠J,♥J,♦2,♥3,♣8 | Pair
♠J,♥J,♦2,♣4,♦5 | Pair
♠J,♥J,♦2,♣4,♣8 | Pair
♠J,♥J,♦2,♦5,♣8 | Pair
♠J,♥J,♥3,♣4,♦5 | Pair
♠J,♥J,♥3,♣4,♣8 | Pair
♠J,♥J,♥3,♦5,♣8 | Pair
♠J,♥J,♣4,♦5,♣8 | Pair
♠A,♠T,♦8,♣2,♠8 | Pair
♠A,♠T,♦8,♣2,♦2 | Pair
♠A,♠T,♦8,♣2,♣8 | Pair
♠A,♠T,♦8,♠8,♥J | Pair
♠A,♠T,♦8,♠8,♥Q | Pair
♠A,♠T,♦8,♠8,♦2 | Pair
♠A,♠T,♦8,♠8,♥3 | Pair
♠A,♠T,♦8,♠8,♣4 | Pair
♠A,♠T,♦8,♠8,♦5 | Pair
♠A,♠T,♦8,♠8,♣8 | Full House
♠A,♠T,♦8,♥J,♣8 | Pair
♠A,♠T,♦8,♥Q,♣8 | Pair
♠A,♠T,♦8,♦2,♣8 | Pair
♠A,♠T,♦8,♥3,♣8 | Pair
♠A,♠T,♦8,♣4,♣8 | Pair
♠A,♠T,♦8,♦5,♣8 | Pair
♠A,♠T,♣2,♠8,♦2 | Pair
♠A,♠T,♣2,♠8,♣8 | Pair
♠A,♠T,♣2,♥J,♦2 | Pair
♠A,♠T,♣2,♥Q,♦2 | Pair
♠A,♠T,♣2,♦2,♥3 | Pair
♠A,♠T,♣2,♦2,♣4 | Pair
♠A,♠T,♣2,♦2,♦5 | Pair
♠A,♠T,♣2,♦2,♣8 | Pair
♠A,♠T,♠8,♥J,♣8 | Pair
♠A,♠T,♠8,♥Q,♣8 | Pair
♠A,♠T,♠8,♦2,♣8 | Pair
♠A,♠T,♠8,♥3,♣8 | Pair
♠A,♠T,♠8,♣4,♣8 | Pair
♠A,♠T,♠8,♦5,♣8 | Pair
♠A,♦8,♣2,♠8,♥J | Pair
♠A,♦8,♣2,♠8,♥Q | Pair
♠A,♦8,♣2,♠8,♦2 | Two Pairs
♠A,♦8,♣2,♠8,♥3 | Pair
♠A,♦8,♣2,♠8,♣4 | Pair
♠A,♦8,♣2,♠8,♦5 | Pair
♠A,♦8,♣2,♠8,♣8 | Full House
♠A,♦8,♣2,♥J,♦2 | Pair
♠A,♦8,♣2,♥J,♣8 | Pair
♠A,♦8,♣2,♥Q,♦2 | Pair
♠A,♦8,♣2,♥Q,♣8 | Pair
♠A,♦8,♣2,♦2,♥3 | Pair
♠A,♦8,♣2,♦2,♣4 | Pair
♠A,♦8,♣2,♦2,♦5 | Pair
♠A,♦8,♣2,♦2,♣8 | Two Pairs
♠A,♦8,♣2,♥3,♣8 | Pair
♠A,♦8,♣2,♣4,♣8 | Pair
♠A,♦8,♣2,♦5,♣8 | Pair
♠A,♦8,♠8,♥J,♥Q | Pair
♠A,♦8,♠8,♥J,♦2 | Pair
♠A,♦8,♠8,♥J,♥3 | Pair
♠A,♦8,♠8,♥J,♣4 | Pair
♠A,♦8,♠8,♥J,♦5 | Pair
♠A,♦8,♠8,♥J,♣8 | Full House
♠A,♦8,♠8,♥Q,♦2 | Pair
♠A,♦8,♠8,♥Q,♥3 | Pair
♠A,♦8,♠8,♥Q,♣4 | Pair
♠A,♦8,♠8,♥Q,♦5 | Pair
♠A,♦8,♠8,♥Q,♣8 | Full House
♠A,♦8,♠8,♦2,♥3 | Pair
♠A,♦8,♠8,♦2,♣4 | Pair
♠A,♦8,♠8,♦2,♦5 | Pair
♠A,♦8,♠8,♦2,♣8 | Full House
♠A,♦8,♠8,♥3,♣4 | Pair
♠A,♦8,♠8,♥3,♦5 | Pair
♠A,♦8,♠8,♥3,♣8 | Full House
♠A,♦8,♠8,♣4,♦5 | Pair
♠A,♦8,♠8,♣4,♣8 | Full House
♠A,♦8,♠8,♦5,♣8 | Full House
♠A,♦8,♥J,♥Q,♣8 | Pair
♠A,♦8,♥J,♦2,♣8 | Pair
♠A,♦8,♥J,♥3,♣8 | Pair
♠A,♦8,♥J,♣4,♣8 | Pair
♠A,♦8,♥J,♦5,♣8 | Pair
♠A,♦8,♥Q,♦2,♣8 | Pair
♠A,♦8,♥Q,♥3,♣8 | Pair
♠A,♦8,♥Q,♣4,♣8 | Pair
♠A,♦8,♥Q,♦5,♣8 | Pair
♠A,♦8,♦2,♥3,♣8 | Pair
♠A,♦8,♦2,♣4,♣8 | Pair
♠A,♦8,♦2,♦5,♣8 | Pair
♠A,♦8,♥3,♣4,♣8 | Pair
♠A,♦8,♥3,♦5,♣8 | Pair
♠A,♦8,♣4,♦5,♣8 | Pair
♠A,♣2,♠8,♥J,♦2 | Pair
♠A,♣2,♠8,♥J,♣8 | Pair
♠A,♣2,♠8,♥Q,♦2 | Pair
♠A,♣2,♠8,♥Q,♣8 | Pair
♠A,♣2,♠8,♦2,♥3 | Pair
♠A,♣2,♠8,♦2,♣4 | Pair
♠A,♣2,♠8,♦2,♦5 | Pair
♠A,♣2,♠8,♦2,♣8 | Two Pairs
♠A,♣2,♠8,♥3,♣8 | Pair
♠A,♣2,♠8,♣4,♣8 | Pair
♠A,♣2,♠8,♦5,♣8 | Pair
♠A,♣2,♥J,♥Q,♦2 | Pair
♠A,♣2,♥J,♦2,♥3 | Pair
♠A,♣2,♥J,♦2,♣4 | Pair
♠A,♣2,♥J,♦2,♦5 | Pair
♠A,♣2,♥J,♦2,♣8 | Pair
♠A,♣2,♥Q,♦2,♥3 | Pair
♠A,♣2,♥Q,♦2,♣4 | Pair
♠A,♣2,♥Q,♦2,♦5 | Pair
♠A,♣2,♥Q,♦2,♣8 | Pair
♠A,♣2,♦2,♥3,♣4 | Pair
♠A,♣2,♦2,♥3,♦5 | Pair
♠A,♣2,♦2,♥3,♣8 | Pair
♠A,♣2,♦2,♣4,♦5 | Pair
♠A,♣2,♦2,♣4,♣8 | Pair
♠A,♣2,♦2,♦5,♣8 | Pair
♠A,♠8,♥J,♥Q,♣8 | Pair
♠A,♠8,♥J,♦2,♣8 | Pair
♠A,♠8,♥J,♥3,♣8 | Pair
♠A,♠8,♥J,♣4,♣8 | Pair
♠A,♠8,♥J,♦5,♣8 | Pair
♠A,♠8,♥Q,♦2,♣8 | Pair
♠A,♠8,♥Q,♥3,♣8 | Pair
♠A,♠8,♥Q,♣4,♣8 | Pair
♠A,♠8,♥Q,♦5,♣8 | Pair
♠A,♠8,♦2,♥3,♣8 | Pair
♠A,♠8,♦2,♣4,♣8 | Pair
♠A,♠8,♦2,♦5,♣8 | Pair
♠A,♠8,♥3,♣4,♣8 | Pair
♠A,♠8,♥3,♦5,♣8 | Pair
♠A,♠8,♣4,♦5,♣8 | Pair
♠T,♦8,♣2,♠8,♥J | Pair
♠T,♦8,♣2,♠8,♥Q | Pair
♠T,♦8,♣2,♠8,♦2 | Two Pairs
♠T,♦8,♣2,♠8,♥3 | Pair
♠T,♦8,♣2,♠8,♣4 | Pair
♠T,♦8,♣2,♠8,♦5 | Pair
♠T,♦8,♣2,♠8,♣8 | Full House
♠T,♦8,♣2,♥J,♦2 | Pair
♠T,♦8,♣2,♥J,♣8 | Pair
♠T,♦8,♣2,♥Q,♦2 | Pair
♠T,♦8,♣2,♥Q,♣8 | Pair
♠T,♦8,♣2,♦2,♥3 | Pair
♠T,♦8,♣2,♦2,♣4 | Pair
♠T,♦8,♣2,♦2,♦5 | Pair
♠T,♦8,♣2,♦2,♣8 | Two Pairs
♠T,♦8,♣2,♥3,♣8 | Pair
♠T,♦8,♣2,♣4,♣8 | Pair
♠T,♦8,♣2,♦5,♣8 | Pair
♠T,♦8,♠8,♥J,♥Q | Pair
♠T,♦8,♠8,♥J,♦2 | Pair
♠T,♦8,♠8,♥J,♥3 | Pair
♠T,♦8,♠8,♥J,♣4 | Pair
♠T,♦8,♠8,♥J,♦5 | Pair
♠T,♦8,♠8,♥J,♣8 | Full House
♠T,♦8,♠8,♥Q,♦2 | Pair
♠T,♦8,♠8,♥Q,♥3 | Pair
♠T,♦8,♠8,♥Q,♣4 | Pair
♠T,♦8,♠8,♥Q,♦5 | Pair
♠T,♦8,♠8,♥Q,♣8 | Full House
♠T,♦8,♠8,♦2,♥3 | Pair
♠T,♦8,♠8,♦2,♣4 | Pair
♠T,♦8,♠8,♦2,♦5 | Pair
♠T,♦8,♠8,♦2,♣8 | Full House
♠T,♦8,♠8,♥3,♣4 | Pair
♠T,♦8,♠8,♥3,♦5 | Pair
♠T,♦8,♠8,♥3,♣8 | Full House
♠T,♦8,♠8,♣4,♦5 | Pair
♠T,♦8,♠8,♣4,♣8 | Full House
♠T,♦8,♠8,♦5,♣8 | Full House
♠T,♦8,♥J,♥Q,♣8 | Pair
♠T,♦8,♥J,♦2,♣8 | Pair
♠T,♦8,♥J,♥3,♣8 | Pair
♠T,♦8,♥J,♣4,♣8 | Pair
♠T,♦8,♥J,♦5,♣8 | Pair
♠T,♦8,♥Q,♦2,♣8 | Pair
♠T,♦8,♥Q,♥3,♣8 | Pair
♠T,♦8,♥Q,♣4,♣8 | Pair
♠T,♦8,♥Q,♦5,♣8 | Pair
♠T,♦8,♦2,♥3,♣8 | Pair
♠T,♦8,♦2,♣4,♣8 | Pair
♠T,♦8,♦2,♦5,♣8 | Pair
♠T,♦8,♥3,♣4,♣8 | Pair
♠T,♦8,♥3,♦5,♣8 | Pair
♠T,♦8,♣4,♦5,♣8 | Pair
♠T,♣2,♠8,♥J,♦2 | Pair
♠T,♣2,♠8,♥J,♣8 | Pair
♠T,♣2,♠8,♥Q,♦2 | Pair
♠T,♣2,♠8,♥Q,♣8 | Pair
♠T,♣2,♠8,♦2,♥3 | Pair
♠T,♣2,♠8,♦2,♣4 | Pair
♠T,♣2,♠8,♦2,♦5 | Pair
♠T,♣2,♠8,♦2,♣8 | Two Pairs
♠T,♣2,♠8,♥3,♣8 | Pair
♠T,♣2,♠8,♣4,♣8 | Pair
♠T,♣2,♠8,♦5,♣8 | Pair
♠T,♣2,♥J,♥Q,♦2 | Pair
♠T,♣2,♥J,♦2,♥3 | Pair
♠T,♣2,♥J,♦2,♣4 | Pair
♠T,♣2,♥J,♦2,♦5 | Pair
♠T,♣2,♥J,♦2,♣8 | Pair
♠T,♣2,♥Q,♦2,♥3 | Pair
♠T,♣2,♥Q,♦2,♣4 | Pair
♠T,♣2,♥Q,♦2,♦5 | Pair
♠T,♣2,♥Q,♦2,♣8 | Pair
♠T,♣2,♦2,♥3,♣4 | Pair
♠T,♣2,♦2,♥3,♦5 | Pair
♠T,♣2,♦2,♥3,♣8 | Pair
♠T,♣2,♦2,♣4,♦5 | Pair
♠T,♣2,♦2,♣4,♣8 | Pair
♠T,♣2,♦2,♦5,♣8 | Pair
♠T,♠8,♥J,♥Q,♣8 | Pair
♠T,♠8,♥J,♦2,♣8 | Pair
♠T,♠8,♥J,♥3,♣8 | Pair
♠T,♠8,♥J,♣4,♣8 | Pair
♠T,♠8,♥J,♦5,♣8 | Pair
♠T,♠8,♥Q,♦2,♣8 | Pair
♠T,♠8,♥Q,♥3,♣8 | Pair
♠T,♠8,♥Q,♣4,♣8 | Pair
♠T,♠8,♥Q,♦5,♣8 | Pair
♠T,♠8,♦2,♥3,♣8 | Pair
♠T,♠8,♦2,♣4,♣8 | Pair
♠T,♠8,♦2,♦5,♣8 | Pair
♠T,♠8,♥3,♣4,♣8 | Pair
♠T,♠8,♥3,♦5,♣8 | Pair
♠T,♠8,♣4,♦5,♣8 | Pair
♦8,♣2,♠8,♥J,♥Q | Pair
♦8,♣2,♠8,♥J,♦2 | Two Pairs
♦8,♣2,♠8,♥J,♥3 | Pair
♦8,♣2,♠8,♥J,♣4 | Pair
♦8,♣2,♠8,♥J,♦5 | Pair
♦8,♣2,♠8,♥J,♣8 | Full House
♦8,♣2,♠8,♥Q,♦2 | Two Pairs
♦8,♣2,♠8,♥Q,♥3 | Pair
♦8,♣2,♠8,♥Q,♣4 | Pair
♦8,♣2,♠8,♥Q,♦5 | Pair
♦8,♣2,♠8,♥Q,♣8 | Full House
♦8,♣2,♠8,♦2,♥3 | Two Pairs
♦8,♣2,♠8,♦2,♣4 | Two Pairs
♦8,♣2,♠8,♦2,♦5 | Two Pairs
♦8,♣2,♠8,♦2,♣8 | Full House
♦8,♣2,♠8,♥3,♣4 | Pair
♦8,♣2,♠8,♥3,♦5 | Pair
♦8,♣2,♠8,♥3,♣8 | Full House
♦8,♣2,♠8,♣4,♦5 | Pair
♦8,♣2,♠8,♣4,♣8 | Full House
♦8,♣2,♠8,♦5,♣8 | Full House
♦8,♣2,♥J,♥Q,♦2 | Pair
♦8,♣2,♥J,♥Q,♣8 | Pair
♦8,♣2,♥J,♦2,♥3 | Pair
♦8,♣2,♥J,♦2,♣4 | Pair
♦8,♣2,♥J,♦2,♦5 | Pair
♦8,♣2,♥J,♦2,♣8 | Two Pairs
♦8,♣2,♥J,♥3,♣8 | Pair
♦8,♣2,♥J,♣4,♣8 | Pair
♦8,♣2,♥J,♦5,♣8 | Pair
♦8,♣2,♥Q,♦2,♥3 | Pair
♦8,♣2,♥Q,♦2,♣4 | Pair
♦8,♣2,♥Q,♦2,♦5 | Pair
♦8,♣2,♥Q,♦2,♣8 | Two Pairs
♦8,♣2,♥Q,♥3,♣8 | Pair
♦8,♣2,♥Q,♣4,♣8 | Pair
♦8,♣2,♥Q,♦5,♣8 | Pair
♦8,♣2,♦2,♥3,♣4 | Pair
♦8,♣2,♦2,♥3,♦5 | Pair
♦8,♣2,♦2,♥3,♣8 | Two Pairs
♦8,♣2,♦2,♣4,♦5 | Pair
♦8,♣2,♦2,♣4,♣8 | Two Pairs
♦8,♣2,♦2,♦5,♣8 | Two Pairs
♦8,♣2,♥3,♣4,♣8 | Pair
♦8,♣2,♥3,♦5,♣8 | Pair
♦8,♣2,♣4,♦5,♣8 | Pair
♦8,♠8,♥J,♥Q,♦2 | Pair
♦8,♠8,♥J,♥Q,♥3 | Pair
♦8,♠8,♥J,♥Q,♣4 | Pair
♦8,♠8,♥J,♥Q,♦5 | Pair
♦8,♠8,♥J,♥Q,♣8 | Full House
♦8,♠8,♥J,♦2,♥3 | Pair
♦8,♠8,♥J,♦2,♣4 | Pair
♦8,♠8,♥J,♦2,♦5 | Pair
♦8,♠8,♥J,♦2,♣8 | Full House
♦8,♠8,♥J,♥3,♣4 | Pair
♦8,♠8,♥J,♥3,♦5 | Pair
♦8,♠8,♥J,♥3,♣8 | Full House
♦8,♠8,♥J,♣4,♦5 | Pair
♦8,♠8,♥J,♣4,♣8 | Full House
♦8,♠8,♥J,♦5,♣8 | Full House
♦8,♠8,♥Q,♦2,♥3 | Pair
♦8,♠8,♥Q,♦2,♣4 | Pair
♦8,♠8,♥Q,♦2,♦5 | Pair
♦8,♠8,♥Q,♦2,♣8 | Full House
♦8,♠8,♥Q,♥3,♣4 | Pair
♦8,♠8,♥Q,♥3,♦5 | Pair
♦8,♠8,♥Q,♥3,♣8 | Full House
♦8,♠8,♥Q,♣4,♦5 | Pair
♦8,♠8,♥Q,♣4,♣8 | Full House
♦8,♠8,♥Q,♦5,♣8 | Full House
♦8,♠8,♦2,♥3,♣4 | Pair
♦8,♠8,♦2,♥3,♦5 | Pair
♦8,♠8,♦2,♥3,♣8 | Full House
