♠J, ♥4, ♣4, ♣3, ♣10 | pair
♣3, ♣10, ♥A, ♠7, ♣A | pair
♣3, ♣10, ♣9, ♣2, ♣A | flush
♣3, ♥A, ♣9, ♠4, ♣A | pair
♣3, ♥A, ♣9, ♦8, ♣A | pair
♣3, ♥A, ♣9, ♥6, ♣A | pair
♣3, ♥A, ♣9, ♣2, ♣A | pair
♣3, ♥A, ♣9, ♠7, ♣A | pair
♣3, ♥A, ♠4, ♦8, ♣A | pair
♣3, ♥A, ♠4, ♥6, ♣A | pair
♣3, ♥A, ♠4, ♣2, ♣A | pair
♣3, ♥A, ♠4, ♠7, ♣A | pair
♣3, ♥A, ♦8, ♥6, ♣A | pair
♣3, ♥A, ♦8, ♣2, ♣A | pair
♣3, ♥A, ♦8, ♠7, ♣A | pair
♣3, ♥A, ♥6, ♣2, ♣A | pair
♣3, ♥A, ♥6, ♠7, ♣A | pair
♣3, ♥A, ♣2, ♠7, ♣A | pair
♣10, ♥A, ♣9, ♠4, ♣A | pair
♣10, ♥A, ♣9, ♦8, ♣A | pair
♣10, ♥A, ♣9, ♥6, ♣A | pair
♣10, ♥A, ♣9, ♣2, ♣A | pair
♣10, ♥A, ♣9, ♠7, ♣A | pair
♣10, ♥A, ♠4, ♦8, ♣A | pair
♣10, ♥A, ♠4, ♥6, ♣A | pair
♣10, ♥A, ♠4, ♣2, ♣A | pair
♣10, ♥A, ♠4, ♠7, ♣A | pair
♣10, ♥A, ♦8, ♥6, ♣A | pair
♣10, ♥A, ♦8, ♣2, ♣A | pair
♣10, ♥A, ♦8, ♠7, ♣A | pair
♣10, ♥A, ♥6, ♣2, ♣A | pair
♣10, ♥A, ♥6, ♠7, ♣A | pair
♣10, ♥A, ♣2, ♠7, ♣A | pair
♣10, ♣9, ♦8, ♥6, ♠7 | straight
♥A, ♣9, ♠4, ♦8, ♣A | pair
♥A, ♣9, ♠4, ♥6, ♣A | pair
♥A, ♣9, ♠4, ♣2, ♣A | pair
♥A, ♣9, ♠4, ♠7, ♣A | pair
♥A, ♣9, ♦8, ♥6, ♣A | pair
♥A, ♣9, ♦8, ♣2, ♣A | pair
♥A, ♣9, ♦8, ♠7, ♣A | pair
♥A, ♣9, ♥6, ♣2, ♣A | pair
♥A, ♣9, ♥6, ♠7, ♣A | pair
♥A, ♣9, ♣2, ♠7, ♣A | pair
♥A, ♠4, ♦8, ♥6, ♣A | pair
♥A, ♠4, ♦8, ♣2, ♣A | pair
♥A, ♠4, ♦8, ♠7, ♣A | pair
♥A, ♠4, ♥6, ♣2, ♣A | pair
♥A, ♠4, ♥6, ♠7, ♣A | pair
♥A, ♠4, ♣2, ♠7, ♣A | pair
♥A, ♦8, ♥6, ♣2, ♣A | pair
♥A, ♦8, ♥6, ♠7, ♣A | pair
♥A, ♦8, ♣2, ♠7, ♣A | pair
♥A, ♥6, ♣2, ♠7, ♣A | pair
