♦7, ♠10, ♥K, ♣3, ♥3 | pair
♣3, ♠9, ♥3, ♠7, ♣A | pair
♣3, ♠9, ♥3, ♠7, ♥4 | pair
♣3, ♠9, ♥3, ♠7, ♣2 | pair
♣3, ♠9, ♥3, ♠7, ♦Q | pair
♣3, ♠9, ♥3, ♠7, ♣10 | pair
♣3, ♠9, ♥3, ♠7, ♠A | pair
♣3, ♠9, ♥3, ♣A, ♥4 | pair
♣3, ♠9, ♥3, ♣A, ♣2 | pair
♣3, ♠9, ♥3, ♣A, ♦Q | pair
♣3, ♠9, ♥3, ♣A, ♣10 | pair
♣3, ♠9, ♥3, ♣A, ♠A | two pairs
♣3, ♠9, ♥3, ♥4, ♣2 | pair
♣3, ♠9, ♥3, ♥4, ♦Q | pair
♣3, ♠9, ♥3, ♥4, ♣10 | pair
♣3, ♠9, ♥3, ♥4, ♠A | pair
♣3, ♠9, ♥3, ♣2, ♦Q | pair
♣3, ♠9, ♥3, ♣2, ♣10 | pair
♣3, ♠9, ♥3, ♣2, ♠A | pair
♣3, ♠9, ♥3, ♦Q, ♣10 | pair
♣3, ♠9, ♥3, ♦Q, ♠A | pair
♣3, ♠9, ♥3, ♣10, ♠A | pair
♣3, ♠9, ♠7, ♣A, ♠A | pair
♣3, ♠9, ♣A, ♥4, ♠A | pair
♣3, ♠9, ♣A, ♣2, ♠A | pair
♣3, ♠9, ♣A, ♦Q, ♠A | pair
♣3, ♠9, ♣A, ♣10, ♠A | pair
♣3, ♥3, ♠7, ♣A, ♥4 | pair
♣3, ♥3, ♠7, ♣A, ♣2 | pair
♣3, ♥3, ♠7, ♣A, ♦Q | pair
♣3, ♥3, ♠7, ♣A, ♣10 | pair
♣3, ♥3, ♠7, ♣A, ♠A | two pairs
♣3, ♥3, ♠7, ♥4, ♣2 | pair
♣3, ♥3, ♠7, ♥4, ♦Q | pair
♣3, ♥3, ♠7, ♥4, ♣10 | pair
♣3, ♥3, ♠7, ♥4, ♠A | pair
♣3, ♥3, ♠7, ♣2, ♦Q | pair
♣3, ♥3, ♠7, ♣2, ♣10 | pair
♣3, ♥3, ♠7, ♣2, ♠A | pair
♣3, ♥3, ♠7, ♦Q, ♣10 | pair
♣3, ♥3, ♠7, ♦Q, ♠A | pair
♣3, ♥3, ♠7, ♣10, ♠A | pair
♣3, ♥3, ♣A, ♥4, ♣2 | pair
♣3, ♥3, ♣A, ♥4, ♦Q | pair
♣3, ♥3, ♣A, ♥4, ♣10 | pair
♣3, ♥3, ♣A, ♥4, ♠A | two pairs
♣3, ♥3, ♣A, ♣2, ♦Q | pair
♣3, ♥3, ♣A, ♣2, ♣10 | pair
♣3, ♥3, ♣A, ♣2, ♠A | two pairs
♣3, ♥3, ♣A, ♦Q, ♣10 | pair
♣3, ♥3, ♣A, ♦Q, ♠A | two pairs
♣3, ♥3, ♣A, ♣10, ♠A | two pairs
♣3, ♥3, ♥4, ♣2, ♦Q | pair
♣3, ♥3, ♥4, ♣2, ♣10 | pair
♣3, ♥3, ♥4, ♣2, ♠A | pair
♣3, ♥3, ♥4, ♦Q, ♣10 | pair
♣3, ♥3, ♥4, ♦Q, ♠A | pair
♣3, ♥3, ♥4, ♣10, ♠A | pair
♣3, ♥3, ♣2, ♦Q, ♣10 | pair
♣3, ♥3, ♣2, ♦Q, ♠A | pair
♣3, ♥3, ♣2, ♣10, ♠A | pair
♣3, ♥3, ♦Q, ♣10, ♠A | pair
♣3, ♠7, ♣A, ♥4, ♠A | pair
♣3, ♠7, ♣A, ♣2, ♠A | pair
♣3, ♠7, ♣A, ♦Q, ♠A | pair
♣3, ♠7, ♣A, ♣10, ♠A | pair
♣3, ♣A, ♥4, ♣2, ♠A | pair
♣3, ♣A, ♥4, ♦Q, ♠A | pair
♣3, ♣A, ♥4, ♣10, ♠A | pair
♣3, ♣A, ♣2, ♦Q, ♠A | pair
♣3, ♣A, ♣2, ♣10, ♠A | pair
♣3, ♣A, ♦Q, ♣10, ♠A | pair
♠9, ♥3, ♠7, ♣A, ♠A | pair
♠9, ♥3, ♣A, ♥4, ♠A | pair
♠9, ♥3, ♣A, ♣2, ♠A | pair
♠9, ♥3, ♣A, ♦Q, ♠A | pair
♠9, ♥3, ♣A, ♣10, ♠A | pair
♠9, ♠7, ♣A, ♥4, ♠A | pair
♠9, ♠7, ♣A, ♣2, ♠A | pair
♠9, ♠7, ♣A, ♦Q, ♠A | pair
♠9, ♠7, ♣A, ♣10, ♠A | pair
♠9, ♣A, ♥4, ♣2, ♠A | pair
♠9, ♣A, ♥4, ♦Q, ♠A | pair
♠9, ♣A, ♥4, ♣10, ♠A | pair
♠9, ♣A, ♣2, ♦Q, ♠A | pair
♠9, ♣A, ♣2, ♣10, ♠A | pair
♠9, ♣A, ♦Q, ♣10, ♠A | pair
♥3, ♠7, ♣A, ♥4, ♠A | pair
♥3, ♠7, ♣A, ♣2, ♠A | pair
♥3, ♠7, ♣A, ♦Q, ♠A | pair
♥3, ♠7, ♣A, ♣10, ♠A | pair
♥3, ♣A, ♥4, ♣2, ♠A | pair
♥3, ♣A, ♥4, ♦Q, ♠A | pair
♥3, ♣A, ♥4, ♣10, ♠A | pair
♥3, ♣A, ♣2, ♦Q, ♠A | pair
♥3, ♣A, ♣2, ♣10, ♠A | pair
♥3, ♣A, ♦Q, ♣10, ♠A | pair
♠7, ♣A, ♥4, ♣2, ♠A | pair
♠7, ♣A, ♥4, ♦Q, ♠A | pair
♠7, ♣A, ♥4, ♣10, ♠A | pair
♠7, ♣A, ♣2, ♦Q, ♠A | pair
♠7, ♣A, ♣2, ♣10, ♠A | pair
♠7, ♣A, ♦Q, ♣10, ♠A | pair
♣A, ♥4, ♣2, ♦Q, ♠A | pair
♣A, ♥4, ♣2, ♣10, ♠A | pair
♣A, ♥4, ♦Q, ♣10, ♠A | pair
♣A, ♣2, ♦Q, ♣10, ♠A | pair
