♥A, ♠7, ♦J, ♣5, ♣7 | pair
♦J, ♦9, ♣6, ♠4, ♠6 | pair
♦J, ♦9, ♣6, ♠K, ♣J | pair
♦J, ♦9, ♣6, ♠K, ♠6 | pair
♦J, ♦9, ♣6, ♣J, ♠6 | two pairs
♦J, ♦9, ♠4, ♠K, ♣J | pair
♦J, ♦9, ♠4, ♣J, ♠6 | pair
♦J, ♦9, ♠K, ♣J, ♠6 | pair
♦J, ♣8, ♣Q, ♣7, ♣J | pair
♦J, ♣8, ♣Q, ♣6, ♣J | pair
♦J, ♣8, ♣Q, ♣6, ♠6 | pair
♦J, ♣8, ♣Q, ♠4, ♣J | pair
♦J, ♣8, ♣Q, ♠K, ♣J | pair
♦J, ♣8, ♣Q, ♣J, ♠6 | pair
♦J, ♣8, ♣7, ♣6, ♣J | pair
♦J, ♣8, ♣7, ♣6, ♠6 | pair
♦J, ♣8, ♣7, ♠4, ♣J | pair
♦J, ♣8, ♣7, ♠K, ♣J | pair
♦J, ♣8, ♣7, ♣J, ♠6 | pair
♦J, ♣8, ♣6, ♠4, ♣J | pair
♦J, ♣8, ♣6, ♠4, ♠6 | pair
♦J, ♣8, ♣6, ♠K, ♣J | pair
♦J, ♣8, ♣6, ♠K, ♠6 | pair
♦J, ♣8, ♣6, ♣J, ♠6 | two pairs
♦J, ♣8, ♠4, ♠K, ♣J | pair
♦J, ♣8, ♠4, ♣J, ♠6 | pair
♦J, ♣8, ♠K, ♣J, ♠6 | pair
♦J, ♣Q, ♣7, ♣6, ♣J | pair
♦J, ♣Q, ♣7, ♣6, ♠6 | pair
♦J, ♣Q, ♣7, ♠4, ♣J | pair
♦J, ♣Q, ♣7, ♠K, ♣J | pair
♦J, ♣Q, ♣7, ♣J, ♠6 | pair
♦J, ♣Q, ♣6, ♠4, ♣J | pair
♦J, ♣Q, ♣6, ♠4, ♠6 | pair
♦J, ♣Q, ♣6, ♠K, ♣J | pair
♦J, ♣Q, ♣6, ♠K, ♠6 | pair
♦J, ♣Q, ♣6, ♣J, ♠6 | two pairs
♦J, ♣Q, ♠4, ♠K, ♣J | pair
♦J, ♣Q, ♠4, ♣J, ♠6 | pair
♦J, ♣Q, ♠K, ♣J, ♠6 | pair
♦J, ♣7, ♣6, ♠4, ♣J | pair
♦J, ♣7, ♣6, ♠4, ♠6 | pair
♦J, ♣7, ♣6, ♠K, ♣J | pair
♦J, ♣7, ♣6, ♠K, ♠6 | pair
♦J, ♣7, ♣6, ♣J, ♠6 | two pairs
♦J, ♣7, ♠4, ♠K, ♣J | pair
♦J, ♣7, ♠4, ♣J, ♠6 | pair
♦J, ♣7, ♠K, ♣J, ♠6 | pair
♦J, ♣6, ♠4, ♠K, ♣J | pair
♦J, ♣6, ♠4, ♠K, ♠6 | pair
♦J, ♣6, ♠4, ♣J, ♠6 | two pairs
♦J, ♣6, ♠K, ♣J, ♠6 | two pairs
♦J, ♠4, ♠K, ♣J, ♠6 | pair
♣5, ♥3, ♦9, ♣6, ♠6 | pair
♣5, ♥3, ♣8, ♣6, ♠6 | pair
♣5, ♥3, ♣Q, ♣6, ♠6 | pair
♣5, ♥3, ♣7, ♣6, ♠4 | straight
♣5, ♥3, ♣7, ♣6, ♠6 | pair
♣5, ♥3, ♣7, ♠4, ♠6 | straight
♣5, ♥3, ♣6, ♠4, ♠6 | pair
♣5, ♥3, ♣6, ♠K, ♠6 | pair
♣5, ♥3, ♣6, ♣J, ♠6 | pair
♣5, ♦9, ♣8, ♣7, ♣6 | straight
♣5, ♦9, ♣8, ♣7, ♠6 | straight
♣5, ♦9, ♣8, ♣6, ♠6 | pair
♣5, ♦9, ♣Q, ♣6, ♠6 | pair
♣5, ♦9, ♣7, ♣6, ♠6 | pair
♣5, ♦9, ♣6, ♠4, ♠6 | pair
♣5, ♦9, ♣6, ♠K, ♠6 | pair
♣5, ♦9, ♣6, ♣J, ♠6 | pair
♣5, ♣8, ♣Q, ♣7, ♣6 | flush
♣5, ♣8, ♣Q, ♣7, ♣J | flush
♣5, ♣8, ♣Q, ♣6, ♣J | flush
♣5, ♣8, ♣Q, ♣6, ♠6 | pair
♣5, ♣8, ♣7, ♣6, ♠4 | straight
♣5, ♣8, ♣7, ♣6, ♣J | flush
♣5, ♣8, ♣7, ♣6, ♠6 | pair
♣5, ♣8, ♣7, ♠4, ♠6 | straight
♣5, ♣8, ♣6, ♠4, ♠6 | pair
♣5, ♣8, ♣6, ♠K, ♠6 | pair
♣5, ♣8, ♣6, ♣J, ♠6 | pair
♣5, ♣Q, ♣7, ♣6, ♣J | flush
♣5, ♣Q, ♣7, ♣6, ♠6 | pair
♣5, ♣Q, ♣6, ♠4, ♠6 | pair
♣5, ♣Q, ♣6, ♠K, ♠6 | pair
♣5, ♣Q, ♣6, ♣J, ♠6 | pair
♣5, ♣7, ♣6, ♠4, ♠6 | pair
♣5, ♣7, ♣6, ♠K, ♠6 | pair
♣5, ♣7, ♣6, ♣J, ♠6 | pair
♣5, ♣6, ♠4, ♠K, ♠6 | pair
♣5, ♣6, ♠4, ♣J, ♠6 | pair
♣5, ♣6, ♠K, ♣J, ♠6 | pair
♥3, ♦9, ♣8, ♣6, ♠6 | pair
♥3, ♦9, ♣Q, ♣6, ♠6 | pair
♥3, ♦9, ♣7, ♣6, ♠6 | pair
♥3, ♦9, ♣6, ♠4, ♠6 | pair
♥3, ♦9, ♣6, ♠K, ♠6 | pair
♥3, ♦9, ♣6, ♣J, ♠6 | pair
♥3, ♣8, ♣Q, ♣6, ♠6 | pair
♥3, ♣8, ♣7, ♣6, ♠6 | pair
♥3, ♣8, ♣6, ♠4, ♠6 | pair
♥3, ♣8, ♣6, ♠K, ♠6 | pair
♥3, ♣8, ♣6, ♣J, ♠6 | pair
♥3, ♣Q, ♣7, ♣6, ♠6 | pair
♥3, ♣Q, ♣6, ♠4, ♠6 | pair
♥3, ♣Q, ♣6, ♠K, ♠6 | pair
♥3, ♣Q, ♣6, ♣J, ♠6 | pair
♥3, ♣7, ♣6, ♠4, ♠6 | pair
♥3, ♣7, ♣6, ♠K, ♠6 | pair
♥3, ♣7, ♣6, ♣J, ♠6 | pair
♥3, ♣6, ♠4, ♠K, ♠6 | pair
♥3, ♣6, ♠4, ♣J, ♠6 | pair
♥3, ♣6, ♠K, ♣J, ♠6 | pair
♦9, ♣8, ♣Q, ♣6, ♠6 | pair
♦9, ♣8, ♣7, ♣6, ♠6 | pair
♦9, ♣8, ♣6, ♠4, ♠6 | pair
♦9, ♣8, ♣6, ♠K, ♠6 | pair
♦9, ♣8, ♣6, ♣J, ♠6 | pair
♦9, ♣Q, ♣7, ♣6, ♠6 | pair
♦9, ♣Q, ♣6, ♠4, ♠6 | pair
♦9, ♣Q, ♣6, ♠K, ♠6 | pair
♦9, ♣Q, ♣6, ♣J, ♠6 | pair
♦9, ♣7, ♣6, ♠4, ♠6 | pair
♦9, ♣7, ♣6, ♠K, ♠6 | pair
♦9, ♣7, ♣6, ♣J, ♠6 | pair
♦9, ♣6, ♠4, ♠K, ♠6 | pair
♦9, ♣6, ♠4, ♣J, ♠6 | pair
♦9, ♣6, ♠K, ♣J, ♠6 | pair
♣8, ♣Q, ♣7, ♣6, ♣J | flush
♣8, ♣Q, ♣7, ♣6, ♠6 | pair
♣8, ♣Q, ♣6, ♠4, ♠6 | pair
♣8, ♣Q, ♣6, ♠K, ♠6 | pair
♣8, ♣Q, ♣6, ♣J, ♠6 | pair
♣8, ♣7, ♣6, ♠4, ♠6 | pair
♣8, ♣7, ♣6, ♠K, ♠6 | pair
♣8, ♣7, ♣6, ♣J, ♠6 | pair
♣8, ♣6, ♠4, ♠K, ♠6 | pair
♣8, ♣6, ♠4, ♣J, ♠6 | pair
♣8, ♣6, ♠K, ♣J, ♠6 | pair
♣Q, ♣7, ♣6, ♠4, ♠6 | pair
♣Q, ♣7, ♣6, ♠K, ♠6 | pair
♣Q, ♣7, ♣6, ♣J, ♠6 | pair
♣Q, ♣6, ♠4, ♠K, ♠6 | pair
♣Q, ♣6, ♠4, ♣J, ♠6 | pair
♣Q, ♣6, ♠K, ♣J, ♠6 | pair
♣7, ♣6, ♠4, ♠K, ♠6 | pair
♣7, ♣6, ♠4, ♣J, ♠6 | pair
♣7, ♣6, ♠K, ♣J, ♠6 | pair
♣6, ♠4, ♠K, ♣J, ♠6 | pair
