♦6,♥J,♣T,♠2,♥6 | Pair
♥J,♣T,♦A,♥7,♣7 | Pair
♥J,♣T,♦A,♥T,♦5 | Pair
♥J,♣T,♦A,♥T,♣7 | Pair
♥J,♣T,♦A,♥T,♦2 | Pair
♥J,♣T,♦A,♥T,♥8 | Pair
♥J,♣T,♥6,♥Q,♥T | Pair
♥J,♣T,♥6,♥7,♥T | Pair
♥J,♣T,♥6,♥7,♣7 | Pair
♥J,♣T,♥6,♥T,♦5 | Pair
♥J,♣T,♥6,♥T,♣7 | Pair
♥J,♣T,♥6,♥T,♦2 | Pair
♥J,♣T,♥6,♥T,♥8 | Pair
♥J,♣T,♥Q,♥7,♥T | Pair
♥J,♣T,♥Q,♥7,♣7 | Pair
♥J,♣T,♥Q,♥T,♦5 | Pair
♥J,♣T,♥Q,♥T,♣7 | Pair
♥J,♣T,♥Q,♥T,♦2 | Pair
♥J,♣T,♥Q,♥T,♥8 | Pair
♥J,♣T,♥7,♥T,♦5 | Pair
♥J,♣T,♥7,♥T,♣7 | Two Pairs
♥J,♣T,♥7,♥T,♦2 | Pair
♥J,♣T,♥7,♥T,♥8 | Pair
♥J,♣T,♥7,♦5,♣7 | Pair
♥J,♣T,♥7,♣7,♦2 | Pair
♥J,♣T,♥7,♣7,♥8 | Pair
♥J,♣T,♥T,♦5,♣7 | Pair
♥J,♣T,♥T,♦5,♦2 | Pair
♥J,♣T,♥T,♦5,♥8 | Pair
♥J,♣T,♥T,♣7,♦2 | Pair
♥J,♣T,♥T,♣7,♥8 | Pair
♥J,♣T,♥T,♦2,♥8 | Pair
♥J,♠2,♠8,♥K,♦2 | Pair
♥J,♠2,♠8,♥K,♥8 | Pair
♥J,♠2,♠8,♦A,♦2 | Pair
♥J,♠2,♠8,♦A,♥8 | Pair
♥J,♠2,♠8,♥6,♦2 | Pair
♥J,♠2,♠8,♥6,♥8 | Pair
♥J,♠2,♠8,♥Q,♦2 | Pair
♥J,♠2,♠8,♥Q,♥8 | Pair
♥J,♠2,♠8,♥7,♣7 | Pair
♥J,♠2,♠8,♥7,♦2 | Pair
♥J,♠2,♠8,♥7,♥8 | Pair
♥J,♠2,♠8,♥T,♦2 | Pair
♥J,♠2,♠8,♥T,♥8 | Pair
♥J,♠2,♠8,♦5,♦2 | Pair
♥J,♠2,♠8,♦5,♥8 | Pair
♥J,♠2,♠8,♣7,♦2 | Pair
♥J,♠2,♠8,♣7,♥8 | Pair
♥J,♠2,♠8,♦2,♥8 | Two Pairs
♥J,♠2,♥K,♦A,♦2 | Pair
♥J,♠2,♥K,♥6,♦2 | Pair
♥J,♠2,♥K,♥Q,♦2 | Pair
♥J,♠2,♥K,♥7,♣7 | Pair
♥J,♠2,♥K,♥7,♦2 | Pair
♥J,♠2,♥K,♥T,♦2 | Pair
♥J,♠2,♥K,♦5,♦2 | Pair
♥J,♠2,♥K,♣7,♦2 | Pair
♥J,♠2,♥K,♦2,♥8 | Pair
♥J,♠2,♦A,♥6,♦2 | Pair
♥J,♠2,♦A,♥Q,♦2 | Pair
♥J,♠2,♦A,♥7,♣7 | Pair
♥J,♠2,♦A,♥7,♦2 | Pair
♥J,♠2,♦A,♥T,♦2 | Pair
♥J,♠2,♦A,♦5,♦2 | Pair
♥J,♠2,♦A,♣7,♦2 | Pair
♥J,♠2,♦A,♦2,♥8 | Pair
♥J,♠2,♥6,♥Q,♦2 | Pair
♥J,♠2,♥6,♥7,♣7 | Pair
♥J,♠2,♥6,♥7,♦2 | Pair
♥J,♠2,♥6,♥T,♦2 | Pair
♥J,♠2,♥6,♦5,♦2 | Pair
♥J,♠2,♥6,♣7,♦2 | Pair
♥J,♠2,♥6,♦2,♥8 | Pair
♥J,♠2,♥Q,♥7,♣7 | Pair
♥J,♠2,♥Q,♥7,♦2 | Pair
♥J,♠2,♥Q,♥T,♦2 | Pair
♥J,♠2,♥Q,♦5,♦2 | Pair
♥J,♠2,♥Q,♣7,♦2 | Pair
♥J,♠2,♥Q,♦2,♥8 | Pair
♥J,♠2,♥7,♥T,♣7 | Pair
♥J,♠2,♥7,♥T,♦2 | Pair
♥J,♠2,♥7,♦5,♣7 | Pair
♥J,♠2,♥7,♦5,♦2 | Pair
♥J,♠2,♥7,♣7,♦2 | Two Pairs
♥J,♠2,♥7,♣7,♥8 | Pair
♥J,♠2,♥7,♦2,♥8 | Pair
♥J,♠2,♥T,♦5,♦2 | Pair
♥J,♠2,♥T,♣7,♦2 | Pair
♥J,♠2,♥T,♦2,♥8 | Pair
♥J,♠2,♦5,♣7,♦2 | Pair
♥J,♠2,♦5,♦2,♥8 | Pair
♥J,♠2,♣7,♦2,♥8 | Pair
♥J,♠8,♥K,♦A,♥8 | Pair
♥J,♠8,♥K,♥6,♥8 | Pair
♥J,♠8,♥K,♥Q,♥8 | Pair
♥J,♠8,♥K,♥7,♣7 | Pair
♥J,♠8,♥K,♥7,♥8 | Pair
♥J,♠8,♥K,♥T,♥8 | Pair
♥J,♠8,♥K,♦5,♥8 | Pair
♥J,♠8,♥K,♣7,♥8 | Pair
♥J,♠8,♥K,♦2,♥8 | Pair
♥J,♠8,♦A,♥6,♥8 | Pair
♥J,♠8,♦A,♥Q,♥8 | Pair
♥J,♠8,♦A,♥7,♣7 | Pair
♥J,♠8,♦A,♥7,♥8 | Pair
♥J,♠8,♦A,♥T,♥8 | Pair
♥J,♠8,♦A,♦5,♥8 | Pair
♥J,♠8,♦A,♣7,♥8 | Pair
♥J,♠8,♦A,♦2,♥8 | Pair
♥J,♠8,♥6,♥Q,♥8 | Pair
♥J,♠8,♥6,♥7,♣7 | Pair
♥J,♠8,♥6,♥7,♥8 | Pair
♥J,♠8,♥6,♥T,♥8 | Pair
♥J,♠8,♥6,♦5,♥8 | Pair
♥J,♠8,♥6,♣7,♥8 | Pair
♥J,♠8,♥6,♦2,♥8 | Pair
♥J,♠8,♥Q,♥7,♣7 | Pair
♥J,♠8,♥Q,♥7,♥8 | Pair
♥J,♠8,♥Q,♥T,♥8 | Pair
♥J,♠8,♥Q,♦5,♥8 | Pair
♥J,♠8,♥Q,♣7,♥8 | Pair
♥J,♠8,♥Q,♦2,♥8 | Pair
♥J,♠8,♥7,♥T,♣7 | Pair
♥J,♠8,♥7,♥T,♥8 | Pair
♥J,♠8,♥7,♦5,♣7 | Pair
♥J,♠8,♥7,♦5,♥8 | Pair
♥J,♠8,♥7,♣7,♦2 | Pair
♥J,♠8,♥7,♣7,♥8 | Two Pairs
♥J,♠8,♥7,♦2,♥8 | Pair
♥J,♠8,♥T,♦5,♥8 | Pair
♥J,♠8,♥T,♣7,♥8 | Pair
♥J,♠8,♥T,♦2,♥8 | Pair
♥J,♠8,♦5,♣7,♥8 | Pair
♥J,♠8,♦5,♦2,♥8 | Pair
♥J,♠8,♣7,♦2,♥8 | Pair
♥J,♥K,♦A,♥7,♣7 | Pair
♥J,♥K,♥6,♥Q,♥7 | Flush
♥J,♥K,♥6,♥Q,♥T | Flush
♥J,♥K,♥6,♥Q,♥8 | Flush
♥J,♥K,♥6,♥7,♥T | Flush
♥J,♥K,♥6,♥7,♣7 | Pair
♥J,♥K,♥6,♥7,♥8 | Flush
♥J,♥K,♥6,♥T,♥8 | Flush
♥J,♥K,♥Q,♥7,♥T | Flush
♥J,♥K,♥Q,♥7,♣7 | Pair
♥J,♥K,♥Q,♥7,♥8 | Flush
♥J,♥K,♥Q,♥T,♥8 | Flush
♥J,♥K,♥7,♥T,♣7 | Pair
♥J,♥K,♥7,♥T,♥8 | Flush
♥J,♥K,♥7,♦5,♣7 | Pair
♥J,♥K,♥7,♣7,♦2 | Pair
♥J,♥K,♥7,♣7,♥8 | Pair
♥J,♦A,♥6,♥7,♣7 | Pair
♥J,♦A,♥Q,♥7,♣7 | Pair
♥J,♦A,♥7,♥T,♣7 | Pair
♥J,♦A,♥7,♦5,♣7 | Pair
♥J,♦A,♥7,♣7,♦2 | Pair
♥J,♦A,♥7,♣7,♥8 | Pair
♥J,♥6,♥Q,♥7,♥T | Flush
♥J,♥6,♥Q,♥7,♣7 | Pair
♥J,♥6,♥Q,♥7,♥8 | Flush
♥J,♥6,♥Q,♥T,♥8 | Flush
♥J,♥6,♥7,♥T,♣7 | Pair
♥J,♥6,♥7,♥T,♥8 | Flush
♥J,♥6,♥7,♦5,♣7 | Pair
♥J,♥6,♥7,♣7,♦2 | Pair
♥J,♥6,♥7,♣7,♥8 | Pair
♥J,♥Q,♥7,♥T,♣7 | Pair
♥J,♥Q,♥7,♥T,♥8 | Flush
♥J,♥Q,♥7,♦5,♣7 | Pair
♥J,♥Q,♥7,♣7,♦2 | Pair
♥J,♥Q,♥7,♣7,♥8 | Pair
♥J,♥7,♥T,♦5,♣7 | Pair
♥J,♥7,♥T,♣7,♦2 | Pair
♥J,♥7,♥T,♣7,♥8 | Pair
♥J,♥7,♦5,♣7,♦2 | Pair
♥J,♥7,♦5,♣7,♥8 | Pair
♥J,♥7,♣7,♦2,♥8 | Pair
♣T,♠2,♠8,♥K,♥T | Pair
♣T,♠2,♠8,♥K,♦2 | Pair
♣T,♠2,♠8,♥K,♥8 | Pair
♣T,♠2,♠8,♦A,♥T | Pair
♣T,♠2,♠8,♦A,♦2 | Pair
♣T,♠2,♠8,♦A,♥8 | Pair
♣T,♠2,♠8,♥6,♥T | Pair
♣T,♠2,♠8,♥6,♦2 | Pair
♣T,♠2,♠8,♥6,♥8 | Pair
♣T,♠2,♠8,♥Q,♥T | Pair
♣T,♠2,♠8,♥Q,♦2 | Pair
♣T,♠2,♠8,♥Q,♥8 | Pair
♣T,♠2,♠8,♥7,♥T | Pair
♣T,♠2,♠8,♥7,♣7 | Pair
♣T,♠2,♠8,♥7,♦2 | Pair
♣T,♠2,♠8,♥7,♥8 | Pair
♣T,♠2,♠8,♥T,♦5 | Pair
♣T,♠2,♠8,♥T,♣7 | Pair
♣T,♠2,♠8,♥T,♦2 | Two Pairs
♣T,♠2,♠8,♥T,♥8 | Two Pairs
♣T,♠2,♠8,♦5,♦2 | Pair
♣T,♠2,♠8,♦5,♥8 | Pair
♣T,♠2,♠8,♣7,♦2 | Pair
♣T,♠2,♠8,♣7,♥8 | Pair
♣T,♠2,♠8,♦2,♥8 | Two Pairs
♣T,♠2,♥K,♦A,♥T | Pair
♣T,♠2,♥K,♦A,♦2 | Pair
♣T,♠2,♥K,♥6,♥T | Pair
♣T,♠2,♥K,♥6,♦2 | Pair
♣T,♠2,♥K,♥Q,♥T | Pair
♣T,♠2,♥K,♥Q,♦2 | Pair
♣T,♠2,♥K,♥7,♥T | Pair
♣T,♠2,♥K,♥7,♣7 | Pair
♣T,♠2,♥K,♥7,♦2 | Pair
♣T,♠2,♥K,♥T,♦5 | Pair
♣T,♠2,♥K,♥T,♣7 | Pair
♣T,♠2,♥K,♥T,♦2 | Two Pairs
♣T,♠2,♥K,♥T,♥8 | Pair
♣T,♠2,♥K,♦5,♦2 | Pair
♣T,♠2,♥K,♣7,♦2 | Pair
♣T,♠2,♥K,♦2,♥8 | Pair
♣T,♠2,♦A,♥6,♥T | Pair
♣T,♠2,♦A,♥6,♦2 | Pair
♣T,♠2,♦A,♥Q,♥T | Pair
♣T,♠2,♦A,♥Q,♦2 | Pair
♣T,♠2,♦A,♥7,♥T | Pair
♣T,♠2,♦A,♥7,♣7 | Pair
♣T,♠2,♦A,♥7,♦2 | Pair
♣T,♠2,♦A,♥T,♦5 | Pair
♣T,♠2,♦A,♥T,♣7 | Pair
♣T,♠2,♦A,♥T,♦2 | Two Pairs
♣T,♠2,♦A,♥T,♥8 | Pair
♣T,♠2,♦A,♦5,♦2 | Pair
♣T,♠2,♦A,♣7,♦2 | Pair
♣T,♠2,♦A,♦2,♥8 | Pair
♣T,♠2,♥6,♥Q,♥T | Pair
♣T,♠2,♥6,♥Q,♦2 | Pair
♣T,♠2,♥6,♥7,♥T | Pair
♣T,♠2,♥6,♥7,♣7 | Pair
♣T,♠2,♥6,♥7,♦2 | Pair
♣T,♠2,♥6,♥T,♦5 | Pair
♣T,♠2,♥6,♥T,♣7 | Pair
♣T,♠2,♥6,♥T,♦2 | Two Pairs
♣T,♠2,♥6,♥T,♥8 | Pair
♣T,♠2,♥6,♦5,♦2 | Pair
♣T,♠2,♥6,♣7,♦2 | Pair
♣T,♠2,♥6,♦2,♥8 | Pair
♣T,♠2,♥Q,♥7,♥T | Pair
♣T,♠2,♥Q,♥7,♣7 | Pair
♣T,♠2,♥Q,♥7,♦2 | Pair
♣T,♠2,♥Q,♥T,♦5 | Pair
♣T,♠2,♥Q,♥T,♣7 | Pair
♣T,♠2,♥Q,♥T,♦2 | Two Pairs
♣T,♠2,♥Q,♥T,♥8 | Pair
♣T,♠2,♥Q,♦5,♦2 | Pair
♣T,♠2,♥Q,♣7,♦2 | Pair
♣T,♠2,♥Q,♦2,♥8 | Pair
♣T,♠2,♥7,♥T,♦5 | Pair
♣T,♠2,♥7,♥T,♣7 | Two Pairs
♣T,♠2,♥7,♥T,♦2 | Two Pairs
♣T,♠2,♥7,♥T,♥8 | Pair
♣T,♠2,♥7,♦5,♣7 | Pair
♣T,♠2,♥7,♦5,♦2 | Pair
♣T,♠2,♥7,♣7,♦2 | Two Pairs
♣T,♠2,♥7,♣7,♥8 | Pair
♣T,♠2,♥7,♦2,♥8 | Pair
♣T,♠2,♥T,♦5,♣7 | Pair
♣T,♠2,♥T,♦5,♦2 | Two Pairs
♣T,♠2,♥T,♦5,♥8 | Pair
♣T,♠2,♥T,♣7,♦2 | Two Pairs
♣T,♠2,♥T,♣7,♥8 | Pair
♣T,♠2,♥T,♦2,♥8 | Two Pairs
♣T,♠2,♦5,♣7,♦2 | Pair
♣T,♠2,♦5,♦2,♥8 | Pair
♣T,♠2,♣7,♦2,♥8 | Pair
♣T,♠8,♥K,♦A,♥T | Pair
♣T,♠8,♥K,♦A,♥8 | Pair
♣T,♠8,♥K,♥6,♥T | Pair
♣T,♠8,♥K,♥6,♥8 | Pair
♣T,♠8,♥K,♥Q,♥T | Pair
♣T,♠8,♥K,♥Q,♥8 | Pair
♣T,♠8,♥K,♥7,♥T | Pair
♣T,♠8,♥K,♥7,♣7 | Pair
♣T,♠8,♥K,♥7,♥8 | Pair
♣T,♠8,♥K,♥T,♦5 | Pair
♣T,♠8,♥K,♥T,♣7 | Pair
♣T,♠8,♥K,♥T,♦2 | Pair
♣T,♠8,♥K,♥T,♥8 | Two Pairs
♣T,♠8,♥K,♦5,♥8 | Pair
♣T,♠8,♥K,♣7,♥8 | Pair
♣T,♠8,♥K,♦2,♥8 | Pair
♣T,♠8,♦A,♥6,♥T | Pair
♣T,♠8,♦A,♥6,♥8 | Pair
♣T,♠8,♦A,♥Q,♥T | Pair
♣T,♠8,♦A,♥Q,♥8 | Pair
♣T,♠8,♦A,♥7,♥T | Pair
♣T,♠8,♦A,♥7,♣7 | Pair
♣T,♠8,♦A,♥7,♥8 | Pair
♣T,♠8,♦A,♥T,♦5 | Pair
♣T,♠8,♦A,♥T,♣7 | Pair
♣T,♠8,♦A,♥T,♦2 | Pair
♣T,♠8,♦A,♥T,♥8 | Two Pairs
♣T,♠8,♦A,♦5,♥8 | Pair
♣T,♠8,♦A,♣7,♥8 | Pair
♣T,♠8,♦A,♦2,♥8 | Pair
♣T,♠8,♥6,♥Q,♥T | Pair
♣T,♠8,♥6,♥Q,♥8 | Pair
♣T,♠8,♥6,♥7,♥T | Pair
♣T,♠8,♥6,♥7,♣7 | Pair
♣T,♠8,♥6,♥7,♥8 | Pair
♣T,♠8,♥6,♥T,♦5 | Pair
♣T,♠8,♥6,♥T,♣7 | Pair
♣T,♠8,♥6,♥T,♦2 | Pair
♣T,♠8,♥6,♥T,♥8 | Two Pairs
♣T,♠8,♥6,♦5,♥8 | Pair
♣T,♠8,♥6,♣7,♥8 | Pair
♣T,♠8,♥6,♦2,♥8 | Pair
♣T,♠8,♥Q,♥7,♥T | Pair
♣T,♠8,♥Q,♥7,♣7 | Pair
♣T,♠8,♥Q,♥7,♥8 | Pair
♣T,♠8,♥Q,♥T,♦5 | Pair
♣T,♠8,♥Q,♥T,♣7 | Pair
♣T,♠8,♥Q,♥T,♦2 | Pair
♣T,♠8,♥Q,♥T,♥8 | Two Pairs
♣T,♠8,♥Q,♦5,♥8 | Pair
♣T,♠8,♥Q,♣7,♥8 | Pair
♣T,♠8,♥Q,♦2,♥8 | Pair
♣T,♠8,♥7,♥T,♦5 | Pair
♣T,♠8,♥7,♥T,♣7 | Two Pairs
♣T,♠8,♥7,♥T,♦2 | Pair
♣T,♠8,♥7,♥T,♥8 | Two Pairs
♣T,♠8,♥7,♦5,♣7 | Pair
♣T,♠8,♥7,♦5,♥8 | Pair
♣T,♠8,♥7,♣7,♦2 | Pair
♣T,♠8,♥7,♣7,♥8 | Two Pairs
♣T,♠8,♥7,♦2,♥8 | Pair
♣T,♠8,♥T,♦5,♣7 | Pair
♣T,♠8,♥T,♦5,♦2 | Pair
♣T,♠8,♥T,♦5,♥8 | Two Pairs
♣T,♠8,♥T,♣7,♦2 | Pair
♣T,♠8,♥T,♣7,♥8 | Two Pairs
♣T,♠8,♥T,♦2,♥8 | Two Pairs
♣T,♠8,♦5,♣7,♥8 | Pair
♣T,♠8,♦5,♦2,♥8 | Pair
♣T,♠8,♣7,♦2,♥8 | Pair
♣T,♥K,♦A,♥6,♥T | Pair
♣T,♥K,♦A,♥Q,♥T | Pair
♣T,♥K,♦A,♥7,♥T | Pair
♣T,♥K,♦A,♥7,♣7 | Pair
♣T,♥K,♦A,♥T,♦5 | Pair
♣T,♥K,♦A,♥T,♣7 | Pair
♣T,♥K,♦A,♥T,♦2 | Pair
♣T,♥K,♦A,♥T,♥8 | Pair
♣T,♥K,♥6,♥Q,♥T | Pair
♣T,♥K,♥6,♥7,♥T | Pair
♣T,♥K,♥6,♥7,♣7 | Pair
♣T,♥K,♥6,♥T,♦5 | Pair
♣T,♥K,♥6,♥T,♣7 | Pair
♣T,♥K,♥6,♥T,♦2 | Pair
♣T,♥K,♥6,♥T,♥8 | Pair
♣T,♥K,♥Q,♥7,♥T | Pair
♣T,♥K,♥Q,♥7,♣7 | Pair
♣T,♥K,♥Q,♥T,♦5 | Pair
♣T,♥K,♥Q,♥T,♣7 | Pair
♣T,♥K,♥Q,♥T,♦2 | Pair
♣T,♥K,♥Q,♥T,♥8 | Pair
♣T,♥K,♥7,♥T,♦5 | Pair
♣T,♥K,♥7,♥T,♣7 | Two Pairs
♣T,♥K,♥7,♥T,♦2 | Pair
♣T,♥K,♥7,♥T,♥8 | Pair
♣T,♥K,♥7,♦5,♣7 | Pair
♣T,♥K,♥7,♣7,♦2 | Pair
♣T,♥K,♥7,♣7,♥8 | Pair
♣T,♥K,♥T,♦5,♣7 | Pair
♣T,♥K,♥T,♦5,♦2 | Pair
♣T,♥K,♥T,♦5,♥8 | Pair
♣T,♥K,♥T,♣7,♦2 | Pair
♣T,♥K,♥T,♣7,♥8 | Pair
♣T,♥K,♥T,♦2,♥8 | Pair
♣T,♦A,♥6,♥Q,♥T | Pair
♣T,♦A,♥6,♥7,♥T | Pair
♣T,♦A,♥6,♥7,♣7 | Pair
♣T,♦A,♥6,♥T,♦5 | Pair
♣T,♦A,♥6,♥T,♣7 | Pair
♣T,♦A,♥6,♥T,♦2 | Pair
♣T,♦A,♥6,♥T,♥8 | Pair
♣T,♦A,♥Q,♥7,♥T | Pair
♣T,♦A,♥Q,♥7,♣7 | Pair
♣T,♦A,♥Q,♥T,♦5 | Pair
♣T,♦A,♥Q,♥T,♣7 | Pair
♣T,♦A,♥Q,♥T,♦2 | Pair
♣T,♦A,♥Q,♥T,♥8 | Pair
♣T,♦A,♥7,♥T,♦5 | Pair
♣T,♦A,♥7,♥T,♣7 | Two Pairs
♣T,♦A,♥7,♥T,♦2 | Pair
♣T,♦A,♥7,♥T,♥8 | Pair
♣T,♦A,♥7,♦5,♣7 | Pair
♣T,♦A,♥7,♣7,♦2 | Pair
♣T,♦A,♥7,♣7,♥8 | Pair
♣T,♦A,♥T,♦5,♣7 | Pair
♣T,♦A,♥T,♦5,♦2 | Pair
♣T,♦A,♥T,♦5,♥8 | Pair
♣T,♦A,♥T,♣7,♦2 | Pair
♣T,♦A,♥T,♣7,♥8 | Pair
♣T,♦A,♥T,♦2,♥8 | Pair
♣T,♥6,♥Q,♥7,♥T | Pair
♣T,♥6,♥Q,♥7,♣7 | Pair
♣T,♥6,♥Q,♥T,♦5 | Pair
♣T,♥6,♥Q,♥T,♣7 | Pair
♣T,♥6,♥Q,♥T,♦2 | Pair
♣T,♥6,♥Q,♥T,♥8 | Pair
♣T,♥6,♥7,♥T,♦5 | Pair
♣T,♥6,♥7,♥T,♣7 | Two Pairs
♣T,♥6,♥7,♥T,♦2 | Pair
♣T,♥6,♥7,♥T,♥8 | Pair
♣T,♥6,♥7,♦5,♣7 | Pair
♣T,♥6,♥7,♣7,♦2 | Pair
♣T,♥6,♥7,♣7,♥8 | Pair
♣T,♥6,♥T,♦5,♣7 | Pair
♣T,♥6,♥T,♦5,♦2 | Pair
♣T,♥6,♥T,♦5,♥8 | Pair
♣T,♥6,♥T,♣7,♦2 | Pair
♣T,♥6,♥T,♣7,♥8 | Pair
♣T,♥6,♥T,♦2,♥8 | Pair
♣T,♥Q,♥7,♥T,♦5 | Pair
♣T,♥Q,♥7,♥T,♣7 | Two Pairs
♣T,♥Q,♥7,♥T,♦2 | Pair
♣T,♥Q,♥7,♥T,♥8 | Pair
♣T,♥Q,♥7,♦5,♣7 | Pair
♣T,♥Q,♥7,♣7,♦2 | Pair
♣T,♥Q,♥7,♣7,♥8 | Pair
♣T,♥Q,♥T,♦5,♣7 | Pair
♣T,♥Q,♥T,♦5,♦2 | Pair
♣T,♥Q,♥T,♦5,♥8 | Pair
♣T,♥Q,♥T,♣7,♦2 | Pair
♣T,♥Q,♥T,♣7,♥8 | Pair
♣T,♥Q,♥T,♦2,♥8 | Pair
♣T,♥7,♥T,♦5,♣7 | Two Pairs
♣T,♥7,♥T,♦5,♦2 | Pair
♣T,♥7,♥T,♦5,♥8 | Pair
♣T,♥7,♥T,♣7,♦2 | Two Pairs
♣T,♥7,♥T,♣7,♥8 | Two Pairs
♣T,♥7,♥T,♦2,♥8 | Pair
♣T,♥7,♦5,♣7,♦2 | Pair
♣T,♥7,♦5,♣7,♥8 | Pair
♣T,♥7,♣7,♦2,♥8 | Pair
♣T,♥T,♦5,♣7,♦2 | Pair
♣T,♥T,♦5,♣7,♥8 | Pair
♣T,♥T,♦5,♦2,♥8 | Pair
♣T,♥T,♣7,♦2,♥8 | Pair
♠2,♠8,♥K,♦A,♦2 | Pair
♠2,♠8,♥K,♦A,♥8 | Pair
♠2,♠8,♥K,♥6,♦2 | Pair
♠2,♠8,♥K,♥6,♥8 | Pair
♠2,♠8,♥K,♥Q,♦2 | Pair
♠2,♠8,♥K,♥Q,♥8 | Pair
♠2,♠8,♥K,♥7,♣7 | Pair
♠2,♠8,♥K,♥7,♦2 | Pair
♠2,♠8,♥K,♥7,♥8 | Pair
♠2,♠8,♥K,♥T,♦2 | Pair
♠2,♠8,♥K,♥T,♥8 | Pair
♠2,♠8,♥K,♦5,♦2 | Pair
♠2,♠8,♥K,♦5,♥8 | Pair
♠2,♠8,♥K,♣7,♦2 | Pair
♠2,♠8,♥K,♣7,♥8 | Pair
♠2,♠8,♥K,♦2,♥8 | Two Pairs
♠2,♠8,♦A,♥6,♦2 | Pair
♠2,♠8,♦A,♥6,♥8 | Pair
♠2,♠8,♦A,♥Q,♦2 | Pair
♠2,♠8,♦A,♥Q,♥8 | Pair
♠2,♠8,♦A,♥7,♣7 | Pair
♠2,♠8,♦A,♥7,♦2 | Pair
♠2,♠8,♦A,♥7,♥8 | Pair
♠2,♠8,♦A,♥T,♦2 | Pair
♠2,♠8,♦A,♥T,♥8 | Pair
♠2,♠8,♦A,♦5,♦2 | Pair
♠2,♠8,♦A,♦5,♥8 | Pair
♠2,♠8,♦A,♣7,♦2 | Pair
♠2,♠8,♦A,♣7,♥8 | Pair
♠2,♠8,♦A,♦2,♥8 | Two Pairs
♠2,♠8,♥6,♥Q,♦2 | Pair
♠2,♠8,♥6,♥Q,♥8 | Pair
♠2,♠8,♥6,♥7,♣7 | Pair
♠2,♠8,♥6,♥7,♦2 | Pair
♠2,♠8,♥6,♥7,♥8 | Pair
♠2,♠8,♥6,♥T,♦2 | Pair
♠2,♠8,♥6,♥T,♥8 | Pair
♠2,♠8,♥6,♦5,♦2 | Pair
♠2,♠8,♥6,♦5,♥8 | Pair
♠2,♠8,♥6,♣7,♦2 | Pair
♠2,♠8,♥6,♣7,♥8 | Pair
♠2,♠8,♥6,♦2,♥8 | Two Pairs
♠2,♠8,♥Q,♥7,♣7 | Pair
♠2,♠8,♥Q,♥7,♦2 | Pair
♠2,♠8,♥Q,♥7,♥8 | Pair
♠2,♠8,♥Q,♥T,♦2 | Pair
♠2,♠8,♥Q,♥T,♥8 | Pair
♠2,♠8,♥Q,♦5,♦2 | Pair
♠2,♠8,♥Q,♦5,♥8 | Pair
♠2,♠8,♥Q,♣7,♦2 | Pair
♠2,♠8,♥Q,♣7,♥8 | Pair
♠2,♠8,♥Q,♦2,♥8 | Two Pairs
♠2,♠8,♥7,♥T,♣7 | Pair
♠2,♠8,♥7,♥T,♦2 | Pair
♠2,♠8,♥7,♥T,♥8 | Pair
♠2,♠8,♥7,♦5,♣7 | Pair
♠2,♠8,♥7,♦5,♦2 | Pair
♠2,♠8,♥7,♦5,♥8 | Pair
♠2,♠8,♥7,♣7,♦2 | Two Pairs
♠2,♠8,♥7,♣7,♥8 | Two Pairs
♠2,♠8,♥7,♦2,♥8 | Two Pairs
♠2,♠8,♥T,♦5,♦2 | Pair
♠2,♠8,♥T,♦5,♥8 | Pair
♠2,♠8,♥T,♣7,♦2 | Pair
♠2,♠8,♥T,♣7,♥8 | Pair
♠2,♠8,♥T,♦2,♥8 | Two Pairs
♠2,♠8,♦5,♣7,♦2 | Pair
♠2,♠8,♦5,♣7,♥8 | Pair
♠2,♠8,♦5,♦2,♥8 | Two Pairs
♠2,♠8,♣7,♦2,♥8 | Two Pairs
♠2,♥K,♦A,♥6,♦2 | Pair
♠2,♥K,♦A,♥Q,♦2 | Pair
♠2,♥K,♦A,♥7,♣7 | Pair
♠2,♥K,♦A,♥7,♦2 | Pair
♠2,♥K,♦A,♥T,♦2 | Pair
♠2,♥K,♦A,♦5,♦2 | Pair
♠2,♥K,♦A,♣7,♦2 | Pair
♠2,♥K,♦A,♦2,♥8 | Pair
♠2,♥K,♥6,♥Q,♦2 | Pair
♠2,♥K,♥6,♥7,♣7 | Pair
♠2,♥K,♥6,♥7,♦2 | Pair
♠2,♥K,♥6,♥T,♦2 | Pair
♠2,♥K,♥6,♦5,♦2 | Pair
♠2,♥K,♥6,♣7,♦2 | Pair
♠2,♥K,♥6,♦2,♥8 | Pair
♠2,♥K,♥Q,♥7,♣7 | Pair
♠2,♥K,♥Q,♥7,♦2 | Pair
♠2,♥K,♥Q,♥T,♦2 | Pair
♠2,♥K,♥Q,♦5,♦2 | Pair
♠2,♥K,♥Q,♣7,♦2 | Pair
♠2,♥K,♥Q,♦2,♥8 | Pair
♠2,♥K,♥7,♥T,♣7 | Pair
♠2,♥K,♥7,♥T,♦2 | Pair
♠2,♥K,♥7,♦5,♣7 | Pair
♠2,♥K,♥7,♦5,♦2 | Pair
♠2,♥K,♥7,♣7,♦2 | Two Pairs
♠2,♥K,♥7,♣7,♥8 | Pair
♠2,♥K,♥7,♦2,♥8 | Pair
♠2,♥K,♥T,♦5,♦2 | Pair
♠2,♥K,♥T,♣7,♦2 | Pair
♠2,♥K,♥T,♦2,♥8 | Pair
