♥8,♦T,♥T,♠6,♥9 | Pair
♥T,♣T,♣2,♦A,♣K | Pair
♥T,♣T,♣2,♦A,♠3 | Pair
♥T,♣T,♣2,♣K,♠3 | Pair
♥T,♣T,♦A,♣K,♠3 | Pair
♠6,♥9,♣J,♣6,♥K | Pair
♠6,♥9,♣J,♣6,♣T | Pair
♠6,♥9,♣J,♣6,♣2 | Pair
♠6,♥9,♣J,♣6,♦A | Pair
♠6,♥9,♣J,♣6,♣K | Pair
♠6,♥9,♣J,♣6,♠3 | Pair
♠6,♥9,♣J,♥K,♣K | Pair
♠6,♥9,♣6,♥K,♣T | Pair
♠6,♥9,♣6,♥K,♣2 | Pair
♠6,♥9,♣6,♥K,♦A | Pair
♠6,♥9,♣6,♥K,♣K | Two Pairs
♠6,♥9,♣6,♥K,♠3 | Pair
♠6,♥9,♣6,♣T,♣2 | Pair
♠6,♥9,♣6,♣T,♦A | Pair
♠6,♥9,♣6,♣T,♣K | Pair
♠6,♥9,♣6,♣T,♠3 | Pair
♠6,♥9,♣6,♣2,♦A | Pair
♠6,♥9,♣6,♣2,♣K | Pair
♠6,♥9,♣6,♣2,♠3 | Pair
♠6,♥9,♣6,♦A,♣K | Pair
♠6,♥9,♣6,♦A,♠3 | Pair
♠6,♥9,♣6,♣K,♠3 | Pair
♠6,♥9,♥K,♣T,♣K | Pair
♠6,♥9,♥K,♣2,♣K | Pair
♠6,♥9,♥K,♦A,♣K | Pair
♠6,♥9,♥K,♣K,♠3 | Pair
♠6,♣J,♣6,♥K,♣T | Pair
♠6,♣J,♣6,♥K,♣2 | Pair
♠6,♣J,♣6,♥K,♦A | Pair
♠6,♣J,♣6,♥K,♣K | Two Pairs
♠6,♣J,♣6,♥K,♠3 | Pair
♠6,♣J,♣6,♣T,♣2 | Pair
♠6,♣J,♣6,♣T,♦A | Pair
♠6,♣J,♣6,♣T,♣K | Pair
♠6,♣J,♣6,♣T,♠3 | Pair
♠6,♣J,♣6,♣2,♦A | Pair
♠6,♣J,♣6,♣2,♣K | Pair
♠6,♣J,♣6,♣2,♠3 | Pair
♠6,♣J,♣6,♦A,♣K | Pair
♠6,♣J,♣6,♦A,♠3 | Pair
♠6,♣J,♣6,♣K,♠3 | Pair
♠6,♣J,♥K,♣T,♣K | Pair
♠6,♣J,♥K,♣2,♣K | Pair
♠6,♣J,♥K,♦A,♣K | Pair
♠6,♣J,♥K,♣K,♠3 | Pair
♠6,♣6,♥K,♣T,♣2 | Pair
♠6,♣6,♥K,♣T,♦A | Pair
♠6,♣6,♥K,♣T,♣K | Two Pairs
♠6,♣6,♥K,♣T,♠3 | Pair
♠6,♣6,♥K,♣2,♦A | Pair
♠6,♣6,♥K,♣2,♣K | Two Pairs
♠6,♣6,♥K,♣2,♠3 | Pair
♠6,♣6,♥K,♦A,♣K | Two Pairs
♠6,♣6,♥K,♦A,♠3 | Pair
♠6,♣6,♥K,♣K,♠3 | Two Pairs
♠6,♣6,♣T,♣2,♦A | Pair
♠6,♣6,♣T,♣2,♣K | Pair
♠6,♣6,♣T,♣2,♠3 | Pair
♠6,♣6,♣T,♦A,♣K | Pair
♠6,♣6,♣T,♦A,♠3 | Pair
♠6,♣6,♣T,♣K,♠3 | Pair
♠6,♣6,♣2,♦A,♣K | Pair
♠6,♣6,♣2,♦A,♠3 | Pair
♠6,♣6,♣2,♣K,♠3 | Pair
♠6,♣6,♦A,♣K,♠3 | Pair
♠6,♥K,♣T,♣2,♣K | Pair
♠6,♥K,♣T,♦A,♣K | Pair
♠6,♥K,♣T,♣K,♠3 | Pair
♠6,♥K,♣2,♦A,♣K | Pair
♠6,♥K,♣2,♣K,♠3 | Pair
♠6,♥K,♦A,♣K,♠3 | Pair
♥9,♣J,♣6,♥K,♣K | Pair
♥9,♣J,♥K,♣T,♣K | Pair
♥9,♣J,♥K,♣2,♣K | Pair
♥9,♣J,♥K,♦A,♣K | Pair
♥9,♣J,♥K,♣K,♠3 | Pair
♥9,♣6,♥K,♣T,♣K | Pair
♥9,♣6,♥K,♣2,♣K | Pair
♥9,♣6,♥K,♦A,♣K | Pair
♥9,♣6,♥K,♣K,♠3 | Pair
♥9,♥K,♣T,♣2,♣K | Pair
♥9,♥K,♣T,♦A,♣K | Pair
♥9,♥K,♣T,♣K,♠3 | Pair
♥9,♥K,♣2,♦A,♣K | Pair
♥9,♥K,♣2,♣K,♠3 | Pair
♥9,♥K,♦A,♣K,♠3 | Pair
♣J,♣6,♥K,♣T,♣K | Pair
♣J,♣6,♥K,♣2,♣K | Pair
♣J,♣6,♥K,♦A,♣K | Pair
♣J,♣6,♥K,♣K,♠3 | Pair
♣J,♣6,♣T,♣2,♣K | Flush
♣J,♥K,♣T,♣2,♣K | Pair
♣J,♥K,♣T,♦A,♣K | Pair
♣J,♥K,♣T,♣K,♠3 | Pair
♣J,♥K,♣2,♦A,♣K | Pair
♣J,♥K,♣2,♣K,♠3 | Pair
♣J,♥K,♦A,♣K,♠3 | Pair
♣6,♥K,♣T,♣2,♣K | Pair
♣6,♥K,♣T,♦A,♣K | Pair
♣6,♥K,♣T,♣K,♠3 | Pair
♣6,♥K,♣2,♦A,♣K | Pair
♣6,♥K,♣2,♣K,♠3 | Pair
♣6,♥K,♦A,♣K,♠3 | Pair
♥K,♣T,♣2,♦A,♣K | Pair
♥K,♣T,♣2,♣K,♠3 | Pair
♥K,♣T,♦A,♣K,♠3 | Pair
♥K,♣2,♦A,♣K,♠3 | Pair
