♣J,♣3,♦A,♣4,♦3 | Pair
♣4,♦Q,♣Q,♣6,♦K | Pair
♣4,♦Q,♣Q,♣6,♦3 | Pair
♣4,♦Q,♣Q,♠9,♦K | Pair
♣4,♦Q,♣Q,♠9,♦3 | Pair
♣4,♦Q,♣Q,♦K,♦3 | Pair
♣4,♣8,♣Q,♣7,♣6 | Flush
♠T,♦6,♦Q,♣8,♣Q | Pair
♠T,♦6,♦Q,♣8,♣6 | Pair
♠T,♦6,♦Q,♣Q,♣7 | Pair
♠T,♦6,♦Q,♣Q,♣6 | Two Pairs
♠T,♦6,♦Q,♣Q,♠9 | Pair
♠T,♦6,♦Q,♣Q,♦K | Pair
♠T,♦6,♦Q,♣Q,♦3 | Pair
♠T,♦6,♦Q,♣7,♣6 | Pair
♠T,♦6,♦Q,♣6,♠9 | Pair
♠T,♦6,♦Q,♣6,♦K | Pair
♠T,♦6,♦Q,♣6,♦3 | Pair
♠T,♦6,♣8,♣Q,♣6 | Pair
♠T,♦6,♣8,♣7,♣6 | Pair
♠T,♦6,♣8,♣6,♠9 | Pair
♠T,♦6,♣8,♣6,♦K | Pair
♠T,♦6,♣8,♣6,♦3 | Pair
♠T,♦6,♣Q,♣7,♣6 | Pair
♠T,♦6,♣Q,♣6,♠9 | Pair
♠T,♦6,♣Q,♣6,♦K | Pair
♠T,♦6,♣Q,♣6,♦3 | Pair
♠T,♦6,♣7,♣6,♠9 | Pair
♠T,♦6,♣7,♣6,♦K | Pair
♠T,♦6,♣7,♣6,♦3 | Pair
♠T,♦6,♣6,♠9,♦K | Pair
♠T,♦6,♣6,♠9,♦3 | Pair
♠T,♦6,♣6,♦K,♦3 | Pair
♠T,♦Q,♣8,♣Q,♣7 | Pair
♠T,♦Q,♣8,♣Q,♣6 | Pair
♠T,♦Q,♣8,♣Q,♠9 | Pair
♠T,♦Q,♣8,♣Q,♦K | Pair
♠T,♦Q,♣8,♣Q,♦3 | Pair
♠T,♦Q,♣Q,♣7,♣6 | Pair
♠T,♦Q,♣Q,♣7,♠9 | Pair
♠T,♦Q,♣Q,♣7,♦K | Pair
♠T,♦Q,♣Q,♣7,♦3 | Pair
♠T,♦Q,♣Q,♣6,♠9 | Pair
♠T,♦Q,♣Q,♣6,♦K | Pair
♠T,♦Q,♣Q,♣6,♦3 | Pair
♠T,♦Q,♣Q,♠9,♦K | Pair
♠T,♦Q,♣Q,♠9,♦3 | Pair
♠T,♦Q,♣Q,♦K,♦3 | Pair
♦6,♦Q,♣8,♣Q,♣7 | Pair
♦6,♦Q,♣8,♣Q,♣6 | Two Pairs
♦6,♦Q,♣8,♣Q,♠9 | Pair
♦6,♦Q,♣8,♣Q,♦K | Pair
♦6,♦Q,♣8,♣Q,♦3 | Pair
♦6,♦Q,♣8,♣7,♣6 | Pair
♦6,♦Q,♣8,♣6,♠9 | Pair
♦6,♦Q,♣8,♣6,♦K | Pair
♦6,♦Q,♣8,♣6,♦3 | Pair
♦6,♦Q,♣Q,♣7,♣6 | Two Pairs
♦6,♦Q,♣Q,♣7,♠9 | Pair
♦6,♦Q,♣Q,♣7,♦K | Pair
♦6,♦Q,♣Q,♣7,♦3 | Pair
♦6,♦Q,♣Q,♣6,♠9 | Two Pairs
♦6,♦Q,♣Q,♣6,♦K | Two Pairs
♦6,♦Q,♣Q,♣6,♦3 | Two Pairs
♦6,♦Q,♣Q,♠9,♦K | Pair
♦6,♦Q,♣Q,♠9,♦3 | Pair
♦6,♦Q,♣Q,♦K,♦3 | Pair
♦6,♦Q,♣7,♣6,♠9 | Pair
♦6,♦Q,♣7,♣6,♦K | Pair
♦6,♦Q,♣7,♣6,♦3 | Pair
♦6,♦Q,♣6,♠9,♦K | Pair
♦6,♦Q,♣6,♠9,♦3 | Pair
♦6,♦Q,♣6,♦K,♦3 | Pair
♦6,♣8,♣Q,♣7,♣6 | Pair
♦6,♣8,♣Q,♣6,♠9 | Pair
♦6,♣8,♣Q,♣6,♦K | Pair
♦6,♣8,♣Q,♣6,♦3 | Pair
♦6,♣8,♣7,♣6,♠9 | Pair
♦6,♣8,♣7,♣6,♦K | Pair
♦6,♣8,♣7,♣6,♦3 | Pair
♦6,♣8,♣6,♠9,♦K | Pair
♦6,♣8,♣6,♠9,♦3 | Pair
♦6,♣8,♣6,♦K,♦3 | Pair
♦6,♣Q,♣7,♣6,♠9 | Pair
♦6,♣Q,♣7,♣6,♦K | Pair
♦6,♣Q,♣7,♣6,♦3 | Pair
♦6,♣Q,♣6,♠9,♦K | Pair
♦6,♣Q,♣6,♠9,♦3 | Pair
♦6,♣Q,♣6,♦K,♦3 | Pair
♦6,♣7,♣6,♠9,♦K | Pair
♦6,♣7,♣6,♠9,♦3 | Pair
♦6,♣7,♣6,♦K,♦3 | Pair
♦6,♣6,♠9,♦K,♦3 | Pair
♦Q,♣8,♣Q,♣7,♣6 | Pair
♦Q,♣8,♣Q,♣7,♠9 | Pair
♦Q,♣8,♣Q,♣7,♦K | Pair
♦Q,♣8,♣Q,♣7,♦3 | Pair
♦Q,♣8,♣Q,♣6,♠9 | Pair
♦Q,♣8,♣Q,♣6,♦K | Pair
♦Q,♣8,♣Q,♣6,♦3 | Pair
♦Q,♣8,♣Q,♠9,♦K | Pair
♦Q,♣8,♣Q,♠9,♦3 | Pair
♦Q,♣8,♣Q,♦K,♦3 | Pair
♦Q,♣Q,♣7,♣6,♠9 | Pair
♦Q,♣Q,♣7,♣6,♦K | Pair
♦Q,♣Q,♣7,♣6,♦3 | Pair
♦Q,♣Q,♣7,♠9,♦K | Pair
♦Q,♣Q,♣7,♠9,♦3 | Pair
♦Q,♣Q,♣7,♦K,♦3 | Pair
♦Q,♣Q,♣6,♠9,♦K | Pair
♦Q,♣Q,♣6,♠9,♦3 | Pair
♦Q,♣Q,♣6,♦K,♦3 | Pair
♦Q,♣Q,♠9,♦K,♦3 | Pair
