♣T,♥A,♠7,♥J,♦7 | Pair
♣T,♣9,♦7,♠9,♠6 | Pair
♣T,♣9,♦K,♣3,♦3 | Pair
♣T,♣9,♦K,♣3,♥T | Pair
♣T,♣9,♦K,♣3,♦9 | Pair
♣T,♣9,♦K,♣3,♠9 | Pair
♣T,♣9,♦K,♣7,♥T | Pair
♣T,♣9,♦K,♣7,♦9 | Pair
♣T,♣9,♦K,♣7,♠9 | Pair
♣T,♣9,♦K,♥Q,♥T | Pair
♣T,♣9,♦K,♥Q,♦9 | Pair
♣T,♣9,♦K,♥Q,♠9 | Pair
♣T,♣9,♦K,♦3,♥T | Pair
♣T,♣9,♦K,♦3,♦9 | Pair
♣T,♣9,♦K,♦3,♠9 | Pair
♣T,♣9,♦K,♥T,♦9 | Two Pairs
♣T,♣9,♦K,♥T,♠9 | Two Pairs
♣T,♣9,♦K,♥T,♠6 | Pair
♣T,♣9,♦K,♦9,♠9 | Full House
♣T,♣9,♦K,♦9,♠6 | Pair
♣T,♣9,♦K,♠9,♠6 | Pair
♣T,♣9,♣3,♣7,♦3 | Pair
♣T,♣9,♣3,♣7,♥T | Pair
♣T,♣9,♣3,♣7,♦9 | Pair
♣T,♣9,♣3,♣7,♠9 | Pair
♣T,♣9,♣3,♥Q,♦3 | Pair
♣T,♣9,♣3,♥Q,♥T | Pair
♣T,♣9,♣3,♥Q,♦9 | Pair
♣T,♣9,♣3,♥Q,♠9 | Pair
♣T,♣9,♣3,♦3,♥T | Two Pairs
♣T,♣9,♣3,♦3,♦9 | Two Pairs
♣T,♣9,♣3,♦3,♠9 | Two Pairs
♣T,♣9,♣3,♦3,♠6 | Pair
♣T,♣9,♣3,♥T,♦9 | Two Pairs
♣T,♣9,♣3,♥T,♠9 | Two Pairs
♣T,♣9,♣3,♥T,♠6 | Pair
♣T,♣9,♣3,♦9,♠9 | Full House
♣T,♣9,♣3,♦9,♠6 | Pair
♣T,♣9,♣3,♠9,♠6 | Pair
♣T,♣9,♣7,♥Q,♥T | Pair
♣T,♣9,♣7,♥Q,♦9 | Pair
♣T,♣9,♣7,♥Q,♠9 | Pair
♣T,♣9,♣7,♦3,♥T | Pair
♣T,♣9,♣7,♦3,♦9 | Pair
♣T,♣9,♣7,♦3,♠9 | Pair
♣T,♣9,♣7,♥T,♦9 | Two Pairs
♣T,♣9,♣7,♥T,♠9 | Two Pairs
♣T,♣9,♣7,♥T,♠6 | Pair
♣T,♣9,♣7,♦9,♠9 | Full House
♣T,♣9,♣7,♦9,♠6 | Pair
♣T,♣9,♣7,♠9,♠6 | Pair
♣T,♣9,♥Q,♦3,♥T | Pair
♣T,♣9,♥Q,♦3,♦9 | Pair
♣T,♣9,♥Q,♦3,♠9 | Pair
♣T,♣9,♥Q,♥T,♦9 | Two Pairs
♣T,♣9,♥Q,♥T,♠9 | Two Pairs
♣T,♣9,♥Q,♥T,♠6 | Pair
♣T,♣9,♥Q,♦9,♠9 | Full House
♣T,♣9,♥Q,♦9,♠6 | Pair
♣T,♣9,♥Q,♠9,♠6 | Pair
♣T,♣9,♦3,♥T,♦9 | Two Pairs
♣T,♣9,♦3,♥T,♠9 | Two Pairs
♣T,♣9,♦3,♥T,♠6 | Pair
♣T,♣9,♦3,♦9,♠9 | Full House
♣T,♣9,♦3,♦9,♠6 | Pair
♣T,♣9,♦3,♠9,♠6 | Pair
♣T,♣9,♥T,♦9,♠9 | Full House
♣T,♣9,♥T,♦9,♠6 | Two Pairs
♣T,♣9,♥T,♠9,♠6 | Two Pairs
♣T,♣9,♦9,♠9,♠6 | Full House
♣T,♦7,♦K,♣3,♣7 | Pair
♣T,♦7,♦K,♣3,♦3 | Pair
♣T,♦7,♦K,♣3,♥T | Pair
♣T,♦7,♦K,♣7,♥Q | Pair
♣T,♦7,♦K,♣7,♦3 | Pair
♣T,♦7,♦K,♣7,♥T | Two Pairs
♣T,♦7,♦K,♣7,♦9 | Pair
♣T,♦7,♦K,♣7,♠9 | Pair
♣T,♦7,♦K,♣7,♠6 | Pair
♣T,♦7,♦K,♥Q,♥T | Pair
♣T,♦7,♦K,♦3,♥T | Pair
♣T,♦7,♦K,♥T,♦9 | Pair
♣T,♦7,♦K,♥T,♠9 | Pair
♣T,♦7,♦K,♥T,♠6 | Pair
♣T,♦7,♦K,♦9,♠9 | Pair
♣T,♦7,♣3,♣7,♥Q | Pair
♣T,♦7,♣3,♣7,♦3 | Two Pairs
♣T,♦7,♣3,♣7,♥T | Two Pairs
♣T,♦7,♣3,♣7,♦9 | Pair
♣T,♦7,♣3,♣7,♠9 | Pair
♣T,♦7,♣3,♣7,♠6 | Pair
♣T,♦7,♣3,♥Q,♦3 | Pair
♣T,♦7,♣3,♥Q,♥T | Pair
♣T,♦7,♣3,♦3,♥T | Two Pairs
♣T,♦7,♣3,♦3,♦9 | Pair
♣T,♦7,♣3,♦3,♠9 | Pair
♣T,♦7,♣3,♦3,♠6 | Pair
♣T,♦7,♣3,♥T,♦9 | Pair
♣T,♦7,♣3,♥T,♠9 | Pair
♣T,♦7,♣3,♥T,♠6 | Pair
♣T,♦7,♣3,♦9,♠9 | Pair
♣T,♦7,♣7,♥Q,♦3 | Pair
♣T,♦7,♣7,♥Q,♥T | Two Pairs
♣T,♦7,♣7,♥Q,♦9 | Pair
♣T,♦7,♣7,♥Q,♠9 | Pair
♣T,♦7,♣7,♥Q,♠6 | Pair
♣T,♦7,♣7,♦3,♥T | Two Pairs
♣T,♦7,♣7,♦3,♦9 | Pair
♣T,♦7,♣7,♦3,♠9 | Pair
♣T,♦7,♣7,♦3,♠6 | Pair
♣T,♦7,♣7,♥T,♦9 | Two Pairs
♣T,♦7,♣7,♥T,♠9 | Two Pairs
♣T,♦7,♣7,♥T,♠6 | Two Pairs
♣T,♦7,♣7,♦9,♠9 | Two Pairs
♣T,♦7,♣7,♦9,♠6 | Pair
♣T,♦7,♣7,♠9,♠6 | Pair
♣T,♦7,♥Q,♦3,♥T | Pair
♣T,♦7,♥Q,♥T,♦9 | Pair
♣T,♦7,♥Q,♥T,♠9 | Pair
♣T,♦7,♥Q,♥T,♠6 | Pair
♣T,♦7,♥Q,♦9,♠9 | Pair
♣T,♦7,♦3,♥T,♦9 | Pair
♣T,♦7,♦3,♥T,♠9 | Pair
♣T,♦7,♦3,♥T,♠6 | Pair
♣T,♦7,♦3,♦9,♠9 | Pair
♣T,♦7,♥T,♦9,♠9 | Two Pairs
♣T,♦7,♥T,♦9,♠6 | Pair
♣T,♦7,♥T,♠9,♠6 | Pair
♣T,♦7,♦9,♠9,♠6 | Pair
♣T,♦K,♣3,♣7,♦3 | Pair
♣T,♦K,♣3,♣7,♥T | Pair
♣T,♦K,♣3,♥Q,♦3 | Pair
♣T,♦K,♣3,♥Q,♥T | Pair
♣T,♦K,♣3,♦3,♥T | Two Pairs
♣T,♦K,♣3,♦3,♦9 | Pair
♣T,♦K,♣3,♦3,♠9 | Pair
♣T,♦K,♣3,♦3,♠6 | Pair
♣T,♦K,♣3,♥T,♦9 | Pair
♣T,♦K,♣3,♥T,♠9 | Pair
♣T,♦K,♣3,♥T,♠6 | Pair
♣T,♦K,♣3,♦9,♠9 | Pair
♣T,♦K,♣7,♥Q,♥T | Pair
♣T,♦K,♣7,♦3,♥T | Pair
♣T,♦K,♣7,♥T,♦9 | Pair
♣T,♦K,♣7,♥T,♠9 | Pair
♣T,♦K,♣7,♥T,♠6 | Pair
♣T,♦K,♣7,♦9,♠9 | Pair
♣T,♦K,♥Q,♦3,♥T | Pair
♣T,♦K,♥Q,♥T,♦9 | Pair
♣T,♦K,♥Q,♥T,♠9 | Pair
♣T,♦K,♥Q,♥T,♠6 | Pair
♣T,♦K,♥Q,♦9,♠9 | Pair
♣T,♦K,♦3,♥T,♦9 | Pair
♣T,♦K,♦3,♥T,♠9 | Pair
♣T,♦K,♦3,♥T,♠6 | Pair
♣T,♦K,♦3,♦9,♠9 | Pair
♣T,♦K,♥T,♦9,♠9 | Two Pairs
♣T,♦K,♥T,♦9,♠6 | Pair
♣T,♦K,♥T,♠9,♠6 | Pair
♣T,♦K,♦9,♠9,♠6 | Pair
♣T,♣3,♣7,♥Q,♦3 | Pair
♣T,♣3,♣7,♥Q,♥T | Pair
♣T,♣3,♣7,♦3,♥T | Two Pairs
♣T,♣3,♣7,♦3,♦9 | Pair
♣T,♣3,♣7,♦3,♠9 | Pair
♣T,♣3,♣7,♦3,♠6 | Pair
♣T,♣3,♣7,♥T,♦9 | Pair
♣T,♣3,♣7,♥T,♠9 | Pair
♣T,♣3,♣7,♥T,♠6 | Pair
♣T,♣3,♣7,♦9,♠9 | Pair
♣T,♣3,♥Q,♦3,♥T | Two Pairs
♣T,♣3,♥Q,♦3,♦9 | Pair
♣T,♣3,♥Q,♦3,♠9 | Pair
♣T,♣3,♥Q,♦3,♠6 | Pair
♣T,♣3,♥Q,♥T,♦9 | Pair
♣T,♣3,♥Q,♥T,♠9 | Pair
♣T,♣3,♥Q,♥T,♠6 | Pair
♣T,♣3,♥Q,♦9,♠9 | Pair
♣T,♣3,♦3,♥T,♦9 | Two Pairs
♣T,♣3,♦3,♥T,♠9 | Two Pairs
♣T,♣3,♦3,♥T,♠6 | Two Pairs
♣T,♣3,♦3,♦9,♠9 | Two Pairs
♣T,♣3,♦3,♦9,♠6 | Pair
♣T,♣3,♦3,♠9,♠6 | Pair
♣T,♣3,♥T,♦9,♠9 | Two Pairs
♣T,♣3,♥T,♦9,♠6 | Pair
♣T,♣3,♥T,♠9,♠6 | Pair
♣T,♣3,♦9,♠9,♠6 | Pair
♣T,♣7,♥Q,♦3,♥T | Pair
♣T,♣7,♥Q,♥T,♦9 | Pair
♣T,♣7,♥Q,♥T,♠9 | Pair
♣T,♣7,♥Q,♥T,♠6 | Pair
♣T,♣7,♥Q,♦9,♠9 | Pair
♣T,♣7,♦3,♥T,♦9 | Pair
♣T,♣7,♦3,♥T,♠9 | Pair
♣T,♣7,♦3,♥T,♠6 | Pair
♣T,♣7,♦3,♦9,♠9 | Pair
♣T,♣7,♥T,♦9,♠9 | Two Pairs
♣T,♣7,♥T,♦9,♠6 | Pair
♣T,♣7,♥T,♠9,♠6 | Pair
♣T,♣7,♦9,♠9,♠6 | Pair
♣T,♥Q,♦3,♥T,♦9 | Pair
♣T,♥Q,♦3,♥T,♠9 | Pair
♣T,♥Q,♦3,♥T,♠6 | Pair
♣T,♥Q,♦3,♦9,♠9 | Pair
♣T,♥Q,♥T,♦9,♠9 | Two Pairs
♣T,♥Q,♥T,♦9,♠6 | Pair
♣T,♥Q,♥T,♠9,♠6 | Pair
♣T,♥Q,♦9,♠9,♠6 | Pair
♣T,♦3,♥T,♦9,♠9 | Two Pairs
♣T,♦3,♥T,♦9,♠6 | Pair
♣T,♦3,♥T,♠9,♠6 | Pair
♣T,♦3,♦9,♠9,♠6 | Pair
♣T,♥T,♦9,♠9,♠6 | Two Pairs
♥A,♠7,♥J,♣5,♦7 | Pair
♥A,♠7,♥J,♣5,♣7 | Pair
♥A,♠7,♥J,♣9,♦7 | Pair
♥A,♠7,♥J,♣9,♣7 | Pair
♥A,♠7,♥J,♣9,♦9 | Pair
♥A,♠7,♥J,♣9,♠9 | Pair
♥A,♠7,♥J,♦7,♦K | Pair
♥A,♠7,♥J,♦7,♣3 | Pair
♥A,♠7,♥J,♦7,♣7 | Full House
♥A,♠7,♥J,♦7,♥Q | Pair
♥A,♠7,♥J,♦7,♦3 | Pair
♥A,♠7,♥J,♦7,♥T | Pair
♥A,♠7,♥J,♦7,♦9 | Pair
♥A,♠7,♥J,♦7,♠9 | Pair
♥A,♠7,♥J,♦7,♠6 | Pair
♥A,♠7,♥J,♦K,♣7 | Pair
♥A,♠7,♥J,♣3,♣7 | Pair
♥A,♠7,♥J,♣3,♦3 | Pair
♥A,♠7,♥J,♣7,♥Q | Pair
♥A,♠7,♥J,♣7,♦3 | Pair
♥A,♠7,♥J,♣7,♥T | Pair
♥A,♠7,♥J,♣7,♦9 | Pair
♥A,♠7,♥J,♣7,♠9 | Pair
♥A,♠7,♥J,♣7,♠6 | Pair
♥A,♠7,♥J,♦9,♠9 | Pair
♥A,♠7,♣5,♣9,♦7 | Pair
♥A,♠7,♣5,♣9,♣7 | Pair
♥A,♠7,♣5,♣9,♦9 | Pair
♥A,♠7,♣5,♣9,♠9 | Pair
♥A,♠7,♣5,♦7,♦K | Pair
♥A,♠7,♣5,♦7,♣3 | Pair
♥A,♠7,♣5,♦7,♣7 | Full House
♥A,♠7,♣5,♦7,♥Q | Pair
♥A,♠7,♣5,♦7,♦3 | Pair
♥A,♠7,♣5,♦7,♥T | Pair
♥A,♠7,♣5,♦7,♦9 | Pair
♥A,♠7,♣5,♦7,♠9 | Pair
♥A,♠7,♣5,♦7,♠6 | Pair
♥A,♠7,♣5,♦K,♣7 | Pair
♥A,♠7,♣5,♣3,♣7 | Pair
♥A,♠7,♣5,♣3,♦3 | Pair
♥A,♠7,♣5,♣7,♥Q | Pair
♥A,♠7,♣5,♣7,♦3 | Pair
♥A,♠7,♣5,♣7,♥T | Pair
♥A,♠7,♣5,♣7,♦9 | Pair
♥A,♠7,♣5,♣7,♠9 | Pair
♥A,♠7,♣5,♣7,♠6 | Pair
♥A,♠7,♣5,♦9,♠9 | Pair
♥A,♠7,♣9,♦7,♦K | Pair
♥A,♠7,♣9,♦7,♣3 | Pair
♥A,♠7,♣9,♦7,♣7 | Full House
♥A,♠7,♣9,♦7,♥Q | Pair
♥A,♠7,♣9,♦7,♦3 | Pair
♥A,♠7,♣9,♦7,♥T | Pair
♥A,♠7,♣9,♦7,♦9 | Two Pairs
♥A,♠7,♣9,♦7,♠9 | Two Pairs
♥A,♠7,♣9,♦7,♠6 | Pair
♥A,♠7,♣9,♦K,♣7 | Pair
♥A,♠7,♣9,♦K,♦9 | Pair
♥A,♠7,♣9,♦K,♠9 | Pair
♥A,♠7,♣9,♣3,♣7 | Pair
♥A,♠7,♣9,♣3,♦3 | Pair
♥A,♠7,♣9,♣3,♦9 | Pair
♥A,♠7,♣9,♣3,♠9 | Pair
♥A,♠7,♣9,♣7,♥Q | Pair
♥A,♠7,♣9,♣7,♦3 | Pair
♥A,♠7,♣9,♣7,♥T | Pair
♥A,♠7,♣9,♣7,♦9 | Two Pairs
♥A,♠7,♣9,♣7,♠9 | Two Pairs
♥A,♠7,♣9,♣7,♠6 | Pair
♥A,♠7,♣9,♥Q,♦9 | Pair
♥A,♠7,♣9,♥Q,♠9 | Pair
♥A,♠7,♣9,♦3,♦9 | Pair
♥A,♠7,♣9,♦3,♠9 | Pair
♥A,♠7,♣9,♥T,♦9 | Pair
♥A,♠7,♣9,♥T,♠9 | Pair
♥A,♠7,♣9,♦9,♠9 | Full House
♥A,♠7,♣9,♦9,♠6 | Pair
♥A,♠7,♣9,♠9,♠6 | Pair
♥A,♠7,♦7,♦K,♣3 | Pair
♥A,♠7,♦7,♦K,♣7 | Full House
♥A,♠7,♦7,♦K,♥Q | Pair
♥A,♠7,♦7,♦K,♦3 | Pair
♥A,♠7,♦7,♦K,♥T | Pair
♥A,♠7,♦7,♦K,♦9 | Pair
♥A,♠7,♦7,♦K,♠9 | Pair
♥A,♠7,♦7,♦K,♠6 | Pair
♥A,♠7,♦7,♣3,♣7 | Full House
♥A,♠7,♦7,♣3,♥Q | Pair
♥A,♠7,♦7,♣3,♦3 | Two Pairs
♥A,♠7,♦7,♣3,♥T | Pair
♥A,♠7,♦7,♣3,♦9 | Pair
♥A,♠7,♦7,♣3,♠9 | Pair
♥A,♠7,♦7,♣3,♠6 | Pair
♥A,♠7,♦7,♣7,♥Q | Full House
♥A,♠7,♦7,♣7,♦3 | Full House
♥A,♠7,♦7,♣7,♥T | Full House
♥A,♠7,♦7,♣7,♦9 | Full House
♥A,♠7,♦7,♣7,♠9 | Full House
♥A,♠7,♦7,♣7,♠6 | Full House
♥A,♠7,♦7,♥Q,♦3 | Pair
♥A,♠7,♦7,♥Q,♥T | Pair
♥A,♠7,♦7,♥Q,♦9 | Pair
♥A,♠7,♦7,♥Q,♠9 | Pair
♥A,♠7,♦7,♥Q,♠6 | Pair
♥A,♠7,♦7,♦3,♥T | Pair
♥A,♠7,♦7,♦3,♦9 | Pair
♥A,♠7,♦7,♦3,♠9 | Pair
♥A,♠7,♦7,♦3,♠6 | Pair
♥A,♠7,♦7,♥T,♦9 | Pair
♥A,♠7,♦7,♥T,♠9 | Pair
♥A,♠7,♦7,♥T,♠6 | Pair
♥A,♠7,♦7,♦9,♠9 | Two Pairs
♥A,♠7,♦7,♦9,♠6 | Pair
♥A,♠7,♦7,♠9,♠6 | Pair
♥A,♠7,♦K,♣3,♣7 | Pair
♥A,♠7,♦K,♣3,♦3 | Pair
♥A,♠7,♦K,♣7,♥Q | Pair
♥A,♠7,♦K,♣7,♦3 | Pair
♥A,♠7,♦K,♣7,♥T | Pair
♥A,♠7,♦K,♣7,♦9 | Pair
♥A,♠7,♦K,♣7,♠9 | Pair
♥A,♠7,♦K,♣7,♠6 | Pair
♥A,♠7,♦K,♦9,♠9 | Pair
♥A,♠7,♣3,♣7,♥Q | Pair
♥A,♠7,♣3,♣7,♦3 | Two Pairs
♥A,♠7,♣3,♣7,♥T | Pair
♥A,♠7,♣3,♣7,♦9 | Pair
♥A,♠7,♣3,♣7,♠9 | Pair
♥A,♠7,♣3,♣7,♠6 | Pair
♥A,♠7,♣3,♥Q,♦3 | Pair
♥A,♠7,♣3,♦3,♥T | Pair
♥A,♠7,♣3,♦3,♦9 | Pair
♥A,♠7,♣3,♦3,♠9 | Pair
♥A,♠7,♣3,♦3,♠6 | Pair
♥A,♠7,♣3,♦9,♠9 | Pair
♥A,♠7,♣7,♥Q,♦3 | Pair
♥A,♠7,♣7,♥Q,♥T | Pair
♥A,♠7,♣7,♥Q,♦9 | Pair
♥A,♠7,♣7,♥Q,♠9 | Pair
♥A,♠7,♣7,♥Q,♠6 | Pair
♥A,♠7,♣7,♦3,♥T | Pair
♥A,♠7,♣7,♦3,♦9 | Pair
♥A,♠7,♣7,♦3,♠9 | Pair
♥A,♠7,♣7,♦3,♠6 | Pair
♥A,♠7,♣7,♥T,♦9 | Pair
♥A,♠7,♣7,♥T,♠9 | Pair
♥A,♠7,♣7,♥T,♠6 | Pair
♥A,♠7,♣7,♦9,♠9 | Two Pairs
♥A,♠7,♣7,♦9,♠6 | Pair
♥A,♠7,♣7,♠9,♠6 | Pair
♥A,♠7,♥Q,♦9,♠9 | Pair
♥A,♠7,♦3,♦9,♠9 | Pair
♥A,♠7,♥T,♦9,♠9 | Pair
♥A,♠7,♦9,♠9,♠6 | Pair
♥A,♥J,♣5,♣9,♦9 | Pair
♥A,♥J,♣5,♣9,♠9 | Pair
♥A,♥J,♣5,♦7,♣7 | Pair
♥A,♥J,♣5,♣3,♦3 | Pair
♥A,♥J,♣5,♦9,♠9 | Pair
♥A,♥J,♣9,♦7,♣7 | Pair
♥A,♥J,♣9,♦7,♦9 | Pair
♥A,♥J,♣9,♦7,♠9 | Pair
♥A,♥J,♣9,♦K,♦9 | Pair
♥A,♥J,♣9,♦K,♠9 | Pair
♥A,♥J,♣9,♣3,♦3 | Pair
♥A,♥J,♣9,♣3,♦9 | Pair
♥A,♥J,♣9,♣3,♠9 | Pair
♥A,♥J,♣9,♣7,♦9 | Pair
♥A,♥J,♣9,♣7,♠9 | Pair
♥A,♥J,♣9,♥Q,♦9 | Pair
♥A,♥J,♣9,♥Q,♠9 | Pair
♥A,♥J,♣9,♦3,♦9 | Pair
♥A,♥J,♣9,♦3,♠9 | Pair
♥A,♥J,♣9,♥T,♦9 | Pair
♥A,♥J,♣9,♥T,♠9 | Pair
♥A,♥J,♣9,♦9,♠9 | Full House
♥A,♥J,♣9,♦9,♠6 | Pair
♥A,♥J,♣9,♠9,♠6 | Pair
♥A,♥J,♦7,♦K,♣7 | Pair
♥A,♥J,♦7,♣3,♣7 | Pair
♥A,♥J,♦7,♣3,♦3 | Pair
♥A,♥J,♦7,♣7,♥Q | Pair
♥A,♥J,♦7,♣7,♦3 | Pair
♥A,♥J,♦7,♣7,♥T | Pair
♥A,♥J,♦7,♣7,♦9 | Pair
♥A,♥J,♦7,♣7,♠9 | Pair
♥A,♥J,♦7,♣7,♠6 | Pair
♥A,♥J,♦7,♦9,♠9 | Pair
♥A,♥J,♦K,♣3,♦3 | Pair
♥A,♥J,♦K,♦9,♠9 | Pair
♥A,♥J,♣3,♣7,♦3 | Pair
♥A,♥J,♣3,♥Q,♦3 | Pair
♥A,♥J,♣3,♦3,♥T | Pair
♥A,♥J,♣3,♦3,♦9 | Pair
♥A,♥J,♣3,♦3,♠9 | Pair
♥A,♥J,♣3,♦3,♠6 | Pair
♥A,♥J,♣3,♦9,♠9 | Pair
♥A,♥J,♣7,♦9,♠9 | Pair
♥A,♥J,♥Q,♦9,♠9 | Pair
♥A,♥J,♦3,♦9,♠9 | Pair
♥A,♥J,♥T,♦9,♠9 | Pair
♥A,♥J,♦9,♠9,♠6 | Pair
♥A,♣5,♣9,♦7,♣7 | Pair
♥A,♣5,♣9,♦7,♦9 | Pair
♥A,♣5,♣9,♦7,♠9 | Pair
♥A,♣5,♣9,♦K,♦9 | Pair
♥A,♣5,♣9,♦K,♠9 | Pair
♥A,♣5,♣9,♣3,♦3 | Pair
♥A,♣5,♣9,♣3,♦9 | Pair
♥A,♣5,♣9,♣3,♠9 | Pair
♥A,♣5,♣9,♣7,♦9 | Pair
♥A,♣5,♣9,♣7,♠9 | Pair
♥A,♣5,♣9,♥Q,♦9 | Pair
♥A,♣5,♣9,♥Q,♠9 | Pair
♥A,♣5,♣9,♦3,♦9 | Pair
♥A,♣5,♣9,♦3,♠9 | Pair
♥A,♣5,♣9,♥T,♦9 | Pair
♥A,♣5,♣9,♥T,♠9 | Pair
♥A,♣5,♣9,♦9,♠9 | Full House
♥A,♣5,♣9,♦9,♠6 | Pair
♥A,♣5,♣9,♠9,♠6 | Pair
♥A,♣5,♦7,♦K,♣7 | Pair
♥A,♣5,♦7,♣3,♣7 | Pair
♥A,♣5,♦7,♣3,♦3 | Pair
♥A,♣5,♦7,♣7,♥Q | Pair
♥A,♣5,♦7,♣7,♦3 | Pair
♥A,♣5,♦7,♣7,♥T | Pair
♥A,♣5,♦7,♣7,♦9 | Pair
♥A,♣5,♦7,♣7,♠9 | Pair
♥A,♣5,♦7,♣7,♠6 | Pair
♥A,♣5,♦7,♦9,♠9 | Pair
♥A,♣5,♦K,♣3,♦3 | Pair
♥A,♣5,♦K,♦9,♠9 | Pair
♥A,♣5,♣3,♣7,♦3 | Pair
♥A,♣5,♣3,♥Q,♦3 | Pair
♥A,♣5,♣3,♦3,♥T | Pair
♥A,♣5,♣3,♦3,♦9 | Pair
♥A,♣5,♣3,♦3,♠9 | Pair
♥A,♣5,♣3,♦3,♠6 | Pair
♥A,♣5,♣3,♦9,♠9 | Pair
♥A,♣5,♣7,♦9,♠9 | Pair
♥A,♣5,♥Q,♦9,♠9 | Pair
♥A,♣5,♦3,♦9,♠9 | Pair
♥A,♣5,♥T,♦9,♠9 | Pair
♥A,♣5,♦9,♠9,♠6 | Pair
♥A,♣9,♦7,♦K,♣7 | Pair
♥A,♣9,♦7,♦K,♦9 | Pair
♥A,♣9,♦7,♦K,♠9 | Pair
♥A,♣9,♦7,♣3,♣7 | Pair
♥A,♣9,♦7,♣3,♦3 | Pair
♥A,♣9,♦7,♣3,♦9 | Pair
♥A,♣9,♦7,♣3,♠9 | Pair
♥A,♣9,♦7,♣7,♥Q | Pair
♥A,♣9,♦7,♣7,♦3 | Pair
♥A,♣9,♦7,♣7,♥T | Pair
♥A,♣9,♦7,♣7,♦9 | Two Pairs
♥A,♣9,♦7,♣7,♠9 | Two Pairs
♥A,♣9,♦7,♣7,♠6 | Pair
♥A,♣9,♦7,♥Q,♦9 | Pair
♥A,♣9,♦7,♥Q,♠9 | Pair
♥A,♣9,♦7,♦3,♦9 | Pair
♥A,♣9,♦7,♦3,♠9 | Pair
♥A,♣9,♦7,♥T,♦9 | Pair
♥A,♣9,♦7,♥T,♠9 | Pair
♥A,♣9,♦7,♦9,♠9 | Full House
♥A,♣9,♦7,♦9,♠6 | Pair
♥A,♣9,♦7,♠9,♠6 | Pair
♥A,♣9,♦K,♣3,♦3 | Pair
♥A,♣9,♦K,♣3,♦9 | Pair
♥A,♣9,♦K,♣3,♠9 | Pair
♥A,♣9,♦K,♣7,♦9 | Pair
♥A,♣9,♦K,♣7,♠9 | Pair
♥A,♣9,♦K,♥Q,♦9 | Pair
♥A,♣9,♦K,♥Q,♠9 | Pair
♥A,♣9,♦K,♦3,♦9 | Pair
♥A,♣9,♦K,♦3,♠9 | Pair
♥A,♣9,♦K,♥T,♦9 | Pair
♥A,♣9,♦K,♥T,♠9 | Pair
♥A,♣9,♦K,♦9,♠9 | Full House
♥A,♣9,♦K,♦9,♠6 | Pair
♥A,♣9,♦K,♠9,♠6 | Pair
♥A,♣9,♣3,♣7,♦3 | Pair
♥A,♣9,♣3,♣7,♦9 | Pair
♥A,♣9,♣3,♣7,♠9 | Pair
♥A,♣9,♣3,♥Q,♦3 | Pair
♥A,♣9,♣3,♥Q,♦9 | Pair
♥A,♣9,♣3,♥Q,♠9 | Pair
♥A,♣9,♣3,♦3,♥T | Pair
♥A,♣9,♣3,♦3,♦9 | Two Pairs
♥A,♣9,♣3,♦3,♠9 | Two Pairs
♥A,♣9,♣3,♦3,♠6 | Pair
♥A,♣9,♣3,♥T,♦9 | Pair
♥A,♣9,♣3,♥T,♠9 | Pair
♥A,♣9,♣3,♦9,♠9 | Full House
♥A,♣9,♣3,♦9,♠6 | Pair
♥A,♣9,♣3,♠9,♠6 | Pair
♥A,♣9,♣7,♥Q,♦9 | Pair
♥A,♣9,♣7,♥Q,♠9 | Pair
♥A,♣9,♣7,♦3,♦9 | Pair
♥A,♣9,♣7,♦3,♠9 | Pair
♥A,♣9,♣7,♥T,♦9 | Pair
♥A,♣9,♣7,♥T,♠9 | Pair
♥A,♣9,♣7,♦9,♠9 | Full House
♥A,♣9,♣7,♦9,♠6 | Pair
♥A,♣9,♣7,♠9,♠6 | Pair
♥A,♣9,♥Q,♦3,♦9 | Pair
♥A,♣9,♥Q,♦3,♠9 | Pair
♥A,♣9,♥Q,♥T,♦9 | Pair
♥A,♣9,♥Q,♥T,♠9 | Pair
♥A,♣9,♥Q,♦9,♠9 | Full House
♥A,♣9,♥Q,♦9,♠6 | Pair
♥A,♣9,♥Q,♠9,♠6 | Pair
♥A,♣9,♦3,♥T,♦9 | Pair
♥A,♣9,♦3,♥T,♠9 | Pair
♥A,♣9,♦3,♦9,♠9 | Full House
♥A,♣9,♦3,♦9,♠6 | Pair
♥A,♣9,♦3,♠9,♠6 | Pair
♥A,♣9,♥T,♦9,♠9 | Full House
♥A,♣9,♥T,♦9,♠6 | Pair
♥A,♣9,♥T,♠9,♠6 | Pair
♥A,♣9,♦9,♠9,♠6 | Full House
♥A,♦7,♦K,♣3,♣7 | Pair
♥A,♦7,♦K,♣3,♦3 | Pair
♥A,♦7,♦K,♣7,♥Q | Pair
♥A,♦7,♦K,♣7,♦3 | Pair
♥A,♦7,♦K,♣7,♥T | Pair
♥A,♦7,♦K,♣7,♦9 | Pair
♥A,♦7,♦K,♣7,♠9 | Pair
♥A,♦7,♦K,♣7,♠6 | Pair
♥A,♦7,♦K,♦9,♠9 | Pair
♥A,♦7,♣3,♣7,♥Q | Pair
♥A,♦7,♣3,♣7,♦3 | Two Pairs
♥A,♦7,♣3,♣7,♥T | Pair
♥A,♦7,♣3,♣7,♦9 | Pair
♥A,♦7,♣3,♣7,♠9 | Pair
♥A,♦7,♣3,♣7,♠6 | Pair
