♠10, ♣Q, ♣8, ♣10, ♣7 | pair
♣8, ♣7, ♠2, ♥2, ♦J | pair
♣8, ♣7, ♠2, ♣4, ♣2 | pair
♣8, ♣7, ♠2, ♣2, ♦J | pair
♣8, ♣7, ♣3, ♠5, ♥8 | pair
♣8, ♣7, ♣3, ♥8, ♥2 | pair
♣8, ♣7, ♣3, ♥8, ♣4 | pair
♣8, ♣7, ♣3, ♥8, ♣2 | pair
♣8, ♣7, ♣3, ♥8, ♦J | pair
♣8, ♣7, ♣3, ♥2, ♣2 | pair
♣8, ♣7, ♣3, ♣4, ♣2 | flush
♣8, ♣7, ♠5, ♥8, ♥2 | pair
♣8, ♣7, ♠5, ♥8, ♣4 | pair
♣8, ♣7, ♠5, ♥8, ♣2 | pair
♣8, ♣7, ♠5, ♥8, ♦J | pair
♣8, ♣7, ♠5, ♥2, ♣2 | pair
♣8, ♣7, ♥8, ♥2, ♣4 | pair
♣8, ♣7, ♥8, ♥2, ♣2 | two pairs
♣8, ♣7, ♥8, ♥2, ♦J | pair
♣8, ♣7, ♥8, ♣4, ♣2 | pair
♣8, ♣7, ♥8, ♣4, ♦J | pair
♣8, ♣7, ♥8, ♣2, ♦J | pair
♣8, ♣7, ♥2, ♣4, ♣2 | pair
♣8, ♣7, ♥2, ♣2, ♦J | pair
♣8, ♠2, ♣3, ♠5, ♥8 | pair
♣8, ♠2, ♣3, ♠5, ♥2 | pair
♣8, ♠2, ♣3, ♠5, ♣2 | pair
♣8, ♠2, ♣3, ♥8, ♥2 | two pairs
♣8, ♠2, ♣3, ♥8, ♣4 | pair
♣8, ♠2, ♣3, ♥8, ♣2 | two pairs
♣8, ♠2, ♣3, ♥8, ♦J | pair
♣8, ♠2, ♣3, ♥2, ♣4 | pair
♣8, ♠2, ♣3, ♥2, ♣2 | three of a kind
♣8, ♠2, ♣3, ♥2, ♦J | pair
♣8, ♠2, ♣3, ♣4, ♣2 | pair
♣8, ♠2, ♣3, ♣2, ♦J | pair
♣8, ♠2, ♠5, ♥8, ♥2 | two pairs
♣8, ♠2, ♠5, ♥8, ♣4 | pair
♣8, ♠2, ♠5, ♥8, ♣2 | two pairs
♣8, ♠2, ♠5, ♥8, ♦J | pair
♣8, ♠2, ♠5, ♥2, ♣4 | pair
♣8, ♠2, ♠5, ♥2, ♣2 | three of a kind
♣8, ♠2, ♠5, ♥2, ♦J | pair
♣8, ♠2, ♠5, ♣4, ♣2 | pair
♣8, ♠2, ♠5, ♣2, ♦J | pair
♣8, ♠2, ♥8, ♥2, ♣4 | two pairs
♣8, ♠2, ♥8, ♥2, ♣2 | fullhouse
♣8, ♠2, ♥8, ♥2, ♦J | two pairs
♣8, ♠2, ♥8, ♣4, ♣2 | two pairs
♣8, ♠2, ♥8, ♣4, ♦J | pair
♣8, ♠2, ♥8, ♣2, ♦J | two pairs
♣8, ♠2, ♥2, ♣4, ♣2 | three of a kind
♣8, ♠2, ♥2, ♣4, ♦J | pair
♣8, ♠2, ♥2, ♣2, ♦J | three of a kind
♣8, ♠2, ♣4, ♣2, ♦J | pair
♣8, ♣3, ♠5, ♥8, ♥2 | pair
♣8, ♣3, ♠5, ♥8, ♣4 | pair
♣8, ♣3, ♠5, ♥8, ♣2 | pair
♣8, ♣3, ♠5, ♥8, ♦J | pair
♣8, ♣3, ♠5, ♥2, ♣2 | pair
♣8, ♣3, ♥8, ♥2, ♣4 | pair
♣8, ♣3, ♥8, ♥2, ♣2 | two pairs
♣8, ♣3, ♥8, ♥2, ♦J | pair
♣8, ♣3, ♥8, ♣4, ♣2 | pair
♣8, ♣3, ♥8, ♣4, ♦J | pair
♣8, ♣3, ♥8, ♣2, ♦J | pair
♣8, ♣3, ♥2, ♣4, ♣2 | pair
♣8, ♣3, ♥2, ♣2, ♦J | pair
♣8, ♠5, ♥8, ♥2, ♣4 | pair
♣8, ♠5, ♥8, ♥2, ♣2 | two pairs
♣8, ♠5, ♥8, ♥2, ♦J | pair
♣8, ♠5, ♥8, ♣4, ♣2 | pair
♣8, ♠5, ♥8, ♣4, ♦J | pair
♣8, ♠5, ♥8, ♣2, ♦J | pair
♣8, ♠5, ♥2, ♣4, ♣2 | pair
♣8, ♠5, ♥2, ♣2, ♦J | pair
♣8, ♥8, ♥2, ♣4, ♣2 | two pairs
♣8, ♥8, ♥2, ♣4, ♦J | pair
♣8, ♥8, ♥2, ♣2, ♦J | two pairs
♣8, ♥8, ♣4, ♣2, ♦J | pair
♣8, ♥2, ♣4, ♣2, ♦J | pair
♣10, ♣7, ♠2, ♣3, ♥2 | pair
♣10, ♣7, ♠2, ♣3, ♣2 | pair
♣10, ♣7, ♠2, ♠5, ♥2 | pair
♣10, ♣7, ♠2, ♠5, ♣2 | pair
♣10, ♣7, ♠2, ♥8, ♥2 | pair
♣10, ♣7, ♠2, ♥8, ♣2 | pair
♣10, ♣7, ♠2, ♥2, ♣4 | pair
♣10, ♣7, ♠2, ♥2, ♣2 | three of a kind
♣10, ♣7, ♠2, ♥2, ♦J | pair
♣10, ♣7, ♠2, ♣4, ♣2 | pair
♣10, ♣7, ♠2, ♣2, ♦J | pair
♣10, ♣7, ♣3, ♥2, ♣2 | pair
♣10, ♣7, ♣3, ♣4, ♣2 | flush
♣10, ♣7, ♠5, ♥2, ♣2 | pair
♣10, ♣7, ♥8, ♥2, ♣2 | pair
♣10, ♣7, ♥2, ♣4, ♣2 | pair
♣10, ♣7, ♥2, ♣2, ♦J | pair
♣10, ♠2, ♣3, ♠5, ♥2 | pair
♣10, ♠2, ♣3, ♠5, ♣2 | pair
♣10, ♠2, ♣3, ♥8, ♥2 | pair
♣10, ♠2, ♣3, ♥8, ♣2 | pair
♣10, ♠2, ♣3, ♥2, ♣4 | pair
♣10, ♠2, ♣3, ♥2, ♣2 | three of a kind
♣10, ♠2, ♣3, ♥2, ♦J | pair
♣10, ♠2, ♣3, ♣4, ♣2 | pair
♣10, ♠2, ♣3, ♣2, ♦J | pair
♣10, ♠2, ♠5, ♥8, ♥2 | pair
♣10, ♠2, ♠5, ♥8, ♣2 | pair
♣10, ♠2, ♠5, ♥2, ♣4 | pair
♣10, ♠2, ♠5, ♥2, ♣2 | three of a kind
♣10, ♠2, ♠5, ♥2, ♦J | pair
♣10, ♠2, ♠5, ♣4, ♣2 | pair
♣10, ♠2, ♠5, ♣2, ♦J | pair
♣10, ♠2, ♥8, ♥2, ♣4 | pair
♣10, ♠2, ♥8, ♥2, ♣2 | three of a kind
♣10, ♠2, ♥8, ♥2, ♦J | pair
♣10, ♠2, ♥8, ♣4, ♣2 | pair
♣10, ♠2, ♥8, ♣2, ♦J | pair
♣10, ♠2, ♥2, ♣4, ♣2 | three of a kind
♣10, ♠2, ♥2, ♣4, ♦J | pair
♣10, ♠2, ♥2, ♣2, ♦J | three of a kind
♣10, ♠2, ♣4, ♣2, ♦J | pair
♣10, ♣3, ♠5, ♥2, ♣2 | pair
♣10, ♣3, ♥8, ♥2, ♣2 | pair
♣10, ♣3, ♥2, ♣4, ♣2 | pair
♣10, ♣3, ♥2, ♣2, ♦J | pair
♣10, ♠5, ♥8, ♥2, ♣2 | pair
♣10, ♠5, ♥2, ♣4, ♣2 | pair
♣10, ♠5, ♥2, ♣2, ♦J | pair
♣10, ♥8, ♥2, ♣4, ♣2 | pair
♣10, ♥8, ♥2, ♣2, ♦J | pair
♣10, ♥2, ♣4, ♣2, ♦J | pair
♣7, ♠2, ♣3, ♠5, ♥2 | pair
♣7, ♠2, ♣3, ♠5, ♣2 | pair
♣7, ♠2, ♣3, ♥8, ♥2 | pair
♣7, ♠2, ♣3, ♥8, ♣2 | pair
♣7, ♠2, ♣3, ♥2, ♣4 | pair
♣7, ♠2, ♣3, ♥2, ♣2 | three of a kind
♣7, ♠2, ♣3, ♥2, ♦J | pair
♣7, ♠2, ♣3, ♣4, ♣2 | pair
♣7, ♠2, ♣3, ♣2, ♦J | pair
♣7, ♠2, ♠5, ♥8, ♥2 | pair
♣7, ♠2, ♠5, ♥8, ♣2 | pair
♣7, ♠2, ♠5, ♥2, ♣4 | pair
♣7, ♠2, ♠5, ♥2, ♣2 | three of a kind
♣7, ♠2, ♠5, ♥2, ♦J | pair
♣7, ♠2, ♠5, ♣4, ♣2 | pair
♣7, ♠2, ♠5, ♣2, ♦J | pair
♣7, ♠2, ♥8, ♥2, ♣4 | pair
♣7, ♠2, ♥8, ♥2, ♣2 | three of a kind
♣7, ♠2, ♥8, ♥2, ♦J | pair
♣7, ♠2, ♥8, ♣4, ♣2 | pair
♣7, ♠2, ♥8, ♣2, ♦J | pair
♣7, ♠2, ♥2, ♣4, ♣2 | three of a kind
♣7, ♠2, ♥2, ♣4, ♦J | pair
♣7, ♠2, ♥2, ♣2, ♦J | three of a kind
♣7, ♠2, ♣4, ♣2, ♦J | pair
♣7, ♣3, ♠5, ♥2, ♣2 | pair
♣7, ♣3, ♥8, ♥2, ♣2 | pair
♣7, ♣3, ♥2, ♣4, ♣2 | pair
♣7, ♣3, ♥2, ♣2, ♦J | pair
♣7, ♠5, ♥8, ♥2, ♣2 | pair
♣7, ♠5, ♥2, ♣4, ♣2 | pair
♣7, ♠5, ♥2, ♣2, ♦J | pair
♣7, ♥8, ♥2, ♣4, ♣2 | pair
♣7, ♥8, ♥2, ♣2, ♦J | pair
♣7, ♥2, ♣4, ♣2, ♦J | pair
♠2, ♣3, ♠5, ♥8, ♥2 | pair
♠2, ♣3, ♠5, ♥8, ♣2 | pair
♠2, ♣3, ♠5, ♥2, ♣4 | pair
♠2, ♣3, ♠5, ♥2, ♣2 | three of a kind
♠2, ♣3, ♠5, ♥2, ♦J | pair
♠2, ♣3, ♠5, ♣4, ♣2 | pair
♠2, ♣3, ♠5, ♣2, ♦J | pair
♠2, ♣3, ♥8, ♥2, ♣4 | pair
♠2, ♣3, ♥8, ♥2, ♣2 | three of a kind
♠2, ♣3, ♥8, ♥2, ♦J | pair
♠2, ♣3, ♥8, ♣4, ♣2 | pair
♠2, ♣3, ♥8, ♣2, ♦J | pair
♠2, ♣3, ♥2, ♣4, ♣2 | three of a kind
♠2, ♣3, ♥2, ♣4, ♦J | pair
♠2, ♣3, ♥2, ♣2, ♦J | three of a kind
♠2, ♣3, ♣4, ♣2, ♦J | pair
♠2, ♠5, ♥8, ♥2, ♣4 | pair
♠2, ♠5, ♥8, ♥2, ♣2 | three of a kind
♠2, ♠5, ♥8, ♥2, ♦J | pair
♠2, ♠5, ♥8, ♣4, ♣2 | pair
♠2, ♠5, ♥8, ♣2, ♦J | pair
♠2, ♠5, ♥2, ♣4, ♣2 | three of a kind
♠2, ♠5, ♥2, ♣4, ♦J | pair
♠2, ♠5, ♥2, ♣2, ♦J | three of a kind
♠2, ♠5, ♣4, ♣2, ♦J | pair
♠2, ♥8, ♥2, ♣4, ♣2 | three of a kind
♠2, ♥8, ♥2, ♣4, ♦J | pair
♠2, ♥8, ♥2, ♣2, ♦J | three of a kind
♠2, ♥8, ♣4, ♣2, ♦J | pair
♠2, ♥2, ♣4, ♣2, ♦J | three of a kind
♣3, ♠5, ♥8, ♥2, ♣2 | pair
♣3, ♠5, ♥2, ♣4, ♣2 | pair
♣3, ♠5, ♥2, ♣2, ♦J | pair
♣3, ♥8, ♥2, ♣4, ♣2 | pair
♣3, ♥8, ♥2, ♣2, ♦J | pair
♣3, ♥2, ♣4, ♣2, ♦J | pair
♠5, ♥8, ♥2, ♣4, ♣2 | pair
♠5, ♥8, ♥2, ♣2, ♦J | pair
♠5, ♥2, ♣4, ♣2, ♦J | pair
♥8, ♥2, ♣4, ♣2, ♦J | pair
