♦7, ♣Q, ♠J, ♣3, ♥3 | pair
♣3, ♥K, ♠K, ♦4, ♥4 | two pairs
♣3, ♥K, ♠K, ♦4, ♥8 | pair
♣3, ♥K, ♠K, ♥4, ♥8 | pair
♣3, ♥K, ♣A, ♦4, ♥4 | pair
♣3, ♥K, ♥J, ♦4, ♥4 | pair
♣3, ♥K, ♦4, ♥4, ♥8 | pair
♣3, ♥3, ♠10, ♠K, ♣A | pair
♣3, ♥3, ♠10, ♠K, ♥J | pair
♣3, ♥3, ♠10, ♠K, ♦4 | pair
♣3, ♥3, ♠10, ♠K, ♥4 | pair
♣3, ♥3, ♠10, ♠K, ♥8 | pair
♣3, ♥3, ♠10, ♣A, ♥J | pair
♣3, ♥3, ♠10, ♣A, ♦4 | pair
♣3, ♥3, ♠10, ♣A, ♥4 | pair
♣3, ♥3, ♠10, ♣A, ♥8 | pair
♣3, ♥3, ♠10, ♥J, ♦4 | pair
♣3, ♥3, ♠10, ♥J, ♥4 | pair
♣3, ♥3, ♠10, ♥J, ♥8 | pair
♣3, ♥3, ♠10, ♦4, ♥4 | two pairs
♣3, ♥3, ♠10, ♦4, ♥8 | pair
♣3, ♥3, ♠10, ♥4, ♥8 | pair
♣3, ♥3, ♠K, ♣A, ♥J | pair
♣3, ♥3, ♠K, ♣A, ♦4 | pair
♣3, ♥3, ♠K, ♣A, ♥4 | pair
♣3, ♥3, ♠K, ♣A, ♥8 | pair
♣3, ♥3, ♠K, ♥J, ♦4 | pair
♣3, ♥3, ♠K, ♥J, ♥4 | pair
♣3, ♥3, ♠K, ♥J, ♥8 | pair
♣3, ♥3, ♠K, ♦4, ♥4 | two pairs
♣3, ♥3, ♠K, ♦4, ♥8 | pair
♣3, ♥3, ♠K, ♥4, ♥8 | pair
♣3, ♥3, ♣A, ♥J, ♦4 | pair
♣3, ♥3, ♣A, ♥J, ♥4 | pair
♣3, ♥3, ♣A, ♥J, ♥8 | pair
♣3, ♥3, ♣A, ♦4, ♥4 | two pairs
♣3, ♥3, ♣A, ♦4, ♥8 | pair
♣3, ♥3, ♣A, ♥4, ♥8 | pair
♣3, ♥3, ♥J, ♦4, ♥4 | two pairs
♣3, ♥3, ♥J, ♦4, ♥8 | pair
♣3, ♥3, ♥J, ♥4, ♥8 | pair
♣3, ♥3, ♦4, ♥4, ♥8 | two pairs
♣3, ♠10, ♠K, ♦4, ♥4 | pair
♣3, ♠10, ♣A, ♦4, ♥4 | pair
♣3, ♠10, ♥J, ♦4, ♥4 | pair
♣3, ♠10, ♦4, ♥4, ♥8 | pair
♣3, ♠K, ♣A, ♦4, ♥4 | pair
♣3, ♠K, ♥J, ♦4, ♥4 | pair
♣3, ♠K, ♦4, ♥4, ♥8 | pair
♣3, ♣A, ♥J, ♦4, ♥4 | pair
♣3, ♣A, ♦4, ♥4, ♥8 | pair
♣3, ♥J, ♦4, ♥4, ♥8 | pair
♥K, ♥3, ♠10, ♠K, ♣A | pair
♥K, ♥3, ♠10, ♠K, ♥J | pair
♥K, ♥3, ♠10, ♠K, ♦4 | pair
♥K, ♥3, ♠10, ♠K, ♥4 | pair
♥K, ♥3, ♠10, ♠K, ♥8 | pair
♥K, ♥3, ♠10, ♦4, ♥4 | pair
♥K, ♥3, ♠K, ♣A, ♥J | pair
♥K, ♥3, ♠K, ♣A, ♦4 | pair
♥K, ♥3, ♠K, ♣A, ♥4 | pair
♥K, ♥3, ♠K, ♣A, ♥8 | pair
♥K, ♥3, ♠K, ♥J, ♦4 | pair
♥K, ♥3, ♠K, ♥J, ♥4 | pair
♥K, ♥3, ♠K, ♥J, ♥8 | pair
♥K, ♥3, ♠K, ♦4, ♥4 | two pairs
♥K, ♥3, ♠K, ♦4, ♥8 | pair
♥K, ♥3, ♠K, ♥4, ♥8 | pair
♥K, ♥3, ♣A, ♦4, ♥4 | pair
♥K, ♥3, ♥J, ♦4, ♥4 | pair
♥K, ♥3, ♥J, ♥4, ♥8 | flush
♥K, ♥3, ♦4, ♥4, ♥8 | pair
♥K, ♠10, ♠K, ♣A, ♥J | pair
♥K, ♠10, ♠K, ♣A, ♦4 | pair
♥K, ♠10, ♠K, ♣A, ♥4 | pair
♥K, ♠10, ♠K, ♣A, ♥8 | pair
♥K, ♠10, ♠K, ♥J, ♦4 | pair
♥K, ♠10, ♠K, ♥J, ♥4 | pair
♥K, ♠10, ♠K, ♥J, ♥8 | pair
♥K, ♠10, ♠K, ♦4, ♥4 | two pairs
♥K, ♠10, ♠K, ♦4, ♥8 | pair
♥K, ♠10, ♠K, ♥4, ♥8 | pair
♥K, ♠10, ♣A, ♦4, ♥4 | pair
♥K, ♠10, ♥J, ♦4, ♥4 | pair
♥K, ♠10, ♦4, ♥4, ♥8 | pair
♥K, ♠K, ♣A, ♥J, ♦4 | pair
♥K, ♠K, ♣A, ♥J, ♥4 | pair
♥K, ♠K, ♣A, ♥J, ♥8 | pair
♥K, ♠K, ♣A, ♦4, ♥4 | two pairs
♥K, ♠K, ♣A, ♦4, ♥8 | pair
♥K, ♠K, ♣A, ♥4, ♥8 | pair
♥K, ♠K, ♥J, ♦4, ♥4 | two pairs
♥K, ♠K, ♥J, ♦4, ♥8 | pair
♥K, ♠K, ♥J, ♥4, ♥8 | pair
♥K, ♠K, ♦4, ♥4, ♥8 | two pairs
♥K, ♣A, ♥J, ♦4, ♥4 | pair
♥K, ♣A, ♦4, ♥4, ♥8 | pair
♥K, ♥J, ♦4, ♥4, ♥8 | pair
♥3, ♠10, ♠K, ♦4, ♥4 | pair
♥3, ♠10, ♣A, ♦4, ♥4 | pair
♥3, ♠10, ♥J, ♦4, ♥4 | pair
♥3, ♠10, ♦4, ♥4, ♥8 | pair
♥3, ♠K, ♣A, ♦4, ♥4 | pair
♥3, ♠K, ♥J, ♦4, ♥4 | pair
♥3, ♠K, ♦4, ♥4, ♥8 | pair
♥3, ♣A, ♥J, ♦4, ♥4 | pair
♥3, ♣A, ♦4, ♥4, ♥8 | pair
♥3, ♥J, ♦4, ♥4, ♥8 | pair
♠10, ♠K, ♣A, ♦4, ♥4 | pair
♠10, ♠K, ♥J, ♦4, ♥4 | pair
♠10, ♠K, ♦4, ♥4, ♥8 | pair
♠10, ♣A, ♥J, ♦4, ♥4 | pair
♠10, ♣A, ♦4, ♥4, ♥8 | pair
♠10, ♥J, ♦4, ♥4, ♥8 | pair
♠K, ♣A, ♥J, ♦4, ♥4 | pair
♠K, ♣A, ♦4, ♥4, ♥8 | pair
♠K, ♥J, ♦4, ♥4, ♥8 | pair
♣A, ♥J, ♦4, ♥4, ♥8 | pair
