♠T,♣Q,♣8,♣T,♣7 | Pair
♣8,♣3,♥8,♥2,♣4 | Pair
♣8,♣3,♥8,♥2,♣2 | Two Pairs
♣8,♣3,♥8,♥2,♦J | Pair
♣8,♣3,♥8,♣4,♣2 | Pair
♣8,♣3,♥8,♣4,♦J | Pair
♣8,♣3,♥8,♣2,♦J | Pair
♣8,♣3,♥2,♣4,♣2 | Pair
♣8,♣3,♥2,♣2,♦J | Pair
♣8,♠5,♥8,♥2,♣4 | Pair
♣8,♠5,♥8,♥2,♣2 | Two Pairs
♣8,♠5,♥8,♥2,♦J | Pair
♣8,♠5,♥8,♣4,♣2 | Pair
♣8,♠5,♥8,♣4,♦J | Pair
♣8,♠5,♥8,♣2,♦J | Pair
♣8,♠5,♥2,♣4,♣2 | Pair
♣8,♠5,♥2,♣2,♦J | Pair
♣8,♥8,♥2,♣4,♣2 | Two Pairs
♣8,♥8,♥2,♣4,♦J | Pair
♣8,♥8,♥2,♣2,♦J | Two Pairs
♣8,♥8,♣4,♣2,♦J | Pair
♣8,♥2,♣4,♣2,♦J | Pair
♣T,♣7,♠2,♣3,♥2 | Pair
♣T,♣7,♠2,♣3,♣2 | Pair
♣T,♣7,♠2,♠5,♥2 | Pair
♣T,♣7,♠2,♠5,♣2 | Pair
♣T,♣7,♠2,♥8,♥2 | Pair
♣T,♣7,♠2,♥8,♣2 | Pair
♣T,♣7,♠2,♥2,♣4 | Pair
♣T,♣7,♠2,♥2,♣2 | Full House
♣T,♣7,♠2,♥2,♦J | Pair
♣T,♣7,♠2,♣4,♣2 | Pair
♣T,♣7,♠2,♣2,♦J | Pair
♣T,♣7,♣3,♥2,♣2 | Pair
♣T,♣7,♣3,♣4,♣2 | Flush
♣T,♣7,♠5,♥2,♣2 | Pair
♣T,♣7,♥8,♥2,♣2 | Pair
♣T,♣7,♥2,♣4,♣2 | Pair
♣T,♣7,♥2,♣2,♦J | Pair
♣T,♠2,♣3,♠5,♥2 | Pair
♣T,♠2,♣3,♠5,♣2 | Pair
♣T,♠2,♣3,♥8,♥2 | Pair
♣T,♠2,♣3,♥8,♣2 | Pair
♣T,♠2,♣3,♥2,♣4 | Pair
♣T,♠2,♣3,♥2,♣2 | Full House
♣T,♠2,♣3,♥2,♦J | Pair
♣T,♠2,♣3,♣4,♣2 | Pair
♣T,♠2,♣3,♣2,♦J | Pair
♣T,♠2,♠5,♥8,♥2 | Pair
♣T,♠2,♠5,♥8,♣2 | Pair
♣T,♠2,♠5,♥2,♣4 | Pair
♣T,♠2,♠5,♥2,♣2 | Full House
♣T,♠2,♠5,♥2,♦J | Pair
♣T,♠2,♠5,♣4,♣2 | Pair
♣T,♠2,♠5,♣2,♦J | Pair
♣T,♠2,♥8,♥2,♣4 | Pair
♣T,♠2,♥8,♥2,♣2 | Full House
♣T,♠2,♥8,♥2,♦J | Pair
♣T,♠2,♥8,♣4,♣2 | Pair
♣T,♠2,♥8,♣2,♦J | Pair
♣T,♠2,♥2,♣4,♣2 | Full House
♣T,♠2,♥2,♣4,♦J | Pair
♣T,♠2,♥2,♣2,♦J | Full House
♣T,♠2,♣4,♣2,♦J | Pair
♣T,♣3,♠5,♥2,♣2 | Pair
♣T,♣3,♥8,♥2,♣2 | Pair
♣T,♣3,♥2,♣4,♣2 | Pair
♣T,♣3,♥2,♣2,♦J | Pair
♣T,♠5,♥8,♥2,♣2 | Pair
♣T,♠5,♥2,♣4,♣2 | Pair
♣T,♠5,♥2,♣2,♦J | Pair
♣T,♥8,♥2,♣4,♣2 | Pair
♣T,♥8,♥2,♣2,♦J | Pair
♣T,♥2,♣4,♣2,♦J | Pair
♣7,♠2,♣3,♠5,♥2 | Pair
♣7,♠2,♣3,♠5,♣2 | Pair
♣7,♠2,♣3,♥8,♥2 | Pair
♣7,♠2,♣3,♥8,♣2 | Pair
♣7,♠2,♣3,♥2,♣4 | Pair
♣7,♠2,♣3,♥2,♣2 | Full House
♣7,♠2,♣3,♥2,♦J | Pair
♣7,♠2,♣3,♣4,♣2 | Pair
♣7,♠2,♣3,♣2,♦J | Pair
♣7,♠2,♠5,♥8,♥2 | Pair
♣7,♠2,♠5,♥8,♣2 | Pair
♣7,♠2,♠5,♥2,♣4 | Pair
♣7,♠2,♠5,♥2,♣2 | Full House
♣7,♠2,♠5,♥2,♦J | Pair
♣7,♠2,♠5,♣4,♣2 | Pair
♣7,♠2,♠5,♣2,♦J | Pair
♣7,♠2,♥8,♥2,♣4 | Pair
♣7,♠2,♥8,♥2,♣2 | Full House
♣7,♠2,♥8,♥2,♦J | Pair
♣7,♠2,♥8,♣4,♣2 | Pair
♣7,♠2,♥8,♣2,♦J | Pair
♣7,♠2,♥2,♣4,♣2 | Full House
♣7,♠2,♥2,♣4,♦J | Pair
♣7,♠2,♥2,♣2,♦J | Full House
♣7,♠2,♣4,♣2,♦J | Pair
♣7,♣3,♠5,♥2,♣2 | Pair
♣7,♣3,♥8,♥2,♣2 | Pair
♣7,♣3,♥2,♣4,♣2 | Pair
♣7,♣3,♥2,♣2,♦J | Pair
♣7,♠5,♥8,♥2,♣2 | Pair
♣7,♠5,♥2,♣4,♣2 | Pair
♣7,♠5,♥2,♣2,♦J | Pair
♣7,♥8,♥2,♣4,♣2 | Pair
♣7,♥8,♥2,♣2,♦J | Pair
♣7,♥2,♣4,♣2,♦J | Pair
♠2,♣3,♠5,♥8,♥2 | Pair
♠2,♣3,♠5,♥8,♣2 | Pair
♠2,♣3,♠5,♥2,♣4 | Pair
♠2,♣3,♠5,♥2,♣2 | Full House
♠2,♣3,♠5,♥2,♦J | Pair
♠2,♣3,♠5,♣4,♣2 | Pair
♠2,♣3,♠5,♣2,♦J | Pair
♠2,♣3,♥8,♥2,♣4 | Pair
♠2,♣3,♥8,♥2,♣2 | Full House
♠2,♣3,♥8,♥2,♦J | Pair
♠2,♣3,♥8,♣4,♣2 | Pair
♠2,♣3,♥8,♣2,♦J | Pair
♠2,♣3,♥2,♣4,♣2 | Full House
♠2,♣3,♥2,♣4,♦J | Pair
♠2,♣3,♥2,♣2,♦J | Full House
♠2,♣3,♣4,♣2,♦J | Pair
♠2,♠5,♥8,♥2,♣4 | Pair
♠2,♠5,♥8,♥2,♣2 | Full House
♠2,♠5,♥8,♥2,♦J | Pair
♠2,♠5,♥8,♣4,♣2 | Pair
♠2,♠5,♥8,♣2,♦J | Pair
♠2,♠5,♥2,♣4,♣2 | Full House
♠2,♠5,♥2,♣4,♦J | Pair
♠2,♠5,♥2,♣2,♦J | Full House
♠2,♠5,♣4,♣2,♦J | Pair
♠2,♥8,♥2,♣4,♣2 | Full House
♠2,♥8,♥2,♣4,♦J | Pair
♠2,♥8,♥2,♣2,♦J | Full House
♠2,♥8,♣4,♣2,♦J | Pair
♠2,♥2,♣4,♣2,♦J | Full House
♣3,♠5,♥8,♥2,♣2 | Pair
♣3,♠5,♥2,♣4,♣2 | Pair
♣3,♠5,♥2,♣2,♦J | Pair
♣3,♥8,♥2,♣4,♣2 | Pair
♣3,♥8,♥2,♣2,♦J | Pair
♣3,♥2,♣4,♣2,♦J | Pair
♠5,♥8,♥2,♣4,♣2 | Pair
♠5,♥8,♥2,♣2,♦J | Pair
♠5,♥2,♣4,♣2,♦J | Pair
♥8,♥2,♣4,♣2,♦J | Pair
