♥8, ♣4, ♥7, ♥K, ♠8 | pair
♣4, ♠8, ♦A, ♥4, ♠4 | three of a kind
♣4, ♠8, ♦A, ♥4, ♥9 | pair
♣4, ♠8, ♦A, ♠3, ♠4 | pair
♣4, ♠8, ♦A, ♠4, ♥9 | pair
♣4, ♠8, ♠9, ♥4, ♠3 | pair
♣4, ♠8, ♠9, ♥4, ♠4 | three of a kind
♣4, ♠8, ♠9, ♥4, ♥9 | two pairs
♣4, ♠8, ♠9, ♠3, ♠4 | pair
♣4, ♠8, ♠9, ♠3, ♥9 | pair
♣4, ♠8, ♠9, ♠4, ♥9 | two pairs
♣4, ♠8, ♥4, ♠3, ♠4 | three of a kind
♣4, ♠8, ♥4, ♠3, ♥9 | pair
♣4, ♠8, ♥4, ♠4, ♥9 | three of a kind
♣4, ♠8, ♠3, ♠4, ♥9 | pair
♣4, ♥10, ♣A, ♦A, ♠9 | pair
♣4, ♥10, ♣A, ♦A, ♥4 | two pairs
♣4, ♥10, ♣A, ♦A, ♠3 | pair
♣4, ♥10, ♣A, ♦A, ♠4 | two pairs
♣4, ♥10, ♣A, ♦A, ♥9 | pair
♣4, ♥10, ♣A, ♠9, ♥4 | pair
♣4, ♥10, ♣A, ♠9, ♠4 | pair
♣4, ♥10, ♣A, ♠9, ♥9 | pair
♣4, ♥10, ♣A, ♥4, ♠3 | pair
♣4, ♥10, ♣A, ♥4, ♠4 | three of a kind
♣4, ♥10, ♣A, ♥4, ♥9 | pair
♣4, ♥10, ♣A, ♠3, ♠4 | pair
♣4, ♥10, ♣A, ♠4, ♥9 | pair
♣4, ♥10, ♦A, ♠9, ♥4 | pair
♣4, ♥10, ♦A, ♠9, ♠4 | pair
♣4, ♥10, ♦A, ♠9, ♥9 | pair
♣4, ♥10, ♦A, ♥4, ♠3 | pair
♣4, ♥10, ♦A, ♥4, ♠4 | three of a kind
♣4, ♥10, ♦A, ♥4, ♥9 | pair
♣4, ♥10, ♦A, ♠3, ♠4 | pair
♣4, ♥10, ♦A, ♠4, ♥9 | pair
♣4, ♥10, ♠9, ♥4, ♠3 | pair
♣4, ♥10, ♠9, ♥4, ♠4 | three of a kind
♣4, ♥10, ♠9, ♥4, ♥9 | two pairs
♣4, ♥10, ♠9, ♠3, ♠4 | pair
♣4, ♥10, ♠9, ♠3, ♥9 | pair
♣4, ♥10, ♠9, ♠4, ♥9 | two pairs
♣4, ♥10, ♥4, ♠3, ♠4 | three of a kind
♣4, ♥10, ♥4, ♠3, ♥9 | pair
♣4, ♥10, ♥4, ♠4, ♥9 | three of a kind
♣4, ♥10, ♠3, ♠4, ♥9 | pair
♣4, ♣A, ♦A, ♠9, ♥4 | two pairs
♣4, ♣A, ♦A, ♠9, ♠3 | pair
♣4, ♣A, ♦A, ♠9, ♠4 | two pairs
♣4, ♣A, ♦A, ♠9, ♥9 | two pairs
♣4, ♣A, ♦A, ♥4, ♠3 | two pairs
♣4, ♣A, ♦A, ♥4, ♠4 | fullhouse
♣4, ♣A, ♦A, ♥4, ♥9 | two pairs
♣4, ♣A, ♦A, ♠3, ♠4 | two pairs
♣4, ♣A, ♦A, ♠3, ♥9 | pair
♣4, ♣A, ♦A, ♠4, ♥9 | two pairs
♣4, ♣A, ♠9, ♥4, ♠3 | pair
♣4, ♣A, ♠9, ♥4, ♠4 | three of a kind
♣4, ♣A, ♠9, ♥4, ♥9 | two pairs
♣4, ♣A, ♠9, ♠3, ♠4 | pair
♣4, ♣A, ♠9, ♠3, ♥9 | pair
♣4, ♣A, ♠9, ♠4, ♥9 | two pairs
♣4, ♣A, ♥4, ♠3, ♠4 | three of a kind
♣4, ♣A, ♥4, ♠3, ♥9 | pair
♣4, ♣A, ♥4, ♠4, ♥9 | three of a kind
♣4, ♣A, ♠3, ♠4, ♥9 | pair
♣4, ♦A, ♠9, ♥4, ♠3 | pair
♣4, ♦A, ♠9, ♥4, ♠4 | three of a kind
♣4, ♦A, ♠9, ♥4, ♥9 | two pairs
♣4, ♦A, ♠9, ♠3, ♠4 | pair
♣4, ♦A, ♠9, ♠3, ♥9 | pair
♣4, ♦A, ♠9, ♠4, ♥9 | two pairs
♣4, ♦A, ♥4, ♠3, ♠4 | three of a kind
♣4, ♦A, ♥4, ♠3, ♥9 | pair
♣4, ♦A, ♥4, ♠4, ♥9 | three of a kind
♣4, ♦A, ♠3, ♠4, ♥9 | pair
♣4, ♠9, ♥4, ♠3, ♠4 | three of a kind
♣4, ♠9, ♥4, ♠3, ♥9 | two pairs
♣4, ♠9, ♥4, ♠4, ♥9 | fullhouse
♣4, ♠9, ♠3, ♠4, ♥9 | two pairs
♣4, ♥4, ♠3, ♠4, ♥9 | three of a kind
♥7, ♥K, ♠8, ♣A, ♦A | pair
♥7, ♥K, ♠8, ♠9, ♥9 | pair
♥7, ♥K, ♠8, ♥4, ♠4 | pair
♥7, ♥K, ♥10, ♣A, ♦A | pair
♥7, ♥K, ♥10, ♠9, ♥9 | pair
♥7, ♥K, ♥10, ♥4, ♠4 | pair
♥7, ♥K, ♥10, ♥4, ♥9 | flush
♥7, ♥K, ♣A, ♦A, ♠9 | pair
♥7, ♥K, ♣A, ♦A, ♥4 | pair
♥7, ♥K, ♣A, ♦A, ♠3 | pair
♥7, ♥K, ♣A, ♦A, ♠4 | pair
♥7, ♥K, ♣A, ♦A, ♥9 | pair
♥7, ♥K, ♣A, ♠9, ♥9 | pair
♥7, ♥K, ♣A, ♥4, ♠4 | pair
♥7, ♥K, ♦A, ♠9, ♥9 | pair
♥7, ♥K, ♦A, ♥4, ♠4 | pair
♥7, ♥K, ♠9, ♥4, ♠4 | pair
♥7, ♥K, ♠9, ♥4, ♥9 | pair
♥7, ♥K, ♠9, ♠3, ♥9 | pair
♥7, ♥K, ♠9, ♠4, ♥9 | pair
♥7, ♥K, ♥4, ♠3, ♠4 | pair
♥7, ♥K, ♥4, ♠4, ♥9 | pair
♥7, ♠8, ♥10, ♣A, ♦A | pair
♥7, ♠8, ♥10, ♠9, ♥9 | pair
♥7, ♠8, ♥10, ♥4, ♠4 | pair
♥7, ♠8, ♣A, ♦A, ♠9 | pair
♥7, ♠8, ♣A, ♦A, ♥4 | pair
♥7, ♠8, ♣A, ♦A, ♠3 | pair
♥7, ♠8, ♣A, ♦A, ♠4 | pair
♥7, ♠8, ♣A, ♦A, ♥9 | pair
♥7, ♠8, ♣A, ♠9, ♥9 | pair
♥7, ♠8, ♣A, ♥4, ♠4 | pair
♥7, ♠8, ♦A, ♠9, ♥9 | pair
♥7, ♠8, ♦A, ♥4, ♠4 | pair
♥7, ♠8, ♠9, ♥4, ♠4 | pair
♥7, ♠8, ♠9, ♥4, ♥9 | pair
♥7, ♠8, ♠9, ♠3, ♥9 | pair
♥7, ♠8, ♠9, ♠4, ♥9 | pair
♥7, ♠8, ♥4, ♠3, ♠4 | pair
♥7, ♠8, ♥4, ♠4, ♥9 | pair
♥7, ♥10, ♣A, ♦A, ♠9 | pair
♥7, ♥10, ♣A, ♦A, ♥4 | pair
♥7, ♥10, ♣A, ♦A, ♠3 | pair
♥7, ♥10, ♣A, ♦A, ♠4 | pair
♥7, ♥10, ♣A, ♦A, ♥9 | pair
♥7, ♥10, ♣A, ♠9, ♥9 | pair
♥7, ♥10, ♣A, ♥4, ♠4 | pair
♥7, ♥10, ♦A, ♠9, ♥9 | pair
♥7, ♥10, ♦A, ♥4, ♠4 | pair
♥7, ♥10, ♠9, ♥4, ♠4 | pair
♥7, ♥10, ♠9, ♥4, ♥9 | pair
♥7, ♥10, ♠9, ♠3, ♥9 | pair
♥7, ♥10, ♠9, ♠4, ♥9 | pair
♥7, ♥10, ♥4, ♠3, ♠4 | pair
♥7, ♥10, ♥4, ♠4, ♥9 | pair
♥7, ♣A, ♦A, ♠9, ♥4 | pair
♥7, ♣A, ♦A, ♠9, ♠3 | pair
♥7, ♣A, ♦A, ♠9, ♠4 | pair
♥7, ♣A, ♦A, ♠9, ♥9 | two pairs
♥7, ♣A, ♦A, ♥4, ♠3 | pair
♥7, ♣A, ♦A, ♥4, ♠4 | two pairs
♥7, ♣A, ♦A, ♥4, ♥9 | pair
♥7, ♣A, ♦A, ♠3, ♠4 | pair
♥7, ♣A, ♦A, ♠3, ♥9 | pair
♥7, ♣A, ♦A, ♠4, ♥9 | pair
♥7, ♣A, ♠9, ♥4, ♠4 | pair
♥7, ♣A, ♠9, ♥4, ♥9 | pair
♥7, ♣A, ♠9, ♠3, ♥9 | pair
♥7, ♣A, ♠9, ♠4, ♥9 | pair
♥7, ♣A, ♥4, ♠3, ♠4 | pair
♥7, ♣A, ♥4, ♠4, ♥9 | pair
♥7, ♦A, ♠9, ♥4, ♠4 | pair
♥7, ♦A, ♠9, ♥4, ♥9 | pair
♥7, ♦A, ♠9, ♠3, ♥9 | pair
♥7, ♦A, ♠9, ♠4, ♥9 | pair
♥7, ♦A, ♥4, ♠3, ♠4 | pair
♥7, ♦A, ♥4, ♠4, ♥9 | pair
♥7, ♠9, ♥4, ♠3, ♠4 | pair
♥7, ♠9, ♥4, ♠3, ♥9 | pair
♥7, ♠9, ♥4, ♠4, ♥9 | two pairs
♥7, ♠9, ♠3, ♠4, ♥9 | pair
♥7, ♥4, ♠3, ♠4, ♥9 | pair
♥K, ♠8, ♥10, ♣A, ♦A | pair
♥K, ♠8, ♥10, ♠9, ♥9 | pair
♥K, ♠8, ♥10, ♥4, ♠4 | pair
♥K, ♠8, ♣A, ♦A, ♠9 | pair
♥K, ♠8, ♣A, ♦A, ♥4 | pair
♥K, ♠8, ♣A, ♦A, ♠3 | pair
♥K, ♠8, ♣A, ♦A, ♠4 | pair
♥K, ♠8, ♣A, ♦A, ♥9 | pair
♥K, ♠8, ♣A, ♠9, ♥9 | pair
♥K, ♠8, ♣A, ♥4, ♠4 | pair
♥K, ♠8, ♦A, ♠9, ♥9 | pair
♥K, ♠8, ♦A, ♥4, ♠4 | pair
♥K, ♠8, ♠9, ♥4, ♠4 | pair
♥K, ♠8, ♠9, ♥4, ♥9 | pair
♥K, ♠8, ♠9, ♠3, ♥9 | pair
♥K, ♠8, ♠9, ♠4, ♥9 | pair
♥K, ♠8, ♥4, ♠3, ♠4 | pair
♥K, ♠8, ♥4, ♠4, ♥9 | pair
♥K, ♥10, ♣A, ♦A, ♠9 | pair
♥K, ♥10, ♣A, ♦A, ♥4 | pair
♥K, ♥10, ♣A, ♦A, ♠3 | pair
♥K, ♥10, ♣A, ♦A, ♠4 | pair
♥K, ♥10, ♣A, ♦A, ♥9 | pair
♥K, ♥10, ♣A, ♠9, ♥9 | pair
♥K, ♥10, ♣A, ♥4, ♠4 | pair
♥K, ♥10, ♦A, ♠9, ♥9 | pair
♥K, ♥10, ♦A, ♥4, ♠4 | pair
♥K, ♥10, ♠9, ♥4, ♠4 | pair
♥K, ♥10, ♠9, ♥4, ♥9 | pair
♥K, ♥10, ♠9, ♠3, ♥9 | pair
♥K, ♥10, ♠9, ♠4, ♥9 | pair
♥K, ♥10, ♥4, ♠3, ♠4 | pair
♥K, ♥10, ♥4, ♠4, ♥9 | pair
♥K, ♣A, ♦A, ♠9, ♥4 | pair
♥K, ♣A, ♦A, ♠9, ♠3 | pair
♥K, ♣A, ♦A, ♠9, ♠4 | pair
♥K, ♣A, ♦A, ♠9, ♥9 | two pairs
♥K, ♣A, ♦A, ♥4, ♠3 | pair
♥K, ♣A, ♦A, ♥4, ♠4 | two pairs
♥K, ♣A, ♦A, ♥4, ♥9 | pair
♥K, ♣A, ♦A, ♠3, ♠4 | pair
♥K, ♣A, ♦A, ♠3, ♥9 | pair
♥K, ♣A, ♦A, ♠4, ♥9 | pair
♥K, ♣A, ♠9, ♥4, ♠4 | pair
♥K, ♣A, ♠9, ♥4, ♥9 | pair
♥K, ♣A, ♠9, ♠3, ♥9 | pair
♥K, ♣A, ♠9, ♠4, ♥9 | pair
♥K, ♣A, ♥4, ♠3, ♠4 | pair
♥K, ♣A, ♥4, ♠4, ♥9 | pair
♥K, ♦A, ♠9, ♥4, ♠4 | pair
♥K, ♦A, ♠9, ♥4, ♥9 | pair
♥K, ♦A, ♠9, ♠3, ♥9 | pair
♥K, ♦A, ♠9, ♠4, ♥9 | pair
♥K, ♦A, ♥4, ♠3, ♠4 | pair
♥K, ♦A, ♥4, ♠4, ♥9 | pair
♥K, ♠9, ♥4, ♠3, ♠4 | pair
♥K, ♠9, ♥4, ♠3, ♥9 | pair
♥K, ♠9, ♥4, ♠4, ♥9 | two pairs
♥K, ♠9, ♠3, ♠4, ♥9 | pair
♥K, ♥4, ♠3, ♠4, ♥9 | pair
♠8, ♥10, ♣A, ♦A, ♠9 | pair
♠8, ♥10, ♣A, ♦A, ♥4 | pair
♠8, ♥10, ♣A, ♦A, ♠3 | pair
♠8, ♥10, ♣A, ♦A, ♠4 | pair
♠8, ♥10, ♣A, ♦A, ♥9 | pair
♠8, ♥10, ♣A, ♠9, ♥9 | pair
♠8, ♥10, ♣A, ♥4, ♠4 | pair
♠8, ♥10, ♦A, ♠9, ♥9 | pair
♠8, ♥10, ♦A, ♥4, ♠4 | pair
♠8, ♥10, ♠9, ♥4, ♠4 | pair
♠8, ♥10, ♠9, ♥4, ♥9 | pair
♠8, ♥10, ♠9, ♠3, ♥9 | pair
♠8, ♥10, ♠9, ♠4, ♥9 | pair
♠8, ♥10, ♥4, ♠3, ♠4 | pair
♠8, ♥10, ♥4, ♠4, ♥9 | pair
♠8, ♣A, ♦A, ♠9, ♥4 | pair
♠8, ♣A, ♦A, ♠9, ♠3 | pair
♠8, ♣A, ♦A, ♠9, ♠4 | pair
♠8, ♣A, ♦A, ♠9, ♥9 | two pairs
♠8, ♣A, ♦A, ♥4, ♠3 | pair
♠8, ♣A, ♦A, ♥4, ♠4 | two pairs
♠8, ♣A, ♦A, ♥4, ♥9 | pair
♠8, ♣A, ♦A, ♠3, ♠4 | pair
♠8, ♣A, ♦A, ♠3, ♥9 | pair
♠8, ♣A, ♦A, ♠4, ♥9 | pair
♠8, ♣A, ♠9, ♥4, ♠4 | pair
♠8, ♣A, ♠9, ♥4, ♥9 | pair
♠8, ♣A, ♠9, ♠3, ♥9 | pair
♠8, ♣A, ♠9, ♠4, ♥9 | pair
♠8, ♣A, ♥4, ♠3, ♠4 | pair
♠8, ♣A, ♥4, ♠4, ♥9 | pair
♠8, ♦A, ♠9, ♥4, ♠4 | pair
♠8, ♦A, ♠9, ♥4, ♥9 | pair
♠8, ♦A, ♠9, ♠3, ♥9 | pair
♠8, ♦A, ♠9, ♠4, ♥9 | pair
♠8, ♦A, ♥4, ♠3, ♠4 | pair
♠8, ♦A, ♥4, ♠4, ♥9 | pair
♠8, ♠9, ♥4, ♠3, ♠4 | pair
♠8, ♠9, ♥4, ♠3, ♥9 | pair
♠8, ♠9, ♥4, ♠4, ♥9 | two pairs
♠8, ♠9, ♠3, ♠4, ♥9 | pair
♠8, ♥4, ♠3, ♠4, ♥9 | pair
♥10, ♣A, ♦A, ♠9, ♥4 | pair
♥10, ♣A, ♦A, ♠9, ♠3 | pair
♥10, ♣A, ♦A, ♠9, ♠4 | pair
♥10, ♣A, ♦A, ♠9, ♥9 | two pairs
♥10, ♣A, ♦A, ♥4, ♠3 | pair
♥10, ♣A, ♦A, ♥4, ♠4 | two pairs
♥10, ♣A, ♦A, ♥4, ♥9 | pair
♥10, ♣A, ♦A, ♠3, ♠4 | pair
♥10, ♣A, ♦A, ♠3, ♥9 | pair
♥10, ♣A, ♦A, ♠4, ♥9 | pair
♥10, ♣A, ♠9, ♥4, ♠4 | pair
♥10, ♣A, ♠9, ♥4, ♥9 | pair
♥10, ♣A, ♠9, ♠3, ♥9 | pair
♥10, ♣A, ♠9, ♠4, ♥9 | pair
♥10, ♣A, ♥4, ♠3, ♠4 | pair
♥10, ♣A, ♥4, ♠4, ♥9 | pair
♥10, ♦A, ♠9, ♥4, ♠4 | pair
♥10, ♦A, ♠9, ♥4, ♥9 | pair
♥10, ♦A, ♠9, ♠3, ♥9 | pair
♥10, ♦A, ♠9, ♠4, ♥9 | pair
♥10, ♦A, ♥4, ♠3, ♠4 | pair
♥10, ♦A, ♥4, ♠4, ♥9 | pair
♥10, ♠9, ♥4, ♠3, ♠4 | pair
♥10, ♠9, ♥4, ♠3, ♥9 | pair
♥10, ♠9, ♥4, ♠4, ♥9 | two pairs
♥10, ♠9, ♠3, ♠4, ♥9 | pair
♥10, ♥4, ♠3, ♠4, ♥9 | pair
♣A, ♦A, ♠9, ♥4, ♠3 | pair
♣A, ♦A, ♠9, ♥4, ♠4 | two pairs
♣A, ♦A, ♠9, ♥4, ♥9 | two pairs
♣A, ♦A, ♠9, ♠3, ♠4 | pair
♣A, ♦A, ♠9, ♠3, ♥9 | two pairs
♣A, ♦A, ♠9, ♠4, ♥9 | two pairs
♣A, ♦A, ♥4, ♠3, ♠4 | two pairs
♣A, ♦A, ♥4, ♠3, ♥9 | pair
♣A, ♦A, ♥4, ♠4, ♥9 | two pairs
♣A, ♦A, ♠3, ♠4, ♥9 | pair
♣A, ♠9, ♥4, ♠3, ♠4 | pair
♣A, ♠9, ♥4, ♠3, ♥9 | pair
♣A, ♠9, ♥4, ♠4, ♥9 | two pairs
♣A, ♠9, ♠3, ♠4, ♥9 | pair
♣A, ♥4, ♠3, ♠4, ♥9 | pair
♦A, ♠9, ♥4, ♠3, ♠4 | pair
♦A, ♠9, ♥4, ♠3, ♥9 | pair
♦A, ♠9, ♥4, ♠4, ♥9 | two pairs
♦A, ♠9, ♠3, ♠4, ♥9 | pair
♦A, ♥4, ♠3, ♠4, ♥9 | pair
♠9, ♥4, ♠3, ♠4, ♥9 | two pairs
