♠J,♥7,♣T,♣2,♣J | Pair
♥7,♣T,♠5,♠T,♦8 | Pair
♥7,♣T,♠5,♠T,♣4 | Pair
♥7,♣T,♥8,♠Q,♠T | Pair
♥7,♣T,♥8,♠Q,♦8 | Pair
♥7,♣T,♥8,♠3,♠T | Pair
♥7,♣T,♥8,♠3,♥3 | Pair
♥7,♣T,♥8,♠3,♦8 | Pair
♥7,♣T,♥8,♣J,♠T | Pair
♥7,♣T,♥8,♣J,♦8 | Pair
♥7,♣T,♥8,♠T,♥3 | Pair
♥7,♣T,♥8,♠T,♠6 | Pair
♥7,♣T,♥8,♠T,♦8 | Two Pairs
♥7,♣T,♥8,♠T,♣4 | Pair
♥7,♣T,♥8,♥3,♦8 | Pair
♥7,♣T,♥8,♠6,♦8 | Pair
♥7,♣T,♥8,♦8,♣4 | Pair
♥7,♣T,♠Q,♠3,♠T | Pair
♥7,♣T,♠Q,♠3,♥3 | Pair
♥7,♣T,♠Q,♣J,♠T | Pair
♥7,♣T,♠Q,♠T,♥3 | Pair
♥7,♣T,♠Q,♠T,♠6 | Pair
♥7,♣T,♠Q,♠T,♦8 | Pair
♥7,♣T,♠Q,♠T,♣4 | Pair
♥7,♣T,♠3,♣J,♠T | Pair
♥7,♣T,♠3,♣J,♥3 | Pair
♥7,♣T,♠3,♠T,♥3 | Two Pairs
♥7,♣T,♠3,♠T,♠6 | Pair
♥7,♣T,♠3,♠T,♦8 | Pair
♥7,♣T,♠3,♠T,♣4 | Pair
♥7,♣T,♠3,♥3,♠6 | Pair
♥7,♣T,♠3,♥3,♦8 | Pair
♥7,♣T,♠3,♥3,♣4 | Pair
♥7,♣T,♣J,♠T,♥3 | Pair
♥7,♣T,♣J,♠T,♠6 | Pair
♥7,♣T,♣J,♠T,♦8 | Pair
♥7,♣T,♣J,♠T,♣4 | Pair
♥7,♣T,♠T,♥3,♠6 | Pair
♥7,♣T,♠T,♥3,♦8 | Pair
♥7,♣T,♠T,♥3,♣4 | Pair
♥7,♣T,♠T,♠6,♦8 | Pair
♥7,♣T,♠T,♠6,♣4 | Pair
♥7,♣T,♠T,♦8,♣4 | Pair
♥7,♣2,♣Q,♠5,♠Q | Pair
♥7,♣2,♣Q,♥8,♠Q | Pair
♥7,♣2,♣Q,♥8,♦8 | Pair
♥7,♣2,♣Q,♠Q,♠3 | Pair
♥7,♣2,♣Q,♠Q,♣J | Pair
♥7,♣2,♣Q,♠Q,♠T | Pair
♥7,♣2,♣Q,♠Q,♥3 | Pair
♥7,♣2,♣Q,♠Q,♠6 | Pair
♥7,♣2,♣Q,♠Q,♦8 | Pair
♥7,♣2,♣Q,♠Q,♣4 | Pair
♥7,♣2,♣Q,♠3,♥3 | Pair
♥7,♣2,♠5,♥8,♦8 | Pair
♥7,♣2,♠5,♠3,♥3 | Pair
♥7,♣2,♥8,♠Q,♦8 | Pair
♥7,♣2,♥8,♠3,♥3 | Pair
♥7,♣2,♥8,♠3,♦8 | Pair
♥7,♣2,♥8,♣J,♦8 | Pair
♥7,♣2,♥8,♠T,♦8 | Pair
♥7,♣2,♥8,♥3,♦8 | Pair
♥7,♣2,♥8,♠6,♦8 | Pair
♥7,♣2,♥8,♦8,♣4 | Pair
♥7,♣2,♠Q,♠3,♥3 | Pair
♥7,♣2,♠3,♣J,♥3 | Pair
♥7,♣2,♠3,♠T,♥3 | Pair
♥7,♣2,♠3,♥3,♠6 | Pair
♥7,♣2,♠3,♥3,♦8 | Pair
♥7,♣2,♠3,♥3,♣4 | Pair
♥7,♣Q,♠5,♥8,♠Q | Pair
♥7,♣Q,♠5,♥8,♦8 | Pair
♥7,♣Q,♠5,♠Q,♠3 | Pair
♥7,♣Q,♠5,♠Q,♣J | Pair
♥7,♣Q,♠5,♠Q,♠T | Pair
♥7,♣Q,♠5,♠Q,♥3 | Pair
♥7,♣Q,♠5,♠Q,♠6 | Pair
♥7,♣Q,♠5,♠Q,♦8 | Pair
♥7,♣Q,♠5,♠Q,♣4 | Pair
♥7,♣Q,♠5,♠3,♥3 | Pair
♥7,♣Q,♥8,♠Q,♠3 | Pair
♥7,♣Q,♥8,♠Q,♣J | Pair
♥7,♣Q,♥8,♠Q,♠T | Pair
♥7,♣Q,♥8,♠Q,♥3 | Pair
♥7,♣Q,♥8,♠Q,♠6 | Pair
♥7,♣Q,♥8,♠Q,♦8 | Two Pairs
♥7,♣Q,♥8,♠Q,♣4 | Pair
♥7,♣Q,♥8,♠3,♥3 | Pair
♥7,♣Q,♥8,♠3,♦8 | Pair
♥7,♣Q,♥8,♣J,♦8 | Pair
♥7,♣Q,♥8,♠T,♦8 | Pair
♥7,♣Q,♥8,♥3,♦8 | Pair
♥7,♣Q,♥8,♠6,♦8 | Pair
♥7,♣Q,♥8,♦8,♣4 | Pair
♥7,♣Q,♠Q,♠3,♣J | Pair
♥7,♣Q,♠Q,♠3,♠T | Pair
♥7,♣Q,♠Q,♠3,♥3 | Two Pairs
♥7,♣Q,♠Q,♠3,♠6 | Pair
♥7,♣Q,♠Q,♠3,♦8 | Pair
♥7,♣Q,♠Q,♠3,♣4 | Pair
♥7,♣Q,♠Q,♣J,♠T | Pair
♥7,♣Q,♠Q,♣J,♥3 | Pair
♥7,♣Q,♠Q,♣J,♠6 | Pair
♥7,♣Q,♠Q,♣J,♦8 | Pair
♥7,♣Q,♠Q,♣J,♣4 | Pair
♥7,♣Q,♠Q,♠T,♥3 | Pair
♥7,♣Q,♠Q,♠T,♠6 | Pair
♥7,♣Q,♠Q,♠T,♦8 | Pair
♥7,♣Q,♠Q,♠T,♣4 | Pair
♥7,♣Q,♠Q,♥3,♠6 | Pair
♥7,♣Q,♠Q,♥3,♦8 | Pair
♥7,♣Q,♠Q,♥3,♣4 | Pair
♥7,♣Q,♠Q,♠6,♦8 | Pair
♥7,♣Q,♠Q,♠6,♣4 | Pair
♥7,♣Q,♠Q,♦8,♣4 | Pair
♥7,♣Q,♠3,♣J,♥3 | Pair
♥7,♣Q,♠3,♠T,♥3 | Pair
♥7,♣Q,♠3,♥3,♠6 | Pair
♥7,♣Q,♠3,♥3,♦8 | Pair
♥7,♣Q,♠3,♥3,♣4 | Pair
♥7,♠5,♥8,♠Q,♦8 | Pair
♥7,♠5,♥8,♠3,♥3 | Pair
♥7,♠5,♥8,♠3,♦8 | Pair
♥7,♠5,♥8,♣J,♦8 | Pair
♥7,♠5,♥8,♠T,♦8 | Pair
♥7,♠5,♥8,♥3,♦8 | Pair
♥7,♠5,♥8,♠6,♦8 | Pair
♥7,♠5,♥8,♦8,♣4 | Pair
♥7,♠5,♠Q,♠3,♥3 | Pair
♥7,♠5,♠3,♣J,♥3 | Pair
♥7,♠5,♠3,♠T,♥3 | Pair
♥7,♠5,♠3,♥3,♠6 | Pair
♥7,♠5,♠3,♥3,♦8 | Pair
♥7,♠5,♠3,♥3,♣4 | Pair
♥7,♥8,♠Q,♠3,♥3 | Pair
♥7,♥8,♠Q,♠3,♦8 | Pair
♥7,♥8,♠Q,♣J,♦8 | Pair
♥7,♥8,♠Q,♠T,♦8 | Pair
♥7,♥8,♠Q,♥3,♦8 | Pair
♥7,♥8,♠Q,♠6,♦8 | Pair
♥7,♥8,♠Q,♦8,♣4 | Pair
♥7,♥8,♠3,♣J,♥3 | Pair
♥7,♥8,♠3,♣J,♦8 | Pair
♥7,♥8,♠3,♠T,♥3 | Pair
♥7,♥8,♠3,♠T,♦8 | Pair
♥7,♥8,♠3,♥3,♠6 | Pair
♥7,♥8,♠3,♥3,♦8 | Two Pairs
♥7,♥8,♠3,♥3,♣4 | Pair
♥7,♥8,♠3,♠6,♦8 | Pair
♥7,♥8,♠3,♦8,♣4 | Pair
♥7,♥8,♣J,♠T,♦8 | Pair
♥7,♥8,♣J,♥3,♦8 | Pair
♥7,♥8,♣J,♠6,♦8 | Pair
♥7,♥8,♣J,♦8,♣4 | Pair
♥7,♥8,♠T,♥3,♦8 | Pair
♥7,♥8,♠T,♠6,♦8 | Pair
♥7,♥8,♠T,♦8,♣4 | Pair
♥7,♥8,♥3,♠6,♦8 | Pair
♥7,♥8,♥3,♦8,♣4 | Pair
♥7,♥8,♠6,♦8,♣4 | Pair
♥7,♠Q,♠3,♣J,♥3 | Pair
♥7,♠Q,♠3,♠T,♥3 | Pair
♥7,♠Q,♠3,♥3,♠6 | Pair
♥7,♠Q,♠3,♥3,♦8 | Pair
♥7,♠Q,♠3,♥3,♣4 | Pair
♥7,♠3,♣J,♠T,♥3 | Pair
♥7,♠3,♣J,♥3,♠6 | Pair
♥7,♠3,♣J,♥3,♦8 | Pair
♥7,♠3,♣J,♥3,♣4 | Pair
♥7,♠3,♠T,♥3,♠6 | Pair
♥7,♠3,♠T,♥3,♦8 | Pair
♥7,♠3,♠T,♥3,♣4 | Pair
♥7,♠3,♥3,♠6,♦8 | Pair
♥7,♠3,♥3,♠6,♣4 | Pair
♥7,♠3,♥3,♦8,♣4 | Pair
♣T,♣2,♣Q,♠5,♠Q | Pair
♣T,♣2,♣Q,♠5,♠T | Pair
♣T,♣2,♣Q,♥8,♠Q | Pair
♣T,♣2,♣Q,♥8,♠T | Pair
♣T,♣2,♣Q,♥8,♦8 | Pair
♣T,♣2,♣Q,♠Q,♠3 | Pair
♣T,♣2,♣Q,♠Q,♣J | Pair
♣T,♣2,♣Q,♠Q,♠T | Two Pairs
♣T,♣2,♣Q,♠Q,♥3 | Pair
♣T,♣2,♣Q,♠Q,♠6 | Pair
♣T,♣2,♣Q,♠Q,♦8 | Pair
♣T,♣2,♣Q,♠Q,♣4 | Pair
♣T,♣2,♣Q,♠3,♠T | Pair
♣T,♣2,♣Q,♠3,♥3 | Pair
♣T,♣2,♣Q,♣J,♠T | Pair
♣T,♣2,♣Q,♣J,♣4 | Flush
♣T,♣2,♣Q,♠T,♥3 | Pair
♣T,♣2,♣Q,♠T,♠6 | Pair
♣T,♣2,♣Q,♠T,♦8 | Pair
♣T,♣2,♣Q,♠T,♣4 | Pair
♣T,♣2,♠5,♥8,♠T | Pair
♣T,♣2,♠5,♥8,♦8 | Pair
♣T,♣2,♠5,♠Q,♠T | Pair
♣T,♣2,♠5,♠3,♠T | Pair
♣T,♣2,♠5,♠3,♥3 | Pair
♣T,♣2,♠5,♣J,♠T | Pair
♣T,♣2,♠5,♠T,♥3 | Pair
♣T,♣2,♠5,♠T,♠6 | Pair
♣T,♣2,♠5,♠T,♦8 | Pair
♣T,♣2,♠5,♠T,♣4 | Pair
♣T,♣2,♥8,♠Q,♠T | Pair
♣T,♣2,♥8,♠Q,♦8 | Pair
♣T,♣2,♥8,♠3,♠T | Pair
♣T,♣2,♥8,♠3,♥3 | Pair
♣T,♣2,♥8,♠3,♦8 | Pair
♣T,♣2,♥8,♣J,♠T | Pair
♣T,♣2,♥8,♣J,♦8 | Pair
♣T,♣2,♥8,♠T,♥3 | Pair
♣T,♣2,♥8,♠T,♠6 | Pair
♣T,♣2,♥8,♠T,♦8 | Two Pairs
♣T,♣2,♥8,♠T,♣4 | Pair
♣T,♣2,♥8,♥3,♦8 | Pair
♣T,♣2,♥8,♠6,♦8 | Pair
♣T,♣2,♥8,♦8,♣4 | Pair
♣T,♣2,♠Q,♠3,♠T | Pair
♣T,♣2,♠Q,♠3,♥3 | Pair
♣T,♣2,♠Q,♣J,♠T | Pair
♣T,♣2,♠Q,♠T,♥3 | Pair
♣T,♣2,♠Q,♠T,♠6 | Pair
♣T,♣2,♠Q,♠T,♦8 | Pair
♣T,♣2,♠Q,♠T,♣4 | Pair
♣T,♣2,♠3,♣J,♠T | Pair
♣T,♣2,♠3,♣J,♥3 | Pair
♣T,♣2,♠3,♠T,♥3 | Two Pairs
♣T,♣2,♠3,♠T,♠6 | Pair
♣T,♣2,♠3,♠T,♦8 | Pair
♣T,♣2,♠3,♠T,♣4 | Pair
♣T,♣2,♠3,♥3,♠6 | Pair
♣T,♣2,♠3,♥3,♦8 | Pair
♣T,♣2,♠3,♥3,♣4 | Pair
♣T,♣2,♣J,♠T,♥3 | Pair
♣T,♣2,♣J,♠T,♠6 | Pair
♣T,♣2,♣J,♠T,♦8 | Pair
♣T,♣2,♣J,♠T,♣4 | Pair
♣T,♣2,♠T,♥3,♠6 | Pair
♣T,♣2,♠T,♥3,♦8 | Pair
♣T,♣2,♠T,♥3,♣4 | Pair
♣T,♣2,♠T,♠6,♦8 | Pair
♣T,♣2,♠T,♠6,♣4 | Pair
♣T,♣2,♠T,♦8,♣4 | Pair
♣T,♣Q,♠5,♥8,♠Q | Pair
♣T,♣Q,♠5,♥8,♠T | Pair
♣T,♣Q,♠5,♥8,♦8 | Pair
♣T,♣Q,♠5,♠Q,♠3 | Pair
♣T,♣Q,♠5,♠Q,♣J | Pair
♣T,♣Q,♠5,♠Q,♠T | Two Pairs
♣T,♣Q,♠5,♠Q,♥3 | Pair
♣T,♣Q,♠5,♠Q,♠6 | Pair
♣T,♣Q,♠5,♠Q,♦8 | Pair
♣T,♣Q,♠5,♠Q,♣4 | Pair
♣T,♣Q,♠5,♠3,♠T | Pair
♣T,♣Q,♠5,♠3,♥3 | Pair
♣T,♣Q,♠5,♣J,♠T | Pair
♣T,♣Q,♠5,♠T,♥3 | Pair
♣T,♣Q,♠5,♠T,♠6 | Pair
♣T,♣Q,♠5,♠T,♦8 | Pair
♣T,♣Q,♠5,♠T,♣4 | Pair
♣T,♣Q,♥8,♠Q,♠3 | Pair
♣T,♣Q,♥8,♠Q,♣J | Pair
♣T,♣Q,♥8,♠Q,♠T | Two Pairs
♣T,♣Q,♥8,♠Q,♥3 | Pair
♣T,♣Q,♥8,♠Q,♠6 | Pair
♣T,♣Q,♥8,♠Q,♦8 | Two Pairs
♣T,♣Q,♥8,♠Q,♣4 | Pair
♣T,♣Q,♥8,♠3,♠T | Pair
♣T,♣Q,♥8,♠3,♥3 | Pair
♣T,♣Q,♥8,♠3,♦8 | Pair
♣T,♣Q,♥8,♣J,♠T | Pair
♣T,♣Q,♥8,♣J,♦8 | Pair
♣T,♣Q,♥8,♠T,♥3 | Pair
♣T,♣Q,♥8,♠T,♠6 | Pair
♣T,♣Q,♥8,♠T,♦8 | Two Pairs
♣T,♣Q,♥8,♠T,♣4 | Pair
♣T,♣Q,♥8,♥3,♦8 | Pair
♣T,♣Q,♥8,♠6,♦8 | Pair
♣T,♣Q,♥8,♦8,♣4 | Pair
♣T,♣Q,♠Q,♠3,♣J | Pair
♣T,♣Q,♠Q,♠3,♠T | Two Pairs
♣T,♣Q,♠Q,♠3,♥3 | Two Pairs
♣T,♣Q,♠Q,♠3,♠6 | Pair
♣T,♣Q,♠Q,♠3,♦8 | Pair
♣T,♣Q,♠Q,♠3,♣4 | Pair
♣T,♣Q,♠Q,♣J,♠T | Two Pairs
♣T,♣Q,♠Q,♣J,♥3 | Pair
♣T,♣Q,♠Q,♣J,♠6 | Pair
♣T,♣Q,♠Q,♣J,♦8 | Pair
♣T,♣Q,♠Q,♣J,♣4 | Pair
♣T,♣Q,♠Q,♠T,♥3 | Two Pairs
♣T,♣Q,♠Q,♠T,♠6 | Two Pairs
♣T,♣Q,♠Q,♠T,♦8 | Two Pairs
♣T,♣Q,♠Q,♠T,♣4 | Two Pairs
♣T,♣Q,♠Q,♥3,♠6 | Pair
♣T,♣Q,♠Q,♥3,♦8 | Pair
♣T,♣Q,♠Q,♥3,♣4 | Pair
♣T,♣Q,♠Q,♠6,♦8 | Pair
♣T,♣Q,♠Q,♠6,♣4 | Pair
♣T,♣Q,♠Q,♦8,♣4 | Pair
♣T,♣Q,♠3,♣J,♠T | Pair
♣T,♣Q,♠3,♣J,♥3 | Pair
♣T,♣Q,♠3,♠T,♥3 | Two Pairs
♣T,♣Q,♠3,♠T,♠6 | Pair
♣T,♣Q,♠3,♠T,♦8 | Pair
♣T,♣Q,♠3,♠T,♣4 | Pair
♣T,♣Q,♠3,♥3,♠6 | Pair
♣T,♣Q,♠3,♥3,♦8 | Pair
♣T,♣Q,♠3,♥3,♣4 | Pair
♣T,♣Q,♣J,♠T,♥3 | Pair
♣T,♣Q,♣J,♠T,♠6 | Pair
♣T,♣Q,♣J,♠T,♦8 | Pair
♣T,♣Q,♣J,♠T,♣4 | Pair
♣T,♣Q,♠T,♥3,♠6 | Pair
♣T,♣Q,♠T,♥3,♦8 | Pair
♣T,♣Q,♠T,♥3,♣4 | Pair
♣T,♣Q,♠T,♠6,♦8 | Pair
♣T,♣Q,♠T,♠6,♣4 | Pair
♣T,♣Q,♠T,♦8,♣4 | Pair
♣T,♠5,♥8,♠Q,♠T | Pair
♣T,♠5,♥8,♠Q,♦8 | Pair
♣T,♠5,♥8,♠3,♠T | Pair
♣T,♠5,♥8,♠3,♥3 | Pair
♣T,♠5,♥8,♠3,♦8 | Pair
♣T,♠5,♥8,♣J,♠T | Pair
♣T,♠5,♥8,♣J,♦8 | Pair
♣T,♠5,♥8,♠T,♥3 | Pair
♣T,♠5,♥8,♠T,♠6 | Pair
♣T,♠5,♥8,♠T,♦8 | Two Pairs
♣T,♠5,♥8,♠T,♣4 | Pair
♣T,♠5,♥8,♥3,♦8 | Pair
♣T,♠5,♥8,♠6,♦8 | Pair
♣T,♠5,♥8,♦8,♣4 | Pair
♣T,♠5,♠Q,♠3,♠T | Pair
♣T,♠5,♠Q,♠3,♥3 | Pair
♣T,♠5,♠Q,♣J,♠T | Pair
♣T,♠5,♠Q,♠T,♥3 | Pair
♣T,♠5,♠Q,♠T,♠6 | Pair
♣T,♠5,♠Q,♠T,♦8 | Pair
♣T,♠5,♠Q,♠T,♣4 | Pair
♣T,♠5,♠3,♣J,♠T | Pair
♣T,♠5,♠3,♣J,♥3 | Pair
♣T,♠5,♠3,♠T,♥3 | Two Pairs
♣T,♠5,♠3,♠T,♠6 | Pair
♣T,♠5,♠3,♠T,♦8 | Pair
♣T,♠5,♠3,♠T,♣4 | Pair
♣T,♠5,♠3,♥3,♠6 | Pair
♣T,♠5,♠3,♥3,♦8 | Pair
♣T,♠5,♠3,♥3,♣4 | Pair
♣T,♠5,♣J,♠T,♥3 | Pair
♣T,♠5,♣J,♠T,♠6 | Pair
♣T,♠5,♣J,♠T,♦8 | Pair
♣T,♠5,♣J,♠T,♣4 | Pair
♣T,♠5,♠T,♥3,♠6 | Pair
♣T,♠5,♠T,♥3,♦8 | Pair
♣T,♠5,♠T,♥3,♣4 | Pair
♣T,♠5,♠T,♠6,♦8 | Pair
♣T,♠5,♠T,♠6,♣4 | Pair
♣T,♠5,♠T,♦8,♣4 | Pair
♣T,♥8,♠Q,♠3,♠T | Pair
♣T,♥8,♠Q,♠3,♥3 | Pair
♣T,♥8,♠Q,♠3,♦8 | Pair
♣T,♥8,♠Q,♣J,♠T | Pair
♣T,♥8,♠Q,♣J,♦8 | Pair
♣T,♥8,♠Q,♠T,♥3 | Pair
♣T,♥8,♠Q,♠T,♠6 | Pair
♣T,♥8,♠Q,♠T,♦8 | Two Pairs
♣T,♥8,♠Q,♠T,♣4 | Pair
♣T,♥8,♠Q,♥3,♦8 | Pair
♣T,♥8,♠Q,♠6,♦8 | Pair
♣T,♥8,♠Q,♦8,♣4 | Pair
♣T,♥8,♠3,♣J,♠T | Pair
♣T,♥8,♠3,♣J,♥3 | Pair
♣T,♥8,♠3,♣J,♦8 | Pair
♣T,♥8,♠3,♠T,♥3 | Two Pairs
♣T,♥8,♠3,♠T,♠6 | Pair
♣T,♥8,♠3,♠T,♦8 | Two Pairs
♣T,♥8,♠3,♠T,♣4 | Pair
♣T,♥8,♠3,♥3,♠6 | Pair
♣T,♥8,♠3,♥3,♦8 | Two Pairs
♣T,♥8,♠3,♥3,♣4 | Pair
♣T,♥8,♠3,♠6,♦8 | Pair
♣T,♥8,♠3,♦8,♣4 | Pair
♣T,♥8,♣J,♠T,♥3 | Pair
♣T,♥8,♣J,♠T,♠6 | Pair
♣T,♥8,♣J,♠T,♦8 | Two Pairs
♣T,♥8,♣J,♠T,♣4 | Pair
♣T,♥8,♣J,♥3,♦8 | Pair
♣T,♥8,♣J,♠6,♦8 | Pair
♣T,♥8,♣J,♦8,♣4 | Pair
♣T,♥8,♠T,♥3,♠6 | Pair
♣T,♥8,♠T,♥3,♦8 | Two Pairs
♣T,♥8,♠T,♥3,♣4 | Pair
♣T,♥8,♠T,♠6,♦8 | Two Pairs
♣T,♥8,♠T,♠6,♣4 | Pair
♣T,♥8,♠T,♦8,♣4 | Two Pairs
♣T,♥8,♥3,♠6,♦8 | Pair
♣T,♥8,♥3,♦8,♣4 | Pair
♣T,♥8,♠6,♦8,♣4 | Pair
♣T,♠Q,♠3,♣J,♠T | Pair
♣T,♠Q,♠3,♣J,♥3 | Pair
♣T,♠Q,♠3,♠T,♥3 | Two Pairs
♣T,♠Q,♠3,♠T,♠6 | Pair
♣T,♠Q,♠3,♠T,♦8 | Pair
♣T,♠Q,♠3,♠T,♣4 | Pair
♣T,♠Q,♠3,♥3,♠6 | Pair
♣T,♠Q,♠3,♥3,♦8 | Pair
♣T,♠Q,♠3,♥3,♣4 | Pair
♣T,♠Q,♣J,♠T,♥3 | Pair
♣T,♠Q,♣J,♠T,♠6 | Pair
♣T,♠Q,♣J,♠T,♦8 | Pair
♣T,♠Q,♣J,♠T,♣4 | Pair
♣T,♠Q,♠T,♥3,♠6 | Pair
♣T,♠Q,♠T,♥3,♦8 | Pair
♣T,♠Q,♠T,♥3,♣4 | Pair
♣T,♠Q,♠T,♠6,♦8 | Pair
♣T,♠Q,♠T,♠6,♣4 | Pair
♣T,♠Q,♠T,♦8,♣4 | Pair
♣T,♠3,♣J,♠T,♥3 | Two Pairs
♣T,♠3,♣J,♠T,♠6 | Pair
♣T,♠3,♣J,♠T,♦8 | Pair
♣T,♠3,♣J,♠T,♣4 | Pair
♣T,♠3,♣J,♥3,♠6 | Pair
♣T,♠3,♣J,♥3,♦8 | Pair
♣T,♠3,♣J,♥3,♣4 | Pair
♣T,♠3,♠T,♥3,♠6 | Two Pairs
♣T,♠3,♠T,♥3,♦8 | Two Pairs
♣T,♠3,♠T,♥3,♣4 | Two Pairs
♣T,♠3,♠T,♠6,♦8 | Pair
♣T,♠3,♠T,♠6,♣4 | Pair
♣T,♠3,♠T,♦8,♣4 | Pair
♣T,♠3,♥3,♠6,♦8 | Pair
♣T,♠3,♥3,♠6,♣4 | Pair
♣T,♠3,♥3,♦8,♣4 | Pair
♣T,♣J,♠T,♥3,♠6 | Pair
♣T,♣J,♠T,♥3,♦8 | Pair
♣T,♣J,♠T,♥3,♣4 | Pair
♣T,♣J,♠T,♠6,♦8 | Pair
♣T,♣J,♠T,♠6,♣4 | Pair
♣T,♣J,♠T,♦8,♣4 | Pair
♣T,♠T,♥3,♠6,♦8 | Pair
♣T,♠T,♥3,♠6,♣4 | Pair
♣T,♠T,♥3,♦8,♣4 | Pair
♣T,♠T,♠6,♦8,♣4 | Pair
♣2,♣Q,♠5,♥8,♠Q | Pair
♣2,♣Q,♠5,♥8,♦8 | Pair
♣2,♣Q,♠5,♠Q,♠3 | Pair
♣2,♣Q,♠5,♠Q,♣J | Pair
♣2,♣Q,♠5,♠Q,♠T | Pair
♣2,♣Q,♠5,♠Q,♥3 | Pair
♣2,♣Q,♠5,♠Q,♠6 | Pair
♣2,♣Q,♠5,♠Q,♦8 | Pair
♣2,♣Q,♠5,♠Q,♣4 | Pair
♣2,♣Q,♠5,♠3,♥3 | Pair
♣2,♣Q,♥8,♠Q,♠3 | Pair
♣2,♣Q,♥8,♠Q,♣J | Pair
♣2,♣Q,♥8,♠Q,♠T | Pair
♣2,♣Q,♥8,♠Q,♥3 | Pair
♣2,♣Q,♥8,♠Q,♠6 | Pair
♣2,♣Q,♥8,♠Q,♦8 | Two Pairs
♣2,♣Q,♥8,♠Q,♣4 | Pair
♣2,♣Q,♥8,♠3,♥3 | Pair
♣2,♣Q,♥8,♠3,♦8 | Pair
♣2,♣Q,♥8,♣J,♦8 | Pair
♣2,♣Q,♥8,♠T,♦8 | Pair
♣2,♣Q,♥8,♥3,♦8 | Pair
♣2,♣Q,♥8,♠6,♦8 | Pair
♣2,♣Q,♥8,♦8,♣4 | Pair
♣2,♣Q,♠Q,♠3,♣J | Pair
♣2,♣Q,♠Q,♠3,♠T | Pair
♣2,♣Q,♠Q,♠3,♥3 | Two Pairs
♣2,♣Q,♠Q,♠3,♠6 | Pair
♣2,♣Q,♠Q,♠3,♦8 | Pair
♣2,♣Q,♠Q,♠3,♣4 | Pair
♣2,♣Q,♠Q,♣J,♠T | Pair
♣2,♣Q,♠Q,♣J,♥3 | Pair
♣2,♣Q,♠Q,♣J,♠6 | Pair
♣2,♣Q,♠Q,♣J,♦8 | Pair
♣2,♣Q,♠Q,♣J,♣4 | Pair
♣2,♣Q,♠Q,♠T,♥3 | Pair
♣2,♣Q,♠Q,♠T,♠6 | Pair
♣2,♣Q,♠Q,♠T,♦8 | Pair
♣2,♣Q,♠Q,♠T,♣4 | Pair
♣2,♣Q,♠Q,♥3,♠6 | Pair
♣2,♣Q,♠Q,♥3,♦8 | Pair
♣2,♣Q,♠Q,♥3,♣4 | Pair
♣2,♣Q,♠Q,♠6,♦8 | Pair
♣2,♣Q,♠Q,♠6,♣4 | Pair
♣2,♣Q,♠Q,♦8,♣4 | Pair
♣2,♣Q,♠3,♣J,♥3 | Pair
♣2,♣Q,♠3,♠T,♥3 | Pair
♣2,♣Q,♠3,♥3,♠6 | Pair
♣2,♣Q,♠3,♥3,♦8 | Pair
♣2,♣Q,♠3,♥3,♣4 | Pair
♣2,♠5,♥8,♠Q,♦8 | Pair
♣2,♠5,♥8,♠3,♥3 | Pair
♣2,♠5,♥8,♠3,♦8 | Pair
♣2,♠5,♥8,♣J,♦8 | Pair
♣2,♠5,♥8,♠T,♦8 | Pair
♣2,♠5,♥8,♥3,♦8 | Pair
♣2,♠5,♥8,♠6,♦8 | Pair
♣2,♠5,♥8,♦8,♣4 | Pair
♣2,♠5,♠Q,♠3,♥3 | Pair
♣2,♠5,♠3,♣J,♥3 | Pair
♣2,♠5,♠3,♠T,♥3 | Pair
♣2,♠5,♠3,♥3,♠6 | Pair
♣2,♠5,♠3,♥3,♦8 | Pair
♣2,♠5,♠3,♥3,♣4 | Pair
♣2,♥8,♠Q,♠3,♥3 | Pair
♣2,♥8,♠Q,♠3,♦8 | Pair
♣2,♥8,♠Q,♣J,♦8 | Pair
♣2,♥8,♠Q,♠T,♦8 | Pair
♣2,♥8,♠Q,♥3,♦8 | Pair
♣2,♥8,♠Q,♠6,♦8 | Pair
♣2,♥8,♠Q,♦8,♣4 | Pair
♣2,♥8,♠3,♣J,♥3 | Pair
♣2,♥8,♠3,♣J,♦8 | Pair
♣2,♥8,♠3,♠T,♥3 | Pair
♣2,♥8,♠3,♠T,♦8 | Pair
♣2,♥8,♠3,♥3,♠6 | Pair
♣2,♥8,♠3,♥3,♦8 | Two Pairs
♣2,♥8,♠3,♥3,♣4 | Pair
♣2,♥8,♠3,♠6,♦8 | Pair
♣2,♥8,♠3,♦8,♣4 | Pair
♣2,♥8,♣J,♠T,♦8 | Pair
♣2,♥8,♣J,♥3,♦8 | Pair
♣2,♥8,♣J,♠6,♦8 | Pair
♣2,♥8,♣J,♦8,♣4 | Pair
♣2,♥8,♠T,♥3,♦8 | Pair
♣2,♥8,♠T,♠6,♦8 | Pair
♣2,♥8,♠T,♦8,♣4 | Pair
♣2,♥8,♥3,♠6,♦8 | Pair
♣2,♥8,♥3,♦8,♣4 | Pair
♣2,♥8,♠6,♦8,♣4 | Pair
♣2,♠Q,♠3,♣J,♥3 | Pair
♣2,♠Q,♠3,♠T,♥3 | Pair
♣2,♠Q,♠3,♥3,♠6 | Pair
♣2,♠Q,♠3,♥3,♦8 | Pair
♣2,♠Q,♠3,♥3,♣4 | Pair
