♠4, ♠2, ♥A, ♠6, ♦6 | pair
♠6, ♦6, ♣5, ♣6, ♥8 | three of a kind
♠6, ♠9, ♣5, ♣6, ♥8 | pair
♥10, ♦9, ♥7, ♣3, ♠9 | pair
♥10, ♦9, ♥7, ♦6, ♠9 | pair
♥10, ♦9, ♥7, ♦6, ♣6 | pair
♥10, ♦9, ♥7, ♦6, ♥8 | straight
♥10, ♦9, ♥7, ♠9, ♣5 | pair
♥10, ♦9, ♥7, ♠9, ♣6 | pair
♥10, ♦9, ♥7, ♠9, ♥8 | pair
♥10, ♦9, ♥7, ♣6, ♥8 | straight
♥10, ♦9, ♣3, ♦6, ♠9 | pair
♥10, ♦9, ♣3, ♦6, ♣6 | pair
♥10, ♦9, ♣3, ♠9, ♣5 | pair
♥10, ♦9, ♣3, ♠9, ♣6 | pair
♥10, ♦9, ♣3, ♠9, ♥8 | pair
♥10, ♦9, ♦6, ♠9, ♣5 | pair
♥10, ♦9, ♦6, ♠9, ♣6 | two pairs
♥10, ♦9, ♦6, ♠9, ♥8 | pair
♥10, ♦9, ♦6, ♣5, ♣6 | pair
♥10, ♦9, ♦6, ♣6, ♥8 | pair
♥10, ♦9, ♠9, ♣5, ♣6 | pair
♥10, ♦9, ♠9, ♣5, ♥8 | pair
♥10, ♦9, ♠9, ♣6, ♥8 | pair
♥10, ♥7, ♣3, ♦6, ♣6 | pair
♥10, ♥7, ♦6, ♠9, ♣6 | pair
♥10, ♥7, ♦6, ♠9, ♥8 | straight
♥10, ♥7, ♦6, ♣5, ♣6 | pair
♥10, ♥7, ♦6, ♣6, ♥8 | pair
♥10, ♥7, ♠9, ♣6, ♥8 | straight
♥10, ♣3, ♦6, ♠9, ♣6 | pair
♥10, ♣3, ♦6, ♣5, ♣6 | pair
♥10, ♣3, ♦6, ♣6, ♥8 | pair
♥10, ♦6, ♠9, ♣5, ♣6 | pair
♥10, ♦6, ♠9, ♣6, ♥8 | pair
♥10, ♦6, ♣5, ♣6, ♥8 | pair
♦9, ♥7, ♣3, ♦6, ♠9 | pair
♦9, ♥7, ♣3, ♦6, ♣6 | pair
♦9, ♥7, ♣3, ♠9, ♣5 | pair
♦9, ♥7, ♣3, ♠9, ♣6 | pair
♦9, ♥7, ♣3, ♠9, ♥8 | pair
♦9, ♥7, ♦6, ♠9, ♣5 | pair
♦9, ♥7, ♦6, ♠9, ♣6 | two pairs
♦9, ♥7, ♦6, ♠9, ♥8 | pair
♦9, ♥7, ♦6, ♣5, ♣6 | pair
♦9, ♥7, ♦6, ♣5, ♥8 | straight
♦9, ♥7, ♦6, ♣6, ♥8 | pair
♦9, ♥7, ♠9, ♣5, ♣6 | pair
♦9, ♥7, ♠9, ♣5, ♥8 | pair
♦9, ♥7, ♠9, ♣6, ♥8 | pair
♦9, ♥7, ♣5, ♣6, ♥8 | straight
♦9, ♣3, ♦6, ♠9, ♣5 | pair
♦9, ♣3, ♦6, ♠9, ♣6 | two pairs
♦9, ♣3, ♦6, ♠9, ♥8 | pair
♦9, ♣3, ♦6, ♣5, ♣6 | pair
♦9, ♣3, ♦6, ♣6, ♥8 | pair
♦9, ♣3, ♠9, ♣5, ♣6 | pair
♦9, ♣3, ♠9, ♣5, ♥8 | pair
♦9, ♣3, ♠9, ♣6, ♥8 | pair
♦9, ♦6, ♠9, ♣5, ♣6 | two pairs
♦9, ♦6, ♠9, ♣5, ♥8 | pair
♦9, ♦6, ♠9, ♣6, ♥8 | two pairs
♦9, ♦6, ♣5, ♣6, ♥8 | pair
♦9, ♠9, ♣5, ♣6, ♥8 | pair
♥7, ♣3, ♦6, ♠9, ♣6 | pair
♥7, ♣3, ♦6, ♣5, ♣6 | pair
♥7, ♣3, ♦6, ♣6, ♥8 | pair
♥7, ♦6, ♠9, ♣5, ♣6 | pair
♥7, ♦6, ♠9, ♣5, ♥8 | straight
♥7, ♦6, ♠9, ♣6, ♥8 | pair
♥7, ♦6, ♣5, ♣6, ♥8 | pair
♥7, ♠9, ♣5, ♣6, ♥8 | straight
♣3, ♦6, ♠9, ♣5, ♣6 | pair
♣3, ♦6, ♠9, ♣6, ♥8 | pair
♣3, ♦6, ♣5, ♣6, ♥8 | pair
♦6, ♠9, ♣5, ♣6, ♥8 | pair
