♠5, ♥K, ♣5, ♥10, ♦2 | pair
♥K, ♣5, ♦6, ♣5, ♣5 | three of a kind
♥K, ♣5, ♦6, ♦6, ♣5 | two pairs
♥K, ♣5, ♦4, ♣5, ♦6 | pair
♥K, ♣5, ♦4, ♣5, ♣5 | three of a kind
♥K, ♣5, ♦4, ♦6, ♣5 | pair
♥K, ♣5, ♣5, ♦6, ♣5 | three of a kind
♥K, ♥10, ♦2, ♥2, ♣8 | pair
♥K, ♥10, ♦2, ♥2, ♣7 | pair
♥K, ♥10, ♦2, ♥2, ♦6 | pair
♥K, ♥10, ♦2, ♥2, ♦4 | pair
♥K, ♥10, ♦2, ♥2, ♣5 | pair
♥K, ♥10, ♦2, ♥2, ♦6 | pair
♥K, ♥10, ♦2, ♥2, ♣5 | pair
♥K, ♥10, ♦2, ♦6, ♦6 | pair
♥K, ♥10, ♦2, ♣5, ♣5 | pair
♥K, ♥10, ♥2, ♦6, ♦6 | pair
♥K, ♥10, ♥2, ♣5, ♣5 | pair
♥K, ♥10, ♣8, ♦6, ♦6 | pair
♥K, ♥10, ♣8, ♣5, ♣5 | pair
♥K, ♥10, ♣7, ♦6, ♦6 | pair
♥K, ♥10, ♣7, ♣5, ♣5 | pair
♥K, ♥10, ♦6, ♦4, ♦6 | pair
♥K, ♥10, ♦6, ♣5, ♦6 | pair
♥K, ♥10, ♦6, ♣5, ♣5 | pair
♥K, ♥10, ♦6, ♦6, ♣5 | pair
♥K, ♥10, ♦4, ♣5, ♣5 | pair
♥K, ♥10, ♣5, ♦6, ♣5 | pair
♥K, ♦2, ♥2, ♣8, ♣7 | pair
♥K, ♦2, ♥2, ♣8, ♦6 | pair
♥K, ♦2, ♥2, ♣8, ♦4 | pair
♥K, ♦2, ♥2, ♣8, ♣5 | pair
♥K, ♦2, ♥2, ♣8, ♦6 | pair
♥K, ♦2, ♥2, ♣8, ♣5 | pair
♥K, ♦2, ♥2, ♣7, ♦6 | pair
♥K, ♦2, ♥2, ♣7, ♦4 | pair
♥K, ♦2, ♥2, ♣7, ♣5 | pair
♥K, ♦2, ♥2, ♣7, ♦6 | pair
♥K, ♦2, ♥2, ♣7, ♣5 | pair
♥K, ♦2, ♥2, ♦6, ♦4 | pair
♥K, ♦2, ♥2, ♦6, ♣5 | pair
♥K, ♦2, ♥2, ♦6, ♦6 | two pairs
♥K, ♦2, ♥2, ♦6, ♣5 | pair
♥K, ♦2, ♥2, ♦4, ♣5 | pair
♥K, ♦2, ♥2, ♦4, ♦6 | pair
♥K, ♦2, ♥2, ♦4, ♣5 | pair
♥K, ♦2, ♥2, ♣5, ♦6 | pair
♥K, ♦2, ♥2, ♣5, ♣5 | two pairs
♥K, ♦2, ♥2, ♦6, ♣5 | pair
♥K, ♦2, ♣8, ♦6, ♦6 | pair
♥K, ♦2, ♣8, ♣5, ♣5 | pair
♥K, ♦2, ♣7, ♦6, ♦6 | pair
♥K, ♦2, ♣7, ♣5, ♣5 | pair
♥K, ♦2, ♦6, ♦4, ♦6 | pair
♥K, ♦2, ♦6, ♣5, ♦6 | pair
♥K, ♦2, ♦6, ♣5, ♣5 | pair
♥K, ♦2, ♦6, ♦6, ♣5 | pair
♥K, ♦2, ♦4, ♣5, ♣5 | pair
♥K, ♦2, ♣5, ♦6, ♣5 | pair
♥K, ♥2, ♣8, ♦6, ♦6 | pair
♥K, ♥2, ♣8, ♣5, ♣5 | pair
♥K, ♥2, ♣7, ♦6, ♦6 | pair
♥K, ♥2, ♣7, ♣5, ♣5 | pair
♥K, ♥2, ♦6, ♦4, ♦6 | pair
♥K, ♥2, ♦6, ♣5, ♦6 | pair
♥K, ♥2, ♦6, ♣5, ♣5 | pair
♥K, ♥2, ♦6, ♦6, ♣5 | pair
♥K, ♥2, ♦4, ♣5, ♣5 | pair
♥K, ♥2, ♣5, ♦6, ♣5 | pair
♥K, ♣8, ♣7, ♦6, ♦6 | pair
♥K, ♣8, ♣7, ♣5, ♣5 | pair
♥K, ♣8, ♦6, ♦4, ♦6 | pair
♥K, ♣8, ♦6, ♣5, ♦6 | pair
♥K, ♣8, ♦6, ♣5, ♣5 | pair
♥K, ♣8, ♦6, ♦6, ♣5 | pair
♥K, ♣8, ♦4, ♣5, ♣5 | pair
♥K, ♣8, ♣5, ♦6, ♣5 | pair
♥K, ♣7, ♦6, ♦4, ♦6 | pair
♥K, ♣7, ♦6, ♣5, ♦6 | pair
♥K, ♣7, ♦6, ♣5, ♣5 | pair
♥K, ♣7, ♦6, ♦6, ♣5 | pair
♥K, ♣7, ♦4, ♣5, ♣5 | pair
♥K, ♣7, ♣5, ♦6, ♣5 | pair
♥K, ♦6, ♦4, ♣5, ♦6 | pair
♥K, ♦6, ♦4, ♣5, ♣5 | pair
♥K, ♦6, ♦4, ♦6, ♣5 | pair
♥K, ♦6, ♣5, ♦6, ♣5 | two pairs
♥K, ♦4, ♣5, ♦6, ♣5 | pair
♣5, ♥10, ♦2, ♥2, ♣8 | pair
♣5, ♥10, ♦2, ♥2, ♣7 | pair
♣5, ♥10, ♦2, ♥2, ♦6 | pair
♣5, ♥10, ♦2, ♥2, ♦4 | pair
♣5, ♥10, ♦2, ♥2, ♣5 | two pairs
♣5, ♥10, ♦2, ♥2, ♦6 | pair
♣5, ♥10, ♦2, ♥2, ♣5 | two pairs
♣5, ♥10, ♦2, ♣8, ♣5 | pair
♣5, ♥10, ♦2, ♣8, ♣5 | pair
♣5, ♥10, ♦2, ♣7, ♣5 | pair
♣5, ♥10, ♦2, ♣7, ♣5 | pair
♣5, ♥10, ♦2, ♦6, ♣5 | pair
♣5, ♥10, ♦2, ♦6, ♦6 | pair
♣5, ♥10, ♦2, ♦6, ♣5 | pair
♣5, ♥10, ♦2, ♦4, ♣5 | pair
♣5, ♥10, ♦2, ♦4, ♣5 | pair
♣5, ♥10, ♦2, ♣5, ♦6 | pair
♣5, ♥10, ♦2, ♣5, ♣5 | three of a kind
♣5, ♥10, ♦2, ♦6, ♣5 | pair
♣5, ♥10, ♥2, ♣8, ♣5 | pair
♣5, ♥10, ♥2, ♣8, ♣5 | pair
♣5, ♥10, ♥2, ♣7, ♣5 | pair
♣5, ♥10, ♥2, ♣7, ♣5 | pair
♣5, ♥10, ♥2, ♦6, ♣5 | pair
♣5, ♥10, ♥2, ♦6, ♦6 | pair
♣5, ♥10, ♥2, ♦6, ♣5 | pair
♣5, ♥10, ♥2, ♦4, ♣5 | pair
♣5, ♥10, ♥2, ♦4, ♣5 | pair
♣5, ♥10, ♥2, ♣5, ♦6 | pair
♣5, ♥10, ♥2, ♣5, ♣5 | three of a kind
♣5, ♥10, ♥2, ♦6, ♣5 | pair
♣5, ♥10, ♣8, ♣7, ♣5 | pair
♣5, ♥10, ♣8, ♣7, ♣5 | pair
♣5, ♥10, ♣8, ♦6, ♣5 | pair
♣5, ♥10, ♣8, ♦6, ♦6 | pair
♣5, ♥10, ♣8, ♦6, ♣5 | pair
♣5, ♥10, ♣8, ♦4, ♣5 | pair
♣5, ♥10, ♣8, ♦4, ♣5 | pair
♣5, ♥10, ♣8, ♣5, ♦6 | pair
♣5, ♥10, ♣8, ♣5, ♣5 | three of a kind
♣5, ♥10, ♣8, ♦6, ♣5 | pair
♣5, ♥10, ♣7, ♦6, ♣5 | pair
♣5, ♥10, ♣7, ♦6, ♦6 | pair
♣5, ♥10, ♣7, ♦6, ♣5 | pair
♣5, ♥10, ♣7, ♦4, ♣5 | pair
♣5, ♥10, ♣7, ♦4, ♣5 | pair
♣5, ♥10, ♣7, ♣5, ♦6 | pair
♣5, ♥10, ♣7, ♣5, ♣5 | three of a kind
♣5, ♥10, ♣7, ♦6, ♣5 | pair
♣5, ♥10, ♦6, ♦4, ♣5 | pair
♣5, ♥10, ♦6, ♦4, ♦6 | pair
♣5, ♥10, ♦6, ♦4, ♣5 | pair
♣5, ♥10, ♦6, ♣5, ♦6 | two pairs
♣5, ♥10, ♦6, ♣5, ♣5 | three of a kind
♣5, ♥10, ♦6, ♦6, ♣5 | two pairs
♣5, ♥10, ♦4, ♣5, ♦6 | pair
♣5, ♥10, ♦4, ♣5, ♣5 | three of a kind
♣5, ♥10, ♦4, ♦6, ♣5 | pair
♣5, ♥10, ♣5, ♦6, ♣5 | three of a kind
♣5, ♦2, ♥2, ♣8, ♣7 | pair
♣5, ♦2, ♥2, ♣8, ♦6 | pair
♣5, ♦2, ♥2, ♣8, ♦4 | pair
♣5, ♦2, ♥2, ♣8, ♣5 | two pairs
♣5, ♦2, ♥2, ♣8, ♦6 | pair
♣5, ♦2, ♥2, ♣8, ♣5 | two pairs
♣5, ♦2, ♥2, ♣7, ♦6 | pair
♣5, ♦2, ♥2, ♣7, ♦4 | pair
♣5, ♦2, ♥2, ♣7, ♣5 | two pairs
♣5, ♦2, ♥2, ♣7, ♦6 | pair
♣5, ♦2, ♥2, ♣7, ♣5 | two pairs
♣5, ♦2, ♥2, ♦6, ♦4 | pair
♣5, ♦2, ♥2, ♦6, ♣5 | two pairs
♣5, ♦2, ♥2, ♦6, ♦6 | two pairs
♣5, ♦2, ♥2, ♦6, ♣5 | two pairs
♣5, ♦2, ♥2, ♦4, ♣5 | two pairs
♣5, ♦2, ♥2, ♦4, ♦6 | pair
♣5, ♦2, ♥2, ♦4, ♣5 | two pairs
♣5, ♦2, ♥2, ♣5, ♦6 | two pairs
♣5, ♦2, ♥2, ♣5, ♣5 | fullhouse
♣5, ♦2, ♥2, ♦6, ♣5 | two pairs
♣5, ♦2, ♣8, ♣7, ♣5 | pair
♣5, ♦2, ♣8, ♣7, ♣5 | pair
♣5, ♦2, ♣8, ♦6, ♣5 | pair
♣5, ♦2, ♣8, ♦6, ♦6 | pair
♣5, ♦2, ♣8, ♦6, ♣5 | pair
♣5, ♦2, ♣8, ♦4, ♣5 | pair
♣5, ♦2, ♣8, ♦4, ♣5 | pair
♣5, ♦2, ♣8, ♣5, ♦6 | pair
♣5, ♦2, ♣8, ♣5, ♣5 | three of a kind
♣5, ♦2, ♣8, ♦6, ♣5 | pair
♣5, ♦2, ♣7, ♦6, ♣5 | pair
♣5, ♦2, ♣7, ♦6, ♦6 | pair
♣5, ♦2, ♣7, ♦6, ♣5 | pair
♣5, ♦2, ♣7, ♦4, ♣5 | pair
♣5, ♦2, ♣7, ♦4, ♣5 | pair
♣5, ♦2, ♣7, ♣5, ♦6 | pair
♣5, ♦2, ♣7, ♣5, ♣5 | three of a kind
♣5, ♦2, ♣7, ♦6, ♣5 | pair
♣5, ♦2, ♦6, ♦4, ♣5 | pair
♣5, ♦2, ♦6, ♦4, ♦6 | pair
♣5, ♦2, ♦6, ♦4, ♣5 | pair
♣5, ♦2, ♦6, ♣5, ♦6 | two pairs
♣5, ♦2, ♦6, ♣5, ♣5 | three of a kind
♣5, ♦2, ♦6, ♦6, ♣5 | two pairs
♣5, ♦2, ♦4, ♣5, ♦6 | pair
♣5, ♦2, ♦4, ♣5, ♣5 | three of a kind
♣5, ♦2, ♦4, ♦6, ♣5 | pair
♣5, ♦2, ♣5, ♦6, ♣5 | three of a kind
♣5, ♥2, ♣8, ♣7, ♣5 | pair
♣5, ♥2, ♣8, ♣7, ♣5 | pair
♣5, ♥2, ♣8, ♦6, ♣5 | pair
♣5, ♥2, ♣8, ♦6, ♦6 | pair
♣5, ♥2, ♣8, ♦6, ♣5 | pair
♣5, ♥2, ♣8, ♦4, ♣5 | pair
♣5, ♥2, ♣8, ♦4, ♣5 | pair
♣5, ♥2, ♣8, ♣5, ♦6 | pair
♣5, ♥2, ♣8, ♣5, ♣5 | three of a kind
♣5, ♥2, ♣8, ♦6, ♣5 | pair
♣5, ♥2, ♣7, ♦6, ♣5 | pair
♣5, ♥2, ♣7, ♦6, ♦6 | pair
♣5, ♥2, ♣7, ♦6, ♣5 | pair
♣5, ♥2, ♣7, ♦4, ♣5 | pair
♣5, ♥2, ♣7, ♦4, ♣5 | pair
♣5, ♥2, ♣7, ♣5, ♦6 | pair
♣5, ♥2, ♣7, ♣5, ♣5 | three of a kind
♣5, ♥2, ♣7, ♦6, ♣5 | pair
♣5, ♥2, ♦6, ♦4, ♣5 | pair
♣5, ♥2, ♦6, ♦4, ♦6 | pair
♣5, ♥2, ♦6, ♦4, ♣5 | pair
♣5, ♥2, ♦6, ♣5, ♦6 | two pairs
♣5, ♥2, ♦6, ♣5, ♣5 | three of a kind
♣5, ♥2, ♦6, ♦6, ♣5 | two pairs
♣5, ♥2, ♦4, ♣5, ♦6 | pair
♣5, ♥2, ♦4, ♣5, ♣5 | three of a kind
♣5, ♥2, ♦4, ♦6, ♣5 | pair
♣5, ♥2, ♣5, ♦6, ♣5 | three of a kind
♣5, ♣8, ♣7, ♦6, ♦4 | straight
♣5, ♣8, ♣7, ♦6, ♣5 | pair
♣5, ♣8, ♣7, ♦6, ♦6 | pair
♣5, ♣8, ♣7, ♦6, ♣5 | pair
♣5, ♣8, ♣7, ♦4, ♣5 | pair
♣5, ♣8, ♣7, ♦4, ♦6 | straight
♣5, ♣8, ♣7, ♦4, ♣5 | pair
♣5, ♣8, ♣7, ♣5, ♦6 | pair
♣5, ♣8, ♣7, ♣5, ♣5 | flush
♣5, ♣8, ♣7, ♦6, ♣5 | pair
♣5, ♣8, ♦6, ♦4, ♣5 | pair
♣5, ♣8, ♦6, ♦4, ♦6 | pair
♣5, ♣8, ♦6, ♦4, ♣5 | pair
♣5, ♣8, ♦6, ♣5, ♦6 | two pairs
♣5, ♣8, ♦6, ♣5, ♣5 | three of a kind
♣5, ♣8, ♦6, ♦6, ♣5 | two pairs
♣5, ♣8, ♦4, ♣5, ♦6 | pair
♣5, ♣8, ♦4, ♣5, ♣5 | three of a kind
♣5, ♣8, ♦4, ♦6, ♣5 | pair
♣5, ♣8, ♣5, ♦6, ♣5 | three of a kind
♣5, ♣7, ♦6, ♦4, ♣5 | pair
♣5, ♣7, ♦6, ♦4, ♦6 | pair
♣5, ♣7, ♦6, ♦4, ♣5 | pair
♣5, ♣7, ♦6, ♣5, ♦6 | two pairs
♣5, ♣7, ♦6, ♣5, ♣5 | three of a kind
♣5, ♣7, ♦6, ♦6, ♣5 | two pairs
♣5, ♣7, ♦4, ♣5, ♦6 | pair
♣5, ♣7, ♦4, ♣5, ♣5 | three of a kind
♣5, ♣7, ♦4, ♦6, ♣5 | pair
♣5, ♣7, ♣5, ♦6, ♣5 | three of a kind
♣5, ♦6, ♦4, ♣5, ♦6 | two pairs
♣5, ♦6, ♦4, ♣5, ♣5 | three of a kind
♣5, ♦6, ♦4, ♦6, ♣5 | two pairs
♣5, ♦6, ♣5, ♦6, ♣5 | fullhouse
♣5, ♦4, ♣5, ♦6, ♣5 | three of a kind
♥10, ♦2, ♥2, ♣8, ♣7 | pair
♥10, ♦2, ♥2, ♣8, ♦6 | pair
♥10, ♦2, ♥2, ♣8, ♦4 | pair
♥10, ♦2, ♥2, ♣8, ♣5 | pair
♥10, ♦2, ♥2, ♣8, ♦6 | pair
♥10, ♦2, ♥2, ♣8, ♣5 | pair
♥10, ♦2, ♥2, ♣7, ♦6 | pair
♥10, ♦2, ♥2, ♣7, ♦4 | pair
♥10, ♦2, ♥2, ♣7, ♣5 | pair
♥10, ♦2, ♥2, ♣7, ♦6 | pair
♥10, ♦2, ♥2, ♣7, ♣5 | pair
♥10, ♦2, ♥2, ♦6, ♦4 | pair
♥10, ♦2, ♥2, ♦6, ♣5 | pair
♥10, ♦2, ♥2, ♦6, ♦6 | two pairs
♥10, ♦2, ♥2, ♦6, ♣5 | pair
♥10, ♦2, ♥2, ♦4, ♣5 | pair
♥10, ♦2, ♥2, ♦4, ♦6 | pair
♥10, ♦2, ♥2, ♦4, ♣5 | pair
♥10, ♦2, ♥2, ♣5, ♦6 | pair
♥10, ♦2, ♥2, ♣5, ♣5 | two pairs
♥10, ♦2, ♥2, ♦6, ♣5 | pair
♥10, ♦2, ♣8, ♦6, ♦6 | pair
♥10, ♦2, ♣8, ♣5, ♣5 | pair
♥10, ♦2, ♣7, ♦6, ♦6 | pair
♥10, ♦2, ♣7, ♣5, ♣5 | pair
♥10, ♦2, ♦6, ♦4, ♦6 | pair
♥10, ♦2, ♦6, ♣5, ♦6 | pair
♥10, ♦2, ♦6, ♣5, ♣5 | pair
♥10, ♦2, ♦6, ♦6, ♣5 | pair
♥10, ♦2, ♦4, ♣5, ♣5 | pair
♥10, ♦2, ♣5, ♦6, ♣5 | pair
♥10, ♥2, ♣8, ♦6, ♦6 | pair
♥10, ♥2, ♣8, ♣5, ♣5 | pair
♥10, ♥2, ♣7, ♦6, ♦6 | pair
♥10, ♥2, ♣7, ♣5, ♣5 | pair
♥10, ♥2, ♦6, ♦4, ♦6 | pair
♥10, ♥2, ♦6, ♣5, ♦6 | pair
♥10, ♥2, ♦6, ♣5, ♣5 | pair
♥10, ♥2, ♦6, ♦6, ♣5 | pair
♥10, ♥2, ♦4, ♣5, ♣5 | pair
♥10, ♥2, ♣5, ♦6, ♣5 | pair
♥10, ♣8, ♣7, ♦6, ♦6 | pair
♥10, ♣8, ♣7, ♣5, ♣5 | pair
♥10, ♣8, ♦6, ♦4, ♦6 | pair
♥10, ♣8, ♦6, ♣5, ♦6 | pair
♥10, ♣8, ♦6, ♣5, ♣5 | pair
♥10, ♣8, ♦6, ♦6, ♣5 | pair
♥10, ♣8, ♦4, ♣5, ♣5 | pair
♥10, ♣8, ♣5, ♦6, ♣5 | pair
♥10, ♣7, ♦6, ♦4, ♦6 | pair
♥10, ♣7, ♦6, ♣5, ♦6 | pair
♥10, ♣7, ♦6, ♣5, ♣5 | pair
♥10, ♣7, ♦6, ♦6, ♣5 | pair
♥10, ♣7, ♦4, ♣5, ♣5 | pair
♥10, ♣7, ♣5, ♦6, ♣5 | pair
♥10, ♦6, ♦4, ♣5, ♦6 | pair
♥10, ♦6, ♦4, ♣5, ♣5 | pair
♥10, ♦6, ♦4, ♦6, ♣5 | pair
♥10, ♦6, ♣5, ♦6, ♣5 | two pairs
♥10, ♦4, ♣5, ♦6, ♣5 | pair
♦2, ♥2, ♣8, ♣7, ♦6 | pair
♦2, ♥2, ♣8, ♣7, ♦4 | pair
♦2, ♥2, ♣8, ♣7, ♣5 | pair
♦2, ♥2, ♣8, ♣7, ♦6 | pair
♦2, ♥2, ♣8, ♣7, ♣5 | pair
♦2, ♥2, ♣8, ♦6, ♦4 | pair
♦2, ♥2, ♣8, ♦6, ♣5 | pair
♦2, ♥2, ♣8, ♦6, ♦6 | two pairs
♦2, ♥2, ♣8, ♦6, ♣5 | pair
♦2, ♥2, ♣8, ♦4, ♣5 | pair
♦2, ♥2, ♣8, ♦4, ♦6 | pair
♦2, ♥2, ♣8, ♦4, ♣5 | pair
♦2, ♥2, ♣8, ♣5, ♦6 | pair
♦2, ♥2, ♣8, ♣5, ♣5 | two pairs
♦2, ♥2, ♣8, ♦6, ♣5 | pair
♦2, ♥2, ♣7, ♦6, ♦4 | pair
♦2, ♥2, ♣7, ♦6, ♣5 | pair
♦2, ♥2, ♣7, ♦6, ♦6 | two pairs
♦2, ♥2, ♣7, ♦6, ♣5 | pair
♦2, ♥2, ♣7, ♦4, ♣5 | pair
♦2, ♥2, ♣7, ♦4, ♦6 | pair
♦2, ♥2, ♣7, ♦4, ♣5 | pair
♦2, ♥2, ♣7, ♣5, ♦6 | pair
♦2, ♥2, ♣7, ♣5, ♣5 | two pairs
♦2, ♥2, ♣7, ♦6, ♣5 | pair
♦2, ♥2, ♦6, ♦4, ♣5 | pair
♦2, ♥2, ♦6, ♦4, ♦6 | two pairs
♦2, ♥2, ♦6, ♦4, ♣5 | pair
♦2, ♥2, ♦6, ♣5, ♦6 | two pairs
♦2, ♥2, ♦6, ♣5, ♣5 | two pairs
♦2, ♥2, ♦6, ♦6, ♣5 | two pairs
♦2, ♥2, ♦4, ♣5, ♦6 | pair
♦2, ♥2, ♦4, ♣5, ♣5 | two pairs
♦2, ♥2, ♦4, ♦6, ♣5 | pair
♦2, ♥2, ♣5, ♦6, ♣5 | two pairs
♦2, ♣8, ♣7, ♦6, ♦6 | pair
♦2, ♣8, ♣7, ♣5, ♣5 | pair
♦2, ♣8, ♦6, ♦4, ♦6 | pair
♦2, ♣8, ♦6, ♣5, ♦6 | pair
♦2, ♣8, ♦6, ♣5, ♣5 | pair
♦2, ♣8, ♦6, ♦6, ♣5 | pair
♦2, ♣8, ♦4, ♣5, ♣5 | pair
♦2, ♣8, ♣5, ♦6, ♣5 | pair
♦2, ♣7, ♦6, ♦4, ♦6 | pair
♦2, ♣7, ♦6, ♣5, ♦6 | pair
♦2, ♣7, ♦6, ♣5, ♣5 | pair
♦2, ♣7, ♦6, ♦6, ♣5 | pair
♦2, ♣7, ♦4, ♣5, ♣5 | pair
♦2, ♣7, ♣5, ♦6, ♣5 | pair
♦2, ♦6, ♦4, ♣5, ♦6 | pair
♦2, ♦6, ♦4, ♣5, ♣5 | pair
♦2, ♦6, ♦4, ♦6, ♣5 | pair
♦2, ♦6, ♣5, ♦6, ♣5 | two pairs
♦2, ♦4, ♣5, ♦6, ♣5 | pair
♥2, ♣8, ♣7, ♦6, ♦6 | pair
♥2, ♣8, ♣7, ♣5, ♣5 | pair
♥2, ♣8, ♦6, ♦4, ♦6 | pair
♥2, ♣8, ♦6, ♣5, ♦6 | pair
♥2, ♣8, ♦6, ♣5, ♣5 | pair
♥2, ♣8, ♦6, ♦6, ♣5 | pair
♥2, ♣8, ♦4, ♣5, ♣5 | pair
♥2, ♣8, ♣5, ♦6, ♣5 | pair
♥2, ♣7, ♦6, ♦4, ♦6 | pair
♥2, ♣7, ♦6, ♣5, ♦6 | pair
♥2, ♣7, ♦6, ♣5, ♣5 | pair
♥2, ♣7, ♦6, ♦6, ♣5 | pair
♥2, ♣7, ♦4, ♣5, ♣5 | pair
♥2, ♣7, ♣5, ♦6, ♣5 | pair
♥2, ♦6, ♦4, ♣5, ♦6 | pair
♥2, ♦6, ♦4, ♣5, ♣5 | pair
♥2, ♦6, ♦4, ♦6, ♣5 | pair
♥2, ♦6, ♣5, ♦6, ♣5 | two pairs
♥2, ♦4, ♣5, ♦6, ♣5 | pair
♣8, ♣7, ♦6, ♦4, ♣5 | straight
♣8, ♣7, ♦6, ♦4, ♦6 | pair
♣8, ♣7, ♦6, ♦4, ♣5 | straight
♣8, ♣7, ♦6, ♣5, ♦6 | pair
♣8, ♣7, ♦6, ♣5, ♣5 | pair
♣8, ♣7, ♦6, ♦6, ♣5 | pair
♣8, ♣7, ♦4, ♣5, ♦6 | straight
♣8, ♣7, ♦4, ♣5, ♣5 | pair
♣8, ♣7, ♦4, ♦6, ♣5 | straight
♣8, ♣7, ♣5, ♦6, ♣5 | pair
♣8, ♦6, ♦4, ♣5, ♦6 | pair
♣8, ♦6, ♦4, ♣5, ♣5 | pair
♣8, ♦6, ♦4, ♦6, ♣5 | pair
♣8, ♦6, ♣5, ♦6, ♣5 | two pairs
♣8, ♦4, ♣5, ♦6, ♣5 | pair
♣7, ♦6, ♦4, ♣5, ♦6 | pair
♣7, ♦6, ♦4, ♣5, ♣5 | pair
♣7, ♦6, ♦4, ♦6, ♣5 | pair
♣7, ♦6, ♣5, ♦6, ♣5 | two pairs
♣7, ♦4, ♣5, ♦6, ♣5 | pair
♦6, ♦4, ♣5, ♦6, ♣5 | two pairs
