♠3, ♦7, ♥5, ♠J, ♣5 | pair
♠3, ♠10, ♠Q, ♦3, ♣Q | two pairs
♠3, ♠10, ♠Q, ♠J, ♥Q | pair
♠3, ♠10, ♠Q, ♠J, ♦10 | pair
♠3, ♠10, ♠Q, ♠J, ♣Q | pair
♠3, ♠10, ♠Q, ♥Q, ♦10 | two pairs
♠3, ♠10, ♠Q, ♥Q, ♣Q | three of a kind
♠3, ♠10, ♠Q, ♦10, ♣Q | two pairs
♠3, ♠10, ♣2, ♦A, ♣2 | pair
♠3, ♠10, ♣2, ♦A, ♦3 | pair
♠3, ♠10, ♣2, ♦A, ♦10 | pair
♠3, ♠10, ♣2, ♣5, ♣2 | pair
♠3, ♠10, ♣2, ♣5, ♦3 | pair
♠3, ♠10, ♣2, ♣5, ♦10 | pair
♠3, ♠10, ♣2, ♠8, ♣2 | pair
♠3, ♠10, ♣2, ♠8, ♦3 | pair
♠3, ♠10, ♣2, ♠8, ♦10 | pair
♠3, ♠10, ♣2, ♣2, ♦3 | two pairs
♠3, ♠10, ♣2, ♣2, ♠J | pair
♠3, ♠10, ♣2, ♣2, ♥Q | pair
♠3, ♠10, ♣2, ♣2, ♦10 | two pairs
♠3, ♠10, ♣2, ♣2, ♣Q | pair
♠3, ♠10, ♣2, ♦3, ♠J | pair
♠3, ♠10, ♣2, ♦3, ♥Q | pair
♠3, ♠10, ♣2, ♦3, ♦10 | two pairs
♠3, ♠10, ♣2, ♦3, ♣Q | pair
♠3, ♠10, ♣2, ♠J, ♦10 | pair
♠3, ♠10, ♣2, ♥Q, ♦10 | pair
♠3, ♠10, ♣2, ♥Q, ♣Q | pair
♠3, ♠10, ♣2, ♦10, ♣Q | pair
♠3, ♠10, ♦A, ♣5, ♦3 | pair
♠3, ♠10, ♦A, ♣5, ♦10 | pair
♠3, ♠10, ♦A, ♠8, ♦3 | pair
♠3, ♠10, ♦A, ♠8, ♦10 | pair
♠3, ♠10, ♦A, ♣2, ♦3 | pair
♠3, ♠10, ♦A, ♣2, ♦10 | pair
♠3, ♠10, ♦A, ♦3, ♠J | pair
♠3, ♠10, ♦A, ♦3, ♥Q | pair
♠3, ♠10, ♦A, ♦3, ♦10 | two pairs
♠3, ♠10, ♦A, ♦3, ♣Q | pair
♠3, ♠10, ♦A, ♠J, ♦10 | pair
♠3, ♠10, ♦A, ♥Q, ♦10 | pair
♠3, ♠10, ♦A, ♥Q, ♣Q | pair
♠3, ♠10, ♦A, ♦10, ♣Q | pair
♠3, ♠10, ♣5, ♠8, ♦3 | pair
♠3, ♠10, ♣5, ♠8, ♦10 | pair
♠3, ♠10, ♣5, ♣2, ♦3 | pair
♠3, ♠10, ♣5, ♣2, ♦10 | pair
♠3, ♠10, ♣5, ♦3, ♠J | pair
♠3, ♠10, ♣5, ♦3, ♥Q | pair
♠3, ♠10, ♣5, ♦3, ♦10 | two pairs
♠3, ♠10, ♣5, ♦3, ♣Q | pair
♠3, ♠10, ♣5, ♠J, ♦10 | pair
♠3, ♠10, ♣5, ♥Q, ♦10 | pair
♠3, ♠10, ♣5, ♥Q, ♣Q | pair
♠3, ♠10, ♣5, ♦10, ♣Q | pair
♠3, ♠10, ♠8, ♣2, ♦3 | pair
♠3, ♠10, ♠8, ♣2, ♦10 | pair
♠3, ♠10, ♠8, ♦3, ♠J | pair
♠3, ♠10, ♠8, ♦3, ♥Q | pair
♠3, ♠10, ♠8, ♦3, ♦10 | two pairs
♠3, ♠10, ♠8, ♦3, ♣Q | pair
♠3, ♠10, ♠8, ♠J, ♦10 | pair
♠3, ♠10, ♠8, ♥Q, ♦10 | pair
♠3, ♠10, ♠8, ♥Q, ♣Q | pair
♠3, ♠10, ♠8, ♦10, ♣Q | pair
♠3, ♠10, ♣2, ♦3, ♠J | pair
♠3, ♠10, ♣2, ♦3, ♥Q | pair
♠3, ♠10, ♣2, ♦3, ♦10 | two pairs
♠3, ♠10, ♣2, ♦3, ♣Q | pair
♠3, ♠10, ♣2, ♠J, ♦10 | pair
♠3, ♠10, ♣2, ♥Q, ♦10 | pair
♠3, ♠10, ♣2, ♥Q, ♣Q | pair
♠3, ♠10, ♣2, ♦10, ♣Q | pair
♠3, ♠10, ♦3, ♠J, ♥Q | pair
♠3, ♠10, ♦3, ♠J, ♦10 | two pairs
♠3, ♠10, ♦3, ♠J, ♣Q | pair
♠3, ♠10, ♦3, ♥Q, ♦10 | two pairs
♠3, ♠10, ♦3, ♥Q, ♣Q | two pairs
♠3, ♠10, ♦3, ♦10, ♣Q | two pairs
♠3, ♠10, ♠J, ♥Q, ♦10 | pair
♠3, ♠10, ♠J, ♥Q, ♣Q | pair
♠3, ♠10, ♠J, ♦10, ♣Q | pair
♠3, ♠10, ♥Q, ♦10, ♣Q | two pairs
♠3, ♠Q, ♣2, ♦A, ♣2 | pair
♠3, ♠Q, ♣2, ♦A, ♦3 | pair
♠3, ♠Q, ♣2, ♦A, ♥Q | pair
♠3, ♠Q, ♣2, ♦A, ♣Q | pair
♠3, ♠Q, ♣2, ♣5, ♣2 | pair
♠3, ♠Q, ♣2, ♣5, ♦3 | pair
♠3, ♠Q, ♣2, ♣5, ♥Q | pair
♠3, ♠Q, ♣2, ♣5, ♣Q | pair
♠3, ♠Q, ♣2, ♠8, ♣2 | pair
♠3, ♠Q, ♣2, ♠8, ♦3 | pair
♠3, ♠Q, ♣2, ♠8, ♥Q | pair
♠3, ♠Q, ♣2, ♠8, ♣Q | pair
♠3, ♠Q, ♣2, ♣2, ♦3 | two pairs
♠3, ♠Q, ♣2, ♣2, ♠J | pair
♠3, ♠Q, ♣2, ♣2, ♥Q | two pairs
♠3, ♠Q, ♣2, ♣2, ♦10 | pair
♠3, ♠Q, ♣2, ♣2, ♣Q | two pairs
♠3, ♠Q, ♣2, ♦3, ♠J | pair
♠3, ♠Q, ♣2, ♦3, ♥Q | two pairs
♠3, ♠Q, ♣2, ♦3, ♦10 | pair
♠3, ♠Q, ♣2, ♦3, ♣Q | two pairs
♠3, ♠Q, ♣2, ♠J, ♥Q | pair
♠3, ♠Q, ♣2, ♠J, ♣Q | pair
♠3, ♠Q, ♣2, ♥Q, ♦10 | pair
♠3, ♠Q, ♣2, ♥Q, ♣Q | three of a kind
♠3, ♠Q, ♣2, ♦10, ♣Q | pair
♠3, ♠Q, ♦A, ♣5, ♦3 | pair
♠3, ♠Q, ♦A, ♣5, ♥Q | pair
♠3, ♠Q, ♦A, ♣5, ♣Q | pair
♠3, ♠Q, ♦A, ♠8, ♦3 | pair
♠3, ♠Q, ♦A, ♠8, ♥Q | pair
♠3, ♠Q, ♦A, ♠8, ♣Q | pair
♠3, ♠Q, ♦A, ♣2, ♦3 | pair
♠3, ♠Q, ♦A, ♣2, ♥Q | pair
♠3, ♠Q, ♦A, ♣2, ♣Q | pair
♠3, ♠Q, ♦A, ♦3, ♠J | pair
♠3, ♠Q, ♦A, ♦3, ♥Q | two pairs
♠3, ♠Q, ♦A, ♦3, ♦10 | pair
♠3, ♠Q, ♦A, ♦3, ♣Q | two pairs
♠3, ♠Q, ♦A, ♠J, ♥Q | pair
♠3, ♠Q, ♦A, ♠J, ♣Q | pair
♠3, ♠Q, ♦A, ♥Q, ♦10 | pair
♠3, ♠Q, ♦A, ♥Q, ♣Q | three of a kind
♠3, ♠Q, ♦A, ♦10, ♣Q | pair
♠3, ♠Q, ♣5, ♠8, ♦3 | pair
♠3, ♠Q, ♣5, ♠8, ♥Q | pair
♠3, ♠Q, ♣5, ♠8, ♣Q | pair
♠3, ♠Q, ♣5, ♣2, ♦3 | pair
♠3, ♠Q, ♣5, ♣2, ♥Q | pair
♠3, ♠Q, ♣5, ♣2, ♣Q | pair
♠3, ♠Q, ♣5, ♦3, ♠J | pair
♠3, ♠Q, ♣5, ♦3, ♥Q | two pairs
♠3, ♠Q, ♣5, ♦3, ♦10 | pair
♠3, ♠Q, ♣5, ♦3, ♣Q | two pairs
♠3, ♠Q, ♣5, ♠J, ♥Q | pair
♠3, ♠Q, ♣5, ♠J, ♣Q | pair
♠3, ♠Q, ♣5, ♥Q, ♦10 | pair
♠3, ♠Q, ♣5, ♥Q, ♣Q | three of a kind
♠3, ♠Q, ♣5, ♦10, ♣Q | pair
♠3, ♠Q, ♠8, ♣2, ♦3 | pair
♠3, ♠Q, ♠8, ♣2, ♥Q | pair
♠3, ♠Q, ♠8, ♣2, ♣Q | pair
♠3, ♠Q, ♠8, ♦3, ♠J | pair
♠3, ♠Q, ♠8, ♦3, ♥Q | two pairs
♠3, ♠Q, ♠8, ♦3, ♦10 | pair
♠3, ♠Q, ♠8, ♦3, ♣Q | two pairs
♠3, ♠Q, ♠8, ♠J, ♥Q | pair
♠3, ♠Q, ♠8, ♠J, ♣Q | pair
♠3, ♠Q, ♠8, ♥Q, ♦10 | pair
♠3, ♠Q, ♠8, ♥Q, ♣Q | three of a kind
♠3, ♠Q, ♠8, ♦10, ♣Q | pair
♠3, ♠Q, ♣2, ♦3, ♠J | pair
♠3, ♠Q, ♣2, ♦3, ♥Q | two pairs
♠3, ♠Q, ♣2, ♦3, ♦10 | pair
♠3, ♠Q, ♣2, ♦3, ♣Q | two pairs
♠3, ♠Q, ♣2, ♠J, ♥Q | pair
♠3, ♠Q, ♣2, ♠J, ♣Q | pair
♠3, ♠Q, ♣2, ♥Q, ♦10 | pair
♠3, ♠Q, ♣2, ♥Q, ♣Q | three of a kind
♠3, ♠Q, ♣2, ♦10, ♣Q | pair
♠3, ♠Q, ♦3, ♠J, ♥Q | two pairs
♠3, ♠Q, ♦3, ♠J, ♦10 | pair
♠3, ♠Q, ♦3, ♠J, ♣Q | two pairs
♠3, ♠Q, ♦3, ♥Q, ♦10 | two pairs
♠3, ♠Q, ♦3, ♥Q, ♣Q | fullhouse
♠3, ♠Q, ♦3, ♦10, ♣Q | two pairs
♠3, ♠Q, ♠J, ♥Q, ♦10 | pair
♠3, ♠Q, ♠J, ♥Q, ♣Q | three of a kind
♠3, ♠Q, ♠J, ♦10, ♣Q | pair
♠3, ♠Q, ♥Q, ♦10, ♣Q | three of a kind
♠3, ♣2, ♦A, ♣5, ♣2 | pair
♠3, ♣2, ♦A, ♣5, ♦3 | pair
♠3, ♣2, ♦A, ♠8, ♣2 | pair
♠3, ♣2, ♦A, ♠8, ♦3 | pair
♠3, ♣2, ♦A, ♣2, ♦3 | two pairs
♠3, ♣2, ♦A, ♣2, ♠J | pair
♠3, ♣2, ♦A, ♣2, ♥Q | pair
♠3, ♣2, ♦A, ♣2, ♦10 | pair
♠3, ♣2, ♦A, ♣2, ♣Q | pair
♠3, ♣2, ♦A, ♦3, ♠J | pair
♠3, ♣2, ♦A, ♦3, ♥Q | pair
♠3, ♣2, ♦A, ♦3, ♦10 | pair
♠3, ♣2, ♦A, ♦3, ♣Q | pair
♠3, ♣2, ♦A, ♥Q, ♣Q | pair
♠3, ♣2, ♣5, ♠8, ♣2 | pair
♠3, ♣2, ♣5, ♠8, ♦3 | pair
♠3, ♣2, ♣5, ♣2, ♦3 | two pairs
♠3, ♣2, ♣5, ♣2, ♠J | pair
♠3, ♣2, ♣5, ♣2, ♥Q | pair
♠3, ♣2, ♣5, ♣2, ♦10 | pair
♠3, ♣2, ♣5, ♣2, ♣Q | pair
♠3, ♣2, ♣5, ♦3, ♠J | pair
♠3, ♣2, ♣5, ♦3, ♥Q | pair
♠3, ♣2, ♣5, ♦3, ♦10 | pair
♠3, ♣2, ♣5, ♦3, ♣Q | pair
♠3, ♣2, ♣5, ♥Q, ♣Q | pair
♠3, ♣2, ♠8, ♣2, ♦3 | two pairs
♠3, ♣2, ♠8, ♣2, ♠J | pair
♠3, ♣2, ♠8, ♣2, ♥Q | pair
♠3, ♣2, ♠8, ♣2, ♦10 | pair
♠3, ♣2, ♠8, ♣2, ♣Q | pair
♠3, ♣2, ♠8, ♦3, ♠J | pair
♠3, ♣2, ♠8, ♦3, ♥Q | pair
♠3, ♣2, ♠8, ♦3, ♦10 | pair
♠3, ♣2, ♠8, ♦3, ♣Q | pair
♠3, ♣2, ♠8, ♥Q, ♣Q | pair
♠3, ♣2, ♣2, ♦3, ♠J | two pairs
♠3, ♣2, ♣2, ♦3, ♥Q | two pairs
♠3, ♣2, ♣2, ♦3, ♦10 | two pairs
♠3, ♣2, ♣2, ♦3, ♣Q | two pairs
♠3, ♣2, ♣2, ♠J, ♥Q | pair
♠3, ♣2, ♣2, ♠J, ♦10 | pair
♠3, ♣2, ♣2, ♠J, ♣Q | pair
♠3, ♣2, ♣2, ♥Q, ♦10 | pair
♠3, ♣2, ♣2, ♥Q, ♣Q | two pairs
♠3, ♣2, ♣2, ♦10, ♣Q | pair
♠3, ♣2, ♦3, ♠J, ♥Q | pair
♠3, ♣2, ♦3, ♠J, ♦10 | pair
♠3, ♣2, ♦3, ♠J, ♣Q | pair
♠3, ♣2, ♦3, ♥Q, ♦10 | pair
♠3, ♣2, ♦3, ♥Q, ♣Q | two pairs
♠3, ♣2, ♦3, ♦10, ♣Q | pair
♠3, ♣2, ♠J, ♥Q, ♣Q | pair
♠3, ♣2, ♥Q, ♦10, ♣Q | pair
♠3, ♦A, ♣5, ♠8, ♦3 | pair
♠3, ♦A, ♣5, ♣2, ♦3 | pair
♠3, ♦A, ♣5, ♦3, ♠J | pair
♠3, ♦A, ♣5, ♦3, ♥Q | pair
♠3, ♦A, ♣5, ♦3, ♦10 | pair
♠3, ♦A, ♣5, ♦3, ♣Q | pair
♠3, ♦A, ♣5, ♥Q, ♣Q | pair
♠3, ♦A, ♠8, ♣2, ♦3 | pair
♠3, ♦A, ♠8, ♦3, ♠J | pair
♠3, ♦A, ♠8, ♦3, ♥Q | pair
♠3, ♦A, ♠8, ♦3, ♦10 | pair
♠3, ♦A, ♠8, ♦3, ♣Q | pair
♠3, ♦A, ♠8, ♥Q, ♣Q | pair
♠3, ♦A, ♣2, ♦3, ♠J | pair
♠3, ♦A, ♣2, ♦3, ♥Q | pair
♠3, ♦A, ♣2, ♦3, ♦10 | pair
♠3, ♦A, ♣2, ♦3, ♣Q | pair
♠3, ♦A, ♣2, ♥Q, ♣Q | pair
♠3, ♦A, ♦3, ♠J, ♥Q | pair
♠3, ♦A, ♦3, ♠J, ♦10 | pair
♠3, ♦A, ♦3, ♠J, ♣Q | pair
♠3, ♦A, ♦3, ♥Q, ♦10 | pair
♠3, ♦A, ♦3, ♥Q, ♣Q | two pairs
♠3, ♦A, ♦3, ♦10, ♣Q | pair
♠3, ♦A, ♠J, ♥Q, ♣Q | pair
♠3, ♦A, ♥Q, ♦10, ♣Q | pair
♠3, ♣5, ♠8, ♣2, ♦3 | pair
♠3, ♣5, ♠8, ♦3, ♠J | pair
♠3, ♣5, ♠8, ♦3, ♥Q | pair
♠3, ♣5, ♠8, ♦3, ♦10 | pair
♠3, ♣5, ♠8, ♦3, ♣Q | pair
♠3, ♣5, ♠8, ♥Q, ♣Q | pair
♠3, ♣5, ♣2, ♦3, ♠J | pair
♠3, ♣5, ♣2, ♦3, ♥Q | pair
♠3, ♣5, ♣2, ♦3, ♦10 | pair
♠3, ♣5, ♣2, ♦3, ♣Q | pair
♠3, ♣5, ♣2, ♥Q, ♣Q | pair
♠3, ♣5, ♦3, ♠J, ♥Q | pair
♠3, ♣5, ♦3, ♠J, ♦10 | pair
♠3, ♣5, ♦3, ♠J, ♣Q | pair
♠3, ♣5, ♦3, ♥Q, ♦10 | pair
♠3, ♣5, ♦3, ♥Q, ♣Q | two pairs
♠3, ♣5, ♦3, ♦10, ♣Q | pair
♠3, ♣5, ♠J, ♥Q, ♣Q | pair
♠3, ♣5, ♥Q, ♦10, ♣Q | pair
♠3, ♠8, ♣2, ♦3, ♠J | pair
♠3, ♠8, ♣2, ♦3, ♥Q | pair
♠3, ♠8, ♣2, ♦3, ♦10 | pair
♠3, ♠8, ♣2, ♦3, ♣Q | pair
♠3, ♠8, ♣2, ♥Q, ♣Q | pair
♠3, ♠8, ♦3, ♠J, ♥Q | pair
♠3, ♠8, ♦3, ♠J, ♦10 | pair
♠3, ♠8, ♦3, ♠J, ♣Q | pair
♠3, ♠8, ♦3, ♥Q, ♦10 | pair
♠3, ♠8, ♦3, ♥Q, ♣Q | two pairs
♠3, ♠8, ♦3, ♦10, ♣Q | pair
♠3, ♠8, ♠J, ♥Q, ♣Q | pair
♠3, ♠8, ♥Q, ♦10, ♣Q | pair
♠3, ♣2, ♦3, ♠J, ♥Q | pair
♠3, ♣2, ♦3, ♠J, ♦10 | pair
♠3, ♣2, ♦3, ♠J, ♣Q | pair
♠3, ♣2, ♦3, ♥Q, ♦10 | pair
♠3, ♣2, ♦3, ♥Q, ♣Q | two pairs
♠3, ♣2, ♦3, ♦10, ♣Q | pair
♠3, ♣2, ♠J, ♥Q, ♣Q | pair
♠3, ♣2, ♥Q, ♦10, ♣Q | pair
♠3, ♦3, ♠J, ♥Q, ♦10 | pair
♠3, ♦3, ♠J, ♥Q, ♣Q | two pairs
♠3, ♦3, ♠J, ♦10, ♣Q | pair
♠3, ♦3, ♥Q, ♦10, ♣Q | two pairs
♠3, ♠J, ♥Q, ♦10, ♣Q | pair
♦7, ♥5, ♠J, ♠10, ♣5 | pair
♦7, ♥5, ♠J, ♠10, ♠J | pair
♦7, ♥5, ♠J, ♠10, ♦10 | pair
♦7, ♥5, ♠J, ♠Q, ♣5 | pair
♦7, ♥5, ♠J, ♠Q, ♠J | pair
♦7, ♥5, ♠J, ♠Q, ♥Q | pair
♦7, ♥5, ♠J, ♠Q, ♣Q | pair
♦7, ♥5, ♠J, ♣2, ♣5 | pair
♦7, ♥5, ♠J, ♣2, ♣2 | pair
♦7, ♥5, ♠J, ♣2, ♠J | pair
♦7, ♥5, ♠J, ♦A, ♣5 | pair
♦7, ♥5, ♠J, ♦A, ♠J | pair
♦7, ♥5, ♠J, ♣5, ♠8 | pair
♦7, ♥5, ♠J, ♣5, ♣2 | pair
♦7, ♥5, ♠J, ♣5, ♦3 | pair
♦7, ♥5, ♠J, ♣5, ♠J | two pairs
♦7, ♥5, ♠J, ♣5, ♥Q | pair
♦7, ♥5, ♠J, ♣5, ♦10 | pair
♦7, ♥5, ♠J, ♣5, ♣Q | pair
♦7, ♥5, ♠J, ♠8, ♠J | pair
♦7, ♥5, ♠J, ♣2, ♠J | pair
♦7, ♥5, ♠J, ♦3, ♠J | pair
♦7, ♥5, ♠J, ♠J, ♥Q | pair
♦7, ♥5, ♠J, ♠J, ♦10 | pair
♦7, ♥5, ♠J, ♠J, ♣Q | pair
♦7, ♥5, ♠J, ♥Q, ♣Q | pair
♦7, ♥5, ♠10, ♠Q, ♣5 | pair
♦7, ♥5, ♠10, ♠Q, ♥Q | pair
♦7, ♥5, ♠10, ♠Q, ♦10 | pair
♦7, ♥5, ♠10, ♠Q, ♣Q | pair
♦7, ♥5, ♠10, ♣2, ♣5 | pair
♦7, ♥5, ♠10, ♣2, ♣2 | pair
♦7, ♥5, ♠10, ♣2, ♦10 | pair
♦7, ♥5, ♠10, ♦A, ♣5 | pair
♦7, ♥5, ♠10, ♦A, ♦10 | pair
♦7, ♥5, ♠10, ♣5, ♠8 | pair
♦7, ♥5, ♠10, ♣5, ♣2 | pair
♦7, ♥5, ♠10, ♣5, ♦3 | pair
♦7, ♥5, ♠10, ♣5, ♠J | pair
♦7, ♥5, ♠10, ♣5, ♥Q | pair
♦7, ♥5, ♠10, ♣5, ♦10 | two pairs
♦7, ♥5, ♠10, ♣5, ♣Q | pair
♦7, ♥5, ♠10, ♠8, ♦10 | pair
♦7, ♥5, ♠10, ♣2, ♦10 | pair
♦7, ♥5, ♠10, ♦3, ♦10 | pair
♦7, ♥5, ♠10, ♠J, ♦10 | pair
♦7, ♥5, ♠10, ♥Q, ♦10 | pair
♦7, ♥5, ♠10, ♥Q, ♣Q | pair
♦7, ♥5, ♠10, ♦10, ♣Q | pair
♦7, ♥5, ♠Q, ♣2, ♣5 | pair
♦7, ♥5, ♠Q, ♣2, ♣2 | pair
♦7, ♥5, ♠Q, ♣2, ♥Q | pair
♦7, ♥5, ♠Q, ♣2, ♣Q | pair
♦7, ♥5, ♠Q, ♦A, ♣5 | pair
♦7, ♥5, ♠Q, ♦A, ♥Q | pair
♦7, ♥5, ♠Q, ♦A, ♣Q | pair
♦7, ♥5, ♠Q, ♣5, ♠8 | pair
♦7, ♥5, ♠Q, ♣5, ♣2 | pair
♦7, ♥5, ♠Q, ♣5, ♦3 | pair
♦7, ♥5, ♠Q, ♣5, ♠J | pair
♦7, ♥5, ♠Q, ♣5, ♥Q | two pairs
♦7, ♥5, ♠Q, ♣5, ♦10 | pair
♦7, ♥5, ♠Q, ♣5, ♣Q | two pairs
♦7, ♥5, ♠Q, ♠8, ♥Q | pair
♦7, ♥5, ♠Q, ♠8, ♣Q | pair
♦7, ♥5, ♠Q, ♣2, ♥Q | pair
♦7, ♥5, ♠Q, ♣2, ♣Q | pair
♦7, ♥5, ♠Q, ♦3, ♥Q | pair
♦7, ♥5, ♠Q, ♦3, ♣Q | pair
♦7, ♥5, ♠Q, ♠J, ♥Q | pair
♦7, ♥5, ♠Q, ♠J, ♣Q | pair
♦7, ♥5, ♠Q, ♥Q, ♦10 | pair
♦7, ♥5, ♠Q, ♥Q, ♣Q | three of a kind
♦7, ♥5, ♠Q, ♦10, ♣Q | pair
♦7, ♥5, ♣2, ♦A, ♣5 | pair
♦7, ♥5, ♣2, ♦A, ♣2 | pair
♦7, ♥5, ♣2, ♣5, ♠8 | pair
♦7, ♥5, ♣2, ♣5, ♣2 | two pairs
♦7, ♥5, ♣2, ♣5, ♦3 | pair
♦7, ♥5, ♣2, ♣5, ♠J | pair
♦7, ♥5, ♣2, ♣5, ♥Q | pair
♦7, ♥5, ♣2, ♣5, ♦10 | pair
♦7, ♥5, ♣2, ♣5, ♣Q | pair
♦7, ♥5, ♣2, ♠8, ♣2 | pair
♦7, ♥5, ♣2, ♣2, ♦3 | pair
♦7, ♥5, ♣2, ♣2, ♠J | pair
♦7, ♥5, ♣2, ♣2, ♥Q | pair
♦7, ♥5, ♣2, ♣2, ♦10 | pair
♦7, ♥5, ♣2, ♣2, ♣Q | pair
♦7, ♥5, ♣2, ♥Q, ♣Q | pair
♦7, ♥5, ♦A, ♣5, ♠8 | pair
♦7, ♥5, ♦A, ♣5, ♣2 | pair
♦7, ♥5, ♦A, ♣5, ♦3 | pair
♦7, ♥5, ♦A, ♣5, ♠J | pair
♦7, ♥5, ♦A, ♣5, ♥Q | pair
♦7, ♥5, ♦A, ♣5, ♦10 | pair
♦7, ♥5, ♦A, ♣5, ♣Q | pair
♦7, ♥5, ♦A, ♥Q, ♣Q | pair
♦7, ♥5, ♣5, ♠8, ♣2 | pair
♦7, ♥5, ♣5, ♠8, ♦3 | pair
♦7, ♥5, ♣5, ♠8, ♠J | pair
♦7, ♥5, ♣5, ♠8, ♥Q | pair
♦7, ♥5, ♣5, ♠8, ♦10 | pair
♦7, ♥5, ♣5, ♠8, ♣Q | pair
♦7, ♥5, ♣5, ♣2, ♦3 | pair
♦7, ♥5, ♣5, ♣2, ♠J | pair
♦7, ♥5, ♣5, ♣2, ♥Q | pair
♦7, ♥5, ♣5, ♣2, ♦10 | pair
♦7, ♥5, ♣5, ♣2, ♣Q | pair
♦7, ♥5, ♣5, ♦3, ♠J | pair
♦7, ♥5, ♣5, ♦3, ♥Q | pair
♦7, ♥5, ♣5, ♦3, ♦10 | pair
♦7, ♥5, ♣5, ♦3, ♣Q | pair
♦7, ♥5, ♣5, ♠J, ♥Q | pair
♦7, ♥5, ♣5, ♠J, ♦10 | pair
♦7, ♥5, ♣5, ♠J, ♣Q | pair
♦7, ♥5, ♣5, ♥Q, ♦10 | pair
♦7, ♥5, ♣5, ♥Q, ♣Q | two pairs
♦7, ♥5, ♣5, ♦10, ♣Q | pair
♦7, ♥5, ♠8, ♥Q, ♣Q | pair
♦7, ♥5, ♣2, ♥Q, ♣Q | pair
♦7, ♥5, ♦3, ♥Q, ♣Q | pair
♦7, ♥5, ♠J, ♥Q, ♣Q | pair
♦7, ♥5, ♥Q, ♦10, ♣Q | pair
♦7, ♠J, ♠10, ♠Q, ♠J | pair
♦7, ♠J, ♠10, ♠Q, ♥Q | pair
♦7, ♠J, ♠10, ♠Q, ♦10 | pair
♦7, ♠J, ♠10, ♠Q, ♣Q | pair
♦7, ♠J, ♠10, ♣2, ♣2 | pair
♦7, ♠J, ♠10, ♣2, ♠J | pair
♦7, ♠J, ♠10, ♣2, ♦10 | pair
♦7, ♠J, ♠10, ♦A, ♠J | pair
♦7, ♠J, ♠10, ♦A, ♦10 | pair
♦7, ♠J, ♠10, ♣5, ♠J | pair
♦7, ♠J, ♠10, ♣5, ♦10 | pair
♦7, ♠J, ♠10, ♠8, ♠J | pair
♦7, ♠J, ♠10, ♠8, ♦10 | pair
♦7, ♠J, ♠10, ♣2, ♠J | pair
♦7, ♠J, ♠10, ♣2, ♦10 | pair
♦7, ♠J, ♠10, ♦3, ♠J | pair
♦7, ♠J, ♠10, ♦3, ♦10 | pair
♦7, ♠J, ♠10, ♠J, ♥Q | pair
♦7, ♠J, ♠10, ♠J, ♦10 | two pairs
♦7, ♠J, ♠10, ♠J, ♣Q | pair
♦7, ♠J, ♠10, ♥Q, ♦10 | pair
♦7, ♠J, ♠10, ♥Q, ♣Q | pair
♦7, ♠J, ♠10, ♦10, ♣Q | pair
♦7, ♠J, ♠Q, ♣2, ♣2 | pair
♦7, ♠J, ♠Q, ♣2, ♠J | pair
♦7, ♠J, ♠Q, ♣2, ♥Q | pair
♦7, ♠J, ♠Q, ♣2, ♣Q | pair
♦7, ♠J, ♠Q, ♦A, ♠J | pair
♦7, ♠J, ♠Q, ♦A, ♥Q | pair
♦7, ♠J, ♠Q, ♦A, ♣Q | pair
♦7, ♠J, ♠Q, ♣5, ♠J | pair
♦7, ♠J, ♠Q, ♣5, ♥Q | pair
♦7, ♠J, ♠Q, ♣5, ♣Q | pair
♦7, ♠J, ♠Q, ♠8, ♠J | pair
♦7, ♠J, ♠Q, ♠8, ♥Q | pair
♦7, ♠J, ♠Q, ♠8, ♣Q | pair
♦7, ♠J, ♠Q, ♣2, ♠J | pair
♦7, ♠J, ♠Q, ♣2, ♥Q | pair
♦7, ♠J, ♠Q, ♣2, ♣Q | pair
♦7, ♠J, ♠Q, ♦3, ♠J | pair
♦7, ♠J, ♠Q, ♦3, ♥Q | pair
♦7, ♠J, ♠Q, ♦3, ♣Q | pair
♦7, ♠J, ♠Q, ♠J, ♥Q | two pairs
♦7, ♠J, ♠Q, ♠J, ♦10 | pair
♦7, ♠J, ♠Q, ♠J, ♣Q | two pairs
♦7, ♠J, ♠Q, ♥Q, ♦10 | pair
♦7, ♠J, ♠Q, ♥Q, ♣Q | three of a kind
♦7, ♠J, ♠Q, ♦10, ♣Q | pair
♦7, ♠J, ♣2, ♦A, ♣2 | pair
♦7, ♠J, ♣2, ♦A, ♠J | pair
♦7, ♠J, ♣2, ♣5, ♣2 | pair
♦7, ♠J, ♣2, ♣5, ♠J | pair
♦7, ♠J, ♣2, ♠8, ♣2 | pair
♦7, ♠J, ♣2, ♠8, ♠J | pair
♦7, ♠J, ♣2, ♣2, ♦3 | pair
♦7, ♠J, ♣2, ♣2, ♠J | two pairs
♦7, ♠J, ♣2, ♣2, ♥Q | pair
♦7, ♠J, ♣2, ♣2, ♦10 | pair
♦7, ♠J, ♣2, ♣2, ♣Q | pair
♦7, ♠J, ♣2, ♦3, ♠J | pair
♦7, ♠J, ♣2, ♠J, ♥Q | pair
♦7, ♠J, ♣2, ♠J, ♦10 | pair
♦7, ♠J, ♣2, ♠J, ♣Q | pair
♦7, ♠J, ♣2, ♥Q, ♣Q | pair
♦7, ♠J, ♦A, ♣5, ♠J | pair
