♦7, ♠10, ♥K, ♣3, ♥3 | pair
♦7, ♣3, ♠7, ♣2, ♣10 | pair
♦7, ♣3, ♠7, ♣2, ♠A | pair
♦7, ♣3, ♠7, ♦Q, ♣10 | pair
♦7, ♣3, ♠7, ♦Q, ♠A | pair
♦7, ♣3, ♠7, ♣10, ♠A | pair
♦7, ♣3, ♣A, ♥K, ♥K | pair
♦7, ♣3, ♣A, ♥K, ♠A | pair
♦7, ♣3, ♣A, ♥K, ♠A | pair
♦7, ♣3, ♣A, ♥4, ♠A | pair
♦7, ♣3, ♣A, ♣2, ♠A | pair
♦7, ♣3, ♣A, ♦Q, ♠A | pair
♦7, ♣3, ♣A, ♣10, ♠A | pair
♦7, ♣3, ♥K, ♥K, ♥4 | pair
♦7, ♣3, ♥K, ♥K, ♣2 | pair
♦7, ♣3, ♥K, ♥K, ♦Q | pair
♦7, ♣3, ♥K, ♥K, ♣10 | pair
♦7, ♣3, ♥K, ♥K, ♠A | pair
♦7, ♠9, ♠9, ♥3, ♠7 | two pairs
♦7, ♠9, ♠9, ♥3, ♣A | pair
♦7, ♠9, ♠9, ♥3, ♥K | pair
♦7, ♠9, ♠9, ♥3, ♥K | pair
♦7, ♠9, ♠9, ♥3, ♥4 | pair
♦7, ♠9, ♠9, ♥3, ♣2 | pair
♦7, ♠9, ♠9, ♥3, ♦Q | pair
♦7, ♠9, ♠9, ♥3, ♣10 | pair
♦7, ♠9, ♠9, ♥3, ♠A | pair
♦7, ♠9, ♠9, ♠7, ♣A | two pairs
♦7, ♠9, ♠9, ♠7, ♥K | two pairs
♦7, ♠9, ♠9, ♠7, ♥K | two pairs
♦7, ♠9, ♠9, ♠7, ♥4 | two pairs
♦7, ♠9, ♠9, ♠7, ♣2 | two pairs
♦7, ♠9, ♠9, ♠7, ♦Q | two pairs
♦7, ♠9, ♠9, ♠7, ♣10 | two pairs
♦7, ♠9, ♠9, ♠7, ♠A | two pairs
♦7, ♠9, ♠9, ♣A, ♥K | pair
♦7, ♠9, ♠9, ♣A, ♥K | pair
♦7, ♠9, ♠9, ♣A, ♥4 | pair
♦7, ♠9, ♠9, ♣A, ♣2 | pair
♦7, ♠9, ♠9, ♣A, ♦Q | pair
♦7, ♠9, ♠9, ♣A, ♣10 | pair
♦7, ♠9, ♠9, ♣A, ♠A | two pairs
♦7, ♠9, ♠9, ♥K, ♥K | two pairs
♦7, ♠9, ♠9, ♥K, ♥4 | pair
♦7, ♠9, ♠9, ♥K, ♣2 | pair
♦7, ♠9, ♠9, ♥K, ♦Q | pair
♦7, ♠9, ♠9, ♥K, ♣10 | pair
♦7, ♠9, ♠9, ♥K, ♠A | pair
♦7, ♠9, ♠9, ♥K, ♥4 | pair
♦7, ♠9, ♠9, ♥K, ♣2 | pair
♦7, ♠9, ♠9, ♥K, ♦Q | pair
♦7, ♠9, ♠9, ♥K, ♣10 | pair
♦7, ♠9, ♠9, ♥K, ♠A | pair
♦7, ♠9, ♠9, ♥4, ♣2 | pair
♦7, ♠9, ♠9, ♥4, ♦Q | pair
♦7, ♠9, ♠9, ♥4, ♣10 | pair
♦7, ♠9, ♠9, ♥4, ♠A | pair
♦7, ♠9, ♠9, ♣2, ♦Q | pair
♦7, ♠9, ♠9, ♣2, ♣10 | pair
♦7, ♠9, ♠9, ♣2, ♠A | pair
♦7, ♠9, ♠9, ♦Q, ♣10 | pair
♦7, ♠9, ♠9, ♦Q, ♠A | pair
♦7, ♠9, ♠9, ♣10, ♠A | pair
♦7, ♠9, ♥3, ♠7, ♣A | pair
♦7, ♠9, ♥3, ♠7, ♥K | pair
♦7, ♠9, ♥3, ♠7, ♥K | pair
♦7, ♠9, ♥3, ♠7, ♥4 | pair
♦7, ♠9, ♥3, ♠7, ♣2 | pair
♦7, ♠9, ♥3, ♠7, ♦Q | pair
♦7, ♠9, ♥3, ♠7, ♣10 | pair
♦7, ♠9, ♥3, ♠7, ♠A | pair
♦7, ♠9, ♥3, ♣A, ♠A | pair
♦7, ♠9, ♥3, ♥K, ♥K | pair
♦7, ♠9, ♠7, ♣A, ♥K | pair
♦7, ♠9, ♠7, ♣A, ♥K | pair
♦7, ♠9, ♠7, ♣A, ♥4 | pair
♦7, ♠9, ♠7, ♣A, ♣2 | pair
♦7, ♠9, ♠7, ♣A, ♦Q | pair
♦7, ♠9, ♠7, ♣A, ♣10 | pair
♦7, ♠9, ♠7, ♣A, ♠A | two pairs
♦7, ♠9, ♠7, ♥K, ♥K | two pairs
♦7, ♠9, ♠7, ♥K, ♥4 | pair
♦7, ♠9, ♠7, ♥K, ♣2 | pair
♦7, ♠9, ♠7, ♥K, ♦Q | pair
♦7, ♠9, ♠7, ♥K, ♣10 | pair
♦7, ♠9, ♠7, ♥K, ♠A | pair
♦7, ♠9, ♠7, ♥K, ♥4 | pair
♦7, ♠9, ♠7, ♥K, ♣2 | pair
♦7, ♠9, ♠7, ♥K, ♦Q | pair
♦7, ♠9, ♠7, ♥K, ♣10 | pair
♦7, ♠9, ♠7, ♥K, ♠A | pair
♦7, ♠9, ♠7, ♥4, ♣2 | pair
♦7, ♠9, ♠7, ♥4, ♦Q | pair
♦7, ♠9, ♠7, ♥4, ♣10 | pair
♦7, ♠9, ♠7, ♥4, ♠A | pair
♦7, ♠9, ♠7, ♣2, ♦Q | pair
♦7, ♠9, ♠7, ♣2, ♣10 | pair
♦7, ♠9, ♠7, ♣2, ♠A | pair
♦7, ♠9, ♠7, ♦Q, ♣10 | pair
♦7, ♠9, ♠7, ♦Q, ♠A | pair
♦7, ♠9, ♠7, ♣10, ♠A | pair
♦7, ♠9, ♣A, ♥K, ♥K | pair
♦7, ♠9, ♣A, ♥K, ♠A | pair
♦7, ♠9, ♣A, ♥K, ♠A | pair
♦7, ♠9, ♣A, ♥4, ♠A | pair
♦7, ♠9, ♣A, ♣2, ♠A | pair
♦7, ♠9, ♣A, ♦Q, ♠A | pair
♦7, ♠9, ♣A, ♣10, ♠A | pair
♦7, ♠9, ♥K, ♥K, ♥4 | pair
♦7, ♠9, ♥K, ♥K, ♣2 | pair
♦7, ♠9, ♥K, ♥K, ♦Q | pair
♦7, ♠9, ♥K, ♥K, ♣10 | pair
♦7, ♠9, ♥K, ♥K, ♠A | pair
♦7, ♠9, ♥3, ♠7, ♣A | pair
♦7, ♠9, ♥3, ♠7, ♥K | pair
♦7, ♠9, ♥3, ♠7, ♥K | pair
♦7, ♠9, ♥3, ♠7, ♥4 | pair
♦7, ♠9, ♥3, ♠7, ♣2 | pair
♦7, ♠9, ♥3, ♠7, ♦Q | pair
♦7, ♠9, ♥3, ♠7, ♣10 | pair
♦7, ♠9, ♥3, ♠7, ♠A | pair
♦7, ♠9, ♥3, ♣A, ♠A | pair
♦7, ♠9, ♥3, ♥K, ♥K | pair
♦7, ♠9, ♠7, ♣A, ♥K | pair
♦7, ♠9, ♠7, ♣A, ♥K | pair
♦7, ♠9, ♠7, ♣A, ♥4 | pair
♦7, ♠9, ♠7, ♣A, ♣2 | pair
♦7, ♠9, ♠7, ♣A, ♦Q | pair
♦7, ♠9, ♠7, ♣A, ♣10 | pair
♦7, ♠9, ♠7, ♣A, ♠A | two pairs
♦7, ♠9, ♠7, ♥K, ♥K | two pairs
♦7, ♠9, ♠7, ♥K, ♥4 | pair
♦7, ♠9, ♠7, ♥K, ♣2 | pair
♦7, ♠9, ♠7, ♥K, ♦Q | pair
♦7, ♠9, ♠7, ♥K, ♣10 | pair
♦7, ♠9, ♠7, ♥K, ♠A | pair
♦7, ♠9, ♠7, ♥K, ♥4 | pair
♦7, ♠9, ♠7, ♥K, ♣2 | pair
♦7, ♠9, ♠7, ♥K, ♦Q | pair
♦7, ♠9, ♠7, ♥K, ♣10 | pair
♦7, ♠9, ♠7, ♥K, ♠A | pair
♦7, ♠9, ♠7, ♥4, ♣2 | pair
♦7, ♠9, ♠7, ♥4, ♦Q | pair
♦7, ♠9, ♠7, ♥4, ♣10 | pair
♦7, ♠9, ♠7, ♥4, ♠A | pair
♦7, ♠9, ♠7, ♣2, ♦Q | pair
♦7, ♠9, ♠7, ♣2, ♣10 | pair
♦7, ♠9, ♠7, ♣2, ♠A | pair
♦7, ♠9, ♠7, ♦Q, ♣10 | pair
♦7, ♠9, ♠7, ♦Q, ♠A | pair
♦7, ♠9, ♠7, ♣10, ♠A | pair
♦7, ♠9, ♣A, ♥K, ♥K | pair
♦7, ♠9, ♣A, ♥K, ♠A | pair
♦7, ♠9, ♣A, ♥K, ♠A | pair
♦7, ♠9, ♣A, ♥4, ♠A | pair
♦7, ♠9, ♣A, ♣2, ♠A | pair
♦7, ♠9, ♣A, ♦Q, ♠A | pair
♦7, ♠9, ♣A, ♣10, ♠A | pair
♦7, ♠9, ♥K, ♥K, ♥4 | pair
♦7, ♠9, ♥K, ♥K, ♣2 | pair
♦7, ♠9, ♥K, ♥K, ♦Q | pair
♦7, ♠9, ♥K, ♥K, ♣10 | pair
♦7, ♠9, ♥K, ♥K, ♠A | pair
♦7, ♥3, ♠7, ♣A, ♥K | pair
♦7, ♥3, ♠7, ♣A, ♥K | pair
♦7, ♥3, ♠7, ♣A, ♥4 | pair
♦7, ♥3, ♠7, ♣A, ♣2 | pair
♦7, ♥3, ♠7, ♣A, ♦Q | pair
♦7, ♥3, ♠7, ♣A, ♣10 | pair
♦7, ♥3, ♠7, ♣A, ♠A | two pairs
♦7, ♥3, ♠7, ♥K, ♥K | two pairs
♦7, ♥3, ♠7, ♥K, ♥4 | pair
♦7, ♥3, ♠7, ♥K, ♣2 | pair
♦7, ♥3, ♠7, ♥K, ♦Q | pair
♦7, ♥3, ♠7, ♥K, ♣10 | pair
♦7, ♥3, ♠7, ♥K, ♠A | pair
♦7, ♥3, ♠7, ♥K, ♥4 | pair
♦7, ♥3, ♠7, ♥K, ♣2 | pair
♦7, ♥3, ♠7, ♥K, ♦Q | pair
♦7, ♥3, ♠7, ♥K, ♣10 | pair
♦7, ♥3, ♠7, ♥K, ♠A | pair
♦7, ♥3, ♠7, ♥4, ♣2 | pair
♦7, ♥3, ♠7, ♥4, ♦Q | pair
♦7, ♥3, ♠7, ♥4, ♣10 | pair
♦7, ♥3, ♠7, ♥4, ♠A | pair
♦7, ♥3, ♠7, ♣2, ♦Q | pair
♦7, ♥3, ♠7, ♣2, ♣10 | pair
♦7, ♥3, ♠7, ♣2, ♠A | pair
♦7, ♥3, ♠7, ♦Q, ♣10 | pair
♦7, ♥3, ♠7, ♦Q, ♠A | pair
♦7, ♥3, ♠7, ♣10, ♠A | pair
♦7, ♥3, ♣A, ♥K, ♥K | pair
♦7, ♥3, ♣A, ♥K, ♠A | pair
♦7, ♥3, ♣A, ♥K, ♠A | pair
♦7, ♥3, ♣A, ♥4, ♠A | pair
♦7, ♥3, ♣A, ♣2, ♠A | pair
♦7, ♥3, ♣A, ♦Q, ♠A | pair
♦7, ♥3, ♣A, ♣10, ♠A | pair
♦7, ♥3, ♥K, ♥K, ♥4 | pair
♦7, ♥3, ♥K, ♥K, ♣2 | pair
♦7, ♥3, ♥K, ♥K, ♦Q | pair
♦7, ♥3, ♥K, ♥K, ♣10 | pair
♦7, ♥3, ♥K, ♥K, ♠A | pair
♦7, ♠7, ♣A, ♥K, ♥K | two pairs
♦7, ♠7, ♣A, ♥K, ♥4 | pair
♦7, ♠7, ♣A, ♥K, ♣2 | pair
♦7, ♠7, ♣A, ♥K, ♦Q | pair
♦7, ♠7, ♣A, ♥K, ♣10 | pair
♦7, ♠7, ♣A, ♥K, ♠A | two pairs
♦7, ♠7, ♣A, ♥K, ♥4 | pair
♦7, ♠7, ♣A, ♥K, ♣2 | pair
♦7, ♠7, ♣A, ♥K, ♦Q | pair
♦7, ♠7, ♣A, ♥K, ♣10 | pair
♦7, ♠7, ♣A, ♥K, ♠A | two pairs
♦7, ♠7, ♣A, ♥4, ♣2 | pair
♦7, ♠7, ♣A, ♥4, ♦Q | pair
♦7, ♠7, ♣A, ♥4, ♣10 | pair
♦7, ♠7, ♣A, ♥4, ♠A | two pairs
♦7, ♠7, ♣A, ♣2, ♦Q | pair
♦7, ♠7, ♣A, ♣2, ♣10 | pair
♦7, ♠7, ♣A, ♣2, ♠A | two pairs
♦7, ♠7, ♣A, ♦Q, ♣10 | pair
♦7, ♠7, ♣A, ♦Q, ♠A | two pairs
♦7, ♠7, ♣A, ♣10, ♠A | two pairs
♦7, ♠7, ♥K, ♥K, ♥4 | two pairs
♦7, ♠7, ♥K, ♥K, ♣2 | two pairs
♦7, ♠7, ♥K, ♥K, ♦Q | two pairs
♦7, ♠7, ♥K, ♥K, ♣10 | two pairs
♦7, ♠7, ♥K, ♥K, ♠A | two pairs
♦7, ♠7, ♥K, ♥4, ♣2 | pair
♦7, ♠7, ♥K, ♥4, ♦Q | pair
♦7, ♠7, ♥K, ♥4, ♣10 | pair
♦7, ♠7, ♥K, ♥4, ♠A | pair
♦7, ♠7, ♥K, ♣2, ♦Q | pair
♦7, ♠7, ♥K, ♣2, ♣10 | pair
♦7, ♠7, ♥K, ♣2, ♠A | pair
♦7, ♠7, ♥K, ♦Q, ♣10 | pair
♦7, ♠7, ♥K, ♦Q, ♠A | pair
♦7, ♠7, ♥K, ♣10, ♠A | pair
♦7, ♠7, ♥K, ♥4, ♣2 | pair
♦7, ♠7, ♥K, ♥4, ♦Q | pair
♦7, ♠7, ♥K, ♥4, ♣10 | pair
♦7, ♠7, ♥K, ♥4, ♠A | pair
♦7, ♠7, ♥K, ♣2, ♦Q | pair
♦7, ♠7, ♥K, ♣2, ♣10 | pair
♦7, ♠7, ♥K, ♣2, ♠A | pair
♦7, ♠7, ♥K, ♦Q, ♣10 | pair
♦7, ♠7, ♥K, ♦Q, ♠A | pair
♦7, ♠7, ♥K, ♣10, ♠A | pair
♦7, ♠7, ♥4, ♣2, ♦Q | pair
♦7, ♠7, ♥4, ♣2, ♣10 | pair
♦7, ♠7, ♥4, ♣2, ♠A | pair
♦7, ♠7, ♥4, ♦Q, ♣10 | pair
♦7, ♠7, ♥4, ♦Q, ♠A | pair
♦7, ♠7, ♥4, ♣10, ♠A | pair
♦7, ♠7, ♣2, ♦Q, ♣10 | pair
♦7, ♠7, ♣2, ♦Q, ♠A | pair
♦7, ♠7, ♣2, ♣10, ♠A | pair
♦7, ♠7, ♦Q, ♣10, ♠A | pair
♦7, ♣A, ♥K, ♥K, ♥4 | pair
♦7, ♣A, ♥K, ♥K, ♣2 | pair
♦7, ♣A, ♥K, ♥K, ♦Q | pair
♦7, ♣A, ♥K, ♥K, ♣10 | pair
♦7, ♣A, ♥K, ♥K, ♠A | two pairs
♦7, ♣A, ♥K, ♥4, ♠A | pair
♦7, ♣A, ♥K, ♣2, ♠A | pair
♦7, ♣A, ♥K, ♦Q, ♠A | pair
♦7, ♣A, ♥K, ♣10, ♠A | pair
♦7, ♣A, ♥K, ♥4, ♠A | pair
♦7, ♣A, ♥K, ♣2, ♠A | pair
♦7, ♣A, ♥K, ♦Q, ♠A | pair
♦7, ♣A, ♥K, ♣10, ♠A | pair
♦7, ♣A, ♥4, ♣2, ♠A | pair
♦7, ♣A, ♥4, ♦Q, ♠A | pair
♦7, ♣A, ♥4, ♣10, ♠A | pair
♦7, ♣A, ♣2, ♦Q, ♠A | pair
♦7, ♣A, ♣2, ♣10, ♠A | pair
♦7, ♣A, ♦Q, ♣10, ♠A | pair
♦7, ♥K, ♥K, ♥4, ♣2 | pair
♦7, ♥K, ♥K, ♥4, ♦Q | pair
♦7, ♥K, ♥K, ♥4, ♣10 | pair
♦7, ♥K, ♥K, ♥4, ♠A | pair
♦7, ♥K, ♥K, ♣2, ♦Q | pair
♦7, ♥K, ♥K, ♣2, ♣10 | pair
♦7, ♥K, ♥K, ♣2, ♠A | pair
♦7, ♥K, ♥K, ♦Q, ♣10 | pair
♦7, ♥K, ♥K, ♦Q, ♠A | pair
♦7, ♥K, ♥K, ♣10, ♠A | pair
♠10, ♥K, ♣3, ♠9, ♠9 | pair
♠10, ♥K, ♣3, ♠9, ♥3 | pair
♠10, ♥K, ♣3, ♠9, ♥K | pair
♠10, ♥K, ♣3, ♠9, ♥K | pair
♠10, ♥K, ♣3, ♠9, ♣10 | pair
♠10, ♥K, ♣3, ♠9, ♥3 | pair
♠10, ♥K, ♣3, ♠9, ♥K | pair
♠10, ♥K, ♣3, ♠9, ♥K | pair
♠10, ♥K, ♣3, ♠9, ♣10 | pair
♠10, ♥K, ♣3, ♥3, ♠7 | pair
♠10, ♥K, ♣3, ♥3, ♣A | pair
♠10, ♥K, ♣3, ♥3, ♥K | two pairs
♠10, ♥K, ♣3, ♥3, ♥K | two pairs
♠10, ♥K, ♣3, ♥3, ♥4 | pair
♠10, ♥K, ♣3, ♥3, ♣2 | pair
♠10, ♥K, ♣3, ♥3, ♦Q | pair
♠10, ♥K, ♣3, ♥3, ♣10 | two pairs
♠10, ♥K, ♣3, ♥3, ♠A | pair
♠10, ♥K, ♣3, ♠7, ♥K | pair
♠10, ♥K, ♣3, ♠7, ♥K | pair
♠10, ♥K, ♣3, ♠7, ♣10 | pair
♠10, ♥K, ♣3, ♣A, ♥K | pair
♠10, ♥K, ♣3, ♣A, ♥K | pair
♠10, ♥K, ♣3, ♣A, ♣10 | pair
♠10, ♥K, ♣3, ♣A, ♠A | pair
♠10, ♥K, ♣3, ♥K, ♥K | three of a kind
♠10, ♥K, ♣3, ♥K, ♥4 | pair
♠10, ♥K, ♣3, ♥K, ♣2 | pair
♠10, ♥K, ♣3, ♥K, ♦Q | pair
♠10, ♥K, ♣3, ♥K, ♣10 | two pairs
♠10, ♥K, ♣3, ♥K, ♠A | pair
♠10, ♥K, ♣3, ♥K, ♥4 | pair
♠10, ♥K, ♣3, ♥K, ♣2 | pair
♠10, ♥K, ♣3, ♥K, ♦Q | pair
♠10, ♥K, ♣3, ♥K, ♣10 | two pairs
♠10, ♥K, ♣3, ♥K, ♠A | pair
♠10, ♥K, ♣3, ♥4, ♣10 | pair
♠10, ♥K, ♣3, ♣2, ♣10 | pair
♠10, ♥K, ♣3, ♦Q, ♣10 | pair
♠10, ♥K, ♣3, ♣10, ♠A | pair
♠10, ♥K, ♠9, ♠9, ♥3 | pair
♠10, ♥K, ♠9, ♠9, ♠7 | pair
♠10, ♥K, ♠9, ♠9, ♣A | pair
♠10, ♥K, ♠9, ♠9, ♥K | two pairs
♠10, ♥K, ♠9, ♠9, ♥K | two pairs
♠10, ♥K, ♠9, ♠9, ♥4 | pair
♠10, ♥K, ♠9, ♠9, ♣2 | pair
♠10, ♥K, ♠9, ♠9, ♦Q | pair
♠10, ♥K, ♠9, ♠9, ♣10 | two pairs
♠10, ♥K, ♠9, ♠9, ♠A | pair
♠10, ♥K, ♠9, ♥3, ♥K | pair
♠10, ♥K, ♠9, ♥3, ♥K | pair
♠10, ♥K, ♠9, ♥3, ♣10 | pair
♠10, ♥K, ♠9, ♠7, ♥K | pair
♠10, ♥K, ♠9, ♠7, ♥K | pair
♠10, ♥K, ♠9, ♠7, ♣10 | pair
♠10, ♥K, ♠9, ♣A, ♥K | pair
♠10, ♥K, ♠9, ♣A, ♥K | pair
♠10, ♥K, ♠9, ♣A, ♣10 | pair
♠10, ♥K, ♠9, ♣A, ♠A | pair
♠10, ♥K, ♠9, ♥K, ♥K | three of a kind
♠10, ♥K, ♠9, ♥K, ♥4 | pair
♠10, ♥K, ♠9, ♥K, ♣2 | pair
♠10, ♥K, ♠9, ♥K, ♦Q | pair
♠10, ♥K, ♠9, ♥K, ♣10 | two pairs
♠10, ♥K, ♠9, ♥K, ♠A | pair
♠10, ♥K, ♠9, ♥K, ♥4 | pair
♠10, ♥K, ♠9, ♥K, ♣2 | pair
♠10, ♥K, ♠9, ♥K, ♦Q | pair
♠10, ♥K, ♠9, ♥K, ♣10 | two pairs
♠10, ♥K, ♠9, ♥K, ♠A | pair
♠10, ♥K, ♠9, ♥4, ♣10 | pair
♠10, ♥K, ♠9, ♣2, ♣10 | pair
♠10, ♥K, ♠9, ♦Q, ♣10 | pair
♠10, ♥K, ♠9, ♣10, ♠A | pair
♠10, ♥K, ♠9, ♥3, ♥K | pair
♠10, ♥K, ♠9, ♥3, ♥K | pair
♠10, ♥K, ♠9, ♥3, ♣10 | pair
♠10, ♥K, ♠9, ♠7, ♥K | pair
♠10, ♥K, ♠9, ♠7, ♥K | pair
♠10, ♥K, ♠9, ♠7, ♣10 | pair
♠10, ♥K, ♠9, ♣A, ♥K | pair
♠10, ♥K, ♠9, ♣A, ♥K | pair
♠10, ♥K, ♠9, ♣A, ♣10 | pair
♠10, ♥K, ♠9, ♣A, ♠A | pair
♠10, ♥K, ♠9, ♥K, ♥K | three of a kind
♠10, ♥K, ♠9, ♥K, ♥4 | pair
♠10, ♥K, ♠9, ♥K, ♣2 | pair
♠10, ♥K, ♠9, ♥K, ♦Q | pair
♠10, ♥K, ♠9, ♥K, ♣10 | two pairs
♠10, ♥K, ♠9, ♥K, ♠A | pair
♠10, ♥K, ♠9, ♥K, ♥4 | pair
♠10, ♥K, ♠9, ♥K, ♣2 | pair
♠10, ♥K, ♠9, ♥K, ♦Q | pair
♠10, ♥K, ♠9, ♥K, ♣10 | two pairs
♠10, ♥K, ♠9, ♥K, ♠A | pair
♠10, ♥K, ♠9, ♥4, ♣10 | pair
♠10, ♥K, ♠9, ♣2, ♣10 | pair
♠10, ♥K, ♠9, ♦Q, ♣10 | pair
♠10, ♥K, ♠9, ♣10, ♠A | pair
♠10, ♥K, ♥3, ♠7, ♥K | pair
♠10, ♥K, ♥3, ♠7, ♥K | pair
♠10, ♥K, ♥3, ♠7, ♣10 | pair
♠10, ♥K, ♥3, ♣A, ♥K | pair
♠10, ♥K, ♥3, ♣A, ♥K | pair
♠10, ♥K, ♥3, ♣A, ♣10 | pair
♠10, ♥K, ♥3, ♣A, ♠A | pair
♠10, ♥K, ♥3, ♥K, ♥K | three of a kind
♠10, ♥K, ♥3, ♥K, ♥4 | pair
♠10, ♥K, ♥3, ♥K, ♣2 | pair
♠10, ♥K, ♥3, ♥K, ♦Q | pair
♠10, ♥K, ♥3, ♥K, ♣10 | two pairs
♠10, ♥K, ♥3, ♥K, ♠A | pair
♠10, ♥K, ♥3, ♥K, ♥4 | pair
♠10, ♥K, ♥3, ♥K, ♣2 | pair
♠10, ♥K, ♥3, ♥K, ♦Q | pair
♠10, ♥K, ♥3, ♥K, ♣10 | two pairs
♠10, ♥K, ♥3, ♥K, ♠A | pair
♠10, ♥K, ♥3, ♥4, ♣10 | pair
♠10, ♥K, ♥3, ♣2, ♣10 | pair
♠10, ♥K, ♥3, ♦Q, ♣10 | pair
♠10, ♥K, ♥3, ♣10, ♠A | pair
♠10, ♥K, ♠7, ♣A, ♥K | pair
♠10, ♥K, ♠7, ♣A, ♥K | pair
♠10, ♥K, ♠7, ♣A, ♣10 | pair
♠10, ♥K, ♠7, ♣A, ♠A | pair
♠10, ♥K, ♠7, ♥K, ♥K | three of a kind
♠10, ♥K, ♠7, ♥K, ♥4 | pair
♠10, ♥K, ♠7, ♥K, ♣2 | pair
♠10, ♥K, ♠7, ♥K, ♦Q | pair
♠10, ♥K, ♠7, ♥K, ♣10 | two pairs
♠10, ♥K, ♠7, ♥K, ♠A | pair
♠10, ♥K, ♠7, ♥K, ♥4 | pair
♠10, ♥K, ♠7, ♥K, ♣2 | pair
♠10, ♥K, ♠7, ♥K, ♦Q | pair
♠10, ♥K, ♠7, ♥K, ♣10 | two pairs
♠10, ♥K, ♠7, ♥K, ♠A | pair
♠10, ♥K, ♠7, ♥4, ♣10 | pair
♠10, ♥K, ♠7, ♣2, ♣10 | pair
♠10, ♥K, ♠7, ♦Q, ♣10 | pair
♠10, ♥K, ♠7, ♣10, ♠A | pair
♠10, ♥K, ♣A, ♥K, ♥K | three of a kind
♠10, ♥K, ♣A, ♥K, ♥4 | pair
♠10, ♥K, ♣A, ♥K, ♣2 | pair
♠10, ♥K, ♣A, ♥K, ♦Q | pair
♠10, ♥K, ♣A, ♥K, ♣10 | two pairs
♠10, ♥K, ♣A, ♥K, ♠A | two pairs
♠10, ♥K, ♣A, ♥K, ♥4 | pair
♠10, ♥K, ♣A, ♥K, ♣2 | pair
♠10, ♥K, ♣A, ♥K, ♦Q | pair
♠10, ♥K, ♣A, ♥K, ♣10 | two pairs
♠10, ♥K, ♣A, ♥K, ♠A | two pairs
♠10, ♥K, ♣A, ♥4, ♣10 | pair
♠10, ♥K, ♣A, ♥4, ♠A | pair
♠10, ♥K, ♣A, ♣2, ♣10 | pair
♠10, ♥K, ♣A, ♣2, ♠A | pair
♠10, ♥K, ♣A, ♦Q, ♣10 | pair
♠10, ♥K, ♣A, ♦Q, ♠A | pair
♠10, ♥K, ♣A, ♣10, ♠A | two pairs
♠10, ♥K, ♥K, ♥K, ♥4 | three of a kind
♠10, ♥K, ♥K, ♥K, ♣2 | three of a kind
♠10, ♥K, ♥K, ♥K, ♦Q | three of a kind
♠10, ♥K, ♥K, ♥K, ♣10 | fullhouse
♠10, ♥K, ♥K, ♥K, ♠A | three of a kind
♠10, ♥K, ♥K, ♥4, ♣2 | pair
♠10, ♥K, ♥K, ♥4, ♦Q | pair
♠10, ♥K, ♥K, ♥4, ♣10 | two pairs
♠10, ♥K, ♥K, ♥4, ♠A | pair
♠10, ♥K, ♥K, ♣2, ♦Q | pair
♠10, ♥K, ♥K, ♣2, ♣10 | two pairs
♠10, ♥K, ♥K, ♣2, ♠A | pair
♠10, ♥K, ♥K, ♦Q, ♣10 | two pairs
♠10, ♥K, ♥K, ♦Q, ♠A | pair
♠10, ♥K, ♥K, ♣10, ♠A | two pairs
♠10, ♥K, ♥K, ♥4, ♣2 | pair
♠10, ♥K, ♥K, ♥4, ♦Q | pair
♠10, ♥K, ♥K, ♥4, ♣10 | two pairs
♠10, ♥K, ♥K, ♥4, ♠A | pair
♠10, ♥K, ♥K, ♣2, ♦Q | pair
♠10, ♥K, ♥K, ♣2, ♣10 | two pairs
♠10, ♥K, ♥K, ♣2, ♠A | pair
♠10, ♥K, ♥K, ♦Q, ♣10 | two pairs
♠10, ♥K, ♥K, ♦Q, ♠A | pair
♠10, ♥K, ♥K, ♣10, ♠A | two pairs
♠10, ♥K, ♥4, ♣2, ♣10 | pair
♠10, ♥K, ♥4, ♦Q, ♣10 | pair
♠10, ♥K, ♥4, ♣10, ♠A | pair
♠10, ♥K, ♣2, ♦Q, ♣10 | pair
♠10, ♥K, ♣2, ♣10, ♠A | pair
♠10, ♥K, ♦Q, ♣10, ♠A | pair
♠10, ♣3, ♠9, ♠9, ♥3 | two pairs
♠10, ♣3, ♠9, ♠9, ♠7 | pair
♠10, ♣3, ♠9, ♠9, ♣A | pair
♠10, ♣3, ♠9, ♠9, ♥K | pair
♠10, ♣3, ♠9, ♠9, ♥K | pair
♠10, ♣3, ♠9, ♠9, ♥4 | pair
♠10, ♣3, ♠9, ♠9, ♣2 | pair
♠10, ♣3, ♠9, ♠9, ♦Q | pair
♠10, ♣3, ♠9, ♠9, ♣10 | two pairs
♠10, ♣3, ♠9, ♠9, ♠A | pair
♠10, ♣3, ♠9, ♥3, ♠7 | pair
♠10, ♣3, ♠9, ♥3, ♣A | pair
♠10, ♣3, ♠9, ♥3, ♥K | pair
♠10, ♣3, ♠9, ♥3, ♥K | pair
♠10, ♣3, ♠9, ♥3, ♥4 | pair
♠10, ♣3, ♠9, ♥3, ♣2 | pair
♠10, ♣3, ♠9, ♥3, ♦Q | pair
♠10, ♣3, ♠9, ♥3, ♣10 | two pairs
♠10, ♣3, ♠9, ♥3, ♠A | pair
♠10, ♣3, ♠9, ♠7, ♣10 | pair
♠10, ♣3, ♠9, ♣A, ♣10 | pair
♠10, ♣3, ♠9, ♣A, ♠A | pair
