♥J, ♣J, ♦4, ♥10, ♥2 | pair
♣J, ♥2, ♣8, ♦9, ♦9 | pair
♣J, ♥2, ♣8, ♦9, ♦8 | pair
♣J, ♥2, ♣8, ♠2, ♥4 | pair
♣J, ♥2, ♣8, ♠2, ♥6 | pair
♣J, ♥2, ♣8, ♠2, ♦9 | pair
♣J, ♥2, ♣8, ♠2, ♦8 | two pairs
♣J, ♥2, ♣8, ♠2, ♠K | pair
♣J, ♥2, ♣8, ♥4, ♦8 | pair
♣J, ♥2, ♣8, ♥6, ♦8 | pair
♣J, ♥2, ♣8, ♦9, ♦8 | pair
♣J, ♥2, ♣8, ♦8, ♠K | pair
♣J, ♥2, ♦7, ♦9, ♠2 | pair
♣J, ♥2, ♦7, ♦9, ♦9 | pair
♣J, ♥2, ♦7, ♠2, ♥4 | pair
♣J, ♥2, ♦7, ♠2, ♥6 | pair
♣J, ♥2, ♦7, ♠2, ♦9 | pair
♣J, ♥2, ♦7, ♠2, ♦8 | pair
♣J, ♥2, ♦7, ♠2, ♠K | pair
♣J, ♥2, ♦9, ♠2, ♥4 | pair
♣J, ♥2, ♦9, ♠2, ♥6 | pair
♣J, ♥2, ♦9, ♠2, ♦9 | two pairs
♣J, ♥2, ♦9, ♠2, ♦8 | pair
♣J, ♥2, ♦9, ♠2, ♠K | pair
♣J, ♥2, ♦9, ♥4, ♦9 | pair
♣J, ♥2, ♦9, ♥6, ♦9 | pair
♣J, ♥2, ♦9, ♦9, ♦8 | pair
♣J, ♥2, ♦9, ♦9, ♠K | pair
♣J, ♥2, ♠2, ♥4, ♥6 | pair
♣J, ♥2, ♠2, ♥4, ♦9 | pair
♣J, ♥2, ♠2, ♥4, ♦8 | pair
♣J, ♥2, ♠2, ♥4, ♠K | pair
♣J, ♥2, ♠2, ♥6, ♦9 | pair
♣J, ♥2, ♠2, ♥6, ♦8 | pair
♣J, ♥2, ♠2, ♥6, ♠K | pair
♣J, ♥2, ♠2, ♦9, ♦8 | pair
♣J, ♥2, ♠2, ♦9, ♠K | pair
♣J, ♥2, ♠2, ♦8, ♠K | pair
♣J, ♣8, ♦7, ♦9, ♦9 | pair
♣J, ♣8, ♦7, ♦9, ♦8 | pair
♣J, ♣8, ♦7, ♠2, ♦8 | pair
♣J, ♣8, ♦7, ♥4, ♦8 | pair
♣J, ♣8, ♦7, ♥6, ♦8 | pair
♣J, ♣8, ♦7, ♦9, ♦8 | pair
♣J, ♣8, ♦7, ♦8, ♠K | pair
♣J, ♣8, ♦9, ♠2, ♦9 | pair
♣J, ♣8, ♦9, ♠2, ♦8 | pair
♣J, ♣8, ♦9, ♥4, ♦9 | pair
♣J, ♣8, ♦9, ♥4, ♦8 | pair
♣J, ♣8, ♦9, ♥6, ♦9 | pair
♣J, ♣8, ♦9, ♥6, ♦8 | pair
♣J, ♣8, ♦9, ♦9, ♦8 | two pairs
♣J, ♣8, ♦9, ♦9, ♠K | pair
♣J, ♣8, ♦9, ♦8, ♠K | pair
♣J, ♣8, ♠2, ♥4, ♦8 | pair
♣J, ♣8, ♠2, ♥6, ♦8 | pair
♣J, ♣8, ♠2, ♦9, ♦8 | pair
♣J, ♣8, ♠2, ♦8, ♠K | pair
♣J, ♣8, ♥4, ♥6, ♦8 | pair
♣J, ♣8, ♥4, ♦9, ♦8 | pair
♣J, ♣8, ♥4, ♦8, ♠K | pair
♣J, ♣8, ♥6, ♦9, ♦8 | pair
♣J, ♣8, ♥6, ♦8, ♠K | pair
♣J, ♣8, ♦9, ♦8, ♠K | pair
♣J, ♦7, ♦9, ♠2, ♦9 | pair
♣J, ♦7, ♦9, ♥4, ♦9 | pair
♣J, ♦7, ♦9, ♥6, ♦9 | pair
♣J, ♦7, ♦9, ♦9, ♦8 | pair
♣J, ♦7, ♦9, ♦9, ♠K | pair
♣J, ♦9, ♠2, ♥4, ♦9 | pair
♣J, ♦9, ♠2, ♥6, ♦9 | pair
♣J, ♦9, ♠2, ♦9, ♦8 | pair
♣J, ♦9, ♠2, ♦9, ♠K | pair
♣J, ♦9, ♥4, ♥6, ♦9 | pair
♣J, ♦9, ♥4, ♦9, ♦8 | pair
♣J, ♦9, ♥4, ♦9, ♠K | pair
♣J, ♦9, ♥6, ♦9, ♦8 | pair
♣J, ♦9, ♥6, ♦9, ♠K | pair
♣J, ♦9, ♦9, ♦8, ♠K | pair
♦4, ♥10, ♥2, ♣8, ♠2 | pair
♦4, ♥10, ♥2, ♣8, ♥4 | pair
♦4, ♥10, ♥2, ♣8, ♦8 | pair
♦4, ♥10, ♥2, ♦7, ♠2 | pair
♦4, ♥10, ♥2, ♦7, ♥4 | pair
♦4, ♥10, ♥2, ♦9, ♠2 | pair
♦4, ♥10, ♥2, ♦9, ♥4 | pair
♦4, ♥10, ♥2, ♦9, ♦9 | pair
♦4, ♥10, ♥2, ♠2, ♥4 | two pairs
♦4, ♥10, ♥2, ♠2, ♥6 | pair
♦4, ♥10, ♥2, ♠2, ♦9 | pair
♦4, ♥10, ♥2, ♠2, ♦8 | pair
♦4, ♥10, ♥2, ♠2, ♠K | pair
♦4, ♥10, ♥2, ♥4, ♥6 | pair
♦4, ♥10, ♥2, ♥4, ♦9 | pair
♦4, ♥10, ♥2, ♥4, ♦8 | pair
♦4, ♥10, ♥2, ♥4, ♠K | pair
♦4, ♥10, ♣8, ♦7, ♥4 | pair
♦4, ♥10, ♣8, ♦7, ♦8 | pair
♦4, ♥10, ♣8, ♦9, ♥4 | pair
♦4, ♥10, ♣8, ♦9, ♦9 | pair
♦4, ♥10, ♣8, ♦9, ♦8 | pair
♦4, ♥10, ♣8, ♠2, ♥4 | pair
♦4, ♥10, ♣8, ♠2, ♦8 | pair
♦4, ♥10, ♣8, ♥4, ♥6 | pair
♦4, ♥10, ♣8, ♥4, ♦9 | pair
♦4, ♥10, ♣8, ♥4, ♦8 | two pairs
♦4, ♥10, ♣8, ♥4, ♠K | pair
♦4, ♥10, ♣8, ♥6, ♦8 | pair
♦4, ♥10, ♣8, ♦9, ♦8 | pair
♦4, ♥10, ♣8, ♦8, ♠K | pair
♦4, ♥10, ♦7, ♦9, ♥4 | pair
♦4, ♥10, ♦7, ♦9, ♦9 | pair
♦4, ♥10, ♦7, ♠2, ♥4 | pair
♦4, ♥10, ♦7, ♥4, ♥6 | pair
♦4, ♥10, ♦7, ♥4, ♦9 | pair
♦4, ♥10, ♦7, ♥4, ♦8 | pair
♦4, ♥10, ♦7, ♥4, ♠K | pair
♦4, ♥10, ♦9, ♠2, ♥4 | pair
♦4, ♥10, ♦9, ♠2, ♦9 | pair
♦4, ♥10, ♦9, ♥4, ♥6 | pair
♦4, ♥10, ♦9, ♥4, ♦9 | two pairs
♦4, ♥10, ♦9, ♥4, ♦8 | pair
♦4, ♥10, ♦9, ♥4, ♠K | pair
♦4, ♥10, ♦9, ♥6, ♦9 | pair
♦4, ♥10, ♦9, ♦9, ♦8 | pair
♦4, ♥10, ♦9, ♦9, ♠K | pair
♦4, ♥10, ♠2, ♥4, ♥6 | pair
♦4, ♥10, ♠2, ♥4, ♦9 | pair
♦4, ♥10, ♠2, ♥4, ♦8 | pair
♦4, ♥10, ♠2, ♥4, ♠K | pair
♦4, ♥10, ♥4, ♥6, ♦9 | pair
♦4, ♥10, ♥4, ♥6, ♦8 | pair
♦4, ♥10, ♥4, ♥6, ♠K | pair
♦4, ♥10, ♥4, ♦9, ♦8 | pair
♦4, ♥10, ♥4, ♦9, ♠K | pair
♦4, ♥10, ♥4, ♦8, ♠K | pair
♦4, ♥2, ♣8, ♦7, ♠2 | pair
♦4, ♥2, ♣8, ♦7, ♥4 | pair
♦4, ♥2, ♣8, ♦7, ♦8 | pair
♦4, ♥2, ♣8, ♦9, ♠2 | pair
♦4, ♥2, ♣8, ♦9, ♥4 | pair
♦4, ♥2, ♣8, ♦9, ♦9 | pair
♦4, ♥2, ♣8, ♦9, ♦8 | pair
♦4, ♥2, ♣8, ♠2, ♥4 | two pairs
♦4, ♥2, ♣8, ♠2, ♥6 | pair
♦4, ♥2, ♣8, ♠2, ♦9 | pair
♦4, ♥2, ♣8, ♠2, ♦8 | two pairs
♦4, ♥2, ♣8, ♠2, ♠K | pair
♦4, ♥2, ♣8, ♥4, ♥6 | pair
♦4, ♥2, ♣8, ♥4, ♦9 | pair
♦4, ♥2, ♣8, ♥4, ♦8 | two pairs
♦4, ♥2, ♣8, ♥4, ♠K | pair
♦4, ♥2, ♣8, ♥6, ♦8 | pair
♦4, ♥2, ♣8, ♦9, ♦8 | pair
♦4, ♥2, ♣8, ♦8, ♠K | pair
♦4, ♥2, ♦7, ♦9, ♠2 | pair
♦4, ♥2, ♦7, ♦9, ♥4 | pair
♦4, ♥2, ♦7, ♦9, ♦9 | pair
♦4, ♥2, ♦7, ♠2, ♥4 | two pairs
♦4, ♥2, ♦7, ♠2, ♥6 | pair
♦4, ♥2, ♦7, ♠2, ♦9 | pair
♦4, ♥2, ♦7, ♠2, ♦8 | pair
♦4, ♥2, ♦7, ♠2, ♠K | pair
♦4, ♥2, ♦7, ♥4, ♥6 | pair
♦4, ♥2, ♦7, ♥4, ♦9 | pair
♦4, ♥2, ♦7, ♥4, ♦8 | pair
♦4, ♥2, ♦7, ♥4, ♠K | pair
♦4, ♥2, ♦9, ♠2, ♥4 | two pairs
♦4, ♥2, ♦9, ♠2, ♥6 | pair
♦4, ♥2, ♦9, ♠2, ♦9 | two pairs
♦4, ♥2, ♦9, ♠2, ♦8 | pair
♦4, ♥2, ♦9, ♠2, ♠K | pair
♦4, ♥2, ♦9, ♥4, ♥6 | pair
♦4, ♥2, ♦9, ♥4, ♦9 | two pairs
♦4, ♥2, ♦9, ♥4, ♦8 | pair
♦4, ♥2, ♦9, ♥4, ♠K | pair
♦4, ♥2, ♦9, ♥6, ♦9 | pair
♦4, ♥2, ♦9, ♦9, ♦8 | pair
♦4, ♥2, ♦9, ♦9, ♠K | pair
♦4, ♥2, ♠2, ♥4, ♥6 | two pairs
♦4, ♥2, ♠2, ♥4, ♦9 | two pairs
♦4, ♥2, ♠2, ♥4, ♦8 | two pairs
♦4, ♥2, ♠2, ♥4, ♠K | two pairs
♦4, ♥2, ♠2, ♥6, ♦9 | pair
♦4, ♥2, ♠2, ♥6, ♦8 | pair
♦4, ♥2, ♠2, ♥6, ♠K | pair
♦4, ♥2, ♠2, ♦9, ♦8 | pair
♦4, ♥2, ♠2, ♦9, ♠K | pair
♦4, ♥2, ♠2, ♦8, ♠K | pair
♦4, ♥2, ♥4, ♥6, ♦9 | pair
♦4, ♥2, ♥4, ♥6, ♦8 | pair
♦4, ♥2, ♥4, ♥6, ♠K | pair
♦4, ♥2, ♥4, ♦9, ♦8 | pair
♦4, ♥2, ♥4, ♦9, ♠K | pair
♦4, ♥2, ♥4, ♦8, ♠K | pair
♦4, ♣8, ♦7, ♦9, ♥4 | pair
♦4, ♣8, ♦7, ♦9, ♦9 | pair
♦4, ♣8, ♦7, ♦9, ♦8 | pair
♦4, ♣8, ♦7, ♠2, ♥4 | pair
♦4, ♣8, ♦7, ♠2, ♦8 | pair
♦4, ♣8, ♦7, ♥4, ♥6 | pair
♦4, ♣8, ♦7, ♥4, ♦9 | pair
♦4, ♣8, ♦7, ♥4, ♦8 | two pairs
♦4, ♣8, ♦7, ♥4, ♠K | pair
♦4, ♣8, ♦7, ♥6, ♦8 | pair
♦4, ♣8, ♦7, ♦9, ♦8 | pair
♦4, ♣8, ♦7, ♦8, ♠K | pair
♦4, ♣8, ♦9, ♠2, ♥4 | pair
♦4, ♣8, ♦9, ♠2, ♦9 | pair
♦4, ♣8, ♦9, ♠2, ♦8 | pair
♦4, ♣8, ♦9, ♥4, ♥6 | pair
♦4, ♣8, ♦9, ♥4, ♦9 | two pairs
♦4, ♣8, ♦9, ♥4, ♦8 | two pairs
♦4, ♣8, ♦9, ♥4, ♠K | pair
♦4, ♣8, ♦9, ♥6, ♦9 | pair
♦4, ♣8, ♦9, ♥6, ♦8 | pair
♦4, ♣8, ♦9, ♦9, ♦8 | two pairs
♦4, ♣8, ♦9, ♦9, ♠K | pair
♦4, ♣8, ♦9, ♦8, ♠K | pair
♦4, ♣8, ♠2, ♥4, ♥6 | pair
♦4, ♣8, ♠2, ♥4, ♦9 | pair
♦4, ♣8, ♠2, ♥4, ♦8 | two pairs
♦4, ♣8, ♠2, ♥4, ♠K | pair
♦4, ♣8, ♠2, ♥6, ♦8 | pair
♦4, ♣8, ♠2, ♦9, ♦8 | pair
♦4, ♣8, ♠2, ♦8, ♠K | pair
♦4, ♣8, ♥4, ♥6, ♦9 | pair
♦4, ♣8, ♥4, ♥6, ♦8 | two pairs
♦4, ♣8, ♥4, ♥6, ♠K | pair
♦4, ♣8, ♥4, ♦9, ♦8 | two pairs
♦4, ♣8, ♥4, ♦9, ♠K | pair
♦4, ♣8, ♥4, ♦8, ♠K | two pairs
♦4, ♣8, ♥6, ♦9, ♦8 | pair
♦4, ♣8, ♥6, ♦8, ♠K | pair
♦4, ♣8, ♦9, ♦8, ♠K | pair
♦4, ♦7, ♦9, ♠2, ♥4 | pair
♦4, ♦7, ♦9, ♠2, ♦9 | pair
♦4, ♦7, ♦9, ♥4, ♥6 | pair
♦4, ♦7, ♦9, ♥4, ♦9 | two pairs
♦4, ♦7, ♦9, ♥4, ♦8 | pair
♦4, ♦7, ♦9, ♥4, ♠K | pair
♦4, ♦7, ♦9, ♥6, ♦9 | pair
♦4, ♦7, ♦9, ♦9, ♦8 | flush
♦4, ♦7, ♦9, ♦9, ♠K | pair
♦4, ♦7, ♠2, ♥4, ♥6 | pair
♦4, ♦7, ♠2, ♥4, ♦9 | pair
♦4, ♦7, ♠2, ♥4, ♦8 | pair
♦4, ♦7, ♠2, ♥4, ♠K | pair
♦4, ♦7, ♥4, ♥6, ♦9 | pair
♦4, ♦7, ♥4, ♥6, ♦8 | pair
♦4, ♦7, ♥4, ♥6, ♠K | pair
♦4, ♦7, ♥4, ♦9, ♦8 | pair
♦4, ♦7, ♥4, ♦9, ♠K | pair
♦4, ♦7, ♥4, ♦8, ♠K | pair
♦4, ♦9, ♠2, ♥4, ♥6 | pair
♦4, ♦9, ♠2, ♥4, ♦9 | two pairs
♦4, ♦9, ♠2, ♥4, ♦8 | pair
♦4, ♦9, ♠2, ♥4, ♠K | pair
♦4, ♦9, ♠2, ♥6, ♦9 | pair
♦4, ♦9, ♠2, ♦9, ♦8 | pair
♦4, ♦9, ♠2, ♦9, ♠K | pair
♦4, ♦9, ♥4, ♥6, ♦9 | two pairs
♦4, ♦9, ♥4, ♥6, ♦8 | pair
♦4, ♦9, ♥4, ♥6, ♠K | pair
♦4, ♦9, ♥4, ♦9, ♦8 | two pairs
♦4, ♦9, ♥4, ♦9, ♠K | two pairs
♦4, ♦9, ♥4, ♦8, ♠K | pair
♦4, ♦9, ♥6, ♦9, ♦8 | pair
♦4, ♦9, ♥6, ♦9, ♠K | pair
♦4, ♦9, ♦9, ♦8, ♠K | pair
♦4, ♠2, ♥4, ♥6, ♦9 | pair
♦4, ♠2, ♥4, ♥6, ♦8 | pair
♦4, ♠2, ♥4, ♥6, ♠K | pair
♦4, ♠2, ♥4, ♦9, ♦8 | pair
♦4, ♠2, ♥4, ♦9, ♠K | pair
♦4, ♠2, ♥4, ♦8, ♠K | pair
♦4, ♥4, ♥6, ♦9, ♦8 | pair
♦4, ♥4, ♥6, ♦9, ♠K | pair
♦4, ♥4, ♥6, ♦8, ♠K | pair
♦4, ♥4, ♦9, ♦8, ♠K | pair
♥10, ♥2, ♣8, ♦7, ♠2 | pair
♥10, ♥2, ♣8, ♦7, ♦8 | pair
♥10, ♥2, ♣8, ♦9, ♠2 | pair
♥10, ♥2, ♣8, ♦9, ♦9 | pair
♥10, ♥2, ♣8, ♦9, ♦8 | pair
♥10, ♥2, ♣8, ♠2, ♥4 | pair
♥10, ♥2, ♣8, ♠2, ♥6 | pair
♥10, ♥2, ♣8, ♠2, ♦9 | pair
♥10, ♥2, ♣8, ♠2, ♦8 | two pairs
♥10, ♥2, ♣8, ♠2, ♠K | pair
♥10, ♥2, ♣8, ♥4, ♦8 | pair
♥10, ♥2, ♣8, ♥6, ♦8 | pair
♥10, ♥2, ♣8, ♦9, ♦8 | pair
♥10, ♥2, ♣8, ♦8, ♠K | pair
♥10, ♥2, ♦7, ♦9, ♠2 | pair
♥10, ♥2, ♦7, ♦9, ♦9 | pair
♥10, ♥2, ♦7, ♠2, ♥4 | pair
♥10, ♥2, ♦7, ♠2, ♥6 | pair
♥10, ♥2, ♦7, ♠2, ♦9 | pair
♥10, ♥2, ♦7, ♠2, ♦8 | pair
♥10, ♥2, ♦7, ♠2, ♠K | pair
♥10, ♥2, ♦9, ♠2, ♥4 | pair
♥10, ♥2, ♦9, ♠2, ♥6 | pair
♥10, ♥2, ♦9, ♠2, ♦9 | two pairs
♥10, ♥2, ♦9, ♠2, ♦8 | pair
♥10, ♥2, ♦9, ♠2, ♠K | pair
♥10, ♥2, ♦9, ♥4, ♦9 | pair
♥10, ♥2, ♦9, ♥6, ♦9 | pair
♥10, ♥2, ♦9, ♦9, ♦8 | pair
♥10, ♥2, ♦9, ♦9, ♠K | pair
♥10, ♥2, ♠2, ♥4, ♥6 | pair
♥10, ♥2, ♠2, ♥4, ♦9 | pair
♥10, ♥2, ♠2, ♥4, ♦8 | pair
♥10, ♥2, ♠2, ♥4, ♠K | pair
♥10, ♥2, ♠2, ♥6, ♦9 | pair
♥10, ♥2, ♠2, ♥6, ♦8 | pair
♥10, ♥2, ♠2, ♥6, ♠K | pair
♥10, ♥2, ♠2, ♦9, ♦8 | pair
♥10, ♥2, ♠2, ♦9, ♠K | pair
♥10, ♥2, ♠2, ♦8, ♠K | pair
♥10, ♣8, ♦7, ♦9, ♥6 | straight
♥10, ♣8, ♦7, ♦9, ♦9 | pair
♥10, ♣8, ♦7, ♦9, ♦8 | pair
♥10, ♣8, ♦7, ♠2, ♦8 | pair
♥10, ♣8, ♦7, ♥4, ♦8 | pair
♥10, ♣8, ♦7, ♥6, ♦9 | straight
♥10, ♣8, ♦7, ♥6, ♦8 | pair
♥10, ♣8, ♦7, ♦9, ♦8 | pair
♥10, ♣8, ♦7, ♦8, ♠K | pair
♥10, ♣8, ♦9, ♠2, ♦9 | pair
♥10, ♣8, ♦9, ♠2, ♦8 | pair
♥10, ♣8, ♦9, ♥4, ♦9 | pair
♥10, ♣8, ♦9, ♥4, ♦8 | pair
♥10, ♣8, ♦9, ♥6, ♦9 | pair
♥10, ♣8, ♦9, ♥6, ♦8 | pair
♥10, ♣8, ♦9, ♦9, ♦8 | two pairs
♥10, ♣8, ♦9, ♦9, ♠K | pair
♥10, ♣8, ♦9, ♦8, ♠K | pair
♥10, ♣8, ♠2, ♥4, ♦8 | pair
♥10, ♣8, ♠2, ♥6, ♦8 | pair
♥10, ♣8, ♠2, ♦9, ♦8 | pair
♥10, ♣8, ♠2, ♦8, ♠K | pair
♥10, ♣8, ♥4, ♥6, ♦8 | pair
♥10, ♣8, ♥4, ♦9, ♦8 | pair
♥10, ♣8, ♥4, ♦8, ♠K | pair
♥10, ♣8, ♥6, ♦9, ♦8 | pair
♥10, ♣8, ♥6, ♦8, ♠K | pair
♥10, ♣8, ♦9, ♦8, ♠K | pair
♥10, ♦7, ♦9, ♠2, ♦9 | pair
♥10, ♦7, ♦9, ♥4, ♦9 | pair
♥10, ♦7, ♦9, ♥6, ♦9 | pair
♥10, ♦7, ♦9, ♥6, ♦8 | straight
♥10, ♦7, ♦9, ♦9, ♦8 | pair
♥10, ♦7, ♦9, ♦9, ♠K | pair
♥10, ♦7, ♥6, ♦9, ♦8 | straight
♥10, ♦9, ♠2, ♥4, ♦9 | pair
♥10, ♦9, ♠2, ♥6, ♦9 | pair
♥10, ♦9, ♠2, ♦9, ♦8 | pair
♥10, ♦9, ♠2, ♦9, ♠K | pair
♥10, ♦9, ♥4, ♥6, ♦9 | pair
♥10, ♦9, ♥4, ♦9, ♦8 | pair
♥10, ♦9, ♥4, ♦9, ♠K | pair
♥10, ♦9, ♥6, ♦9, ♦8 | pair
♥10, ♦9, ♥6, ♦9, ♠K | pair
♥10, ♦9, ♦9, ♦8, ♠K | pair
♥2, ♣8, ♦7, ♦9, ♠2 | pair
♥2, ♣8, ♦7, ♦9, ♦9 | pair
♥2, ♣8, ♦7, ♦9, ♦8 | pair
♥2, ♣8, ♦7, ♠2, ♥4 | pair
♥2, ♣8, ♦7, ♠2, ♥6 | pair
♥2, ♣8, ♦7, ♠2, ♦9 | pair
♥2, ♣8, ♦7, ♠2, ♦8 | two pairs
♥2, ♣8, ♦7, ♠2, ♠K | pair
♥2, ♣8, ♦7, ♥4, ♦8 | pair
♥2, ♣8, ♦7, ♥6, ♦8 | pair
♥2, ♣8, ♦7, ♦9, ♦8 | pair
♥2, ♣8, ♦7, ♦8, ♠K | pair
♥2, ♣8, ♦9, ♠2, ♥4 | pair
♥2, ♣8, ♦9, ♠2, ♥6 | pair
♥2, ♣8, ♦9, ♠2, ♦9 | two pairs
♥2, ♣8, ♦9, ♠2, ♦8 | two pairs
♥2, ♣8, ♦9, ♠2, ♠K | pair
♥2, ♣8, ♦9, ♥4, ♦9 | pair
♥2, ♣8, ♦9, ♥4, ♦8 | pair
♥2, ♣8, ♦9, ♥6, ♦9 | pair
♥2, ♣8, ♦9, ♥6, ♦8 | pair
♥2, ♣8, ♦9, ♦9, ♦8 | two pairs
♥2, ♣8, ♦9, ♦9, ♠K | pair
♥2, ♣8, ♦9, ♦8, ♠K | pair
♥2, ♣8, ♠2, ♥4, ♥6 | pair
♥2, ♣8, ♠2, ♥4, ♦9 | pair
♥2, ♣8, ♠2, ♥4, ♦8 | two pairs
♥2, ♣8, ♠2, ♥4, ♠K | pair
♥2, ♣8, ♠2, ♥6, ♦9 | pair
♥2, ♣8, ♠2, ♥6, ♦8 | two pairs
♥2, ♣8, ♠2, ♥6, ♠K | pair
♥2, ♣8, ♠2, ♦9, ♦8 | two pairs
♥2, ♣8, ♠2, ♦9, ♠K | pair
♥2, ♣8, ♠2, ♦8, ♠K | two pairs
♥2, ♣8, ♥4, ♥6, ♦8 | pair
♥2, ♣8, ♥4, ♦9, ♦8 | pair
♥2, ♣8, ♥4, ♦8, ♠K | pair
♥2, ♣8, ♥6, ♦9, ♦8 | pair
♥2, ♣8, ♥6, ♦8, ♠K | pair
♥2, ♣8, ♦9, ♦8, ♠K | pair
♥2, ♦7, ♦9, ♠2, ♥4 | pair
♥2, ♦7, ♦9, ♠2, ♥6 | pair
♥2, ♦7, ♦9, ♠2, ♦9 | two pairs
♥2, ♦7, ♦9, ♠2, ♦8 | pair
♥2, ♦7, ♦9, ♠2, ♠K | pair
♥2, ♦7, ♦9, ♥4, ♦9 | pair
♥2, ♦7, ♦9, ♥6, ♦9 | pair
♥2, ♦7, ♦9, ♦9, ♦8 | pair
♥2, ♦7, ♦9, ♦9, ♠K | pair
♥2, ♦7, ♠2, ♥4, ♥6 | pair
♥2, ♦7, ♠2, ♥4, ♦9 | pair
♥2, ♦7, ♠2, ♥4, ♦8 | pair
♥2, ♦7, ♠2, ♥4, ♠K | pair
♥2, ♦7, ♠2, ♥6, ♦9 | pair
♥2, ♦7, ♠2, ♥6, ♦8 | pair
♥2, ♦7, ♠2, ♥6, ♠K | pair
♥2, ♦7, ♠2, ♦9, ♦8 | pair
♥2, ♦7, ♠2, ♦9, ♠K | pair
♥2, ♦7, ♠2, ♦8, ♠K | pair
♥2, ♦9, ♠2, ♥4, ♥6 | pair
♥2, ♦9, ♠2, ♥4, ♦9 | two pairs
♥2, ♦9, ♠2, ♥4, ♦8 | pair
♥2, ♦9, ♠2, ♥4, ♠K | pair
♥2, ♦9, ♠2, ♥6, ♦9 | two pairs
♥2, ♦9, ♠2, ♥6, ♦8 | pair
♥2, ♦9, ♠2, ♥6, ♠K | pair
♥2, ♦9, ♠2, ♦9, ♦8 | two pairs
♥2, ♦9, ♠2, ♦9, ♠K | two pairs
♥2, ♦9, ♠2, ♦8, ♠K | pair
♥2, ♦9, ♥4, ♥6, ♦9 | pair
♥2, ♦9, ♥4, ♦9, ♦8 | pair
♥2, ♦9, ♥4, ♦9, ♠K | pair
♥2, ♦9, ♥6, ♦9, ♦8 | pair
♥2, ♦9, ♥6, ♦9, ♠K | pair
♥2, ♦9, ♦9, ♦8, ♠K | pair
♥2, ♠2, ♥4, ♥6, ♦9 | pair
♥2, ♠2, ♥4, ♥6, ♦8 | pair
♥2, ♠2, ♥4, ♥6, ♠K | pair
♥2, ♠2, ♥4, ♦9, ♦8 | pair
♥2, ♠2, ♥4, ♦9, ♠K | pair
♥2, ♠2, ♥4, ♦8, ♠K | pair
♥2, ♠2, ♥6, ♦9, ♦8 | pair
♥2, ♠2, ♥6, ♦9, ♠K | pair
♥2, ♠2, ♥6, ♦8, ♠K | pair
♥2, ♠2, ♦9, ♦8, ♠K | pair
♣8, ♦7, ♦9, ♠2, ♦9 | pair
♣8, ♦7, ♦9, ♠2, ♦8 | pair
♣8, ♦7, ♦9, ♥4, ♦9 | pair
♣8, ♦7, ♦9, ♥4, ♦8 | pair
♣8, ♦7, ♦9, ♥6, ♦9 | pair
♣8, ♦7, ♦9, ♥6, ♦8 | pair
♣8, ♦7, ♦9, ♦9, ♦8 | two pairs
♣8, ♦7, ♦9, ♦9, ♠K | pair
♣8, ♦7, ♦9, ♦8, ♠K | pair
♣8, ♦7, ♠2, ♥4, ♦8 | pair
♣8, ♦7, ♠2, ♥6, ♦8 | pair
♣8, ♦7, ♠2, ♦9, ♦8 | pair
♣8, ♦7, ♠2, ♦8, ♠K | pair
♣8, ♦7, ♥4, ♥6, ♦8 | pair
♣8, ♦7, ♥4, ♦9, ♦8 | pair
♣8, ♦7, ♥4, ♦8, ♠K | pair
♣8, ♦7, ♥6, ♦9, ♦8 | pair
♣8, ♦7, ♥6, ♦8, ♠K | pair
♣8, ♦7, ♦9, ♦8, ♠K | pair
♣8, ♦9, ♠2, ♥4, ♦9 | pair
♣8, ♦9, ♠2, ♥4, ♦8 | pair
♣8, ♦9, ♠2, ♥6, ♦9 | pair
♣8, ♦9, ♠2, ♥6, ♦8 | pair
♣8, ♦9, ♠2, ♦9, ♦8 | two pairs
♣8, ♦9, ♠2, ♦9, ♠K | pair
♣8, ♦9, ♠2, ♦8, ♠K | pair
♣8, ♦9, ♥4, ♥6, ♦9 | pair
♣8, ♦9, ♥4, ♥6, ♦8 | pair
♣8, ♦9, ♥4, ♦9, ♦8 | two pairs
♣8, ♦9, ♥4, ♦9, ♠K | pair
♣8, ♦9, ♥4, ♦8, ♠K | pair
♣8, ♦9, ♥6, ♦9, ♦8 | two pairs
♣8, ♦9, ♥6, ♦9, ♠K | pair
♣8, ♦9, ♥6, ♦8, ♠K | pair
♣8, ♦9, ♦9, ♦8, ♠K | two pairs
♣8, ♠2, ♥4, ♥6, ♦8 | pair
♣8, ♠2, ♥4, ♦9, ♦8 | pair
♣8, ♠2, ♥4, ♦8, ♠K | pair
♣8, ♠2, ♥6, ♦9, ♦8 | pair
♣8, ♠2, ♥6, ♦8, ♠K | pair
♣8, ♠2, ♦9, ♦8, ♠K | pair
♣8, ♥4, ♥6, ♦9, ♦8 | pair
♣8, ♥4, ♥6, ♦8, ♠K | pair
♣8, ♥4, ♦9, ♦8, ♠K | pair
♣8, ♥6, ♦9, ♦8, ♠K | pair
♦7, ♦9, ♠2, ♥4, ♦9 | pair
♦7, ♦9, ♠2, ♥6, ♦9 | pair
♦7, ♦9, ♠2, ♦9, ♦8 | pair
♦7, ♦9, ♠2, ♦9, ♠K | pair
♦7, ♦9, ♥4, ♥6, ♦9 | pair
♦7, ♦9, ♥4, ♦9, ♦8 | pair
