♣2, ♠3, ♥A, ♠10, ♥3 | pair
♠3, ♥A, ♦8, ♣A, ♠Q | pair
♠3, ♥A, ♦8, ♣A, ♠K | pair
♠3, ♥A, ♦8, ♣A, ♦Q | pair
♠3, ♥A, ♦8, ♣A, ♣A | three of a kind
♠3, ♥A, ♦8, ♣A, ♠8 | two pairs
♠3, ♥A, ♦8, ♣A, ♦9 | pair
♠3, ♥A, ♦8, ♠Q, ♦Q | pair
♠3, ♥A, ♦8, ♠Q, ♣A | pair
♠3, ♥A, ♦8, ♠Q, ♠8 | pair
♠3, ♥A, ♦8, ♠K, ♣A | pair
♠3, ♥A, ♦8, ♠K, ♠8 | pair
♠3, ♥A, ♦8, ♦Q, ♣A | pair
♠3, ♥A, ♦8, ♦Q, ♠8 | pair
♠3, ♥A, ♦8, ♣A, ♠8 | two pairs
♠3, ♥A, ♦8, ♣A, ♦9 | pair
♠3, ♥A, ♦8, ♠8, ♦9 | pair
♠3, ♥A, ♥7, ♥3, ♣A | two pairs
♠3, ♥A, ♥7, ♥3, ♠Q | pair
♠3, ♥A, ♥7, ♥3, ♠K | pair
♠3, ♥A, ♥7, ♥3, ♦Q | pair
♠3, ♥A, ♥7, ♥3, ♣A | two pairs
♠3, ♥A, ♥7, ♥3, ♠8 | pair
♠3, ♥A, ♥7, ♥3, ♦9 | pair
♠3, ♥A, ♥7, ♣A, ♠Q | pair
♠3, ♥A, ♥7, ♣A, ♠K | pair
♠3, ♥A, ♥7, ♣A, ♦Q | pair
♠3, ♥A, ♥7, ♣A, ♣A | three of a kind
♠3, ♥A, ♥7, ♣A, ♠8 | pair
♠3, ♥A, ♥7, ♣A, ♦9 | pair
♠3, ♥A, ♥7, ♠Q, ♦Q | pair
♠3, ♥A, ♥7, ♠Q, ♣A | pair
♠3, ♥A, ♥7, ♠K, ♣A | pair
♠3, ♥A, ♥7, ♦Q, ♣A | pair
♠3, ♥A, ♥7, ♣A, ♠8 | pair
♠3, ♥A, ♥7, ♣A, ♦9 | pair
♠3, ♥A, ♥3, ♣A, ♠Q | two pairs
♠3, ♥A, ♥3, ♣A, ♠K | two pairs
♠3, ♥A, ♥3, ♣A, ♦Q | two pairs
♠3, ♥A, ♥3, ♣A, ♣A | fullhouse
♠3, ♥A, ♥3, ♣A, ♠8 | two pairs
♠3, ♥A, ♥3, ♣A, ♦9 | two pairs
♠3, ♥A, ♥3, ♠Q, ♠K | pair
♠3, ♥A, ♥3, ♠Q, ♦Q | two pairs
♠3, ♥A, ♥3, ♠Q, ♣A | two pairs
♠3, ♥A, ♥3, ♠Q, ♠8 | pair
♠3, ♥A, ♥3, ♠Q, ♦9 | pair
♠3, ♥A, ♥3, ♠K, ♦Q | pair
♠3, ♥A, ♥3, ♠K, ♣A | two pairs
♠3, ♥A, ♥3, ♠K, ♠8 | pair
♠3, ♥A, ♥3, ♠K, ♦9 | pair
♠3, ♥A, ♥3, ♦Q, ♣A | two pairs
♠3, ♥A, ♥3, ♦Q, ♠8 | pair
♠3, ♥A, ♥3, ♦Q, ♦9 | pair
♠3, ♥A, ♥3, ♣A, ♠8 | two pairs
♠3, ♥A, ♥3, ♣A, ♦9 | two pairs
♠3, ♥A, ♥3, ♠8, ♦9 | pair
♠3, ♥A, ♣A, ♠Q, ♠K | pair
♠3, ♥A, ♣A, ♠Q, ♦Q | two pairs
♠3, ♥A, ♣A, ♠Q, ♣A | three of a kind
♠3, ♥A, ♣A, ♠Q, ♠8 | pair
♠3, ♥A, ♣A, ♠Q, ♦9 | pair
♠3, ♥A, ♣A, ♠K, ♦Q | pair
♠3, ♥A, ♣A, ♠K, ♣A | three of a kind
♠3, ♥A, ♣A, ♠K, ♠8 | pair
♠3, ♥A, ♣A, ♠K, ♦9 | pair
♠3, ♥A, ♣A, ♦Q, ♣A | three of a kind
♠3, ♥A, ♣A, ♦Q, ♠8 | pair
♠3, ♥A, ♣A, ♦Q, ♦9 | pair
♠3, ♥A, ♣A, ♣A, ♠8 | three of a kind
♠3, ♥A, ♣A, ♣A, ♦9 | three of a kind
♠3, ♥A, ♣A, ♠8, ♦9 | pair
♠3, ♥A, ♠Q, ♠K, ♦Q | pair
♠3, ♥A, ♠Q, ♠K, ♣A | pair
♠3, ♥A, ♠Q, ♦Q, ♣A | two pairs
♠3, ♥A, ♠Q, ♦Q, ♠8 | pair
♠3, ♥A, ♠Q, ♦Q, ♦9 | pair
♠3, ♥A, ♠Q, ♣A, ♠8 | pair
♠3, ♥A, ♠Q, ♣A, ♦9 | pair
♠3, ♥A, ♠K, ♦Q, ♣A | pair
♠3, ♥A, ♠K, ♣A, ♠8 | pair
♠3, ♥A, ♠K, ♣A, ♦9 | pair
♠3, ♥A, ♦Q, ♣A, ♠8 | pair
♠3, ♥A, ♦Q, ♣A, ♦9 | pair
♠3, ♥A, ♣A, ♠8, ♦9 | pair
♠3, ♠10, ♠K, ♦8, ♥3 | pair
♠3, ♠10, ♠K, ♦8, ♠K | pair
♠3, ♠10, ♠K, ♦8, ♠8 | pair
♠3, ♠10, ♠K, ♥7, ♥3 | pair
♠3, ♠10, ♠K, ♥7, ♠K | pair
♠3, ♠10, ♠K, ♥3, ♣A | pair
♠3, ♠10, ♠K, ♥3, ♠Q | pair
♠3, ♠10, ♠K, ♥3, ♠K | two pairs
♠3, ♠10, ♠K, ♥3, ♦Q | pair
♠3, ♠10, ♠K, ♥3, ♣A | pair
♠3, ♠10, ♠K, ♥3, ♠8 | pair
♠3, ♠10, ♠K, ♥3, ♦9 | pair
♠3, ♠10, ♠K, ♣A, ♠K | pair
♠3, ♠10, ♠K, ♣A, ♣A | pair
♠3, ♠10, ♠K, ♠Q, ♠K | flush
♠3, ♠10, ♠K, ♠Q, ♦Q | pair
♠3, ♠10, ♠K, ♠Q, ♠8 | flush
♠3, ♠10, ♠K, ♠K, ♦Q | pair
♠3, ♠10, ♠K, ♠K, ♣A | pair
♠3, ♠10, ♠K, ♠K, ♠8 | flush
♠3, ♠10, ♠K, ♠K, ♦9 | pair
♠3, ♠10, ♦8, ♥7, ♥3 | pair
♠3, ♠10, ♦8, ♥7, ♠8 | pair
♠3, ♠10, ♦8, ♥3, ♣A | pair
♠3, ♠10, ♦8, ♥3, ♠Q | pair
♠3, ♠10, ♦8, ♥3, ♠K | pair
♠3, ♠10, ♦8, ♥3, ♦Q | pair
♠3, ♠10, ♦8, ♥3, ♣A | pair
♠3, ♠10, ♦8, ♥3, ♠8 | two pairs
♠3, ♠10, ♦8, ♥3, ♦9 | pair
♠3, ♠10, ♦8, ♣A, ♣A | pair
♠3, ♠10, ♦8, ♣A, ♠8 | pair
♠3, ♠10, ♦8, ♠Q, ♦Q | pair
♠3, ♠10, ♦8, ♠Q, ♠8 | pair
♠3, ♠10, ♦8, ♠K, ♠8 | pair
♠3, ♠10, ♦8, ♦Q, ♠8 | pair
♠3, ♠10, ♦8, ♣A, ♠8 | pair
♠3, ♠10, ♦8, ♠8, ♦9 | pair
♠3, ♠10, ♥7, ♥3, ♣A | pair
♠3, ♠10, ♥7, ♥3, ♠Q | pair
♠3, ♠10, ♥7, ♥3, ♠K | pair
♠3, ♠10, ♥7, ♥3, ♦Q | pair
♠3, ♠10, ♥7, ♥3, ♣A | pair
♠3, ♠10, ♥7, ♥3, ♠8 | pair
♠3, ♠10, ♥7, ♥3, ♦9 | pair
♠3, ♠10, ♥7, ♣A, ♣A | pair
♠3, ♠10, ♥7, ♠Q, ♦Q | pair
♠3, ♠10, ♥3, ♣A, ♠Q | pair
♠3, ♠10, ♥3, ♣A, ♠K | pair
♠3, ♠10, ♥3, ♣A, ♦Q | pair
♠3, ♠10, ♥3, ♣A, ♣A | two pairs
♠3, ♠10, ♥3, ♣A, ♠8 | pair
♠3, ♠10, ♥3, ♣A, ♦9 | pair
♠3, ♠10, ♥3, ♠Q, ♠K | pair
♠3, ♠10, ♥3, ♠Q, ♦Q | two pairs
♠3, ♠10, ♥3, ♠Q, ♣A | pair
♠3, ♠10, ♥3, ♠Q, ♠8 | pair
♠3, ♠10, ♥3, ♠Q, ♦9 | pair
♠3, ♠10, ♥3, ♠K, ♦Q | pair
♠3, ♠10, ♥3, ♠K, ♣A | pair
♠3, ♠10, ♥3, ♠K, ♠8 | pair
♠3, ♠10, ♥3, ♠K, ♦9 | pair
♠3, ♠10, ♥3, ♦Q, ♣A | pair
♠3, ♠10, ♥3, ♦Q, ♠8 | pair
♠3, ♠10, ♥3, ♦Q, ♦9 | pair
♠3, ♠10, ♥3, ♣A, ♠8 | pair
♠3, ♠10, ♥3, ♣A, ♦9 | pair
♠3, ♠10, ♥3, ♠8, ♦9 | pair
♠3, ♠10, ♣A, ♠Q, ♦Q | pair
♠3, ♠10, ♣A, ♠Q, ♣A | pair
♠3, ♠10, ♣A, ♠K, ♣A | pair
♠3, ♠10, ♣A, ♦Q, ♣A | pair
♠3, ♠10, ♣A, ♣A, ♠8 | pair
♠3, ♠10, ♣A, ♣A, ♦9 | pair
♠3, ♠10, ♠Q, ♠K, ♦Q | pair
♠3, ♠10, ♠Q, ♠K, ♠8 | flush
♠3, ♠10, ♠Q, ♦Q, ♣A | pair
♠3, ♠10, ♠Q, ♦Q, ♠8 | pair
♠3, ♠10, ♠Q, ♦Q, ♦9 | pair
♠3, ♠K, ♦8, ♥7, ♥3 | pair
♠3, ♠K, ♦8, ♥7, ♠K | pair
♠3, ♠K, ♦8, ♥7, ♠8 | pair
♠3, ♠K, ♦8, ♥3, ♣A | pair
♠3, ♠K, ♦8, ♥3, ♠Q | pair
♠3, ♠K, ♦8, ♥3, ♠K | two pairs
♠3, ♠K, ♦8, ♥3, ♦Q | pair
♠3, ♠K, ♦8, ♥3, ♣A | pair
♠3, ♠K, ♦8, ♥3, ♠8 | two pairs
♠3, ♠K, ♦8, ♥3, ♦9 | pair
♠3, ♠K, ♦8, ♣A, ♠K | pair
♠3, ♠K, ♦8, ♣A, ♣A | pair
♠3, ♠K, ♦8, ♣A, ♠8 | pair
♠3, ♠K, ♦8, ♠Q, ♠K | pair
♠3, ♠K, ♦8, ♠Q, ♦Q | pair
♠3, ♠K, ♦8, ♠Q, ♠8 | pair
♠3, ♠K, ♦8, ♠K, ♦Q | pair
♠3, ♠K, ♦8, ♠K, ♣A | pair
♠3, ♠K, ♦8, ♠K, ♠8 | two pairs
♠3, ♠K, ♦8, ♠K, ♦9 | pair
♠3, ♠K, ♦8, ♦Q, ♠8 | pair
♠3, ♠K, ♦8, ♣A, ♠8 | pair
♠3, ♠K, ♦8, ♠8, ♦9 | pair
♠3, ♠K, ♥7, ♥3, ♣A | pair
♠3, ♠K, ♥7, ♥3, ♠Q | pair
♠3, ♠K, ♥7, ♥3, ♠K | two pairs
♠3, ♠K, ♥7, ♥3, ♦Q | pair
♠3, ♠K, ♥7, ♥3, ♣A | pair
♠3, ♠K, ♥7, ♥3, ♠8 | pair
♠3, ♠K, ♥7, ♥3, ♦9 | pair
♠3, ♠K, ♥7, ♣A, ♠K | pair
♠3, ♠K, ♥7, ♣A, ♣A | pair
♠3, ♠K, ♥7, ♠Q, ♠K | pair
♠3, ♠K, ♥7, ♠Q, ♦Q | pair
♠3, ♠K, ♥7, ♠K, ♦Q | pair
♠3, ♠K, ♥7, ♠K, ♣A | pair
♠3, ♠K, ♥7, ♠K, ♠8 | pair
♠3, ♠K, ♥7, ♠K, ♦9 | pair
♠3, ♠K, ♥3, ♣A, ♠Q | pair
♠3, ♠K, ♥3, ♣A, ♠K | two pairs
♠3, ♠K, ♥3, ♣A, ♦Q | pair
♠3, ♠K, ♥3, ♣A, ♣A | two pairs
♠3, ♠K, ♥3, ♣A, ♠8 | pair
♠3, ♠K, ♥3, ♣A, ♦9 | pair
♠3, ♠K, ♥3, ♠Q, ♠K | two pairs
♠3, ♠K, ♥3, ♠Q, ♦Q | two pairs
♠3, ♠K, ♥3, ♠Q, ♣A | pair
♠3, ♠K, ♥3, ♠Q, ♠8 | pair
♠3, ♠K, ♥3, ♠Q, ♦9 | pair
♠3, ♠K, ♥3, ♠K, ♦Q | two pairs
♠3, ♠K, ♥3, ♠K, ♣A | two pairs
♠3, ♠K, ♥3, ♠K, ♠8 | two pairs
♠3, ♠K, ♥3, ♠K, ♦9 | two pairs
♠3, ♠K, ♥3, ♦Q, ♣A | pair
♠3, ♠K, ♥3, ♦Q, ♠8 | pair
♠3, ♠K, ♥3, ♦Q, ♦9 | pair
♠3, ♠K, ♥3, ♣A, ♠8 | pair
♠3, ♠K, ♥3, ♣A, ♦9 | pair
♠3, ♠K, ♥3, ♠8, ♦9 | pair
♠3, ♠K, ♣A, ♠Q, ♠K | pair
♠3, ♠K, ♣A, ♠Q, ♦Q | pair
♠3, ♠K, ♣A, ♠Q, ♣A | pair
♠3, ♠K, ♣A, ♠K, ♦Q | pair
♠3, ♠K, ♣A, ♠K, ♣A | two pairs
♠3, ♠K, ♣A, ♠K, ♠8 | pair
♠3, ♠K, ♣A, ♠K, ♦9 | pair
♠3, ♠K, ♣A, ♦Q, ♣A | pair
♠3, ♠K, ♣A, ♣A, ♠8 | pair
♠3, ♠K, ♣A, ♣A, ♦9 | pair
♠3, ♠K, ♠Q, ♠K, ♦Q | two pairs
♠3, ♠K, ♠Q, ♠K, ♣A | pair
♠3, ♠K, ♠Q, ♠K, ♠8 | flush
♠3, ♠K, ♠Q, ♠K, ♦9 | pair
♠3, ♠K, ♠Q, ♦Q, ♣A | pair
♠3, ♠K, ♠Q, ♦Q, ♠8 | pair
♠3, ♠K, ♠Q, ♦Q, ♦9 | pair
♠3, ♠K, ♠K, ♦Q, ♣A | pair
♠3, ♠K, ♠K, ♦Q, ♠8 | pair
♠3, ♠K, ♠K, ♦Q, ♦9 | pair
♠3, ♠K, ♠K, ♣A, ♠8 | pair
♠3, ♠K, ♠K, ♣A, ♦9 | pair
♠3, ♠K, ♠K, ♠8, ♦9 | pair
♠3, ♦8, ♥7, ♥3, ♣A | pair
♠3, ♦8, ♥7, ♥3, ♠Q | pair
♠3, ♦8, ♥7, ♥3, ♠K | pair
♠3, ♦8, ♥7, ♥3, ♦Q | pair
♠3, ♦8, ♥7, ♥3, ♣A | pair
♠3, ♦8, ♥7, ♥3, ♠8 | two pairs
♠3, ♦8, ♥7, ♥3, ♦9 | pair
♠3, ♦8, ♥7, ♣A, ♣A | pair
♠3, ♦8, ♥7, ♣A, ♠8 | pair
♠3, ♦8, ♥7, ♠Q, ♦Q | pair
♠3, ♦8, ♥7, ♠Q, ♠8 | pair
♠3, ♦8, ♥7, ♠K, ♠8 | pair
♠3, ♦8, ♥7, ♦Q, ♠8 | pair
♠3, ♦8, ♥7, ♣A, ♠8 | pair
♠3, ♦8, ♥7, ♠8, ♦9 | pair
♠3, ♦8, ♥3, ♣A, ♠Q | pair
♠3, ♦8, ♥3, ♣A, ♠K | pair
♠3, ♦8, ♥3, ♣A, ♦Q | pair
♠3, ♦8, ♥3, ♣A, ♣A | two pairs
♠3, ♦8, ♥3, ♣A, ♠8 | two pairs
♠3, ♦8, ♥3, ♣A, ♦9 | pair
♠3, ♦8, ♥3, ♠Q, ♠K | pair
♠3, ♦8, ♥3, ♠Q, ♦Q | two pairs
♠3, ♦8, ♥3, ♠Q, ♣A | pair
♠3, ♦8, ♥3, ♠Q, ♠8 | two pairs
♠3, ♦8, ♥3, ♠Q, ♦9 | pair
♠3, ♦8, ♥3, ♠K, ♦Q | pair
♠3, ♦8, ♥3, ♠K, ♣A | pair
♠3, ♦8, ♥3, ♠K, ♠8 | two pairs
♠3, ♦8, ♥3, ♠K, ♦9 | pair
♠3, ♦8, ♥3, ♦Q, ♣A | pair
♠3, ♦8, ♥3, ♦Q, ♠8 | two pairs
♠3, ♦8, ♥3, ♦Q, ♦9 | pair
♠3, ♦8, ♥3, ♣A, ♠8 | two pairs
♠3, ♦8, ♥3, ♣A, ♦9 | pair
♠3, ♦8, ♥3, ♠8, ♦9 | two pairs
♠3, ♦8, ♣A, ♠Q, ♦Q | pair
♠3, ♦8, ♣A, ♠Q, ♣A | pair
♠3, ♦8, ♣A, ♠Q, ♠8 | pair
♠3, ♦8, ♣A, ♠K, ♣A | pair
♠3, ♦8, ♣A, ♠K, ♠8 | pair
♠3, ♦8, ♣A, ♦Q, ♣A | pair
♠3, ♦8, ♣A, ♦Q, ♠8 | pair
♠3, ♦8, ♣A, ♣A, ♠8 | two pairs
♠3, ♦8, ♣A, ♣A, ♦9 | pair
♠3, ♦8, ♣A, ♠8, ♦9 | pair
♠3, ♦8, ♠Q, ♠K, ♦Q | pair
♠3, ♦8, ♠Q, ♠K, ♠8 | pair
♠3, ♦8, ♠Q, ♦Q, ♣A | pair
♠3, ♦8, ♠Q, ♦Q, ♠8 | two pairs
♠3, ♦8, ♠Q, ♦Q, ♦9 | pair
♠3, ♦8, ♠Q, ♣A, ♠8 | pair
♠3, ♦8, ♠Q, ♠8, ♦9 | pair
♠3, ♦8, ♠K, ♦Q, ♠8 | pair
♠3, ♦8, ♠K, ♣A, ♠8 | pair
♠3, ♦8, ♠K, ♠8, ♦9 | pair
♠3, ♦8, ♦Q, ♣A, ♠8 | pair
♠3, ♦8, ♦Q, ♠8, ♦9 | pair
♠3, ♦8, ♣A, ♠8, ♦9 | pair
♠3, ♥7, ♥3, ♣A, ♠Q | pair
♠3, ♥7, ♥3, ♣A, ♠K | pair
♠3, ♥7, ♥3, ♣A, ♦Q | pair
♠3, ♥7, ♥3, ♣A, ♣A | two pairs
♠3, ♥7, ♥3, ♣A, ♠8 | pair
♠3, ♥7, ♥3, ♣A, ♦9 | pair
♠3, ♥7, ♥3, ♠Q, ♠K | pair
♠3, ♥7, ♥3, ♠Q, ♦Q | two pairs
♠3, ♥7, ♥3, ♠Q, ♣A | pair
♠3, ♥7, ♥3, ♠Q, ♠8 | pair
♠3, ♥7, ♥3, ♠Q, ♦9 | pair
♠3, ♥7, ♥3, ♠K, ♦Q | pair
♠3, ♥7, ♥3, ♠K, ♣A | pair
♠3, ♥7, ♥3, ♠K, ♠8 | pair
♠3, ♥7, ♥3, ♠K, ♦9 | pair
♠3, ♥7, ♥3, ♦Q, ♣A | pair
♠3, ♥7, ♥3, ♦Q, ♠8 | pair
♠3, ♥7, ♥3, ♦Q, ♦9 | pair
♠3, ♥7, ♥3, ♣A, ♠8 | pair
♠3, ♥7, ♥3, ♣A, ♦9 | pair
♠3, ♥7, ♥3, ♠8, ♦9 | pair
♠3, ♥7, ♣A, ♠Q, ♦Q | pair
♠3, ♥7, ♣A, ♠Q, ♣A | pair
♠3, ♥7, ♣A, ♠K, ♣A | pair
♠3, ♥7, ♣A, ♦Q, ♣A | pair
♠3, ♥7, ♣A, ♣A, ♠8 | pair
♠3, ♥7, ♣A, ♣A, ♦9 | pair
♠3, ♥7, ♠Q, ♠K, ♦Q | pair
♠3, ♥7, ♠Q, ♦Q, ♣A | pair
♠3, ♥7, ♠Q, ♦Q, ♠8 | pair
♠3, ♥7, ♠Q, ♦Q, ♦9 | pair
♠3, ♥3, ♣A, ♠Q, ♠K | pair
♠3, ♥3, ♣A, ♠Q, ♦Q | two pairs
♠3, ♥3, ♣A, ♠Q, ♣A | two pairs
♠3, ♥3, ♣A, ♠Q, ♠8 | pair
♠3, ♥3, ♣A, ♠Q, ♦9 | pair
♠3, ♥3, ♣A, ♠K, ♦Q | pair
♠3, ♥3, ♣A, ♠K, ♣A | two pairs
♠3, ♥3, ♣A, ♠K, ♠8 | pair
♠3, ♥3, ♣A, ♠K, ♦9 | pair
♠3, ♥3, ♣A, ♦Q, ♣A | two pairs
♠3, ♥3, ♣A, ♦Q, ♠8 | pair
♠3, ♥3, ♣A, ♦Q, ♦9 | pair
♠3, ♥3, ♣A, ♣A, ♠8 | two pairs
♠3, ♥3, ♣A, ♣A, ♦9 | two pairs
♠3, ♥3, ♣A, ♠8, ♦9 | pair
♠3, ♥3, ♠Q, ♠K, ♦Q | two pairs
♠3, ♥3, ♠Q, ♠K, ♣A | pair
♠3, ♥3, ♠Q, ♠K, ♠8 | pair
♠3, ♥3, ♠Q, ♠K, ♦9 | pair
♠3, ♥3, ♠Q, ♦Q, ♣A | two pairs
♠3, ♥3, ♠Q, ♦Q, ♠8 | two pairs
♠3, ♥3, ♠Q, ♦Q, ♦9 | two pairs
♠3, ♥3, ♠Q, ♣A, ♠8 | pair
♠3, ♥3, ♠Q, ♣A, ♦9 | pair
♠3, ♥3, ♠Q, ♠8, ♦9 | pair
♠3, ♥3, ♠K, ♦Q, ♣A | pair
♠3, ♥3, ♠K, ♦Q, ♠8 | pair
♠3, ♥3, ♠K, ♦Q, ♦9 | pair
♠3, ♥3, ♠K, ♣A, ♠8 | pair
♠3, ♥3, ♠K, ♣A, ♦9 | pair
♠3, ♥3, ♠K, ♠8, ♦9 | pair
♠3, ♥3, ♦Q, ♣A, ♠8 | pair
♠3, ♥3, ♦Q, ♣A, ♦9 | pair
♠3, ♥3, ♦Q, ♠8, ♦9 | pair
♠3, ♥3, ♣A, ♠8, ♦9 | pair
♠3, ♣A, ♠Q, ♠K, ♦Q | pair
♠3, ♣A, ♠Q, ♠K, ♣A | pair
♠3, ♣A, ♠Q, ♦Q, ♣A | two pairs
♠3, ♣A, ♠Q, ♦Q, ♠8 | pair
♠3, ♣A, ♠Q, ♦Q, ♦9 | pair
♠3, ♣A, ♠Q, ♣A, ♠8 | pair
♠3, ♣A, ♠Q, ♣A, ♦9 | pair
♠3, ♣A, ♠K, ♦Q, ♣A | pair
♠3, ♣A, ♠K, ♣A, ♠8 | pair
♠3, ♣A, ♠K, ♣A, ♦9 | pair
♠3, ♣A, ♦Q, ♣A, ♠8 | pair
♠3, ♣A, ♦Q, ♣A, ♦9 | pair
♠3, ♣A, ♣A, ♠8, ♦9 | pair
♠3, ♠Q, ♠K, ♦Q, ♣A | pair
♠3, ♠Q, ♠K, ♦Q, ♠8 | pair
♠3, ♠Q, ♠K, ♦Q, ♦9 | pair
♠3, ♠Q, ♦Q, ♣A, ♠8 | pair
♠3, ♠Q, ♦Q, ♣A, ♦9 | pair
♠3, ♠Q, ♦Q, ♠8, ♦9 | pair
♥A, ♠10, ♠K, ♦8, ♣A | pair
♥A, ♠10, ♠K, ♦8, ♠K | pair
♥A, ♠10, ♠K, ♦8, ♣A | pair
♥A, ♠10, ♠K, ♦8, ♠8 | pair
♥A, ♠10, ♠K, ♥7, ♣A | pair
♥A, ♠10, ♠K, ♥7, ♠K | pair
♥A, ♠10, ♠K, ♥7, ♣A | pair
♥A, ♠10, ♠K, ♥3, ♣A | pair
♥A, ♠10, ♠K, ♥3, ♠K | pair
♥A, ♠10, ♠K, ♥3, ♣A | pair
♥A, ♠10, ♠K, ♣A, ♠Q | pair
♥A, ♠10, ♠K, ♣A, ♠K | two pairs
♥A, ♠10, ♠K, ♣A, ♦Q | pair
♥A, ♠10, ♠K, ♣A, ♣A | three of a kind
♥A, ♠10, ♠K, ♣A, ♠8 | pair
♥A, ♠10, ♠K, ♣A, ♦9 | pair
♥A, ♠10, ♠K, ♠Q, ♠K | pair
♥A, ♠10, ♠K, ♠Q, ♦Q | pair
♥A, ♠10, ♠K, ♠Q, ♣A | pair
♥A, ♠10, ♠K, ♠K, ♦Q | pair
♥A, ♠10, ♠K, ♠K, ♣A | two pairs
♥A, ♠10, ♠K, ♠K, ♠8 | pair
♥A, ♠10, ♠K, ♠K, ♦9 | pair
♥A, ♠10, ♠K, ♦Q, ♣A | pair
♥A, ♠10, ♠K, ♣A, ♠8 | pair
♥A, ♠10, ♠K, ♣A, ♦9 | pair
♥A, ♠10, ♦8, ♥7, ♣A | pair
♥A, ♠10, ♦8, ♥7, ♣A | pair
♥A, ♠10, ♦8, ♥7, ♠8 | pair
♥A, ♠10, ♦8, ♥3, ♣A | pair
♥A, ♠10, ♦8, ♥3, ♣A | pair
♥A, ♠10, ♦8, ♥3, ♠8 | pair
♥A, ♠10, ♦8, ♣A, ♠Q | pair
♥A, ♠10, ♦8, ♣A, ♠K | pair
♥A, ♠10, ♦8, ♣A, ♦Q | pair
♥A, ♠10, ♦8, ♣A, ♣A | three of a kind
♥A, ♠10, ♦8, ♣A, ♠8 | two pairs
♥A, ♠10, ♦8, ♣A, ♦9 | pair
♥A, ♠10, ♦8, ♠Q, ♦Q | pair
♥A, ♠10, ♦8, ♠Q, ♣A | pair
♥A, ♠10, ♦8, ♠Q, ♠8 | pair
♥A, ♠10, ♦8, ♠K, ♣A | pair
♥A, ♠10, ♦8, ♠K, ♠8 | pair
♥A, ♠10, ♦8, ♦Q, ♣A | pair
♥A, ♠10, ♦8, ♦Q, ♠8 | pair
♥A, ♠10, ♦8, ♣A, ♠8 | two pairs
♥A, ♠10, ♦8, ♣A, ♦9 | pair
♥A, ♠10, ♦8, ♠8, ♦9 | pair
♥A, ♠10, ♥7, ♥3, ♣A | pair
♥A, ♠10, ♥7, ♥3, ♣A | pair
♥A, ♠10, ♥7, ♣A, ♠Q | pair
♥A, ♠10, ♥7, ♣A, ♠K | pair
♥A, ♠10, ♥7, ♣A, ♦Q | pair
♥A, ♠10, ♥7, ♣A, ♣A | three of a kind
♥A, ♠10, ♥7, ♣A, ♠8 | pair
♥A, ♠10, ♥7, ♣A, ♦9 | pair
♥A, ♠10, ♥7, ♠Q, ♦Q | pair
♥A, ♠10, ♥7, ♠Q, ♣A | pair
♥A, ♠10, ♥7, ♠K, ♣A | pair
♥A, ♠10, ♥7, ♦Q, ♣A | pair
♥A, ♠10, ♥7, ♣A, ♠8 | pair
♥A, ♠10, ♥7, ♣A, ♦9 | pair
♥A, ♠10, ♥3, ♣A, ♠Q | pair
♥A, ♠10, ♥3, ♣A, ♠K | pair
♥A, ♠10, ♥3, ♣A, ♦Q | pair
♥A, ♠10, ♥3, ♣A, ♣A | three of a kind
♥A, ♠10, ♥3, ♣A, ♠8 | pair
♥A, ♠10, ♥3, ♣A, ♦9 | pair
♥A, ♠10, ♥3, ♠Q, ♦Q | pair
♥A, ♠10, ♥3, ♠Q, ♣A | pair
♥A, ♠10, ♥3, ♠K, ♣A | pair
♥A, ♠10, ♥3, ♦Q, ♣A | pair
♥A, ♠10, ♥3, ♣A, ♠8 | pair
♥A, ♠10, ♥3, ♣A, ♦9 | pair
♥A, ♠10, ♣A, ♠Q, ♠K | pair
♥A, ♠10, ♣A, ♠Q, ♦Q | two pairs
♥A, ♠10, ♣A, ♠Q, ♣A | three of a kind
♥A, ♠10, ♣A, ♠Q, ♠8 | pair
♥A, ♠10, ♣A, ♠Q, ♦9 | pair
♥A, ♠10, ♣A, ♠K, ♦Q | pair
♥A, ♠10, ♣A, ♠K, ♣A | three of a kind
♥A, ♠10, ♣A, ♠K, ♠8 | pair
♥A, ♠10, ♣A, ♠K, ♦9 | pair
♥A, ♠10, ♣A, ♦Q, ♣A | three of a kind
♥A, ♠10, ♣A, ♦Q, ♠8 | pair
♥A, ♠10, ♣A, ♦Q, ♦9 | pair
♥A, ♠10, ♣A, ♣A, ♠8 | three of a kind
♥A, ♠10, ♣A, ♣A, ♦9 | three of a kind
♥A, ♠10, ♣A, ♠8, ♦9 | pair
♥A, ♠10, ♠Q, ♠K, ♦Q | pair
♥A, ♠10, ♠Q, ♠K, ♣A | pair
♥A, ♠10, ♠Q, ♦Q, ♣A | two pairs
♥A, ♠10, ♠Q, ♦Q, ♠8 | pair
♥A, ♠10, ♠Q, ♦Q, ♦9 | pair
♥A, ♠10, ♠Q, ♣A, ♠8 | pair
♥A, ♠10, ♠Q, ♣A, ♦9 | pair
♥A, ♠10, ♠K, ♦Q, ♣A | pair
♥A, ♠10, ♠K, ♣A, ♠8 | pair
♥A, ♠10, ♠K, ♣A, ♦9 | pair
♥A, ♠10, ♦Q, ♣A, ♠8 | pair
♥A, ♠10, ♦Q, ♣A, ♦9 | pair
