♦6, ♥J, ♣10, ♠2, ♥6 | pair
♦6, ♠2, ♦6, ♥Q, ♥8 | pair
♦6, ♠2, ♦6, ♥7, ♥10 | pair
♦6, ♠2, ♦6, ♥7, ♦5 | pair
♦6, ♠2, ♦6, ♥7, ♣7 | two pairs
♦6, ♠2, ♦6, ♥7, ♦2 | two pairs
♦6, ♠2, ♦6, ♥7, ♥8 | pair
♦6, ♠2, ♦6, ♥10, ♦5 | pair
♦6, ♠2, ♦6, ♥10, ♣7 | pair
♦6, ♠2, ♦6, ♥10, ♦2 | two pairs
♦6, ♠2, ♦6, ♥10, ♥8 | pair
♦6, ♠2, ♦6, ♦5, ♣7 | pair
♦6, ♠2, ♦6, ♦5, ♦2 | two pairs
♦6, ♠2, ♦6, ♦5, ♥8 | pair
♦6, ♠2, ♦6, ♣7, ♦2 | two pairs
♦6, ♠2, ♦6, ♣7, ♥8 | pair
♦6, ♠2, ♦6, ♦2, ♥8 | two pairs
♦6, ♠2, ♥Q, ♥7, ♣7 | pair
♦6, ♠2, ♥Q, ♥7, ♦2 | pair
♦6, ♠2, ♥Q, ♥10, ♦2 | pair
♦6, ♠2, ♥Q, ♦5, ♦2 | pair
♦6, ♠2, ♥Q, ♣7, ♦2 | pair
♦6, ♠2, ♥Q, ♦2, ♥8 | pair
♦6, ♠2, ♥7, ♥10, ♣7 | pair
♦6, ♠2, ♥7, ♥10, ♦2 | pair
♦6, ♠2, ♥7, ♦5, ♣7 | pair
♦6, ♠2, ♥7, ♦5, ♦2 | pair
♦6, ♠2, ♥7, ♣7, ♦2 | two pairs
♦6, ♠2, ♥7, ♣7, ♥8 | pair
♦6, ♠2, ♥7, ♦2, ♥8 | pair
♦6, ♠2, ♥10, ♦5, ♦2 | pair
♦6, ♠2, ♥10, ♣7, ♦2 | pair
♦6, ♠2, ♥10, ♦2, ♥8 | pair
♦6, ♠2, ♦5, ♣7, ♦2 | pair
♦6, ♠2, ♦5, ♦2, ♥8 | pair
♦6, ♠2, ♣7, ♦2, ♥8 | pair
♦6, ♠8, ♥K, ♦A, ♥6 | pair
♦6, ♠8, ♥K, ♦A, ♦6 | pair
♦6, ♠8, ♥K, ♦A, ♥8 | pair
♦6, ♠8, ♥K, ♥6, ♦6 | three of a kind
♦6, ♠8, ♥K, ♥6, ♥Q | pair
♦6, ♠8, ♥K, ♥6, ♥7 | pair
♦6, ♠8, ♥K, ♥6, ♥10 | pair
♦6, ♠8, ♥K, ♥6, ♦5 | pair
♦6, ♠8, ♥K, ♥6, ♣7 | pair
♦6, ♠8, ♥K, ♥6, ♦2 | pair
♦6, ♠8, ♥K, ♥6, ♥8 | two pairs
♦6, ♠8, ♥K, ♦6, ♥Q | pair
♦6, ♠8, ♥K, ♦6, ♥7 | pair
♦6, ♠8, ♥K, ♦6, ♥10 | pair
♦6, ♠8, ♥K, ♦6, ♦5 | pair
♦6, ♠8, ♥K, ♦6, ♣7 | pair
♦6, ♠8, ♥K, ♦6, ♦2 | pair
♦6, ♠8, ♥K, ♦6, ♥8 | two pairs
♦6, ♠8, ♥K, ♥Q, ♥8 | pair
♦6, ♠8, ♥K, ♥7, ♣7 | pair
♦6, ♠8, ♥K, ♥7, ♥8 | pair
♦6, ♠8, ♥K, ♥10, ♥8 | pair
♦6, ♠8, ♥K, ♦5, ♥8 | pair
♦6, ♠8, ♥K, ♣7, ♥8 | pair
♦6, ♠8, ♥K, ♦2, ♥8 | pair
♦6, ♠8, ♦A, ♥6, ♦6 | three of a kind
♦6, ♠8, ♦A, ♥6, ♥Q | pair
♦6, ♠8, ♦A, ♥6, ♥7 | pair
♦6, ♠8, ♦A, ♥6, ♥10 | pair
♦6, ♠8, ♦A, ♥6, ♦5 | pair
♦6, ♠8, ♦A, ♥6, ♣7 | pair
♦6, ♠8, ♦A, ♥6, ♦2 | pair
♦6, ♠8, ♦A, ♥6, ♥8 | two pairs
♦6, ♠8, ♦A, ♦6, ♥Q | pair
♦6, ♠8, ♦A, ♦6, ♥7 | pair
♦6, ♠8, ♦A, ♦6, ♥10 | pair
♦6, ♠8, ♦A, ♦6, ♦5 | pair
♦6, ♠8, ♦A, ♦6, ♣7 | pair
♦6, ♠8, ♦A, ♦6, ♦2 | pair
♦6, ♠8, ♦A, ♦6, ♥8 | two pairs
♦6, ♠8, ♦A, ♥Q, ♥8 | pair
♦6, ♠8, ♦A, ♥7, ♣7 | pair
♦6, ♠8, ♦A, ♥7, ♥8 | pair
♦6, ♠8, ♦A, ♥10, ♥8 | pair
♦6, ♠8, ♦A, ♦5, ♥8 | pair
♦6, ♠8, ♦A, ♣7, ♥8 | pair
♦6, ♠8, ♦A, ♦2, ♥8 | pair
♦6, ♠8, ♥6, ♦6, ♥Q | three of a kind
♦6, ♠8, ♥6, ♦6, ♥7 | three of a kind
♦6, ♠8, ♥6, ♦6, ♥10 | three of a kind
♦6, ♠8, ♥6, ♦6, ♦5 | three of a kind
♦6, ♠8, ♥6, ♦6, ♣7 | three of a kind
♦6, ♠8, ♥6, ♦6, ♦2 | three of a kind
♦6, ♠8, ♥6, ♦6, ♥8 | fullhouse
♦6, ♠8, ♥6, ♥Q, ♥7 | pair
♦6, ♠8, ♥6, ♥Q, ♥10 | pair
♦6, ♠8, ♥6, ♥Q, ♦5 | pair
♦6, ♠8, ♥6, ♥Q, ♣7 | pair
♦6, ♠8, ♥6, ♥Q, ♦2 | pair
♦6, ♠8, ♥6, ♥Q, ♥8 | two pairs
♦6, ♠8, ♥6, ♥7, ♥10 | pair
♦6, ♠8, ♥6, ♥7, ♦5 | pair
♦6, ♠8, ♥6, ♥7, ♣7 | two pairs
♦6, ♠8, ♥6, ♥7, ♦2 | pair
♦6, ♠8, ♥6, ♥7, ♥8 | two pairs
♦6, ♠8, ♥6, ♥10, ♦5 | pair
♦6, ♠8, ♥6, ♥10, ♣7 | pair
♦6, ♠8, ♥6, ♥10, ♦2 | pair
♦6, ♠8, ♥6, ♥10, ♥8 | two pairs
♦6, ♠8, ♥6, ♦5, ♣7 | pair
♦6, ♠8, ♥6, ♦5, ♦2 | pair
♦6, ♠8, ♥6, ♦5, ♥8 | two pairs
♦6, ♠8, ♥6, ♣7, ♦2 | pair
♦6, ♠8, ♥6, ♣7, ♥8 | two pairs
♦6, ♠8, ♥6, ♦2, ♥8 | two pairs
♦6, ♠8, ♦6, ♥Q, ♥7 | pair
♦6, ♠8, ♦6, ♥Q, ♥10 | pair
♦6, ♠8, ♦6, ♥Q, ♦5 | pair
♦6, ♠8, ♦6, ♥Q, ♣7 | pair
♦6, ♠8, ♦6, ♥Q, ♦2 | pair
♦6, ♠8, ♦6, ♥Q, ♥8 | two pairs
♦6, ♠8, ♦6, ♥7, ♥10 | pair
♦6, ♠8, ♦6, ♥7, ♦5 | pair
♦6, ♠8, ♦6, ♥7, ♣7 | two pairs
♦6, ♠8, ♦6, ♥7, ♦2 | pair
♦6, ♠8, ♦6, ♥7, ♥8 | two pairs
♦6, ♠8, ♦6, ♥10, ♦5 | pair
♦6, ♠8, ♦6, ♥10, ♣7 | pair
♦6, ♠8, ♦6, ♥10, ♦2 | pair
♦6, ♠8, ♦6, ♥10, ♥8 | two pairs
♦6, ♠8, ♦6, ♦5, ♣7 | pair
♦6, ♠8, ♦6, ♦5, ♦2 | pair
♦6, ♠8, ♦6, ♦5, ♥8 | two pairs
♦6, ♠8, ♦6, ♣7, ♦2 | pair
♦6, ♠8, ♦6, ♣7, ♥8 | two pairs
♦6, ♠8, ♦6, ♦2, ♥8 | two pairs
♦6, ♠8, ♥Q, ♥7, ♣7 | pair
♦6, ♠8, ♥Q, ♥7, ♥8 | pair
♦6, ♠8, ♥Q, ♥10, ♥8 | pair
♦6, ♠8, ♥Q, ♦5, ♥8 | pair
♦6, ♠8, ♥Q, ♣7, ♥8 | pair
♦6, ♠8, ♥Q, ♦2, ♥8 | pair
♦6, ♠8, ♥7, ♥10, ♣7 | pair
♦6, ♠8, ♥7, ♥10, ♥8 | pair
♦6, ♠8, ♥7, ♦5, ♣7 | pair
♦6, ♠8, ♥7, ♦5, ♥8 | pair
♦6, ♠8, ♥7, ♣7, ♦2 | pair
♦6, ♠8, ♥7, ♣7, ♥8 | two pairs
♦6, ♠8, ♥7, ♦2, ♥8 | pair
♦6, ♠8, ♥10, ♦5, ♥8 | pair
♦6, ♠8, ♥10, ♣7, ♥8 | pair
♦6, ♠8, ♥10, ♦2, ♥8 | pair
♦6, ♠8, ♦5, ♣7, ♥8 | pair
♦6, ♠8, ♦5, ♦2, ♥8 | pair
♦6, ♠8, ♣7, ♦2, ♥8 | pair
♦6, ♥K, ♦A, ♥6, ♦6 | three of a kind
♦6, ♥K, ♦A, ♥6, ♥Q | pair
♦6, ♥K, ♦A, ♥6, ♥7 | pair
♦6, ♥K, ♦A, ♥6, ♥10 | pair
♦6, ♥K, ♦A, ♥6, ♦5 | pair
♦6, ♥K, ♦A, ♥6, ♣7 | pair
♦6, ♥K, ♦A, ♥6, ♦2 | pair
♦6, ♥K, ♦A, ♥6, ♥8 | pair
♦6, ♥K, ♦A, ♦6, ♥Q | pair
♦6, ♥K, ♦A, ♦6, ♥7 | pair
♦6, ♥K, ♦A, ♦6, ♥10 | pair
♦6, ♥K, ♦A, ♦6, ♦5 | pair
♦6, ♥K, ♦A, ♦6, ♣7 | pair
♦6, ♥K, ♦A, ♦6, ♦2 | pair
♦6, ♥K, ♦A, ♦6, ♥8 | pair
♦6, ♥K, ♦A, ♥7, ♣7 | pair
♦6, ♥K, ♥6, ♦6, ♥Q | three of a kind
♦6, ♥K, ♥6, ♦6, ♥7 | three of a kind
♦6, ♥K, ♥6, ♦6, ♥10 | three of a kind
♦6, ♥K, ♥6, ♦6, ♦5 | three of a kind
♦6, ♥K, ♥6, ♦6, ♣7 | three of a kind
♦6, ♥K, ♥6, ♦6, ♦2 | three of a kind
♦6, ♥K, ♥6, ♦6, ♥8 | three of a kind
♦6, ♥K, ♥6, ♥Q, ♥7 | pair
♦6, ♥K, ♥6, ♥Q, ♥10 | pair
♦6, ♥K, ♥6, ♥Q, ♦5 | pair
♦6, ♥K, ♥6, ♥Q, ♣7 | pair
♦6, ♥K, ♥6, ♥Q, ♦2 | pair
♦6, ♥K, ♥6, ♥Q, ♥8 | pair
♦6, ♥K, ♥6, ♥7, ♥10 | pair
♦6, ♥K, ♥6, ♥7, ♦5 | pair
♦6, ♥K, ♥6, ♥7, ♣7 | two pairs
♦6, ♥K, ♥6, ♥7, ♦2 | pair
♦6, ♥K, ♥6, ♥7, ♥8 | pair
♦6, ♥K, ♥6, ♥10, ♦5 | pair
♦6, ♥K, ♥6, ♥10, ♣7 | pair
♦6, ♥K, ♥6, ♥10, ♦2 | pair
♦6, ♥K, ♥6, ♥10, ♥8 | pair
♦6, ♥K, ♥6, ♦5, ♣7 | pair
♦6, ♥K, ♥6, ♦5, ♦2 | pair
♦6, ♥K, ♥6, ♦5, ♥8 | pair
♦6, ♥K, ♥6, ♣7, ♦2 | pair
♦6, ♥K, ♥6, ♣7, ♥8 | pair
♦6, ♥K, ♥6, ♦2, ♥8 | pair
♦6, ♥K, ♦6, ♥Q, ♥7 | pair
♦6, ♥K, ♦6, ♥Q, ♥10 | pair
♦6, ♥K, ♦6, ♥Q, ♦5 | pair
♦6, ♥K, ♦6, ♥Q, ♣7 | pair
♦6, ♥K, ♦6, ♥Q, ♦2 | pair
♦6, ♥K, ♦6, ♥Q, ♥8 | pair
♦6, ♥K, ♦6, ♥7, ♥10 | pair
♦6, ♥K, ♦6, ♥7, ♦5 | pair
♦6, ♥K, ♦6, ♥7, ♣7 | two pairs
♦6, ♥K, ♦6, ♥7, ♦2 | pair
♦6, ♥K, ♦6, ♥7, ♥8 | pair
♦6, ♥K, ♦6, ♥10, ♦5 | pair
♦6, ♥K, ♦6, ♥10, ♣7 | pair
♦6, ♥K, ♦6, ♥10, ♦2 | pair
♦6, ♥K, ♦6, ♥10, ♥8 | pair
♦6, ♥K, ♦6, ♦5, ♣7 | pair
♦6, ♥K, ♦6, ♦5, ♦2 | pair
♦6, ♥K, ♦6, ♦5, ♥8 | pair
♦6, ♥K, ♦6, ♣7, ♦2 | pair
♦6, ♥K, ♦6, ♣7, ♥8 | pair
♦6, ♥K, ♦6, ♦2, ♥8 | pair
♦6, ♥K, ♥Q, ♥7, ♣7 | pair
♦6, ♥K, ♥7, ♥10, ♣7 | pair
♦6, ♥K, ♥7, ♦5, ♣7 | pair
♦6, ♥K, ♥7, ♣7, ♦2 | pair
♦6, ♥K, ♥7, ♣7, ♥8 | pair
♦6, ♦A, ♥6, ♦6, ♥Q | three of a kind
♦6, ♦A, ♥6, ♦6, ♥7 | three of a kind
♦6, ♦A, ♥6, ♦6, ♥10 | three of a kind
♦6, ♦A, ♥6, ♦6, ♦5 | three of a kind
♦6, ♦A, ♥6, ♦6, ♣7 | three of a kind
♦6, ♦A, ♥6, ♦6, ♦2 | three of a kind
♦6, ♦A, ♥6, ♦6, ♥8 | three of a kind
♦6, ♦A, ♥6, ♥Q, ♥7 | pair
♦6, ♦A, ♥6, ♥Q, ♥10 | pair
♦6, ♦A, ♥6, ♥Q, ♦5 | pair
♦6, ♦A, ♥6, ♥Q, ♣7 | pair
♦6, ♦A, ♥6, ♥Q, ♦2 | pair
♦6, ♦A, ♥6, ♥Q, ♥8 | pair
♦6, ♦A, ♥6, ♥7, ♥10 | pair
♦6, ♦A, ♥6, ♥7, ♦5 | pair
♦6, ♦A, ♥6, ♥7, ♣7 | two pairs
♦6, ♦A, ♥6, ♥7, ♦2 | pair
♦6, ♦A, ♥6, ♥7, ♥8 | pair
♦6, ♦A, ♥6, ♥10, ♦5 | pair
♦6, ♦A, ♥6, ♥10, ♣7 | pair
♦6, ♦A, ♥6, ♥10, ♦2 | pair
♦6, ♦A, ♥6, ♥10, ♥8 | pair
♦6, ♦A, ♥6, ♦5, ♣7 | pair
♦6, ♦A, ♥6, ♦5, ♦2 | pair
♦6, ♦A, ♥6, ♦5, ♥8 | pair
♦6, ♦A, ♥6, ♣7, ♦2 | pair
♦6, ♦A, ♥6, ♣7, ♥8 | pair
♦6, ♦A, ♥6, ♦2, ♥8 | pair
♦6, ♦A, ♦6, ♥Q, ♥7 | pair
♦6, ♦A, ♦6, ♥Q, ♥10 | pair
♦6, ♦A, ♦6, ♥Q, ♦5 | pair
♦6, ♦A, ♦6, ♥Q, ♣7 | pair
♦6, ♦A, ♦6, ♥Q, ♦2 | pair
♦6, ♦A, ♦6, ♥Q, ♥8 | pair
♦6, ♦A, ♦6, ♥7, ♥10 | pair
♦6, ♦A, ♦6, ♥7, ♦5 | pair
♦6, ♦A, ♦6, ♥7, ♣7 | two pairs
♦6, ♦A, ♦6, ♥7, ♦2 | pair
♦6, ♦A, ♦6, ♥7, ♥8 | pair
♦6, ♦A, ♦6, ♥10, ♦5 | pair
♦6, ♦A, ♦6, ♥10, ♣7 | pair
♦6, ♦A, ♦6, ♥10, ♦2 | pair
♦6, ♦A, ♦6, ♥10, ♥8 | pair
♦6, ♦A, ♦6, ♦5, ♣7 | pair
♦6, ♦A, ♦6, ♦5, ♦2 | flush
♦6, ♦A, ♦6, ♦5, ♥8 | pair
♦6, ♦A, ♦6, ♣7, ♦2 | pair
♦6, ♦A, ♦6, ♣7, ♥8 | pair
♦6, ♦A, ♦6, ♦2, ♥8 | pair
♦6, ♦A, ♥Q, ♥7, ♣7 | pair
♦6, ♦A, ♥7, ♥10, ♣7 | pair
♦6, ♦A, ♥7, ♦5, ♣7 | pair
♦6, ♦A, ♥7, ♣7, ♦2 | pair
♦6, ♦A, ♥7, ♣7, ♥8 | pair
♦6, ♥6, ♦6, ♥Q, ♥7 | three of a kind
♦6, ♥6, ♦6, ♥Q, ♥10 | three of a kind
♦6, ♥6, ♦6, ♥Q, ♦5 | three of a kind
♦6, ♥6, ♦6, ♥Q, ♣7 | three of a kind
♦6, ♥6, ♦6, ♥Q, ♦2 | three of a kind
♦6, ♥6, ♦6, ♥Q, ♥8 | three of a kind
♦6, ♥6, ♦6, ♥7, ♥10 | three of a kind
♦6, ♥6, ♦6, ♥7, ♦5 | three of a kind
♦6, ♥6, ♦6, ♥7, ♣7 | fullhouse
♦6, ♥6, ♦6, ♥7, ♦2 | three of a kind
♦6, ♥6, ♦6, ♥7, ♥8 | three of a kind
♦6, ♥6, ♦6, ♥10, ♦5 | three of a kind
♦6, ♥6, ♦6, ♥10, ♣7 | three of a kind
♦6, ♥6, ♦6, ♥10, ♦2 | three of a kind
♦6, ♥6, ♦6, ♥10, ♥8 | three of a kind
♦6, ♥6, ♦6, ♦5, ♣7 | three of a kind
♦6, ♥6, ♦6, ♦5, ♦2 | three of a kind
♦6, ♥6, ♦6, ♦5, ♥8 | three of a kind
♦6, ♥6, ♦6, ♣7, ♦2 | three of a kind
♦6, ♥6, ♦6, ♣7, ♥8 | three of a kind
♦6, ♥6, ♦6, ♦2, ♥8 | three of a kind
♦6, ♥6, ♥Q, ♥7, ♥10 | pair
♦6, ♥6, ♥Q, ♥7, ♦5 | pair
♦6, ♥6, ♥Q, ♥7, ♣7 | two pairs
♦6, ♥6, ♥Q, ♥7, ♦2 | pair
♦6, ♥6, ♥Q, ♥7, ♥8 | pair
♦6, ♥6, ♥Q, ♥10, ♦5 | pair
♦6, ♥6, ♥Q, ♥10, ♣7 | pair
♦6, ♥6, ♥Q, ♥10, ♦2 | pair
♦6, ♥6, ♥Q, ♥10, ♥8 | pair
♦6, ♥6, ♥Q, ♦5, ♣7 | pair
♦6, ♥6, ♥Q, ♦5, ♦2 | pair
♦6, ♥6, ♥Q, ♦5, ♥8 | pair
♦6, ♥6, ♥Q, ♣7, ♦2 | pair
♦6, ♥6, ♥Q, ♣7, ♥8 | pair
♦6, ♥6, ♥Q, ♦2, ♥8 | pair
♦6, ♥6, ♥7, ♥10, ♦5 | pair
♦6, ♥6, ♥7, ♥10, ♣7 | two pairs
♦6, ♥6, ♥7, ♥10, ♦2 | pair
♦6, ♥6, ♥7, ♥10, ♥8 | pair
♦6, ♥6, ♥7, ♦5, ♣7 | two pairs
♦6, ♥6, ♥7, ♦5, ♦2 | pair
♦6, ♥6, ♥7, ♦5, ♥8 | pair
♦6, ♥6, ♥7, ♣7, ♦2 | two pairs
♦6, ♥6, ♥7, ♣7, ♥8 | two pairs
♦6, ♥6, ♥7, ♦2, ♥8 | pair
♦6, ♥6, ♥10, ♦5, ♣7 | pair
♦6, ♥6, ♥10, ♦5, ♦2 | pair
♦6, ♥6, ♥10, ♦5, ♥8 | pair
♦6, ♥6, ♥10, ♣7, ♦2 | pair
♦6, ♥6, ♥10, ♣7, ♥8 | pair
♦6, ♥6, ♥10, ♦2, ♥8 | pair
♦6, ♥6, ♦5, ♣7, ♦2 | pair
♦6, ♥6, ♦5, ♣7, ♥8 | pair
♦6, ♥6, ♦5, ♦2, ♥8 | pair
♦6, ♥6, ♣7, ♦2, ♥8 | pair
♦6, ♦6, ♥Q, ♥7, ♥10 | pair
♦6, ♦6, ♥Q, ♥7, ♦5 | pair
♦6, ♦6, ♥Q, ♥7, ♣7 | two pairs
♦6, ♦6, ♥Q, ♥7, ♦2 | pair
♦6, ♦6, ♥Q, ♥7, ♥8 | pair
♦6, ♦6, ♥Q, ♥10, ♦5 | pair
♦6, ♦6, ♥Q, ♥10, ♣7 | pair
♦6, ♦6, ♥Q, ♥10, ♦2 | pair
♦6, ♦6, ♥Q, ♥10, ♥8 | pair
♦6, ♦6, ♥Q, ♦5, ♣7 | pair
♦6, ♦6, ♥Q, ♦5, ♦2 | pair
♦6, ♦6, ♥Q, ♦5, ♥8 | pair
♦6, ♦6, ♥Q, ♣7, ♦2 | pair
♦6, ♦6, ♥Q, ♣7, ♥8 | pair
♦6, ♦6, ♥Q, ♦2, ♥8 | pair
♦6, ♦6, ♥7, ♥10, ♦5 | pair
♦6, ♦6, ♥7, ♥10, ♣7 | two pairs
♦6, ♦6, ♥7, ♥10, ♦2 | pair
♦6, ♦6, ♥7, ♥10, ♥8 | pair
♦6, ♦6, ♥7, ♦5, ♣7 | two pairs
♦6, ♦6, ♥7, ♦5, ♦2 | pair
♦6, ♦6, ♥7, ♦5, ♥8 | pair
♦6, ♦6, ♥7, ♣7, ♦2 | two pairs
♦6, ♦6, ♥7, ♣7, ♥8 | two pairs
♦6, ♦6, ♥7, ♦2, ♥8 | pair
♦6, ♦6, ♥10, ♦5, ♣7 | pair
♦6, ♦6, ♥10, ♦5, ♦2 | pair
♦6, ♦6, ♥10, ♦5, ♥8 | pair
♦6, ♦6, ♥10, ♣7, ♦2 | pair
♦6, ♦6, ♥10, ♣7, ♥8 | pair
♦6, ♦6, ♥10, ♦2, ♥8 | pair
♦6, ♦6, ♦5, ♣7, ♦2 | pair
♦6, ♦6, ♦5, ♣7, ♥8 | pair
♦6, ♦6, ♦5, ♦2, ♥8 | pair
♦6, ♦6, ♣7, ♦2, ♥8 | pair
♦6, ♥Q, ♥7, ♥10, ♣7 | pair
♦6, ♥Q, ♥7, ♦5, ♣7 | pair
♦6, ♥Q, ♥7, ♣7, ♦2 | pair
♦6, ♥Q, ♥7, ♣7, ♥8 | pair
♦6, ♥7, ♥10, ♦5, ♣7 | pair
♦6, ♥7, ♥10, ♣7, ♦2 | pair
♦6, ♥7, ♥10, ♣7, ♥8 | pair
♦6, ♥7, ♦5, ♣7, ♦2 | pair
♦6, ♥7, ♦5, ♣7, ♥8 | pair
♦6, ♥7, ♣7, ♦2, ♥8 | pair
♥J, ♣10, ♠2, ♠8, ♥10 | pair
♥J, ♣10, ♠2, ♠8, ♦2 | pair
♥J, ♣10, ♠2, ♠8, ♥8 | pair
♥J, ♣10, ♠2, ♥K, ♥10 | pair
♥J, ♣10, ♠2, ♥K, ♦2 | pair
♥J, ♣10, ♠2, ♦A, ♥10 | pair
♥J, ♣10, ♠2, ♦A, ♦2 | pair
♥J, ♣10, ♠2, ♥6, ♦6 | pair
♥J, ♣10, ♠2, ♥6, ♥10 | pair
♥J, ♣10, ♠2, ♥6, ♦2 | pair
♥J, ♣10, ♠2, ♦6, ♥10 | pair
♥J, ♣10, ♠2, ♦6, ♦2 | pair
♥J, ♣10, ♠2, ♥Q, ♥10 | pair
♥J, ♣10, ♠2, ♥Q, ♦2 | pair
♥J, ♣10, ♠2, ♥7, ♥10 | pair
♥J, ♣10, ♠2, ♥7, ♣7 | pair
♥J, ♣10, ♠2, ♥7, ♦2 | pair
♥J, ♣10, ♠2, ♥10, ♦5 | pair
♥J, ♣10, ♠2, ♥10, ♣7 | pair
♥J, ♣10, ♠2, ♥10, ♦2 | two pairs
♥J, ♣10, ♠2, ♥10, ♥8 | pair
♥J, ♣10, ♠2, ♦5, ♦2 | pair
♥J, ♣10, ♠2, ♣7, ♦2 | pair
♥J, ♣10, ♠2, ♦2, ♥8 | pair
♥J, ♣10, ♠8, ♥K, ♥10 | pair
♥J, ♣10, ♠8, ♥K, ♥8 | pair
♥J, ♣10, ♠8, ♦A, ♥10 | pair
♥J, ♣10, ♠8, ♦A, ♥8 | pair
♥J, ♣10, ♠8, ♥6, ♦6 | pair
♥J, ♣10, ♠8, ♥6, ♥10 | pair
♥J, ♣10, ♠8, ♥6, ♥8 | pair
♥J, ♣10, ♠8, ♦6, ♥10 | pair
♥J, ♣10, ♠8, ♦6, ♥8 | pair
♥J, ♣10, ♠8, ♥Q, ♥10 | pair
♥J, ♣10, ♠8, ♥Q, ♥8 | pair
♥J, ♣10, ♠8, ♥7, ♥10 | pair
♥J, ♣10, ♠8, ♥7, ♣7 | pair
♥J, ♣10, ♠8, ♥7, ♥8 | pair
♥J, ♣10, ♠8, ♥10, ♦5 | pair
♥J, ♣10, ♠8, ♥10, ♣7 | pair
♥J, ♣10, ♠8, ♥10, ♦2 | pair
♥J, ♣10, ♠8, ♥10, ♥8 | two pairs
♥J, ♣10, ♠8, ♦5, ♥8 | pair
♥J, ♣10, ♠8, ♣7, ♥8 | pair
♥J, ♣10, ♠8, ♦2, ♥8 | pair
♥J, ♣10, ♥K, ♦A, ♥Q | straight
♥J, ♣10, ♥K, ♦A, ♥10 | pair
♥J, ♣10, ♥K, ♥6, ♦6 | pair
♥J, ♣10, ♥K, ♥6, ♥10 | pair
♥J, ♣10, ♥K, ♦6, ♥10 | pair
♥J, ♣10, ♥K, ♥Q, ♥10 | pair
♥J, ♣10, ♥K, ♥7, ♥10 | pair
♥J, ♣10, ♥K, ♥7, ♣7 | pair
♥J, ♣10, ♥K, ♥10, ♦5 | pair
♥J, ♣10, ♥K, ♥10, ♣7 | pair
♥J, ♣10, ♥K, ♥10, ♦2 | pair
♥J, ♣10, ♥K, ♥10, ♥8 | pair
♥J, ♣10, ♦A, ♥6, ♦6 | pair
♥J, ♣10, ♦A, ♥6, ♥10 | pair
♥J, ♣10, ♦A, ♦6, ♥10 | pair
♥J, ♣10, ♦A, ♥Q, ♥10 | pair
♥J, ♣10, ♦A, ♥7, ♥10 | pair
♥J, ♣10, ♦A, ♥7, ♣7 | pair
♥J, ♣10, ♦A, ♥10, ♦5 | pair
♥J, ♣10, ♦A, ♥10, ♣7 | pair
♥J, ♣10, ♦A, ♥10, ♦2 | pair
♥J, ♣10, ♦A, ♥10, ♥8 | pair
♥J, ♣10, ♥6, ♦6, ♥Q | pair
♥J, ♣10, ♥6, ♦6, ♥7 | pair
♥J, ♣10, ♥6, ♦6, ♥10 | two pairs
♥J, ♣10, ♥6, ♦6, ♦5 | pair
♥J, ♣10, ♥6, ♦6, ♣7 | pair
♥J, ♣10, ♥6, ♦6, ♦2 | pair
♥J, ♣10, ♥6, ♦6, ♥8 | pair
♥J, ♣10, ♥6, ♥Q, ♥10 | pair
♥J, ♣10, ♥6, ♥7, ♥10 | pair
♥J, ♣10, ♥6, ♥7, ♣7 | pair
♥J, ♣10, ♥6, ♥10, ♦5 | pair
♥J, ♣10, ♥6, ♥10, ♣7 | pair
♥J, ♣10, ♥6, ♥10, ♦2 | pair
♥J, ♣10, ♥6, ♥10, ♥8 | pair
♥J, ♣10, ♦6, ♥Q, ♥10 | pair
♥J, ♣10, ♦6, ♥7, ♥10 | pair
♥J, ♣10, ♦6, ♥7, ♣7 | pair
♥J, ♣10, ♦6, ♥10, ♦5 | pair
♥J, ♣10, ♦6, ♥10, ♣7 | pair
♥J, ♣10, ♦6, ♥10, ♦2 | pair
♥J, ♣10, ♦6, ♥10, ♥8 | pair
♥J, ♣10, ♥Q, ♥7, ♥10 | pair
♥J, ♣10, ♥Q, ♥7, ♣7 | pair
♥J, ♣10, ♥Q, ♥10, ♦5 | pair
♥J, ♣10, ♥Q, ♥10, ♣7 | pair
♥J, ♣10, ♥Q, ♥10, ♦2 | pair
♥J, ♣10, ♥Q, ♥10, ♥8 | pair
♥J, ♣10, ♥7, ♥10, ♦5 | pair
♥J, ♣10, ♥7, ♥10, ♣7 | two pairs
♥J, ♣10, ♥7, ♥10, ♦2 | pair
♥J, ♣10, ♥7, ♥10, ♥8 | pair
♥J, ♣10, ♥7, ♦5, ♣7 | pair
♥J, ♣10, ♥7, ♣7, ♦2 | pair
♥J, ♣10, ♥7, ♣7, ♥8 | pair
♥J, ♣10, ♥10, ♦5, ♣7 | pair
♥J, ♣10, ♥10, ♦5, ♦2 | pair
♥J, ♣10, ♥10, ♦5, ♥8 | pair
♥J, ♣10, ♥10, ♣7, ♦2 | pair
♥J, ♣10, ♥10, ♣7, ♥8 | pair
♥J, ♣10, ♥10, ♦2, ♥8 | pair
♥J, ♠2, ♠8, ♥K, ♦2 | pair
♥J, ♠2, ♠8, ♥K, ♥8 | pair
♥J, ♠2, ♠8, ♦A, ♦2 | pair
♥J, ♠2, ♠8, ♦A, ♥8 | pair
♥J, ♠2, ♠8, ♥6, ♦6 | pair
