♥A, ♥A, ♠7, ♦J, ♣5 | pair
♥A, ♦J, ♣8, ♣Q, ♣J | pair
♥A, ♦J, ♣8, ♣7, ♣J | pair
♥A, ♦J, ♣8, ♣6, ♣J | pair
♥A, ♦J, ♣8, ♣6, ♠6 | pair
♥A, ♦J, ♣8, ♠4, ♣J | pair
♥A, ♦J, ♣8, ♠K, ♣J | pair
♥A, ♦J, ♣8, ♣J, ♠6 | pair
♥A, ♦J, ♣Q, ♣Q, ♣7 | pair
♥A, ♦J, ♣Q, ♣Q, ♣6 | pair
♥A, ♦J, ♣Q, ♣Q, ♠4 | pair
♥A, ♦J, ♣Q, ♣Q, ♠K | pair
♥A, ♦J, ♣Q, ♣Q, ♣J | two pairs
♥A, ♦J, ♣Q, ♣Q, ♠6 | pair
♥A, ♦J, ♣Q, ♣7, ♣J | pair
♥A, ♦J, ♣Q, ♣6, ♣J | pair
♥A, ♦J, ♣Q, ♣6, ♠6 | pair
♥A, ♦J, ♣Q, ♠4, ♣J | pair
♥A, ♦J, ♣Q, ♠K, ♣J | pair
♥A, ♦J, ♣Q, ♣J, ♠6 | pair
♥A, ♦J, ♣Q, ♣7, ♣J | pair
♥A, ♦J, ♣Q, ♣6, ♣J | pair
♥A, ♦J, ♣Q, ♣6, ♠6 | pair
♥A, ♦J, ♣Q, ♠4, ♣J | pair
♥A, ♦J, ♣Q, ♠K, ♣J | pair
♥A, ♦J, ♣Q, ♣J, ♠6 | pair
♥A, ♦J, ♣7, ♣6, ♣J | pair
♥A, ♦J, ♣7, ♣6, ♠6 | pair
♥A, ♦J, ♣7, ♠4, ♣J | pair
♥A, ♦J, ♣7, ♠K, ♣J | pair
♥A, ♦J, ♣7, ♣J, ♠6 | pair
♥A, ♦J, ♣6, ♠4, ♣J | pair
♥A, ♦J, ♣6, ♠4, ♠6 | pair
♥A, ♦J, ♣6, ♠K, ♣J | pair
♥A, ♦J, ♣6, ♠K, ♠6 | pair
♥A, ♦J, ♣6, ♣J, ♠6 | two pairs
♥A, ♦J, ♠4, ♠K, ♣J | pair
♥A, ♦J, ♠4, ♣J, ♠6 | pair
♥A, ♦J, ♠K, ♣J, ♠6 | pair
♥A, ♣5, ♥3, ♣Q, ♣Q | pair
♥A, ♣5, ♥3, ♣6, ♠6 | pair
♥A, ♣5, ♦9, ♣Q, ♣Q | pair
♥A, ♣5, ♦9, ♣6, ♠6 | pair
♥A, ♣5, ♣8, ♣Q, ♣Q | pair
♥A, ♣5, ♣8, ♣6, ♠6 | pair
♥A, ♣5, ♣Q, ♣Q, ♣7 | pair
♥A, ♣5, ♣Q, ♣Q, ♣6 | pair
♥A, ♣5, ♣Q, ♣Q, ♠4 | pair
♥A, ♣5, ♣Q, ♣Q, ♠K | pair
♥A, ♣5, ♣Q, ♣Q, ♣J | pair
♥A, ♣5, ♣Q, ♣Q, ♠6 | pair
♥A, ♣5, ♣Q, ♣6, ♠6 | pair
♥A, ♣5, ♣Q, ♣6, ♠6 | pair
♥A, ♣5, ♣7, ♣6, ♠6 | pair
♥A, ♣5, ♣6, ♠4, ♠6 | pair
♥A, ♣5, ♣6, ♠K, ♠6 | pair
♥A, ♣5, ♣6, ♣J, ♠6 | pair
♥A, ♥3, ♦9, ♣Q, ♣Q | pair
♥A, ♥3, ♦9, ♣6, ♠6 | pair
♥A, ♥3, ♣8, ♣Q, ♣Q | pair
♥A, ♥3, ♣8, ♣6, ♠6 | pair
♥A, ♥3, ♣Q, ♣Q, ♣7 | pair
♥A, ♥3, ♣Q, ♣Q, ♣6 | pair
♥A, ♥3, ♣Q, ♣Q, ♠4 | pair
♥A, ♥3, ♣Q, ♣Q, ♠K | pair
♥A, ♥3, ♣Q, ♣Q, ♣J | pair
♥A, ♥3, ♣Q, ♣Q, ♠6 | pair
♥A, ♥3, ♣Q, ♣6, ♠6 | pair
♥A, ♥3, ♣Q, ♣6, ♠6 | pair
♥A, ♥3, ♣7, ♣6, ♠6 | pair
♥A, ♥3, ♣6, ♠4, ♠6 | pair
♥A, ♥3, ♣6, ♠K, ♠6 | pair
♥A, ♥3, ♣6, ♣J, ♠6 | pair
♥A, ♦9, ♣8, ♣Q, ♣Q | pair
♥A, ♦9, ♣8, ♣6, ♠6 | pair
♥A, ♦9, ♣Q, ♣Q, ♣7 | pair
♥A, ♦9, ♣Q, ♣Q, ♣6 | pair
♥A, ♦9, ♣Q, ♣Q, ♠4 | pair
♥A, ♦9, ♣Q, ♣Q, ♠K | pair
♥A, ♦9, ♣Q, ♣Q, ♣J | pair
♥A, ♦9, ♣Q, ♣Q, ♠6 | pair
♥A, ♦9, ♣Q, ♣6, ♠6 | pair
♥A, ♦9, ♣Q, ♣6, ♠6 | pair
♥A, ♦9, ♣7, ♣6, ♠6 | pair
♥A, ♦9, ♣6, ♠4, ♠6 | pair
♥A, ♦9, ♣6, ♠K, ♠6 | pair
♥A, ♦9, ♣6, ♣J, ♠6 | pair
♥A, ♣8, ♣Q, ♣Q, ♣7 | pair
♥A, ♣8, ♣Q, ♣Q, ♣6 | pair
♥A, ♣8, ♣Q, ♣Q, ♠4 | pair
♥A, ♣8, ♣Q, ♣Q, ♠K | pair
♥A, ♣8, ♣Q, ♣Q, ♣J | pair
♥A, ♣8, ♣Q, ♣Q, ♠6 | pair
♥A, ♣8, ♣Q, ♣6, ♠6 | pair
♥A, ♣8, ♣Q, ♣6, ♠6 | pair
♥A, ♣8, ♣7, ♣6, ♠6 | pair
♥A, ♣8, ♣6, ♠4, ♠6 | pair
♥A, ♣8, ♣6, ♠K, ♠6 | pair
♥A, ♣8, ♣6, ♣J, ♠6 | pair
♥A, ♣Q, ♣Q, ♣7, ♣6 | pair
♥A, ♣Q, ♣Q, ♣7, ♠4 | pair
♥A, ♣Q, ♣Q, ♣7, ♠K | pair
♥A, ♣Q, ♣Q, ♣7, ♣J | pair
♥A, ♣Q, ♣Q, ♣7, ♠6 | pair
♥A, ♣Q, ♣Q, ♣6, ♠4 | pair
♥A, ♣Q, ♣Q, ♣6, ♠K | pair
♥A, ♣Q, ♣Q, ♣6, ♣J | pair
♥A, ♣Q, ♣Q, ♣6, ♠6 | two pairs
♥A, ♣Q, ♣Q, ♠4, ♠K | pair
♥A, ♣Q, ♣Q, ♠4, ♣J | pair
♥A, ♣Q, ♣Q, ♠4, ♠6 | pair
♥A, ♣Q, ♣Q, ♠K, ♣J | pair
♥A, ♣Q, ♣Q, ♠K, ♠6 | pair
♥A, ♣Q, ♣Q, ♣J, ♠6 | pair
♥A, ♣Q, ♣7, ♣6, ♠6 | pair
♥A, ♣Q, ♣6, ♠4, ♠6 | pair
♥A, ♣Q, ♣6, ♠K, ♠6 | pair
♥A, ♣Q, ♣6, ♣J, ♠6 | pair
♥A, ♣Q, ♣7, ♣6, ♠6 | pair
♥A, ♣Q, ♣6, ♠4, ♠6 | pair
♥A, ♣Q, ♣6, ♠K, ♠6 | pair
♥A, ♣Q, ♣6, ♣J, ♠6 | pair
♥A, ♣7, ♣6, ♠4, ♠6 | pair
♥A, ♣7, ♣6, ♠K, ♠6 | pair
♥A, ♣7, ♣6, ♣J, ♠6 | pair
♥A, ♣6, ♠4, ♠K, ♠6 | pair
♥A, ♣6, ♠4, ♣J, ♠6 | pair
♥A, ♣6, ♠K, ♣J, ♠6 | pair
♥A, ♠7, ♦J, ♣5, ♣7 | pair
♥A, ♠7, ♦J, ♣5, ♣J | pair
♥A, ♠7, ♦J, ♥3, ♣7 | pair
♥A, ♠7, ♦J, ♥3, ♣J | pair
♥A, ♠7, ♦J, ♦9, ♣7 | pair
♥A, ♠7, ♦J, ♦9, ♣J | pair
♥A, ♠7, ♦J, ♣8, ♣7 | pair
♥A, ♠7, ♦J, ♣8, ♣J | pair
♥A, ♠7, ♦J, ♣Q, ♣Q | pair
♥A, ♠7, ♦J, ♣Q, ♣7 | pair
♥A, ♠7, ♦J, ♣Q, ♣J | pair
♥A, ♠7, ♦J, ♣Q, ♣7 | pair
♥A, ♠7, ♦J, ♣Q, ♣J | pair
♥A, ♠7, ♦J, ♣7, ♣6 | pair
♥A, ♠7, ♦J, ♣7, ♠4 | pair
♥A, ♠7, ♦J, ♣7, ♠K | pair
♥A, ♠7, ♦J, ♣7, ♣J | two pairs
♥A, ♠7, ♦J, ♣7, ♠6 | pair
♥A, ♠7, ♦J, ♣6, ♣J | pair
♥A, ♠7, ♦J, ♣6, ♠6 | pair
♥A, ♠7, ♦J, ♠4, ♣J | pair
♥A, ♠7, ♦J, ♠K, ♣J | pair
♥A, ♠7, ♦J, ♣J, ♠6 | pair
♥A, ♠7, ♣5, ♥3, ♣7 | pair
♥A, ♠7, ♣5, ♦9, ♣7 | pair
♥A, ♠7, ♣5, ♣8, ♣7 | pair
♥A, ♠7, ♣5, ♣Q, ♣Q | pair
♥A, ♠7, ♣5, ♣Q, ♣7 | pair
♥A, ♠7, ♣5, ♣Q, ♣7 | pair
♥A, ♠7, ♣5, ♣7, ♣6 | pair
♥A, ♠7, ♣5, ♣7, ♠4 | pair
♥A, ♠7, ♣5, ♣7, ♠K | pair
♥A, ♠7, ♣5, ♣7, ♣J | pair
♥A, ♠7, ♣5, ♣7, ♠6 | pair
♥A, ♠7, ♣5, ♣6, ♠6 | pair
♥A, ♠7, ♥3, ♦9, ♣7 | pair
♥A, ♠7, ♥3, ♣8, ♣7 | pair
♥A, ♠7, ♥3, ♣Q, ♣Q | pair
♥A, ♠7, ♥3, ♣Q, ♣7 | pair
♥A, ♠7, ♥3, ♣Q, ♣7 | pair
♥A, ♠7, ♥3, ♣7, ♣6 | pair
♥A, ♠7, ♥3, ♣7, ♠4 | pair
♥A, ♠7, ♥3, ♣7, ♠K | pair
♥A, ♠7, ♥3, ♣7, ♣J | pair
♥A, ♠7, ♥3, ♣7, ♠6 | pair
♥A, ♠7, ♥3, ♣6, ♠6 | pair
♥A, ♠7, ♦9, ♣8, ♣7 | pair
♥A, ♠7, ♦9, ♣Q, ♣Q | pair
♥A, ♠7, ♦9, ♣Q, ♣7 | pair
♥A, ♠7, ♦9, ♣Q, ♣7 | pair
♥A, ♠7, ♦9, ♣7, ♣6 | pair
♥A, ♠7, ♦9, ♣7, ♠4 | pair
♥A, ♠7, ♦9, ♣7, ♠K | pair
♥A, ♠7, ♦9, ♣7, ♣J | pair
♥A, ♠7, ♦9, ♣7, ♠6 | pair
♥A, ♠7, ♦9, ♣6, ♠6 | pair
♥A, ♠7, ♣8, ♣Q, ♣Q | pair
♥A, ♠7, ♣8, ♣Q, ♣7 | pair
♥A, ♠7, ♣8, ♣Q, ♣7 | pair
♥A, ♠7, ♣8, ♣7, ♣6 | pair
♥A, ♠7, ♣8, ♣7, ♠4 | pair
♥A, ♠7, ♣8, ♣7, ♠K | pair
♥A, ♠7, ♣8, ♣7, ♣J | pair
♥A, ♠7, ♣8, ♣7, ♠6 | pair
♥A, ♠7, ♣8, ♣6, ♠6 | pair
♥A, ♠7, ♣Q, ♣Q, ♣7 | two pairs
♥A, ♠7, ♣Q, ♣Q, ♣6 | pair
♥A, ♠7, ♣Q, ♣Q, ♠4 | pair
♥A, ♠7, ♣Q, ♣Q, ♠K | pair
♥A, ♠7, ♣Q, ♣Q, ♣J | pair
♥A, ♠7, ♣Q, ♣Q, ♠6 | pair
♥A, ♠7, ♣Q, ♣7, ♣6 | pair
♥A, ♠7, ♣Q, ♣7, ♠4 | pair
♥A, ♠7, ♣Q, ♣7, ♠K | pair
♥A, ♠7, ♣Q, ♣7, ♣J | pair
♥A, ♠7, ♣Q, ♣7, ♠6 | pair
♥A, ♠7, ♣Q, ♣6, ♠6 | pair
♥A, ♠7, ♣Q, ♣7, ♣6 | pair
♥A, ♠7, ♣Q, ♣7, ♠4 | pair
♥A, ♠7, ♣Q, ♣7, ♠K | pair
♥A, ♠7, ♣Q, ♣7, ♣J | pair
♥A, ♠7, ♣Q, ♣7, ♠6 | pair
♥A, ♠7, ♣Q, ♣6, ♠6 | pair
♥A, ♠7, ♣7, ♣6, ♠4 | pair
♥A, ♠7, ♣7, ♣6, ♠K | pair
♥A, ♠7, ♣7, ♣6, ♣J | pair
♥A, ♠7, ♣7, ♣6, ♠6 | two pairs
♥A, ♠7, ♣7, ♠4, ♠K | pair
♥A, ♠7, ♣7, ♠4, ♣J | pair
♥A, ♠7, ♣7, ♠4, ♠6 | pair
♥A, ♠7, ♣7, ♠K, ♣J | pair
♥A, ♠7, ♣7, ♠K, ♠6 | pair
♥A, ♠7, ♣7, ♣J, ♠6 | pair
♥A, ♠7, ♣6, ♠4, ♠6 | pair
♥A, ♠7, ♣6, ♠K, ♠6 | pair
♥A, ♠7, ♣6, ♣J, ♠6 | pair
♥A, ♦J, ♣5, ♥3, ♣J | pair
♥A, ♦J, ♣5, ♦9, ♣J | pair
♥A, ♦J, ♣5, ♣8, ♣J | pair
♥A, ♦J, ♣5, ♣Q, ♣Q | pair
♥A, ♦J, ♣5, ♣Q, ♣J | pair
♥A, ♦J, ♣5, ♣Q, ♣J | pair
♥A, ♦J, ♣5, ♣7, ♣J | pair
♥A, ♦J, ♣5, ♣6, ♣J | pair
♥A, ♦J, ♣5, ♣6, ♠6 | pair
♥A, ♦J, ♣5, ♠4, ♣J | pair
♥A, ♦J, ♣5, ♠K, ♣J | pair
♥A, ♦J, ♣5, ♣J, ♠6 | pair
♥A, ♦J, ♥3, ♦9, ♣J | pair
♥A, ♦J, ♥3, ♣8, ♣J | pair
♥A, ♦J, ♥3, ♣Q, ♣Q | pair
♥A, ♦J, ♥3, ♣Q, ♣J | pair
♥A, ♦J, ♥3, ♣Q, ♣J | pair
♥A, ♦J, ♥3, ♣7, ♣J | pair
♥A, ♦J, ♥3, ♣6, ♣J | pair
♥A, ♦J, ♥3, ♣6, ♠6 | pair
♥A, ♦J, ♥3, ♠4, ♣J | pair
♥A, ♦J, ♥3, ♠K, ♣J | pair
♥A, ♦J, ♥3, ♣J, ♠6 | pair
♥A, ♦J, ♦9, ♣8, ♣J | pair
♥A, ♦J, ♦9, ♣Q, ♣Q | pair
♥A, ♦J, ♦9, ♣Q, ♣J | pair
♥A, ♦J, ♦9, ♣Q, ♣J | pair
♥A, ♦J, ♦9, ♣7, ♣J | pair
♥A, ♦J, ♦9, ♣6, ♣J | pair
♥A, ♦J, ♦9, ♣6, ♠6 | pair
♥A, ♦J, ♦9, ♠4, ♣J | pair
♥A, ♦J, ♦9, ♠K, ♣J | pair
♥A, ♦J, ♦9, ♣J, ♠6 | pair
♥A, ♦J, ♣8, ♣Q, ♣Q | pair
♥A, ♦J, ♣8, ♣Q, ♣J | pair
♥A, ♦J, ♣8, ♣Q, ♣J | pair
♥A, ♦J, ♣8, ♣7, ♣J | pair
♥A, ♦J, ♣8, ♣6, ♣J | pair
♥A, ♦J, ♣8, ♣6, ♠6 | pair
♥A, ♦J, ♣8, ♠4, ♣J | pair
♥A, ♦J, ♣8, ♠K, ♣J | pair
♥A, ♦J, ♣8, ♣J, ♠6 | pair
♥A, ♦J, ♣Q, ♣Q, ♣7 | pair
♥A, ♦J, ♣Q, ♣Q, ♣6 | pair
♥A, ♦J, ♣Q, ♣Q, ♠4 | pair
♥A, ♦J, ♣Q, ♣Q, ♠K | pair
♥A, ♦J, ♣Q, ♣Q, ♣J | two pairs
♥A, ♦J, ♣Q, ♣Q, ♠6 | pair
♥A, ♦J, ♣Q, ♣7, ♣J | pair
♥A, ♦J, ♣Q, ♣6, ♣J | pair
♥A, ♦J, ♣Q, ♣6, ♠6 | pair
♥A, ♦J, ♣Q, ♠4, ♣J | pair
♥A, ♦J, ♣Q, ♠K, ♣J | pair
♥A, ♦J, ♣Q, ♣J, ♠6 | pair
♥A, ♦J, ♣Q, ♣7, ♣J | pair
♥A, ♦J, ♣Q, ♣6, ♣J | pair
♥A, ♦J, ♣Q, ♣6, ♠6 | pair
♥A, ♦J, ♣Q, ♠4, ♣J | pair
♥A, ♦J, ♣Q, ♠K, ♣J | pair
♥A, ♦J, ♣Q, ♣J, ♠6 | pair
♥A, ♦J, ♣7, ♣6, ♣J | pair
♥A, ♦J, ♣7, ♣6, ♠6 | pair
♥A, ♦J, ♣7, ♠4, ♣J | pair
♥A, ♦J, ♣7, ♠K, ♣J | pair
♥A, ♦J, ♣7, ♣J, ♠6 | pair
♥A, ♦J, ♣6, ♠4, ♣J | pair
♥A, ♦J, ♣6, ♠4, ♠6 | pair
♥A, ♦J, ♣6, ♠K, ♣J | pair
♥A, ♦J, ♣6, ♠K, ♠6 | pair
♥A, ♦J, ♣6, ♣J, ♠6 | two pairs
♥A, ♦J, ♠4, ♠K, ♣J | pair
♥A, ♦J, ♠4, ♣J, ♠6 | pair
♥A, ♦J, ♠K, ♣J, ♠6 | pair
♥A, ♣5, ♥3, ♣Q, ♣Q | pair
♥A, ♣5, ♥3, ♣6, ♠6 | pair
♥A, ♣5, ♦9, ♣Q, ♣Q | pair
♥A, ♣5, ♦9, ♣6, ♠6 | pair
♥A, ♣5, ♣8, ♣Q, ♣Q | pair
♥A, ♣5, ♣8, ♣6, ♠6 | pair
♥A, ♣5, ♣Q, ♣Q, ♣7 | pair
♥A, ♣5, ♣Q, ♣Q, ♣6 | pair
♥A, ♣5, ♣Q, ♣Q, ♠4 | pair
♥A, ♣5, ♣Q, ♣Q, ♠K | pair
♥A, ♣5, ♣Q, ♣Q, ♣J | pair
♥A, ♣5, ♣Q, ♣Q, ♠6 | pair
♥A, ♣5, ♣Q, ♣6, ♠6 | pair
♥A, ♣5, ♣Q, ♣6, ♠6 | pair
♥A, ♣5, ♣7, ♣6, ♠6 | pair
♥A, ♣5, ♣6, ♠4, ♠6 | pair
♥A, ♣5, ♣6, ♠K, ♠6 | pair
♥A, ♣5, ♣6, ♣J, ♠6 | pair
♥A, ♥3, ♦9, ♣Q, ♣Q | pair
♥A, ♥3, ♦9, ♣6, ♠6 | pair
♥A, ♥3, ♣8, ♣Q, ♣Q | pair
♥A, ♥3, ♣8, ♣6, ♠6 | pair
♥A, ♥3, ♣Q, ♣Q, ♣7 | pair
♥A, ♥3, ♣Q, ♣Q, ♣6 | pair
♥A, ♥3, ♣Q, ♣Q, ♠4 | pair
♥A, ♥3, ♣Q, ♣Q, ♠K | pair
♥A, ♥3, ♣Q, ♣Q, ♣J | pair
♥A, ♥3, ♣Q, ♣Q, ♠6 | pair
♥A, ♥3, ♣Q, ♣6, ♠6 | pair
♥A, ♥3, ♣Q, ♣6, ♠6 | pair
♥A, ♥3, ♣7, ♣6, ♠6 | pair
♥A, ♥3, ♣6, ♠4, ♠6 | pair
♥A, ♥3, ♣6, ♠K, ♠6 | pair
♥A, ♥3, ♣6, ♣J, ♠6 | pair
♥A, ♦9, ♣8, ♣Q, ♣Q | pair
♥A, ♦9, ♣8, ♣6, ♠6 | pair
♥A, ♦9, ♣Q, ♣Q, ♣7 | pair
♥A, ♦9, ♣Q, ♣Q, ♣6 | pair
♥A, ♦9, ♣Q, ♣Q, ♠4 | pair
♥A, ♦9, ♣Q, ♣Q, ♠K | pair
♥A, ♦9, ♣Q, ♣Q, ♣J | pair
♥A, ♦9, ♣Q, ♣Q, ♠6 | pair
♥A, ♦9, ♣Q, ♣6, ♠6 | pair
♥A, ♦9, ♣Q, ♣6, ♠6 | pair
♥A, ♦9, ♣7, ♣6, ♠6 | pair
♥A, ♦9, ♣6, ♠4, ♠6 | pair
♥A, ♦9, ♣6, ♠K, ♠6 | pair
♥A, ♦9, ♣6, ♣J, ♠6 | pair
♥A, ♣8, ♣Q, ♣Q, ♣7 | pair
♥A, ♣8, ♣Q, ♣Q, ♣6 | pair
♥A, ♣8, ♣Q, ♣Q, ♠4 | pair
♥A, ♣8, ♣Q, ♣Q, ♠K | pair
♥A, ♣8, ♣Q, ♣Q, ♣J | pair
♥A, ♣8, ♣Q, ♣Q, ♠6 | pair
♥A, ♣8, ♣Q, ♣6, ♠6 | pair
♥A, ♣8, ♣Q, ♣6, ♠6 | pair
♥A, ♣8, ♣7, ♣6, ♠6 | pair
♥A, ♣8, ♣6, ♠4, ♠6 | pair
♥A, ♣8, ♣6, ♠K, ♠6 | pair
♥A, ♣8, ♣6, ♣J, ♠6 | pair
♥A, ♣Q, ♣Q, ♣7, ♣6 | pair
♥A, ♣Q, ♣Q, ♣7, ♠4 | pair
♥A, ♣Q, ♣Q, ♣7, ♠K | pair
♥A, ♣Q, ♣Q, ♣7, ♣J | pair
♥A, ♣Q, ♣Q, ♣7, ♠6 | pair
♥A, ♣Q, ♣Q, ♣6, ♠4 | pair
♥A, ♣Q, ♣Q, ♣6, ♠K | pair
♥A, ♣Q, ♣Q, ♣6, ♣J | pair
♥A, ♣Q, ♣Q, ♣6, ♠6 | two pairs
♥A, ♣Q, ♣Q, ♠4, ♠K | pair
♥A, ♣Q, ♣Q, ♠4, ♣J | pair
♥A, ♣Q, ♣Q, ♠4, ♠6 | pair
♥A, ♣Q, ♣Q, ♠K, ♣J | pair
♥A, ♣Q, ♣Q, ♠K, ♠6 | pair
♥A, ♣Q, ♣Q, ♣J, ♠6 | pair
♥A, ♣Q, ♣7, ♣6, ♠6 | pair
♥A, ♣Q, ♣6, ♠4, ♠6 | pair
♥A, ♣Q, ♣6, ♠K, ♠6 | pair
♥A, ♣Q, ♣6, ♣J, ♠6 | pair
♥A, ♣Q, ♣7, ♣6, ♠6 | pair
♥A, ♣Q, ♣6, ♠4, ♠6 | pair
♥A, ♣Q, ♣6, ♠K, ♠6 | pair
♥A, ♣Q, ♣6, ♣J, ♠6 | pair
♥A, ♣7, ♣6, ♠4, ♠6 | pair
♥A, ♣7, ♣6, ♠K, ♠6 | pair
♥A, ♣7, ♣6, ♣J, ♠6 | pair
♥A, ♣6, ♠4, ♠K, ♠6 | pair
♥A, ♣6, ♠4, ♣J, ♠6 | pair
♥A, ♣6, ♠K, ♣J, ♠6 | pair
♠7, ♦J, ♣5, ♥3, ♣7 | pair
♠7, ♦J, ♣5, ♥3, ♣J | pair
♠7, ♦J, ♣5, ♦9, ♣7 | pair
♠7, ♦J, ♣5, ♦9, ♣J | pair
♠7, ♦J, ♣5, ♣8, ♣7 | pair
♠7, ♦J, ♣5, ♣8, ♣J | pair
♠7, ♦J, ♣5, ♣Q, ♣Q | pair
♠7, ♦J, ♣5, ♣Q, ♣7 | pair
♠7, ♦J, ♣5, ♣Q, ♣J | pair
♠7, ♦J, ♣5, ♣Q, ♣7 | pair
♠7, ♦J, ♣5, ♣Q, ♣J | pair
♠7, ♦J, ♣5, ♣7, ♣6 | pair
♠7, ♦J, ♣5, ♣7, ♠4 | pair
♠7, ♦J, ♣5, ♣7, ♠K | pair
♠7, ♦J, ♣5, ♣7, ♣J | two pairs
♠7, ♦J, ♣5, ♣7, ♠6 | pair
♠7, ♦J, ♣5, ♣6, ♣J | pair
♠7, ♦J, ♣5, ♣6, ♠6 | pair
♠7, ♦J, ♣5, ♠4, ♣J | pair
♠7, ♦J, ♣5, ♠K, ♣J | pair
♠7, ♦J, ♣5, ♣J, ♠6 | pair
♠7, ♦J, ♥3, ♦9, ♣7 | pair
♠7, ♦J, ♥3, ♦9, ♣J | pair
♠7, ♦J, ♥3, ♣8, ♣7 | pair
♠7, ♦J, ♥3, ♣8, ♣J | pair
♠7, ♦J, ♥3, ♣Q, ♣Q | pair
♠7, ♦J, ♥3, ♣Q, ♣7 | pair
♠7, ♦J, ♥3, ♣Q, ♣J | pair
♠7, ♦J, ♥3, ♣Q, ♣7 | pair
♠7, ♦J, ♥3, ♣Q, ♣J | pair
♠7, ♦J, ♥3, ♣7, ♣6 | pair
♠7, ♦J, ♥3, ♣7, ♠4 | pair
♠7, ♦J, ♥3, ♣7, ♠K | pair
♠7, ♦J, ♥3, ♣7, ♣J | two pairs
♠7, ♦J, ♥3, ♣7, ♠6 | pair
♠7, ♦J, ♥3, ♣6, ♣J | pair
♠7, ♦J, ♥3, ♣6, ♠6 | pair
♠7, ♦J, ♥3, ♠4, ♣J | pair
♠7, ♦J, ♥3, ♠K, ♣J | pair
♠7, ♦J, ♥3, ♣J, ♠6 | pair
♠7, ♦J, ♦9, ♣8, ♣7 | pair
♠7, ♦J, ♦9, ♣8, ♣J | pair
♠7, ♦J, ♦9, ♣Q, ♣Q | pair
♠7, ♦J, ♦9, ♣Q, ♣7 | pair
♠7, ♦J, ♦9, ♣Q, ♣J | pair
♠7, ♦J, ♦9, ♣Q, ♣7 | pair
♠7, ♦J, ♦9, ♣Q, ♣J | pair
♠7, ♦J, ♦9, ♣7, ♣6 | pair
♠7, ♦J, ♦9, ♣7, ♠4 | pair
♠7, ♦J, ♦9, ♣7, ♠K | pair
♠7, ♦J, ♦9, ♣7, ♣J | two pairs
♠7, ♦J, ♦9, ♣7, ♠6 | pair
♠7, ♦J, ♦9, ♣6, ♣J | pair
♠7, ♦J, ♦9, ♣6, ♠6 | pair
♠7, ♦J, ♦9, ♠4, ♣J | pair
♠7, ♦J, ♦9, ♠K, ♣J | pair
♠7, ♦J, ♦9, ♣J, ♠6 | pair
♠7, ♦J, ♣8, ♣Q, ♣Q | pair
♠7, ♦J, ♣8, ♣Q, ♣7 | pair
♠7, ♦J, ♣8, ♣Q, ♣J | pair
♠7, ♦J, ♣8, ♣Q, ♣7 | pair
♠7, ♦J, ♣8, ♣Q, ♣J | pair
♠7, ♦J, ♣8, ♣7, ♣6 | pair
♠7, ♦J, ♣8, ♣7, ♠4 | pair
♠7, ♦J, ♣8, ♣7, ♠K | pair
♠7, ♦J, ♣8, ♣7, ♣J | two pairs
♠7, ♦J, ♣8, ♣7, ♠6 | pair
♠7, ♦J, ♣8, ♣6, ♣J | pair
♠7, ♦J, ♣8, ♣6, ♠6 | pair
♠7, ♦J, ♣8, ♠4, ♣J | pair
♠7, ♦J, ♣8, ♠K, ♣J | pair
♠7, ♦J, ♣8, ♣J, ♠6 | pair
♠7, ♦J, ♣Q, ♣Q, ♣7 | two pairs
♠7, ♦J, ♣Q, ♣Q, ♣6 | pair
♠7, ♦J, ♣Q, ♣Q, ♠4 | pair
♠7, ♦J, ♣Q, ♣Q, ♠K | pair
♠7, ♦J, ♣Q, ♣Q, ♣J | two pairs
♠7, ♦J, ♣Q, ♣Q, ♠6 | pair
♠7, ♦J, ♣Q, ♣7, ♣6 | pair
♠7, ♦J, ♣Q, ♣7, ♠4 | pair
♠7, ♦J, ♣Q, ♣7, ♠K | pair
♠7, ♦J, ♣Q, ♣7, ♣J | two pairs
♠7, ♦J, ♣Q, ♣7, ♠6 | pair
♠7, ♦J, ♣Q, ♣6, ♣J | pair
♠7, ♦J, ♣Q, ♣6, ♠6 | pair
♠7, ♦J, ♣Q, ♠4, ♣J | pair
♠7, ♦J, ♣Q, ♠K, ♣J | pair
♠7, ♦J, ♣Q, ♣J, ♠6 | pair
♠7, ♦J, ♣Q, ♣7, ♣6 | pair
♠7, ♦J, ♣Q, ♣7, ♠4 | pair
♠7, ♦J, ♣Q, ♣7, ♠K | pair
♠7, ♦J, ♣Q, ♣7, ♣J | two pairs
♠7, ♦J, ♣Q, ♣7, ♠6 | pair
♠7, ♦J, ♣Q, ♣6, ♣J | pair
♠7, ♦J, ♣Q, ♣6, ♠6 | pair
♠7, ♦J, ♣Q, ♠4, ♣J | pair
♠7, ♦J, ♣Q, ♠K, ♣J | pair
♠7, ♦J, ♣Q, ♣J, ♠6 | pair
♠7, ♦J, ♣7, ♣6, ♠4 | pair
♠7, ♦J, ♣7, ♣6, ♠K | pair
♠7, ♦J, ♣7, ♣6, ♣J | two pairs
♠7, ♦J, ♣7, ♣6, ♠6 | two pairs
♠7, ♦J, ♣7, ♠4, ♠K | pair
♠7, ♦J, ♣7, ♠4, ♣J | two pairs
♠7, ♦J, ♣7, ♠4, ♠6 | pair
♠7, ♦J, ♣7, ♠K, ♣J | two pairs
