♦7, ♣Q, ♠J, ♣3, ♥3 | pair
♣Q, ♠J, ♥3, ♣Q, ♥4 | pair
♣Q, ♠J, ♥3, ♣Q, ♥8 | pair
♣Q, ♠J, ♥3, ♠10, ♥J | pair
♣Q, ♠J, ♥3, ♠K, ♥K | pair
♣Q, ♠J, ♥3, ♠K, ♥J | pair
♣Q, ♠J, ♥3, ♣A, ♥J | pair
♣Q, ♠J, ♥3, ♥K, ♥J | pair
♣Q, ♠J, ♥3, ♥J, ♦4 | pair
♣Q, ♠J, ♥3, ♥J, ♥4 | pair
♣Q, ♠J, ♥3, ♥J, ♥8 | pair
♣Q, ♠J, ♥3, ♦4, ♥4 | pair
♣Q, ♠J, ♣Q, ♠10, ♠K | pair
♣Q, ♠J, ♣Q, ♠10, ♣A | pair
♣Q, ♠J, ♣Q, ♠10, ♥K | pair
♣Q, ♠J, ♣Q, ♠10, ♥J | two pairs
♣Q, ♠J, ♣Q, ♠10, ♦4 | pair
♣Q, ♠J, ♣Q, ♠10, ♥4 | pair
♣Q, ♠J, ♣Q, ♠10, ♥8 | pair
♣Q, ♠J, ♣Q, ♠K, ♣A | pair
♣Q, ♠J, ♣Q, ♠K, ♥K | two pairs
♣Q, ♠J, ♣Q, ♠K, ♥J | two pairs
♣Q, ♠J, ♣Q, ♠K, ♦4 | pair
♣Q, ♠J, ♣Q, ♠K, ♥4 | pair
♣Q, ♠J, ♣Q, ♠K, ♥8 | pair
♣Q, ♠J, ♣Q, ♣A, ♥K | pair
♣Q, ♠J, ♣Q, ♣A, ♥J | two pairs
♣Q, ♠J, ♣Q, ♣A, ♦4 | pair
♣Q, ♠J, ♣Q, ♣A, ♥4 | pair
♣Q, ♠J, ♣Q, ♣A, ♥8 | pair
♣Q, ♠J, ♣Q, ♥K, ♥J | two pairs
♣Q, ♠J, ♣Q, ♥K, ♦4 | pair
♣Q, ♠J, ♣Q, ♥K, ♥4 | pair
♣Q, ♠J, ♣Q, ♥K, ♥8 | pair
♣Q, ♠J, ♣Q, ♥J, ♦4 | two pairs
♣Q, ♠J, ♣Q, ♥J, ♥4 | two pairs
♣Q, ♠J, ♣Q, ♥J, ♥8 | two pairs
♣Q, ♠J, ♣Q, ♦4, ♥4 | two pairs
♣Q, ♠J, ♣Q, ♦4, ♥8 | pair
♣Q, ♠J, ♣Q, ♥4, ♥8 | pair
♣Q, ♠J, ♠10, ♠K, ♣A | straight
♣Q, ♠J, ♠10, ♠K, ♥K | pair
♣Q, ♠J, ♠10, ♠K, ♥J | pair
♣Q, ♠J, ♠10, ♣A, ♥K | straight
♣Q, ♠J, ♠10, ♣A, ♥J | pair
♣Q, ♠J, ♠10, ♥K, ♥J | pair
♣Q, ♠J, ♠10, ♥J, ♦4 | pair
♣Q, ♠J, ♠10, ♥J, ♥4 | pair
♣Q, ♠J, ♠10, ♥J, ♥8 | pair
♣Q, ♠J, ♠10, ♦4, ♥4 | pair
♣Q, ♠J, ♠K, ♣A, ♥K | pair
♣Q, ♠J, ♠K, ♣A, ♥J | pair
♣Q, ♠J, ♠K, ♥K, ♥J | two pairs
♣Q, ♠J, ♠K, ♥K, ♦4 | pair
♣Q, ♠J, ♠K, ♥K, ♥4 | pair
♣Q, ♠J, ♠K, ♥K, ♥8 | pair
♣Q, ♠J, ♠K, ♥J, ♦4 | pair
♣Q, ♠J, ♠K, ♥J, ♥4 | pair
♣Q, ♠J, ♠K, ♥J, ♥8 | pair
♣Q, ♠J, ♠K, ♦4, ♥4 | pair
♣Q, ♠J, ♣A, ♥K, ♥J | pair
♣Q, ♠J, ♣A, ♥J, ♦4 | pair
♣Q, ♠J, ♣A, ♥J, ♥4 | pair
♣Q, ♠J, ♣A, ♥J, ♥8 | pair
♣Q, ♠J, ♣A, ♦4, ♥4 | pair
♣Q, ♠J, ♥K, ♥J, ♦4 | pair
♣Q, ♠J, ♥K, ♥J, ♥4 | pair
♣Q, ♠J, ♥K, ♥J, ♥8 | pair
♣Q, ♠J, ♥K, ♦4, ♥4 | pair
♣Q, ♠J, ♥J, ♦4, ♥4 | two pairs
♣Q, ♠J, ♥J, ♦4, ♥8 | pair
♣Q, ♠J, ♥J, ♥4, ♥8 | pair
♣Q, ♠J, ♦4, ♥4, ♥8 | pair
♣Q, ♣3, ♥K, ♥3, ♣Q | two pairs
♣Q, ♣3, ♥K, ♥3, ♠10 | pair
♣Q, ♣3, ♥K, ♥3, ♠K | two pairs
♣Q, ♣3, ♥K, ♥3, ♣A | pair
♣Q, ♣3, ♥K, ♥3, ♥K | two pairs
♣Q, ♣3, ♥K, ♥3, ♥J | pair
♣Q, ♣3, ♥K, ♥3, ♦4 | pair
♣Q, ♣3, ♥K, ♥3, ♥4 | pair
♣Q, ♣3, ♥K, ♥3, ♥8 | pair
♣Q, ♣3, ♥K, ♣Q, ♠10 | pair
♣Q, ♣3, ♥K, ♣Q, ♠K | two pairs
♣Q, ♣3, ♥K, ♣Q, ♣A | pair
♣Q, ♣3, ♥K, ♣Q, ♥K | two pairs
♣Q, ♣3, ♥K, ♣Q, ♥J | pair
♣Q, ♣3, ♥K, ♣Q, ♦4 | pair
♣Q, ♣3, ♥K, ♣Q, ♥4 | pair
♣Q, ♣3, ♥K, ♣Q, ♥8 | pair
♣Q, ♣3, ♥K, ♠10, ♠K | pair
♣Q, ♣3, ♥K, ♠10, ♥K | pair
♣Q, ♣3, ♥K, ♠K, ♣A | pair
♣Q, ♣3, ♥K, ♠K, ♥K | three of a kind
♣Q, ♣3, ♥K, ♠K, ♥J | pair
♣Q, ♣3, ♥K, ♠K, ♦4 | pair
♣Q, ♣3, ♥K, ♠K, ♥4 | pair
♣Q, ♣3, ♥K, ♠K, ♥8 | pair
♣Q, ♣3, ♥K, ♣A, ♥K | pair
♣Q, ♣3, ♥K, ♥K, ♥J | pair
♣Q, ♣3, ♥K, ♥K, ♦4 | pair
♣Q, ♣3, ♥K, ♥K, ♥4 | pair
♣Q, ♣3, ♥K, ♥K, ♥8 | pair
♣Q, ♣3, ♥K, ♦4, ♥4 | pair
♣Q, ♣3, ♥3, ♣Q, ♠10 | two pairs
♣Q, ♣3, ♥3, ♣Q, ♠K | two pairs
♣Q, ♣3, ♥3, ♣Q, ♣A | two pairs
♣Q, ♣3, ♥3, ♣Q, ♥K | two pairs
♣Q, ♣3, ♥3, ♣Q, ♥J | two pairs
♣Q, ♣3, ♥3, ♣Q, ♦4 | two pairs
♣Q, ♣3, ♥3, ♣Q, ♥4 | two pairs
♣Q, ♣3, ♥3, ♣Q, ♥8 | two pairs
♣Q, ♣3, ♥3, ♠10, ♠K | pair
♣Q, ♣3, ♥3, ♠10, ♣A | pair
♣Q, ♣3, ♥3, ♠10, ♥K | pair
♣Q, ♣3, ♥3, ♠10, ♥J | pair
♣Q, ♣3, ♥3, ♠10, ♦4 | pair
♣Q, ♣3, ♥3, ♠10, ♥4 | pair
♣Q, ♣3, ♥3, ♠10, ♥8 | pair
♣Q, ♣3, ♥3, ♠K, ♣A | pair
♣Q, ♣3, ♥3, ♠K, ♥K | two pairs
♣Q, ♣3, ♥3, ♠K, ♥J | pair
♣Q, ♣3, ♥3, ♠K, ♦4 | pair
♣Q, ♣3, ♥3, ♠K, ♥4 | pair
♣Q, ♣3, ♥3, ♠K, ♥8 | pair
♣Q, ♣3, ♥3, ♣A, ♥K | pair
♣Q, ♣3, ♥3, ♣A, ♥J | pair
♣Q, ♣3, ♥3, ♣A, ♦4 | pair
♣Q, ♣3, ♥3, ♣A, ♥4 | pair
♣Q, ♣3, ♥3, ♣A, ♥8 | pair
♣Q, ♣3, ♥3, ♥K, ♥J | pair
♣Q, ♣3, ♥3, ♥K, ♦4 | pair
♣Q, ♣3, ♥3, ♥K, ♥4 | pair
♣Q, ♣3, ♥3, ♥K, ♥8 | pair
♣Q, ♣3, ♥3, ♥J, ♦4 | pair
♣Q, ♣3, ♥3, ♥J, ♥4 | pair
♣Q, ♣3, ♥3, ♥J, ♥8 | pair
♣Q, ♣3, ♥3, ♦4, ♥4 | two pairs
♣Q, ♣3, ♥3, ♦4, ♥8 | pair
♣Q, ♣3, ♥3, ♥4, ♥8 | pair
♣Q, ♣3, ♣Q, ♠10, ♠K | pair
♣Q, ♣3, ♣Q, ♠10, ♣A | pair
♣Q, ♣3, ♣Q, ♠10, ♥K | pair
♣Q, ♣3, ♣Q, ♠10, ♥J | pair
♣Q, ♣3, ♣Q, ♠10, ♦4 | pair
♣Q, ♣3, ♣Q, ♠10, ♥4 | pair
♣Q, ♣3, ♣Q, ♠10, ♥8 | pair
♣Q, ♣3, ♣Q, ♠K, ♣A | pair
♣Q, ♣3, ♣Q, ♠K, ♥K | two pairs
♣Q, ♣3, ♣Q, ♠K, ♥J | pair
♣Q, ♣3, ♣Q, ♠K, ♦4 | pair
♣Q, ♣3, ♣Q, ♠K, ♥4 | pair
♣Q, ♣3, ♣Q, ♠K, ♥8 | pair
♣Q, ♣3, ♣Q, ♣A, ♥K | pair
♣Q, ♣3, ♣Q, ♣A, ♥J | pair
♣Q, ♣3, ♣Q, ♣A, ♦4 | pair
♣Q, ♣3, ♣Q, ♣A, ♥4 | pair
♣Q, ♣3, ♣Q, ♣A, ♥8 | pair
♣Q, ♣3, ♣Q, ♥K, ♥J | pair
♣Q, ♣3, ♣Q, ♥K, ♦4 | pair
♣Q, ♣3, ♣Q, ♥K, ♥4 | pair
♣Q, ♣3, ♣Q, ♥K, ♥8 | pair
♣Q, ♣3, ♣Q, ♥J, ♦4 | pair
♣Q, ♣3, ♣Q, ♥J, ♥4 | pair
♣Q, ♣3, ♣Q, ♥J, ♥8 | pair
♣Q, ♣3, ♣Q, ♦4, ♥4 | two pairs
♣Q, ♣3, ♣Q, ♦4, ♥8 | pair
♣Q, ♣3, ♣Q, ♥4, ♥8 | pair
♣Q, ♣3, ♠10, ♠K, ♥K | pair
♣Q, ♣3, ♠10, ♦4, ♥4 | pair
♣Q, ♣3, ♠K, ♣A, ♥K | pair
♣Q, ♣3, ♠K, ♥K, ♥J | pair
♣Q, ♣3, ♠K, ♥K, ♦4 | pair
♣Q, ♣3, ♠K, ♥K, ♥4 | pair
♣Q, ♣3, ♠K, ♥K, ♥8 | pair
♣Q, ♣3, ♠K, ♦4, ♥4 | pair
♣Q, ♣3, ♣A, ♦4, ♥4 | pair
♣Q, ♣3, ♥K, ♦4, ♥4 | pair
♣Q, ♣3, ♥J, ♦4, ♥4 | pair
♣Q, ♣3, ♦4, ♥4, ♥8 | pair
♣Q, ♥K, ♥3, ♣Q, ♠10 | pair
♣Q, ♥K, ♥3, ♣Q, ♠K | two pairs
♣Q, ♥K, ♥3, ♣Q, ♣A | pair
♣Q, ♥K, ♥3, ♣Q, ♥K | two pairs
♣Q, ♥K, ♥3, ♣Q, ♥J | pair
♣Q, ♥K, ♥3, ♣Q, ♦4 | pair
♣Q, ♥K, ♥3, ♣Q, ♥4 | pair
♣Q, ♥K, ♥3, ♣Q, ♥8 | pair
♣Q, ♥K, ♥3, ♠10, ♠K | pair
♣Q, ♥K, ♥3, ♠10, ♥K | pair
♣Q, ♥K, ♥3, ♠K, ♣A | pair
♣Q, ♥K, ♥3, ♠K, ♥K | three of a kind
♣Q, ♥K, ♥3, ♠K, ♥J | pair
♣Q, ♥K, ♥3, ♠K, ♦4 | pair
♣Q, ♥K, ♥3, ♠K, ♥4 | pair
♣Q, ♥K, ♥3, ♠K, ♥8 | pair
♣Q, ♥K, ♥3, ♣A, ♥K | pair
♣Q, ♥K, ♥3, ♥K, ♥J | pair
♣Q, ♥K, ♥3, ♥K, ♦4 | pair
♣Q, ♥K, ♥3, ♥K, ♥4 | pair
♣Q, ♥K, ♥3, ♥K, ♥8 | pair
♣Q, ♥K, ♥3, ♦4, ♥4 | pair
♣Q, ♥K, ♣Q, ♠10, ♠K | two pairs
♣Q, ♥K, ♣Q, ♠10, ♣A | pair
♣Q, ♥K, ♣Q, ♠10, ♥K | two pairs
♣Q, ♥K, ♣Q, ♠10, ♥J | pair
♣Q, ♥K, ♣Q, ♠10, ♦4 | pair
♣Q, ♥K, ♣Q, ♠10, ♥4 | pair
♣Q, ♥K, ♣Q, ♠10, ♥8 | pair
♣Q, ♥K, ♣Q, ♠K, ♣A | two pairs
♣Q, ♥K, ♣Q, ♠K, ♥K | fullhouse
♣Q, ♥K, ♣Q, ♠K, ♥J | two pairs
♣Q, ♥K, ♣Q, ♠K, ♦4 | two pairs
♣Q, ♥K, ♣Q, ♠K, ♥4 | two pairs
♣Q, ♥K, ♣Q, ♠K, ♥8 | two pairs
♣Q, ♥K, ♣Q, ♣A, ♥K | two pairs
♣Q, ♥K, ♣Q, ♣A, ♥J | pair
♣Q, ♥K, ♣Q, ♣A, ♦4 | pair
♣Q, ♥K, ♣Q, ♣A, ♥4 | pair
♣Q, ♥K, ♣Q, ♣A, ♥8 | pair
♣Q, ♥K, ♣Q, ♥K, ♥J | two pairs
♣Q, ♥K, ♣Q, ♥K, ♦4 | two pairs
♣Q, ♥K, ♣Q, ♥K, ♥4 | two pairs
♣Q, ♥K, ♣Q, ♥K, ♥8 | two pairs
♣Q, ♥K, ♣Q, ♥J, ♦4 | pair
♣Q, ♥K, ♣Q, ♥J, ♥4 | pair
♣Q, ♥K, ♣Q, ♥J, ♥8 | pair
♣Q, ♥K, ♣Q, ♦4, ♥4 | two pairs
♣Q, ♥K, ♣Q, ♦4, ♥8 | pair
♣Q, ♥K, ♣Q, ♥4, ♥8 | pair
♣Q, ♥K, ♠10, ♠K, ♣A | pair
♣Q, ♥K, ♠10, ♠K, ♥K | three of a kind
♣Q, ♥K, ♠10, ♠K, ♥J | pair
♣Q, ♥K, ♠10, ♠K, ♦4 | pair
♣Q, ♥K, ♠10, ♠K, ♥4 | pair
♣Q, ♥K, ♠10, ♠K, ♥8 | pair
♣Q, ♥K, ♠10, ♣A, ♥K | pair
♣Q, ♥K, ♠10, ♣A, ♥J | straight
♣Q, ♥K, ♠10, ♥K, ♥J | pair
♣Q, ♥K, ♠10, ♥K, ♦4 | pair
♣Q, ♥K, ♠10, ♥K, ♥4 | pair
♣Q, ♥K, ♠10, ♥K, ♥8 | pair
♣Q, ♥K, ♠10, ♦4, ♥4 | pair
♣Q, ♥K, ♠K, ♣A, ♥K | three of a kind
♣Q, ♥K, ♠K, ♣A, ♥J | pair
♣Q, ♥K, ♠K, ♣A, ♦4 | pair
♣Q, ♥K, ♠K, ♣A, ♥4 | pair
♣Q, ♥K, ♠K, ♣A, ♥8 | pair
♣Q, ♥K, ♠K, ♥K, ♥J | three of a kind
♣Q, ♥K, ♠K, ♥K, ♦4 | three of a kind
♣Q, ♥K, ♠K, ♥K, ♥4 | three of a kind
♣Q, ♥K, ♠K, ♥K, ♥8 | three of a kind
♣Q, ♥K, ♠K, ♥J, ♦4 | pair
♣Q, ♥K, ♠K, ♥J, ♥4 | pair
♣Q, ♥K, ♠K, ♥J, ♥8 | pair
♣Q, ♥K, ♠K, ♦4, ♥4 | two pairs
♣Q, ♥K, ♠K, ♦4, ♥8 | pair
♣Q, ♥K, ♠K, ♥4, ♥8 | pair
♣Q, ♥K, ♣A, ♥K, ♥J | pair
♣Q, ♥K, ♣A, ♥K, ♦4 | pair
♣Q, ♥K, ♣A, ♥K, ♥4 | pair
♣Q, ♥K, ♣A, ♥K, ♥8 | pair
♣Q, ♥K, ♣A, ♦4, ♥4 | pair
♣Q, ♥K, ♥K, ♥J, ♦4 | pair
♣Q, ♥K, ♥K, ♥J, ♥4 | pair
♣Q, ♥K, ♥K, ♥J, ♥8 | pair
♣Q, ♥K, ♥K, ♦4, ♥4 | two pairs
♣Q, ♥K, ♥K, ♦4, ♥8 | pair
♣Q, ♥K, ♥K, ♥4, ♥8 | pair
♣Q, ♥K, ♥J, ♦4, ♥4 | pair
♣Q, ♥K, ♦4, ♥4, ♥8 | pair
♣Q, ♥3, ♣Q, ♠10, ♠K | pair
♣Q, ♥3, ♣Q, ♠10, ♣A | pair
♣Q, ♥3, ♣Q, ♠10, ♥K | pair
♣Q, ♥3, ♣Q, ♠10, ♥J | pair
♣Q, ♥3, ♣Q, ♠10, ♦4 | pair
♣Q, ♥3, ♣Q, ♠10, ♥4 | pair
♣Q, ♥3, ♣Q, ♠10, ♥8 | pair
♣Q, ♥3, ♣Q, ♠K, ♣A | pair
♣Q, ♥3, ♣Q, ♠K, ♥K | two pairs
♣Q, ♥3, ♣Q, ♠K, ♥J | pair
♣Q, ♥3, ♣Q, ♠K, ♦4 | pair
♣Q, ♥3, ♣Q, ♠K, ♥4 | pair
♣Q, ♥3, ♣Q, ♠K, ♥8 | pair
♣Q, ♥3, ♣Q, ♣A, ♥K | pair
♣Q, ♥3, ♣Q, ♣A, ♥J | pair
♣Q, ♥3, ♣Q, ♣A, ♦4 | pair
♣Q, ♥3, ♣Q, ♣A, ♥4 | pair
♣Q, ♥3, ♣Q, ♣A, ♥8 | pair
♣Q, ♥3, ♣Q, ♥K, ♥J | pair
♣Q, ♥3, ♣Q, ♥K, ♦4 | pair
♣Q, ♥3, ♣Q, ♥K, ♥4 | pair
♣Q, ♥3, ♣Q, ♥K, ♥8 | pair
♣Q, ♥3, ♣Q, ♥J, ♦4 | pair
♣Q, ♥3, ♣Q, ♥J, ♥4 | pair
♣Q, ♥3, ♣Q, ♥J, ♥8 | pair
♣Q, ♥3, ♣Q, ♦4, ♥4 | two pairs
♣Q, ♥3, ♣Q, ♦4, ♥8 | pair
♣Q, ♥3, ♣Q, ♥4, ♥8 | pair
♣Q, ♥3, ♠10, ♠K, ♥K | pair
♣Q, ♥3, ♠10, ♦4, ♥4 | pair
♣Q, ♥3, ♠K, ♣A, ♥K | pair
♣Q, ♥3, ♠K, ♥K, ♥J | pair
♣Q, ♥3, ♠K, ♥K, ♦4 | pair
♣Q, ♥3, ♠K, ♥K, ♥4 | pair
♣Q, ♥3, ♠K, ♥K, ♥8 | pair
♣Q, ♥3, ♠K, ♦4, ♥4 | pair
♣Q, ♥3, ♣A, ♦4, ♥4 | pair
♣Q, ♥3, ♥K, ♦4, ♥4 | pair
♣Q, ♥3, ♥J, ♦4, ♥4 | pair
♣Q, ♥3, ♦4, ♥4, ♥8 | pair
♣Q, ♣Q, ♠10, ♠K, ♣A | pair
♣Q, ♣Q, ♠10, ♠K, ♥K | two pairs
♣Q, ♣Q, ♠10, ♠K, ♥J | pair
♣Q, ♣Q, ♠10, ♠K, ♦4 | pair
♣Q, ♣Q, ♠10, ♠K, ♥4 | pair
♣Q, ♣Q, ♠10, ♠K, ♥8 | pair
♣Q, ♣Q, ♠10, ♣A, ♥K | pair
♣Q, ♣Q, ♠10, ♣A, ♥J | pair
♣Q, ♣Q, ♠10, ♣A, ♦4 | pair
♣Q, ♣Q, ♠10, ♣A, ♥4 | pair
♣Q, ♣Q, ♠10, ♣A, ♥8 | pair
♣Q, ♣Q, ♠10, ♥K, ♥J | pair
♣Q, ♣Q, ♠10, ♥K, ♦4 | pair
♣Q, ♣Q, ♠10, ♥K, ♥4 | pair
♣Q, ♣Q, ♠10, ♥K, ♥8 | pair
♣Q, ♣Q, ♠10, ♥J, ♦4 | pair
♣Q, ♣Q, ♠10, ♥J, ♥4 | pair
♣Q, ♣Q, ♠10, ♥J, ♥8 | pair
♣Q, ♣Q, ♠10, ♦4, ♥4 | two pairs
♣Q, ♣Q, ♠10, ♦4, ♥8 | pair
♣Q, ♣Q, ♠10, ♥4, ♥8 | pair
♣Q, ♣Q, ♠K, ♣A, ♥K | two pairs
♣Q, ♣Q, ♠K, ♣A, ♥J | pair
♣Q, ♣Q, ♠K, ♣A, ♦4 | pair
♣Q, ♣Q, ♠K, ♣A, ♥4 | pair
♣Q, ♣Q, ♠K, ♣A, ♥8 | pair
♣Q, ♣Q, ♠K, ♥K, ♥J | two pairs
♣Q, ♣Q, ♠K, ♥K, ♦4 | two pairs
♣Q, ♣Q, ♠K, ♥K, ♥4 | two pairs
♣Q, ♣Q, ♠K, ♥K, ♥8 | two pairs
♣Q, ♣Q, ♠K, ♥J, ♦4 | pair
♣Q, ♣Q, ♠K, ♥J, ♥4 | pair
♣Q, ♣Q, ♠K, ♥J, ♥8 | pair
♣Q, ♣Q, ♠K, ♦4, ♥4 | two pairs
♣Q, ♣Q, ♠K, ♦4, ♥8 | pair
♣Q, ♣Q, ♠K, ♥4, ♥8 | pair
♣Q, ♣Q, ♣A, ♥K, ♥J | pair
♣Q, ♣Q, ♣A, ♥K, ♦4 | pair
♣Q, ♣Q, ♣A, ♥K, ♥4 | pair
♣Q, ♣Q, ♣A, ♥K, ♥8 | pair
♣Q, ♣Q, ♣A, ♥J, ♦4 | pair
♣Q, ♣Q, ♣A, ♥J, ♥4 | pair
♣Q, ♣Q, ♣A, ♥J, ♥8 | pair
♣Q, ♣Q, ♣A, ♦4, ♥4 | two pairs
♣Q, ♣Q, ♣A, ♦4, ♥8 | pair
♣Q, ♣Q, ♣A, ♥4, ♥8 | pair
♣Q, ♣Q, ♥K, ♥J, ♦4 | pair
♣Q, ♣Q, ♥K, ♥J, ♥4 | pair
♣Q, ♣Q, ♥K, ♥J, ♥8 | pair
♣Q, ♣Q, ♥K, ♦4, ♥4 | two pairs
♣Q, ♣Q, ♥K, ♦4, ♥8 | pair
♣Q, ♣Q, ♥K, ♥4, ♥8 | pair
♣Q, ♣Q, ♥J, ♦4, ♥4 | two pairs
♣Q, ♣Q, ♥J, ♦4, ♥8 | pair
♣Q, ♣Q, ♥J, ♥4, ♥8 | pair
♣Q, ♣Q, ♦4, ♥4, ♥8 | two pairs
♣Q, ♠10, ♠K, ♣A, ♥K | pair
♣Q, ♠10, ♠K, ♣A, ♥J | straight
♣Q, ♠10, ♠K, ♥K, ♥J | pair
♣Q, ♠10, ♠K, ♥K, ♦4 | pair
♣Q, ♠10, ♠K, ♥K, ♥4 | pair
♣Q, ♠10, ♠K, ♥K, ♥8 | pair
♣Q, ♠10, ♠K, ♦4, ♥4 | pair
♣Q, ♠10, ♣A, ♥K, ♥J | straight
♣Q, ♠10, ♣A, ♦4, ♥4 | pair
♣Q, ♠10, ♥K, ♦4, ♥4 | pair
♣Q, ♠10, ♥J, ♦4, ♥4 | pair
♣Q, ♠10, ♦4, ♥4, ♥8 | pair
♣Q, ♠K, ♣A, ♥K, ♥J | pair
♣Q, ♠K, ♣A, ♥K, ♦4 | pair
♣Q, ♠K, ♣A, ♥K, ♥4 | pair
♣Q, ♠K, ♣A, ♥K, ♥8 | pair
♣Q, ♠K, ♣A, ♦4, ♥4 | pair
♣Q, ♠K, ♥K, ♥J, ♦4 | pair
♣Q, ♠K, ♥K, ♥J, ♥4 | pair
♣Q, ♠K, ♥K, ♥J, ♥8 | pair
♣Q, ♠K, ♥K, ♦4, ♥4 | two pairs
♣Q, ♠K, ♥K, ♦4, ♥8 | pair
♣Q, ♠K, ♥K, ♥4, ♥8 | pair
♣Q, ♠K, ♥J, ♦4, ♥4 | pair
♣Q, ♠K, ♦4, ♥4, ♥8 | pair
♣Q, ♣A, ♥K, ♦4, ♥4 | pair
♣Q, ♣A, ♥J, ♦4, ♥4 | pair
♣Q, ♣A, ♦4, ♥4, ♥8 | pair
♣Q, ♥K, ♥J, ♦4, ♥4 | pair
♣Q, ♥K, ♦4, ♥4, ♥8 | pair
♣Q, ♥J, ♦4, ♥4, ♥8 | pair
♠J, ♣3, ♥K, ♥3, ♣Q | pair
♠J, ♣3, ♥K, ♥3, ♠10 | pair
♠J, ♣3, ♥K, ♥3, ♠K | two pairs
♠J, ♣3, ♥K, ♥3, ♣A | pair
♠J, ♣3, ♥K, ♥3, ♥K | two pairs
♠J, ♣3, ♥K, ♥3, ♥J | two pairs
♠J, ♣3, ♥K, ♥3, ♦4 | pair
♠J, ♣3, ♥K, ♥3, ♥4 | pair
♠J, ♣3, ♥K, ♥3, ♥8 | pair
♠J, ♣3, ♥K, ♣Q, ♠K | pair
♠J, ♣3, ♥K, ♣Q, ♥K | pair
♠J, ♣3, ♥K, ♣Q, ♥J | pair
♠J, ♣3, ♥K, ♠10, ♠K | pair
♠J, ♣3, ♥K, ♠10, ♥K | pair
♠J, ♣3, ♥K, ♠10, ♥J | pair
♠J, ♣3, ♥K, ♠K, ♣A | pair
♠J, ♣3, ♥K, ♠K, ♥K | three of a kind
♠J, ♣3, ♥K, ♠K, ♥J | two pairs
♠J, ♣3, ♥K, ♠K, ♦4 | pair
♠J, ♣3, ♥K, ♠K, ♥4 | pair
♠J, ♣3, ♥K, ♠K, ♥8 | pair
♠J, ♣3, ♥K, ♣A, ♥K | pair
♠J, ♣3, ♥K, ♣A, ♥J | pair
♠J, ♣3, ♥K, ♥K, ♥J | two pairs
♠J, ♣3, ♥K, ♥K, ♦4 | pair
♠J, ♣3, ♥K, ♥K, ♥4 | pair
♠J, ♣3, ♥K, ♥K, ♥8 | pair
♠J, ♣3, ♥K, ♥J, ♦4 | pair
♠J, ♣3, ♥K, ♥J, ♥4 | pair
♠J, ♣3, ♥K, ♥J, ♥8 | pair
♠J, ♣3, ♥K, ♦4, ♥4 | pair
♠J, ♣3, ♥3, ♣Q, ♠10 | pair
♠J, ♣3, ♥3, ♣Q, ♠K | pair
♠J, ♣3, ♥3, ♣Q, ♣A | pair
♠J, ♣3, ♥3, ♣Q, ♥K | pair
♠J, ♣3, ♥3, ♣Q, ♥J | two pairs
♠J, ♣3, ♥3, ♣Q, ♦4 | pair
♠J, ♣3, ♥3, ♣Q, ♥4 | pair
♠J, ♣3, ♥3, ♣Q, ♥8 | pair
♠J, ♣3, ♥3, ♠10, ♠K | pair
♠J, ♣3, ♥3, ♠10, ♣A | pair
♠J, ♣3, ♥3, ♠10, ♥K | pair
♠J, ♣3, ♥3, ♠10, ♥J | two pairs
♠J, ♣3, ♥3, ♠10, ♦4 | pair
♠J, ♣3, ♥3, ♠10, ♥4 | pair
♠J, ♣3, ♥3, ♠10, ♥8 | pair
♠J, ♣3, ♥3, ♠K, ♣A | pair
♠J, ♣3, ♥3, ♠K, ♥K | two pairs
♠J, ♣3, ♥3, ♠K, ♥J | two pairs
♠J, ♣3, ♥3, ♠K, ♦4 | pair
♠J, ♣3, ♥3, ♠K, ♥4 | pair
♠J, ♣3, ♥3, ♠K, ♥8 | pair
♠J, ♣3, ♥3, ♣A, ♥K | pair
♠J, ♣3, ♥3, ♣A, ♥J | two pairs
♠J, ♣3, ♥3, ♣A, ♦4 | pair
♠J, ♣3, ♥3, ♣A, ♥4 | pair
♠J, ♣3, ♥3, ♣A, ♥8 | pair
♠J, ♣3, ♥3, ♥K, ♥J | two pairs
♠J, ♣3, ♥3, ♥K, ♦4 | pair
♠J, ♣3, ♥3, ♥K, ♥4 | pair
♠J, ♣3, ♥3, ♥K, ♥8 | pair
♠J, ♣3, ♥3, ♥J, ♦4 | two pairs
♠J, ♣3, ♥3, ♥J, ♥4 | two pairs
♠J, ♣3, ♥3, ♥J, ♥8 | two pairs
♠J, ♣3, ♥3, ♦4, ♥4 | two pairs
♠J, ♣3, ♥3, ♦4, ♥8 | pair
♠J, ♣3, ♥3, ♥4, ♥8 | pair
♠J, ♣3, ♣Q, ♠10, ♥J | pair
♠J, ♣3, ♣Q, ♠K, ♥K | pair
♠J, ♣3, ♣Q, ♠K, ♥J | pair
♠J, ♣3, ♣Q, ♣A, ♥J | pair
♠J, ♣3, ♣Q, ♥K, ♥J | pair
♠J, ♣3, ♣Q, ♥J, ♦4 | pair
♠J, ♣3, ♣Q, ♥J, ♥4 | pair
♠J, ♣3, ♣Q, ♥J, ♥8 | pair
♠J, ♣3, ♣Q, ♦4, ♥4 | pair
♠J, ♣3, ♠10, ♠K, ♥K | pair
♠J, ♣3, ♠10, ♠K, ♥J | pair
♠J, ♣3, ♠10, ♣A, ♥J | pair
