♣6, ♠A, ♦6, ♥Q, ♠9 | pair
♦6, ♦6, ♠2, ♥2, ♥K | two pairs
♦6, ♦6, ♠2, ♥2, ♠8 | two pairs
♦6, ♦6, ♠2, ♥A, ♦2 | two pairs
♦6, ♦6, ♠2, ♥A, ♥K | pair
♦6, ♦6, ♠2, ♥A, ♠8 | pair
♦6, ♦6, ♠2, ♦2, ♥K | two pairs
♦6, ♦6, ♠2, ♦2, ♠8 | two pairs
♦6, ♦6, ♠2, ♥K, ♠8 | pair
♦6, ♦6, ♥2, ♥A, ♦2 | two pairs
♦6, ♦6, ♥2, ♥A, ♥K | pair
♦6, ♦6, ♥2, ♥A, ♠8 | pair
♦6, ♦6, ♥2, ♦2, ♥K | two pairs
♦6, ♦6, ♥2, ♦2, ♠8 | two pairs
♦6, ♦6, ♥2, ♥K, ♠8 | pair
♦6, ♦6, ♥A, ♦2, ♥K | pair
♦6, ♦6, ♥A, ♦2, ♠8 | pair
♦6, ♦6, ♥A, ♥K, ♠8 | pair
♦6, ♦6, ♦2, ♥K, ♠8 | pair
♦6, ♠2, ♥2, ♥A, ♦2 | three of a kind
♦6, ♠2, ♥2, ♥A, ♥K | pair
♦6, ♠2, ♥2, ♥A, ♠8 | pair
♦6, ♠2, ♥2, ♦2, ♥K | three of a kind
♦6, ♠2, ♥2, ♦2, ♠8 | three of a kind
♦6, ♠2, ♥2, ♥K, ♠8 | pair
♦6, ♠2, ♥A, ♦2, ♥K | pair
♦6, ♠2, ♥A, ♦2, ♠8 | pair
♦6, ♠2, ♦2, ♥K, ♠8 | pair
♦6, ♥2, ♥A, ♦2, ♥K | pair
♦6, ♥2, ♥A, ♦2, ♠8 | pair
♦6, ♥2, ♦2, ♥K, ♠8 | pair
♥Q, ♠9, ♦6, ♠2, ♥2 | pair
♥Q, ♠9, ♦6, ♠2, ♦2 | pair
♥Q, ♠9, ♦6, ♥2, ♦2 | pair
♥Q, ♠9, ♠2, ♥2, ♥A | pair
♥Q, ♠9, ♠2, ♥2, ♦2 | three of a kind
♥Q, ♠9, ♠2, ♥2, ♥K | pair
♥Q, ♠9, ♠2, ♥2, ♠8 | pair
♥Q, ♠9, ♠2, ♥A, ♦2 | pair
♥Q, ♠9, ♠2, ♦2, ♥K | pair
♥Q, ♠9, ♠2, ♦2, ♠8 | pair
♥Q, ♠9, ♥2, ♥A, ♦2 | pair
♥Q, ♠9, ♥2, ♦2, ♥K | pair
♥Q, ♠9, ♥2, ♦2, ♠8 | pair
♥Q, ♦6, ♠2, ♥2, ♥A | pair
♥Q, ♦6, ♠2, ♥2, ♦2 | three of a kind
♥Q, ♦6, ♠2, ♥2, ♥K | pair
♥Q, ♦6, ♠2, ♥2, ♠8 | pair
♥Q, ♦6, ♠2, ♥A, ♦2 | pair
♥Q, ♦6, ♠2, ♦2, ♥K | pair
♥Q, ♦6, ♠2, ♦2, ♠8 | pair
♥Q, ♦6, ♥2, ♥A, ♦2 | pair
♥Q, ♦6, ♥2, ♦2, ♥K | pair
♥Q, ♦6, ♥2, ♦2, ♠8 | pair
♥Q, ♠2, ♥2, ♥A, ♦2 | three of a kind
♥Q, ♠2, ♥2, ♥A, ♥K | pair
♥Q, ♠2, ♥2, ♥A, ♠8 | pair
♥Q, ♠2, ♥2, ♦2, ♥K | three of a kind
♥Q, ♠2, ♥2, ♦2, ♠8 | three of a kind
♥Q, ♠2, ♥2, ♥K, ♠8 | pair
♥Q, ♠2, ♥A, ♦2, ♥K | pair
♥Q, ♠2, ♥A, ♦2, ♠8 | pair
♥Q, ♠2, ♦2, ♥K, ♠8 | pair
♥Q, ♥2, ♥A, ♦2, ♥K | pair
♥Q, ♥2, ♥A, ♦2, ♠8 | pair
♥Q, ♥2, ♦2, ♥K, ♠8 | pair
♠9, ♦6, ♠2, ♥2, ♥A | pair
♠9, ♦6, ♠2, ♥2, ♦2 | three of a kind
♠9, ♦6, ♠2, ♥2, ♥K | pair
♠9, ♦6, ♠2, ♥2, ♠8 | pair
♠9, ♦6, ♠2, ♥A, ♦2 | pair
♠9, ♦6, ♠2, ♦2, ♥K | pair
♠9, ♦6, ♠2, ♦2, ♠8 | pair
♠9, ♦6, ♥2, ♥A, ♦2 | pair
♠9, ♦6, ♥2, ♦2, ♥K | pair
♠9, ♦6, ♥2, ♦2, ♠8 | pair
♠9, ♠2, ♥2, ♥A, ♦2 | three of a kind
♠9, ♠2, ♥2, ♥A, ♥K | pair
♠9, ♠2, ♥2, ♥A, ♠8 | pair
♠9, ♠2, ♥2, ♦2, ♥K | three of a kind
♠9, ♠2, ♥2, ♦2, ♠8 | three of a kind
♠9, ♠2, ♥2, ♥K, ♠8 | pair
♠9, ♠2, ♥A, ♦2, ♥K | pair
♠9, ♠2, ♥A, ♦2, ♠8 | pair
♠9, ♠2, ♦2, ♥K, ♠8 | pair
♠9, ♥2, ♥A, ♦2, ♥K | pair
♠9, ♥2, ♥A, ♦2, ♠8 | pair
♠9, ♥2, ♦2, ♥K, ♠8 | pair
♦6, ♠2, ♥2, ♥A, ♦2 | three of a kind
♦6, ♠2, ♥2, ♥A, ♥K | pair
♦6, ♠2, ♥2, ♥A, ♠8 | pair
♦6, ♠2, ♥2, ♦2, ♥K | three of a kind
♦6, ♠2, ♥2, ♦2, ♠8 | three of a kind
♦6, ♠2, ♥2, ♥K, ♠8 | pair
♦6, ♠2, ♥A, ♦2, ♥K | pair
♦6, ♠2, ♥A, ♦2, ♠8 | pair
♦6, ♠2, ♦2, ♥K, ♠8 | pair
♦6, ♥2, ♥A, ♦2, ♥K | pair
♦6, ♥2, ♥A, ♦2, ♠8 | pair
♦6, ♥2, ♦2, ♥K, ♠8 | pair
♠2, ♥2, ♥A, ♦2, ♥K | three of a kind
♠2, ♥2, ♥A, ♦2, ♠8 | three of a kind
♠2, ♥2, ♥A, ♥K, ♠8 | pair
♠2, ♥2, ♦2, ♥K, ♠8 | three of a kind
♠2, ♥A, ♦2, ♥K, ♠8 | pair
♥2, ♥A, ♦2, ♥K, ♠8 | pair
