♥K, ♥A, ♣4, ♠K, ♦8 | pair
♥K, ♣4, ♦A, ♦K, ♦2 | pair
♥K, ♣4, ♦A, ♦K, ♦A | two pairs
♥K, ♣4, ♦A, ♠K, ♠7 | pair
♥K, ♣4, ♦A, ♠K, ♥A | two pairs
♥K, ♣4, ♦A, ♠K, ♦8 | pair
♥K, ♣4, ♦A, ♠K, ♦2 | pair
♥K, ♣4, ♦A, ♠K, ♦A | two pairs
♥K, ♣4, ♦A, ♠7, ♥A | pair
♥K, ♣4, ♦A, ♠7, ♦A | pair
♥K, ♣4, ♦A, ♥A, ♦8 | pair
♥K, ♣4, ♦A, ♥A, ♦2 | pair
♥K, ♣4, ♦A, ♥A, ♦A | three of a kind
♥K, ♣4, ♦A, ♦8, ♦A | pair
♥K, ♣4, ♦A, ♦2, ♦A | pair
♥K, ♣4, ♣7, ♦K, ♠K | three of a kind
♥K, ♣4, ♣7, ♦K, ♠7 | two pairs
♥K, ♣4, ♣7, ♦K, ♥A | pair
♥K, ♣4, ♣7, ♦K, ♦8 | pair
♥K, ♣4, ♣7, ♦K, ♦2 | pair
♥K, ♣4, ♣7, ♦K, ♦A | pair
♥K, ♣4, ♣7, ♠K, ♠7 | two pairs
♥K, ♣4, ♣7, ♠K, ♥A | pair
♥K, ♣4, ♣7, ♠K, ♦8 | pair
♥K, ♣4, ♣7, ♠K, ♦2 | pair
♥K, ♣4, ♣7, ♠K, ♦A | pair
♥K, ♣4, ♣7, ♠7, ♥A | pair
♥K, ♣4, ♣7, ♠7, ♦8 | pair
♥K, ♣4, ♣7, ♠7, ♦2 | pair
♥K, ♣4, ♣7, ♠7, ♦A | pair
♥K, ♣4, ♣7, ♥A, ♦A | pair
♥K, ♣4, ♦K, ♠K, ♠7 | three of a kind
♥K, ♣4, ♦K, ♠K, ♥A | three of a kind
♥K, ♣4, ♦K, ♠K, ♦8 | three of a kind
♥K, ♣4, ♦K, ♠K, ♦2 | three of a kind
♥K, ♣4, ♦K, ♠K, ♦A | three of a kind
♥K, ♣4, ♦K, ♠7, ♥A | pair
♥K, ♣4, ♦K, ♠7, ♦8 | pair
♥K, ♣4, ♦K, ♠7, ♦2 | pair
♥K, ♣4, ♦K, ♠7, ♦A | pair
♥K, ♣4, ♦K, ♥A, ♦8 | pair
♥K, ♣4, ♦K, ♥A, ♦2 | pair
♥K, ♣4, ♦K, ♥A, ♦A | two pairs
♥K, ♣4, ♦K, ♦8, ♦2 | pair
♥K, ♣4, ♦K, ♦8, ♦A | pair
♥K, ♣4, ♦K, ♦2, ♦A | pair
♥K, ♣4, ♠K, ♠7, ♥A | pair
♥K, ♣4, ♠K, ♠7, ♦8 | pair
♥K, ♣4, ♠K, ♠7, ♦2 | pair
♥K, ♣4, ♠K, ♠7, ♦A | pair
♥K, ♣4, ♠K, ♥A, ♦8 | pair
♥K, ♣4, ♠K, ♥A, ♦2 | pair
♥K, ♣4, ♠K, ♥A, ♦A | two pairs
♥K, ♣4, ♠K, ♦8, ♦2 | pair
♥K, ♣4, ♠K, ♦8, ♦A | pair
♥K, ♣4, ♠K, ♦2, ♦A | pair
♥K, ♣4, ♠7, ♥A, ♦A | pair
♥K, ♣4, ♥A, ♦8, ♦A | pair
♥K, ♣4, ♥A, ♦2, ♦A | pair
♥K, ♠K, ♦8, ♥7, ♦10 | pair
♥K, ♠K, ♦8, ♥7, ♦A | pair
♥K, ♠K, ♦8, ♥7, ♣7 | two pairs
♥K, ♠K, ♦8, ♥7, ♦K | three of a kind
♥K, ♠K, ♦8, ♥7, ♠K | three of a kind
♥K, ♠K, ♦8, ♥7, ♠7 | two pairs
♥K, ♠K, ♦8, ♥7, ♥A | pair
♥K, ♠K, ♦8, ♥7, ♦8 | two pairs
♥K, ♠K, ♦8, ♥7, ♦2 | pair
♥K, ♠K, ♦8, ♥7, ♦A | pair
♥K, ♠K, ♦8, ♦10, ♦A | pair
♥K, ♠K, ♦8, ♦10, ♣7 | pair
♥K, ♠K, ♦8, ♦10, ♦K | three of a kind
♥K, ♠K, ♦8, ♦10, ♠K | three of a kind
♥K, ♠K, ♦8, ♦10, ♠7 | pair
♥K, ♠K, ♦8, ♦10, ♥A | pair
♥K, ♠K, ♦8, ♦10, ♦8 | two pairs
♥K, ♠K, ♦8, ♦10, ♦2 | pair
♥K, ♠K, ♦8, ♦10, ♦A | pair
♥K, ♠K, ♦8, ♦A, ♣7 | pair
♥K, ♠K, ♦8, ♦A, ♦K | three of a kind
♥K, ♠K, ♦8, ♦A, ♠K | three of a kind
♥K, ♠K, ♦8, ♦A, ♠7 | pair
♥K, ♠K, ♦8, ♦A, ♥A | two pairs
♥K, ♠K, ♦8, ♦A, ♦8 | two pairs
♥K, ♠K, ♦8, ♦A, ♦2 | pair
♥K, ♠K, ♦8, ♦A, ♦A | two pairs
♥K, ♠K, ♦8, ♣7, ♦K | three of a kind
♥K, ♠K, ♦8, ♣7, ♠K | three of a kind
♥K, ♠K, ♦8, ♣7, ♠7 | two pairs
♥K, ♠K, ♦8, ♣7, ♥A | pair
♥K, ♠K, ♦8, ♣7, ♦8 | two pairs
♥K, ♠K, ♦8, ♣7, ♦2 | pair
♥K, ♠K, ♦8, ♣7, ♦A | pair
♥K, ♠K, ♦8, ♦K, ♠K | four of a kind!
♥K, ♠K, ♦8, ♦K, ♠7 | three of a kind
♥K, ♠K, ♦8, ♦K, ♥A | three of a kind
♥K, ♠K, ♦8, ♦K, ♦8 | fullhouse
♥K, ♠K, ♦8, ♦K, ♦2 | three of a kind
♥K, ♠K, ♦8, ♦K, ♦A | three of a kind
♥K, ♠K, ♦8, ♠K, ♠7 | three of a kind
♥K, ♠K, ♦8, ♠K, ♥A | three of a kind
♥K, ♠K, ♦8, ♠K, ♦8 | fullhouse
♥K, ♠K, ♦8, ♠K, ♦2 | three of a kind
♥K, ♠K, ♦8, ♠K, ♦A | three of a kind
♥K, ♠K, ♦8, ♠7, ♥A | pair
♥K, ♠K, ♦8, ♠7, ♦8 | two pairs
♥K, ♠K, ♦8, ♠7, ♦2 | pair
♥K, ♠K, ♦8, ♠7, ♦A | pair
♥K, ♠K, ♦8, ♥A, ♦8 | two pairs
♥K, ♠K, ♦8, ♥A, ♦2 | pair
♥K, ♠K, ♦8, ♥A, ♦A | two pairs
♥K, ♠K, ♦8, ♦8, ♦2 | two pairs
♥K, ♠K, ♦8, ♦8, ♦A | two pairs
♥K, ♠K, ♦8, ♦2, ♦A | pair
♥K, ♠K, ♥7, ♦10, ♦A | pair
♥K, ♠K, ♥7, ♦10, ♣7 | two pairs
♥K, ♠K, ♥7, ♦10, ♦K | three of a kind
♥K, ♠K, ♥7, ♦10, ♠K | three of a kind
♥K, ♠K, ♥7, ♦10, ♠7 | two pairs
♥K, ♠K, ♥7, ♦10, ♥A | pair
♥K, ♠K, ♥7, ♦10, ♦8 | pair
♥K, ♠K, ♥7, ♦10, ♦2 | pair
♥K, ♠K, ♥7, ♦10, ♦A | pair
♥K, ♠K, ♥7, ♦A, ♣7 | two pairs
♥K, ♠K, ♥7, ♦A, ♦K | three of a kind
♥K, ♠K, ♥7, ♦A, ♠K | three of a kind
♥K, ♠K, ♥7, ♦A, ♠7 | two pairs
♥K, ♠K, ♥7, ♦A, ♥A | two pairs
♥K, ♠K, ♥7, ♦A, ♦8 | pair
♥K, ♠K, ♥7, ♦A, ♦2 | pair
♥K, ♠K, ♥7, ♦A, ♦A | two pairs
♥K, ♠K, ♥7, ♣7, ♦K | fullhouse
♥K, ♠K, ♥7, ♣7, ♠K | fullhouse
♥K, ♠K, ♥7, ♣7, ♠7 | fullhouse
♥K, ♠K, ♥7, ♣7, ♥A | two pairs
♥K, ♠K, ♥7, ♣7, ♦8 | two pairs
♥K, ♠K, ♥7, ♣7, ♦2 | two pairs
♥K, ♠K, ♥7, ♣7, ♦A | two pairs
♥K, ♠K, ♥7, ♦K, ♠K | four of a kind!
♥K, ♠K, ♥7, ♦K, ♠7 | fullhouse
♥K, ♠K, ♥7, ♦K, ♥A | three of a kind
♥K, ♠K, ♥7, ♦K, ♦8 | three of a kind
♥K, ♠K, ♥7, ♦K, ♦2 | three of a kind
♥K, ♠K, ♥7, ♦K, ♦A | three of a kind
♥K, ♠K, ♥7, ♠K, ♠7 | fullhouse
♥K, ♠K, ♥7, ♠K, ♥A | three of a kind
♥K, ♠K, ♥7, ♠K, ♦8 | three of a kind
♥K, ♠K, ♥7, ♠K, ♦2 | three of a kind
♥K, ♠K, ♥7, ♠K, ♦A | three of a kind
♥K, ♠K, ♥7, ♠7, ♥A | two pairs
♥K, ♠K, ♥7, ♠7, ♦8 | two pairs
♥K, ♠K, ♥7, ♠7, ♦2 | two pairs
♥K, ♠K, ♥7, ♠7, ♦A | two pairs
♥K, ♠K, ♥7, ♥A, ♦8 | pair
♥K, ♠K, ♥7, ♥A, ♦2 | pair
♥K, ♠K, ♥7, ♥A, ♦A | two pairs
♥K, ♠K, ♥7, ♦8, ♦2 | pair
♥K, ♠K, ♥7, ♦8, ♦A | pair
♥K, ♠K, ♥7, ♦2, ♦A | pair
♥K, ♠K, ♦10, ♦A, ♣7 | pair
♥K, ♠K, ♦10, ♦A, ♦K | three of a kind
♥K, ♠K, ♦10, ♦A, ♠K | three of a kind
♥K, ♠K, ♦10, ♦A, ♠7 | pair
♥K, ♠K, ♦10, ♦A, ♥A | two pairs
♥K, ♠K, ♦10, ♦A, ♦8 | pair
♥K, ♠K, ♦10, ♦A, ♦2 | pair
♥K, ♠K, ♦10, ♦A, ♦A | two pairs
♥K, ♠K, ♦10, ♣7, ♦K | three of a kind
♥K, ♠K, ♦10, ♣7, ♠K | three of a kind
♥K, ♠K, ♦10, ♣7, ♠7 | two pairs
♥K, ♠K, ♦10, ♣7, ♥A | pair
♥K, ♠K, ♦10, ♣7, ♦8 | pair
♥K, ♠K, ♦10, ♣7, ♦2 | pair
♥K, ♠K, ♦10, ♣7, ♦A | pair
♥K, ♠K, ♦10, ♦K, ♠K | four of a kind!
♥K, ♠K, ♦10, ♦K, ♠7 | three of a kind
♥K, ♠K, ♦10, ♦K, ♥A | three of a kind
♥K, ♠K, ♦10, ♦K, ♦8 | three of a kind
♥K, ♠K, ♦10, ♦K, ♦2 | three of a kind
♥K, ♠K, ♦10, ♦K, ♦A | three of a kind
♥K, ♠K, ♦10, ♠K, ♠7 | three of a kind
♥K, ♠K, ♦10, ♠K, ♥A | three of a kind
♥K, ♠K, ♦10, ♠K, ♦8 | three of a kind
♥K, ♠K, ♦10, ♠K, ♦2 | three of a kind
♥K, ♠K, ♦10, ♠K, ♦A | three of a kind
♥K, ♠K, ♦10, ♠7, ♥A | pair
♥K, ♠K, ♦10, ♠7, ♦8 | pair
♥K, ♠K, ♦10, ♠7, ♦2 | pair
♥K, ♠K, ♦10, ♠7, ♦A | pair
♥K, ♠K, ♦10, ♥A, ♦8 | pair
♥K, ♠K, ♦10, ♥A, ♦2 | pair
♥K, ♠K, ♦10, ♥A, ♦A | two pairs
♥K, ♠K, ♦10, ♦8, ♦2 | pair
♥K, ♠K, ♦10, ♦8, ♦A | pair
♥K, ♠K, ♦10, ♦2, ♦A | pair
♥K, ♠K, ♦A, ♣7, ♦K | three of a kind
♥K, ♠K, ♦A, ♣7, ♠K | three of a kind
♥K, ♠K, ♦A, ♣7, ♠7 | two pairs
♥K, ♠K, ♦A, ♣7, ♥A | two pairs
♥K, ♠K, ♦A, ♣7, ♦8 | pair
♥K, ♠K, ♦A, ♣7, ♦2 | pair
♥K, ♠K, ♦A, ♣7, ♦A | two pairs
♥K, ♠K, ♦A, ♦K, ♠K | four of a kind!
♥K, ♠K, ♦A, ♦K, ♠7 | three of a kind
♥K, ♠K, ♦A, ♦K, ♥A | fullhouse
♥K, ♠K, ♦A, ♦K, ♦8 | three of a kind
♥K, ♠K, ♦A, ♦K, ♦2 | three of a kind
♥K, ♠K, ♦A, ♦K, ♦A | fullhouse
♥K, ♠K, ♦A, ♠K, ♠7 | three of a kind
♥K, ♠K, ♦A, ♠K, ♥A | fullhouse
♥K, ♠K, ♦A, ♠K, ♦8 | three of a kind
♥K, ♠K, ♦A, ♠K, ♦2 | three of a kind
♥K, ♠K, ♦A, ♠K, ♦A | fullhouse
♥K, ♠K, ♦A, ♠7, ♥A | two pairs
♥K, ♠K, ♦A, ♠7, ♦8 | pair
♥K, ♠K, ♦A, ♠7, ♦2 | pair
♥K, ♠K, ♦A, ♠7, ♦A | two pairs
♥K, ♠K, ♦A, ♥A, ♦8 | two pairs
♥K, ♠K, ♦A, ♥A, ♦2 | two pairs
♥K, ♠K, ♦A, ♥A, ♦A | fullhouse
♥K, ♠K, ♦A, ♦8, ♦2 | pair
♥K, ♠K, ♦A, ♦8, ♦A | two pairs
♥K, ♠K, ♦A, ♦2, ♦A | two pairs
♥K, ♠K, ♣7, ♦K, ♠K | four of a kind!
♥K, ♠K, ♣7, ♦K, ♠7 | fullhouse
♥K, ♠K, ♣7, ♦K, ♥A | three of a kind
♥K, ♠K, ♣7, ♦K, ♦8 | three of a kind
♥K, ♠K, ♣7, ♦K, ♦2 | three of a kind
♥K, ♠K, ♣7, ♦K, ♦A | three of a kind
♥K, ♠K, ♣7, ♠K, ♠7 | fullhouse
♥K, ♠K, ♣7, ♠K, ♥A | three of a kind
♥K, ♠K, ♣7, ♠K, ♦8 | three of a kind
♥K, ♠K, ♣7, ♠K, ♦2 | three of a kind
♥K, ♠K, ♣7, ♠K, ♦A | three of a kind
♥K, ♠K, ♣7, ♠7, ♥A | two pairs
♥K, ♠K, ♣7, ♠7, ♦8 | two pairs
♥K, ♠K, ♣7, ♠7, ♦2 | two pairs
♥K, ♠K, ♣7, ♠7, ♦A | two pairs
♥K, ♠K, ♣7, ♥A, ♦8 | pair
♥K, ♠K, ♣7, ♥A, ♦2 | pair
♥K, ♠K, ♣7, ♥A, ♦A | two pairs
♥K, ♠K, ♣7, ♦8, ♦2 | pair
♥K, ♠K, ♣7, ♦8, ♦A | pair
♥K, ♠K, ♣7, ♦2, ♦A | pair
♥K, ♠K, ♦K, ♠K, ♠7 | four of a kind!
♥K, ♠K, ♦K, ♠K, ♥A | four of a kind!
♥K, ♠K, ♦K, ♠K, ♦8 | four of a kind!
♥K, ♠K, ♦K, ♠K, ♦2 | four of a kind!
♥K, ♠K, ♦K, ♠K, ♦A | four of a kind!
♥K, ♠K, ♦K, ♠7, ♥A | three of a kind
♥K, ♠K, ♦K, ♠7, ♦8 | three of a kind
♥K, ♠K, ♦K, ♠7, ♦2 | three of a kind
♥K, ♠K, ♦K, ♠7, ♦A | three of a kind
♥K, ♠K, ♦K, ♥A, ♦8 | three of a kind
♥K, ♠K, ♦K, ♥A, ♦2 | three of a kind
♥K, ♠K, ♦K, ♥A, ♦A | fullhouse
♥K, ♠K, ♦K, ♦8, ♦2 | three of a kind
♥K, ♠K, ♦K, ♦8, ♦A | three of a kind
♥K, ♠K, ♦K, ♦2, ♦A | three of a kind
♥K, ♠K, ♠K, ♠7, ♥A | three of a kind
♥K, ♠K, ♠K, ♠7, ♦8 | three of a kind
♥K, ♠K, ♠K, ♠7, ♦2 | three of a kind
♥K, ♠K, ♠K, ♠7, ♦A | three of a kind
♥K, ♠K, ♠K, ♥A, ♦8 | three of a kind
♥K, ♠K, ♠K, ♥A, ♦2 | three of a kind
♥K, ♠K, ♠K, ♥A, ♦A | fullhouse
♥K, ♠K, ♠K, ♦8, ♦2 | three of a kind
♥K, ♠K, ♠K, ♦8, ♦A | three of a kind
♥K, ♠K, ♠K, ♦2, ♦A | three of a kind
♥K, ♠K, ♠7, ♥A, ♦8 | pair
♥K, ♠K, ♠7, ♥A, ♦2 | pair
♥K, ♠K, ♠7, ♥A, ♦A | two pairs
♥K, ♠K, ♠7, ♦8, ♦2 | pair
♥K, ♠K, ♠7, ♦8, ♦A | pair
♥K, ♠K, ♠7, ♦2, ♦A | pair
♥K, ♠K, ♥A, ♦8, ♦2 | pair
♥K, ♠K, ♥A, ♦8, ♦A | two pairs
♥K, ♠K, ♥A, ♦2, ♦A | two pairs
♥K, ♠K, ♦8, ♦2, ♦A | pair
♥K, ♦8, ♥7, ♦10, ♣7 | pair
♥K, ♦8, ♥7, ♦10, ♦K | pair
♥K, ♦8, ♥7, ♦10, ♠K | pair
♥K, ♦8, ♥7, ♦10, ♠7 | pair
♥K, ♦8, ♥7, ♦10, ♦8 | pair
♥K, ♦8, ♥7, ♦A, ♣7 | pair
♥K, ♦8, ♥7, ♦A, ♦K | pair
♥K, ♦8, ♥7, ♦A, ♠K | pair
♥K, ♦8, ♥7, ♦A, ♠7 | pair
♥K, ♦8, ♥7, ♦A, ♥A | pair
♥K, ♦8, ♥7, ♦A, ♦8 | pair
♥K, ♦8, ♥7, ♦A, ♦A | pair
♥K, ♦8, ♥7, ♣7, ♦K | two pairs
♥K, ♦8, ♥7, ♣7, ♠K | two pairs
♥K, ♦8, ♥7, ♣7, ♠7 | three of a kind
♥K, ♦8, ♥7, ♣7, ♥A | pair
♥K, ♦8, ♥7, ♣7, ♦8 | two pairs
♥K, ♦8, ♥7, ♣7, ♦2 | pair
♥K, ♦8, ♥7, ♣7, ♦A | pair
♥K, ♦8, ♥7, ♦K, ♠K | three of a kind
♥K, ♦8, ♥7, ♦K, ♠7 | two pairs
♥K, ♦8, ♥7, ♦K, ♥A | pair
♥K, ♦8, ♥7, ♦K, ♦8 | two pairs
♥K, ♦8, ♥7, ♦K, ♦2 | pair
♥K, ♦8, ♥7, ♦K, ♦A | pair
♥K, ♦8, ♥7, ♠K, ♠7 | two pairs
♥K, ♦8, ♥7, ♠K, ♥A | pair
♥K, ♦8, ♥7, ♠K, ♦8 | two pairs
♥K, ♦8, ♥7, ♠K, ♦2 | pair
♥K, ♦8, ♥7, ♠K, ♦A | pair
♥K, ♦8, ♥7, ♠7, ♥A | pair
♥K, ♦8, ♥7, ♠7, ♦8 | two pairs
♥K, ♦8, ♥7, ♠7, ♦2 | pair
♥K, ♦8, ♥7, ♠7, ♦A | pair
♥K, ♦8, ♥7, ♥A, ♦8 | pair
♥K, ♦8, ♥7, ♥A, ♦A | pair
♥K, ♦8, ♥7, ♦8, ♦2 | pair
♥K, ♦8, ♥7, ♦8, ♦A | pair
♥K, ♦8, ♦10, ♦A, ♦K | pair
♥K, ♦8, ♦10, ♦A, ♠K | pair
♥K, ♦8, ♦10, ♦A, ♥A | pair
♥K, ♦8, ♦10, ♦A, ♦8 | pair
♥K, ♦8, ♦10, ♦A, ♦A | pair
♥K, ♦8, ♦10, ♣7, ♦K | pair
♥K, ♦8, ♦10, ♣7, ♠K | pair
♥K, ♦8, ♦10, ♣7, ♠7 | pair
♥K, ♦8, ♦10, ♣7, ♦8 | pair
♥K, ♦8, ♦10, ♦K, ♠K | three of a kind
♥K, ♦8, ♦10, ♦K, ♠7 | pair
♥K, ♦8, ♦10, ♦K, ♥A | pair
♥K, ♦8, ♦10, ♦K, ♦8 | two pairs
♥K, ♦8, ♦10, ♦K, ♦2 | pair
♥K, ♦8, ♦10, ♦K, ♦A | pair
♥K, ♦8, ♦10, ♠K, ♠7 | pair
♥K, ♦8, ♦10, ♠K, ♥A | pair
♥K, ♦8, ♦10, ♠K, ♦8 | two pairs
♥K, ♦8, ♦10, ♠K, ♦2 | pair
♥K, ♦8, ♦10, ♠K, ♦A | pair
♥K, ♦8, ♦10, ♠7, ♦8 | pair
♥K, ♦8, ♦10, ♥A, ♦8 | pair
♥K, ♦8, ♦10, ♥A, ♦A | pair
♥K, ♦8, ♦10, ♦8, ♦2 | pair
♥K, ♦8, ♦10, ♦8, ♦A | pair
♥K, ♦8, ♦A, ♣7, ♦K | pair
♥K, ♦8, ♦A, ♣7, ♠K | pair
♥K, ♦8, ♦A, ♣7, ♠7 | pair
♥K, ♦8, ♦A, ♣7, ♥A | pair
♥K, ♦8, ♦A, ♣7, ♦8 | pair
♥K, ♦8, ♦A, ♣7, ♦A | pair
♥K, ♦8, ♦A, ♦K, ♠K | three of a kind
♥K, ♦8, ♦A, ♦K, ♠7 | pair
♥K, ♦8, ♦A, ♦K, ♥A | two pairs
♥K, ♦8, ♦A, ♦K, ♦8 | two pairs
♥K, ♦8, ♦A, ♦K, ♦2 | pair
♥K, ♦8, ♦A, ♦K, ♦A | two pairs
♥K, ♦8, ♦A, ♠K, ♠7 | pair
♥K, ♦8, ♦A, ♠K, ♥A | two pairs
♥K, ♦8, ♦A, ♠K, ♦8 | two pairs
♥K, ♦8, ♦A, ♠K, ♦2 | pair
♥K, ♦8, ♦A, ♠K, ♦A | two pairs
♥K, ♦8, ♦A, ♠7, ♥A | pair
♥K, ♦8, ♦A, ♠7, ♦8 | pair
♥K, ♦8, ♦A, ♠7, ♦A | pair
♥K, ♦8, ♦A, ♥A, ♦8 | two pairs
♥K, ♦8, ♦A, ♥A, ♦2 | pair
♥K, ♦8, ♦A, ♥A, ♦A | three of a kind
♥K, ♦8, ♦A, ♦8, ♦2 | pair
♥K, ♦8, ♦A, ♦8, ♦A | two pairs
♥K, ♦8, ♦A, ♦2, ♦A | pair
♥K, ♦8, ♣7, ♦K, ♠K | three of a kind
♥K, ♦8, ♣7, ♦K, ♠7 | two pairs
♥K, ♦8, ♣7, ♦K, ♥A | pair
♥K, ♦8, ♣7, ♦K, ♦8 | two pairs
♥K, ♦8, ♣7, ♦K, ♦2 | pair
♥K, ♦8, ♣7, ♦K, ♦A | pair
♥K, ♦8, ♣7, ♠K, ♠7 | two pairs
♥K, ♦8, ♣7, ♠K, ♥A | pair
♥K, ♦8, ♣7, ♠K, ♦8 | two pairs
♥K, ♦8, ♣7, ♠K, ♦2 | pair
♥K, ♦8, ♣7, ♠K, ♦A | pair
♥K, ♦8, ♣7, ♠7, ♥A | pair
♥K, ♦8, ♣7, ♠7, ♦8 | two pairs
♥K, ♦8, ♣7, ♠7, ♦2 | pair
♥K, ♦8, ♣7, ♠7, ♦A | pair
♥K, ♦8, ♣7, ♥A, ♦8 | pair
♥K, ♦8, ♣7, ♥A, ♦A | pair
♥K, ♦8, ♣7, ♦8, ♦2 | pair
♥K, ♦8, ♣7, ♦8, ♦A | pair
♥K, ♦8, ♦K, ♠K, ♠7 | three of a kind
♥K, ♦8, ♦K, ♠K, ♥A | three of a kind
♥K, ♦8, ♦K, ♠K, ♦8 | fullhouse
♥K, ♦8, ♦K, ♠K, ♦2 | three of a kind
♥K, ♦8, ♦K, ♠K, ♦A | three of a kind
♥K, ♦8, ♦K, ♠7, ♥A | pair
♥K, ♦8, ♦K, ♠7, ♦8 | two pairs
♥K, ♦8, ♦K, ♠7, ♦2 | pair
♥K, ♦8, ♦K, ♠7, ♦A | pair
♥K, ♦8, ♦K, ♥A, ♦8 | two pairs
♥K, ♦8, ♦K, ♥A, ♦2 | pair
♥K, ♦8, ♦K, ♥A, ♦A | two pairs
♥K, ♦8, ♦K, ♦8, ♦2 | two pairs
♥K, ♦8, ♦K, ♦8, ♦A | two pairs
♥K, ♦8, ♦K, ♦2, ♦A | pair
♥K, ♦8, ♠K, ♠7, ♥A | pair
♥K, ♦8, ♠K, ♠7, ♦8 | two pairs
♥K, ♦8, ♠K, ♠7, ♦2 | pair
♥K, ♦8, ♠K, ♠7, ♦A | pair
♥K, ♦8, ♠K, ♥A, ♦8 | two pairs
♥K, ♦8, ♠K, ♥A, ♦2 | pair
♥K, ♦8, ♠K, ♥A, ♦A | two pairs
♥K, ♦8, ♠K, ♦8, ♦2 | two pairs
♥K, ♦8, ♠K, ♦8, ♦A | two pairs
♥K, ♦8, ♠K, ♦2, ♦A | pair
♥K, ♦8, ♠7, ♥A, ♦8 | pair
♥K, ♦8, ♠7, ♥A, ♦A | pair
♥K, ♦8, ♠7, ♦8, ♦2 | pair
♥K, ♦8, ♠7, ♦8, ♦A | pair
♥K, ♦8, ♥A, ♦8, ♦2 | pair
♥K, ♦8, ♥A, ♦8, ♦A | two pairs
♥K, ♦8, ♥A, ♦2, ♦A | pair
♥K, ♦8, ♦8, ♦2, ♦A | pair
♥K, ♥7, ♦10, ♦A, ♣7 | pair
♥K, ♥7, ♦10, ♦A, ♦K | pair
♥K, ♥7, ♦10, ♦A, ♠K | pair
♥K, ♥7, ♦10, ♦A, ♠7 | pair
♥K, ♥7, ♦10, ♦A, ♥A | pair
♥K, ♥7, ♦10, ♦A, ♦A | pair
♥K, ♥7, ♦10, ♣7, ♦K | two pairs
♥K, ♥7, ♦10, ♣7, ♠K | two pairs
♥K, ♥7, ♦10, ♣7, ♠7 | three of a kind
♥K, ♥7, ♦10, ♣7, ♥A | pair
♥K, ♥7, ♦10, ♣7, ♦8 | pair
♥K, ♥7, ♦10, ♣7, ♦2 | pair
♥K, ♥7, ♦10, ♣7, ♦A | pair
♥K, ♥7, ♦10, ♦K, ♠K | three of a kind
♥K, ♥7, ♦10, ♦K, ♠7 | two pairs
♥K, ♥7, ♦10, ♦K, ♥A | pair
♥K, ♥7, ♦10, ♦K, ♦8 | pair
♥K, ♥7, ♦10, ♦K, ♦2 | pair
♥K, ♥7, ♦10, ♦K, ♦A | pair
♥K, ♥7, ♦10, ♠K, ♠7 | two pairs
♥K, ♥7, ♦10, ♠K, ♥A | pair
♥K, ♥7, ♦10, ♠K, ♦8 | pair
♥K, ♥7, ♦10, ♠K, ♦2 | pair
♥K, ♥7, ♦10, ♠K, ♦A | pair
♥K, ♥7, ♦10, ♠7, ♥A | pair
♥K, ♥7, ♦10, ♠7, ♦8 | pair
♥K, ♥7, ♦10, ♠7, ♦2 | pair
♥K, ♥7, ♦10, ♠7, ♦A | pair
♥K, ♥7, ♦10, ♥A, ♦A | pair
♥K, ♥7, ♦A, ♣7, ♦K | two pairs
♥K, ♥7, ♦A, ♣7, ♠K | two pairs
♥K, ♥7, ♦A, ♣7, ♠7 | three of a kind
♥K, ♥7, ♦A, ♣7, ♥A | two pairs
♥K, ♥7, ♦A, ♣7, ♦8 | pair
♥K, ♥7, ♦A, ♣7, ♦2 | pair
♥K, ♥7, ♦A, ♣7, ♦A | two pairs
♥K, ♥7, ♦A, ♦K, ♠K | three of a kind
♥K, ♥7, ♦A, ♦K, ♠7 | two pairs
♥K, ♥7, ♦A, ♦K, ♥A | two pairs
♥K, ♥7, ♦A, ♦K, ♦8 | pair
♥K, ♥7, ♦A, ♦K, ♦2 | pair
♥K, ♥7, ♦A, ♦K, ♦A | two pairs
♥K, ♥7, ♦A, ♠K, ♠7 | two pairs
♥K, ♥7, ♦A, ♠K, ♥A | two pairs
♥K, ♥7, ♦A, ♠K, ♦8 | pair
♥K, ♥7, ♦A, ♠K, ♦2 | pair
♥K, ♥7, ♦A, ♠K, ♦A | two pairs
♥K, ♥7, ♦A, ♠7, ♥A | two pairs
♥K, ♥7, ♦A, ♠7, ♦8 | pair
♥K, ♥7, ♦A, ♠7, ♦2 | pair
♥K, ♥7, ♦A, ♠7, ♦A | two pairs
♥K, ♥7, ♦A, ♥A, ♦8 | pair
♥K, ♥7, ♦A, ♥A, ♦2 | pair
♥K, ♥7, ♦A, ♥A, ♦A | three of a kind
♥K, ♥7, ♦A, ♦8, ♦A | pair
♥K, ♥7, ♦A, ♦2, ♦A | pair
♥K, ♥7, ♣7, ♦K, ♠K | fullhouse
♥K, ♥7, ♣7, ♦K, ♠7 | fullhouse
♥K, ♥7, ♣7, ♦K, ♥A | two pairs
♥K, ♥7, ♣7, ♦K, ♦8 | two pairs
♥K, ♥7, ♣7, ♦K, ♦2 | two pairs
♥K, ♥7, ♣7, ♦K, ♦A | two pairs
♥K, ♥7, ♣7, ♠K, ♠7 | fullhouse
♥K, ♥7, ♣7, ♠K, ♥A | two pairs
♥K, ♥7, ♣7, ♠K, ♦8 | two pairs
♥K, ♥7, ♣7, ♠K, ♦2 | two pairs
