♦Q, ♦7, ♦A, ♠7, ♠2 | pair
♦7, ♦A, ♣6, ♦K, ♥A | pair
♦7, ♦A, ♣6, ♥A, ♦2 | pair
♦7, ♦A, ♣6, ♥A, ♥4 | pair
♦7, ♦A, ♣6, ♥A, ♥3 | pair
♦7, ♦A, ♣6, ♥A, ♦3 | pair
♦7, ♦A, ♣6, ♥A, ♣5 | pair
♦7, ♦A, ♣6, ♥3, ♦3 | pair
♦7, ♦A, ♠J, ♦K, ♥A | pair
♦7, ♦A, ♠J, ♥A, ♦2 | pair
♦7, ♦A, ♠J, ♥A, ♥4 | pair
♦7, ♦A, ♠J, ♥A, ♥3 | pair
♦7, ♦A, ♠J, ♥A, ♦3 | pair
♦7, ♦A, ♠J, ♥A, ♣5 | pair
♦7, ♦A, ♠J, ♥3, ♦3 | pair
♦7, ♦A, ♦K, ♥A, ♦2 | pair
♦7, ♦A, ♦K, ♥A, ♥4 | pair
♦7, ♦A, ♦K, ♥A, ♥3 | pair
♦7, ♦A, ♦K, ♥A, ♦3 | pair
♦7, ♦A, ♦K, ♥A, ♣5 | pair
♦7, ♦A, ♦K, ♦2, ♦3 | flush
♦7, ♦A, ♦K, ♥3, ♦3 | pair
♦7, ♦A, ♥A, ♦2, ♥4 | pair
♦7, ♦A, ♥A, ♦2, ♥3 | pair
♦7, ♦A, ♥A, ♦2, ♦3 | pair
♦7, ♦A, ♥A, ♦2, ♣5 | pair
♦7, ♦A, ♥A, ♥4, ♥3 | pair
♦7, ♦A, ♥A, ♥4, ♦3 | pair
♦7, ♦A, ♥A, ♥4, ♣5 | pair
♦7, ♦A, ♥A, ♥3, ♦3 | two pairs
♦7, ♦A, ♥A, ♥3, ♣5 | pair
♦7, ♦A, ♥A, ♦3, ♣5 | pair
♦7, ♦A, ♦2, ♥3, ♦3 | pair
♦7, ♦A, ♥4, ♥3, ♦3 | pair
♦7, ♦A, ♥3, ♦3, ♣5 | pair
♦7, ♠7, ♠2, ♣A, ♣6 | pair
♦7, ♠7, ♠2, ♣A, ♠J | pair
♦7, ♠7, ♠2, ♣A, ♦K | pair
♦7, ♠7, ♠2, ♣A, ♥A | two pairs
♦7, ♠7, ♠2, ♣A, ♦2 | two pairs
♦7, ♠7, ♠2, ♣A, ♥4 | pair
♦7, ♠7, ♠2, ♣A, ♥3 | pair
♦7, ♠7, ♠2, ♣A, ♦3 | pair
♦7, ♠7, ♠2, ♣A, ♣5 | pair
♦7, ♠7, ♠2, ♣6, ♠J | pair
♦7, ♠7, ♠2, ♣6, ♦K | pair
♦7, ♠7, ♠2, ♣6, ♥A | pair
♦7, ♠7, ♠2, ♣6, ♦2 | two pairs
♦7, ♠7, ♠2, ♣6, ♥4 | pair
♦7, ♠7, ♠2, ♣6, ♥3 | pair
♦7, ♠7, ♠2, ♣6, ♦3 | pair
♦7, ♠7, ♠2, ♣6, ♣5 | pair
♦7, ♠7, ♠2, ♠J, ♦K | pair
♦7, ♠7, ♠2, ♠J, ♥A | pair
♦7, ♠7, ♠2, ♠J, ♦2 | two pairs
♦7, ♠7, ♠2, ♠J, ♥4 | pair
♦7, ♠7, ♠2, ♠J, ♥3 | pair
♦7, ♠7, ♠2, ♠J, ♦3 | pair
♦7, ♠7, ♠2, ♠J, ♣5 | pair
♦7, ♠7, ♠2, ♦K, ♥A | pair
♦7, ♠7, ♠2, ♦K, ♦2 | two pairs
♦7, ♠7, ♠2, ♦K, ♥4 | pair
♦7, ♠7, ♠2, ♦K, ♥3 | pair
♦7, ♠7, ♠2, ♦K, ♦3 | pair
♦7, ♠7, ♠2, ♦K, ♣5 | pair
♦7, ♠7, ♠2, ♥A, ♦2 | two pairs
♦7, ♠7, ♠2, ♥A, ♥4 | pair
♦7, ♠7, ♠2, ♥A, ♥3 | pair
♦7, ♠7, ♠2, ♥A, ♦3 | pair
♦7, ♠7, ♠2, ♥A, ♣5 | pair
♦7, ♠7, ♠2, ♦2, ♥4 | two pairs
♦7, ♠7, ♠2, ♦2, ♥3 | two pairs
♦7, ♠7, ♠2, ♦2, ♦3 | two pairs
♦7, ♠7, ♠2, ♦2, ♣5 | two pairs
♦7, ♠7, ♠2, ♥4, ♥3 | pair
♦7, ♠7, ♠2, ♥4, ♦3 | pair
♦7, ♠7, ♠2, ♥4, ♣5 | pair
♦7, ♠7, ♠2, ♥3, ♦3 | two pairs
♦7, ♠7, ♠2, ♥3, ♣5 | pair
♦7, ♠7, ♠2, ♦3, ♣5 | pair
♦7, ♠7, ♣A, ♣6, ♠J | pair
♦7, ♠7, ♣A, ♣6, ♦K | pair
♦7, ♠7, ♣A, ♣6, ♥A | two pairs
♦7, ♠7, ♣A, ♣6, ♦2 | pair
♦7, ♠7, ♣A, ♣6, ♥4 | pair
♦7, ♠7, ♣A, ♣6, ♥3 | pair
♦7, ♠7, ♣A, ♣6, ♦3 | pair
♦7, ♠7, ♣A, ♣6, ♣5 | pair
♦7, ♠7, ♣A, ♠J, ♦K | pair
♦7, ♠7, ♣A, ♠J, ♥A | two pairs
♦7, ♠7, ♣A, ♠J, ♦2 | pair
♦7, ♠7, ♣A, ♠J, ♥4 | pair
♦7, ♠7, ♣A, ♠J, ♥3 | pair
♦7, ♠7, ♣A, ♠J, ♦3 | pair
♦7, ♠7, ♣A, ♠J, ♣5 | pair
♦7, ♠7, ♣A, ♦K, ♥A | two pairs
♦7, ♠7, ♣A, ♦K, ♦2 | pair
♦7, ♠7, ♣A, ♦K, ♥4 | pair
♦7, ♠7, ♣A, ♦K, ♥3 | pair
♦7, ♠7, ♣A, ♦K, ♦3 | pair
♦7, ♠7, ♣A, ♦K, ♣5 | pair
♦7, ♠7, ♣A, ♥A, ♦2 | two pairs
♦7, ♠7, ♣A, ♥A, ♥4 | two pairs
♦7, ♠7, ♣A, ♥A, ♥3 | two pairs
♦7, ♠7, ♣A, ♥A, ♦3 | two pairs
♦7, ♠7, ♣A, ♥A, ♣5 | two pairs
♦7, ♠7, ♣A, ♦2, ♥4 | pair
♦7, ♠7, ♣A, ♦2, ♥3 | pair
♦7, ♠7, ♣A, ♦2, ♦3 | pair
♦7, ♠7, ♣A, ♦2, ♣5 | pair
♦7, ♠7, ♣A, ♥4, ♥3 | pair
♦7, ♠7, ♣A, ♥4, ♦3 | pair
♦7, ♠7, ♣A, ♥4, ♣5 | pair
♦7, ♠7, ♣A, ♥3, ♦3 | two pairs
♦7, ♠7, ♣A, ♥3, ♣5 | pair
♦7, ♠7, ♣A, ♦3, ♣5 | pair
♦7, ♠7, ♣6, ♠J, ♦K | pair
♦7, ♠7, ♣6, ♠J, ♥A | pair
♦7, ♠7, ♣6, ♠J, ♦2 | pair
♦7, ♠7, ♣6, ♠J, ♥4 | pair
♦7, ♠7, ♣6, ♠J, ♥3 | pair
♦7, ♠7, ♣6, ♠J, ♦3 | pair
♦7, ♠7, ♣6, ♠J, ♣5 | pair
♦7, ♠7, ♣6, ♦K, ♥A | pair
♦7, ♠7, ♣6, ♦K, ♦2 | pair
♦7, ♠7, ♣6, ♦K, ♥4 | pair
♦7, ♠7, ♣6, ♦K, ♥3 | pair
♦7, ♠7, ♣6, ♦K, ♦3 | pair
♦7, ♠7, ♣6, ♦K, ♣5 | pair
♦7, ♠7, ♣6, ♥A, ♦2 | pair
♦7, ♠7, ♣6, ♥A, ♥4 | pair
♦7, ♠7, ♣6, ♥A, ♥3 | pair
♦7, ♠7, ♣6, ♥A, ♦3 | pair
♦7, ♠7, ♣6, ♥A, ♣5 | pair
♦7, ♠7, ♣6, ♦2, ♥4 | pair
♦7, ♠7, ♣6, ♦2, ♥3 | pair
♦7, ♠7, ♣6, ♦2, ♦3 | pair
♦7, ♠7, ♣6, ♦2, ♣5 | pair
♦7, ♠7, ♣6, ♥4, ♥3 | pair
♦7, ♠7, ♣6, ♥4, ♦3 | pair
♦7, ♠7, ♣6, ♥4, ♣5 | pair
♦7, ♠7, ♣6, ♥3, ♦3 | two pairs
♦7, ♠7, ♣6, ♥3, ♣5 | pair
♦7, ♠7, ♣6, ♦3, ♣5 | pair
♦7, ♠7, ♠J, ♦K, ♥A | pair
♦7, ♠7, ♠J, ♦K, ♦2 | pair
♦7, ♠7, ♠J, ♦K, ♥4 | pair
♦7, ♠7, ♠J, ♦K, ♥3 | pair
♦7, ♠7, ♠J, ♦K, ♦3 | pair
♦7, ♠7, ♠J, ♦K, ♣5 | pair
♦7, ♠7, ♠J, ♥A, ♦2 | pair
♦7, ♠7, ♠J, ♥A, ♥4 | pair
♦7, ♠7, ♠J, ♥A, ♥3 | pair
♦7, ♠7, ♠J, ♥A, ♦3 | pair
♦7, ♠7, ♠J, ♥A, ♣5 | pair
♦7, ♠7, ♠J, ♦2, ♥4 | pair
♦7, ♠7, ♠J, ♦2, ♥3 | pair
♦7, ♠7, ♠J, ♦2, ♦3 | pair
♦7, ♠7, ♠J, ♦2, ♣5 | pair
♦7, ♠7, ♠J, ♥4, ♥3 | pair
♦7, ♠7, ♠J, ♥4, ♦3 | pair
♦7, ♠7, ♠J, ♥4, ♣5 | pair
♦7, ♠7, ♠J, ♥3, ♦3 | two pairs
♦7, ♠7, ♠J, ♥3, ♣5 | pair
♦7, ♠7, ♠J, ♦3, ♣5 | pair
♦7, ♠7, ♦K, ♥A, ♦2 | pair
♦7, ♠7, ♦K, ♥A, ♥4 | pair
♦7, ♠7, ♦K, ♥A, ♥3 | pair
♦7, ♠7, ♦K, ♥A, ♦3 | pair
♦7, ♠7, ♦K, ♥A, ♣5 | pair
♦7, ♠7, ♦K, ♦2, ♥4 | pair
♦7, ♠7, ♦K, ♦2, ♥3 | pair
♦7, ♠7, ♦K, ♦2, ♦3 | pair
♦7, ♠7, ♦K, ♦2, ♣5 | pair
♦7, ♠7, ♦K, ♥4, ♥3 | pair
♦7, ♠7, ♦K, ♥4, ♦3 | pair
♦7, ♠7, ♦K, ♥4, ♣5 | pair
♦7, ♠7, ♦K, ♥3, ♦3 | two pairs
♦7, ♠7, ♦K, ♥3, ♣5 | pair
♦7, ♠7, ♦K, ♦3, ♣5 | pair
♦7, ♠7, ♥A, ♦2, ♥4 | pair
♦7, ♠7, ♥A, ♦2, ♥3 | pair
♦7, ♠7, ♥A, ♦2, ♦3 | pair
♦7, ♠7, ♥A, ♦2, ♣5 | pair
♦7, ♠7, ♥A, ♥4, ♥3 | pair
♦7, ♠7, ♥A, ♥4, ♦3 | pair
♦7, ♠7, ♥A, ♥4, ♣5 | pair
♦7, ♠7, ♥A, ♥3, ♦3 | two pairs
♦7, ♠7, ♥A, ♥3, ♣5 | pair
♦7, ♠7, ♥A, ♦3, ♣5 | pair
♦7, ♠7, ♦2, ♥4, ♥3 | pair
♦7, ♠7, ♦2, ♥4, ♦3 | pair
♦7, ♠7, ♦2, ♥4, ♣5 | pair
♦7, ♠7, ♦2, ♥3, ♦3 | two pairs
♦7, ♠7, ♦2, ♥3, ♣5 | pair
♦7, ♠7, ♦2, ♦3, ♣5 | pair
♦7, ♠7, ♥4, ♥3, ♦3 | two pairs
♦7, ♠7, ♥4, ♥3, ♣5 | pair
♦7, ♠7, ♥4, ♦3, ♣5 | pair
♦7, ♠7, ♥3, ♦3, ♣5 | two pairs
♦7, ♠2, ♣A, ♣6, ♥A | pair
♦7, ♠2, ♣A, ♣6, ♦2 | pair
♦7, ♠2, ♣A, ♠J, ♥A | pair
♦7, ♠2, ♣A, ♠J, ♦2 | pair
♦7, ♠2, ♣A, ♦K, ♥A | pair
♦7, ♠2, ♣A, ♦K, ♦2 | pair
♦7, ♠2, ♣A, ♥A, ♦2 | two pairs
♦7, ♠2, ♣A, ♥A, ♥4 | pair
♦7, ♠2, ♣A, ♥A, ♥3 | pair
♦7, ♠2, ♣A, ♥A, ♦3 | pair
♦7, ♠2, ♣A, ♥A, ♣5 | pair
♦7, ♠2, ♣A, ♦2, ♥4 | pair
♦7, ♠2, ♣A, ♦2, ♥3 | pair
♦7, ♠2, ♣A, ♦2, ♦3 | pair
♦7, ♠2, ♣A, ♦2, ♣5 | pair
♦7, ♠2, ♣A, ♥3, ♦3 | pair
♦7, ♠2, ♣6, ♠J, ♦2 | pair
♦7, ♠2, ♣6, ♦K, ♦2 | pair
♦7, ♠2, ♣6, ♥A, ♦2 | pair
♦7, ♠2, ♣6, ♦2, ♥4 | pair
♦7, ♠2, ♣6, ♦2, ♥3 | pair
♦7, ♠2, ♣6, ♦2, ♦3 | pair
♦7, ♠2, ♣6, ♦2, ♣5 | pair
♦7, ♠2, ♣6, ♥3, ♦3 | pair
♦7, ♠2, ♠J, ♦K, ♦2 | pair
♦7, ♠2, ♠J, ♥A, ♦2 | pair
♦7, ♠2, ♠J, ♦2, ♥4 | pair
♦7, ♠2, ♠J, ♦2, ♥3 | pair
♦7, ♠2, ♠J, ♦2, ♦3 | pair
♦7, ♠2, ♠J, ♦2, ♣5 | pair
♦7, ♠2, ♠J, ♥3, ♦3 | pair
♦7, ♠2, ♦K, ♥A, ♦2 | pair
♦7, ♠2, ♦K, ♦2, ♥4 | pair
♦7, ♠2, ♦K, ♦2, ♥3 | pair
♦7, ♠2, ♦K, ♦2, ♦3 | pair
♦7, ♠2, ♦K, ♦2, ♣5 | pair
♦7, ♠2, ♦K, ♥3, ♦3 | pair
♦7, ♠2, ♥A, ♦2, ♥4 | pair
♦7, ♠2, ♥A, ♦2, ♥3 | pair
♦7, ♠2, ♥A, ♦2, ♦3 | pair
♦7, ♠2, ♥A, ♦2, ♣5 | pair
♦7, ♠2, ♥A, ♥3, ♦3 | pair
♦7, ♠2, ♦2, ♥4, ♥3 | pair
♦7, ♠2, ♦2, ♥4, ♦3 | pair
♦7, ♠2, ♦2, ♥4, ♣5 | pair
♦7, ♠2, ♦2, ♥3, ♦3 | two pairs
♦7, ♠2, ♦2, ♥3, ♣5 | pair
♦7, ♠2, ♦2, ♦3, ♣5 | pair
♦7, ♠2, ♥4, ♥3, ♦3 | pair
♦7, ♠2, ♥3, ♦3, ♣5 | pair
♦7, ♣A, ♣6, ♠J, ♥A | pair
♦7, ♣A, ♣6, ♦K, ♥A | pair
♦7, ♣A, ♣6, ♥A, ♦2 | pair
♦7, ♣A, ♣6, ♥A, ♥4 | pair
♦7, ♣A, ♣6, ♥A, ♥3 | pair
♦7, ♣A, ♣6, ♥A, ♦3 | pair
♦7, ♣A, ♣6, ♥A, ♣5 | pair
♦7, ♣A, ♣6, ♥3, ♦3 | pair
♦7, ♣A, ♠J, ♦K, ♥A | pair
♦7, ♣A, ♠J, ♥A, ♦2 | pair
♦7, ♣A, ♠J, ♥A, ♥4 | pair
♦7, ♣A, ♠J, ♥A, ♥3 | pair
♦7, ♣A, ♠J, ♥A, ♦3 | pair
♦7, ♣A, ♠J, ♥A, ♣5 | pair
♦7, ♣A, ♠J, ♥3, ♦3 | pair
♦7, ♣A, ♦K, ♥A, ♦2 | pair
♦7, ♣A, ♦K, ♥A, ♥4 | pair
♦7, ♣A, ♦K, ♥A, ♥3 | pair
♦7, ♣A, ♦K, ♥A, ♦3 | pair
♦7, ♣A, ♦K, ♥A, ♣5 | pair
♦7, ♣A, ♦K, ♥3, ♦3 | pair
♦7, ♣A, ♥A, ♦2, ♥4 | pair
♦7, ♣A, ♥A, ♦2, ♥3 | pair
♦7, ♣A, ♥A, ♦2, ♦3 | pair
♦7, ♣A, ♥A, ♦2, ♣5 | pair
♦7, ♣A, ♥A, ♥4, ♥3 | pair
♦7, ♣A, ♥A, ♥4, ♦3 | pair
♦7, ♣A, ♥A, ♥4, ♣5 | pair
♦7, ♣A, ♥A, ♥3, ♦3 | two pairs
♦7, ♣A, ♥A, ♥3, ♣5 | pair
♦7, ♣A, ♥A, ♦3, ♣5 | pair
♦7, ♣A, ♦2, ♥3, ♦3 | pair
♦7, ♣A, ♥4, ♥3, ♦3 | pair
♦7, ♣A, ♥3, ♦3, ♣5 | pair
♦7, ♣6, ♠J, ♥3, ♦3 | pair
♦7, ♣6, ♦K, ♥3, ♦3 | pair
♦7, ♣6, ♥A, ♥3, ♦3 | pair
♦7, ♣6, ♦2, ♥3, ♦3 | pair
♦7, ♣6, ♥4, ♥3, ♦3 | pair
♦7, ♣6, ♥4, ♥3, ♣5 | straight
♦7, ♣6, ♥4, ♦3, ♣5 | straight
♦7, ♣6, ♥3, ♦3, ♣5 | pair
♦7, ♠J, ♦K, ♥3, ♦3 | pair
♦7, ♠J, ♥A, ♥3, ♦3 | pair
♦7, ♠J, ♦2, ♥3, ♦3 | pair
♦7, ♠J, ♥4, ♥3, ♦3 | pair
♦7, ♠J, ♥3, ♦3, ♣5 | pair
♦7, ♦K, ♥A, ♥3, ♦3 | pair
♦7, ♦K, ♦2, ♥3, ♦3 | pair
♦7, ♦K, ♥4, ♥3, ♦3 | pair
♦7, ♦K, ♥3, ♦3, ♣5 | pair
♦7, ♥A, ♦2, ♥3, ♦3 | pair
♦7, ♥A, ♥4, ♥3, ♦3 | pair
♦7, ♥A, ♥3, ♦3, ♣5 | pair
♦7, ♦2, ♥4, ♥3, ♦3 | pair
♦7, ♦2, ♥3, ♦3, ♣5 | pair
♦7, ♥4, ♥3, ♦3, ♣5 | pair
♦A, ♠7, ♠2, ♣A, ♣6 | pair
♦A, ♠7, ♠2, ♣A, ♠J | pair
♦A, ♠7, ♠2, ♣A, ♦K | pair
♦A, ♠7, ♠2, ♣A, ♥A | three of a kind
♦A, ♠7, ♠2, ♣A, ♦2 | two pairs
♦A, ♠7, ♠2, ♣A, ♥4 | pair
♦A, ♠7, ♠2, ♣A, ♥3 | pair
♦A, ♠7, ♠2, ♣A, ♦3 | pair
♦A, ♠7, ♠2, ♣A, ♣5 | pair
♦A, ♠7, ♠2, ♣6, ♥A | pair
♦A, ♠7, ♠2, ♣6, ♦2 | pair
♦A, ♠7, ♠2, ♠J, ♥A | pair
♦A, ♠7, ♠2, ♠J, ♦2 | pair
♦A, ♠7, ♠2, ♦K, ♥A | pair
♦A, ♠7, ♠2, ♦K, ♦2 | pair
♦A, ♠7, ♠2, ♥A, ♦2 | two pairs
♦A, ♠7, ♠2, ♥A, ♥4 | pair
♦A, ♠7, ♠2, ♥A, ♥3 | pair
♦A, ♠7, ♠2, ♥A, ♦3 | pair
♦A, ♠7, ♠2, ♥A, ♣5 | pair
♦A, ♠7, ♠2, ♦2, ♥4 | pair
♦A, ♠7, ♠2, ♦2, ♥3 | pair
♦A, ♠7, ♠2, ♦2, ♦3 | pair
♦A, ♠7, ♠2, ♦2, ♣5 | pair
♦A, ♠7, ♠2, ♥3, ♦3 | pair
♦A, ♠7, ♣A, ♣6, ♠J | pair
♦A, ♠7, ♣A, ♣6, ♦K | pair
♦A, ♠7, ♣A, ♣6, ♥A | three of a kind
♦A, ♠7, ♣A, ♣6, ♦2 | pair
♦A, ♠7, ♣A, ♣6, ♥4 | pair
♦A, ♠7, ♣A, ♣6, ♥3 | pair
♦A, ♠7, ♣A, ♣6, ♦3 | pair
♦A, ♠7, ♣A, ♣6, ♣5 | pair
♦A, ♠7, ♣A, ♠J, ♦K | pair
♦A, ♠7, ♣A, ♠J, ♥A | three of a kind
♦A, ♠7, ♣A, ♠J, ♦2 | pair
♦A, ♠7, ♣A, ♠J, ♥4 | pair
♦A, ♠7, ♣A, ♠J, ♥3 | pair
♦A, ♠7, ♣A, ♠J, ♦3 | pair
♦A, ♠7, ♣A, ♠J, ♣5 | pair
♦A, ♠7, ♣A, ♦K, ♥A | three of a kind
♦A, ♠7, ♣A, ♦K, ♦2 | pair
♦A, ♠7, ♣A, ♦K, ♥4 | pair
♦A, ♠7, ♣A, ♦K, ♥3 | pair
♦A, ♠7, ♣A, ♦K, ♦3 | pair
♦A, ♠7, ♣A, ♦K, ♣5 | pair
♦A, ♠7, ♣A, ♥A, ♦2 | three of a kind
♦A, ♠7, ♣A, ♥A, ♥4 | three of a kind
♦A, ♠7, ♣A, ♥A, ♥3 | three of a kind
♦A, ♠7, ♣A, ♥A, ♦3 | three of a kind
♦A, ♠7, ♣A, ♥A, ♣5 | three of a kind
♦A, ♠7, ♣A, ♦2, ♥4 | pair
♦A, ♠7, ♣A, ♦2, ♥3 | pair
♦A, ♠7, ♣A, ♦2, ♦3 | pair
♦A, ♠7, ♣A, ♦2, ♣5 | pair
♦A, ♠7, ♣A, ♥4, ♥3 | pair
♦A, ♠7, ♣A, ♥4, ♦3 | pair
♦A, ♠7, ♣A, ♥4, ♣5 | pair
♦A, ♠7, ♣A, ♥3, ♦3 | two pairs
♦A, ♠7, ♣A, ♥3, ♣5 | pair
♦A, ♠7, ♣A, ♦3, ♣5 | pair
♦A, ♠7, ♣6, ♠J, ♥A | pair
♦A, ♠7, ♣6, ♦K, ♥A | pair
♦A, ♠7, ♣6, ♥A, ♦2 | pair
♦A, ♠7, ♣6, ♥A, ♥4 | pair
♦A, ♠7, ♣6, ♥A, ♥3 | pair
♦A, ♠7, ♣6, ♥A, ♦3 | pair
♦A, ♠7, ♣6, ♥A, ♣5 | pair
♦A, ♠7, ♣6, ♥3, ♦3 | pair
♦A, ♠7, ♠J, ♦K, ♥A | pair
♦A, ♠7, ♠J, ♥A, ♦2 | pair
♦A, ♠7, ♠J, ♥A, ♥4 | pair
♦A, ♠7, ♠J, ♥A, ♥3 | pair
♦A, ♠7, ♠J, ♥A, ♦3 | pair
♦A, ♠7, ♠J, ♥A, ♣5 | pair
♦A, ♠7, ♠J, ♥3, ♦3 | pair
♦A, ♠7, ♦K, ♥A, ♦2 | pair
♦A, ♠7, ♦K, ♥A, ♥4 | pair
♦A, ♠7, ♦K, ♥A, ♥3 | pair
♦A, ♠7, ♦K, ♥A, ♦3 | pair
♦A, ♠7, ♦K, ♥A, ♣5 | pair
♦A, ♠7, ♦K, ♥3, ♦3 | pair
♦A, ♠7, ♥A, ♦2, ♥4 | pair
♦A, ♠7, ♥A, ♦2, ♥3 | pair
♦A, ♠7, ♥A, ♦2, ♦3 | pair
♦A, ♠7, ♥A, ♦2, ♣5 | pair
♦A, ♠7, ♥A, ♥4, ♥3 | pair
♦A, ♠7, ♥A, ♥4, ♦3 | pair
♦A, ♠7, ♥A, ♥4, ♣5 | pair
♦A, ♠7, ♥A, ♥3, ♦3 | two pairs
♦A, ♠7, ♥A, ♥3, ♣5 | pair
♦A, ♠7, ♥A, ♦3, ♣5 | pair
♦A, ♠7, ♦2, ♥3, ♦3 | pair
♦A, ♠7, ♥4, ♥3, ♦3 | pair
♦A, ♠7, ♥3, ♦3, ♣5 | pair
♦A, ♠2, ♣A, ♣6, ♠J | pair
♦A, ♠2, ♣A, ♣6, ♦K | pair
♦A, ♠2, ♣A, ♣6, ♥A | three of a kind
♦A, ♠2, ♣A, ♣6, ♦2 | two pairs
♦A, ♠2, ♣A, ♣6, ♥4 | pair
♦A, ♠2, ♣A, ♣6, ♥3 | pair
♦A, ♠2, ♣A, ♣6, ♦3 | pair
♦A, ♠2, ♣A, ♣6, ♣5 | pair
♦A, ♠2, ♣A, ♠J, ♦K | pair
♦A, ♠2, ♣A, ♠J, ♥A | three of a kind
♦A, ♠2, ♣A, ♠J, ♦2 | two pairs
♦A, ♠2, ♣A, ♠J, ♥4 | pair
♦A, ♠2, ♣A, ♠J, ♥3 | pair
♦A, ♠2, ♣A, ♠J, ♦3 | pair
♦A, ♠2, ♣A, ♠J, ♣5 | pair
♦A, ♠2, ♣A, ♦K, ♥A | three of a kind
♦A, ♠2, ♣A, ♦K, ♦2 | two pairs
♦A, ♠2, ♣A, ♦K, ♥4 | pair
♦A, ♠2, ♣A, ♦K, ♥3 | pair
♦A, ♠2, ♣A, ♦K, ♦3 | pair
♦A, ♠2, ♣A, ♦K, ♣5 | pair
♦A, ♠2, ♣A, ♥A, ♦2 | fullhouse
♦A, ♠2, ♣A, ♥A, ♥4 | three of a kind
♦A, ♠2, ♣A, ♥A, ♥3 | three of a kind
♦A, ♠2, ♣A, ♥A, ♦3 | three of a kind
♦A, ♠2, ♣A, ♥A, ♣5 | three of a kind
♦A, ♠2, ♣A, ♦2, ♥4 | two pairs
♦A, ♠2, ♣A, ♦2, ♥3 | two pairs
♦A, ♠2, ♣A, ♦2, ♦3 | two pairs
♦A, ♠2, ♣A, ♦2, ♣5 | two pairs
♦A, ♠2, ♣A, ♥4, ♥3 | pair
♦A, ♠2, ♣A, ♥4, ♦3 | pair
♦A, ♠2, ♣A, ♥4, ♣5 | pair
♦A, ♠2, ♣A, ♥3, ♦3 | two pairs
♦A, ♠2, ♣A, ♥3, ♣5 | pair
♦A, ♠2, ♣A, ♦3, ♣5 | pair
♦A, ♠2, ♣6, ♠J, ♥A | pair
♦A, ♠2, ♣6, ♠J, ♦2 | pair
♦A, ♠2, ♣6, ♦K, ♥A | pair
♦A, ♠2, ♣6, ♦K, ♦2 | pair
♦A, ♠2, ♣6, ♥A, ♦2 | two pairs
♦A, ♠2, ♣6, ♥A, ♥4 | pair
♦A, ♠2, ♣6, ♥A, ♥3 | pair
♦A, ♠2, ♣6, ♥A, ♦3 | pair
♦A, ♠2, ♣6, ♥A, ♣5 | pair
♦A, ♠2, ♣6, ♦2, ♥4 | pair
♦A, ♠2, ♣6, ♦2, ♥3 | pair
♦A, ♠2, ♣6, ♦2, ♦3 | pair
♦A, ♠2, ♣6, ♦2, ♣5 | pair
♦A, ♠2, ♣6, ♥3, ♦3 | pair
♦A, ♠2, ♠J, ♦K, ♥A | pair
♦A, ♠2, ♠J, ♦K, ♦2 | pair
♦A, ♠2, ♠J, ♥A, ♦2 | two pairs
♦A, ♠2, ♠J, ♥A, ♥4 | pair
♦A, ♠2, ♠J, ♥A, ♥3 | pair
♦A, ♠2, ♠J, ♥A, ♦3 | pair
♦A, ♠2, ♠J, ♥A, ♣5 | pair
♦A, ♠2, ♠J, ♦2, ♥4 | pair
♦A, ♠2, ♠J, ♦2, ♥3 | pair
♦A, ♠2, ♠J, ♦2, ♦3 | pair
♦A, ♠2, ♠J, ♦2, ♣5 | pair
♦A, ♠2, ♠J, ♥3, ♦3 | pair
♦A, ♠2, ♦K, ♥A, ♦2 | two pairs
♦A, ♠2, ♦K, ♥A, ♥4 | pair
♦A, ♠2, ♦K, ♥A, ♥3 | pair
♦A, ♠2, ♦K, ♥A, ♦3 | pair
♦A, ♠2, ♦K, ♥A, ♣5 | pair
♦A, ♠2, ♦K, ♦2, ♥4 | pair
♦A, ♠2, ♦K, ♦2, ♥3 | pair
♦A, ♠2, ♦K, ♦2, ♦3 | pair
♦A, ♠2, ♦K, ♦2, ♣5 | pair
♦A, ♠2, ♦K, ♥3, ♦3 | pair
♦A, ♠2, ♥A, ♦2, ♥4 | two pairs
♦A, ♠2, ♥A, ♦2, ♥3 | two pairs
♦A, ♠2, ♥A, ♦2, ♦3 | two pairs
♦A, ♠2, ♥A, ♦2, ♣5 | two pairs
♦A, ♠2, ♥A, ♥4, ♥3 | pair
♦A, ♠2, ♥A, ♥4, ♦3 | pair
♦A, ♠2, ♥A, ♥4, ♣5 | pair
♦A, ♠2, ♥A, ♥3, ♦3 | two pairs
♦A, ♠2, ♥A, ♥3, ♣5 | pair
♦A, ♠2, ♥A, ♦3, ♣5 | pair
♦A, ♠2, ♦2, ♥4, ♥3 | pair
♦A, ♠2, ♦2, ♥4, ♦3 | pair
♦A, ♠2, ♦2, ♥4, ♣5 | pair
♦A, ♠2, ♦2, ♥3, ♦3 | two pairs
♦A, ♠2, ♦2, ♥3, ♣5 | pair
♦A, ♠2, ♦2, ♦3, ♣5 | pair
♦A, ♠2, ♥4, ♥3, ♦3 | pair
♦A, ♠2, ♥4, ♥3, ♣5 | straight
♦A, ♠2, ♥4, ♦3, ♣5 | straight
♦A, ♠2, ♥3, ♦3, ♣5 | pair
♦A, ♣A, ♣6, ♠J, ♦K | pair
♦A, ♣A, ♣6, ♠J, ♥A | three of a kind
