♠10, ♠7, ♠7, ♠8, ♣8 | two pairs
♠8, ♣8, ♣8, ♦6, ♣5 | three of a kind
♠8, ♣8, ♣8, ♦6, ♦2 | three of a kind
♠8, ♣8, ♣8, ♣5, ♦2 | three of a kind
♠8, ♣8, ♥4, ♦5, ♦6 | pair
♠8, ♣8, ♥4, ♦5, ♣5 | two pairs
♠8, ♣8, ♥4, ♦5, ♦2 | pair
♠8, ♣8, ♥4, ♦6, ♣5 | pair
♠8, ♣8, ♥4, ♦6, ♦2 | pair
♠8, ♣8, ♥4, ♣5, ♦2 | pair
♠8, ♣8, ♦5, ♦6, ♣5 | two pairs
♠8, ♣8, ♦5, ♦6, ♦2 | pair
♠8, ♣8, ♦5, ♣5, ♦2 | two pairs
♠8, ♣8, ♦6, ♣5, ♦2 | pair
♠8, ♥6, ♣8, ♥4, ♦5 | pair
♠8, ♥6, ♣8, ♥4, ♦6 | two pairs
♠8, ♥6, ♣8, ♥4, ♣5 | pair
♠8, ♥6, ♣8, ♥4, ♦2 | pair
♠8, ♥6, ♣8, ♦5, ♦6 | two pairs
♠8, ♥6, ♣8, ♦5, ♣5 | two pairs
♠8, ♥6, ♣8, ♦5, ♦2 | pair
♠8, ♥6, ♣8, ♦6, ♣5 | two pairs
♠8, ♥6, ♣8, ♦6, ♦2 | two pairs
♠8, ♥6, ♣8, ♣5, ♦2 | pair
♠8, ♥6, ♥4, ♦5, ♦6 | pair
♠8, ♥6, ♥4, ♦5, ♣5 | pair
♠8, ♥6, ♥4, ♦6, ♣5 | pair
♠8, ♥6, ♥4, ♦6, ♦2 | pair
♠8, ♥6, ♦5, ♦6, ♣5 | two pairs
♠8, ♥6, ♦5, ♦6, ♦2 | pair
♠8, ♥6, ♦5, ♣5, ♦2 | pair
♠8, ♥6, ♦6, ♣5, ♦2 | pair
♠8, ♣8, ♥4, ♦5, ♦6 | pair
♠8, ♣8, ♥4, ♦5, ♣5 | two pairs
♠8, ♣8, ♥4, ♦5, ♦2 | pair
♠8, ♣8, ♥4, ♦6, ♣5 | pair
♠8, ♣8, ♥4, ♦6, ♦2 | pair
♠8, ♣8, ♥4, ♣5, ♦2 | pair
♠8, ♣8, ♦5, ♦6, ♣5 | two pairs
♠8, ♣8, ♦5, ♦6, ♦2 | pair
♠8, ♣8, ♦5, ♣5, ♦2 | two pairs
♠8, ♣8, ♦6, ♣5, ♦2 | pair
♠8, ♥4, ♦5, ♦6, ♣5 | pair
♠8, ♥4, ♦5, ♣5, ♦2 | pair
♠8, ♦5, ♦6, ♣5, ♦2 | pair
♣8, ♥6, ♣8, ♥4, ♦5 | pair
♣8, ♥6, ♣8, ♥4, ♦6 | two pairs
♣8, ♥6, ♣8, ♥4, ♣5 | pair
♣8, ♥6, ♣8, ♥4, ♦2 | pair
♣8, ♥6, ♣8, ♦5, ♦6 | two pairs
♣8, ♥6, ♣8, ♦5, ♣5 | two pairs
♣8, ♥6, ♣8, ♦5, ♦2 | pair
♣8, ♥6, ♣8, ♦6, ♣5 | two pairs
♣8, ♥6, ♣8, ♦6, ♦2 | two pairs
♣8, ♥6, ♣8, ♣5, ♦2 | pair
♣8, ♥6, ♥4, ♦5, ♦6 | pair
♣8, ♥6, ♥4, ♦5, ♣5 | pair
♣8, ♥6, ♥4, ♦6, ♣5 | pair
♣8, ♥6, ♥4, ♦6, ♦2 | pair
♣8, ♥6, ♦5, ♦6, ♣5 | two pairs
♣8, ♥6, ♦5, ♦6, ♦2 | pair
♣8, ♥6, ♦5, ♣5, ♦2 | pair
♣8, ♥6, ♦6, ♣5, ♦2 | pair
♣8, ♣8, ♥4, ♦5, ♦6 | pair
♣8, ♣8, ♥4, ♦5, ♣5 | two pairs
♣8, ♣8, ♥4, ♦5, ♦2 | pair
♣8, ♣8, ♥4, ♦6, ♣5 | pair
♣8, ♣8, ♥4, ♦6, ♦2 | pair
♣8, ♣8, ♥4, ♣5, ♦2 | pair
♣8, ♣8, ♦5, ♦6, ♣5 | two pairs
♣8, ♣8, ♦5, ♦6, ♦2 | pair
♣8, ♣8, ♦5, ♣5, ♦2 | two pairs
♣8, ♣8, ♦6, ♣5, ♦2 | pair
♣8, ♥4, ♦5, ♦6, ♣5 | pair
♣8, ♥4, ♦5, ♣5, ♦2 | pair
♣8, ♦5, ♦6, ♣5, ♦2 | pair
♥6, ♣8, ♥4, ♦5, ♦6 | pair
♥6, ♣8, ♥4, ♦5, ♣5 | pair
♥6, ♣8, ♥4, ♦6, ♣5 | pair
♥6, ♣8, ♥4, ♦6, ♦2 | pair
♥6, ♣8, ♦5, ♦6, ♣5 | two pairs
♥6, ♣8, ♦5, ♦6, ♦2 | pair
♥6, ♣8, ♦5, ♣5, ♦2 | pair
♥6, ♣8, ♦6, ♣5, ♦2 | pair
♥6, ♥4, ♦5, ♦6, ♣5 | two pairs
♥6, ♥4, ♦5, ♦6, ♦2 | pair
♥6, ♥4, ♦5, ♣5, ♦2 | pair
♥6, ♥4, ♦6, ♣5, ♦2 | pair
♥6, ♦5, ♦6, ♣5, ♦2 | two pairs
♣8, ♥4, ♦5, ♦6, ♣5 | pair
♣8, ♥4, ♦5, ♣5, ♦2 | pair
♣8, ♦5, ♦6, ♣5, ♦2 | pair
♥4, ♦5, ♦6, ♣5, ♦2 | pair
