♠8, ♣4, ♥9, ♣J, ♠J | pair
♣J, ♣6, ♠Q, ♦6, ♣3 | pair
♣J, ♣6, ♠Q, ♦6, ♠J | two pairs
♣J, ♣6, ♠Q, ♦6, ♣10 | pair
♣J, ♣6, ♠Q, ♠5, ♠J | pair
♣J, ♣6, ♠Q, ♣3, ♠J | pair
♣J, ♣6, ♠Q, ♠J, ♣10 | pair
♣J, ♣6, ♦6, ♠5, ♣3 | pair
♣J, ♣6, ♦6, ♠5, ♠J | two pairs
♣J, ♣6, ♦6, ♠5, ♣10 | pair
♣J, ♣6, ♦6, ♣3, ♠J | two pairs
♣J, ♣6, ♦6, ♣3, ♣10 | pair
♣J, ♣6, ♦6, ♠J, ♣10 | two pairs
♣J, ♣6, ♠5, ♣3, ♠J | pair
♣J, ♣6, ♠5, ♠J, ♣10 | pair
♣J, ♣6, ♣3, ♠J, ♣10 | pair
♣J, ♠Q, ♦6, ♠5, ♠J | pair
♣J, ♠Q, ♦6, ♣3, ♠J | pair
♣J, ♠Q, ♦6, ♠J, ♣10 | pair
♣J, ♠Q, ♠5, ♣3, ♠J | pair
♣J, ♠Q, ♠5, ♠J, ♣10 | pair
♣J, ♠Q, ♣3, ♠J, ♣10 | pair
♣J, ♦6, ♠5, ♣3, ♠J | pair
♣J, ♦6, ♠5, ♠J, ♣10 | pair
♣J, ♦6, ♣3, ♠J, ♣10 | pair
♣J, ♠5, ♣3, ♠J, ♣10 | pair
♠3, ♦10, ♣6, ♠Q, ♦6 | pair
♠3, ♦10, ♣6, ♠Q, ♣3 | pair
♠3, ♦10, ♣6, ♠Q, ♣10 | pair
♠3, ♦10, ♣6, ♦6, ♠5 | pair
♠3, ♦10, ♣6, ♦6, ♣3 | two pairs
♠3, ♦10, ♣6, ♦6, ♠J | pair
♠3, ♦10, ♣6, ♦6, ♣10 | two pairs
♠3, ♦10, ♣6, ♠5, ♣3 | pair
♠3, ♦10, ♣6, ♠5, ♣10 | pair
♠3, ♦10, ♣6, ♣3, ♠J | pair
♠3, ♦10, ♣6, ♣3, ♣10 | two pairs
♠3, ♦10, ♣6, ♠J, ♣10 | pair
♠3, ♦10, ♠Q, ♦6, ♣3 | pair
♠3, ♦10, ♠Q, ♦6, ♣10 | pair
♠3, ♦10, ♠Q, ♠5, ♣3 | pair
♠3, ♦10, ♠Q, ♠5, ♣10 | pair
♠3, ♦10, ♠Q, ♣3, ♠J | pair
♠3, ♦10, ♠Q, ♣3, ♣10 | two pairs
♠3, ♦10, ♠Q, ♠J, ♣10 | pair
♠3, ♦10, ♦6, ♠5, ♣3 | pair
♠3, ♦10, ♦6, ♠5, ♣10 | pair
♠3, ♦10, ♦6, ♣3, ♠J | pair
♠3, ♦10, ♦6, ♣3, ♣10 | two pairs
♠3, ♦10, ♦6, ♠J, ♣10 | pair
♠3, ♦10, ♠5, ♣3, ♠J | pair
♠3, ♦10, ♠5, ♣3, ♣10 | two pairs
♠3, ♦10, ♠5, ♠J, ♣10 | pair
♠3, ♦10, ♣3, ♠J, ♣10 | two pairs
♠3, ♣6, ♠Q, ♦6, ♠5 | pair
♠3, ♣6, ♠Q, ♦6, ♣3 | two pairs
♠3, ♣6, ♠Q, ♦6, ♠J | pair
♠3, ♣6, ♠Q, ♦6, ♣10 | pair
♠3, ♣6, ♠Q, ♠5, ♣3 | pair
♠3, ♣6, ♠Q, ♣3, ♠J | pair
♠3, ♣6, ♠Q, ♣3, ♣10 | pair
♠3, ♣6, ♦6, ♠5, ♣3 | two pairs
♠3, ♣6, ♦6, ♠5, ♠J | pair
♠3, ♣6, ♦6, ♠5, ♣10 | pair
♠3, ♣6, ♦6, ♣3, ♠J | two pairs
♠3, ♣6, ♦6, ♣3, ♣10 | two pairs
♠3, ♣6, ♦6, ♠J, ♣10 | pair
♠3, ♣6, ♠5, ♣3, ♠J | pair
♠3, ♣6, ♠5, ♣3, ♣10 | pair
♠3, ♣6, ♣3, ♠J, ♣10 | pair
♠3, ♠Q, ♦6, ♠5, ♣3 | pair
♠3, ♠Q, ♦6, ♣3, ♠J | pair
♠3, ♠Q, ♦6, ♣3, ♣10 | pair
♠3, ♠Q, ♠5, ♣3, ♠J | pair
♠3, ♠Q, ♠5, ♣3, ♣10 | pair
♠3, ♠Q, ♣3, ♠J, ♣10 | pair
♠3, ♦6, ♠5, ♣3, ♠J | pair
♠3, ♦6, ♠5, ♣3, ♣10 | pair
♠3, ♦6, ♣3, ♠J, ♣10 | pair
♠3, ♠5, ♣3, ♠J, ♣10 | pair
♦10, ♣6, ♠Q, ♦6, ♠5 | pair
♦10, ♣6, ♠Q, ♦6, ♣3 | pair
♦10, ♣6, ♠Q, ♦6, ♠J | pair
♦10, ♣6, ♠Q, ♦6, ♣10 | two pairs
♦10, ♣6, ♠Q, ♠5, ♣10 | pair
♦10, ♣6, ♠Q, ♣3, ♣10 | pair
♦10, ♣6, ♠Q, ♠J, ♣10 | pair
♦10, ♣6, ♦6, ♠5, ♣3 | pair
♦10, ♣6, ♦6, ♠5, ♠J | pair
♦10, ♣6, ♦6, ♠5, ♣10 | two pairs
♦10, ♣6, ♦6, ♣3, ♠J | pair
♦10, ♣6, ♦6, ♣3, ♣10 | two pairs
♦10, ♣6, ♦6, ♠J, ♣10 | two pairs
♦10, ♣6, ♠5, ♣3, ♣10 | pair
♦10, ♣6, ♠5, ♠J, ♣10 | pair
♦10, ♣6, ♣3, ♠J, ♣10 | pair
♦10, ♠Q, ♦6, ♠5, ♣10 | pair
♦10, ♠Q, ♦6, ♣3, ♣10 | pair
♦10, ♠Q, ♦6, ♠J, ♣10 | pair
♦10, ♠Q, ♠5, ♣3, ♣10 | pair
♦10, ♠Q, ♠5, ♠J, ♣10 | pair
♦10, ♠Q, ♣3, ♠J, ♣10 | pair
♦10, ♦6, ♠5, ♣3, ♣10 | pair
♦10, ♦6, ♠5, ♠J, ♣10 | pair
♦10, ♦6, ♣3, ♠J, ♣10 | pair
♦10, ♠5, ♣3, ♠J, ♣10 | pair
♣6, ♠Q, ♦6, ♠5, ♣3 | pair
♣6, ♠Q, ♦6, ♠5, ♠J | pair
♣6, ♠Q, ♦6, ♠5, ♣10 | pair
♣6, ♠Q, ♦6, ♣3, ♠J | pair
♣6, ♠Q, ♦6, ♣3, ♣10 | pair
♣6, ♠Q, ♦6, ♠J, ♣10 | pair
♣6, ♦6, ♠5, ♣3, ♠J | pair
♣6, ♦6, ♠5, ♣3, ♣10 | pair
♣6, ♦6, ♠5, ♠J, ♣10 | pair
♣6, ♦6, ♣3, ♠J, ♣10 | pair
