♠A, ♥J, ♦5, ♦7, ♦A | pair
♥J, ♦7, ♦A, ♦10, ♣10 | pair
♥J, ♦7, ♦A, ♦10, ♠A | pair
♥J, ♦7, ♦A, ♦10, ♣10 | pair
♥J, ♦7, ♦A, ♥7, ♣10 | pair
♥J, ♦7, ♦A, ♥7, ♠A | two pairs
♥J, ♦7, ♦A, ♥7, ♣10 | pair
♥J, ♦7, ♦A, ♣10, ♠A | pair
♥J, ♦7, ♦A, ♣10, ♣10 | pair
♥J, ♦7, ♦A, ♠A, ♣10 | pair
♥J, ♦7, ♥K, ♦9, ♥7 | pair
♥J, ♦7, ♥K, ♦10, ♦10 | pair
♥J, ♦7, ♥K, ♦10, ♥7 | pair
♥J, ♦7, ♥K, ♦10, ♣10 | pair
♥J, ♦7, ♥K, ♦10, ♣10 | pair
♥J, ♦7, ♥K, ♦10, ♥7 | pair
♥J, ♦7, ♥K, ♦10, ♣10 | pair
♥J, ♦7, ♥K, ♦10, ♣10 | pair
♥J, ♦7, ♥K, ♥7, ♣10 | pair
♥J, ♦7, ♥K, ♥7, ♠A | pair
♥J, ♦7, ♥K, ♥7, ♣10 | pair
♥J, ♦7, ♥K, ♣10, ♣10 | pair
♥J, ♦7, ♦9, ♦10, ♦10 | pair
♥J, ♦7, ♦9, ♦10, ♥7 | pair
♥J, ♦7, ♦9, ♦10, ♣10 | pair
♥J, ♦7, ♦9, ♦10, ♣10 | pair
♥J, ♦7, ♦9, ♦10, ♥7 | pair
♥J, ♦7, ♦9, ♦10, ♣10 | pair
♥J, ♦7, ♦9, ♦10, ♣10 | pair
♥J, ♦7, ♦9, ♥7, ♣10 | pair
♥J, ♦7, ♦9, ♥7, ♠A | pair
♥J, ♦7, ♦9, ♥7, ♣10 | pair
♥J, ♦7, ♦9, ♣10, ♣10 | pair
♥J, ♦7, ♦10, ♦10, ♥7 | two pairs
♥J, ♦7, ♦10, ♦10, ♣10 | three of a kind
♥J, ♦7, ♦10, ♦10, ♠A | pair
♥J, ♦7, ♦10, ♦10, ♣10 | three of a kind
♥J, ♦7, ♦10, ♥7, ♣10 | two pairs
♥J, ♦7, ♦10, ♥7, ♠A | pair
♥J, ♦7, ♦10, ♥7, ♣10 | two pairs
♥J, ♦7, ♦10, ♣10, ♠A | pair
♥J, ♦7, ♦10, ♣10, ♣10 | three of a kind
♥J, ♦7, ♦10, ♠A, ♣10 | pair
♥J, ♦7, ♦10, ♥7, ♣10 | two pairs
♥J, ♦7, ♦10, ♥7, ♠A | pair
♥J, ♦7, ♦10, ♥7, ♣10 | two pairs
♥J, ♦7, ♦10, ♣10, ♠A | pair
♥J, ♦7, ♦10, ♣10, ♣10 | three of a kind
♥J, ♦7, ♦10, ♠A, ♣10 | pair
♥J, ♦7, ♥7, ♣10, ♠A | pair
♥J, ♦7, ♥7, ♣10, ♣10 | two pairs
♥J, ♦7, ♥7, ♠A, ♣10 | pair
♥J, ♦7, ♣10, ♠A, ♣10 | pair
♥J, ♦A, ♥K, ♦9, ♠A | pair
♥J, ♦A, ♥K, ♦10, ♦10 | pair
♥J, ♦A, ♥K, ♦10, ♣10 | pair
♥J, ♦A, ♥K, ♦10, ♠A | pair
♥J, ♦A, ♥K, ♦10, ♣10 | pair
♥J, ♦A, ♥K, ♦10, ♣10 | pair
♥J, ♦A, ♥K, ♦10, ♠A | pair
♥J, ♦A, ♥K, ♦10, ♣10 | pair
♥J, ♦A, ♥K, ♥7, ♠A | pair
♥J, ♦A, ♥K, ♣10, ♠A | pair
♥J, ♦A, ♥K, ♣10, ♣10 | pair
♥J, ♦A, ♥K, ♠A, ♣10 | pair
♥J, ♦A, ♦9, ♦10, ♦10 | pair
♥J, ♦A, ♦9, ♦10, ♣10 | pair
♥J, ♦A, ♦9, ♦10, ♠A | pair
♥J, ♦A, ♦9, ♦10, ♣10 | pair
♥J, ♦A, ♦9, ♦10, ♣10 | pair
♥J, ♦A, ♦9, ♦10, ♠A | pair
♥J, ♦A, ♦9, ♦10, ♣10 | pair
♥J, ♦A, ♦9, ♥7, ♠A | pair
♥J, ♦A, ♦9, ♣10, ♠A | pair
♥J, ♦A, ♦9, ♣10, ♣10 | pair
♥J, ♦A, ♦9, ♠A, ♣10 | pair
♥J, ♦A, ♦10, ♦10, ♥7 | pair
♥J, ♦A, ♦10, ♦10, ♣10 | three of a kind
♥J, ♦A, ♦10, ♦10, ♠A | two pairs
♥J, ♦A, ♦10, ♦10, ♣10 | three of a kind
♥J, ♦A, ♦10, ♥7, ♣10 | pair
♥J, ♦A, ♦10, ♥7, ♠A | pair
♥J, ♦A, ♦10, ♥7, ♣10 | pair
♥J, ♦A, ♦10, ♣10, ♠A | two pairs
♥J, ♦A, ♦10, ♣10, ♣10 | three of a kind
♥J, ♦A, ♦10, ♠A, ♣10 | two pairs
♥J, ♦A, ♦10, ♥7, ♣10 | pair
♥J, ♦A, ♦10, ♥7, ♠A | pair
♥J, ♦A, ♦10, ♥7, ♣10 | pair
♥J, ♦A, ♦10, ♣10, ♠A | two pairs
♥J, ♦A, ♦10, ♣10, ♣10 | three of a kind
♥J, ♦A, ♦10, ♠A, ♣10 | two pairs
♥J, ♦A, ♥7, ♣10, ♠A | pair
♥J, ♦A, ♥7, ♣10, ♣10 | pair
♥J, ♦A, ♥7, ♠A, ♣10 | pair
♥J, ♦A, ♣10, ♠A, ♣10 | two pairs
♥J, ♥K, ♦9, ♦10, ♦10 | pair
♥J, ♥K, ♦9, ♦10, ♣10 | pair
♥J, ♥K, ♦9, ♦10, ♣10 | pair
♥J, ♥K, ♦9, ♦10, ♣10 | pair
♥J, ♥K, ♦9, ♦10, ♣10 | pair
♥J, ♥K, ♦9, ♣10, ♣10 | pair
♥J, ♥K, ♦10, ♦10, ♥7 | pair
♥J, ♥K, ♦10, ♦10, ♣10 | three of a kind
♥J, ♥K, ♦10, ♦10, ♠A | pair
♥J, ♥K, ♦10, ♦10, ♣10 | three of a kind
♥J, ♥K, ♦10, ♥7, ♣10 | pair
♥J, ♥K, ♦10, ♥7, ♣10 | pair
♥J, ♥K, ♦10, ♣10, ♠A | pair
♥J, ♥K, ♦10, ♣10, ♣10 | three of a kind
♥J, ♥K, ♦10, ♠A, ♣10 | pair
♥J, ♥K, ♦10, ♥7, ♣10 | pair
♥J, ♥K, ♦10, ♥7, ♣10 | pair
♥J, ♥K, ♦10, ♣10, ♠A | pair
♥J, ♥K, ♦10, ♣10, ♣10 | three of a kind
♥J, ♥K, ♦10, ♠A, ♣10 | pair
♥J, ♥K, ♥7, ♣10, ♣10 | pair
♥J, ♥K, ♣10, ♠A, ♣10 | pair
♥J, ♦9, ♦10, ♦10, ♥7 | pair
♥J, ♦9, ♦10, ♦10, ♣10 | three of a kind
♥J, ♦9, ♦10, ♦10, ♠A | pair
♥J, ♦9, ♦10, ♦10, ♣10 | three of a kind
♥J, ♦9, ♦10, ♥7, ♣10 | pair
♥J, ♦9, ♦10, ♥7, ♣10 | pair
♥J, ♦9, ♦10, ♣10, ♠A | pair
♥J, ♦9, ♦10, ♣10, ♣10 | three of a kind
♥J, ♦9, ♦10, ♠A, ♣10 | pair
♥J, ♦9, ♦10, ♥7, ♣10 | pair
♥J, ♦9, ♦10, ♥7, ♣10 | pair
♥J, ♦9, ♦10, ♣10, ♠A | pair
♥J, ♦9, ♦10, ♣10, ♣10 | three of a kind
♥J, ♦9, ♦10, ♠A, ♣10 | pair
♥J, ♦9, ♥7, ♣10, ♣10 | pair
♥J, ♦9, ♣10, ♠A, ♣10 | pair
♥J, ♦10, ♦10, ♥7, ♣10 | three of a kind
♥J, ♦10, ♦10, ♥7, ♠A | pair
♥J, ♦10, ♦10, ♥7, ♣10 | three of a kind
♥J, ♦10, ♦10, ♣10, ♠A | three of a kind
♥J, ♦10, ♦10, ♣10, ♣10 | four of a kind!
♥J, ♦10, ♦10, ♠A, ♣10 | three of a kind
♥J, ♦10, ♥7, ♣10, ♠A | pair
♥J, ♦10, ♥7, ♣10, ♣10 | three of a kind
♥J, ♦10, ♥7, ♠A, ♣10 | pair
♥J, ♦10, ♣10, ♠A, ♣10 | three of a kind
♥J, ♦10, ♥7, ♣10, ♠A | pair
♥J, ♦10, ♥7, ♣10, ♣10 | three of a kind
♥J, ♦10, ♥7, ♠A, ♣10 | pair
♥J, ♦10, ♣10, ♠A, ♣10 | three of a kind
♥J, ♥7, ♣10, ♠A, ♣10 | pair
♦5, ♦7, ♦A, ♥K, ♥7 | pair
♦5, ♦7, ♦A, ♥K, ♠A | pair
♦5, ♦7, ♦A, ♦9, ♦10 | flush
♦5, ♦7, ♦A, ♦9, ♦10 | flush
♦5, ♦7, ♦A, ♦9, ♥7 | pair
♦5, ♦7, ♦A, ♦9, ♠A | pair
♦5, ♦7, ♦A, ♦10, ♦10 | flush
♦5, ♦7, ♦A, ♦10, ♥7 | pair
♦5, ♦7, ♦A, ♦10, ♣10 | pair
♦5, ♦7, ♦A, ♦10, ♠A | pair
♦5, ♦7, ♦A, ♦10, ♣10 | pair
♦5, ♦7, ♦A, ♦10, ♥7 | pair
♦5, ♦7, ♦A, ♦10, ♣10 | pair
♦5, ♦7, ♦A, ♦10, ♠A | pair
♦5, ♦7, ♦A, ♦10, ♣10 | pair
♦5, ♦7, ♦A, ♥7, ♣10 | pair
♦5, ♦7, ♦A, ♥7, ♠A | two pairs
♦5, ♦7, ♦A, ♥7, ♣10 | pair
♦5, ♦7, ♦A, ♣10, ♠A | pair
♦5, ♦7, ♦A, ♣10, ♣10 | pair
♦5, ♦7, ♦A, ♠A, ♣10 | pair
♦5, ♦7, ♥K, ♦9, ♥7 | pair
♦5, ♦7, ♥K, ♦10, ♦10 | pair
♦5, ♦7, ♥K, ♦10, ♥7 | pair
♦5, ♦7, ♥K, ♦10, ♣10 | pair
♦5, ♦7, ♥K, ♦10, ♣10 | pair
♦5, ♦7, ♥K, ♦10, ♥7 | pair
♦5, ♦7, ♥K, ♦10, ♣10 | pair
♦5, ♦7, ♥K, ♦10, ♣10 | pair
♦5, ♦7, ♥K, ♥7, ♣10 | pair
♦5, ♦7, ♥K, ♥7, ♠A | pair
♦5, ♦7, ♥K, ♥7, ♣10 | pair
♦5, ♦7, ♥K, ♣10, ♣10 | pair
♦5, ♦7, ♦9, ♦10, ♦10 | flush
♦5, ♦7, ♦9, ♦10, ♥7 | pair
♦5, ♦7, ♦9, ♦10, ♣10 | pair
♦5, ♦7, ♦9, ♦10, ♣10 | pair
♦5, ♦7, ♦9, ♦10, ♥7 | pair
♦5, ♦7, ♦9, ♦10, ♣10 | pair
♦5, ♦7, ♦9, ♦10, ♣10 | pair
♦5, ♦7, ♦9, ♥7, ♣10 | pair
♦5, ♦7, ♦9, ♥7, ♠A | pair
♦5, ♦7, ♦9, ♥7, ♣10 | pair
♦5, ♦7, ♦9, ♣10, ♣10 | pair
♦5, ♦7, ♦10, ♦10, ♥7 | two pairs
♦5, ♦7, ♦10, ♦10, ♣10 | three of a kind
♦5, ♦7, ♦10, ♦10, ♠A | pair
♦5, ♦7, ♦10, ♦10, ♣10 | three of a kind
♦5, ♦7, ♦10, ♥7, ♣10 | two pairs
♦5, ♦7, ♦10, ♥7, ♠A | pair
♦5, ♦7, ♦10, ♥7, ♣10 | two pairs
♦5, ♦7, ♦10, ♣10, ♠A | pair
♦5, ♦7, ♦10, ♣10, ♣10 | three of a kind
♦5, ♦7, ♦10, ♠A, ♣10 | pair
♦5, ♦7, ♦10, ♥7, ♣10 | two pairs
♦5, ♦7, ♦10, ♥7, ♠A | pair
♦5, ♦7, ♦10, ♥7, ♣10 | two pairs
♦5, ♦7, ♦10, ♣10, ♠A | pair
♦5, ♦7, ♦10, ♣10, ♣10 | three of a kind
♦5, ♦7, ♦10, ♠A, ♣10 | pair
♦5, ♦7, ♥7, ♣10, ♠A | pair
♦5, ♦7, ♥7, ♣10, ♣10 | two pairs
♦5, ♦7, ♥7, ♠A, ♣10 | pair
♦5, ♦7, ♣10, ♠A, ♣10 | pair
♦5, ♦A, ♥K, ♦9, ♠A | pair
♦5, ♦A, ♥K, ♦10, ♦10 | pair
♦5, ♦A, ♥K, ♦10, ♣10 | pair
♦5, ♦A, ♥K, ♦10, ♠A | pair
♦5, ♦A, ♥K, ♦10, ♣10 | pair
♦5, ♦A, ♥K, ♦10, ♣10 | pair
♦5, ♦A, ♥K, ♦10, ♠A | pair
♦5, ♦A, ♥K, ♦10, ♣10 | pair
♦5, ♦A, ♥K, ♥7, ♠A | pair
♦5, ♦A, ♥K, ♣10, ♠A | pair
♦5, ♦A, ♥K, ♣10, ♣10 | pair
♦5, ♦A, ♥K, ♠A, ♣10 | pair
♦5, ♦A, ♦9, ♦10, ♦10 | flush
♦5, ♦A, ♦9, ♦10, ♣10 | pair
♦5, ♦A, ♦9, ♦10, ♠A | pair
♦5, ♦A, ♦9, ♦10, ♣10 | pair
♦5, ♦A, ♦9, ♦10, ♣10 | pair
♦5, ♦A, ♦9, ♦10, ♠A | pair
♦5, ♦A, ♦9, ♦10, ♣10 | pair
♦5, ♦A, ♦9, ♥7, ♠A | pair
♦5, ♦A, ♦9, ♣10, ♠A | pair
♦5, ♦A, ♦9, ♣10, ♣10 | pair
♦5, ♦A, ♦9, ♠A, ♣10 | pair
♦5, ♦A, ♦10, ♦10, ♥7 | pair
♦5, ♦A, ♦10, ♦10, ♣10 | three of a kind
♦5, ♦A, ♦10, ♦10, ♠A | two pairs
♦5, ♦A, ♦10, ♦10, ♣10 | three of a kind
♦5, ♦A, ♦10, ♥7, ♣10 | pair
♦5, ♦A, ♦10, ♥7, ♠A | pair
♦5, ♦A, ♦10, ♥7, ♣10 | pair
♦5, ♦A, ♦10, ♣10, ♠A | two pairs
♦5, ♦A, ♦10, ♣10, ♣10 | three of a kind
♦5, ♦A, ♦10, ♠A, ♣10 | two pairs
♦5, ♦A, ♦10, ♥7, ♣10 | pair
♦5, ♦A, ♦10, ♥7, ♠A | pair
♦5, ♦A, ♦10, ♥7, ♣10 | pair
♦5, ♦A, ♦10, ♣10, ♠A | two pairs
♦5, ♦A, ♦10, ♣10, ♣10 | three of a kind
♦5, ♦A, ♦10, ♠A, ♣10 | two pairs
♦5, ♦A, ♥7, ♣10, ♠A | pair
♦5, ♦A, ♥7, ♣10, ♣10 | pair
♦5, ♦A, ♥7, ♠A, ♣10 | pair
♦5, ♦A, ♣10, ♠A, ♣10 | two pairs
♦5, ♥K, ♦9, ♦10, ♦10 | pair
♦5, ♥K, ♦9, ♦10, ♣10 | pair
♦5, ♥K, ♦9, ♦10, ♣10 | pair
♦5, ♥K, ♦9, ♦10, ♣10 | pair
♦5, ♥K, ♦9, ♦10, ♣10 | pair
♦5, ♥K, ♦9, ♣10, ♣10 | pair
♦5, ♥K, ♦10, ♦10, ♥7 | pair
♦5, ♥K, ♦10, ♦10, ♣10 | three of a kind
♦5, ♥K, ♦10, ♦10, ♠A | pair
♦5, ♥K, ♦10, ♦10, ♣10 | three of a kind
♦5, ♥K, ♦10, ♥7, ♣10 | pair
♦5, ♥K, ♦10, ♥7, ♣10 | pair
♦5, ♥K, ♦10, ♣10, ♠A | pair
♦5, ♥K, ♦10, ♣10, ♣10 | three of a kind
♦5, ♥K, ♦10, ♠A, ♣10 | pair
♦5, ♥K, ♦10, ♥7, ♣10 | pair
♦5, ♥K, ♦10, ♥7, ♣10 | pair
♦5, ♥K, ♦10, ♣10, ♠A | pair
♦5, ♥K, ♦10, ♣10, ♣10 | three of a kind
♦5, ♥K, ♦10, ♠A, ♣10 | pair
♦5, ♥K, ♥7, ♣10, ♣10 | pair
♦5, ♥K, ♣10, ♠A, ♣10 | pair
♦5, ♦9, ♦10, ♦10, ♥7 | pair
♦5, ♦9, ♦10, ♦10, ♣10 | three of a kind
♦5, ♦9, ♦10, ♦10, ♠A | pair
♦5, ♦9, ♦10, ♦10, ♣10 | three of a kind
♦5, ♦9, ♦10, ♥7, ♣10 | pair
♦5, ♦9, ♦10, ♥7, ♣10 | pair
♦5, ♦9, ♦10, ♣10, ♠A | pair
♦5, ♦9, ♦10, ♣10, ♣10 | three of a kind
♦5, ♦9, ♦10, ♠A, ♣10 | pair
♦5, ♦9, ♦10, ♥7, ♣10 | pair
♦5, ♦9, ♦10, ♥7, ♣10 | pair
♦5, ♦9, ♦10, ♣10, ♠A | pair
♦5, ♦9, ♦10, ♣10, ♣10 | three of a kind
♦5, ♦9, ♦10, ♠A, ♣10 | pair
♦5, ♦9, ♥7, ♣10, ♣10 | pair
♦5, ♦9, ♣10, ♠A, ♣10 | pair
♦5, ♦10, ♦10, ♥7, ♣10 | three of a kind
♦5, ♦10, ♦10, ♥7, ♠A | pair
♦5, ♦10, ♦10, ♥7, ♣10 | three of a kind
♦5, ♦10, ♦10, ♣10, ♠A | three of a kind
♦5, ♦10, ♦10, ♣10, ♣10 | four of a kind!
♦5, ♦10, ♦10, ♠A, ♣10 | three of a kind
♦5, ♦10, ♥7, ♣10, ♠A | pair
♦5, ♦10, ♥7, ♣10, ♣10 | three of a kind
♦5, ♦10, ♥7, ♠A, ♣10 | pair
♦5, ♦10, ♣10, ♠A, ♣10 | three of a kind
♦5, ♦10, ♥7, ♣10, ♠A | pair
♦5, ♦10, ♥7, ♣10, ♣10 | three of a kind
♦5, ♦10, ♥7, ♠A, ♣10 | pair
♦5, ♦10, ♣10, ♠A, ♣10 | three of a kind
♦5, ♥7, ♣10, ♠A, ♣10 | pair
♦7, ♦A, ♥K, ♦9, ♥7 | pair
♦7, ♦A, ♥K, ♦9, ♠A | pair
♦7, ♦A, ♥K, ♦10, ♦10 | pair
♦7, ♦A, ♥K, ♦10, ♥7 | pair
♦7, ♦A, ♥K, ♦10, ♣10 | pair
♦7, ♦A, ♥K, ♦10, ♠A | pair
♦7, ♦A, ♥K, ♦10, ♣10 | pair
♦7, ♦A, ♥K, ♦10, ♥7 | pair
♦7, ♦A, ♥K, ♦10, ♣10 | pair
♦7, ♦A, ♥K, ♦10, ♠A | pair
♦7, ♦A, ♥K, ♦10, ♣10 | pair
♦7, ♦A, ♥K, ♥7, ♣10 | pair
♦7, ♦A, ♥K, ♥7, ♠A | two pairs
♦7, ♦A, ♥K, ♥7, ♣10 | pair
♦7, ♦A, ♥K, ♣10, ♠A | pair
♦7, ♦A, ♥K, ♣10, ♣10 | pair
♦7, ♦A, ♥K, ♠A, ♣10 | pair
♦7, ♦A, ♦9, ♦10, ♦10 | flush
♦7, ♦A, ♦9, ♦10, ♥7 | pair
♦7, ♦A, ♦9, ♦10, ♣10 | pair
♦7, ♦A, ♦9, ♦10, ♠A | pair
♦7, ♦A, ♦9, ♦10, ♣10 | pair
♦7, ♦A, ♦9, ♦10, ♥7 | pair
♦7, ♦A, ♦9, ♦10, ♣10 | pair
♦7, ♦A, ♦9, ♦10, ♠A | pair
♦7, ♦A, ♦9, ♦10, ♣10 | pair
♦7, ♦A, ♦9, ♥7, ♣10 | pair
♦7, ♦A, ♦9, ♥7, ♠A | two pairs
♦7, ♦A, ♦9, ♥7, ♣10 | pair
♦7, ♦A, ♦9, ♣10, ♠A | pair
♦7, ♦A, ♦9, ♣10, ♣10 | pair
♦7, ♦A, ♦9, ♠A, ♣10 | pair
♦7, ♦A, ♦10, ♦10, ♥7 | two pairs
♦7, ♦A, ♦10, ♦10, ♣10 | three of a kind
♦7, ♦A, ♦10, ♦10, ♠A | two pairs
♦7, ♦A, ♦10, ♦10, ♣10 | three of a kind
♦7, ♦A, ♦10, ♥7, ♣10 | two pairs
♦7, ♦A, ♦10, ♥7, ♠A | two pairs
♦7, ♦A, ♦10, ♥7, ♣10 | two pairs
♦7, ♦A, ♦10, ♣10, ♠A | two pairs
♦7, ♦A, ♦10, ♣10, ♣10 | three of a kind
♦7, ♦A, ♦10, ♠A, ♣10 | two pairs
♦7, ♦A, ♦10, ♥7, ♣10 | two pairs
♦7, ♦A, ♦10, ♥7, ♠A | two pairs
♦7, ♦A, ♦10, ♥7, ♣10 | two pairs
♦7, ♦A, ♦10, ♣10, ♠A | two pairs
♦7, ♦A, ♦10, ♣10, ♣10 | three of a kind
♦7, ♦A, ♦10, ♠A, ♣10 | two pairs
♦7, ♦A, ♥7, ♣10, ♠A | two pairs
♦7, ♦A, ♥7, ♣10, ♣10 | two pairs
♦7, ♦A, ♥7, ♠A, ♣10 | two pairs
♦7, ♦A, ♣10, ♠A, ♣10 | two pairs
♦7, ♥K, ♦9, ♦10, ♦10 | pair
♦7, ♥K, ♦9, ♦10, ♥7 | pair
♦7, ♥K, ♦9, ♦10, ♣10 | pair
♦7, ♥K, ♦9, ♦10, ♣10 | pair
♦7, ♥K, ♦9, ♦10, ♥7 | pair
♦7, ♥K, ♦9, ♦10, ♣10 | pair
♦7, ♥K, ♦9, ♦10, ♣10 | pair
♦7, ♥K, ♦9, ♥7, ♣10 | pair
♦7, ♥K, ♦9, ♥7, ♠A | pair
♦7, ♥K, ♦9, ♥7, ♣10 | pair
♦7, ♥K, ♦9, ♣10, ♣10 | pair
♦7, ♥K, ♦10, ♦10, ♥7 | two pairs
♦7, ♥K, ♦10, ♦10, ♣10 | three of a kind
♦7, ♥K, ♦10, ♦10, ♠A | pair
♦7, ♥K, ♦10, ♦10, ♣10 | three of a kind
♦7, ♥K, ♦10, ♥7, ♣10 | two pairs
♦7, ♥K, ♦10, ♥7, ♠A | pair
♦7, ♥K, ♦10, ♥7, ♣10 | two pairs
♦7, ♥K, ♦10, ♣10, ♠A | pair
♦7, ♥K, ♦10, ♣10, ♣10 | three of a kind
♦7, ♥K, ♦10, ♠A, ♣10 | pair
♦7, ♥K, ♦10, ♥7, ♣10 | two pairs
♦7, ♥K, ♦10, ♥7, ♠A | pair
♦7, ♥K, ♦10, ♥7, ♣10 | two pairs
♦7, ♥K, ♦10, ♣10, ♠A | pair
♦7, ♥K, ♦10, ♣10, ♣10 | three of a kind
♦7, ♥K, ♦10, ♠A, ♣10 | pair
♦7, ♥K, ♥7, ♣10, ♠A | pair
♦7, ♥K, ♥7, ♣10, ♣10 | two pairs
♦7, ♥K, ♥7, ♠A, ♣10 | pair
♦7, ♥K, ♣10, ♠A, ♣10 | pair
♦7, ♦9, ♦10, ♦10, ♥7 | two pairs
♦7, ♦9, ♦10, ♦10, ♣10 | three of a kind
♦7, ♦9, ♦10, ♦10, ♠A | pair
♦7, ♦9, ♦10, ♦10, ♣10 | three of a kind
♦7, ♦9, ♦10, ♥7, ♣10 | two pairs
♦7, ♦9, ♦10, ♥7, ♠A | pair
♦7, ♦9, ♦10, ♥7, ♣10 | two pairs
♦7, ♦9, ♦10, ♣10, ♠A | pair
♦7, ♦9, ♦10, ♣10, ♣10 | three of a kind
♦7, ♦9, ♦10, ♠A, ♣10 | pair
♦7, ♦9, ♦10, ♥7, ♣10 | two pairs
♦7, ♦9, ♦10, ♥7, ♠A | pair
♦7, ♦9, ♦10, ♥7, ♣10 | two pairs
♦7, ♦9, ♦10, ♣10, ♠A | pair
♦7, ♦9, ♦10, ♣10, ♣10 | three of a kind
♦7, ♦9, ♦10, ♠A, ♣10 | pair
♦7, ♦9, ♥7, ♣10, ♠A | pair
♦7, ♦9, ♥7, ♣10, ♣10 | two pairs
♦7, ♦9, ♥7, ♠A, ♣10 | pair
♦7, ♦9, ♣10, ♠A, ♣10 | pair
♦7, ♦10, ♦10, ♥7, ♣10 | fullhouse
♦7, ♦10, ♦10, ♥7, ♠A | two pairs
♦7, ♦10, ♦10, ♥7, ♣10 | fullhouse
♦7, ♦10, ♦10, ♣10, ♠A | three of a kind
♦7, ♦10, ♦10, ♣10, ♣10 | four of a kind!
♦7, ♦10, ♦10, ♠A, ♣10 | three of a kind
♦7, ♦10, ♥7, ♣10, ♠A | two pairs
♦7, ♦10, ♥7, ♣10, ♣10 | fullhouse
♦7, ♦10, ♥7, ♠A, ♣10 | two pairs
♦7, ♦10, ♣10, ♠A, ♣10 | three of a kind
♦7, ♦10, ♥7, ♣10, ♠A | two pairs
♦7, ♦10, ♥7, ♣10, ♣10 | fullhouse
♦7, ♦10, ♥7, ♠A, ♣10 | two pairs
♦7, ♦10, ♣10, ♠A, ♣10 | three of a kind
♦7, ♥7, ♣10, ♠A, ♣10 | two pairs
♦A, ♥K, ♦9, ♦10, ♦10 | pair
♦A, ♥K, ♦9, ♦10, ♣10 | pair
♦A, ♥K, ♦9, ♦10, ♠A | pair
♦A, ♥K, ♦9, ♦10, ♣10 | pair
♦A, ♥K, ♦9, ♦10, ♣10 | pair
♦A, ♥K, ♦9, ♦10, ♠A | pair
♦A, ♥K, ♦9, ♦10, ♣10 | pair
♦A, ♥K, ♦9, ♥7, ♠A | pair
♦A, ♥K, ♦9, ♣10, ♠A | pair
♦A, ♥K, ♦9, ♣10, ♣10 | pair
♦A, ♥K, ♦9, ♠A, ♣10 | pair
♦A, ♥K, ♦10, ♦10, ♥7 | pair
♦A, ♥K, ♦10, ♦10, ♣10 | three of a kind
♦A, ♥K, ♦10, ♦10, ♠A | two pairs
♦A, ♥K, ♦10, ♦10, ♣10 | three of a kind
♦A, ♥K, ♦10, ♥7, ♣10 | pair
♦A, ♥K, ♦10, ♥7, ♠A | pair
♦A, ♥K, ♦10, ♥7, ♣10 | pair
♦A, ♥K, ♦10, ♣10, ♠A | two pairs
♦A, ♥K, ♦10, ♣10, ♣10 | three of a kind
♦A, ♥K, ♦10, ♠A, ♣10 | two pairs
♦A, ♥K, ♦10, ♥7, ♣10 | pair
♦A, ♥K, ♦10, ♥7, ♠A | pair
♦A, ♥K, ♦10, ♥7, ♣10 | pair
♦A, ♥K, ♦10, ♣10, ♠A | two pairs
♦A, ♥K, ♦10, ♣10, ♣10 | three of a kind
♦A, ♥K, ♦10, ♠A, ♣10 | two pairs
♦A, ♥K, ♥7, ♣10, ♠A | pair
♦A, ♥K, ♥7, ♣10, ♣10 | pair
♦A, ♥K, ♥7, ♠A, ♣10 | pair
♦A, ♥K, ♣10, ♠A, ♣10 | two pairs
♦A, ♦9, ♦10, ♦10, ♥7 | pair
♦A, ♦9, ♦10, ♦10, ♣10 | three of a kind
♦A, ♦9, ♦10, ♦10, ♠A | two pairs
♦A, ♦9, ♦10, ♦10, ♣10 | three of a kind
♦A, ♦9, ♦10, ♥7, ♣10 | pair
♦A, ♦9, ♦10, ♥7, ♠A | pair
♦A, ♦9, ♦10, ♥7, ♣10 | pair
♦A, ♦9, ♦10, ♣10, ♠A | two pairs
♦A, ♦9, ♦10, ♣10, ♣10 | three of a kind
♦A, ♦9, ♦10, ♠A, ♣10 | two pairs
♦A, ♦9, ♦10, ♥7, ♣10 | pair
♦A, ♦9, ♦10, ♥7, ♠A | pair
♦A, ♦9, ♦10, ♥7, ♣10 | pair
♦A, ♦9, ♦10, ♣10, ♠A | two pairs
♦A, ♦9, ♦10, ♣10, ♣10 | three of a kind
♦A, ♦9, ♦10, ♠A, ♣10 | two pairs
♦A, ♦9, ♥7, ♣10, ♠A | pair
♦A, ♦9, ♥7, ♣10, ♣10 | pair
♦A, ♦9, ♥7, ♠A, ♣10 | pair
♦A, ♦9, ♣10, ♠A, ♣10 | two pairs
♦A, ♦10, ♦10, ♥7, ♣10 | three of a kind
♦A, ♦10, ♦10, ♥7, ♠A | two pairs
♦A, ♦10, ♦10, ♥7, ♣10 | three of a kind
♦A, ♦10, ♦10, ♣10, ♠A | fullhouse
♦A, ♦10, ♦10, ♣10, ♣10 | four of a kind!
♦A, ♦10, ♦10, ♠A, ♣10 | fullhouse
♦A, ♦10, ♥7, ♣10, ♠A | two pairs
♦A, ♦10, ♥7, ♣10, ♣10 | three of a kind
♦A, ♦10, ♥7, ♠A, ♣10 | two pairs
♦A, ♦10, ♣10, ♠A, ♣10 | fullhouse
♦A, ♦10, ♥7, ♣10, ♠A | two pairs
