♦A, ♠6, ♦K, ♠Q, ♣K | pair
♦K, ♣K, ♣5, ♣8, ♥Q | pair
♦K, ♣K, ♣5, ♣8, ♣9 | pair
♦K, ♣K, ♣5, ♥2, ♦K | three of a kind
♦K, ♣K, ♣5, ♥2, ♥Q | pair
♦K, ♣K, ♣5, ♥2, ♣9 | pair
♦K, ♣K, ♣5, ♦K, ♥Q | three of a kind
♦K, ♣K, ♣5, ♦K, ♣9 | three of a kind
♦K, ♣K, ♣5, ♥Q, ♣9 | pair
♦K, ♣K, ♣8, ♥2, ♦K | three of a kind
♦K, ♣K, ♣8, ♥2, ♥Q | pair
♦K, ♣K, ♣8, ♥2, ♣9 | pair
♦K, ♣K, ♣8, ♦K, ♥Q | three of a kind
♦K, ♣K, ♣8, ♦K, ♣9 | three of a kind
♦K, ♣K, ♣8, ♥Q, ♣9 | pair
♦K, ♣K, ♥2, ♦K, ♥Q | three of a kind
♦K, ♣K, ♥2, ♦K, ♣9 | three of a kind
♦K, ♣K, ♥2, ♥Q, ♣9 | pair
♦K, ♣K, ♦K, ♥Q, ♣9 | three of a kind
♦K, ♥10, ♣5, ♣8, ♦K | pair
♦K, ♥10, ♣5, ♥2, ♦K | pair
♦K, ♥10, ♣5, ♦K, ♥Q | pair
♦K, ♥10, ♣5, ♦K, ♣9 | pair
♦K, ♥10, ♣8, ♥2, ♦K | pair
♦K, ♥10, ♣8, ♦K, ♥Q | pair
♦K, ♥10, ♣8, ♦K, ♣9 | pair
♦K, ♥10, ♥2, ♦K, ♥Q | pair
♦K, ♥10, ♥2, ♦K, ♣9 | pair
♦K, ♥10, ♦K, ♥Q, ♣9 | pair
♦K, ♣5, ♣8, ♥2, ♦K | pair
♦K, ♣5, ♣8, ♦K, ♥Q | pair
♦K, ♣5, ♣8, ♦K, ♣9 | pair
♦K, ♣5, ♥2, ♦K, ♥Q | pair
♦K, ♣5, ♥2, ♦K, ♣9 | pair
♦K, ♣5, ♦K, ♥Q, ♣9 | pair
♦K, ♣8, ♥2, ♦K, ♥Q | pair
♦K, ♣8, ♥2, ♦K, ♣9 | pair
♦K, ♣8, ♦K, ♥Q, ♣9 | pair
♦K, ♥2, ♦K, ♥Q, ♣9 | pair
♠Q, ♣2, ♣K, ♥10, ♥2 | pair
♠Q, ♣2, ♣K, ♥10, ♦K | pair
♠Q, ♣2, ♣K, ♥10, ♥Q | pair
♠Q, ♣2, ♣K, ♣5, ♥2 | pair
♠Q, ♣2, ♣K, ♣5, ♦K | pair
♠Q, ♣2, ♣K, ♣5, ♥Q | pair
♠Q, ♣2, ♣K, ♣8, ♥2 | pair
♠Q, ♣2, ♣K, ♣8, ♦K | pair
♠Q, ♣2, ♣K, ♣8, ♥Q | pair
♠Q, ♣2, ♣K, ♥2, ♦K | two pairs
♠Q, ♣2, ♣K, ♥2, ♥Q | two pairs
♠Q, ♣2, ♣K, ♥2, ♣9 | pair
♠Q, ♣2, ♣K, ♦K, ♥Q | two pairs
♠Q, ♣2, ♣K, ♦K, ♣9 | pair
♠Q, ♣2, ♣K, ♥Q, ♣9 | pair
♠Q, ♣2, ♥10, ♣5, ♥2 | pair
♠Q, ♣2, ♥10, ♣5, ♥Q | pair
♠Q, ♣2, ♥10, ♣8, ♥2 | pair
♠Q, ♣2, ♥10, ♣8, ♥Q | pair
♠Q, ♣2, ♥10, ♥2, ♦K | pair
♠Q, ♣2, ♥10, ♥2, ♥Q | two pairs
♠Q, ♣2, ♥10, ♥2, ♣9 | pair
♠Q, ♣2, ♥10, ♦K, ♥Q | pair
♠Q, ♣2, ♥10, ♥Q, ♣9 | pair
♠Q, ♣2, ♣5, ♣8, ♥2 | pair
♠Q, ♣2, ♣5, ♣8, ♥Q | pair
♠Q, ♣2, ♣5, ♥2, ♦K | pair
♠Q, ♣2, ♣5, ♥2, ♥Q | two pairs
♠Q, ♣2, ♣5, ♥2, ♣9 | pair
♠Q, ♣2, ♣5, ♦K, ♥Q | pair
♠Q, ♣2, ♣5, ♥Q, ♣9 | pair
♠Q, ♣2, ♣8, ♥2, ♦K | pair
♠Q, ♣2, ♣8, ♥2, ♥Q | two pairs
♠Q, ♣2, ♣8, ♥2, ♣9 | pair
♠Q, ♣2, ♣8, ♦K, ♥Q | pair
♠Q, ♣2, ♣8, ♥Q, ♣9 | pair
♠Q, ♣2, ♥2, ♦K, ♥Q | two pairs
♠Q, ♣2, ♥2, ♦K, ♣9 | pair
♠Q, ♣2, ♥2, ♥Q, ♣9 | two pairs
♠Q, ♣2, ♦K, ♥Q, ♣9 | pair
♠Q, ♣K, ♥10, ♣5, ♦K | pair
♠Q, ♣K, ♥10, ♣5, ♥Q | pair
♠Q, ♣K, ♥10, ♣8, ♦K | pair
♠Q, ♣K, ♥10, ♣8, ♥Q | pair
♠Q, ♣K, ♥10, ♥2, ♦K | pair
♠Q, ♣K, ♥10, ♥2, ♥Q | pair
♠Q, ♣K, ♥10, ♦K, ♥Q | two pairs
♠Q, ♣K, ♥10, ♦K, ♣9 | pair
♠Q, ♣K, ♥10, ♥Q, ♣9 | pair
♠Q, ♣K, ♣5, ♣8, ♦K | pair
♠Q, ♣K, ♣5, ♣8, ♥Q | pair
♠Q, ♣K, ♣5, ♥2, ♦K | pair
♠Q, ♣K, ♣5, ♥2, ♥Q | pair
♠Q, ♣K, ♣5, ♦K, ♥Q | two pairs
♠Q, ♣K, ♣5, ♦K, ♣9 | pair
♠Q, ♣K, ♣5, ♥Q, ♣9 | pair
♠Q, ♣K, ♣8, ♥2, ♦K | pair
♠Q, ♣K, ♣8, ♥2, ♥Q | pair
♠Q, ♣K, ♣8, ♦K, ♥Q | two pairs
♠Q, ♣K, ♣8, ♦K, ♣9 | pair
♠Q, ♣K, ♣8, ♥Q, ♣9 | pair
♠Q, ♣K, ♥2, ♦K, ♥Q | two pairs
♠Q, ♣K, ♥2, ♦K, ♣9 | pair
♠Q, ♣K, ♥2, ♥Q, ♣9 | pair
♠Q, ♣K, ♦K, ♥Q, ♣9 | two pairs
♠Q, ♥10, ♣5, ♣8, ♥Q | pair
♠Q, ♥10, ♣5, ♥2, ♥Q | pair
♠Q, ♥10, ♣5, ♦K, ♥Q | pair
♠Q, ♥10, ♣5, ♥Q, ♣9 | pair
♠Q, ♥10, ♣8, ♥2, ♥Q | pair
♠Q, ♥10, ♣8, ♦K, ♥Q | pair
♠Q, ♥10, ♣8, ♥Q, ♣9 | pair
♠Q, ♥10, ♥2, ♦K, ♥Q | pair
♠Q, ♥10, ♥2, ♥Q, ♣9 | pair
♠Q, ♥10, ♦K, ♥Q, ♣9 | pair
♠Q, ♣5, ♣8, ♥2, ♥Q | pair
♠Q, ♣5, ♣8, ♦K, ♥Q | pair
♠Q, ♣5, ♣8, ♥Q, ♣9 | pair
♠Q, ♣5, ♥2, ♦K, ♥Q | pair
♠Q, ♣5, ♥2, ♥Q, ♣9 | pair
♠Q, ♣5, ♦K, ♥Q, ♣9 | pair
♠Q, ♣8, ♥2, ♦K, ♥Q | pair
♠Q, ♣8, ♥2, ♥Q, ♣9 | pair
♠Q, ♣8, ♦K, ♥Q, ♣9 | pair
♠Q, ♥2, ♦K, ♥Q, ♣9 | pair
♣2, ♣K, ♥10, ♣5, ♥2 | pair
♣2, ♣K, ♥10, ♣5, ♦K | pair
♣2, ♣K, ♥10, ♣8, ♥2 | pair
♣2, ♣K, ♥10, ♣8, ♦K | pair
♣2, ♣K, ♥10, ♥2, ♦K | two pairs
♣2, ♣K, ♥10, ♥2, ♥Q | pair
♣2, ♣K, ♥10, ♥2, ♣9 | pair
♣2, ♣K, ♥10, ♦K, ♥Q | pair
♣2, ♣K, ♥10, ♦K, ♣9 | pair
♣2, ♣K, ♣5, ♣8, ♥2 | pair
♣2, ♣K, ♣5, ♣8, ♦K | pair
♣2, ♣K, ♣5, ♣8, ♣9 | flush
♣2, ♣K, ♣5, ♥2, ♦K | two pairs
♣2, ♣K, ♣5, ♥2, ♥Q | pair
♣2, ♣K, ♣5, ♥2, ♣9 | pair
♣2, ♣K, ♣5, ♦K, ♥Q | pair
♣2, ♣K, ♣5, ♦K, ♣9 | pair
♣2, ♣K, ♣8, ♥2, ♦K | two pairs
♣2, ♣K, ♣8, ♥2, ♥Q | pair
♣2, ♣K, ♣8, ♥2, ♣9 | pair
♣2, ♣K, ♣8, ♦K, ♥Q | pair
♣2, ♣K, ♣8, ♦K, ♣9 | pair
♣2, ♣K, ♥2, ♦K, ♥Q | two pairs
♣2, ♣K, ♥2, ♦K, ♣9 | two pairs
♣2, ♣K, ♥2, ♥Q, ♣9 | pair
♣2, ♣K, ♦K, ♥Q, ♣9 | pair
♣2, ♥10, ♣5, ♣8, ♥2 | pair
♣2, ♥10, ♣5, ♥2, ♦K | pair
♣2, ♥10, ♣5, ♥2, ♥Q | pair
♣2, ♥10, ♣5, ♥2, ♣9 | pair
♣2, ♥10, ♣8, ♥2, ♦K | pair
♣2, ♥10, ♣8, ♥2, ♥Q | pair
♣2, ♥10, ♣8, ♥2, ♣9 | pair
♣2, ♥10, ♥2, ♦K, ♥Q | pair
♣2, ♥10, ♥2, ♦K, ♣9 | pair
♣2, ♥10, ♥2, ♥Q, ♣9 | pair
♣2, ♣5, ♣8, ♥2, ♦K | pair
♣2, ♣5, ♣8, ♥2, ♥Q | pair
♣2, ♣5, ♣8, ♥2, ♣9 | pair
♣2, ♣5, ♥2, ♦K, ♥Q | pair
♣2, ♣5, ♥2, ♦K, ♣9 | pair
♣2, ♣5, ♥2, ♥Q, ♣9 | pair
♣2, ♣8, ♥2, ♦K, ♥Q | pair
♣2, ♣8, ♥2, ♦K, ♣9 | pair
♣2, ♣8, ♥2, ♥Q, ♣9 | pair
♣2, ♥2, ♦K, ♥Q, ♣9 | pair
♣K, ♥10, ♣5, ♣8, ♦K | pair
♣K, ♥10, ♣5, ♥2, ♦K | pair
♣K, ♥10, ♣5, ♦K, ♥Q | pair
♣K, ♥10, ♣5, ♦K, ♣9 | pair
♣K, ♥10, ♣8, ♥2, ♦K | pair
♣K, ♥10, ♣8, ♦K, ♥Q | pair
♣K, ♥10, ♣8, ♦K, ♣9 | pair
♣K, ♥10, ♥2, ♦K, ♥Q | pair
♣K, ♥10, ♥2, ♦K, ♣9 | pair
♣K, ♥10, ♦K, ♥Q, ♣9 | pair
♣K, ♣5, ♣8, ♥2, ♦K | pair
♣K, ♣5, ♣8, ♦K, ♥Q | pair
♣K, ♣5, ♣8, ♦K, ♣9 | pair
♣K, ♣5, ♥2, ♦K, ♥Q | pair
♣K, ♣5, ♥2, ♦K, ♣9 | pair
♣K, ♣5, ♦K, ♥Q, ♣9 | pair
♣K, ♣8, ♥2, ♦K, ♥Q | pair
♣K, ♣8, ♥2, ♦K, ♣9 | pair
♣K, ♣8, ♦K, ♥Q, ♣9 | pair
♣K, ♥2, ♦K, ♥Q, ♣9 | pair
