♠8, ♠2, ♥10, ♦9, ♦8 | pair
♦9, ♥J, ♣4, ♦8, ♥J | pair
♦9, ♥J, ♣4, ♥A, ♥4 | pair
♦9, ♥J, ♣4, ♥A, ♥J | pair
♦9, ♥J, ♣4, ♥4, ♥J | two pairs
♦9, ♥J, ♣4, ♥4, ♠7 | pair
♦9, ♥J, ♣4, ♥J, ♠7 | pair
♦9, ♥J, ♦8, ♥A, ♥J | pair
♦9, ♥J, ♦8, ♥4, ♥J | pair
♦9, ♥J, ♦8, ♥J, ♠7 | pair
♦9, ♥J, ♥A, ♥4, ♥J | pair
♦9, ♥J, ♥A, ♥J, ♠7 | pair
♦9, ♥J, ♥4, ♥J, ♠7 | pair
♦9, ♦K, ♣4, ♦8, ♥4 | pair
♦9, ♦K, ♣4, ♥A, ♥4 | pair
♦9, ♦K, ♣4, ♥4, ♥J | pair
♦9, ♦K, ♣4, ♥4, ♠7 | pair
♦9, ♣4, ♦8, ♥A, ♥4 | pair
♦9, ♣4, ♦8, ♥4, ♥J | pair
♦9, ♣4, ♦8, ♥4, ♠7 | pair
♦9, ♣4, ♥A, ♥4, ♥J | pair
♦9, ♣4, ♥A, ♥4, ♠7 | pair
♦9, ♣4, ♥4, ♥J, ♠7 | pair
♠7, ♥J, ♦K, ♣4, ♥4 | pair
♠7, ♥J, ♦K, ♣4, ♥J | pair
♠7, ♥J, ♦K, ♣4, ♠7 | pair
♠7, ♥J, ♦K, ♦8, ♥J | pair
♠7, ♥J, ♦K, ♦8, ♠7 | pair
♠7, ♥J, ♦K, ♥A, ♥J | pair
♠7, ♥J, ♦K, ♥A, ♠7 | pair
♠7, ♥J, ♦K, ♥4, ♥J | pair
♠7, ♥J, ♦K, ♥4, ♠7 | pair
♠7, ♥J, ♦K, ♥J, ♠7 | two pairs
♠7, ♥J, ♣4, ♦8, ♥4 | pair
♠7, ♥J, ♣4, ♦8, ♥J | pair
♠7, ♥J, ♣4, ♦8, ♠7 | pair
♠7, ♥J, ♣4, ♥A, ♥4 | pair
♠7, ♥J, ♣4, ♥A, ♥J | pair
♠7, ♥J, ♣4, ♥A, ♠7 | pair
♠7, ♥J, ♣4, ♥4, ♥J | two pairs
♠7, ♥J, ♣4, ♥4, ♠7 | two pairs
♠7, ♥J, ♣4, ♥J, ♠7 | two pairs
♠7, ♥J, ♦8, ♥A, ♥J | pair
♠7, ♥J, ♦8, ♥A, ♠7 | pair
♠7, ♥J, ♦8, ♥4, ♥J | pair
♠7, ♥J, ♦8, ♥4, ♠7 | pair
♠7, ♥J, ♦8, ♥J, ♠7 | two pairs
♠7, ♥J, ♥A, ♥4, ♥J | pair
♠7, ♥J, ♥A, ♥4, ♠7 | pair
♠7, ♥J, ♥A, ♥J, ♠7 | two pairs
♠7, ♥J, ♥4, ♥J, ♠7 | two pairs
♠7, ♦K, ♣4, ♦8, ♥4 | pair
♠7, ♦K, ♣4, ♦8, ♠7 | pair
♠7, ♦K, ♣4, ♥A, ♥4 | pair
♠7, ♦K, ♣4, ♥A, ♠7 | pair
♠7, ♦K, ♣4, ♥4, ♥J | pair
♠7, ♦K, ♣4, ♥4, ♠7 | two pairs
♠7, ♦K, ♣4, ♥J, ♠7 | pair
♠7, ♦K, ♦8, ♥A, ♠7 | pair
♠7, ♦K, ♦8, ♥4, ♠7 | pair
♠7, ♦K, ♦8, ♥J, ♠7 | pair
♠7, ♦K, ♥A, ♥4, ♠7 | pair
♠7, ♦K, ♥A, ♥J, ♠7 | pair
♠7, ♦K, ♥4, ♥J, ♠7 | pair
♠7, ♣4, ♦8, ♥A, ♥4 | pair
♠7, ♣4, ♦8, ♥A, ♠7 | pair
♠7, ♣4, ♦8, ♥4, ♥J | pair
♠7, ♣4, ♦8, ♥4, ♠7 | two pairs
♠7, ♣4, ♦8, ♥J, ♠7 | pair
♠7, ♣4, ♥A, ♥4, ♥J | pair
♠7, ♣4, ♥A, ♥4, ♠7 | two pairs
♠7, ♣4, ♥A, ♥J, ♠7 | pair
♠7, ♣4, ♥4, ♥J, ♠7 | two pairs
♠7, ♦8, ♥A, ♥4, ♠7 | pair
♠7, ♦8, ♥A, ♥J, ♠7 | pair
♠7, ♦8, ♥4, ♥J, ♠7 | pair
♠7, ♥A, ♥4, ♥J, ♠7 | pair
♥J, ♦K, ♣4, ♦8, ♥4 | pair
♥J, ♦K, ♣4, ♦8, ♥J | pair
♥J, ♦K, ♣4, ♥A, ♥4 | pair
♥J, ♦K, ♣4, ♥A, ♥J | pair
♥J, ♦K, ♣4, ♥4, ♥J | two pairs
♥J, ♦K, ♣4, ♥4, ♠7 | pair
♥J, ♦K, ♣4, ♥J, ♠7 | pair
♥J, ♦K, ♦8, ♥A, ♥J | pair
♥J, ♦K, ♦8, ♥4, ♥J | pair
♥J, ♦K, ♦8, ♥J, ♠7 | pair
♥J, ♦K, ♥A, ♥4, ♥J | pair
♥J, ♦K, ♥A, ♥J, ♠7 | pair
♥J, ♦K, ♥4, ♥J, ♠7 | pair
♥J, ♣4, ♦8, ♥A, ♥4 | pair
♥J, ♣4, ♦8, ♥A, ♥J | pair
♥J, ♣4, ♦8, ♥4, ♥J | two pairs
♥J, ♣4, ♦8, ♥4, ♠7 | pair
♥J, ♣4, ♦8, ♥J, ♠7 | pair
♥J, ♣4, ♥A, ♥4, ♥J | two pairs
♥J, ♣4, ♥A, ♥4, ♠7 | pair
♥J, ♣4, ♥A, ♥J, ♠7 | pair
♥J, ♣4, ♥4, ♥J, ♠7 | two pairs
♥J, ♦8, ♥A, ♥4, ♥J | pair
♥J, ♦8, ♥A, ♥J, ♠7 | pair
♥J, ♦8, ♥4, ♥J, ♠7 | pair
♥J, ♥A, ♥4, ♥J, ♠7 | pair
♦K, ♣4, ♦8, ♥A, ♥4 | pair
♦K, ♣4, ♦8, ♥4, ♥J | pair
♦K, ♣4, ♦8, ♥4, ♠7 | pair
♦K, ♣4, ♥A, ♥4, ♥J | pair
♦K, ♣4, ♥A, ♥4, ♠7 | pair
♦K, ♣4, ♥4, ♥J, ♠7 | pair
♣4, ♦8, ♥A, ♥4, ♥J | pair
♣4, ♦8, ♥A, ♥4, ♠7 | pair
♣4, ♦8, ♥4, ♥J, ♠7 | pair
♣4, ♥A, ♥4, ♥J, ♠7 | pair
