♥A, ♥K, ♠K, ♠7, ♦4 | pair
♠K, ♦4, ♦7, ♦7, ♥8 | pair
♠K, ♦4, ♦7, ♦7, ♦7 | three of a kind
♠K, ♦4, ♦7, ♦7, ♦K | two pairs
♠K, ♦4, ♦7, ♥8, ♦7 | pair
♠K, ♦4, ♦7, ♥8, ♦K | pair
♠K, ♦4, ♦7, ♦7, ♦K | two pairs
♠K, ♦4, ♦7, ♥8, ♦7 | pair
♠K, ♦4, ♦7, ♥8, ♦K | pair
♠K, ♦4, ♦7, ♦7, ♦K | two pairs
♠K, ♦4, ♥8, ♦7, ♦K | pair
♠K, ♦10, ♦5, ♦7, ♦7 | pair
♠K, ♦10, ♦5, ♦7, ♦7 | pair
♠K, ♦10, ♦5, ♦7, ♦K | pair
♠K, ♦10, ♦5, ♦7, ♦7 | pair
♠K, ♦10, ♦5, ♦7, ♦K | pair
♠K, ♦10, ♦5, ♥8, ♦K | pair
♠K, ♦10, ♦5, ♦7, ♦K | pair
♠K, ♦10, ♦7, ♦7, ♥8 | pair
♠K, ♦10, ♦7, ♦7, ♦7 | three of a kind
♠K, ♦10, ♦7, ♦7, ♦K | two pairs
♠K, ♦10, ♦7, ♥8, ♦7 | pair
♠K, ♦10, ♦7, ♥8, ♦K | pair
♠K, ♦10, ♦7, ♦7, ♦K | two pairs
♠K, ♦10, ♦7, ♥8, ♦7 | pair
♠K, ♦10, ♦7, ♥8, ♦K | pair
♠K, ♦10, ♦7, ♦7, ♦K | two pairs
♠K, ♦10, ♥8, ♦7, ♦K | pair
♠K, ♦5, ♦7, ♦7, ♥8 | pair
♠K, ♦5, ♦7, ♦7, ♦7 | three of a kind
♠K, ♦5, ♦7, ♦7, ♦K | two pairs
♠K, ♦5, ♦7, ♥8, ♦7 | pair
♠K, ♦5, ♦7, ♥8, ♦K | pair
♠K, ♦5, ♦7, ♦7, ♦K | two pairs
♠K, ♦5, ♦7, ♥8, ♦7 | pair
♠K, ♦5, ♦7, ♥8, ♦K | pair
♠K, ♦5, ♦7, ♦7, ♦K | two pairs
♠K, ♦5, ♥8, ♦7, ♦K | pair
♠K, ♦7, ♦7, ♥8, ♦7 | three of a kind
♠K, ♦7, ♦7, ♥8, ♦K | two pairs
♠K, ♦7, ♦7, ♦7, ♦K | fullhouse
♠K, ♦7, ♥8, ♦7, ♦K | two pairs
♠K, ♦7, ♥8, ♦7, ♦K | two pairs
♠7, ♦4, ♦10, ♦5, ♦7 | pair
♠7, ♦4, ♦10, ♦5, ♦7 | pair
♠7, ♦4, ♦10, ♦5, ♦7 | pair
♠7, ♦4, ♦10, ♦7, ♦7 | three of a kind
♠7, ♦4, ♦10, ♦7, ♥8 | pair
♠7, ♦4, ♦10, ♦7, ♦7 | three of a kind
♠7, ♦4, ♦10, ♦7, ♦K | pair
♠7, ♦4, ♦10, ♦7, ♥8 | pair
♠7, ♦4, ♦10, ♦7, ♦7 | three of a kind
♠7, ♦4, ♦10, ♦7, ♦K | pair
♠7, ♦4, ♦10, ♥8, ♦7 | pair
♠7, ♦4, ♦10, ♦7, ♦K | pair
♠7, ♦4, ♦5, ♦7, ♦7 | three of a kind
♠7, ♦4, ♦5, ♦7, ♥8 | pair
♠7, ♦4, ♦5, ♦7, ♦7 | three of a kind
♠7, ♦4, ♦5, ♦7, ♦K | pair
♠7, ♦4, ♦5, ♦7, ♥8 | pair
♠7, ♦4, ♦5, ♦7, ♦7 | three of a kind
♠7, ♦4, ♦5, ♦7, ♦K | pair
♠7, ♦4, ♦5, ♥8, ♦7 | pair
♠7, ♦4, ♦5, ♦7, ♦K | pair
♠7, ♦4, ♦7, ♦7, ♥8 | three of a kind
♠7, ♦4, ♦7, ♦7, ♦7 | four of a kind!
♠7, ♦4, ♦7, ♦7, ♦K | three of a kind
♠7, ♦4, ♦7, ♥8, ♦7 | three of a kind
♠7, ♦4, ♦7, ♥8, ♦K | pair
♠7, ♦4, ♦7, ♦7, ♦K | three of a kind
♠7, ♦4, ♦7, ♥8, ♦7 | three of a kind
♠7, ♦4, ♦7, ♥8, ♦K | pair
♠7, ♦4, ♦7, ♦7, ♦K | three of a kind
♠7, ♦4, ♥8, ♦7, ♦K | pair
♠7, ♦10, ♦5, ♦7, ♦7 | three of a kind
♠7, ♦10, ♦5, ♦7, ♥8 | pair
♠7, ♦10, ♦5, ♦7, ♦7 | three of a kind
♠7, ♦10, ♦5, ♦7, ♦K | pair
♠7, ♦10, ♦5, ♦7, ♥8 | pair
♠7, ♦10, ♦5, ♦7, ♦7 | three of a kind
♠7, ♦10, ♦5, ♦7, ♦K | pair
♠7, ♦10, ♦5, ♥8, ♦7 | pair
♠7, ♦10, ♦5, ♦7, ♦K | pair
♠7, ♦10, ♦7, ♦7, ♥8 | three of a kind
♠7, ♦10, ♦7, ♦7, ♦7 | four of a kind!
♠7, ♦10, ♦7, ♦7, ♦K | three of a kind
♠7, ♦10, ♦7, ♥8, ♦7 | three of a kind
♠7, ♦10, ♦7, ♥8, ♦K | pair
♠7, ♦10, ♦7, ♦7, ♦K | three of a kind
♠7, ♦10, ♦7, ♥8, ♦7 | three of a kind
♠7, ♦10, ♦7, ♥8, ♦K | pair
♠7, ♦10, ♦7, ♦7, ♦K | three of a kind
♠7, ♦10, ♥8, ♦7, ♦K | pair
♠7, ♦5, ♦7, ♦7, ♥8 | three of a kind
♠7, ♦5, ♦7, ♦7, ♦7 | four of a kind!
♠7, ♦5, ♦7, ♦7, ♦K | three of a kind
♠7, ♦5, ♦7, ♥8, ♦7 | three of a kind
♠7, ♦5, ♦7, ♥8, ♦K | pair
♠7, ♦5, ♦7, ♦7, ♦K | three of a kind
♠7, ♦5, ♦7, ♥8, ♦7 | three of a kind
♠7, ♦5, ♦7, ♥8, ♦K | pair
♠7, ♦5, ♦7, ♦7, ♦K | three of a kind
♠7, ♦5, ♥8, ♦7, ♦K | pair
♠7, ♦7, ♦7, ♥8, ♦7 | four of a kind!
♠7, ♦7, ♦7, ♥8, ♦K | three of a kind
♠7, ♦7, ♦7, ♦7, ♦K | four of a kind!
♠7, ♦7, ♥8, ♦7, ♦K | three of a kind
♠7, ♦7, ♥8, ♦7, ♦K | three of a kind
♦4, ♦10, ♦5, ♦7, ♦7 | flush
♦4, ♦10, ♦5, ♦7, ♦7 | flush
♦4, ♦10, ♦5, ♦7, ♦K | flush
♦4, ♦10, ♦5, ♦7, ♦7 | flush
♦4, ♦10, ♦5, ♦7, ♦K | flush
♦4, ♦10, ♦5, ♦7, ♦K | flush
♦4, ♦10, ♦7, ♦7, ♥8 | pair
♦4, ♦10, ♦7, ♦7, ♦7 | flush
♦4, ♦10, ♦7, ♦7, ♦K | flush
♦4, ♦10, ♦7, ♥8, ♦7 | pair
♦4, ♦10, ♦7, ♦7, ♦K | flush
♦4, ♦10, ♦7, ♥8, ♦7 | pair
♦4, ♦10, ♦7, ♦7, ♦K | flush
♦4, ♦5, ♦7, ♦7, ♥8 | pair
♦4, ♦5, ♦7, ♦7, ♦7 | flush
♦4, ♦5, ♦7, ♦7, ♦K | flush
♦4, ♦5, ♦7, ♥8, ♦7 | pair
♦4, ♦5, ♦7, ♦7, ♦K | flush
♦4, ♦5, ♦7, ♥8, ♦7 | pair
♦4, ♦5, ♦7, ♦7, ♦K | flush
♦4, ♦7, ♦7, ♥8, ♦7 | three of a kind
♦4, ♦7, ♦7, ♥8, ♦K | pair
♦4, ♦7, ♦7, ♦7, ♦K | flush
♦4, ♦7, ♥8, ♦7, ♦K | pair
♦4, ♦7, ♥8, ♦7, ♦K | pair
♦10, ♦5, ♦7, ♦7, ♥8 | pair
♦10, ♦5, ♦7, ♦7, ♦7 | flush
♦10, ♦5, ♦7, ♦7, ♦K | flush
♦10, ♦5, ♦7, ♥8, ♦7 | pair
♦10, ♦5, ♦7, ♦7, ♦K | flush
♦10, ♦5, ♦7, ♥8, ♦7 | pair
♦10, ♦5, ♦7, ♦7, ♦K | flush
♦10, ♦7, ♦7, ♥8, ♦7 | three of a kind
♦10, ♦7, ♦7, ♥8, ♦K | pair
♦10, ♦7, ♦7, ♦7, ♦K | flush
♦10, ♦7, ♥8, ♦7, ♦K | pair
♦10, ♦7, ♥8, ♦7, ♦K | pair
♦5, ♦7, ♦7, ♥8, ♦7 | three of a kind
♦5, ♦7, ♦7, ♥8, ♦K | pair
♦5, ♦7, ♦7, ♦7, ♦K | flush
♦5, ♦7, ♥8, ♦7, ♦K | pair
♦5, ♦7, ♥8, ♦7, ♦K | pair
♦7, ♦7, ♥8, ♦7, ♦K | three of a kind
