♣8, ♦4, ♥A, ♦3, ♦4 | pair
♦4, ♥A, ♦4, ♦9, ♦3 | pair
♦4, ♥A, ♦4, ♦9, ♥6 | pair
♦4, ♥A, ♦4, ♠2, ♦2 | two pairs
♦4, ♥A, ♦4, ♠2, ♦3 | pair
♦4, ♥A, ♦4, ♠2, ♥6 | pair
♦4, ♥A, ♦4, ♦2, ♦3 | pair
♦4, ♥A, ♦4, ♦2, ♥6 | pair
♦4, ♥A, ♦4, ♦3, ♥6 | pair
♦4, ♥A, ♠A, ♦9, ♠2 | pair
♦4, ♥A, ♠A, ♦9, ♦2 | pair
♦4, ♥A, ♠A, ♦9, ♦3 | pair
♦4, ♥A, ♠A, ♦9, ♥6 | pair
♦4, ♥A, ♠A, ♠2, ♦2 | two pairs
♦4, ♥A, ♠A, ♠2, ♦3 | pair
♦4, ♥A, ♠A, ♠2, ♥6 | pair
♦4, ♥A, ♠A, ♦2, ♦3 | pair
♦4, ♥A, ♠A, ♦2, ♥6 | pair
♦4, ♥A, ♠A, ♦3, ♥6 | pair
♦4, ♥A, ♦9, ♠2, ♦2 | pair
♦4, ♥A, ♠2, ♦2, ♦3 | pair
♦4, ♥A, ♠2, ♦2, ♥6 | pair
♦4, ♦3, ♠6, ♠2, ♦4 | pair
♦4, ♦3, ♠6, ♠2, ♠2 | pair
♦4, ♦3, ♠6, ♠2, ♦2 | pair
♦4, ♦3, ♠6, ♠2, ♦3 | pair
♦4, ♦3, ♠6, ♠2, ♥6 | pair
♦4, ♦3, ♠6, ♠9, ♦4 | pair
♦4, ♦3, ♠6, ♠9, ♦9 | pair
♦4, ♦3, ♠6, ♠9, ♦3 | pair
♦4, ♦3, ♠6, ♠9, ♥6 | pair
♦4, ♦3, ♠6, ♦4, ♠A | pair
♦4, ♦3, ♠6, ♦4, ♦9 | pair
♦4, ♦3, ♠6, ♦4, ♠2 | pair
♦4, ♦3, ♠6, ♦4, ♦2 | pair
♦4, ♦3, ♠6, ♦4, ♦3 | two pairs
♦4, ♦3, ♠6, ♦4, ♥6 | two pairs
♦4, ♦3, ♠6, ♠A, ♦3 | pair
♦4, ♦3, ♠6, ♠A, ♥6 | pair
♦4, ♦3, ♠6, ♦9, ♦3 | pair
♦4, ♦3, ♠6, ♦9, ♥6 | pair
♦4, ♦3, ♠6, ♠2, ♦2 | pair
♦4, ♦3, ♠6, ♠2, ♦3 | pair
♦4, ♦3, ♠6, ♠2, ♥6 | pair
♦4, ♦3, ♠6, ♦2, ♦3 | pair
♦4, ♦3, ♠6, ♦2, ♥6 | pair
♦4, ♦3, ♠6, ♦3, ♥6 | two pairs
♦4, ♦3, ♠2, ♠9, ♦4 | pair
♦4, ♦3, ♠2, ♠9, ♦9 | pair
♦4, ♦3, ♠2, ♠9, ♠2 | pair
♦4, ♦3, ♠2, ♠9, ♦2 | pair
♦4, ♦3, ♠2, ♠9, ♦3 | pair
♦4, ♦3, ♠2, ♦4, ♠A | pair
♦4, ♦3, ♠2, ♦4, ♦9 | pair
♦4, ♦3, ♠2, ♦4, ♠2 | two pairs
♦4, ♦3, ♠2, ♦4, ♦2 | two pairs
♦4, ♦3, ♠2, ♦4, ♦3 | two pairs
♦4, ♦3, ♠2, ♦4, ♥6 | pair
♦4, ♦3, ♠2, ♠A, ♠2 | pair
♦4, ♦3, ♠2, ♠A, ♦2 | pair
♦4, ♦3, ♠2, ♠A, ♦3 | pair
♦4, ♦3, ♠2, ♦9, ♠2 | pair
♦4, ♦3, ♠2, ♦9, ♦2 | pair
♦4, ♦3, ♠2, ♦9, ♦3 | pair
♦4, ♦3, ♠2, ♠2, ♦2 | three of a kind
♦4, ♦3, ♠2, ♠2, ♦3 | two pairs
♦4, ♦3, ♠2, ♠2, ♥6 | pair
♦4, ♦3, ♠2, ♦2, ♦3 | two pairs
♦4, ♦3, ♠2, ♦2, ♥6 | pair
♦4, ♦3, ♠2, ♦3, ♥6 | pair
♦4, ♦3, ♠9, ♦4, ♠A | pair
♦4, ♦3, ♠9, ♦4, ♦9 | two pairs
♦4, ♦3, ♠9, ♦4, ♠2 | pair
♦4, ♦3, ♠9, ♦4, ♦2 | pair
♦4, ♦3, ♠9, ♦4, ♦3 | two pairs
♦4, ♦3, ♠9, ♦4, ♥6 | pair
♦4, ♦3, ♠9, ♠A, ♦9 | pair
♦4, ♦3, ♠9, ♠A, ♦3 | pair
♦4, ♦3, ♠9, ♦9, ♠2 | pair
♦4, ♦3, ♠9, ♦9, ♦2 | pair
♦4, ♦3, ♠9, ♦9, ♦3 | two pairs
♦4, ♦3, ♠9, ♦9, ♥6 | pair
♦4, ♦3, ♠9, ♠2, ♦2 | pair
♦4, ♦3, ♠9, ♠2, ♦3 | pair
♦4, ♦3, ♠9, ♦2, ♦3 | pair
♦4, ♦3, ♠9, ♦3, ♥6 | pair
♦4, ♦3, ♦4, ♠A, ♦9 | pair
♦4, ♦3, ♦4, ♠A, ♠2 | pair
♦4, ♦3, ♦4, ♠A, ♦2 | pair
♦4, ♦3, ♦4, ♠A, ♦3 | two pairs
♦4, ♦3, ♦4, ♠A, ♥6 | pair
♦4, ♦3, ♦4, ♦9, ♠2 | pair
♦4, ♦3, ♦4, ♦9, ♦2 | flush
♦4, ♦3, ♦4, ♦9, ♦3 | flush
♦4, ♦3, ♦4, ♦9, ♥6 | pair
♦4, ♦3, ♦4, ♠2, ♦2 | two pairs
♦4, ♦3, ♦4, ♠2, ♦3 | two pairs
♦4, ♦3, ♦4, ♠2, ♥6 | pair
♦4, ♦3, ♦4, ♦2, ♦3 | flush
♦4, ♦3, ♦4, ♦2, ♥6 | pair
♦4, ♦3, ♦4, ♦3, ♥6 | two pairs
♦4, ♦3, ♠A, ♦9, ♦3 | pair
♦4, ♦3, ♠A, ♠2, ♦2 | pair
♦4, ♦3, ♠A, ♠2, ♦3 | pair
♦4, ♦3, ♠A, ♦2, ♦3 | pair
♦4, ♦3, ♠A, ♦3, ♥6 | pair
♦4, ♦3, ♦9, ♠2, ♦2 | pair
♦4, ♦3, ♦9, ♠2, ♦3 | pair
♦4, ♦3, ♦9, ♦2, ♦3 | flush
♦4, ♦3, ♦9, ♦3, ♥6 | pair
♦4, ♦3, ♠2, ♦2, ♦3 | two pairs
♦4, ♦3, ♠2, ♦2, ♥6 | pair
♦4, ♦3, ♠2, ♦3, ♥6 | pair
♦4, ♦3, ♦2, ♦3, ♥6 | pair
♦4, ♠6, ♠2, ♠9, ♦4 | pair
♦4, ♠6, ♠2, ♠9, ♦9 | pair
♦4, ♠6, ♠2, ♠9, ♠2 | pair
♦4, ♠6, ♠2, ♠9, ♦2 | pair
♦4, ♠6, ♠2, ♠9, ♥6 | pair
♦4, ♠6, ♠2, ♦4, ♠A | pair
♦4, ♠6, ♠2, ♦4, ♦9 | pair
♦4, ♠6, ♠2, ♦4, ♠2 | two pairs
♦4, ♠6, ♠2, ♦4, ♦2 | two pairs
♦4, ♠6, ♠2, ♦4, ♦3 | pair
♦4, ♠6, ♠2, ♦4, ♥6 | two pairs
♦4, ♠6, ♠2, ♠A, ♠2 | pair
♦4, ♠6, ♠2, ♠A, ♦2 | pair
♦4, ♠6, ♠2, ♠A, ♥6 | pair
♦4, ♠6, ♠2, ♦9, ♠2 | pair
♦4, ♠6, ♠2, ♦9, ♦2 | pair
♦4, ♠6, ♠2, ♦9, ♥6 | pair
♦4, ♠6, ♠2, ♠2, ♦2 | three of a kind
♦4, ♠6, ♠2, ♠2, ♦3 | pair
♦4, ♠6, ♠2, ♠2, ♥6 | two pairs
♦4, ♠6, ♠2, ♦2, ♦3 | pair
♦4, ♠6, ♠2, ♦2, ♥6 | two pairs
♦4, ♠6, ♠2, ♦3, ♥6 | pair
♦4, ♠6, ♠9, ♦4, ♠A | pair
♦4, ♠6, ♠9, ♦4, ♦9 | two pairs
♦4, ♠6, ♠9, ♦4, ♠2 | pair
♦4, ♠6, ♠9, ♦4, ♦2 | pair
♦4, ♠6, ♠9, ♦4, ♦3 | pair
♦4, ♠6, ♠9, ♦4, ♥6 | two pairs
♦4, ♠6, ♠9, ♠A, ♦9 | pair
♦4, ♠6, ♠9, ♠A, ♥6 | pair
♦4, ♠6, ♠9, ♦9, ♠2 | pair
♦4, ♠6, ♠9, ♦9, ♦2 | pair
♦4, ♠6, ♠9, ♦9, ♦3 | pair
♦4, ♠6, ♠9, ♦9, ♥6 | two pairs
♦4, ♠6, ♠9, ♠2, ♦2 | pair
♦4, ♠6, ♠9, ♠2, ♥6 | pair
♦4, ♠6, ♠9, ♦2, ♥6 | pair
♦4, ♠6, ♠9, ♦3, ♥6 | pair
♦4, ♠6, ♦4, ♠A, ♦9 | pair
♦4, ♠6, ♦4, ♠A, ♠2 | pair
♦4, ♠6, ♦4, ♠A, ♦2 | pair
♦4, ♠6, ♦4, ♠A, ♦3 | pair
♦4, ♠6, ♦4, ♠A, ♥6 | two pairs
♦4, ♠6, ♦4, ♦9, ♠2 | pair
♦4, ♠6, ♦4, ♦9, ♦2 | pair
♦4, ♠6, ♦4, ♦9, ♦3 | pair
♦4, ♠6, ♦4, ♦9, ♥6 | two pairs
♦4, ♠6, ♦4, ♠2, ♦2 | two pairs
♦4, ♠6, ♦4, ♠2, ♦3 | pair
♦4, ♠6, ♦4, ♠2, ♥6 | two pairs
♦4, ♠6, ♦4, ♦2, ♦3 | pair
♦4, ♠6, ♦4, ♦2, ♥6 | two pairs
♦4, ♠6, ♦4, ♦3, ♥6 | two pairs
♦4, ♠6, ♠A, ♦9, ♥6 | pair
♦4, ♠6, ♠A, ♠2, ♦2 | pair
♦4, ♠6, ♠A, ♠2, ♥6 | pair
♦4, ♠6, ♠A, ♦2, ♥6 | pair
♦4, ♠6, ♠A, ♦3, ♥6 | pair
♦4, ♠6, ♦9, ♠2, ♦2 | pair
♦4, ♠6, ♦9, ♠2, ♥6 | pair
♦4, ♠6, ♦9, ♦2, ♥6 | pair
♦4, ♠6, ♦9, ♦3, ♥6 | pair
♦4, ♠6, ♠2, ♦2, ♦3 | pair
♦4, ♠6, ♠2, ♦2, ♥6 | two pairs
♦4, ♠6, ♠2, ♦3, ♥6 | pair
♦4, ♠6, ♦2, ♦3, ♥6 | pair
♦4, ♠2, ♠9, ♦4, ♠A | pair
♦4, ♠2, ♠9, ♦4, ♦9 | two pairs
♦4, ♠2, ♠9, ♦4, ♠2 | two pairs
♦4, ♠2, ♠9, ♦4, ♦2 | two pairs
♦4, ♠2, ♠9, ♦4, ♦3 | pair
♦4, ♠2, ♠9, ♦4, ♥6 | pair
♦4, ♠2, ♠9, ♠A, ♦9 | pair
♦4, ♠2, ♠9, ♠A, ♠2 | pair
♦4, ♠2, ♠9, ♠A, ♦2 | pair
♦4, ♠2, ♠9, ♦9, ♠2 | two pairs
♦4, ♠2, ♠9, ♦9, ♦2 | two pairs
♦4, ♠2, ♠9, ♦9, ♦3 | pair
♦4, ♠2, ♠9, ♦9, ♥6 | pair
♦4, ♠2, ♠9, ♠2, ♦2 | three of a kind
♦4, ♠2, ♠9, ♠2, ♦3 | pair
♦4, ♠2, ♠9, ♠2, ♥6 | pair
♦4, ♠2, ♠9, ♦2, ♦3 | pair
♦4, ♠2, ♠9, ♦2, ♥6 | pair
♦4, ♠2, ♦4, ♠A, ♦9 | pair
♦4, ♠2, ♦4, ♠A, ♠2 | two pairs
♦4, ♠2, ♦4, ♠A, ♦2 | two pairs
♦4, ♠2, ♦4, ♠A, ♦3 | pair
♦4, ♠2, ♦4, ♠A, ♥6 | pair
♦4, ♠2, ♦4, ♦9, ♠2 | two pairs
♦4, ♠2, ♦4, ♦9, ♦2 | two pairs
♦4, ♠2, ♦4, ♦9, ♦3 | pair
♦4, ♠2, ♦4, ♦9, ♥6 | pair
♦4, ♠2, ♦4, ♠2, ♦2 | fullhouse
♦4, ♠2, ♦4, ♠2, ♦3 | two pairs
♦4, ♠2, ♦4, ♠2, ♥6 | two pairs
♦4, ♠2, ♦4, ♦2, ♦3 | two pairs
♦4, ♠2, ♦4, ♦2, ♥6 | two pairs
♦4, ♠2, ♦4, ♦3, ♥6 | pair
♦4, ♠2, ♠A, ♦9, ♠2 | pair
♦4, ♠2, ♠A, ♦9, ♦2 | pair
♦4, ♠2, ♠A, ♠2, ♦2 | three of a kind
♦4, ♠2, ♠A, ♠2, ♦3 | pair
♦4, ♠2, ♠A, ♠2, ♥6 | pair
♦4, ♠2, ♠A, ♦2, ♦3 | pair
♦4, ♠2, ♠A, ♦2, ♥6 | pair
♦4, ♠2, ♦9, ♠2, ♦2 | three of a kind
♦4, ♠2, ♦9, ♠2, ♦3 | pair
♦4, ♠2, ♦9, ♠2, ♥6 | pair
♦4, ♠2, ♦9, ♦2, ♦3 | pair
♦4, ♠2, ♦9, ♦2, ♥6 | pair
♦4, ♠2, ♠2, ♦2, ♦3 | three of a kind
♦4, ♠2, ♠2, ♦2, ♥6 | three of a kind
♦4, ♠2, ♠2, ♦3, ♥6 | pair
♦4, ♠2, ♦2, ♦3, ♥6 | pair
♦4, ♠9, ♦4, ♠A, ♦9 | two pairs
♦4, ♠9, ♦4, ♠A, ♠2 | pair
♦4, ♠9, ♦4, ♠A, ♦2 | pair
♦4, ♠9, ♦4, ♠A, ♦3 | pair
♦4, ♠9, ♦4, ♠A, ♥6 | pair
♦4, ♠9, ♦4, ♦9, ♠2 | two pairs
♦4, ♠9, ♦4, ♦9, ♦2 | two pairs
♦4, ♠9, ♦4, ♦9, ♦3 | two pairs
♦4, ♠9, ♦4, ♦9, ♥6 | two pairs
♦4, ♠9, ♦4, ♠2, ♦2 | two pairs
♦4, ♠9, ♦4, ♠2, ♦3 | pair
♦4, ♠9, ♦4, ♠2, ♥6 | pair
♦4, ♠9, ♦4, ♦2, ♦3 | pair
♦4, ♠9, ♦4, ♦2, ♥6 | pair
♦4, ♠9, ♦4, ♦3, ♥6 | pair
♦4, ♠9, ♠A, ♦9, ♠2 | pair
♦4, ♠9, ♠A, ♦9, ♦2 | pair
♦4, ♠9, ♠A, ♦9, ♦3 | pair
♦4, ♠9, ♠A, ♦9, ♥6 | pair
♦4, ♠9, ♠A, ♠2, ♦2 | pair
♦4, ♠9, ♦9, ♠2, ♦2 | two pairs
♦4, ♠9, ♦9, ♠2, ♦3 | pair
♦4, ♠9, ♦9, ♠2, ♥6 | pair
♦4, ♠9, ♦9, ♦2, ♦3 | pair
♦4, ♠9, ♦9, ♦2, ♥6 | pair
♦4, ♠9, ♦9, ♦3, ♥6 | pair
♦4, ♠9, ♠2, ♦2, ♦3 | pair
♦4, ♠9, ♠2, ♦2, ♥6 | pair
♦4, ♦4, ♠A, ♦9, ♠2 | pair
♦4, ♦4, ♠A, ♦9, ♦2 | pair
♦4, ♦4, ♠A, ♦9, ♦3 | pair
♦4, ♦4, ♠A, ♦9, ♥6 | pair
♦4, ♦4, ♠A, ♠2, ♦2 | two pairs
♦4, ♦4, ♠A, ♠2, ♦3 | pair
♦4, ♦4, ♠A, ♠2, ♥6 | pair
♦4, ♦4, ♠A, ♦2, ♦3 | pair
♦4, ♦4, ♠A, ♦2, ♥6 | pair
♦4, ♦4, ♠A, ♦3, ♥6 | pair
♦4, ♦4, ♦9, ♠2, ♦2 | two pairs
♦4, ♦4, ♦9, ♠2, ♦3 | pair
♦4, ♦4, ♦9, ♠2, ♥6 | pair
♦4, ♦4, ♦9, ♦2, ♦3 | flush
♦4, ♦4, ♦9, ♦2, ♥6 | pair
♦4, ♦4, ♦9, ♦3, ♥6 | pair
♦4, ♦4, ♠2, ♦2, ♦3 | two pairs
♦4, ♦4, ♠2, ♦2, ♥6 | two pairs
♦4, ♦4, ♠2, ♦3, ♥6 | pair
♦4, ♦4, ♦2, ♦3, ♥6 | pair
♦4, ♠A, ♦9, ♠2, ♦2 | pair
♦4, ♠A, ♠2, ♦2, ♦3 | pair
♦4, ♠A, ♠2, ♦2, ♥6 | pair
♦4, ♦9, ♠2, ♦2, ♦3 | pair
♦4, ♦9, ♠2, ♦2, ♥6 | pair
♦4, ♠2, ♦2, ♦3, ♥6 | pair
♥A, ♦3, ♠6, ♠2, ♠A | pair
♥A, ♦3, ♠6, ♠2, ♠2 | pair
♥A, ♦3, ♠6, ♠2, ♦2 | pair
♥A, ♦3, ♠6, ♠2, ♦3 | pair
♥A, ♦3, ♠6, ♠2, ♥6 | pair
♥A, ♦3, ♠6, ♠9, ♠A | pair
♥A, ♦3, ♠6, ♠9, ♦9 | pair
♥A, ♦3, ♠6, ♠9, ♦3 | pair
♥A, ♦3, ♠6, ♠9, ♥6 | pair
♥A, ♦3, ♠6, ♦4, ♠A | pair
♥A, ♦3, ♠6, ♦4, ♦3 | pair
♥A, ♦3, ♠6, ♦4, ♥6 | pair
♥A, ♦3, ♠6, ♠A, ♦9 | pair
♥A, ♦3, ♠6, ♠A, ♠2 | pair
♥A, ♦3, ♠6, ♠A, ♦2 | pair
♥A, ♦3, ♠6, ♠A, ♦3 | two pairs
♥A, ♦3, ♠6, ♠A, ♥6 | two pairs
♥A, ♦3, ♠6, ♦9, ♦3 | pair
♥A, ♦3, ♠6, ♦9, ♥6 | pair
♥A, ♦3, ♠6, ♠2, ♦2 | pair
♥A, ♦3, ♠6, ♠2, ♦3 | pair
♥A, ♦3, ♠6, ♠2, ♥6 | pair
♥A, ♦3, ♠6, ♦2, ♦3 | pair
♥A, ♦3, ♠6, ♦2, ♥6 | pair
♥A, ♦3, ♠6, ♦3, ♥6 | two pairs
♥A, ♦3, ♠2, ♠9, ♠A | pair
♥A, ♦3, ♠2, ♠9, ♦9 | pair
♥A, ♦3, ♠2, ♠9, ♠2 | pair
♥A, ♦3, ♠2, ♠9, ♦2 | pair
♥A, ♦3, ♠2, ♠9, ♦3 | pair
♥A, ♦3, ♠2, ♦4, ♠A | pair
♥A, ♦3, ♠2, ♦4, ♠2 | pair
♥A, ♦3, ♠2, ♦4, ♦2 | pair
♥A, ♦3, ♠2, ♦4, ♦3 | pair
♥A, ♦3, ♠2, ♠A, ♦9 | pair
♥A, ♦3, ♠2, ♠A, ♠2 | two pairs
♥A, ♦3, ♠2, ♠A, ♦2 | two pairs
♥A, ♦3, ♠2, ♠A, ♦3 | two pairs
♥A, ♦3, ♠2, ♠A, ♥6 | pair
♥A, ♦3, ♠2, ♦9, ♠2 | pair
♥A, ♦3, ♠2, ♦9, ♦2 | pair
♥A, ♦3, ♠2, ♦9, ♦3 | pair
♥A, ♦3, ♠2, ♠2, ♦2 | three of a kind
♥A, ♦3, ♠2, ♠2, ♦3 | two pairs
♥A, ♦3, ♠2, ♠2, ♥6 | pair
♥A, ♦3, ♠2, ♦2, ♦3 | two pairs
♥A, ♦3, ♠2, ♦2, ♥6 | pair
♥A, ♦3, ♠2, ♦3, ♥6 | pair
♥A, ♦3, ♠9, ♦4, ♠A | pair
♥A, ♦3, ♠9, ♦4, ♦9 | pair
♥A, ♦3, ♠9, ♦4, ♦3 | pair
♥A, ♦3, ♠9, ♠A, ♦9 | two pairs
♥A, ♦3, ♠9, ♠A, ♠2 | pair
♥A, ♦3, ♠9, ♠A, ♦2 | pair
♥A, ♦3, ♠9, ♠A, ♦3 | two pairs
♥A, ♦3, ♠9, ♠A, ♥6 | pair
♥A, ♦3, ♠9, ♦9, ♠2 | pair
♥A, ♦3, ♠9, ♦9, ♦2 | pair
♥A, ♦3, ♠9, ♦9, ♦3 | two pairs
♥A, ♦3, ♠9, ♦9, ♥6 | pair
♥A, ♦3, ♠9, ♠2, ♦2 | pair
♥A, ♦3, ♠9, ♠2, ♦3 | pair
♥A, ♦3, ♠9, ♦2, ♦3 | pair
♥A, ♦3, ♠9, ♦3, ♥6 | pair
♥A, ♦3, ♦4, ♠A, ♦9 | pair
♥A, ♦3, ♦4, ♠A, ♠2 | pair
♥A, ♦3, ♦4, ♠A, ♦2 | pair
♥A, ♦3, ♦4, ♠A, ♦3 | two pairs
♥A, ♦3, ♦4, ♠A, ♥6 | pair
♥A, ♦3, ♦4, ♦9, ♦3 | pair
♥A, ♦3, ♦4, ♠2, ♦2 | pair
♥A, ♦3, ♦4, ♠2, ♦3 | pair
♥A, ♦3, ♦4, ♦2, ♦3 | pair
♥A, ♦3, ♦4, ♦3, ♥6 | pair
♥A, ♦3, ♠A, ♦9, ♠2 | pair
♥A, ♦3, ♠A, ♦9, ♦2 | pair
♥A, ♦3, ♠A, ♦9, ♦3 | two pairs
♥A, ♦3, ♠A, ♦9, ♥6 | pair
♥A, ♦3, ♠A, ♠2, ♦2 | two pairs
♥A, ♦3, ♠A, ♠2, ♦3 | two pairs
♥A, ♦3, ♠A, ♠2, ♥6 | pair
♥A, ♦3, ♠A, ♦2, ♦3 | two pairs
♥A, ♦3, ♠A, ♦2, ♥6 | pair
♥A, ♦3, ♠A, ♦3, ♥6 | two pairs
♥A, ♦3, ♦9, ♠2, ♦2 | pair
♥A, ♦3, ♦9, ♠2, ♦3 | pair
♥A, ♦3, ♦9, ♦2, ♦3 | pair
♥A, ♦3, ♦9, ♦3, ♥6 | pair
♥A, ♦3, ♠2, ♦2, ♦3 | two pairs
♥A, ♦3, ♠2, ♦2, ♥6 | pair
♥A, ♦3, ♠2, ♦3, ♥6 | pair
♥A, ♦3, ♦2, ♦3, ♥6 | pair
♥A, ♠6, ♠2, ♠9, ♠A | pair
♥A, ♠6, ♠2, ♠9, ♦9 | pair
♥A, ♠6, ♠2, ♠9, ♠2 | pair
♥A, ♠6, ♠2, ♠9, ♦2 | pair
♥A, ♠6, ♠2, ♠9, ♥6 | pair
♥A, ♠6, ♠2, ♦4, ♠A | pair
♥A, ♠6, ♠2, ♦4, ♠2 | pair
♥A, ♠6, ♠2, ♦4, ♦2 | pair
♥A, ♠6, ♠2, ♦4, ♥6 | pair
♥A, ♠6, ♠2, ♠A, ♦9 | pair
♥A, ♠6, ♠2, ♠A, ♠2 | two pairs
♥A, ♠6, ♠2, ♠A, ♦2 | two pairs
♥A, ♠6, ♠2, ♠A, ♦3 | pair
♥A, ♠6, ♠2, ♠A, ♥6 | two pairs
♥A, ♠6, ♠2, ♦9, ♠2 | pair
♥A, ♠6, ♠2, ♦9, ♦2 | pair
♥A, ♠6, ♠2, ♦9, ♥6 | pair
♥A, ♠6, ♠2, ♠2, ♦2 | three of a kind
♥A, ♠6, ♠2, ♠2, ♦3 | pair
♥A, ♠6, ♠2, ♠2, ♥6 | two pairs
♥A, ♠6, ♠2, ♦2, ♦3 | pair
♥A, ♠6, ♠2, ♦2, ♥6 | two pairs
♥A, ♠6, ♠2, ♦3, ♥6 | pair
♥A, ♠6, ♠9, ♦4, ♠A | pair
♥A, ♠6, ♠9, ♦4, ♦9 | pair
♥A, ♠6, ♠9, ♦4, ♥6 | pair
♥A, ♠6, ♠9, ♠A, ♦9 | two pairs
♥A, ♠6, ♠9, ♠A, ♠2 | pair
♥A, ♠6, ♠9, ♠A, ♦2 | pair
♥A, ♠6, ♠9, ♠A, ♦3 | pair
♥A, ♠6, ♠9, ♠A, ♥6 | two pairs
♥A, ♠6, ♠9, ♦9, ♠2 | pair
♥A, ♠6, ♠9, ♦9, ♦2 | pair
♥A, ♠6, ♠9, ♦9, ♦3 | pair
♥A, ♠6, ♠9, ♦9, ♥6 | two pairs
♥A, ♠6, ♠9, ♠2, ♦2 | pair
♥A, ♠6, ♠9, ♠2, ♥6 | pair
♥A, ♠6, ♠9, ♦2, ♥6 | pair
♥A, ♠6, ♠9, ♦3, ♥6 | pair
♥A, ♠6, ♦4, ♠A, ♦9 | pair
♥A, ♠6, ♦4, ♠A, ♠2 | pair
♥A, ♠6, ♦4, ♠A, ♦2 | pair
♥A, ♠6, ♦4, ♠A, ♦3 | pair
♥A, ♠6, ♦4, ♠A, ♥6 | two pairs
♥A, ♠6, ♦4, ♦9, ♥6 | pair
♥A, ♠6, ♦4, ♠2, ♦2 | pair
♥A, ♠6, ♦4, ♠2, ♥6 | pair
♥A, ♠6, ♦4, ♦2, ♥6 | pair
♥A, ♠6, ♦4, ♦3, ♥6 | pair
♥A, ♠6, ♠A, ♦9, ♠2 | pair
♥A, ♠6, ♠A, ♦9, ♦2 | pair
♥A, ♠6, ♠A, ♦9, ♦3 | pair
♥A, ♠6, ♠A, ♦9, ♥6 | two pairs
♥A, ♠6, ♠A, ♠2, ♦2 | two pairs
♥A, ♠6, ♠A, ♠2, ♦3 | pair
♥A, ♠6, ♠A, ♠2, ♥6 | two pairs
♥A, ♠6, ♠A, ♦2, ♦3 | pair
♥A, ♠6, ♠A, ♦2, ♥6 | two pairs
♥A, ♠6, ♠A, ♦3, ♥6 | two pairs
♥A, ♠6, ♦9, ♠2, ♦2 | pair
♥A, ♠6, ♦9, ♠2, ♥6 | pair
♥A, ♠6, ♦9, ♦2, ♥6 | pair
♥A, ♠6, ♦9, ♦3, ♥6 | pair
♥A, ♠6, ♠2, ♦2, ♦3 | pair
♥A, ♠6, ♠2, ♦2, ♥6 | two pairs
♥A, ♠6, ♠2, ♦3, ♥6 | pair
♥A, ♠6, ♦2, ♦3, ♥6 | pair
♥A, ♠2, ♠9, ♦4, ♠A | pair
♥A, ♠2, ♠9, ♦4, ♦9 | pair
♥A, ♠2, ♠9, ♦4, ♠2 | pair
♥A, ♠2, ♠9, ♦4, ♦2 | pair
♥A, ♠2, ♠9, ♠A, ♦9 | two pairs
♥A, ♠2, ♠9, ♠A, ♠2 | two pairs
♥A, ♠2, ♠9, ♠A, ♦2 | two pairs
♥A, ♠2, ♠9, ♠A, ♦3 | pair
♥A, ♠2, ♠9, ♠A, ♥6 | pair
♥A, ♠2, ♠9, ♦9, ♠2 | two pairs
♥A, ♠2, ♠9, ♦9, ♦2 | two pairs
♥A, ♠2, ♠9, ♦9, ♦3 | pair
♥A, ♠2, ♠9, ♦9, ♥6 | pair
♥A, ♠2, ♠9, ♠2, ♦2 | three of a kind
♥A, ♠2, ♠9, ♠2, ♦3 | pair
♥A, ♠2, ♠9, ♠2, ♥6 | pair
♥A, ♠2, ♠9, ♦2, ♦3 | pair
♥A, ♠2, ♠9, ♦2, ♥6 | pair
♥A, ♠2, ♦4, ♠A, ♦9 | pair
♥A, ♠2, ♦4, ♠A, ♠2 | two pairs
♥A, ♠2, ♦4, ♠A, ♦2 | two pairs
♥A, ♠2, ♦4, ♠A, ♦3 | pair
♥A, ♠2, ♦4, ♠A, ♥6 | pair
♥A, ♠2, ♦4, ♦9, ♠2 | pair
♥A, ♠2, ♦4, ♦9, ♦2 | pair
♥A, ♠2, ♦4, ♠2, ♦2 | three of a kind
♥A, ♠2, ♦4, ♠2, ♦3 | pair
♥A, ♠2, ♦4, ♠2, ♥6 | pair
♥A, ♠2, ♦4, ♦2, ♦3 | pair
♥A, ♠2, ♦4, ♦2, ♥6 | pair
♥A, ♠2, ♠A, ♦9, ♠2 | two pairs
♥A, ♠2, ♠A, ♦9, ♦2 | two pairs
♥A, ♠2, ♠A, ♦9, ♦3 | pair
♥A, ♠2, ♠A, ♦9, ♥6 | pair
♥A, ♠2, ♠A, ♠2, ♦2 | fullhouse
♥A, ♠2, ♠A, ♠2, ♦3 | two pairs
♥A, ♠2, ♠A, ♠2, ♥6 | two pairs
♥A, ♠2, ♠A, ♦2, ♦3 | two pairs
♥A, ♠2, ♠A, ♦2, ♥6 | two pairs
♥A, ♠2, ♠A, ♦3, ♥6 | pair
♥A, ♠2, ♦9, ♠2, ♦2 | three of a kind
♥A, ♠2, ♦9, ♠2, ♦3 | pair
♥A, ♠2, ♦9, ♠2, ♥6 | pair
♥A, ♠2, ♦9, ♦2, ♦3 | pair
♥A, ♠2, ♦9, ♦2, ♥6 | pair
♥A, ♠2, ♠2, ♦2, ♦3 | three of a kind
♥A, ♠2, ♠2, ♦2, ♥6 | three of a kind
♥A, ♠2, ♠2, ♦3, ♥6 | pair
