♦Q, ♥6, ♥3, ♦4, ♦3 | pair
♦Q, ♣9, ♠K, ♥7, ♣7 | pair
♦Q, ♣9, ♦7, ♥7, ♣2 | pair
♦Q, ♣9, ♦7, ♥7, ♦6 | pair
♦Q, ♣9, ♦7, ♥7, ♣8 | pair
♦Q, ♣9, ♦7, ♥7, ♣7 | three of a kind
♦Q, ♣9, ♦7, ♣2, ♣7 | pair
♦Q, ♣9, ♦7, ♦6, ♣7 | pair
♦Q, ♣9, ♦7, ♣8, ♣7 | pair
♦Q, ♣9, ♥7, ♣2, ♣7 | pair
♦Q, ♣9, ♥7, ♦6, ♣7 | pair
♦Q, ♣9, ♥7, ♣8, ♣7 | pair
♦Q, ♦3, ♥6, ♠3, ♠K | pair
♦Q, ♦3, ♥6, ♠3, ♦7 | pair
♦Q, ♦3, ♥6, ♠3, ♥7 | pair
♦Q, ♦3, ♥6, ♠3, ♣2 | pair
♦Q, ♦3, ♥6, ♠3, ♦6 | two pairs
♦Q, ♦3, ♥6, ♠3, ♣8 | pair
♦Q, ♦3, ♥6, ♠3, ♣7 | pair
♦Q, ♦3, ♥6, ♠K, ♦6 | pair
♦Q, ♦3, ♥6, ♦7, ♥7 | pair
♦Q, ♦3, ♥6, ♦7, ♦6 | pair
♦Q, ♦3, ♥6, ♦7, ♣7 | pair
♦Q, ♦3, ♥6, ♥7, ♦6 | pair
♦Q, ♦3, ♥6, ♥7, ♣7 | pair
♦Q, ♦3, ♥6, ♣2, ♦6 | pair
♦Q, ♦3, ♥6, ♦6, ♣8 | pair
♦Q, ♦3, ♥6, ♦6, ♣7 | pair
♦Q, ♦3, ♠3, ♠K, ♦7 | pair
♦Q, ♦3, ♠3, ♠K, ♥7 | pair
♦Q, ♦3, ♠3, ♠K, ♣2 | pair
♦Q, ♦3, ♠3, ♠K, ♦6 | pair
♦Q, ♦3, ♠3, ♠K, ♣8 | pair
♦Q, ♦3, ♠3, ♠K, ♣7 | pair
♦Q, ♦3, ♠3, ♦7, ♥7 | two pairs
♦Q, ♦3, ♠3, ♦7, ♣2 | pair
♦Q, ♦3, ♠3, ♦7, ♦6 | pair
♦Q, ♦3, ♠3, ♦7, ♣8 | pair
♦Q, ♦3, ♠3, ♦7, ♣7 | two pairs
♦Q, ♦3, ♠3, ♥7, ♣2 | pair
♦Q, ♦3, ♠3, ♥7, ♦6 | pair
♦Q, ♦3, ♠3, ♥7, ♣8 | pair
♦Q, ♦3, ♠3, ♥7, ♣7 | two pairs
♦Q, ♦3, ♠3, ♣2, ♦6 | pair
♦Q, ♦3, ♠3, ♣2, ♣8 | pair
♦Q, ♦3, ♠3, ♣2, ♣7 | pair
♦Q, ♦3, ♠3, ♦6, ♣8 | pair
♦Q, ♦3, ♠3, ♦6, ♣7 | pair
♦Q, ♦3, ♠3, ♣8, ♣7 | pair
♦Q, ♦3, ♠K, ♦7, ♥7 | pair
♦Q, ♦3, ♠K, ♦7, ♣7 | pair
♦Q, ♦3, ♠K, ♥7, ♣7 | pair
♦Q, ♦3, ♦7, ♥7, ♣2 | pair
♦Q, ♦3, ♦7, ♥7, ♦6 | pair
♦Q, ♦3, ♦7, ♥7, ♣8 | pair
♦Q, ♦3, ♦7, ♥7, ♣7 | three of a kind
♦Q, ♦3, ♦7, ♣2, ♣7 | pair
♦Q, ♦3, ♦7, ♦6, ♣7 | pair
♦Q, ♦3, ♦7, ♣8, ♣7 | pair
♦Q, ♦3, ♥7, ♣2, ♣7 | pair
♦Q, ♦3, ♥7, ♦6, ♣7 | pair
♦Q, ♦3, ♥7, ♣8, ♣7 | pair
♦Q, ♥6, ♠3, ♠K, ♦6 | pair
♦Q, ♥6, ♠3, ♦7, ♥7 | pair
♦Q, ♥6, ♠3, ♦7, ♦6 | pair
♦Q, ♥6, ♠3, ♦7, ♣7 | pair
♦Q, ♥6, ♠3, ♥7, ♦6 | pair
♦Q, ♥6, ♠3, ♥7, ♣7 | pair
♦Q, ♥6, ♠3, ♣2, ♦6 | pair
♦Q, ♥6, ♠3, ♦6, ♣8 | pair
♦Q, ♥6, ♠3, ♦6, ♣7 | pair
♦Q, ♥6, ♠K, ♦7, ♥7 | pair
♦Q, ♥6, ♠K, ♦7, ♦6 | pair
♦Q, ♥6, ♠K, ♦7, ♣7 | pair
♦Q, ♥6, ♠K, ♥7, ♦6 | pair
♦Q, ♥6, ♠K, ♥7, ♣7 | pair
♦Q, ♥6, ♠K, ♣2, ♦6 | pair
♦Q, ♥6, ♠K, ♦6, ♣8 | pair
♦Q, ♥6, ♠K, ♦6, ♣7 | pair
♦Q, ♥6, ♦7, ♥7, ♣2 | pair
♦Q, ♥6, ♦7, ♥7, ♦6 | two pairs
♦Q, ♥6, ♦7, ♥7, ♣8 | pair
♦Q, ♥6, ♦7, ♥7, ♣7 | three of a kind
♦Q, ♥6, ♦7, ♣2, ♦6 | pair
♦Q, ♥6, ♦7, ♣2, ♣7 | pair
♦Q, ♥6, ♦7, ♦6, ♣8 | pair
♦Q, ♥6, ♦7, ♦6, ♣7 | two pairs
♦Q, ♥6, ♦7, ♣8, ♣7 | pair
♦Q, ♥6, ♥7, ♣2, ♦6 | pair
♦Q, ♥6, ♥7, ♣2, ♣7 | pair
♦Q, ♥6, ♥7, ♦6, ♣8 | pair
♦Q, ♥6, ♥7, ♦6, ♣7 | two pairs
♦Q, ♥6, ♥7, ♣8, ♣7 | pair
♦Q, ♥6, ♣2, ♦6, ♣8 | pair
♦Q, ♥6, ♣2, ♦6, ♣7 | pair
♦Q, ♥6, ♦6, ♣8, ♣7 | pair
♦Q, ♠3, ♠K, ♦7, ♥7 | pair
♦Q, ♠3, ♠K, ♦7, ♣7 | pair
♦Q, ♠3, ♠K, ♥7, ♣7 | pair
♦Q, ♠3, ♦7, ♥7, ♣2 | pair
♦Q, ♠3, ♦7, ♥7, ♦6 | pair
♦Q, ♠3, ♦7, ♥7, ♣8 | pair
♦Q, ♠3, ♦7, ♥7, ♣7 | three of a kind
♦Q, ♠3, ♦7, ♣2, ♣7 | pair
♦Q, ♠3, ♦7, ♦6, ♣7 | pair
♦Q, ♠3, ♦7, ♣8, ♣7 | pair
♦Q, ♠3, ♥7, ♣2, ♣7 | pair
♦Q, ♠3, ♥7, ♦6, ♣7 | pair
♦Q, ♠3, ♥7, ♣8, ♣7 | pair
♦Q, ♠K, ♦7, ♥7, ♣2 | pair
♦Q, ♠K, ♦7, ♥7, ♦6 | pair
♦Q, ♠K, ♦7, ♥7, ♣8 | pair
♦Q, ♠K, ♦7, ♥7, ♣7 | three of a kind
♦Q, ♠K, ♦7, ♣2, ♣7 | pair
♦Q, ♠K, ♦7, ♦6, ♣7 | pair
♦Q, ♠K, ♦7, ♣8, ♣7 | pair
♦Q, ♠K, ♥7, ♣2, ♣7 | pair
♦Q, ♠K, ♥7, ♦6, ♣7 | pair
♦Q, ♠K, ♥7, ♣8, ♣7 | pair
♦Q, ♦7, ♥7, ♣2, ♦6 | pair
♦Q, ♦7, ♥7, ♣2, ♣8 | pair
♦Q, ♦7, ♥7, ♣2, ♣7 | three of a kind
♦Q, ♦7, ♥7, ♦6, ♣8 | pair
♦Q, ♦7, ♥7, ♦6, ♣7 | three of a kind
♦Q, ♦7, ♥7, ♣8, ♣7 | three of a kind
♦Q, ♦7, ♣2, ♦6, ♣7 | pair
♦Q, ♦7, ♣2, ♣8, ♣7 | pair
♦Q, ♦7, ♦6, ♣8, ♣7 | pair
♦Q, ♥7, ♣2, ♦6, ♣7 | pair
♦Q, ♥7, ♣2, ♣8, ♣7 | pair
♦Q, ♥7, ♦6, ♣8, ♣7 | pair
♥6, ♥3, ♦4, ♦A, ♦3 | pair
♥6, ♥3, ♦4, ♦A, ♥6 | pair
♥6, ♥3, ♦4, ♦A, ♠3 | pair
♥6, ♥3, ♦4, ♦A, ♦6 | pair
♥6, ♥3, ♦4, ♣9, ♦3 | pair
♥6, ♥3, ♦4, ♣9, ♥6 | pair
♥6, ♥3, ♦4, ♣9, ♠3 | pair
♥6, ♥3, ♦4, ♣9, ♦6 | pair
♥6, ♥3, ♦4, ♦3, ♥6 | two pairs
♥6, ♥3, ♦4, ♦3, ♠3 | three of a kind
♥6, ♥3, ♦4, ♦3, ♠K | pair
♥6, ♥3, ♦4, ♦3, ♦7 | pair
♥6, ♥3, ♦4, ♦3, ♥7 | pair
♥6, ♥3, ♦4, ♦3, ♣2 | pair
♥6, ♥3, ♦4, ♦3, ♦6 | two pairs
♥6, ♥3, ♦4, ♦3, ♣8 | pair
♥6, ♥3, ♦4, ♦3, ♣7 | pair
♥6, ♥3, ♦4, ♥6, ♠3 | two pairs
♥6, ♥3, ♦4, ♥6, ♠K | pair
♥6, ♥3, ♦4, ♥6, ♦7 | pair
♥6, ♥3, ♦4, ♥6, ♥7 | pair
♥6, ♥3, ♦4, ♥6, ♣2 | pair
♥6, ♥3, ♦4, ♥6, ♦6 | three of a kind
♥6, ♥3, ♦4, ♥6, ♣8 | pair
♥6, ♥3, ♦4, ♥6, ♣7 | pair
♥6, ♥3, ♦4, ♠3, ♠K | pair
♥6, ♥3, ♦4, ♠3, ♦7 | pair
♥6, ♥3, ♦4, ♠3, ♥7 | pair
♥6, ♥3, ♦4, ♠3, ♣2 | pair
♥6, ♥3, ♦4, ♠3, ♦6 | two pairs
♥6, ♥3, ♦4, ♠3, ♣8 | pair
♥6, ♥3, ♦4, ♠3, ♣7 | pair
♥6, ♥3, ♦4, ♠K, ♦6 | pair
♥6, ♥3, ♦4, ♦7, ♥7 | pair
♥6, ♥3, ♦4, ♦7, ♦6 | pair
♥6, ♥3, ♦4, ♦7, ♣7 | pair
♥6, ♥3, ♦4, ♥7, ♦6 | pair
♥6, ♥3, ♦4, ♥7, ♣7 | pair
♥6, ♥3, ♦4, ♣2, ♦6 | pair
♥6, ♥3, ♦4, ♦6, ♣8 | pair
♥6, ♥3, ♦4, ♦6, ♣7 | pair
♥6, ♥3, ♦A, ♣9, ♦3 | pair
♥6, ♥3, ♦A, ♣9, ♥6 | pair
♥6, ♥3, ♦A, ♣9, ♠3 | pair
♥6, ♥3, ♦A, ♣9, ♦6 | pair
♥6, ♥3, ♦A, ♦3, ♥6 | two pairs
♥6, ♥3, ♦A, ♦3, ♠3 | three of a kind
♥6, ♥3, ♦A, ♦3, ♠K | pair
♥6, ♥3, ♦A, ♦3, ♦7 | pair
♥6, ♥3, ♦A, ♦3, ♥7 | pair
♥6, ♥3, ♦A, ♦3, ♣2 | pair
♥6, ♥3, ♦A, ♦3, ♦6 | two pairs
♥6, ♥3, ♦A, ♦3, ♣8 | pair
♥6, ♥3, ♦A, ♦3, ♣7 | pair
♥6, ♥3, ♦A, ♥6, ♠3 | two pairs
♥6, ♥3, ♦A, ♥6, ♠K | pair
♥6, ♥3, ♦A, ♥6, ♦7 | pair
♥6, ♥3, ♦A, ♥6, ♥7 | pair
♥6, ♥3, ♦A, ♥6, ♣2 | pair
♥6, ♥3, ♦A, ♥6, ♦6 | three of a kind
♥6, ♥3, ♦A, ♥6, ♣8 | pair
♥6, ♥3, ♦A, ♥6, ♣7 | pair
♥6, ♥3, ♦A, ♠3, ♠K | pair
♥6, ♥3, ♦A, ♠3, ♦7 | pair
♥6, ♥3, ♦A, ♠3, ♥7 | pair
♥6, ♥3, ♦A, ♠3, ♣2 | pair
♥6, ♥3, ♦A, ♠3, ♦6 | two pairs
♥6, ♥3, ♦A, ♠3, ♣8 | pair
♥6, ♥3, ♦A, ♠3, ♣7 | pair
♥6, ♥3, ♦A, ♠K, ♦6 | pair
♥6, ♥3, ♦A, ♦7, ♥7 | pair
♥6, ♥3, ♦A, ♦7, ♦6 | pair
♥6, ♥3, ♦A, ♦7, ♣7 | pair
♥6, ♥3, ♦A, ♥7, ♦6 | pair
♥6, ♥3, ♦A, ♥7, ♣7 | pair
♥6, ♥3, ♦A, ♣2, ♦6 | pair
♥6, ♥3, ♦A, ♦6, ♣8 | pair
♥6, ♥3, ♦A, ♦6, ♣7 | pair
♥6, ♥3, ♣9, ♦3, ♥6 | two pairs
♥6, ♥3, ♣9, ♦3, ♠3 | three of a kind
♥6, ♥3, ♣9, ♦3, ♠K | pair
♥6, ♥3, ♣9, ♦3, ♦7 | pair
♥6, ♥3, ♣9, ♦3, ♥7 | pair
♥6, ♥3, ♣9, ♦3, ♣2 | pair
♥6, ♥3, ♣9, ♦3, ♦6 | two pairs
♥6, ♥3, ♣9, ♦3, ♣8 | pair
♥6, ♥3, ♣9, ♦3, ♣7 | pair
♥6, ♥3, ♣9, ♥6, ♠3 | two pairs
♥6, ♥3, ♣9, ♥6, ♠K | pair
♥6, ♥3, ♣9, ♥6, ♦7 | pair
♥6, ♥3, ♣9, ♥6, ♥7 | pair
♥6, ♥3, ♣9, ♥6, ♣2 | pair
♥6, ♥3, ♣9, ♥6, ♦6 | three of a kind
♥6, ♥3, ♣9, ♥6, ♣8 | pair
♥6, ♥3, ♣9, ♥6, ♣7 | pair
♥6, ♥3, ♣9, ♠3, ♠K | pair
♥6, ♥3, ♣9, ♠3, ♦7 | pair
♥6, ♥3, ♣9, ♠3, ♥7 | pair
♥6, ♥3, ♣9, ♠3, ♣2 | pair
♥6, ♥3, ♣9, ♠3, ♦6 | two pairs
♥6, ♥3, ♣9, ♠3, ♣8 | pair
♥6, ♥3, ♣9, ♠3, ♣7 | pair
♥6, ♥3, ♣9, ♠K, ♦6 | pair
♥6, ♥3, ♣9, ♦7, ♥7 | pair
♥6, ♥3, ♣9, ♦7, ♦6 | pair
♥6, ♥3, ♣9, ♦7, ♣7 | pair
♥6, ♥3, ♣9, ♥7, ♦6 | pair
♥6, ♥3, ♣9, ♥7, ♣7 | pair
♥6, ♥3, ♣9, ♣2, ♦6 | pair
♥6, ♥3, ♣9, ♦6, ♣8 | pair
♥6, ♥3, ♣9, ♦6, ♣7 | pair
♥6, ♥3, ♦3, ♥6, ♠3 | fullhouse
♥6, ♥3, ♦3, ♥6, ♠K | two pairs
♥6, ♥3, ♦3, ♥6, ♦7 | two pairs
♥6, ♥3, ♦3, ♥6, ♥7 | two pairs
♥6, ♥3, ♦3, ♥6, ♣2 | two pairs
♥6, ♥3, ♦3, ♥6, ♦6 | fullhouse
♥6, ♥3, ♦3, ♥6, ♣8 | two pairs
♥6, ♥3, ♦3, ♥6, ♣7 | two pairs
♥6, ♥3, ♦3, ♠3, ♠K | three of a kind
♥6, ♥3, ♦3, ♠3, ♦7 | three of a kind
♥6, ♥3, ♦3, ♠3, ♥7 | three of a kind
♥6, ♥3, ♦3, ♠3, ♣2 | three of a kind
♥6, ♥3, ♦3, ♠3, ♦6 | fullhouse
♥6, ♥3, ♦3, ♠3, ♣8 | three of a kind
♥6, ♥3, ♦3, ♠3, ♣7 | three of a kind
♥6, ♥3, ♦3, ♠K, ♦7 | pair
♥6, ♥3, ♦3, ♠K, ♥7 | pair
♥6, ♥3, ♦3, ♠K, ♣2 | pair
♥6, ♥3, ♦3, ♠K, ♦6 | two pairs
♥6, ♥3, ♦3, ♠K, ♣8 | pair
♥6, ♥3, ♦3, ♠K, ♣7 | pair
♥6, ♥3, ♦3, ♦7, ♥7 | two pairs
♥6, ♥3, ♦3, ♦7, ♣2 | pair
♥6, ♥3, ♦3, ♦7, ♦6 | two pairs
♥6, ♥3, ♦3, ♦7, ♣8 | pair
♥6, ♥3, ♦3, ♦7, ♣7 | two pairs
♥6, ♥3, ♦3, ♥7, ♣2 | pair
♥6, ♥3, ♦3, ♥7, ♦6 | two pairs
♥6, ♥3, ♦3, ♥7, ♣8 | pair
♥6, ♥3, ♦3, ♥7, ♣7 | two pairs
♥6, ♥3, ♦3, ♣2, ♦6 | two pairs
♥6, ♥3, ♦3, ♣2, ♣8 | pair
♥6, ♥3, ♦3, ♣2, ♣7 | pair
♥6, ♥3, ♦3, ♦6, ♣8 | two pairs
♥6, ♥3, ♦3, ♦6, ♣7 | two pairs
♥6, ♥3, ♦3, ♣8, ♣7 | pair
♥6, ♥3, ♥6, ♠3, ♠K | two pairs
♥6, ♥3, ♥6, ♠3, ♦7 | two pairs
♥6, ♥3, ♥6, ♠3, ♥7 | two pairs
♥6, ♥3, ♥6, ♠3, ♣2 | two pairs
♥6, ♥3, ♥6, ♠3, ♦6 | fullhouse
♥6, ♥3, ♥6, ♠3, ♣8 | two pairs
♥6, ♥3, ♥6, ♠3, ♣7 | two pairs
♥6, ♥3, ♥6, ♠K, ♦7 | pair
♥6, ♥3, ♥6, ♠K, ♥7 | pair
♥6, ♥3, ♥6, ♠K, ♣2 | pair
♥6, ♥3, ♥6, ♠K, ♦6 | three of a kind
♥6, ♥3, ♥6, ♠K, ♣8 | pair
♥6, ♥3, ♥6, ♠K, ♣7 | pair
♥6, ♥3, ♥6, ♦7, ♥7 | two pairs
♥6, ♥3, ♥6, ♦7, ♣2 | pair
♥6, ♥3, ♥6, ♦7, ♦6 | three of a kind
♥6, ♥3, ♥6, ♦7, ♣8 | pair
♥6, ♥3, ♥6, ♦7, ♣7 | two pairs
♥6, ♥3, ♥6, ♥7, ♣2 | pair
♥6, ♥3, ♥6, ♥7, ♦6 | three of a kind
♥6, ♥3, ♥6, ♥7, ♣8 | pair
♥6, ♥3, ♥6, ♥7, ♣7 | two pairs
♥6, ♥3, ♥6, ♣2, ♦6 | three of a kind
♥6, ♥3, ♥6, ♣2, ♣8 | pair
♥6, ♥3, ♥6, ♣2, ♣7 | pair
♥6, ♥3, ♥6, ♦6, ♣8 | three of a kind
♥6, ♥3, ♥6, ♦6, ♣7 | three of a kind
♥6, ♥3, ♥6, ♣8, ♣7 | pair
♥6, ♥3, ♠3, ♠K, ♦7 | pair
♥6, ♥3, ♠3, ♠K, ♥7 | pair
♥6, ♥3, ♠3, ♠K, ♣2 | pair
♥6, ♥3, ♠3, ♠K, ♦6 | two pairs
♥6, ♥3, ♠3, ♠K, ♣8 | pair
♥6, ♥3, ♠3, ♠K, ♣7 | pair
♥6, ♥3, ♠3, ♦7, ♥7 | two pairs
♥6, ♥3, ♠3, ♦7, ♣2 | pair
♥6, ♥3, ♠3, ♦7, ♦6 | two pairs
♥6, ♥3, ♠3, ♦7, ♣8 | pair
♥6, ♥3, ♠3, ♦7, ♣7 | two pairs
♥6, ♥3, ♠3, ♥7, ♣2 | pair
♥6, ♥3, ♠3, ♥7, ♦6 | two pairs
♥6, ♥3, ♠3, ♥7, ♣8 | pair
♥6, ♥3, ♠3, ♥7, ♣7 | two pairs
♥6, ♥3, ♠3, ♣2, ♦6 | two pairs
♥6, ♥3, ♠3, ♣2, ♣8 | pair
♥6, ♥3, ♠3, ♣2, ♣7 | pair
♥6, ♥3, ♠3, ♦6, ♣8 | two pairs
♥6, ♥3, ♠3, ♦6, ♣7 | two pairs
♥6, ♥3, ♠3, ♣8, ♣7 | pair
♥6, ♥3, ♠K, ♦7, ♥7 | pair
♥6, ♥3, ♠K, ♦7, ♦6 | pair
♥6, ♥3, ♠K, ♦7, ♣7 | pair
♥6, ♥3, ♠K, ♥7, ♦6 | pair
♥6, ♥3, ♠K, ♥7, ♣7 | pair
♥6, ♥3, ♠K, ♣2, ♦6 | pair
♥6, ♥3, ♠K, ♦6, ♣8 | pair
♥6, ♥3, ♠K, ♦6, ♣7 | pair
♥6, ♥3, ♦7, ♥7, ♣2 | pair
♥6, ♥3, ♦7, ♥7, ♦6 | two pairs
♥6, ♥3, ♦7, ♥7, ♣8 | pair
♥6, ♥3, ♦7, ♥7, ♣7 | three of a kind
♥6, ♥3, ♦7, ♣2, ♦6 | pair
♥6, ♥3, ♦7, ♣2, ♣7 | pair
♥6, ♥3, ♦7, ♦6, ♣8 | pair
♥6, ♥3, ♦7, ♦6, ♣7 | two pairs
♥6, ♥3, ♦7, ♣8, ♣7 | pair
♥6, ♥3, ♥7, ♣2, ♦6 | pair
♥6, ♥3, ♥7, ♣2, ♣7 | pair
♥6, ♥3, ♥7, ♦6, ♣8 | pair
♥6, ♥3, ♥7, ♦6, ♣7 | two pairs
♥6, ♥3, ♥7, ♣8, ♣7 | pair
♥6, ♥3, ♣2, ♦6, ♣8 | pair
♥6, ♥3, ♣2, ♦6, ♣7 | pair
♥6, ♥3, ♦6, ♣8, ♣7 | pair
♥6, ♦4, ♦A, ♣9, ♥6 | pair
♥6, ♦4, ♦A, ♣9, ♦6 | pair
♥6, ♦4, ♦A, ♦3, ♥6 | pair
♥6, ♦4, ♦A, ♦3, ♠3 | pair
♥6, ♦4, ♦A, ♦3, ♦6 | pair
♥6, ♦4, ♦A, ♥6, ♠3 | pair
♥6, ♦4, ♦A, ♥6, ♠K | pair
♥6, ♦4, ♦A, ♥6, ♦7 | pair
♥6, ♦4, ♦A, ♥6, ♥7 | pair
♥6, ♦4, ♦A, ♥6, ♣2 | pair
♥6, ♦4, ♦A, ♥6, ♦6 | three of a kind
♥6, ♦4, ♦A, ♥6, ♣8 | pair
♥6, ♦4, ♦A, ♥6, ♣7 | pair
♥6, ♦4, ♦A, ♠3, ♦6 | pair
♥6, ♦4, ♦A, ♠K, ♦6 | pair
♥6, ♦4, ♦A, ♦7, ♥7 | pair
♥6, ♦4, ♦A, ♦7, ♦6 | pair
♥6, ♦4, ♦A, ♦7, ♣7 | pair
♥6, ♦4, ♦A, ♥7, ♦6 | pair
♥6, ♦4, ♦A, ♥7, ♣7 | pair
♥6, ♦4, ♦A, ♣2, ♦6 | pair
♥6, ♦4, ♦A, ♦6, ♣8 | pair
♥6, ♦4, ♦A, ♦6, ♣7 | pair
♥6, ♦4, ♣9, ♦3, ♥6 | pair
♥6, ♦4, ♣9, ♦3, ♠3 | pair
♥6, ♦4, ♣9, ♦3, ♦6 | pair
♥6, ♦4, ♣9, ♥6, ♠3 | pair
♥6, ♦4, ♣9, ♥6, ♠K | pair
♥6, ♦4, ♣9, ♥6, ♦7 | pair
♥6, ♦4, ♣9, ♥6, ♥7 | pair
♥6, ♦4, ♣9, ♥6, ♣2 | pair
♥6, ♦4, ♣9, ♥6, ♦6 | three of a kind
♥6, ♦4, ♣9, ♥6, ♣8 | pair
♥6, ♦4, ♣9, ♥6, ♣7 | pair
♥6, ♦4, ♣9, ♠3, ♦6 | pair
♥6, ♦4, ♣9, ♠K, ♦6 | pair
♥6, ♦4, ♣9, ♦7, ♥7 | pair
♥6, ♦4, ♣9, ♦7, ♦6 | pair
♥6, ♦4, ♣9, ♦7, ♣7 | pair
♥6, ♦4, ♣9, ♥7, ♦6 | pair
♥6, ♦4, ♣9, ♥7, ♣7 | pair
♥6, ♦4, ♣9, ♣2, ♦6 | pair
♥6, ♦4, ♣9, ♦6, ♣8 | pair
♥6, ♦4, ♣9, ♦6, ♣7 | pair
♥6, ♦4, ♦3, ♥6, ♠3 | two pairs
♥6, ♦4, ♦3, ♥6, ♠K | pair
♥6, ♦4, ♦3, ♥6, ♦7 | pair
♥6, ♦4, ♦3, ♥6, ♥7 | pair
♥6, ♦4, ♦3, ♥6, ♣2 | pair
♥6, ♦4, ♦3, ♥6, ♦6 | three of a kind
♥6, ♦4, ♦3, ♥6, ♣8 | pair
♥6, ♦4, ♦3, ♥6, ♣7 | pair
♥6, ♦4, ♦3, ♠3, ♠K | pair
♥6, ♦4, ♦3, ♠3, ♦7 | pair
♥6, ♦4, ♦3, ♠3, ♥7 | pair
♥6, ♦4, ♦3, ♠3, ♣2 | pair
♥6, ♦4, ♦3, ♠3, ♦6 | two pairs
♥6, ♦4, ♦3, ♠3, ♣8 | pair
♥6, ♦4, ♦3, ♠3, ♣7 | pair
♥6, ♦4, ♦3, ♠K, ♦6 | pair
♥6, ♦4, ♦3, ♦7, ♥7 | pair
♥6, ♦4, ♦3, ♦7, ♦6 | pair
♥6, ♦4, ♦3, ♦7, ♣7 | pair
♥6, ♦4, ♦3, ♥7, ♦6 | pair
♥6, ♦4, ♦3, ♥7, ♣7 | pair
♥6, ♦4, ♦3, ♣2, ♦6 | pair
♥6, ♦4, ♦3, ♦6, ♣8 | pair
♥6, ♦4, ♦3, ♦6, ♣7 | pair
♥6, ♦4, ♥6, ♠3, ♠K | pair
♥6, ♦4, ♥6, ♠3, ♦7 | pair
♥6, ♦4, ♥6, ♠3, ♥7 | pair
♥6, ♦4, ♥6, ♠3, ♣2 | pair
♥6, ♦4, ♥6, ♠3, ♦6 | three of a kind
♥6, ♦4, ♥6, ♠3, ♣8 | pair
♥6, ♦4, ♥6, ♠3, ♣7 | pair
♥6, ♦4, ♥6, ♠K, ♦7 | pair
♥6, ♦4, ♥6, ♠K, ♥7 | pair
♥6, ♦4, ♥6, ♠K, ♣2 | pair
♥6, ♦4, ♥6, ♠K, ♦6 | three of a kind
♥6, ♦4, ♥6, ♠K, ♣8 | pair
♥6, ♦4, ♥6, ♠K, ♣7 | pair
♥6, ♦4, ♥6, ♦7, ♥7 | two pairs
♥6, ♦4, ♥6, ♦7, ♣2 | pair
♥6, ♦4, ♥6, ♦7, ♦6 | three of a kind
♥6, ♦4, ♥6, ♦7, ♣8 | pair
♥6, ♦4, ♥6, ♦7, ♣7 | two pairs
♥6, ♦4, ♥6, ♥7, ♣2 | pair
♥6, ♦4, ♥6, ♥7, ♦6 | three of a kind
♥6, ♦4, ♥6, ♥7, ♣8 | pair
♥6, ♦4, ♥6, ♥7, ♣7 | two pairs
♥6, ♦4, ♥6, ♣2, ♦6 | three of a kind
♥6, ♦4, ♥6, ♣2, ♣8 | pair
♥6, ♦4, ♥6, ♣2, ♣7 | pair
♥6, ♦4, ♥6, ♦6, ♣8 | three of a kind
♥6, ♦4, ♥6, ♦6, ♣7 | three of a kind
♥6, ♦4, ♥6, ♣8, ♣7 | pair
♥6, ♦4, ♠3, ♠K, ♦6 | pair
♥6, ♦4, ♠3, ♦7, ♥7 | pair
♥6, ♦4, ♠3, ♦7, ♦6 | pair
♥6, ♦4, ♠3, ♦7, ♣7 | pair
♥6, ♦4, ♠3, ♥7, ♦6 | pair
♥6, ♦4, ♠3, ♥7, ♣7 | pair
♥6, ♦4, ♠3, ♣2, ♦6 | pair
♥6, ♦4, ♠3, ♦6, ♣8 | pair
♥6, ♦4, ♠3, ♦6, ♣7 | pair
♥6, ♦4, ♠K, ♦7, ♥7 | pair
♥6, ♦4, ♠K, ♦7, ♦6 | pair
♥6, ♦4, ♠K, ♦7, ♣7 | pair
♥6, ♦4, ♠K, ♥7, ♦6 | pair
♥6, ♦4, ♠K, ♥7, ♣7 | pair
♥6, ♦4, ♠K, ♣2, ♦6 | pair
♥6, ♦4, ♠K, ♦6, ♣8 | pair
♥6, ♦4, ♠K, ♦6, ♣7 | pair
♥6, ♦4, ♦7, ♥7, ♣2 | pair
♥6, ♦4, ♦7, ♥7, ♦6 | two pairs
♥6, ♦4, ♦7, ♥7, ♣8 | pair
♥6, ♦4, ♦7, ♥7, ♣7 | three of a kind
♥6, ♦4, ♦7, ♣2, ♦6 | pair
♥6, ♦4, ♦7, ♣2, ♣7 | pair
♥6, ♦4, ♦7, ♦6, ♣8 | pair
♥6, ♦4, ♦7, ♦6, ♣7 | two pairs
♥6, ♦4, ♦7, ♣8, ♣7 | pair
♥6, ♦4, ♥7, ♣2, ♦6 | pair
♥6, ♦4, ♥7, ♣2, ♣7 | pair
♥6, ♦4, ♥7, ♦6, ♣8 | pair
♥6, ♦4, ♥7, ♦6, ♣7 | two pairs
♥6, ♦4, ♥7, ♣8, ♣7 | pair
♥6, ♦4, ♣2, ♦6, ♣8 | pair
♥6, ♦4, ♣2, ♦6, ♣7 | pair
♥6, ♦4, ♦6, ♣8, ♣7 | pair
♥6, ♦A, ♣9, ♦3, ♥6 | pair
♥6, ♦A, ♣9, ♦3, ♠3 | pair
♥6, ♦A, ♣9, ♦3, ♦6 | pair
♥6, ♦A, ♣9, ♥6, ♠3 | pair
♥6, ♦A, ♣9, ♥6, ♠K | pair
