♠7, ♣10, ♦5, ♥A, ♠10 | pair
♣10, ♦2, ♦2, ♥8, ♦8 | two pairs
♣10, ♦2, ♦2, ♥8, ♥4 | pair
♣10, ♦2, ♦2, ♥A, ♦8 | pair
♣10, ♦2, ♦2, ♥A, ♥4 | pair
♣10, ♦2, ♦2, ♦8, ♥4 | pair
♣10, ♦2, ♣4, ♠10, ♥8 | pair
♣10, ♦2, ♣4, ♠10, ♥A | pair
♣10, ♦2, ♣4, ♠10, ♦8 | pair
♣10, ♦2, ♣4, ♠10, ♥4 | two pairs
♣10, ♦2, ♣4, ♥8, ♦8 | pair
♣10, ♦2, ♣4, ♥8, ♥4 | pair
♣10, ♦2, ♣4, ♥A, ♥4 | pair
♣10, ♦2, ♣4, ♦8, ♥4 | pair
♣10, ♦2, ♠10, ♥8, ♥A | pair
♣10, ♦2, ♠10, ♥8, ♦8 | two pairs
♣10, ♦2, ♠10, ♥8, ♥4 | pair
♣10, ♦2, ♠10, ♥A, ♦8 | pair
♣10, ♦2, ♠10, ♥A, ♥4 | pair
♣10, ♦2, ♠10, ♦8, ♥4 | pair
♣10, ♦2, ♥8, ♥A, ♦8 | pair
♣10, ♦2, ♥8, ♦8, ♥4 | pair
♣10, ♣6, ♦2, ♣4, ♠10 | pair
♣10, ♣6, ♦2, ♣4, ♥4 | pair
♣10, ♣6, ♦2, ♠10, ♥8 | pair
♣10, ♣6, ♦2, ♠10, ♥A | pair
♣10, ♣6, ♦2, ♠10, ♦8 | pair
♣10, ♣6, ♦2, ♠10, ♥4 | pair
♣10, ♣6, ♦2, ♥8, ♦8 | pair
♣10, ♣6, ♣4, ♠10, ♥8 | pair
♣10, ♣6, ♣4, ♠10, ♥A | pair
♣10, ♣6, ♣4, ♠10, ♦8 | pair
♣10, ♣6, ♣4, ♠10, ♥4 | two pairs
♣10, ♣6, ♣4, ♥8, ♦8 | pair
♣10, ♣6, ♣4, ♥8, ♥4 | pair
♣10, ♣6, ♣4, ♥A, ♥4 | pair
♣10, ♣6, ♣4, ♦8, ♥4 | pair
♣10, ♣6, ♠10, ♥8, ♥A | pair
♣10, ♣6, ♠10, ♥8, ♦8 | two pairs
♣10, ♣6, ♠10, ♥8, ♥4 | pair
♣10, ♣6, ♠10, ♥A, ♦8 | pair
♣10, ♣6, ♠10, ♥A, ♥4 | pair
♣10, ♣6, ♠10, ♦8, ♥4 | pair
♣10, ♣6, ♥8, ♥A, ♦8 | pair
♣10, ♣6, ♥8, ♦8, ♥4 | pair
♣10, ♦2, ♣4, ♠10, ♥8 | pair
♣10, ♦2, ♣4, ♠10, ♥A | pair
♣10, ♦2, ♣4, ♠10, ♦8 | pair
♣10, ♦2, ♣4, ♠10, ♥4 | two pairs
♣10, ♦2, ♣4, ♥8, ♦8 | pair
♣10, ♦2, ♣4, ♥8, ♥4 | pair
♣10, ♦2, ♣4, ♥A, ♥4 | pair
♣10, ♦2, ♣4, ♦8, ♥4 | pair
♣10, ♦2, ♠10, ♥8, ♥A | pair
♣10, ♦2, ♠10, ♥8, ♦8 | two pairs
♣10, ♦2, ♠10, ♥8, ♥4 | pair
♣10, ♦2, ♠10, ♥A, ♦8 | pair
♣10, ♦2, ♠10, ♥A, ♥4 | pair
♣10, ♦2, ♠10, ♦8, ♥4 | pair
♣10, ♦2, ♥8, ♥A, ♦8 | pair
♣10, ♦2, ♥8, ♦8, ♥4 | pair
♣10, ♣4, ♠10, ♥8, ♥A | pair
♣10, ♣4, ♠10, ♥8, ♦8 | two pairs
♣10, ♣4, ♠10, ♥8, ♥4 | two pairs
♣10, ♣4, ♠10, ♥A, ♦8 | pair
♣10, ♣4, ♠10, ♥A, ♥4 | two pairs
♣10, ♣4, ♠10, ♦8, ♥4 | two pairs
♣10, ♣4, ♥8, ♥A, ♦8 | pair
♣10, ♣4, ♥8, ♥A, ♥4 | pair
♣10, ♣4, ♥8, ♦8, ♥4 | two pairs
♣10, ♣4, ♥A, ♦8, ♥4 | pair
♣10, ♠10, ♥8, ♥A, ♦8 | two pairs
♣10, ♠10, ♥8, ♥A, ♥4 | pair
♣10, ♠10, ♥8, ♦8, ♥4 | two pairs
♣10, ♠10, ♥A, ♦8, ♥4 | pair
♣10, ♥8, ♥A, ♦8, ♥4 | pair
♦5, ♥A, ♣3, ♦2, ♦2 | pair
♦5, ♥A, ♣3, ♦2, ♣4 | straight
♦5, ♥A, ♣3, ♦2, ♥A | pair
♦5, ♥A, ♣3, ♦2, ♥4 | straight
♦5, ♥A, ♣3, ♣6, ♥A | pair
♦5, ♥A, ♣3, ♦2, ♣4 | straight
♦5, ♥A, ♣3, ♦2, ♥A | pair
♦5, ♥A, ♣3, ♦2, ♥4 | straight
♦5, ♥A, ♣3, ♣4, ♥A | pair
♦5, ♥A, ♣3, ♣4, ♥4 | pair
♦5, ♥A, ♣3, ♠10, ♥A | pair
♦5, ♥A, ♣3, ♥8, ♥A | pair
♦5, ♥A, ♣3, ♥8, ♦8 | pair
♦5, ♥A, ♣3, ♥A, ♦8 | pair
♦5, ♥A, ♣3, ♥A, ♥4 | pair
♦5, ♥A, ♦2, ♣6, ♦2 | pair
♦5, ♥A, ♦2, ♣6, ♥A | pair
♦5, ♥A, ♦2, ♦2, ♣4 | pair
♦5, ♥A, ♦2, ♦2, ♠10 | pair
♦5, ♥A, ♦2, ♦2, ♥8 | pair
♦5, ♥A, ♦2, ♦2, ♥A | two pairs
♦5, ♥A, ♦2, ♦2, ♦8 | pair
♦5, ♥A, ♦2, ♦2, ♥4 | pair
♦5, ♥A, ♦2, ♣4, ♥A | pair
♦5, ♥A, ♦2, ♣4, ♥4 | pair
♦5, ♥A, ♦2, ♠10, ♥A | pair
♦5, ♥A, ♦2, ♥8, ♥A | pair
♦5, ♥A, ♦2, ♥8, ♦8 | pair
♦5, ♥A, ♦2, ♥A, ♦8 | pair
♦5, ♥A, ♦2, ♥A, ♥4 | pair
♦5, ♥A, ♣6, ♦2, ♥A | pair
♦5, ♥A, ♣6, ♣4, ♥A | pair
♦5, ♥A, ♣6, ♣4, ♥4 | pair
♦5, ♥A, ♣6, ♠10, ♥A | pair
♦5, ♥A, ♣6, ♥8, ♥A | pair
♦5, ♥A, ♣6, ♥8, ♦8 | pair
♦5, ♥A, ♣6, ♥A, ♦8 | pair
♦5, ♥A, ♣6, ♥A, ♥4 | pair
♦5, ♥A, ♦2, ♣4, ♥A | pair
♦5, ♥A, ♦2, ♣4, ♥4 | pair
♦5, ♥A, ♦2, ♠10, ♥A | pair
♦5, ♥A, ♦2, ♥8, ♥A | pair
♦5, ♥A, ♦2, ♥8, ♦8 | pair
♦5, ♥A, ♦2, ♥A, ♦8 | pair
♦5, ♥A, ♦2, ♥A, ♥4 | pair
♦5, ♥A, ♣4, ♠10, ♥A | pair
♦5, ♥A, ♣4, ♠10, ♥4 | pair
♦5, ♥A, ♣4, ♥8, ♥A | pair
♦5, ♥A, ♣4, ♥8, ♦8 | pair
♦5, ♥A, ♣4, ♥8, ♥4 | pair
♦5, ♥A, ♣4, ♥A, ♦8 | pair
♦5, ♥A, ♣4, ♥A, ♥4 | two pairs
♦5, ♥A, ♣4, ♦8, ♥4 | pair
♦5, ♥A, ♠10, ♥8, ♥A | pair
♦5, ♥A, ♠10, ♥8, ♦8 | pair
♦5, ♥A, ♠10, ♥A, ♦8 | pair
♦5, ♥A, ♠10, ♥A, ♥4 | pair
♦5, ♥A, ♥8, ♥A, ♦8 | two pairs
♦5, ♥A, ♥8, ♥A, ♥4 | pair
♦5, ♥A, ♥8, ♦8, ♥4 | pair
♦5, ♥A, ♥A, ♦8, ♥4 | pair
♦5, ♣3, ♦2, ♣6, ♦2 | pair
♦5, ♣3, ♦2, ♣6, ♣4 | straight
♦5, ♣3, ♦2, ♣6, ♥4 | straight
♦5, ♣3, ♦2, ♦2, ♣4 | pair
♦5, ♣3, ♦2, ♦2, ♠10 | pair
♦5, ♣3, ♦2, ♦2, ♥8 | pair
♦5, ♣3, ♦2, ♦2, ♥A | pair
♦5, ♣3, ♦2, ♦2, ♦8 | pair
♦5, ♣3, ♦2, ♦2, ♥4 | pair
♦5, ♣3, ♦2, ♣4, ♥A | straight
♦5, ♣3, ♦2, ♣4, ♥4 | pair
♦5, ♣3, ♦2, ♥8, ♦8 | pair
♦5, ♣3, ♦2, ♥A, ♥4 | straight
♦5, ♣3, ♣6, ♦2, ♣4 | straight
♦5, ♣3, ♣6, ♦2, ♥4 | straight
♦5, ♣3, ♣6, ♣4, ♥4 | pair
♦5, ♣3, ♣6, ♥8, ♦8 | pair
♦5, ♣3, ♦2, ♣4, ♥A | straight
♦5, ♣3, ♦2, ♣4, ♥4 | pair
♦5, ♣3, ♦2, ♥8, ♦8 | pair
♦5, ♣3, ♦2, ♥A, ♥4 | straight
♦5, ♣3, ♣4, ♠10, ♥4 | pair
♦5, ♣3, ♣4, ♥8, ♦8 | pair
♦5, ♣3, ♣4, ♥8, ♥4 | pair
♦5, ♣3, ♣4, ♥A, ♥4 | pair
♦5, ♣3, ♣4, ♦8, ♥4 | pair
♦5, ♣3, ♠10, ♥8, ♦8 | pair
♦5, ♣3, ♥8, ♥A, ♦8 | pair
♦5, ♣3, ♥8, ♦8, ♥4 | pair
♦5, ♦2, ♣6, ♦2, ♣4 | pair
♦5, ♦2, ♣6, ♦2, ♠10 | pair
♦5, ♦2, ♣6, ♦2, ♥8 | pair
♦5, ♦2, ♣6, ♦2, ♥A | pair
♦5, ♦2, ♣6, ♦2, ♦8 | pair
♦5, ♦2, ♣6, ♦2, ♥4 | pair
♦5, ♦2, ♣6, ♣4, ♥4 | pair
♦5, ♦2, ♣6, ♥8, ♦8 | pair
♦5, ♦2, ♦2, ♣4, ♠10 | pair
♦5, ♦2, ♦2, ♣4, ♥8 | pair
♦5, ♦2, ♦2, ♣4, ♥A | pair
♦5, ♦2, ♦2, ♣4, ♦8 | pair
♦5, ♦2, ♦2, ♣4, ♥4 | two pairs
♦5, ♦2, ♦2, ♠10, ♥8 | pair
♦5, ♦2, ♦2, ♠10, ♥A | pair
♦5, ♦2, ♦2, ♠10, ♦8 | pair
♦5, ♦2, ♦2, ♠10, ♥4 | pair
♦5, ♦2, ♦2, ♥8, ♥A | pair
♦5, ♦2, ♦2, ♥8, ♦8 | two pairs
♦5, ♦2, ♦2, ♥8, ♥4 | pair
♦5, ♦2, ♦2, ♥A, ♦8 | pair
♦5, ♦2, ♦2, ♥A, ♥4 | pair
♦5, ♦2, ♦2, ♦8, ♥4 | pair
♦5, ♦2, ♣4, ♠10, ♥4 | pair
♦5, ♦2, ♣4, ♥8, ♦8 | pair
♦5, ♦2, ♣4, ♥8, ♥4 | pair
♦5, ♦2, ♣4, ♥A, ♥4 | pair
♦5, ♦2, ♣4, ♦8, ♥4 | pair
♦5, ♦2, ♠10, ♥8, ♦8 | pair
♦5, ♦2, ♥8, ♥A, ♦8 | pair
♦5, ♦2, ♥8, ♦8, ♥4 | pair
♦5, ♣6, ♦2, ♣4, ♥4 | pair
♦5, ♣6, ♦2, ♥8, ♦8 | pair
♦5, ♣6, ♣4, ♠10, ♥4 | pair
♦5, ♣6, ♣4, ♥8, ♦8 | pair
♦5, ♣6, ♣4, ♥8, ♥4 | pair
♦5, ♣6, ♣4, ♥A, ♥4 | pair
♦5, ♣6, ♣4, ♦8, ♥4 | pair
♦5, ♣6, ♠10, ♥8, ♦8 | pair
♦5, ♣6, ♥8, ♥A, ♦8 | pair
♦5, ♣6, ♥8, ♦8, ♥4 | pair
♦5, ♦2, ♣4, ♠10, ♥4 | pair
♦5, ♦2, ♣4, ♥8, ♦8 | pair
♦5, ♦2, ♣4, ♥8, ♥4 | pair
♦5, ♦2, ♣4, ♥A, ♥4 | pair
♦5, ♦2, ♣4, ♦8, ♥4 | pair
♦5, ♦2, ♠10, ♥8, ♦8 | pair
♦5, ♦2, ♥8, ♥A, ♦8 | pair
♦5, ♦2, ♥8, ♦8, ♥4 | pair
♦5, ♣4, ♠10, ♥8, ♦8 | pair
♦5, ♣4, ♠10, ♥8, ♥4 | pair
♦5, ♣4, ♠10, ♥A, ♥4 | pair
♦5, ♣4, ♠10, ♦8, ♥4 | pair
♦5, ♣4, ♥8, ♥A, ♦8 | pair
♦5, ♣4, ♥8, ♥A, ♥4 | pair
♦5, ♣4, ♥8, ♦8, ♥4 | two pairs
♦5, ♣4, ♥A, ♦8, ♥4 | pair
♦5, ♠10, ♥8, ♥A, ♦8 | pair
♦5, ♠10, ♥8, ♦8, ♥4 | pair
♦5, ♥8, ♥A, ♦8, ♥4 | pair
♥A, ♣3, ♦2, ♣6, ♦2 | pair
♥A, ♣3, ♦2, ♣6, ♥A | pair
♥A, ♣3, ♦2, ♦2, ♣4 | pair
♥A, ♣3, ♦2, ♦2, ♠10 | pair
♥A, ♣3, ♦2, ♦2, ♥8 | pair
♥A, ♣3, ♦2, ♦2, ♥A | two pairs
♥A, ♣3, ♦2, ♦2, ♦8 | pair
♥A, ♣3, ♦2, ♦2, ♥4 | pair
♥A, ♣3, ♦2, ♣4, ♥A | pair
♥A, ♣3, ♦2, ♣4, ♥4 | pair
♥A, ♣3, ♦2, ♠10, ♥A | pair
♥A, ♣3, ♦2, ♥8, ♥A | pair
♥A, ♣3, ♦2, ♥8, ♦8 | pair
♥A, ♣3, ♦2, ♥A, ♦8 | pair
♥A, ♣3, ♦2, ♥A, ♥4 | pair
♥A, ♣3, ♣6, ♦2, ♥A | pair
♥A, ♣3, ♣6, ♣4, ♥A | pair
♥A, ♣3, ♣6, ♣4, ♥4 | pair
♥A, ♣3, ♣6, ♠10, ♥A | pair
♥A, ♣3, ♣6, ♥8, ♥A | pair
♥A, ♣3, ♣6, ♥8, ♦8 | pair
♥A, ♣3, ♣6, ♥A, ♦8 | pair
♥A, ♣3, ♣6, ♥A, ♥4 | pair
♥A, ♣3, ♦2, ♣4, ♥A | pair
♥A, ♣3, ♦2, ♣4, ♥4 | pair
♥A, ♣3, ♦2, ♠10, ♥A | pair
♥A, ♣3, ♦2, ♥8, ♥A | pair
♥A, ♣3, ♦2, ♥8, ♦8 | pair
♥A, ♣3, ♦2, ♥A, ♦8 | pair
♥A, ♣3, ♦2, ♥A, ♥4 | pair
♥A, ♣3, ♣4, ♠10, ♥A | pair
♥A, ♣3, ♣4, ♠10, ♥4 | pair
♥A, ♣3, ♣4, ♥8, ♥A | pair
♥A, ♣3, ♣4, ♥8, ♦8 | pair
♥A, ♣3, ♣4, ♥8, ♥4 | pair
♥A, ♣3, ♣4, ♥A, ♦8 | pair
♥A, ♣3, ♣4, ♥A, ♥4 | two pairs
♥A, ♣3, ♣4, ♦8, ♥4 | pair
♥A, ♣3, ♠10, ♥8, ♥A | pair
♥A, ♣3, ♠10, ♥8, ♦8 | pair
♥A, ♣3, ♠10, ♥A, ♦8 | pair
♥A, ♣3, ♠10, ♥A, ♥4 | pair
♥A, ♣3, ♥8, ♥A, ♦8 | two pairs
♥A, ♣3, ♥8, ♥A, ♥4 | pair
♥A, ♣3, ♥8, ♦8, ♥4 | pair
♥A, ♣3, ♥A, ♦8, ♥4 | pair
♥A, ♦2, ♣6, ♦2, ♣4 | pair
♥A, ♦2, ♣6, ♦2, ♠10 | pair
♥A, ♦2, ♣6, ♦2, ♥8 | pair
♥A, ♦2, ♣6, ♦2, ♥A | two pairs
♥A, ♦2, ♣6, ♦2, ♦8 | pair
♥A, ♦2, ♣6, ♦2, ♥4 | pair
♥A, ♦2, ♣6, ♣4, ♥A | pair
♥A, ♦2, ♣6, ♣4, ♥4 | pair
♥A, ♦2, ♣6, ♠10, ♥A | pair
♥A, ♦2, ♣6, ♥8, ♥A | pair
♥A, ♦2, ♣6, ♥8, ♦8 | pair
♥A, ♦2, ♣6, ♥A, ♦8 | pair
♥A, ♦2, ♣6, ♥A, ♥4 | pair
♥A, ♦2, ♦2, ♣4, ♠10 | pair
♥A, ♦2, ♦2, ♣4, ♥8 | pair
♥A, ♦2, ♦2, ♣4, ♥A | two pairs
♥A, ♦2, ♦2, ♣4, ♦8 | pair
♥A, ♦2, ♦2, ♣4, ♥4 | two pairs
♥A, ♦2, ♦2, ♠10, ♥8 | pair
♥A, ♦2, ♦2, ♠10, ♥A | two pairs
♥A, ♦2, ♦2, ♠10, ♦8 | pair
♥A, ♦2, ♦2, ♠10, ♥4 | pair
♥A, ♦2, ♦2, ♥8, ♥A | two pairs
♥A, ♦2, ♦2, ♥8, ♦8 | two pairs
♥A, ♦2, ♦2, ♥8, ♥4 | pair
♥A, ♦2, ♦2, ♥A, ♦8 | two pairs
♥A, ♦2, ♦2, ♥A, ♥4 | two pairs
♥A, ♦2, ♦2, ♦8, ♥4 | pair
♥A, ♦2, ♣4, ♠10, ♥A | pair
♥A, ♦2, ♣4, ♠10, ♥4 | pair
♥A, ♦2, ♣4, ♥8, ♥A | pair
♥A, ♦2, ♣4, ♥8, ♦8 | pair
♥A, ♦2, ♣4, ♥8, ♥4 | pair
♥A, ♦2, ♣4, ♥A, ♦8 | pair
♥A, ♦2, ♣4, ♥A, ♥4 | two pairs
♥A, ♦2, ♣4, ♦8, ♥4 | pair
♥A, ♦2, ♠10, ♥8, ♥A | pair
♥A, ♦2, ♠10, ♥8, ♦8 | pair
♥A, ♦2, ♠10, ♥A, ♦8 | pair
♥A, ♦2, ♠10, ♥A, ♥4 | pair
♥A, ♦2, ♥8, ♥A, ♦8 | two pairs
♥A, ♦2, ♥8, ♥A, ♥4 | pair
♥A, ♦2, ♥8, ♦8, ♥4 | pair
♥A, ♦2, ♥A, ♦8, ♥4 | pair
♥A, ♣6, ♦2, ♣4, ♥A | pair
♥A, ♣6, ♦2, ♣4, ♥4 | pair
♥A, ♣6, ♦2, ♠10, ♥A | pair
♥A, ♣6, ♦2, ♥8, ♥A | pair
♥A, ♣6, ♦2, ♥8, ♦8 | pair
♥A, ♣6, ♦2, ♥A, ♦8 | pair
♥A, ♣6, ♦2, ♥A, ♥4 | pair
♥A, ♣6, ♣4, ♠10, ♥A | pair
♥A, ♣6, ♣4, ♠10, ♥4 | pair
♥A, ♣6, ♣4, ♥8, ♥A | pair
♥A, ♣6, ♣4, ♥8, ♦8 | pair
♥A, ♣6, ♣4, ♥8, ♥4 | pair
♥A, ♣6, ♣4, ♥A, ♦8 | pair
♥A, ♣6, ♣4, ♥A, ♥4 | two pairs
♥A, ♣6, ♣4, ♦8, ♥4 | pair
♥A, ♣6, ♠10, ♥8, ♥A | pair
♥A, ♣6, ♠10, ♥8, ♦8 | pair
♥A, ♣6, ♠10, ♥A, ♦8 | pair
♥A, ♣6, ♠10, ♥A, ♥4 | pair
♥A, ♣6, ♥8, ♥A, ♦8 | two pairs
♥A, ♣6, ♥8, ♥A, ♥4 | pair
♥A, ♣6, ♥8, ♦8, ♥4 | pair
♥A, ♣6, ♥A, ♦8, ♥4 | pair
♥A, ♦2, ♣4, ♠10, ♥A | pair
♥A, ♦2, ♣4, ♠10, ♥4 | pair
♥A, ♦2, ♣4, ♥8, ♥A | pair
♥A, ♦2, ♣4, ♥8, ♦8 | pair
♥A, ♦2, ♣4, ♥8, ♥4 | pair
♥A, ♦2, ♣4, ♥A, ♦8 | pair
♥A, ♦2, ♣4, ♥A, ♥4 | two pairs
♥A, ♦2, ♣4, ♦8, ♥4 | pair
♥A, ♦2, ♠10, ♥8, ♥A | pair
♥A, ♦2, ♠10, ♥8, ♦8 | pair
♥A, ♦2, ♠10, ♥A, ♦8 | pair
♥A, ♦2, ♠10, ♥A, ♥4 | pair
♥A, ♦2, ♥8, ♥A, ♦8 | two pairs
♥A, ♦2, ♥8, ♥A, ♥4 | pair
♥A, ♦2, ♥8, ♦8, ♥4 | pair
♥A, ♦2, ♥A, ♦8, ♥4 | pair
♥A, ♣4, ♠10, ♥8, ♥A | pair
♥A, ♣4, ♠10, ♥8, ♦8 | pair
♥A, ♣4, ♠10, ♥8, ♥4 | pair
♥A, ♣4, ♠10, ♥A, ♦8 | pair
♥A, ♣4, ♠10, ♥A, ♥4 | two pairs
♥A, ♣4, ♠10, ♦8, ♥4 | pair
♥A, ♣4, ♥8, ♥A, ♦8 | two pairs
♥A, ♣4, ♥8, ♥A, ♥4 | two pairs
♥A, ♣4, ♥8, ♦8, ♥4 | two pairs
♥A, ♣4, ♥A, ♦8, ♥4 | two pairs
♥A, ♠10, ♥8, ♥A, ♦8 | two pairs
♥A, ♠10, ♥8, ♥A, ♥4 | pair
♥A, ♠10, ♥8, ♦8, ♥4 | pair
♥A, ♠10, ♥A, ♦8, ♥4 | pair
♥A, ♥8, ♥A, ♦8, ♥4 | two pairs
♣3, ♦2, ♣6, ♦2, ♣4 | pair
♣3, ♦2, ♣6, ♦2, ♠10 | pair
♣3, ♦2, ♣6, ♦2, ♥8 | pair
♣3, ♦2, ♣6, ♦2, ♥A | pair
♣3, ♦2, ♣6, ♦2, ♦8 | pair
♣3, ♦2, ♣6, ♦2, ♥4 | pair
♣3, ♦2, ♣6, ♣4, ♥4 | pair
♣3, ♦2, ♣6, ♥8, ♦8 | pair
♣3, ♦2, ♦2, ♣4, ♠10 | pair
♣3, ♦2, ♦2, ♣4, ♥8 | pair
♣3, ♦2, ♦2, ♣4, ♥A | pair
♣3, ♦2, ♦2, ♣4, ♦8 | pair
♣3, ♦2, ♦2, ♣4, ♥4 | two pairs
♣3, ♦2, ♦2, ♠10, ♥8 | pair
♣3, ♦2, ♦2, ♠10, ♥A | pair
♣3, ♦2, ♦2, ♠10, ♦8 | pair
♣3, ♦2, ♦2, ♠10, ♥4 | pair
♣3, ♦2, ♦2, ♥8, ♥A | pair
♣3, ♦2, ♦2, ♥8, ♦8 | two pairs
♣3, ♦2, ♦2, ♥8, ♥4 | pair
♣3, ♦2, ♦2, ♥A, ♦8 | pair
♣3, ♦2, ♦2, ♥A, ♥4 | pair
♣3, ♦2, ♦2, ♦8, ♥4 | pair
♣3, ♦2, ♣4, ♠10, ♥4 | pair
♣3, ♦2, ♣4, ♥8, ♦8 | pair
♣3, ♦2, ♣4, ♥8, ♥4 | pair
♣3, ♦2, ♣4, ♥A, ♥4 | pair
♣3, ♦2, ♣4, ♦8, ♥4 | pair
♣3, ♦2, ♠10, ♥8, ♦8 | pair
♣3, ♦2, ♥8, ♥A, ♦8 | pair
♣3, ♦2, ♥8, ♦8, ♥4 | pair
♣3, ♣6, ♦2, ♣4, ♥4 | pair
♣3, ♣6, ♦2, ♥8, ♦8 | pair
♣3, ♣6, ♣4, ♠10, ♥4 | pair
♣3, ♣6, ♣4, ♥8, ♦8 | pair
♣3, ♣6, ♣4, ♥8, ♥4 | pair
♣3, ♣6, ♣4, ♥A, ♥4 | pair
♣3, ♣6, ♣4, ♦8, ♥4 | pair
♣3, ♣6, ♠10, ♥8, ♦8 | pair
♣3, ♣6, ♥8, ♥A, ♦8 | pair
♣3, ♣6, ♥8, ♦8, ♥4 | pair
♣3, ♦2, ♣4, ♠10, ♥4 | pair
♣3, ♦2, ♣4, ♥8, ♦8 | pair
♣3, ♦2, ♣4, ♥8, ♥4 | pair
♣3, ♦2, ♣4, ♥A, ♥4 | pair
♣3, ♦2, ♣4, ♦8, ♥4 | pair
♣3, ♦2, ♠10, ♥8, ♦8 | pair
♣3, ♦2, ♥8, ♥A, ♦8 | pair
♣3, ♦2, ♥8, ♦8, ♥4 | pair
♣3, ♣4, ♠10, ♥8, ♦8 | pair
♣3, ♣4, ♠10, ♥8, ♥4 | pair
♣3, ♣4, ♠10, ♥A, ♥4 | pair
♣3, ♣4, ♠10, ♦8, ♥4 | pair
♣3, ♣4, ♥8, ♥A, ♦8 | pair
♣3, ♣4, ♥8, ♥A, ♥4 | pair
♣3, ♣4, ♥8, ♦8, ♥4 | two pairs
♣3, ♣4, ♥A, ♦8, ♥4 | pair
♣3, ♠10, ♥8, ♥A, ♦8 | pair
♣3, ♠10, ♥8, ♦8, ♥4 | pair
♣3, ♥8, ♥A, ♦8, ♥4 | pair
♦2, ♣6, ♦2, ♣4, ♠10 | pair
♦2, ♣6, ♦2, ♣4, ♥8 | pair
♦2, ♣6, ♦2, ♣4, ♥A | pair
♦2, ♣6, ♦2, ♣4, ♦8 | pair
♦2, ♣6, ♦2, ♣4, ♥4 | two pairs
♦2, ♣6, ♦2, ♠10, ♥8 | pair
♦2, ♣6, ♦2, ♠10, ♥A | pair
♦2, ♣6, ♦2, ♠10, ♦8 | pair
♦2, ♣6, ♦2, ♠10, ♥4 | pair
♦2, ♣6, ♦2, ♥8, ♥A | pair
♦2, ♣6, ♦2, ♥8, ♦8 | two pairs
♦2, ♣6, ♦2, ♥8, ♥4 | pair
♦2, ♣6, ♦2, ♥A, ♦8 | pair
♦2, ♣6, ♦2, ♥A, ♥4 | pair
♦2, ♣6, ♦2, ♦8, ♥4 | pair
♦2, ♣6, ♣4, ♠10, ♥4 | pair
♦2, ♣6, ♣4, ♥8, ♦8 | pair
♦2, ♣6, ♣4, ♥8, ♥4 | pair
♦2, ♣6, ♣4, ♥A, ♥4 | pair
♦2, ♣6, ♣4, ♦8, ♥4 | pair
♦2, ♣6, ♠10, ♥8, ♦8 | pair
♦2, ♣6, ♥8, ♥A, ♦8 | pair
♦2, ♣6, ♥8, ♦8, ♥4 | pair
♦2, ♦2, ♣4, ♠10, ♥8 | pair
♦2, ♦2, ♣4, ♠10, ♥A | pair
♦2, ♦2, ♣4, ♠10, ♦8 | pair
♦2, ♦2, ♣4, ♠10, ♥4 | two pairs
♦2, ♦2, ♣4, ♥8, ♥A | pair
♦2, ♦2, ♣4, ♥8, ♦8 | two pairs
♦2, ♦2, ♣4, ♥8, ♥4 | two pairs
♦2, ♦2, ♣4, ♥A, ♦8 | pair
♦2, ♦2, ♣4, ♥A, ♥4 | two pairs
♦2, ♦2, ♣4, ♦8, ♥4 | two pairs
♦2, ♦2, ♠10, ♥8, ♥A | pair
♦2, ♦2, ♠10, ♥8, ♦8 | two pairs
♦2, ♦2, ♠10, ♥8, ♥4 | pair
♦2, ♦2, ♠10, ♥A, ♦8 | pair
♦2, ♦2, ♠10, ♥A, ♥4 | pair
♦2, ♦2, ♠10, ♦8, ♥4 | pair
♦2, ♦2, ♥8, ♥A, ♦8 | two pairs
♦2, ♦2, ♥8, ♥A, ♥4 | pair
♦2, ♦2, ♥8, ♦8, ♥4 | two pairs
♦2, ♦2, ♥A, ♦8, ♥4 | pair
♦2, ♣4, ♠10, ♥8, ♦8 | pair
♦2, ♣4, ♠10, ♥8, ♥4 | pair
♦2, ♣4, ♠10, ♥A, ♥4 | pair
♦2, ♣4, ♠10, ♦8, ♥4 | pair
♦2, ♣4, ♥8, ♥A, ♦8 | pair
♦2, ♣4, ♥8, ♥A, ♥4 | pair
♦2, ♣4, ♥8, ♦8, ♥4 | two pairs
♦2, ♣4, ♥A, ♦8, ♥4 | pair
♦2, ♠10, ♥8, ♥A, ♦8 | pair
♦2, ♠10, ♥8, ♦8, ♥4 | pair
♦2, ♥8, ♥A, ♦8, ♥4 | pair
♣6, ♦2, ♣4, ♠10, ♥4 | pair
♣6, ♦2, ♣4, ♥8, ♦8 | pair
♣6, ♦2, ♣4, ♥8, ♥4 | pair
♣6, ♦2, ♣4, ♥A, ♥4 | pair
♣6, ♦2, ♣4, ♦8, ♥4 | pair
♣6, ♦2, ♠10, ♥8, ♦8 | pair
♣6, ♦2, ♥8, ♥A, ♦8 | pair
♣6, ♦2, ♥8, ♦8, ♥4 | pair
♣6, ♣4, ♠10, ♥8, ♦8 | pair
♣6, ♣4, ♠10, ♥8, ♥4 | pair
♣6, ♣4, ♠10, ♥A, ♥4 | pair
♣6, ♣4, ♠10, ♦8, ♥4 | pair
♣6, ♣4, ♥8, ♥A, ♦8 | pair
♣6, ♣4, ♥8, ♥A, ♥4 | pair
