♠Q, ♥A, ♦8, ♣J, ♥8 | pair
♠Q, ♦8, ♥5, ♥2, ♥5 | pair
♠Q, ♦8, ♥5, ♥2, ♦8 | pair
♠Q, ♦8, ♥5, ♥2, ♥Q | pair
♠Q, ♦8, ♥5, ♥2, ♦8 | pair
♠Q, ♦8, ♥5, ♥5, ♦8 | two pairs
♠Q, ♦8, ♥5, ♥5, ♥Q | two pairs
♠Q, ♦8, ♥5, ♥5, ♦8 | two pairs
♠Q, ♦8, ♥5, ♦8, ♥Q | two pairs
♠Q, ♦8, ♥5, ♦8, ♦8 | three of a kind
♠Q, ♦8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♥Q, ♠7 | three of a kind
♠Q, ♦8, ♥Q, ♥Q, ♦K | three of a kind
♠Q, ♦8, ♥Q, ♥Q, ♥2 | three of a kind
♠Q, ♦8, ♥Q, ♥Q, ♥5 | three of a kind
♠Q, ♦8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♥Q, ♥Q, ♥Q | four of a kind!
♠Q, ♦8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♥Q, ♠7, ♦K | pair
♠Q, ♦8, ♥Q, ♠7, ♥2 | pair
♠Q, ♦8, ♥Q, ♠7, ♥5 | pair
♠Q, ♦8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♦8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♦K, ♥2 | pair
♠Q, ♦8, ♥Q, ♦K, ♥5 | pair
♠Q, ♦8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♦8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♥2, ♥5 | pair
♠Q, ♦8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♦8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♥5, ♥Q | three of a kind
♠Q, ♦8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♦8, ♥Q | fullhouse
♠Q, ♦8, ♥Q, ♦8, ♦8 | fullhouse
♠Q, ♦8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♥Q, ♠7, ♦K | pair
♠Q, ♦8, ♥Q, ♠7, ♥2 | pair
♠Q, ♦8, ♥Q, ♠7, ♥5 | pair
♠Q, ♦8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♦8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♦K, ♥2 | pair
♠Q, ♦8, ♥Q, ♦K, ♥5 | pair
♠Q, ♦8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♦8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♥2, ♥5 | pair
♠Q, ♦8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♦8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♥5, ♥Q | three of a kind
♠Q, ♦8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♦8, ♥Q, ♦8, ♥Q | fullhouse
♠Q, ♦8, ♥Q, ♦8, ♦8 | fullhouse
♠Q, ♦8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♠7, ♦K, ♦8 | pair
♠Q, ♦8, ♠7, ♦K, ♥Q | pair
♠Q, ♦8, ♠7, ♦K, ♦8 | pair
♠Q, ♦8, ♠7, ♥2, ♦8 | pair
♠Q, ♦8, ♠7, ♥2, ♥Q | pair
♠Q, ♦8, ♠7, ♥2, ♦8 | pair
♠Q, ♦8, ♠7, ♥5, ♦8 | pair
♠Q, ♦8, ♠7, ♥5, ♥Q | pair
♠Q, ♦8, ♠7, ♥5, ♦8 | pair
♠Q, ♦8, ♠7, ♦8, ♥Q | two pairs
♠Q, ♦8, ♠7, ♦8, ♦8 | three of a kind
♠Q, ♦8, ♠7, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♦K, ♥2, ♦8 | pair
♠Q, ♦8, ♦K, ♥2, ♥Q | pair
♠Q, ♦8, ♦K, ♥2, ♦8 | pair
♠Q, ♦8, ♦K, ♥5, ♦8 | pair
♠Q, ♦8, ♦K, ♥5, ♥Q | pair
♠Q, ♦8, ♦K, ♥5, ♦8 | pair
♠Q, ♦8, ♦K, ♦8, ♥Q | two pairs
♠Q, ♦8, ♦K, ♦8, ♦8 | three of a kind
♠Q, ♦8, ♦K, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♥2, ♥5, ♦8 | pair
♠Q, ♦8, ♥2, ♥5, ♥Q | pair
♠Q, ♦8, ♥2, ♥5, ♦8 | pair
♠Q, ♦8, ♥2, ♦8, ♥Q | two pairs
♠Q, ♦8, ♥2, ♦8, ♦8 | three of a kind
♠Q, ♦8, ♥2, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♥5, ♦8, ♥Q | two pairs
♠Q, ♦8, ♥5, ♦8, ♦8 | three of a kind
♠Q, ♦8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♦8, ♥Q, ♦8 | fullhouse
♠Q, ♣J, ♥8, ♣8, ♥5 | pair
♠Q, ♣J, ♥8, ♣8, ♥Q | two pairs
♠Q, ♣J, ♥8, ♣8, ♥Q | two pairs
♠Q, ♣J, ♥8, ♣8, ♠7 | pair
♠Q, ♣J, ♥8, ♣8, ♦K | pair
♠Q, ♣J, ♥8, ♣8, ♥2 | pair
♠Q, ♣J, ♥8, ♣8, ♥5 | pair
♠Q, ♣J, ♥8, ♣8, ♦8 | three of a kind
♠Q, ♣J, ♥8, ♣8, ♥Q | two pairs
♠Q, ♣J, ♥8, ♣8, ♦8 | three of a kind
♠Q, ♣J, ♥8, ♥5, ♥Q | pair
♠Q, ♣J, ♥8, ♥5, ♥Q | pair
♠Q, ♣J, ♥8, ♥5, ♥5 | pair
♠Q, ♣J, ♥8, ♥5, ♦8 | pair
♠Q, ♣J, ♥8, ♥5, ♥Q | pair
♠Q, ♣J, ♥8, ♥5, ♦8 | pair
♠Q, ♣J, ♥8, ♥Q, ♥Q | three of a kind
♠Q, ♣J, ♥8, ♥Q, ♠7 | pair
♠Q, ♣J, ♥8, ♥Q, ♦K | pair
♠Q, ♣J, ♥8, ♥Q, ♥2 | pair
♠Q, ♣J, ♥8, ♥Q, ♥5 | pair
♠Q, ♣J, ♥8, ♥Q, ♦8 | two pairs
♠Q, ♣J, ♥8, ♥Q, ♥Q | three of a kind
♠Q, ♣J, ♥8, ♥Q, ♦8 | two pairs
♠Q, ♣J, ♥8, ♥Q, ♠7 | pair
♠Q, ♣J, ♥8, ♥Q, ♦K | pair
♠Q, ♣J, ♥8, ♥Q, ♥2 | pair
♠Q, ♣J, ♥8, ♥Q, ♥5 | pair
♠Q, ♣J, ♥8, ♥Q, ♦8 | two pairs
♠Q, ♣J, ♥8, ♥Q, ♥Q | three of a kind
♠Q, ♣J, ♥8, ♥Q, ♦8 | two pairs
♠Q, ♣J, ♥8, ♠7, ♦8 | pair
♠Q, ♣J, ♥8, ♠7, ♥Q | pair
♠Q, ♣J, ♥8, ♠7, ♦8 | pair
♠Q, ♣J, ♥8, ♦K, ♦8 | pair
♠Q, ♣J, ♥8, ♦K, ♥Q | pair
♠Q, ♣J, ♥8, ♦K, ♦8 | pair
♠Q, ♣J, ♥8, ♥2, ♦8 | pair
♠Q, ♣J, ♥8, ♥2, ♥Q | pair
♠Q, ♣J, ♥8, ♥2, ♦8 | pair
♠Q, ♣J, ♥8, ♥5, ♦8 | pair
♠Q, ♣J, ♥8, ♥5, ♥Q | pair
♠Q, ♣J, ♥8, ♥5, ♦8 | pair
♠Q, ♣J, ♥8, ♦8, ♥Q | two pairs
♠Q, ♣J, ♥8, ♦8, ♦8 | three of a kind
♠Q, ♣J, ♥8, ♥Q, ♦8 | two pairs
♠Q, ♣J, ♣8, ♥5, ♥Q | pair
♠Q, ♣J, ♣8, ♥5, ♥Q | pair
♠Q, ♣J, ♣8, ♥5, ♥5 | pair
♠Q, ♣J, ♣8, ♥5, ♦8 | pair
♠Q, ♣J, ♣8, ♥5, ♥Q | pair
♠Q, ♣J, ♣8, ♥5, ♦8 | pair
♠Q, ♣J, ♣8, ♥Q, ♥Q | three of a kind
♠Q, ♣J, ♣8, ♥Q, ♠7 | pair
♠Q, ♣J, ♣8, ♥Q, ♦K | pair
♠Q, ♣J, ♣8, ♥Q, ♥2 | pair
♠Q, ♣J, ♣8, ♥Q, ♥5 | pair
♠Q, ♣J, ♣8, ♥Q, ♦8 | two pairs
♠Q, ♣J, ♣8, ♥Q, ♥Q | three of a kind
♠Q, ♣J, ♣8, ♥Q, ♦8 | two pairs
♠Q, ♣J, ♣8, ♥Q, ♠7 | pair
♠Q, ♣J, ♣8, ♥Q, ♦K | pair
♠Q, ♣J, ♣8, ♥Q, ♥2 | pair
♠Q, ♣J, ♣8, ♥Q, ♥5 | pair
♠Q, ♣J, ♣8, ♥Q, ♦8 | two pairs
♠Q, ♣J, ♣8, ♥Q, ♥Q | three of a kind
♠Q, ♣J, ♣8, ♥Q, ♦8 | two pairs
♠Q, ♣J, ♣8, ♠7, ♦8 | pair
♠Q, ♣J, ♣8, ♠7, ♥Q | pair
♠Q, ♣J, ♣8, ♠7, ♦8 | pair
♠Q, ♣J, ♣8, ♦K, ♦8 | pair
♠Q, ♣J, ♣8, ♦K, ♥Q | pair
♠Q, ♣J, ♣8, ♦K, ♦8 | pair
♠Q, ♣J, ♣8, ♥2, ♦8 | pair
♠Q, ♣J, ♣8, ♥2, ♥Q | pair
♠Q, ♣J, ♣8, ♥2, ♦8 | pair
♠Q, ♣J, ♣8, ♥5, ♦8 | pair
♠Q, ♣J, ♣8, ♥5, ♥Q | pair
♠Q, ♣J, ♣8, ♥5, ♦8 | pair
♠Q, ♣J, ♣8, ♦8, ♥Q | two pairs
♠Q, ♣J, ♣8, ♦8, ♦8 | three of a kind
♠Q, ♣J, ♣8, ♥Q, ♦8 | two pairs
♠Q, ♣J, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♣J, ♥5, ♥Q, ♠7 | pair
♠Q, ♣J, ♥5, ♥Q, ♦K | pair
♠Q, ♣J, ♥5, ♥Q, ♥2 | pair
♠Q, ♣J, ♥5, ♥Q, ♥5 | two pairs
♠Q, ♣J, ♥5, ♥Q, ♦8 | pair
♠Q, ♣J, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♣J, ♥5, ♥Q, ♦8 | pair
♠Q, ♣J, ♥5, ♥Q, ♠7 | pair
♠Q, ♣J, ♥5, ♥Q, ♦K | pair
♠Q, ♣J, ♥5, ♥Q, ♥2 | pair
♠Q, ♣J, ♥5, ♥Q, ♥5 | two pairs
♠Q, ♣J, ♥5, ♥Q, ♦8 | pair
♠Q, ♣J, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♣J, ♥5, ♥Q, ♦8 | pair
♠Q, ♣J, ♥5, ♠7, ♥5 | pair
♠Q, ♣J, ♥5, ♠7, ♥Q | pair
♠Q, ♣J, ♥5, ♦K, ♥5 | pair
♠Q, ♣J, ♥5, ♦K, ♥Q | pair
♠Q, ♣J, ♥5, ♥2, ♥5 | pair
♠Q, ♣J, ♥5, ♥2, ♥Q | pair
♠Q, ♣J, ♥5, ♥5, ♦8 | pair
♠Q, ♣J, ♥5, ♥5, ♥Q | two pairs
♠Q, ♣J, ♥5, ♥5, ♦8 | pair
♠Q, ♣J, ♥5, ♦8, ♥Q | pair
♠Q, ♣J, ♥5, ♦8, ♦8 | pair
♠Q, ♣J, ♥5, ♥Q, ♦8 | pair
♠Q, ♣J, ♥Q, ♥Q, ♠7 | three of a kind
♠Q, ♣J, ♥Q, ♥Q, ♦K | three of a kind
♠Q, ♣J, ♥Q, ♥Q, ♥2 | three of a kind
♠Q, ♣J, ♥Q, ♥Q, ♥5 | three of a kind
♠Q, ♣J, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♣J, ♥Q, ♥Q, ♥Q | four of a kind!
♠Q, ♣J, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♣J, ♥Q, ♠7, ♦K | pair
♠Q, ♣J, ♥Q, ♠7, ♥2 | pair
♠Q, ♣J, ♥Q, ♠7, ♥5 | pair
♠Q, ♣J, ♥Q, ♠7, ♦8 | pair
♠Q, ♣J, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♣J, ♥Q, ♠7, ♦8 | pair
♠Q, ♣J, ♥Q, ♦K, ♥2 | pair
♠Q, ♣J, ♥Q, ♦K, ♥5 | pair
♠Q, ♣J, ♥Q, ♦K, ♦8 | pair
♠Q, ♣J, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♣J, ♥Q, ♦K, ♦8 | pair
♠Q, ♣J, ♥Q, ♥2, ♥5 | pair
♠Q, ♣J, ♥Q, ♥2, ♦8 | pair
♠Q, ♣J, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♣J, ♥Q, ♥2, ♦8 | pair
♠Q, ♣J, ♥Q, ♥5, ♦8 | pair
♠Q, ♣J, ♥Q, ♥5, ♥Q | three of a kind
♠Q, ♣J, ♥Q, ♥5, ♦8 | pair
♠Q, ♣J, ♥Q, ♦8, ♥Q | three of a kind
♠Q, ♣J, ♥Q, ♦8, ♦8 | two pairs
♠Q, ♣J, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♣J, ♥Q, ♠7, ♦K | pair
♠Q, ♣J, ♥Q, ♠7, ♥2 | pair
♠Q, ♣J, ♥Q, ♠7, ♥5 | pair
♠Q, ♣J, ♥Q, ♠7, ♦8 | pair
♠Q, ♣J, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♣J, ♥Q, ♠7, ♦8 | pair
♠Q, ♣J, ♥Q, ♦K, ♥2 | pair
♠Q, ♣J, ♥Q, ♦K, ♥5 | pair
♠Q, ♣J, ♥Q, ♦K, ♦8 | pair
♠Q, ♣J, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♣J, ♥Q, ♦K, ♦8 | pair
♠Q, ♣J, ♥Q, ♥2, ♥5 | pair
♠Q, ♣J, ♥Q, ♥2, ♦8 | pair
♠Q, ♣J, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♣J, ♥Q, ♥2, ♦8 | pair
♠Q, ♣J, ♥Q, ♥5, ♦8 | pair
♠Q, ♣J, ♥Q, ♥5, ♥Q | three of a kind
♠Q, ♣J, ♥Q, ♥5, ♦8 | pair
♠Q, ♣J, ♥Q, ♦8, ♥Q | three of a kind
♠Q, ♣J, ♥Q, ♦8, ♦8 | two pairs
♠Q, ♣J, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♣J, ♠7, ♦K, ♥Q | pair
♠Q, ♣J, ♠7, ♥2, ♥Q | pair
♠Q, ♣J, ♠7, ♥5, ♥Q | pair
♠Q, ♣J, ♠7, ♦8, ♥Q | pair
♠Q, ♣J, ♠7, ♦8, ♦8 | pair
♠Q, ♣J, ♠7, ♥Q, ♦8 | pair
♠Q, ♣J, ♦K, ♥2, ♥Q | pair
♠Q, ♣J, ♦K, ♥5, ♥Q | pair
♠Q, ♣J, ♦K, ♦8, ♥Q | pair
♠Q, ♣J, ♦K, ♦8, ♦8 | pair
♠Q, ♣J, ♦K, ♥Q, ♦8 | pair
♠Q, ♣J, ♥2, ♥5, ♥Q | pair
♠Q, ♣J, ♥2, ♦8, ♥Q | pair
♠Q, ♣J, ♥2, ♦8, ♦8 | pair
♠Q, ♣J, ♥2, ♥Q, ♦8 | pair
♠Q, ♣J, ♥5, ♦8, ♥Q | pair
♠Q, ♣J, ♥5, ♦8, ♦8 | pair
♠Q, ♣J, ♥5, ♥Q, ♦8 | pair
♠Q, ♣J, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♥8, ♣8, ♥5, ♥Q | two pairs
♠Q, ♥8, ♣8, ♥5, ♥Q | two pairs
♠Q, ♥8, ♣8, ♥5, ♠7 | pair
♠Q, ♥8, ♣8, ♥5, ♦K | pair
♠Q, ♥8, ♣8, ♥5, ♥2 | pair
♠Q, ♥8, ♣8, ♥5, ♥5 | two pairs
♠Q, ♥8, ♣8, ♥5, ♦8 | three of a kind
♠Q, ♥8, ♣8, ♥5, ♥Q | two pairs
♠Q, ♥8, ♣8, ♥5, ♦8 | three of a kind
♠Q, ♥8, ♣8, ♥Q, ♥Q | fullhouse
♠Q, ♥8, ♣8, ♥Q, ♠7 | two pairs
♠Q, ♥8, ♣8, ♥Q, ♦K | two pairs
♠Q, ♥8, ♣8, ♥Q, ♥2 | two pairs
♠Q, ♥8, ♣8, ♥Q, ♥5 | two pairs
♠Q, ♥8, ♣8, ♥Q, ♦8 | fullhouse
♠Q, ♥8, ♣8, ♥Q, ♥Q | fullhouse
♠Q, ♥8, ♣8, ♥Q, ♦8 | fullhouse
♠Q, ♥8, ♣8, ♥Q, ♠7 | two pairs
♠Q, ♥8, ♣8, ♥Q, ♦K | two pairs
♠Q, ♥8, ♣8, ♥Q, ♥2 | two pairs
♠Q, ♥8, ♣8, ♥Q, ♥5 | two pairs
♠Q, ♥8, ♣8, ♥Q, ♦8 | fullhouse
♠Q, ♥8, ♣8, ♥Q, ♥Q | fullhouse
♠Q, ♥8, ♣8, ♥Q, ♦8 | fullhouse
♠Q, ♥8, ♣8, ♠7, ♦K | pair
♠Q, ♥8, ♣8, ♠7, ♥2 | pair
♠Q, ♥8, ♣8, ♠7, ♥5 | pair
♠Q, ♥8, ♣8, ♠7, ♦8 | three of a kind
♠Q, ♥8, ♣8, ♠7, ♥Q | two pairs
♠Q, ♥8, ♣8, ♠7, ♦8 | three of a kind
♠Q, ♥8, ♣8, ♦K, ♥2 | pair
♠Q, ♥8, ♣8, ♦K, ♥5 | pair
♠Q, ♥8, ♣8, ♦K, ♦8 | three of a kind
♠Q, ♥8, ♣8, ♦K, ♥Q | two pairs
♠Q, ♥8, ♣8, ♦K, ♦8 | three of a kind
♠Q, ♥8, ♣8, ♥2, ♥5 | pair
♠Q, ♥8, ♣8, ♥2, ♦8 | three of a kind
♠Q, ♥8, ♣8, ♥2, ♥Q | two pairs
♠Q, ♥8, ♣8, ♥2, ♦8 | three of a kind
♠Q, ♥8, ♣8, ♥5, ♦8 | three of a kind
♠Q, ♥8, ♣8, ♥5, ♥Q | two pairs
♠Q, ♥8, ♣8, ♥5, ♦8 | three of a kind
♠Q, ♥8, ♣8, ♦8, ♥Q | fullhouse
♠Q, ♥8, ♣8, ♦8, ♦8 | four of a kind!
♠Q, ♥8, ♣8, ♥Q, ♦8 | fullhouse
♠Q, ♥8, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♥8, ♥5, ♥Q, ♠7 | pair
♠Q, ♥8, ♥5, ♥Q, ♦K | pair
♠Q, ♥8, ♥5, ♥Q, ♥2 | pair
♠Q, ♥8, ♥5, ♥Q, ♥5 | two pairs
♠Q, ♥8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♥8, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♥8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♥8, ♥5, ♥Q, ♠7 | pair
♠Q, ♥8, ♥5, ♥Q, ♦K | pair
♠Q, ♥8, ♥5, ♥Q, ♥2 | pair
♠Q, ♥8, ♥5, ♥Q, ♥5 | two pairs
♠Q, ♥8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♥8, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♥8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♥8, ♥5, ♠7, ♥5 | pair
♠Q, ♥8, ♥5, ♠7, ♦8 | pair
♠Q, ♥8, ♥5, ♠7, ♥Q | pair
♠Q, ♥8, ♥5, ♠7, ♦8 | pair
♠Q, ♥8, ♥5, ♦K, ♥5 | pair
♠Q, ♥8, ♥5, ♦K, ♦8 | pair
♠Q, ♥8, ♥5, ♦K, ♥Q | pair
♠Q, ♥8, ♥5, ♦K, ♦8 | pair
♠Q, ♥8, ♥5, ♥2, ♥5 | pair
♠Q, ♥8, ♥5, ♥2, ♦8 | pair
♠Q, ♥8, ♥5, ♥2, ♥Q | pair
♠Q, ♥8, ♥5, ♥2, ♦8 | pair
♠Q, ♥8, ♥5, ♥5, ♦8 | two pairs
♠Q, ♥8, ♥5, ♥5, ♥Q | two pairs
♠Q, ♥8, ♥5, ♥5, ♦8 | two pairs
♠Q, ♥8, ♥5, ♦8, ♥Q | two pairs
♠Q, ♥8, ♥5, ♦8, ♦8 | three of a kind
♠Q, ♥8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♥Q, ♠7 | three of a kind
♠Q, ♥8, ♥Q, ♥Q, ♦K | three of a kind
♠Q, ♥8, ♥Q, ♥Q, ♥2 | three of a kind
♠Q, ♥8, ♥Q, ♥Q, ♥5 | three of a kind
♠Q, ♥8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♥8, ♥Q, ♥Q, ♥Q | four of a kind!
♠Q, ♥8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♥8, ♥Q, ♠7, ♦K | pair
♠Q, ♥8, ♥Q, ♠7, ♥2 | pair
♠Q, ♥8, ♥Q, ♠7, ♥5 | pair
♠Q, ♥8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♥8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♦K, ♥2 | pair
♠Q, ♥8, ♥Q, ♦K, ♥5 | pair
♠Q, ♥8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♥8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♥2, ♥5 | pair
♠Q, ♥8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♥8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♥5, ♥Q | three of a kind
♠Q, ♥8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♦8, ♥Q | fullhouse
♠Q, ♥8, ♥Q, ♦8, ♦8 | fullhouse
♠Q, ♥8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♥8, ♥Q, ♠7, ♦K | pair
♠Q, ♥8, ♥Q, ♠7, ♥2 | pair
♠Q, ♥8, ♥Q, ♠7, ♥5 | pair
♠Q, ♥8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♥8, ♥Q, ♠7, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♦K, ♥2 | pair
♠Q, ♥8, ♥Q, ♦K, ♥5 | pair
♠Q, ♥8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♥8, ♥Q, ♦K, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♥2, ♥5 | pair
♠Q, ♥8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♥8, ♥Q, ♥2, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♥5, ♥Q | three of a kind
♠Q, ♥8, ♥Q, ♥5, ♦8 | two pairs
♠Q, ♥8, ♥Q, ♦8, ♥Q | fullhouse
♠Q, ♥8, ♥Q, ♦8, ♦8 | fullhouse
♠Q, ♥8, ♥Q, ♥Q, ♦8 | fullhouse
♠Q, ♥8, ♠7, ♦K, ♦8 | pair
♠Q, ♥8, ♠7, ♦K, ♥Q | pair
♠Q, ♥8, ♠7, ♦K, ♦8 | pair
♠Q, ♥8, ♠7, ♥2, ♦8 | pair
♠Q, ♥8, ♠7, ♥2, ♥Q | pair
♠Q, ♥8, ♠7, ♥2, ♦8 | pair
♠Q, ♥8, ♠7, ♥5, ♦8 | pair
♠Q, ♥8, ♠7, ♥5, ♥Q | pair
♠Q, ♥8, ♠7, ♥5, ♦8 | pair
♠Q, ♥8, ♠7, ♦8, ♥Q | two pairs
♠Q, ♥8, ♠7, ♦8, ♦8 | three of a kind
♠Q, ♥8, ♠7, ♥Q, ♦8 | two pairs
♠Q, ♥8, ♦K, ♥2, ♦8 | pair
♠Q, ♥8, ♦K, ♥2, ♥Q | pair
♠Q, ♥8, ♦K, ♥2, ♦8 | pair
♠Q, ♥8, ♦K, ♥5, ♦8 | pair
♠Q, ♥8, ♦K, ♥5, ♥Q | pair
♠Q, ♥8, ♦K, ♥5, ♦8 | pair
♠Q, ♥8, ♦K, ♦8, ♥Q | two pairs
♠Q, ♥8, ♦K, ♦8, ♦8 | three of a kind
♠Q, ♥8, ♦K, ♥Q, ♦8 | two pairs
♠Q, ♥8, ♥2, ♥5, ♦8 | pair
♠Q, ♥8, ♥2, ♥5, ♥Q | pair
♠Q, ♥8, ♥2, ♥5, ♦8 | pair
♠Q, ♥8, ♥2, ♦8, ♥Q | two pairs
♠Q, ♥8, ♥2, ♦8, ♦8 | three of a kind
♠Q, ♥8, ♥2, ♥Q, ♦8 | two pairs
♠Q, ♥8, ♥5, ♦8, ♥Q | two pairs
♠Q, ♥8, ♥5, ♦8, ♦8 | three of a kind
♠Q, ♥8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♥8, ♦8, ♥Q, ♦8 | fullhouse
♠Q, ♣8, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♣8, ♥5, ♥Q, ♠7 | pair
♠Q, ♣8, ♥5, ♥Q, ♦K | pair
♠Q, ♣8, ♥5, ♥Q, ♥2 | pair
♠Q, ♣8, ♥5, ♥Q, ♥5 | two pairs
♠Q, ♣8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♣8, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♣8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♣8, ♥5, ♥Q, ♠7 | pair
♠Q, ♣8, ♥5, ♥Q, ♦K | pair
♠Q, ♣8, ♥5, ♥Q, ♥2 | pair
♠Q, ♣8, ♥5, ♥Q, ♥5 | two pairs
♠Q, ♣8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♣8, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♣8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♣8, ♥5, ♠7, ♥5 | pair
♠Q, ♣8, ♥5, ♠7, ♦8 | pair
♠Q, ♣8, ♥5, ♠7, ♥Q | pair
♠Q, ♣8, ♥5, ♠7, ♦8 | pair
♠Q, ♣8, ♥5, ♦K, ♥5 | pair
♠Q, ♣8, ♥5, ♦K, ♦8 | pair
♠Q, ♣8, ♥5, ♦K, ♥Q | pair
♠Q, ♣8, ♥5, ♦K, ♦8 | pair
♠Q, ♣8, ♥5, ♥2, ♥5 | pair
♠Q, ♣8, ♥5, ♥2, ♦8 | pair
♠Q, ♣8, ♥5, ♥2, ♥Q | pair
♠Q, ♣8, ♥5, ♥2, ♦8 | pair
♠Q, ♣8, ♥5, ♥5, ♦8 | two pairs
