♥4, ♠4, ♣7, ♥6, ♣3 | pair
♥4, ♣7, ♦8, ♦2, ♠2 | pair
♥4, ♣7, ♦8, ♦2, ♣2 | pair
♥4, ♣7, ♦8, ♠8, ♥J | pair
♥4, ♣7, ♦8, ♠8, ♠2 | pair
♥4, ♣7, ♦8, ♠8, ♦10 | pair
♥4, ♣7, ♦8, ♠8, ♣2 | pair
♥4, ♣7, ♦8, ♠8, ♥Q | pair
♥4, ♣7, ♦8, ♠2, ♣2 | pair
♥4, ♣7, ♦2, ♠8, ♠2 | pair
♥4, ♣7, ♦2, ♠8, ♣2 | pair
♥4, ♣7, ♦2, ♥J, ♠2 | pair
♥4, ♣7, ♦2, ♥J, ♣2 | pair
♥4, ♣7, ♦2, ♠2, ♦10 | pair
♥4, ♣7, ♦2, ♠2, ♣2 | three of a kind
♥4, ♣7, ♦2, ♠2, ♥Q | pair
♥4, ♣7, ♦2, ♦10, ♣2 | pair
♥4, ♣7, ♦2, ♣2, ♥Q | pair
♥4, ♣7, ♠8, ♠2, ♣2 | pair
♥4, ♣7, ♥J, ♠2, ♣2 | pair
♥4, ♣7, ♠2, ♦10, ♣2 | pair
♥4, ♣7, ♠2, ♣2, ♥Q | pair
♥4, ♠3, ♦8, ♦2, ♠8 | pair
♥4, ♠3, ♦8, ♦2, ♠2 | pair
♥4, ♠3, ♦8, ♦2, ♣2 | pair
♥4, ♠3, ♦8, ♠8, ♥J | pair
♥4, ♠3, ♦8, ♠8, ♠2 | pair
♥4, ♠3, ♦8, ♠8, ♦10 | pair
♥4, ♠3, ♦8, ♠8, ♣2 | pair
♥4, ♠3, ♦8, ♠8, ♥Q | pair
♥4, ♠3, ♦8, ♠2, ♣2 | pair
♥4, ♠3, ♦2, ♠8, ♠2 | pair
♥4, ♠3, ♦2, ♠8, ♣2 | pair
♥4, ♠3, ♦2, ♥J, ♠2 | pair
♥4, ♠3, ♦2, ♥J, ♣2 | pair
♥4, ♠3, ♦2, ♠2, ♦10 | pair
♥4, ♠3, ♦2, ♠2, ♣2 | three of a kind
♥4, ♠3, ♦2, ♠2, ♥Q | pair
♥4, ♠3, ♦2, ♦10, ♣2 | pair
♥4, ♠3, ♦2, ♣2, ♥Q | pair
♥4, ♠3, ♠8, ♠2, ♣2 | pair
♥4, ♠3, ♥J, ♠2, ♣2 | pair
♥4, ♠3, ♠2, ♦10, ♣2 | pair
♥4, ♠3, ♠2, ♣2, ♥Q | pair
♥4, ♦8, ♦2, ♠8, ♥J | pair
♥4, ♦8, ♦2, ♠8, ♠2 | two pairs
♥4, ♦8, ♦2, ♠8, ♦10 | pair
♥4, ♦8, ♦2, ♠8, ♣2 | two pairs
♥4, ♦8, ♦2, ♠8, ♥Q | pair
♥4, ♦8, ♦2, ♥J, ♠2 | pair
♥4, ♦8, ♦2, ♥J, ♣2 | pair
♥4, ♦8, ♦2, ♠2, ♦10 | pair
♥4, ♦8, ♦2, ♠2, ♣2 | three of a kind
♥4, ♦8, ♦2, ♠2, ♥Q | pair
♥4, ♦8, ♦2, ♦10, ♣2 | pair
♥4, ♦8, ♦2, ♣2, ♥Q | pair
♥4, ♦8, ♠8, ♥J, ♠2 | pair
♥4, ♦8, ♠8, ♥J, ♦10 | pair
♥4, ♦8, ♠8, ♥J, ♣2 | pair
♥4, ♦8, ♠8, ♥J, ♥Q | pair
♥4, ♦8, ♠8, ♠2, ♦10 | pair
♥4, ♦8, ♠8, ♠2, ♣2 | two pairs
♥4, ♦8, ♠8, ♠2, ♥Q | pair
♥4, ♦8, ♠8, ♦10, ♣2 | pair
♥4, ♦8, ♠8, ♦10, ♥Q | pair
♥4, ♦8, ♠8, ♣2, ♥Q | pair
♥4, ♦8, ♥J, ♠2, ♣2 | pair
♥4, ♦8, ♠2, ♦10, ♣2 | pair
♥4, ♦8, ♠2, ♣2, ♥Q | pair
♥4, ♦2, ♠8, ♥J, ♠2 | pair
♥4, ♦2, ♠8, ♥J, ♣2 | pair
♥4, ♦2, ♠8, ♠2, ♦10 | pair
♥4, ♦2, ♠8, ♠2, ♣2 | three of a kind
♥4, ♦2, ♠8, ♠2, ♥Q | pair
♥4, ♦2, ♠8, ♦10, ♣2 | pair
♥4, ♦2, ♠8, ♣2, ♥Q | pair
♥4, ♦2, ♥J, ♠2, ♦10 | pair
♥4, ♦2, ♥J, ♠2, ♣2 | three of a kind
♥4, ♦2, ♥J, ♠2, ♥Q | pair
♥4, ♦2, ♥J, ♦10, ♣2 | pair
♥4, ♦2, ♥J, ♣2, ♥Q | pair
♥4, ♦2, ♠2, ♦10, ♣2 | three of a kind
♥4, ♦2, ♠2, ♦10, ♥Q | pair
♥4, ♦2, ♠2, ♣2, ♥Q | three of a kind
♥4, ♦2, ♦10, ♣2, ♥Q | pair
♥4, ♠8, ♥J, ♠2, ♣2 | pair
♥4, ♠8, ♠2, ♦10, ♣2 | pair
♥4, ♠8, ♠2, ♣2, ♥Q | pair
♥4, ♥J, ♠2, ♦10, ♣2 | pair
♥4, ♥J, ♠2, ♣2, ♥Q | pair
♥4, ♠2, ♦10, ♣2, ♥Q | pair
♠4, ♣7, ♥6, ♣3, ♣7 | pair
♠4, ♣7, ♥6, ♣3, ♠3 | pair
♠4, ♣7, ♥6, ♣7, ♠3 | pair
♠4, ♣7, ♥6, ♣7, ♦8 | pair
♠4, ♣7, ♥6, ♣7, ♦2 | pair
♠4, ♣7, ♥6, ♣7, ♠8 | pair
♠4, ♣7, ♥6, ♣7, ♥J | pair
♠4, ♣7, ♥6, ♣7, ♠2 | pair
♠4, ♣7, ♥6, ♣7, ♦10 | pair
♠4, ♣7, ♥6, ♣7, ♣2 | pair
♠4, ♣7, ♥6, ♣7, ♥Q | pair
♠4, ♣7, ♥6, ♦8, ♠8 | pair
♠4, ♣7, ♥6, ♦2, ♠2 | pair
♠4, ♣7, ♥6, ♦2, ♣2 | pair
♠4, ♣7, ♥6, ♠2, ♣2 | pair
♠4, ♣7, ♣3, ♣7, ♠3 | two pairs
♠4, ♣7, ♣3, ♣7, ♦8 | pair
♠4, ♣7, ♣3, ♣7, ♦2 | pair
♠4, ♣7, ♣3, ♣7, ♠8 | pair
♠4, ♣7, ♣3, ♣7, ♥J | pair
♠4, ♣7, ♣3, ♣7, ♠2 | pair
♠4, ♣7, ♣3, ♣7, ♦10 | pair
♠4, ♣7, ♣3, ♣7, ♣2 | pair
♠4, ♣7, ♣3, ♣7, ♥Q | pair
♠4, ♣7, ♣3, ♠3, ♦8 | pair
♠4, ♣7, ♣3, ♠3, ♦2 | pair
♠4, ♣7, ♣3, ♠3, ♠8 | pair
♠4, ♣7, ♣3, ♠3, ♥J | pair
♠4, ♣7, ♣3, ♠3, ♠2 | pair
♠4, ♣7, ♣3, ♠3, ♦10 | pair
♠4, ♣7, ♣3, ♠3, ♣2 | pair
♠4, ♣7, ♣3, ♠3, ♥Q | pair
♠4, ♣7, ♣3, ♦8, ♠8 | pair
♠4, ♣7, ♣3, ♦2, ♠2 | pair
♠4, ♣7, ♣3, ♦2, ♣2 | pair
♠4, ♣7, ♣3, ♠2, ♣2 | pair
♠4, ♣7, ♣7, ♠3, ♦8 | pair
♠4, ♣7, ♣7, ♠3, ♦2 | pair
♠4, ♣7, ♣7, ♠3, ♠8 | pair
♠4, ♣7, ♣7, ♠3, ♥J | pair
♠4, ♣7, ♣7, ♠3, ♠2 | pair
♠4, ♣7, ♣7, ♠3, ♦10 | pair
♠4, ♣7, ♣7, ♠3, ♣2 | pair
♠4, ♣7, ♣7, ♠3, ♥Q | pair
♠4, ♣7, ♣7, ♦8, ♦2 | pair
♠4, ♣7, ♣7, ♦8, ♠8 | two pairs
♠4, ♣7, ♣7, ♦8, ♥J | pair
♠4, ♣7, ♣7, ♦8, ♠2 | pair
♠4, ♣7, ♣7, ♦8, ♦10 | pair
♠4, ♣7, ♣7, ♦8, ♣2 | pair
♠4, ♣7, ♣7, ♦8, ♥Q | pair
♠4, ♣7, ♣7, ♦2, ♠8 | pair
♠4, ♣7, ♣7, ♦2, ♥J | pair
♠4, ♣7, ♣7, ♦2, ♠2 | two pairs
♠4, ♣7, ♣7, ♦2, ♦10 | pair
♠4, ♣7, ♣7, ♦2, ♣2 | two pairs
♠4, ♣7, ♣7, ♦2, ♥Q | pair
♠4, ♣7, ♣7, ♠8, ♥J | pair
♠4, ♣7, ♣7, ♠8, ♠2 | pair
♠4, ♣7, ♣7, ♠8, ♦10 | pair
♠4, ♣7, ♣7, ♠8, ♣2 | pair
♠4, ♣7, ♣7, ♠8, ♥Q | pair
♠4, ♣7, ♣7, ♥J, ♠2 | pair
♠4, ♣7, ♣7, ♥J, ♦10 | pair
♠4, ♣7, ♣7, ♥J, ♣2 | pair
♠4, ♣7, ♣7, ♥J, ♥Q | pair
♠4, ♣7, ♣7, ♠2, ♦10 | pair
♠4, ♣7, ♣7, ♠2, ♣2 | two pairs
♠4, ♣7, ♣7, ♠2, ♥Q | pair
♠4, ♣7, ♣7, ♦10, ♣2 | pair
♠4, ♣7, ♣7, ♦10, ♥Q | pair
♠4, ♣7, ♣7, ♣2, ♥Q | pair
♠4, ♣7, ♠3, ♦8, ♠8 | pair
♠4, ♣7, ♠3, ♦2, ♠2 | pair
♠4, ♣7, ♠3, ♦2, ♣2 | pair
♠4, ♣7, ♠3, ♠2, ♣2 | pair
♠4, ♣7, ♦8, ♦2, ♠8 | pair
♠4, ♣7, ♦8, ♦2, ♠2 | pair
♠4, ♣7, ♦8, ♦2, ♣2 | pair
♠4, ♣7, ♦8, ♠8, ♥J | pair
♠4, ♣7, ♦8, ♠8, ♠2 | pair
♠4, ♣7, ♦8, ♠8, ♦10 | pair
♠4, ♣7, ♦8, ♠8, ♣2 | pair
♠4, ♣7, ♦8, ♠8, ♥Q | pair
♠4, ♣7, ♦8, ♠2, ♣2 | pair
♠4, ♣7, ♦2, ♠8, ♠2 | pair
♠4, ♣7, ♦2, ♠8, ♣2 | pair
♠4, ♣7, ♦2, ♥J, ♠2 | pair
♠4, ♣7, ♦2, ♥J, ♣2 | pair
♠4, ♣7, ♦2, ♠2, ♦10 | pair
♠4, ♣7, ♦2, ♠2, ♣2 | three of a kind
♠4, ♣7, ♦2, ♠2, ♥Q | pair
♠4, ♣7, ♦2, ♦10, ♣2 | pair
♠4, ♣7, ♦2, ♣2, ♥Q | pair
♠4, ♣7, ♠8, ♠2, ♣2 | pair
♠4, ♣7, ♥J, ♠2, ♣2 | pair
♠4, ♣7, ♠2, ♦10, ♣2 | pair
♠4, ♣7, ♠2, ♣2, ♥Q | pair
♠4, ♥6, ♣3, ♣7, ♠3 | pair
♠4, ♥6, ♣3, ♠3, ♦8 | pair
♠4, ♥6, ♣3, ♠3, ♦2 | pair
♠4, ♥6, ♣3, ♠3, ♠8 | pair
♠4, ♥6, ♣3, ♠3, ♥J | pair
♠4, ♥6, ♣3, ♠3, ♠2 | pair
♠4, ♥6, ♣3, ♠3, ♦10 | pair
♠4, ♥6, ♣3, ♠3, ♣2 | pair
♠4, ♥6, ♣3, ♠3, ♥Q | pair
♠4, ♥6, ♣3, ♦8, ♠8 | pair
♠4, ♥6, ♣3, ♦2, ♠2 | pair
♠4, ♥6, ♣3, ♦2, ♣2 | pair
♠4, ♥6, ♣3, ♠2, ♣2 | pair
♠4, ♥6, ♣7, ♦8, ♠8 | pair
♠4, ♥6, ♣7, ♦2, ♠2 | pair
♠4, ♥6, ♣7, ♦2, ♣2 | pair
♠4, ♥6, ♣7, ♠2, ♣2 | pair
♠4, ♥6, ♠3, ♦8, ♠8 | pair
♠4, ♥6, ♠3, ♦2, ♠2 | pair
♠4, ♥6, ♠3, ♦2, ♣2 | pair
♠4, ♥6, ♠3, ♠2, ♣2 | pair
♠4, ♥6, ♦8, ♦2, ♠8 | pair
♠4, ♥6, ♦8, ♦2, ♠2 | pair
♠4, ♥6, ♦8, ♦2, ♣2 | pair
♠4, ♥6, ♦8, ♠8, ♥J | pair
♠4, ♥6, ♦8, ♠8, ♠2 | pair
♠4, ♥6, ♦8, ♠8, ♦10 | pair
♠4, ♥6, ♦8, ♠8, ♣2 | pair
♠4, ♥6, ♦8, ♠8, ♥Q | pair
♠4, ♥6, ♦8, ♠2, ♣2 | pair
♠4, ♥6, ♦2, ♠8, ♠2 | pair
♠4, ♥6, ♦2, ♠8, ♣2 | pair
♠4, ♥6, ♦2, ♥J, ♠2 | pair
♠4, ♥6, ♦2, ♥J, ♣2 | pair
♠4, ♥6, ♦2, ♠2, ♦10 | pair
♠4, ♥6, ♦2, ♠2, ♣2 | three of a kind
♠4, ♥6, ♦2, ♠2, ♥Q | pair
♠4, ♥6, ♦2, ♦10, ♣2 | pair
♠4, ♥6, ♦2, ♣2, ♥Q | pair
♠4, ♥6, ♠8, ♠2, ♣2 | pair
♠4, ♥6, ♥J, ♠2, ♣2 | pair
♠4, ♥6, ♠2, ♦10, ♣2 | pair
♠4, ♥6, ♠2, ♣2, ♥Q | pair
♠4, ♣3, ♣7, ♠3, ♦8 | pair
♠4, ♣3, ♣7, ♠3, ♦2 | pair
♠4, ♣3, ♣7, ♠3, ♠8 | pair
♠4, ♣3, ♣7, ♠3, ♥J | pair
♠4, ♣3, ♣7, ♠3, ♠2 | pair
♠4, ♣3, ♣7, ♠3, ♦10 | pair
♠4, ♣3, ♣7, ♠3, ♣2 | pair
♠4, ♣3, ♣7, ♠3, ♥Q | pair
♠4, ♣3, ♣7, ♦8, ♠8 | pair
♠4, ♣3, ♣7, ♦2, ♠2 | pair
♠4, ♣3, ♣7, ♦2, ♣2 | pair
♠4, ♣3, ♣7, ♠2, ♣2 | pair
♠4, ♣3, ♠3, ♦8, ♦2 | pair
♠4, ♣3, ♠3, ♦8, ♠8 | two pairs
♠4, ♣3, ♠3, ♦8, ♥J | pair
♠4, ♣3, ♠3, ♦8, ♠2 | pair
♠4, ♣3, ♠3, ♦8, ♦10 | pair
♠4, ♣3, ♠3, ♦8, ♣2 | pair
♠4, ♣3, ♠3, ♦8, ♥Q | pair
♠4, ♣3, ♠3, ♦2, ♠8 | pair
♠4, ♣3, ♠3, ♦2, ♥J | pair
♠4, ♣3, ♠3, ♦2, ♠2 | two pairs
♠4, ♣3, ♠3, ♦2, ♦10 | pair
♠4, ♣3, ♠3, ♦2, ♣2 | two pairs
♠4, ♣3, ♠3, ♦2, ♥Q | pair
♠4, ♣3, ♠3, ♠8, ♥J | pair
♠4, ♣3, ♠3, ♠8, ♠2 | pair
♠4, ♣3, ♠3, ♠8, ♦10 | pair
♠4, ♣3, ♠3, ♠8, ♣2 | pair
♠4, ♣3, ♠3, ♠8, ♥Q | pair
♠4, ♣3, ♠3, ♥J, ♠2 | pair
♠4, ♣3, ♠3, ♥J, ♦10 | pair
♠4, ♣3, ♠3, ♥J, ♣2 | pair
♠4, ♣3, ♠3, ♥J, ♥Q | pair
♠4, ♣3, ♠3, ♠2, ♦10 | pair
♠4, ♣3, ♠3, ♠2, ♣2 | two pairs
♠4, ♣3, ♠3, ♠2, ♥Q | pair
♠4, ♣3, ♠3, ♦10, ♣2 | pair
♠4, ♣3, ♠3, ♦10, ♥Q | pair
♠4, ♣3, ♠3, ♣2, ♥Q | pair
♠4, ♣3, ♦8, ♦2, ♠8 | pair
♠4, ♣3, ♦8, ♦2, ♠2 | pair
♠4, ♣3, ♦8, ♦2, ♣2 | pair
♠4, ♣3, ♦8, ♠8, ♥J | pair
♠4, ♣3, ♦8, ♠8, ♠2 | pair
♠4, ♣3, ♦8, ♠8, ♦10 | pair
♠4, ♣3, ♦8, ♠8, ♣2 | pair
♠4, ♣3, ♦8, ♠8, ♥Q | pair
♠4, ♣3, ♦8, ♠2, ♣2 | pair
♠4, ♣3, ♦2, ♠8, ♠2 | pair
♠4, ♣3, ♦2, ♠8, ♣2 | pair
♠4, ♣3, ♦2, ♥J, ♠2 | pair
♠4, ♣3, ♦2, ♥J, ♣2 | pair
♠4, ♣3, ♦2, ♠2, ♦10 | pair
♠4, ♣3, ♦2, ♠2, ♣2 | three of a kind
♠4, ♣3, ♦2, ♠2, ♥Q | pair
♠4, ♣3, ♦2, ♦10, ♣2 | pair
♠4, ♣3, ♦2, ♣2, ♥Q | pair
♠4, ♣3, ♠8, ♠2, ♣2 | pair
♠4, ♣3, ♥J, ♠2, ♣2 | pair
♠4, ♣3, ♠2, ♦10, ♣2 | pair
♠4, ♣3, ♠2, ♣2, ♥Q | pair
♠4, ♣7, ♠3, ♦8, ♠8 | pair
♠4, ♣7, ♠3, ♦2, ♠2 | pair
♠4, ♣7, ♠3, ♦2, ♣2 | pair
♠4, ♣7, ♠3, ♠2, ♣2 | pair
♠4, ♣7, ♦8, ♦2, ♠8 | pair
♠4, ♣7, ♦8, ♦2, ♠2 | pair
♠4, ♣7, ♦8, ♦2, ♣2 | pair
♠4, ♣7, ♦8, ♠8, ♥J | pair
♠4, ♣7, ♦8, ♠8, ♠2 | pair
♠4, ♣7, ♦8, ♠8, ♦10 | pair
♠4, ♣7, ♦8, ♠8, ♣2 | pair
♠4, ♣7, ♦8, ♠8, ♥Q | pair
♠4, ♣7, ♦8, ♠2, ♣2 | pair
♠4, ♣7, ♦2, ♠8, ♠2 | pair
♠4, ♣7, ♦2, ♠8, ♣2 | pair
♠4, ♣7, ♦2, ♥J, ♠2 | pair
♠4, ♣7, ♦2, ♥J, ♣2 | pair
♠4, ♣7, ♦2, ♠2, ♦10 | pair
♠4, ♣7, ♦2, ♠2, ♣2 | three of a kind
♠4, ♣7, ♦2, ♠2, ♥Q | pair
♠4, ♣7, ♦2, ♦10, ♣2 | pair
♠4, ♣7, ♦2, ♣2, ♥Q | pair
♠4, ♣7, ♠8, ♠2, ♣2 | pair
♠4, ♣7, ♥J, ♠2, ♣2 | pair
♠4, ♣7, ♠2, ♦10, ♣2 | pair
♠4, ♣7, ♠2, ♣2, ♥Q | pair
♠4, ♠3, ♦8, ♦2, ♠8 | pair
♠4, ♠3, ♦8, ♦2, ♠2 | pair
♠4, ♠3, ♦8, ♦2, ♣2 | pair
♠4, ♠3, ♦8, ♠8, ♥J | pair
♠4, ♠3, ♦8, ♠8, ♠2 | pair
♠4, ♠3, ♦8, ♠8, ♦10 | pair
♠4, ♠3, ♦8, ♠8, ♣2 | pair
♠4, ♠3, ♦8, ♠8, ♥Q | pair
♠4, ♠3, ♦8, ♠2, ♣2 | pair
♠4, ♠3, ♦2, ♠8, ♠2 | pair
♠4, ♠3, ♦2, ♠8, ♣2 | pair
♠4, ♠3, ♦2, ♥J, ♠2 | pair
♠4, ♠3, ♦2, ♥J, ♣2 | pair
♠4, ♠3, ♦2, ♠2, ♦10 | pair
♠4, ♠3, ♦2, ♠2, ♣2 | three of a kind
♠4, ♠3, ♦2, ♠2, ♥Q | pair
♠4, ♠3, ♦2, ♦10, ♣2 | pair
♠4, ♠3, ♦2, ♣2, ♥Q | pair
♠4, ♠3, ♠8, ♠2, ♣2 | pair
♠4, ♠3, ♥J, ♠2, ♣2 | pair
♠4, ♠3, ♠2, ♦10, ♣2 | pair
♠4, ♠3, ♠2, ♣2, ♥Q | pair
♠4, ♦8, ♦2, ♠8, ♥J | pair
♠4, ♦8, ♦2, ♠8, ♠2 | two pairs
♠4, ♦8, ♦2, ♠8, ♦10 | pair
♠4, ♦8, ♦2, ♠8, ♣2 | two pairs
♠4, ♦8, ♦2, ♠8, ♥Q | pair
♠4, ♦8, ♦2, ♥J, ♠2 | pair
♠4, ♦8, ♦2, ♥J, ♣2 | pair
♠4, ♦8, ♦2, ♠2, ♦10 | pair
♠4, ♦8, ♦2, ♠2, ♣2 | three of a kind
♠4, ♦8, ♦2, ♠2, ♥Q | pair
♠4, ♦8, ♦2, ♦10, ♣2 | pair
♠4, ♦8, ♦2, ♣2, ♥Q | pair
♠4, ♦8, ♠8, ♥J, ♠2 | pair
♠4, ♦8, ♠8, ♥J, ♦10 | pair
♠4, ♦8, ♠8, ♥J, ♣2 | pair
♠4, ♦8, ♠8, ♥J, ♥Q | pair
♠4, ♦8, ♠8, ♠2, ♦10 | pair
♠4, ♦8, ♠8, ♠2, ♣2 | two pairs
♠4, ♦8, ♠8, ♠2, ♥Q | pair
♠4, ♦8, ♠8, ♦10, ♣2 | pair
♠4, ♦8, ♠8, ♦10, ♥Q | pair
♠4, ♦8, ♠8, ♣2, ♥Q | pair
♠4, ♦8, ♥J, ♠2, ♣2 | pair
♠4, ♦8, ♠2, ♦10, ♣2 | pair
♠4, ♦8, ♠2, ♣2, ♥Q | pair
♠4, ♦2, ♠8, ♥J, ♠2 | pair
♠4, ♦2, ♠8, ♥J, ♣2 | pair
♠4, ♦2, ♠8, ♠2, ♦10 | pair
♠4, ♦2, ♠8, ♠2, ♣2 | three of a kind
♠4, ♦2, ♠8, ♠2, ♥Q | pair
♠4, ♦2, ♠8, ♦10, ♣2 | pair
♠4, ♦2, ♠8, ♣2, ♥Q | pair
♠4, ♦2, ♥J, ♠2, ♦10 | pair
♠4, ♦2, ♥J, ♠2, ♣2 | three of a kind
♠4, ♦2, ♥J, ♠2, ♥Q | pair
♠4, ♦2, ♥J, ♦10, ♣2 | pair
♠4, ♦2, ♥J, ♣2, ♥Q | pair
♠4, ♦2, ♠2, ♦10, ♣2 | three of a kind
♠4, ♦2, ♠2, ♦10, ♥Q | pair
♠4, ♦2, ♠2, ♣2, ♥Q | three of a kind
♠4, ♦2, ♦10, ♣2, ♥Q | pair
♠4, ♠8, ♥J, ♠2, ♣2 | pair
♠4, ♠8, ♠2, ♦10, ♣2 | pair
♠4, ♠8, ♠2, ♣2, ♥Q | pair
♠4, ♥J, ♠2, ♦10, ♣2 | pair
♠4, ♥J, ♠2, ♣2, ♥Q | pair
♠4, ♠2, ♦10, ♣2, ♥Q | pair
♣7, ♥6, ♣3, ♣7, ♠3 | two pairs
♣7, ♥6, ♣3, ♣7, ♦8 | pair
♣7, ♥6, ♣3, ♣7, ♦2 | pair
♣7, ♥6, ♣3, ♣7, ♠8 | pair
♣7, ♥6, ♣3, ♣7, ♥J | pair
♣7, ♥6, ♣3, ♣7, ♠2 | pair
♣7, ♥6, ♣3, ♣7, ♦10 | pair
♣7, ♥6, ♣3, ♣7, ♣2 | pair
♣7, ♥6, ♣3, ♣7, ♥Q | pair
♣7, ♥6, ♣3, ♠3, ♦8 | pair
♣7, ♥6, ♣3, ♠3, ♦2 | pair
♣7, ♥6, ♣3, ♠3, ♠8 | pair
♣7, ♥6, ♣3, ♠3, ♥J | pair
♣7, ♥6, ♣3, ♠3, ♠2 | pair
♣7, ♥6, ♣3, ♠3, ♦10 | pair
♣7, ♥6, ♣3, ♠3, ♣2 | pair
♣7, ♥6, ♣3, ♠3, ♥Q | pair
♣7, ♥6, ♣3, ♦8, ♠8 | pair
♣7, ♥6, ♣3, ♦2, ♠2 | pair
♣7, ♥6, ♣3, ♦2, ♣2 | pair
♣7, ♥6, ♣3, ♠2, ♣2 | pair
♣7, ♥6, ♣7, ♠3, ♦8 | pair
♣7, ♥6, ♣7, ♠3, ♦2 | pair
♣7, ♥6, ♣7, ♠3, ♠8 | pair
♣7, ♥6, ♣7, ♠3, ♥J | pair
♣7, ♥6, ♣7, ♠3, ♠2 | pair
♣7, ♥6, ♣7, ♠3, ♦10 | pair
♣7, ♥6, ♣7, ♠3, ♣2 | pair
♣7, ♥6, ♣7, ♠3, ♥Q | pair
♣7, ♥6, ♣7, ♦8, ♦2 | pair
♣7, ♥6, ♣7, ♦8, ♠8 | two pairs
♣7, ♥6, ♣7, ♦8, ♥J | pair
♣7, ♥6, ♣7, ♦8, ♠2 | pair
♣7, ♥6, ♣7, ♦8, ♦10 | pair
♣7, ♥6, ♣7, ♦8, ♣2 | pair
♣7, ♥6, ♣7, ♦8, ♥Q | pair
♣7, ♥6, ♣7, ♦2, ♠8 | pair
♣7, ♥6, ♣7, ♦2, ♥J | pair
♣7, ♥6, ♣7, ♦2, ♠2 | two pairs
♣7, ♥6, ♣7, ♦2, ♦10 | pair
♣7, ♥6, ♣7, ♦2, ♣2 | two pairs
♣7, ♥6, ♣7, ♦2, ♥Q | pair
♣7, ♥6, ♣7, ♠8, ♥J | pair
♣7, ♥6, ♣7, ♠8, ♠2 | pair
♣7, ♥6, ♣7, ♠8, ♦10 | pair
♣7, ♥6, ♣7, ♠8, ♣2 | pair
♣7, ♥6, ♣7, ♠8, ♥Q | pair
♣7, ♥6, ♣7, ♥J, ♠2 | pair
♣7, ♥6, ♣7, ♥J, ♦10 | pair
♣7, ♥6, ♣7, ♥J, ♣2 | pair
♣7, ♥6, ♣7, ♥J, ♥Q | pair
♣7, ♥6, ♣7, ♠2, ♦10 | pair
♣7, ♥6, ♣7, ♠2, ♣2 | two pairs
♣7, ♥6, ♣7, ♠2, ♥Q | pair
♣7, ♥6, ♣7, ♦10, ♣2 | pair
♣7, ♥6, ♣7, ♦10, ♥Q | pair
♣7, ♥6, ♣7, ♣2, ♥Q | pair
♣7, ♥6, ♠3, ♦8, ♠8 | pair
♣7, ♥6, ♠3, ♦2, ♠2 | pair
♣7, ♥6, ♠3, ♦2, ♣2 | pair
♣7, ♥6, ♠3, ♠2, ♣2 | pair
♣7, ♥6, ♦8, ♦2, ♠8 | pair
♣7, ♥6, ♦8, ♦2, ♠2 | pair
♣7, ♥6, ♦8, ♦2, ♣2 | pair
♣7, ♥6, ♦8, ♠8, ♥J | pair
♣7, ♥6, ♦8, ♠8, ♠2 | pair
♣7, ♥6, ♦8, ♠8, ♦10 | pair
♣7, ♥6, ♦8, ♠8, ♣2 | pair
♣7, ♥6, ♦8, ♠8, ♥Q | pair
♣7, ♥6, ♦8, ♠2, ♣2 | pair
♣7, ♥6, ♦2, ♠8, ♠2 | pair
♣7, ♥6, ♦2, ♠8, ♣2 | pair
♣7, ♥6, ♦2, ♥J, ♠2 | pair
♣7, ♥6, ♦2, ♥J, ♣2 | pair
♣7, ♥6, ♦2, ♠2, ♦10 | pair
♣7, ♥6, ♦2, ♠2, ♣2 | three of a kind
♣7, ♥6, ♦2, ♠2, ♥Q | pair
♣7, ♥6, ♦2, ♦10, ♣2 | pair
♣7, ♥6, ♦2, ♣2, ♥Q | pair
♣7, ♥6, ♠8, ♠2, ♣2 | pair
♣7, ♥6, ♥J, ♠2, ♣2 | pair
♣7, ♥6, ♠2, ♦10, ♣2 | pair
♣7, ♥6, ♠2, ♣2, ♥Q | pair
♣7, ♣3, ♣7, ♠3, ♦8 | two pairs
♣7, ♣3, ♣7, ♠3, ♦2 | two pairs
♣7, ♣3, ♣7, ♠3, ♠8 | two pairs
♣7, ♣3, ♣7, ♠3, ♥J | two pairs
♣7, ♣3, ♣7, ♠3, ♠2 | two pairs
♣7, ♣3, ♣7, ♠3, ♦10 | two pairs
♣7, ♣3, ♣7, ♠3, ♣2 | two pairs
♣7, ♣3, ♣7, ♠3, ♥Q | two pairs
♣7, ♣3, ♣7, ♦8, ♦2 | pair
♣7, ♣3, ♣7, ♦8, ♠8 | two pairs
♣7, ♣3, ♣7, ♦8, ♥J | pair
♣7, ♣3, ♣7, ♦8, ♠2 | pair
♣7, ♣3, ♣7, ♦8, ♦10 | pair
♣7, ♣3, ♣7, ♦8, ♣2 | pair
♣7, ♣3, ♣7, ♦8, ♥Q | pair
♣7, ♣3, ♣7, ♦2, ♠8 | pair
♣7, ♣3, ♣7, ♦2, ♥J | pair
♣7, ♣3, ♣7, ♦2, ♠2 | two pairs
♣7, ♣3, ♣7, ♦2, ♦10 | pair
♣7, ♣3, ♣7, ♦2, ♣2 | two pairs
♣7, ♣3, ♣7, ♦2, ♥Q | pair
♣7, ♣3, ♣7, ♠8, ♥J | pair
♣7, ♣3, ♣7, ♠8, ♠2 | pair
♣7, ♣3, ♣7, ♠8, ♦10 | pair
♣7, ♣3, ♣7, ♠8, ♣2 | pair
