♠J, ♥7, ♣10, ♣2, ♠J | pair
♠J, ♣2, ♣J, ♠10, ♥3 | pair
♠J, ♣2, ♣J, ♠10, ♠6 | pair
♠J, ♣2, ♣J, ♠10, ♦8 | pair
♠J, ♣2, ♣J, ♠10, ♣4 | pair
♠J, ♣2, ♣J, ♥3, ♠6 | pair
♠J, ♣2, ♣J, ♥3, ♦8 | pair
♠J, ♣2, ♣J, ♥3, ♣4 | pair
♠J, ♣2, ♣J, ♠6, ♦8 | pair
♠J, ♣2, ♣J, ♠6, ♣4 | pair
♠J, ♣2, ♣J, ♦8, ♣4 | pair
♠J, ♣Q, ♠J, ♠5, ♥8 | pair
♠J, ♣Q, ♠J, ♠5, ♠Q | two pairs
♠J, ♣Q, ♠J, ♠5, ♠3 | pair
♠J, ♣Q, ♠J, ♠5, ♣J | three of a kind
♠J, ♣Q, ♠J, ♠5, ♠10 | pair
♠J, ♣Q, ♠J, ♠5, ♥3 | pair
♠J, ♣Q, ♠J, ♠5, ♠6 | pair
♠J, ♣Q, ♠J, ♠5, ♦8 | pair
♠J, ♣Q, ♠J, ♠5, ♣4 | pair
♠J, ♣Q, ♠J, ♥8, ♠Q | two pairs
♠J, ♣Q, ♠J, ♥8, ♠3 | pair
♠J, ♣Q, ♠J, ♥8, ♣J | three of a kind
♠J, ♣Q, ♠J, ♥8, ♠10 | pair
♠J, ♣Q, ♠J, ♥8, ♥3 | pair
♠J, ♣Q, ♠J, ♥8, ♠6 | pair
♠J, ♣Q, ♠J, ♥8, ♦8 | two pairs
♠J, ♣Q, ♠J, ♥8, ♣4 | pair
♠J, ♣Q, ♠J, ♠Q, ♠3 | two pairs
♠J, ♣Q, ♠J, ♠Q, ♣J | fullhouse
♠J, ♣Q, ♠J, ♠Q, ♠10 | two pairs
♠J, ♣Q, ♠J, ♠Q, ♥3 | two pairs
♠J, ♣Q, ♠J, ♠Q, ♠6 | two pairs
♠J, ♣Q, ♠J, ♠Q, ♦8 | two pairs
♠J, ♣Q, ♠J, ♠Q, ♣4 | two pairs
♠J, ♣Q, ♠J, ♠3, ♣J | three of a kind
♠J, ♣Q, ♠J, ♠3, ♠10 | pair
♠J, ♣Q, ♠J, ♠3, ♥3 | two pairs
♠J, ♣Q, ♠J, ♠3, ♠6 | pair
♠J, ♣Q, ♠J, ♠3, ♦8 | pair
♠J, ♣Q, ♠J, ♠3, ♣4 | pair
♠J, ♣Q, ♠J, ♣J, ♠10 | three of a kind
♠J, ♣Q, ♠J, ♣J, ♥3 | three of a kind
♠J, ♣Q, ♠J, ♣J, ♠6 | three of a kind
♠J, ♣Q, ♠J, ♣J, ♦8 | three of a kind
♠J, ♣Q, ♠J, ♣J, ♣4 | three of a kind
♠J, ♣Q, ♠J, ♠10, ♥3 | pair
♠J, ♣Q, ♠J, ♠10, ♠6 | pair
♠J, ♣Q, ♠J, ♠10, ♦8 | pair
♠J, ♣Q, ♠J, ♠10, ♣4 | pair
♠J, ♣Q, ♠J, ♥3, ♠6 | pair
♠J, ♣Q, ♠J, ♥3, ♦8 | pair
♠J, ♣Q, ♠J, ♥3, ♣4 | pair
♠J, ♣Q, ♠J, ♠6, ♦8 | pair
♠J, ♣Q, ♠J, ♠6, ♣4 | pair
♠J, ♣Q, ♠J, ♦8, ♣4 | pair
♠J, ♣Q, ♠5, ♥8, ♠Q | pair
♠J, ♣Q, ♠5, ♥8, ♣J | pair
♠J, ♣Q, ♠5, ♥8, ♦8 | pair
♠J, ♣Q, ♠5, ♠Q, ♠3 | pair
♠J, ♣Q, ♠5, ♠Q, ♣J | two pairs
♠J, ♣Q, ♠5, ♠Q, ♠10 | pair
♠J, ♣Q, ♠5, ♠Q, ♥3 | pair
♠J, ♣Q, ♠5, ♠Q, ♠6 | pair
♠J, ♣Q, ♠5, ♠Q, ♦8 | pair
♠J, ♣Q, ♠5, ♠Q, ♣4 | pair
♠J, ♣Q, ♠5, ♠3, ♣J | pair
♠J, ♣Q, ♠5, ♠3, ♥3 | pair
♠J, ♣Q, ♠5, ♣J, ♠10 | pair
♠J, ♣Q, ♠5, ♣J, ♥3 | pair
♠J, ♣Q, ♠5, ♣J, ♠6 | pair
♠J, ♣Q, ♠5, ♣J, ♦8 | pair
♠J, ♣Q, ♠5, ♣J, ♣4 | pair
♠J, ♣Q, ♥8, ♠Q, ♠3 | pair
♠J, ♣Q, ♥8, ♠Q, ♣J | two pairs
♠J, ♣Q, ♥8, ♠Q, ♠10 | pair
♠J, ♣Q, ♥8, ♠Q, ♥3 | pair
♠J, ♣Q, ♥8, ♠Q, ♠6 | pair
♠J, ♣Q, ♥8, ♠Q, ♦8 | two pairs
♠J, ♣Q, ♥8, ♠Q, ♣4 | pair
♠J, ♣Q, ♥8, ♠3, ♣J | pair
♠J, ♣Q, ♥8, ♠3, ♥3 | pair
♠J, ♣Q, ♥8, ♠3, ♦8 | pair
♠J, ♣Q, ♥8, ♣J, ♠10 | pair
♠J, ♣Q, ♥8, ♣J, ♥3 | pair
♠J, ♣Q, ♥8, ♣J, ♠6 | pair
♠J, ♣Q, ♥8, ♣J, ♦8 | two pairs
♠J, ♣Q, ♥8, ♣J, ♣4 | pair
♠J, ♣Q, ♥8, ♠10, ♦8 | pair
♠J, ♣Q, ♥8, ♥3, ♦8 | pair
♠J, ♣Q, ♥8, ♠6, ♦8 | pair
♠J, ♣Q, ♥8, ♦8, ♣4 | pair
♠J, ♣Q, ♠Q, ♠3, ♣J | two pairs
♠J, ♣Q, ♠Q, ♠3, ♠10 | pair
♠J, ♣Q, ♠Q, ♠3, ♥3 | two pairs
♠J, ♣Q, ♠Q, ♠3, ♠6 | pair
♠J, ♣Q, ♠Q, ♠3, ♦8 | pair
♠J, ♣Q, ♠Q, ♠3, ♣4 | pair
♠J, ♣Q, ♠Q, ♣J, ♠10 | two pairs
♠J, ♣Q, ♠Q, ♣J, ♥3 | two pairs
♠J, ♣Q, ♠Q, ♣J, ♠6 | two pairs
♠J, ♣Q, ♠Q, ♣J, ♦8 | two pairs
♠J, ♣Q, ♠Q, ♣J, ♣4 | two pairs
♠J, ♣Q, ♠Q, ♠10, ♥3 | pair
♠J, ♣Q, ♠Q, ♠10, ♠6 | pair
♠J, ♣Q, ♠Q, ♠10, ♦8 | pair
♠J, ♣Q, ♠Q, ♠10, ♣4 | pair
♠J, ♣Q, ♠Q, ♥3, ♠6 | pair
♠J, ♣Q, ♠Q, ♥3, ♦8 | pair
♠J, ♣Q, ♠Q, ♥3, ♣4 | pair
♠J, ♣Q, ♠Q, ♠6, ♦8 | pair
♠J, ♣Q, ♠Q, ♠6, ♣4 | pair
♠J, ♣Q, ♠Q, ♦8, ♣4 | pair
♠J, ♣Q, ♠3, ♣J, ♠10 | pair
♠J, ♣Q, ♠3, ♣J, ♥3 | two pairs
♠J, ♣Q, ♠3, ♣J, ♠6 | pair
♠J, ♣Q, ♠3, ♣J, ♦8 | pair
♠J, ♣Q, ♠3, ♣J, ♣4 | pair
♠J, ♣Q, ♠3, ♠10, ♥3 | pair
♠J, ♣Q, ♠3, ♥3, ♠6 | pair
♠J, ♣Q, ♠3, ♥3, ♦8 | pair
♠J, ♣Q, ♠3, ♥3, ♣4 | pair
♠J, ♣Q, ♣J, ♠10, ♥3 | pair
♠J, ♣Q, ♣J, ♠10, ♠6 | pair
♠J, ♣Q, ♣J, ♠10, ♦8 | pair
♠J, ♣Q, ♣J, ♠10, ♣4 | pair
♠J, ♣Q, ♣J, ♥3, ♠6 | pair
♠J, ♣Q, ♣J, ♥3, ♦8 | pair
♠J, ♣Q, ♣J, ♥3, ♣4 | pair
♠J, ♣Q, ♣J, ♠6, ♦8 | pair
♠J, ♣Q, ♣J, ♠6, ♣4 | pair
♠J, ♣Q, ♣J, ♦8, ♣4 | pair
♠J, ♠J, ♠5, ♥8, ♠Q | pair
♠J, ♠J, ♠5, ♥8, ♠3 | pair
♠J, ♠J, ♠5, ♥8, ♣J | three of a kind
♠J, ♠J, ♠5, ♥8, ♠10 | pair
♠J, ♠J, ♠5, ♥8, ♥3 | pair
♠J, ♠J, ♠5, ♥8, ♠6 | pair
♠J, ♠J, ♠5, ♥8, ♦8 | two pairs
♠J, ♠J, ♠5, ♥8, ♣4 | pair
♠J, ♠J, ♠5, ♠Q, ♠3 | flush
♠J, ♠J, ♠5, ♠Q, ♣J | three of a kind
♠J, ♠J, ♠5, ♠Q, ♠10 | flush
♠J, ♠J, ♠5, ♠Q, ♥3 | pair
♠J, ♠J, ♠5, ♠Q, ♠6 | flush
♠J, ♠J, ♠5, ♠Q, ♦8 | pair
♠J, ♠J, ♠5, ♠Q, ♣4 | pair
♠J, ♠J, ♠5, ♠3, ♣J | three of a kind
♠J, ♠J, ♠5, ♠3, ♠10 | flush
♠J, ♠J, ♠5, ♠3, ♥3 | two pairs
♠J, ♠J, ♠5, ♠3, ♠6 | flush
♠J, ♠J, ♠5, ♠3, ♦8 | pair
♠J, ♠J, ♠5, ♠3, ♣4 | pair
♠J, ♠J, ♠5, ♣J, ♠10 | three of a kind
♠J, ♠J, ♠5, ♣J, ♥3 | three of a kind
♠J, ♠J, ♠5, ♣J, ♠6 | three of a kind
♠J, ♠J, ♠5, ♣J, ♦8 | three of a kind
♠J, ♠J, ♠5, ♣J, ♣4 | three of a kind
♠J, ♠J, ♠5, ♠10, ♥3 | pair
♠J, ♠J, ♠5, ♠10, ♠6 | flush
♠J, ♠J, ♠5, ♠10, ♦8 | pair
♠J, ♠J, ♠5, ♠10, ♣4 | pair
♠J, ♠J, ♠5, ♥3, ♠6 | pair
♠J, ♠J, ♠5, ♥3, ♦8 | pair
♠J, ♠J, ♠5, ♥3, ♣4 | pair
♠J, ♠J, ♠5, ♠6, ♦8 | pair
♠J, ♠J, ♠5, ♠6, ♣4 | pair
♠J, ♠J, ♠5, ♦8, ♣4 | pair
♠J, ♠J, ♥8, ♠Q, ♠3 | pair
♠J, ♠J, ♥8, ♠Q, ♣J | three of a kind
♠J, ♠J, ♥8, ♠Q, ♠10 | pair
♠J, ♠J, ♥8, ♠Q, ♥3 | pair
♠J, ♠J, ♥8, ♠Q, ♠6 | pair
♠J, ♠J, ♥8, ♠Q, ♦8 | two pairs
♠J, ♠J, ♥8, ♠Q, ♣4 | pair
♠J, ♠J, ♥8, ♠3, ♣J | three of a kind
♠J, ♠J, ♥8, ♠3, ♠10 | pair
♠J, ♠J, ♥8, ♠3, ♥3 | two pairs
♠J, ♠J, ♥8, ♠3, ♠6 | pair
♠J, ♠J, ♥8, ♠3, ♦8 | two pairs
♠J, ♠J, ♥8, ♠3, ♣4 | pair
♠J, ♠J, ♥8, ♣J, ♠10 | three of a kind
♠J, ♠J, ♥8, ♣J, ♥3 | three of a kind
♠J, ♠J, ♥8, ♣J, ♠6 | three of a kind
♠J, ♠J, ♥8, ♣J, ♦8 | fullhouse
♠J, ♠J, ♥8, ♣J, ♣4 | three of a kind
♠J, ♠J, ♥8, ♠10, ♥3 | pair
♠J, ♠J, ♥8, ♠10, ♠6 | pair
♠J, ♠J, ♥8, ♠10, ♦8 | two pairs
♠J, ♠J, ♥8, ♠10, ♣4 | pair
♠J, ♠J, ♥8, ♥3, ♠6 | pair
♠J, ♠J, ♥8, ♥3, ♦8 | two pairs
♠J, ♠J, ♥8, ♥3, ♣4 | pair
♠J, ♠J, ♥8, ♠6, ♦8 | two pairs
♠J, ♠J, ♥8, ♠6, ♣4 | pair
♠J, ♠J, ♥8, ♦8, ♣4 | two pairs
♠J, ♠J, ♠Q, ♠3, ♣J | three of a kind
♠J, ♠J, ♠Q, ♠3, ♠10 | flush
♠J, ♠J, ♠Q, ♠3, ♥3 | two pairs
♠J, ♠J, ♠Q, ♠3, ♠6 | flush
♠J, ♠J, ♠Q, ♠3, ♦8 | pair
♠J, ♠J, ♠Q, ♠3, ♣4 | pair
♠J, ♠J, ♠Q, ♣J, ♠10 | three of a kind
♠J, ♠J, ♠Q, ♣J, ♥3 | three of a kind
♠J, ♠J, ♠Q, ♣J, ♠6 | three of a kind
♠J, ♠J, ♠Q, ♣J, ♦8 | three of a kind
♠J, ♠J, ♠Q, ♣J, ♣4 | three of a kind
♠J, ♠J, ♠Q, ♠10, ♥3 | pair
♠J, ♠J, ♠Q, ♠10, ♠6 | flush
♠J, ♠J, ♠Q, ♠10, ♦8 | pair
♠J, ♠J, ♠Q, ♠10, ♣4 | pair
♠J, ♠J, ♠Q, ♥3, ♠6 | pair
♠J, ♠J, ♠Q, ♥3, ♦8 | pair
♠J, ♠J, ♠Q, ♥3, ♣4 | pair
♠J, ♠J, ♠Q, ♠6, ♦8 | pair
♠J, ♠J, ♠Q, ♠6, ♣4 | pair
♠J, ♠J, ♠Q, ♦8, ♣4 | pair
♠J, ♠J, ♠3, ♣J, ♠10 | three of a kind
♠J, ♠J, ♠3, ♣J, ♥3 | fullhouse
♠J, ♠J, ♠3, ♣J, ♠6 | three of a kind
♠J, ♠J, ♠3, ♣J, ♦8 | three of a kind
♠J, ♠J, ♠3, ♣J, ♣4 | three of a kind
♠J, ♠J, ♠3, ♠10, ♥3 | two pairs
♠J, ♠J, ♠3, ♠10, ♠6 | flush
♠J, ♠J, ♠3, ♠10, ♦8 | pair
♠J, ♠J, ♠3, ♠10, ♣4 | pair
♠J, ♠J, ♠3, ♥3, ♠6 | two pairs
♠J, ♠J, ♠3, ♥3, ♦8 | two pairs
♠J, ♠J, ♠3, ♥3, ♣4 | two pairs
♠J, ♠J, ♠3, ♠6, ♦8 | pair
♠J, ♠J, ♠3, ♠6, ♣4 | pair
♠J, ♠J, ♠3, ♦8, ♣4 | pair
♠J, ♠J, ♣J, ♠10, ♥3 | three of a kind
♠J, ♠J, ♣J, ♠10, ♠6 | three of a kind
♠J, ♠J, ♣J, ♠10, ♦8 | three of a kind
♠J, ♠J, ♣J, ♠10, ♣4 | three of a kind
♠J, ♠J, ♣J, ♥3, ♠6 | three of a kind
♠J, ♠J, ♣J, ♥3, ♦8 | three of a kind
♠J, ♠J, ♣J, ♥3, ♣4 | three of a kind
♠J, ♠J, ♣J, ♠6, ♦8 | three of a kind
♠J, ♠J, ♣J, ♠6, ♣4 | three of a kind
♠J, ♠J, ♣J, ♦8, ♣4 | three of a kind
♠J, ♠J, ♠10, ♥3, ♠6 | pair
♠J, ♠J, ♠10, ♥3, ♦8 | pair
♠J, ♠J, ♠10, ♥3, ♣4 | pair
♠J, ♠J, ♠10, ♠6, ♦8 | pair
♠J, ♠J, ♠10, ♠6, ♣4 | pair
♠J, ♠J, ♠10, ♦8, ♣4 | pair
♠J, ♠J, ♥3, ♠6, ♦8 | pair
♠J, ♠J, ♥3, ♠6, ♣4 | pair
♠J, ♠J, ♥3, ♦8, ♣4 | pair
♠J, ♠J, ♠6, ♦8, ♣4 | pair
♠J, ♠5, ♥8, ♠Q, ♣J | pair
♠J, ♠5, ♥8, ♠Q, ♦8 | pair
♠J, ♠5, ♥8, ♠3, ♣J | pair
♠J, ♠5, ♥8, ♠3, ♥3 | pair
♠J, ♠5, ♥8, ♠3, ♦8 | pair
♠J, ♠5, ♥8, ♣J, ♠10 | pair
♠J, ♠5, ♥8, ♣J, ♥3 | pair
♠J, ♠5, ♥8, ♣J, ♠6 | pair
♠J, ♠5, ♥8, ♣J, ♦8 | two pairs
♠J, ♠5, ♥8, ♣J, ♣4 | pair
♠J, ♠5, ♥8, ♠10, ♦8 | pair
♠J, ♠5, ♥8, ♥3, ♦8 | pair
♠J, ♠5, ♥8, ♠6, ♦8 | pair
♠J, ♠5, ♥8, ♦8, ♣4 | pair
♠J, ♠5, ♠Q, ♠3, ♣J | pair
♠J, ♠5, ♠Q, ♠3, ♠10 | flush
♠J, ♠5, ♠Q, ♠3, ♥3 | pair
♠J, ♠5, ♠Q, ♠3, ♠6 | flush
♠J, ♠5, ♠Q, ♣J, ♠10 | pair
♠J, ♠5, ♠Q, ♣J, ♥3 | pair
♠J, ♠5, ♠Q, ♣J, ♠6 | pair
♠J, ♠5, ♠Q, ♣J, ♦8 | pair
♠J, ♠5, ♠Q, ♣J, ♣4 | pair
♠J, ♠5, ♠Q, ♠10, ♠6 | flush
♠J, ♠5, ♠3, ♣J, ♠10 | pair
♠J, ♠5, ♠3, ♣J, ♥3 | two pairs
♠J, ♠5, ♠3, ♣J, ♠6 | pair
♠J, ♠5, ♠3, ♣J, ♦8 | pair
♠J, ♠5, ♠3, ♣J, ♣4 | pair
♠J, ♠5, ♠3, ♠10, ♥3 | pair
♠J, ♠5, ♠3, ♠10, ♠6 | flush
♠J, ♠5, ♠3, ♥3, ♠6 | pair
♠J, ♠5, ♠3, ♥3, ♦8 | pair
♠J, ♠5, ♠3, ♥3, ♣4 | pair
♠J, ♠5, ♣J, ♠10, ♥3 | pair
♠J, ♠5, ♣J, ♠10, ♠6 | pair
♠J, ♠5, ♣J, ♠10, ♦8 | pair
♠J, ♠5, ♣J, ♠10, ♣4 | pair
♠J, ♠5, ♣J, ♥3, ♠6 | pair
♠J, ♠5, ♣J, ♥3, ♦8 | pair
♠J, ♠5, ♣J, ♥3, ♣4 | pair
♠J, ♠5, ♣J, ♠6, ♦8 | pair
♠J, ♠5, ♣J, ♠6, ♣4 | pair
♠J, ♠5, ♣J, ♦8, ♣4 | pair
♠J, ♥8, ♠Q, ♠3, ♣J | pair
♠J, ♥8, ♠Q, ♠3, ♥3 | pair
♠J, ♥8, ♠Q, ♠3, ♦8 | pair
♠J, ♥8, ♠Q, ♣J, ♠10 | pair
♠J, ♥8, ♠Q, ♣J, ♥3 | pair
♠J, ♥8, ♠Q, ♣J, ♠6 | pair
♠J, ♥8, ♠Q, ♣J, ♦8 | two pairs
♠J, ♥8, ♠Q, ♣J, ♣4 | pair
♠J, ♥8, ♠Q, ♠10, ♦8 | pair
♠J, ♥8, ♠Q, ♥3, ♦8 | pair
♠J, ♥8, ♠Q, ♠6, ♦8 | pair
♠J, ♥8, ♠Q, ♦8, ♣4 | pair
♠J, ♥8, ♠3, ♣J, ♠10 | pair
♠J, ♥8, ♠3, ♣J, ♥3 | two pairs
♠J, ♥8, ♠3, ♣J, ♠6 | pair
♠J, ♥8, ♠3, ♣J, ♦8 | two pairs
♠J, ♥8, ♠3, ♣J, ♣4 | pair
♠J, ♥8, ♠3, ♠10, ♥3 | pair
♠J, ♥8, ♠3, ♠10, ♦8 | pair
♠J, ♥8, ♠3, ♥3, ♠6 | pair
♠J, ♥8, ♠3, ♥3, ♦8 | two pairs
♠J, ♥8, ♠3, ♥3, ♣4 | pair
♠J, ♥8, ♠3, ♠6, ♦8 | pair
♠J, ♥8, ♠3, ♦8, ♣4 | pair
♠J, ♥8, ♣J, ♠10, ♥3 | pair
♠J, ♥8, ♣J, ♠10, ♠6 | pair
♠J, ♥8, ♣J, ♠10, ♦8 | two pairs
♠J, ♥8, ♣J, ♠10, ♣4 | pair
♠J, ♥8, ♣J, ♥3, ♠6 | pair
♠J, ♥8, ♣J, ♥3, ♦8 | two pairs
♠J, ♥8, ♣J, ♥3, ♣4 | pair
♠J, ♥8, ♣J, ♠6, ♦8 | two pairs
♠J, ♥8, ♣J, ♠6, ♣4 | pair
♠J, ♥8, ♣J, ♦8, ♣4 | two pairs
♠J, ♥8, ♠10, ♥3, ♦8 | pair
♠J, ♥8, ♠10, ♠6, ♦8 | pair
♠J, ♥8, ♠10, ♦8, ♣4 | pair
♠J, ♥8, ♥3, ♠6, ♦8 | pair
♠J, ♥8, ♥3, ♦8, ♣4 | pair
♠J, ♥8, ♠6, ♦8, ♣4 | pair
♠J, ♠Q, ♠3, ♣J, ♠10 | pair
♠J, ♠Q, ♠3, ♣J, ♥3 | two pairs
♠J, ♠Q, ♠3, ♣J, ♠6 | pair
♠J, ♠Q, ♠3, ♣J, ♦8 | pair
♠J, ♠Q, ♠3, ♣J, ♣4 | pair
♠J, ♠Q, ♠3, ♠10, ♥3 | pair
♠J, ♠Q, ♠3, ♠10, ♠6 | flush
♠J, ♠Q, ♠3, ♥3, ♠6 | pair
♠J, ♠Q, ♠3, ♥3, ♦8 | pair
♠J, ♠Q, ♠3, ♥3, ♣4 | pair
♠J, ♠Q, ♣J, ♠10, ♥3 | pair
♠J, ♠Q, ♣J, ♠10, ♠6 | pair
♠J, ♠Q, ♣J, ♠10, ♦8 | pair
♠J, ♠Q, ♣J, ♠10, ♣4 | pair
♠J, ♠Q, ♣J, ♥3, ♠6 | pair
♠J, ♠Q, ♣J, ♥3, ♦8 | pair
♠J, ♠Q, ♣J, ♥3, ♣4 | pair
♠J, ♠Q, ♣J, ♠6, ♦8 | pair
♠J, ♠Q, ♣J, ♠6, ♣4 | pair
♠J, ♠Q, ♣J, ♦8, ♣4 | pair
♠J, ♠3, ♣J, ♠10, ♥3 | two pairs
♠J, ♠3, ♣J, ♠10, ♠6 | pair
♠J, ♠3, ♣J, ♠10, ♦8 | pair
♠J, ♠3, ♣J, ♠10, ♣4 | pair
♠J, ♠3, ♣J, ♥3, ♠6 | two pairs
♠J, ♠3, ♣J, ♥3, ♦8 | two pairs
♠J, ♠3, ♣J, ♥3, ♣4 | two pairs
♠J, ♠3, ♣J, ♠6, ♦8 | pair
♠J, ♠3, ♣J, ♠6, ♣4 | pair
♠J, ♠3, ♣J, ♦8, ♣4 | pair
♠J, ♠3, ♠10, ♥3, ♠6 | pair
♠J, ♠3, ♠10, ♥3, ♦8 | pair
♠J, ♠3, ♠10, ♥3, ♣4 | pair
♠J, ♠3, ♥3, ♠6, ♦8 | pair
♠J, ♠3, ♥3, ♠6, ♣4 | pair
♠J, ♠3, ♥3, ♦8, ♣4 | pair
♠J, ♣J, ♠10, ♥3, ♠6 | pair
♠J, ♣J, ♠10, ♥3, ♦8 | pair
♠J, ♣J, ♠10, ♥3, ♣4 | pair
♠J, ♣J, ♠10, ♠6, ♦8 | pair
♠J, ♣J, ♠10, ♠6, ♣4 | pair
♠J, ♣J, ♠10, ♦8, ♣4 | pair
♠J, ♣J, ♥3, ♠6, ♦8 | pair
♠J, ♣J, ♥3, ♠6, ♣4 | pair
♠J, ♣J, ♥3, ♦8, ♣4 | pair
♠J, ♣J, ♠6, ♦8, ♣4 | pair
♥7, ♣10, ♣2, ♣Q, ♠Q | pair
♥7, ♣10, ♣2, ♣Q, ♠10 | pair
♥7, ♣10, ♣2, ♠J, ♣J | pair
♥7, ♣10, ♣2, ♠J, ♠10 | pair
♥7, ♣10, ♣2, ♠5, ♠10 | pair
♥7, ♣10, ♣2, ♥8, ♠10 | pair
♥7, ♣10, ♣2, ♥8, ♦8 | pair
♥7, ♣10, ♣2, ♠Q, ♠10 | pair
♥7, ♣10, ♣2, ♠3, ♠10 | pair
♥7, ♣10, ♣2, ♠3, ♥3 | pair
♥7, ♣10, ♣2, ♣J, ♠10 | pair
♥7, ♣10, ♣2, ♠10, ♥3 | pair
♥7, ♣10, ♣2, ♠10, ♠6 | pair
♥7, ♣10, ♣2, ♠10, ♦8 | pair
♥7, ♣10, ♣2, ♠10, ♣4 | pair
♥7, ♣10, ♣Q, ♠J, ♠Q | pair
♥7, ♣10, ♣Q, ♠J, ♣J | pair
♥7, ♣10, ♣Q, ♠J, ♠10 | pair
♥7, ♣10, ♣Q, ♠5, ♠Q | pair
♥7, ♣10, ♣Q, ♠5, ♠10 | pair
♥7, ♣10, ♣Q, ♥8, ♠Q | pair
♥7, ♣10, ♣Q, ♥8, ♠10 | pair
♥7, ♣10, ♣Q, ♥8, ♦8 | pair
♥7, ♣10, ♣Q, ♠Q, ♠3 | pair
♥7, ♣10, ♣Q, ♠Q, ♣J | pair
♥7, ♣10, ♣Q, ♠Q, ♠10 | two pairs
♥7, ♣10, ♣Q, ♠Q, ♥3 | pair
♥7, ♣10, ♣Q, ♠Q, ♠6 | pair
♥7, ♣10, ♣Q, ♠Q, ♦8 | pair
♥7, ♣10, ♣Q, ♠Q, ♣4 | pair
♥7, ♣10, ♣Q, ♠3, ♠10 | pair
♥7, ♣10, ♣Q, ♠3, ♥3 | pair
♥7, ♣10, ♣Q, ♣J, ♠10 | pair
♥7, ♣10, ♣Q, ♠10, ♥3 | pair
♥7, ♣10, ♣Q, ♠10, ♠6 | pair
♥7, ♣10, ♣Q, ♠10, ♦8 | pair
♥7, ♣10, ♣Q, ♠10, ♣4 | pair
♥7, ♣10, ♠J, ♠5, ♣J | pair
♥7, ♣10, ♠J, ♠5, ♠10 | pair
♥7, ♣10, ♠J, ♥8, ♣J | pair
♥7, ♣10, ♠J, ♥8, ♠10 | pair
♥7, ♣10, ♠J, ♥8, ♦8 | pair
♥7, ♣10, ♠J, ♠Q, ♣J | pair
♥7, ♣10, ♠J, ♠Q, ♠10 | pair
♥7, ♣10, ♠J, ♠3, ♣J | pair
♥7, ♣10, ♠J, ♠3, ♠10 | pair
♥7, ♣10, ♠J, ♠3, ♥3 | pair
♥7, ♣10, ♠J, ♣J, ♠10 | two pairs
♥7, ♣10, ♠J, ♣J, ♥3 | pair
♥7, ♣10, ♠J, ♣J, ♠6 | pair
♥7, ♣10, ♠J, ♣J, ♦8 | pair
♥7, ♣10, ♠J, ♣J, ♣4 | pair
♥7, ♣10, ♠J, ♠10, ♥3 | pair
♥7, ♣10, ♠J, ♠10, ♠6 | pair
♥7, ♣10, ♠J, ♠10, ♦8 | pair
♥7, ♣10, ♠J, ♠10, ♣4 | pair
♥7, ♣10, ♠5, ♥8, ♠10 | pair
♥7, ♣10, ♠5, ♥8, ♦8 | pair
♥7, ♣10, ♠5, ♠Q, ♠10 | pair
♥7, ♣10, ♠5, ♠3, ♠10 | pair
♥7, ♣10, ♠5, ♠3, ♥3 | pair
♥7, ♣10, ♠5, ♣J, ♠10 | pair
♥7, ♣10, ♠5, ♠10, ♥3 | pair
♥7, ♣10, ♠5, ♠10, ♠6 | pair
♥7, ♣10, ♠5, ♠10, ♦8 | pair
♥7, ♣10, ♠5, ♠10, ♣4 | pair
♥7, ♣10, ♥8, ♠Q, ♠10 | pair
♥7, ♣10, ♥8, ♠Q, ♦8 | pair
♥7, ♣10, ♥8, ♠3, ♠10 | pair
♥7, ♣10, ♥8, ♠3, ♥3 | pair
♥7, ♣10, ♥8, ♠3, ♦8 | pair
♥7, ♣10, ♥8, ♣J, ♠10 | pair
♥7, ♣10, ♥8, ♣J, ♦8 | pair
♥7, ♣10, ♥8, ♠10, ♥3 | pair
♥7, ♣10, ♥8, ♠10, ♠6 | pair
♥7, ♣10, ♥8, ♠10, ♦8 | two pairs
♥7, ♣10, ♥8, ♠10, ♣4 | pair
♥7, ♣10, ♥8, ♥3, ♦8 | pair
♥7, ♣10, ♥8, ♠6, ♦8 | pair
♥7, ♣10, ♥8, ♦8, ♣4 | pair
♥7, ♣10, ♠Q, ♠3, ♠10 | pair
♥7, ♣10, ♠Q, ♠3, ♥3 | pair
♥7, ♣10, ♠Q, ♣J, ♠10 | pair
♥7, ♣10, ♠Q, ♠10, ♥3 | pair
♥7, ♣10, ♠Q, ♠10, ♠6 | pair
♥7, ♣10, ♠Q, ♠10, ♦8 | pair
♥7, ♣10, ♠Q, ♠10, ♣4 | pair
♥7, ♣10, ♠3, ♣J, ♠10 | pair
♥7, ♣10, ♠3, ♣J, ♥3 | pair
♥7, ♣10, ♠3, ♠10, ♥3 | two pairs
♥7, ♣10, ♠3, ♠10, ♠6 | pair
♥7, ♣10, ♠3, ♠10, ♦8 | pair
♥7, ♣10, ♠3, ♠10, ♣4 | pair
♥7, ♣10, ♠3, ♥3, ♠6 | pair
♥7, ♣10, ♠3, ♥3, ♦8 | pair
♥7, ♣10, ♠3, ♥3, ♣4 | pair
♥7, ♣10, ♣J, ♠10, ♥3 | pair
♥7, ♣10, ♣J, ♠10, ♠6 | pair
♥7, ♣10, ♣J, ♠10, ♦8 | pair
♥7, ♣10, ♣J, ♠10, ♣4 | pair
