♠K, ♣7, ♠9, ♦3, ♠9 | pair
♠9, ♦3, ♦8, ♠9, ♦J | pair
♠9, ♦3, ♦8, ♥8, ♣Q | pair
♠9, ♦3, ♦8, ♥8, ♦J | pair
♠9, ♦3, ♣5, ♠J, ♠9 | pair
♠9, ♦3, ♣5, ♠J, ♦J | pair
♠9, ♦3, ♣5, ♣8, ♠9 | pair
♠9, ♦3, ♣5, ♣8, ♥8 | pair
♠9, ♦3, ♣5, ♠9, ♥8 | pair
♠9, ♦3, ♣5, ♠9, ♣Q | pair
♠9, ♦3, ♣5, ♠9, ♦J | pair
♠9, ♦3, ♠J, ♣8, ♠9 | pair
♠9, ♦3, ♠J, ♣8, ♥8 | pair
♠9, ♦3, ♠J, ♣8, ♦J | pair
♠9, ♦3, ♠J, ♠9, ♥8 | pair
♠9, ♦3, ♠J, ♠9, ♣Q | pair
♠9, ♦3, ♠J, ♠9, ♦J | two pairs
♠9, ♦3, ♠J, ♥8, ♦J | pair
♠9, ♦3, ♠J, ♣Q, ♦J | pair
♠9, ♦3, ♣8, ♠9, ♥8 | two pairs
♠9, ♦3, ♣8, ♠9, ♣Q | pair
♠9, ♦3, ♣8, ♠9, ♦J | pair
♠9, ♦3, ♣8, ♥8, ♣Q | pair
♠9, ♦3, ♣8, ♥8, ♦J | pair
♠9, ♦3, ♠9, ♥8, ♣Q | pair
♠9, ♦3, ♠9, ♥8, ♦J | pair
♠9, ♦3, ♠9, ♣Q, ♦J | pair
♠9, ♠10, ♣4, ♦8, ♣8 | pair
♠9, ♠10, ♣4, ♦8, ♠9 | pair
♠9, ♠10, ♣4, ♦8, ♥8 | pair
♠9, ♠10, ♣4, ♣5, ♠9 | pair
♠9, ♠10, ♣4, ♠J, ♠9 | pair
♠9, ♠10, ♣4, ♠J, ♦J | pair
♠9, ♠10, ♣4, ♣8, ♠9 | pair
♠9, ♠10, ♣4, ♣8, ♥8 | pair
♠9, ♠10, ♣4, ♠9, ♥8 | pair
♠9, ♠10, ♣4, ♠9, ♣Q | pair
♠9, ♠10, ♣4, ♠9, ♦J | pair
♠9, ♠10, ♦8, ♣5, ♣8 | pair
♠9, ♠10, ♦8, ♣5, ♠9 | pair
♠9, ♠10, ♦8, ♣5, ♥8 | pair
♠9, ♠10, ♦8, ♠J, ♣8 | pair
♠9, ♠10, ♦8, ♠J, ♠9 | pair
♠9, ♠10, ♦8, ♠J, ♥8 | pair
♠9, ♠10, ♦8, ♠J, ♣Q | straight
♠9, ♠10, ♦8, ♠J, ♦J | pair
♠9, ♠10, ♦8, ♣8, ♠9 | two pairs
♠9, ♠10, ♦8, ♣8, ♥8 | three of a kind
♠9, ♠10, ♦8, ♣8, ♣Q | pair
♠9, ♠10, ♦8, ♣8, ♦J | pair
♠9, ♠10, ♦8, ♠9, ♥8 | two pairs
♠9, ♠10, ♦8, ♠9, ♣Q | pair
♠9, ♠10, ♦8, ♠9, ♦J | pair
♠9, ♠10, ♦8, ♥8, ♣Q | pair
♠9, ♠10, ♦8, ♥8, ♦J | pair
♠9, ♠10, ♦8, ♣Q, ♦J | straight
♠9, ♠10, ♣5, ♠J, ♠9 | pair
♠9, ♠10, ♣5, ♠J, ♦J | pair
♠9, ♠10, ♣5, ♣8, ♠9 | pair
♠9, ♠10, ♣5, ♣8, ♥8 | pair
♠9, ♠10, ♣5, ♠9, ♥8 | pair
♠9, ♠10, ♣5, ♠9, ♣Q | pair
♠9, ♠10, ♣5, ♠9, ♦J | pair
♠9, ♠10, ♠J, ♣8, ♠9 | pair
♠9, ♠10, ♠J, ♣8, ♥8 | pair
♠9, ♠10, ♠J, ♣8, ♣Q | straight
♠9, ♠10, ♠J, ♣8, ♦J | pair
♠9, ♠10, ♠J, ♠9, ♥8 | pair
♠9, ♠10, ♠J, ♠9, ♣Q | pair
♠9, ♠10, ♠J, ♠9, ♦J | two pairs
♠9, ♠10, ♠J, ♥8, ♣Q | straight
♠9, ♠10, ♠J, ♥8, ♦J | pair
♠9, ♠10, ♠J, ♣Q, ♦J | pair
♠9, ♠10, ♣8, ♠9, ♥8 | two pairs
♠9, ♠10, ♣8, ♠9, ♣Q | pair
♠9, ♠10, ♣8, ♠9, ♦J | pair
♠9, ♠10, ♣8, ♥8, ♣Q | pair
♠9, ♠10, ♣8, ♥8, ♦J | pair
♠9, ♠10, ♣8, ♣Q, ♦J | straight
♠9, ♠10, ♠9, ♥8, ♣Q | pair
♠9, ♠10, ♠9, ♥8, ♦J | pair
♠9, ♠10, ♠9, ♣Q, ♦J | pair
♠9, ♠10, ♥8, ♣Q, ♦J | straight
♠9, ♣4, ♦8, ♣5, ♣8 | pair
♠9, ♣4, ♦8, ♣5, ♠9 | pair
♠9, ♣4, ♦8, ♣5, ♥8 | pair
♠9, ♣4, ♦8, ♠J, ♣8 | pair
♠9, ♣4, ♦8, ♠J, ♠9 | pair
♠9, ♣4, ♦8, ♠J, ♥8 | pair
♠9, ♣4, ♦8, ♠J, ♦J | pair
♠9, ♣4, ♦8, ♣8, ♠9 | two pairs
♠9, ♣4, ♦8, ♣8, ♥8 | three of a kind
♠9, ♣4, ♦8, ♣8, ♣Q | pair
♠9, ♣4, ♦8, ♣8, ♦J | pair
♠9, ♣4, ♦8, ♠9, ♥8 | two pairs
♠9, ♣4, ♦8, ♠9, ♣Q | pair
♠9, ♣4, ♦8, ♠9, ♦J | pair
♠9, ♣4, ♦8, ♥8, ♣Q | pair
♠9, ♣4, ♦8, ♥8, ♦J | pair
♠9, ♣4, ♣5, ♠J, ♠9 | pair
♠9, ♣4, ♣5, ♠J, ♦J | pair
♠9, ♣4, ♣5, ♣8, ♠9 | pair
♠9, ♣4, ♣5, ♣8, ♥8 | pair
♠9, ♣4, ♣5, ♠9, ♥8 | pair
♠9, ♣4, ♣5, ♠9, ♣Q | pair
♠9, ♣4, ♣5, ♠9, ♦J | pair
♠9, ♣4, ♠J, ♣8, ♠9 | pair
♠9, ♣4, ♠J, ♣8, ♥8 | pair
♠9, ♣4, ♠J, ♣8, ♦J | pair
♠9, ♣4, ♠J, ♠9, ♥8 | pair
♠9, ♣4, ♠J, ♠9, ♣Q | pair
♠9, ♣4, ♠J, ♠9, ♦J | two pairs
♠9, ♣4, ♠J, ♥8, ♦J | pair
♠9, ♣4, ♠J, ♣Q, ♦J | pair
♠9, ♣4, ♣8, ♠9, ♥8 | two pairs
♠9, ♣4, ♣8, ♠9, ♣Q | pair
♠9, ♣4, ♣8, ♠9, ♦J | pair
♠9, ♣4, ♣8, ♥8, ♣Q | pair
♠9, ♣4, ♣8, ♥8, ♦J | pair
♠9, ♣4, ♠9, ♥8, ♣Q | pair
♠9, ♣4, ♠9, ♥8, ♦J | pair
♠9, ♣4, ♠9, ♣Q, ♦J | pair
♠9, ♦8, ♣5, ♠J, ♣8 | pair
♠9, ♦8, ♣5, ♠J, ♠9 | pair
♠9, ♦8, ♣5, ♠J, ♥8 | pair
♠9, ♦8, ♣5, ♠J, ♦J | pair
♠9, ♦8, ♣5, ♣8, ♠9 | two pairs
♠9, ♦8, ♣5, ♣8, ♥8 | three of a kind
♠9, ♦8, ♣5, ♣8, ♣Q | pair
♠9, ♦8, ♣5, ♣8, ♦J | pair
♠9, ♦8, ♣5, ♠9, ♥8 | two pairs
♠9, ♦8, ♣5, ♠9, ♣Q | pair
♠9, ♦8, ♣5, ♠9, ♦J | pair
♠9, ♦8, ♣5, ♥8, ♣Q | pair
♠9, ♦8, ♣5, ♥8, ♦J | pair
♠9, ♦8, ♠J, ♣8, ♠9 | two pairs
♠9, ♦8, ♠J, ♣8, ♥8 | three of a kind
♠9, ♦8, ♠J, ♣8, ♣Q | pair
♠9, ♦8, ♠J, ♣8, ♦J | two pairs
♠9, ♦8, ♠J, ♠9, ♥8 | two pairs
♠9, ♦8, ♠J, ♠9, ♣Q | pair
♠9, ♦8, ♠J, ♠9, ♦J | two pairs
♠9, ♦8, ♠J, ♥8, ♣Q | pair
♠9, ♦8, ♠J, ♥8, ♦J | two pairs
♠9, ♦8, ♠J, ♣Q, ♦J | pair
♠9, ♦8, ♣8, ♠9, ♥8 | fullhouse
♠9, ♦8, ♣8, ♠9, ♣Q | two pairs
♠9, ♦8, ♣8, ♠9, ♦J | two pairs
♠9, ♦8, ♣8, ♥8, ♣Q | three of a kind
♠9, ♦8, ♣8, ♥8, ♦J | three of a kind
♠9, ♦8, ♣8, ♣Q, ♦J | pair
♠9, ♦8, ♠9, ♥8, ♣Q | two pairs
♠9, ♦8, ♠9, ♥8, ♦J | two pairs
♠9, ♦8, ♠9, ♣Q, ♦J | pair
♠9, ♦8, ♥8, ♣Q, ♦J | pair
♠9, ♣5, ♠J, ♣8, ♠9 | pair
♠9, ♣5, ♠J, ♣8, ♥8 | pair
♠9, ♣5, ♠J, ♣8, ♦J | pair
♠9, ♣5, ♠J, ♠9, ♥8 | pair
♠9, ♣5, ♠J, ♠9, ♣Q | pair
♠9, ♣5, ♠J, ♠9, ♦J | two pairs
♠9, ♣5, ♠J, ♥8, ♦J | pair
♠9, ♣5, ♠J, ♣Q, ♦J | pair
♠9, ♣5, ♣8, ♠9, ♥8 | two pairs
♠9, ♣5, ♣8, ♠9, ♣Q | pair
♠9, ♣5, ♣8, ♠9, ♦J | pair
♠9, ♣5, ♣8, ♥8, ♣Q | pair
♠9, ♣5, ♣8, ♥8, ♦J | pair
♠9, ♣5, ♠9, ♥8, ♣Q | pair
♠9, ♣5, ♠9, ♥8, ♦J | pair
♠9, ♣5, ♠9, ♣Q, ♦J | pair
♠9, ♠J, ♣8, ♠9, ♥8 | two pairs
♠9, ♠J, ♣8, ♠9, ♣Q | pair
♠9, ♠J, ♣8, ♠9, ♦J | two pairs
♠9, ♠J, ♣8, ♥8, ♣Q | pair
♠9, ♠J, ♣8, ♥8, ♦J | two pairs
♠9, ♠J, ♣8, ♣Q, ♦J | pair
♠9, ♠J, ♠9, ♥8, ♣Q | pair
♠9, ♠J, ♠9, ♥8, ♦J | two pairs
♠9, ♠J, ♠9, ♣Q, ♦J | two pairs
♠9, ♠J, ♥8, ♣Q, ♦J | pair
♠9, ♣8, ♠9, ♥8, ♣Q | two pairs
♠9, ♣8, ♠9, ♥8, ♦J | two pairs
♠9, ♣8, ♠9, ♣Q, ♦J | pair
♠9, ♣8, ♥8, ♣Q, ♦J | pair
♠9, ♠9, ♥8, ♣Q, ♦J | pair
♦3, ♠10, ♣4, ♦8, ♣8 | pair
♦3, ♠10, ♣4, ♦8, ♥8 | pair
♦3, ♠10, ♣4, ♠J, ♦J | pair
♦3, ♠10, ♣4, ♣8, ♥8 | pair
♦3, ♠10, ♦8, ♣5, ♣8 | pair
♦3, ♠10, ♦8, ♣5, ♥8 | pair
♦3, ♠10, ♦8, ♠J, ♣8 | pair
♦3, ♠10, ♦8, ♠J, ♥8 | pair
♦3, ♠10, ♦8, ♠J, ♦J | pair
♦3, ♠10, ♦8, ♣8, ♠9 | pair
♦3, ♠10, ♦8, ♣8, ♥8 | three of a kind
♦3, ♠10, ♦8, ♣8, ♣Q | pair
♦3, ♠10, ♦8, ♣8, ♦J | pair
♦3, ♠10, ♦8, ♠9, ♥8 | pair
♦3, ♠10, ♦8, ♥8, ♣Q | pair
♦3, ♠10, ♦8, ♥8, ♦J | pair
♦3, ♠10, ♣5, ♠J, ♦J | pair
♦3, ♠10, ♣5, ♣8, ♥8 | pair
♦3, ♠10, ♠J, ♣8, ♥8 | pair
♦3, ♠10, ♠J, ♣8, ♦J | pair
♦3, ♠10, ♠J, ♠9, ♦J | pair
♦3, ♠10, ♠J, ♥8, ♦J | pair
♦3, ♠10, ♠J, ♣Q, ♦J | pair
♦3, ♠10, ♣8, ♠9, ♥8 | pair
♦3, ♠10, ♣8, ♥8, ♣Q | pair
♦3, ♠10, ♣8, ♥8, ♦J | pair
♦3, ♣4, ♦8, ♣5, ♣8 | pair
♦3, ♣4, ♦8, ♣5, ♥8 | pair
♦3, ♣4, ♦8, ♠J, ♣8 | pair
♦3, ♣4, ♦8, ♠J, ♥8 | pair
♦3, ♣4, ♦8, ♠J, ♦J | pair
♦3, ♣4, ♦8, ♣8, ♠9 | pair
♦3, ♣4, ♦8, ♣8, ♥8 | three of a kind
♦3, ♣4, ♦8, ♣8, ♣Q | pair
♦3, ♣4, ♦8, ♣8, ♦J | pair
♦3, ♣4, ♦8, ♠9, ♥8 | pair
♦3, ♣4, ♦8, ♥8, ♣Q | pair
♦3, ♣4, ♦8, ♥8, ♦J | pair
♦3, ♣4, ♣5, ♠J, ♦J | pair
♦3, ♣4, ♣5, ♣8, ♥8 | pair
♦3, ♣4, ♠J, ♣8, ♥8 | pair
♦3, ♣4, ♠J, ♣8, ♦J | pair
♦3, ♣4, ♠J, ♠9, ♦J | pair
♦3, ♣4, ♠J, ♥8, ♦J | pair
♦3, ♣4, ♠J, ♣Q, ♦J | pair
♦3, ♣4, ♣8, ♠9, ♥8 | pair
♦3, ♣4, ♣8, ♥8, ♣Q | pair
♦3, ♣4, ♣8, ♥8, ♦J | pair
♦3, ♦8, ♣5, ♠J, ♣8 | pair
♦3, ♦8, ♣5, ♠J, ♥8 | pair
♦3, ♦8, ♣5, ♠J, ♦J | pair
♦3, ♦8, ♣5, ♣8, ♠9 | pair
♦3, ♦8, ♣5, ♣8, ♥8 | three of a kind
♦3, ♦8, ♣5, ♣8, ♣Q | pair
♦3, ♦8, ♣5, ♣8, ♦J | pair
♦3, ♦8, ♣5, ♠9, ♥8 | pair
♦3, ♦8, ♣5, ♥8, ♣Q | pair
♦3, ♦8, ♣5, ♥8, ♦J | pair
♦3, ♦8, ♠J, ♣8, ♠9 | pair
♦3, ♦8, ♠J, ♣8, ♥8 | three of a kind
♦3, ♦8, ♠J, ♣8, ♣Q | pair
♦3, ♦8, ♠J, ♣8, ♦J | two pairs
♦3, ♦8, ♠J, ♠9, ♥8 | pair
♦3, ♦8, ♠J, ♠9, ♦J | pair
♦3, ♦8, ♠J, ♥8, ♣Q | pair
♦3, ♦8, ♠J, ♥8, ♦J | two pairs
♦3, ♦8, ♠J, ♣Q, ♦J | pair
♦3, ♦8, ♣8, ♠9, ♥8 | three of a kind
♦3, ♦8, ♣8, ♠9, ♣Q | pair
♦3, ♦8, ♣8, ♠9, ♦J | pair
♦3, ♦8, ♣8, ♥8, ♣Q | three of a kind
♦3, ♦8, ♣8, ♥8, ♦J | three of a kind
♦3, ♦8, ♣8, ♣Q, ♦J | pair
♦3, ♦8, ♠9, ♥8, ♣Q | pair
♦3, ♦8, ♠9, ♥8, ♦J | pair
♦3, ♦8, ♥8, ♣Q, ♦J | pair
♦3, ♣5, ♠J, ♣8, ♥8 | pair
♦3, ♣5, ♠J, ♣8, ♦J | pair
♦3, ♣5, ♠J, ♠9, ♦J | pair
♦3, ♣5, ♠J, ♥8, ♦J | pair
♦3, ♣5, ♠J, ♣Q, ♦J | pair
♦3, ♣5, ♣8, ♠9, ♥8 | pair
♦3, ♣5, ♣8, ♥8, ♣Q | pair
♦3, ♣5, ♣8, ♥8, ♦J | pair
♦3, ♠J, ♣8, ♠9, ♥8 | pair
♦3, ♠J, ♣8, ♠9, ♦J | pair
♦3, ♠J, ♣8, ♥8, ♣Q | pair
♦3, ♠J, ♣8, ♥8, ♦J | two pairs
♦3, ♠J, ♣8, ♣Q, ♦J | pair
♦3, ♠J, ♠9, ♥8, ♦J | pair
♦3, ♠J, ♠9, ♣Q, ♦J | pair
♦3, ♠J, ♥8, ♣Q, ♦J | pair
♦3, ♣8, ♠9, ♥8, ♣Q | pair
♦3, ♣8, ♠9, ♥8, ♦J | pair
♦3, ♣8, ♥8, ♣Q, ♦J | pair
♠10, ♣4, ♦8, ♣5, ♣8 | pair
♠10, ♣4, ♦8, ♣5, ♥8 | pair
♠10, ♣4, ♦8, ♠J, ♣8 | pair
♠10, ♣4, ♦8, ♠J, ♥8 | pair
♠10, ♣4, ♦8, ♠J, ♦J | pair
♠10, ♣4, ♦8, ♣8, ♠9 | pair
♠10, ♣4, ♦8, ♣8, ♥8 | three of a kind
♠10, ♣4, ♦8, ♣8, ♣Q | pair
♠10, ♣4, ♦8, ♣8, ♦J | pair
♠10, ♣4, ♦8, ♠9, ♥8 | pair
♠10, ♣4, ♦8, ♥8, ♣Q | pair
♠10, ♣4, ♦8, ♥8, ♦J | pair
♠10, ♣4, ♣5, ♠J, ♦J | pair
♠10, ♣4, ♣5, ♣8, ♥8 | pair
♠10, ♣4, ♠J, ♣8, ♥8 | pair
♠10, ♣4, ♠J, ♣8, ♦J | pair
♠10, ♣4, ♠J, ♠9, ♦J | pair
♠10, ♣4, ♠J, ♥8, ♦J | pair
♠10, ♣4, ♠J, ♣Q, ♦J | pair
♠10, ♣4, ♣8, ♠9, ♥8 | pair
♠10, ♣4, ♣8, ♥8, ♣Q | pair
♠10, ♣4, ♣8, ♥8, ♦J | pair
♠10, ♦8, ♣5, ♠J, ♣8 | pair
♠10, ♦8, ♣5, ♠J, ♥8 | pair
♠10, ♦8, ♣5, ♠J, ♦J | pair
♠10, ♦8, ♣5, ♣8, ♠9 | pair
♠10, ♦8, ♣5, ♣8, ♥8 | three of a kind
♠10, ♦8, ♣5, ♣8, ♣Q | pair
♠10, ♦8, ♣5, ♣8, ♦J | pair
♠10, ♦8, ♣5, ♠9, ♥8 | pair
♠10, ♦8, ♣5, ♥8, ♣Q | pair
♠10, ♦8, ♣5, ♥8, ♦J | pair
♠10, ♦8, ♠J, ♣8, ♠9 | pair
♠10, ♦8, ♠J, ♣8, ♥8 | three of a kind
♠10, ♦8, ♠J, ♣8, ♣Q | pair
♠10, ♦8, ♠J, ♣8, ♦J | two pairs
♠10, ♦8, ♠J, ♠9, ♥8 | pair
♠10, ♦8, ♠J, ♠9, ♣Q | straight
♠10, ♦8, ♠J, ♠9, ♦J | pair
♠10, ♦8, ♠J, ♥8, ♣Q | pair
♠10, ♦8, ♠J, ♥8, ♦J | two pairs
♠10, ♦8, ♠J, ♣Q, ♦J | pair
♠10, ♦8, ♣8, ♠9, ♥8 | three of a kind
♠10, ♦8, ♣8, ♠9, ♣Q | pair
♠10, ♦8, ♣8, ♠9, ♦J | pair
♠10, ♦8, ♣8, ♥8, ♣Q | three of a kind
♠10, ♦8, ♣8, ♥8, ♦J | three of a kind
♠10, ♦8, ♣8, ♣Q, ♦J | pair
♠10, ♦8, ♠9, ♥8, ♣Q | pair
♠10, ♦8, ♠9, ♥8, ♦J | pair
♠10, ♦8, ♠9, ♣Q, ♦J | straight
♠10, ♦8, ♥8, ♣Q, ♦J | pair
♠10, ♣5, ♠J, ♣8, ♥8 | pair
♠10, ♣5, ♠J, ♣8, ♦J | pair
♠10, ♣5, ♠J, ♠9, ♦J | pair
♠10, ♣5, ♠J, ♥8, ♦J | pair
♠10, ♣5, ♠J, ♣Q, ♦J | pair
♠10, ♣5, ♣8, ♠9, ♥8 | pair
♠10, ♣5, ♣8, ♥8, ♣Q | pair
♠10, ♣5, ♣8, ♥8, ♦J | pair
♠10, ♠J, ♣8, ♠9, ♥8 | pair
♠10, ♠J, ♣8, ♠9, ♣Q | straight
♠10, ♠J, ♣8, ♠9, ♦J | pair
♠10, ♠J, ♣8, ♥8, ♣Q | pair
♠10, ♠J, ♣8, ♥8, ♦J | two pairs
♠10, ♠J, ♣8, ♣Q, ♦J | pair
♠10, ♠J, ♠9, ♥8, ♣Q | straight
♠10, ♠J, ♠9, ♥8, ♦J | pair
♠10, ♠J, ♠9, ♣Q, ♦J | pair
♠10, ♠J, ♥8, ♣Q, ♦J | pair
♠10, ♣8, ♠9, ♥8, ♣Q | pair
♠10, ♣8, ♠9, ♥8, ♦J | pair
♠10, ♣8, ♠9, ♣Q, ♦J | straight
♠10, ♣8, ♥8, ♣Q, ♦J | pair
♠10, ♠9, ♥8, ♣Q, ♦J | straight
♣4, ♦8, ♣5, ♠J, ♣8 | pair
♣4, ♦8, ♣5, ♠J, ♥8 | pair
♣4, ♦8, ♣5, ♠J, ♦J | pair
♣4, ♦8, ♣5, ♣8, ♠9 | pair
♣4, ♦8, ♣5, ♣8, ♥8 | three of a kind
♣4, ♦8, ♣5, ♣8, ♣Q | pair
♣4, ♦8, ♣5, ♣8, ♦J | pair
♣4, ♦8, ♣5, ♠9, ♥8 | pair
♣4, ♦8, ♣5, ♥8, ♣Q | pair
♣4, ♦8, ♣5, ♥8, ♦J | pair
♣4, ♦8, ♠J, ♣8, ♠9 | pair
♣4, ♦8, ♠J, ♣8, ♥8 | three of a kind
♣4, ♦8, ♠J, ♣8, ♣Q | pair
♣4, ♦8, ♠J, ♣8, ♦J | two pairs
♣4, ♦8, ♠J, ♠9, ♥8 | pair
♣4, ♦8, ♠J, ♠9, ♦J | pair
♣4, ♦8, ♠J, ♥8, ♣Q | pair
♣4, ♦8, ♠J, ♥8, ♦J | two pairs
♣4, ♦8, ♠J, ♣Q, ♦J | pair
♣4, ♦8, ♣8, ♠9, ♥8 | three of a kind
♣4, ♦8, ♣8, ♠9, ♣Q | pair
♣4, ♦8, ♣8, ♠9, ♦J | pair
♣4, ♦8, ♣8, ♥8, ♣Q | three of a kind
♣4, ♦8, ♣8, ♥8, ♦J | three of a kind
♣4, ♦8, ♣8, ♣Q, ♦J | pair
♣4, ♦8, ♠9, ♥8, ♣Q | pair
♣4, ♦8, ♠9, ♥8, ♦J | pair
♣4, ♦8, ♥8, ♣Q, ♦J | pair
♣4, ♣5, ♠J, ♣8, ♥8 | pair
♣4, ♣5, ♠J, ♣8, ♦J | pair
♣4, ♣5, ♠J, ♠9, ♦J | pair
♣4, ♣5, ♠J, ♥8, ♦J | pair
♣4, ♣5, ♠J, ♣Q, ♦J | pair
♣4, ♣5, ♣8, ♠9, ♥8 | pair
♣4, ♣5, ♣8, ♥8, ♣Q | pair
♣4, ♣5, ♣8, ♥8, ♦J | pair
♣4, ♠J, ♣8, ♠9, ♥8 | pair
♣4, ♠J, ♣8, ♠9, ♦J | pair
♣4, ♠J, ♣8, ♥8, ♣Q | pair
♣4, ♠J, ♣8, ♥8, ♦J | two pairs
♣4, ♠J, ♣8, ♣Q, ♦J | pair
♣4, ♠J, ♠9, ♥8, ♦J | pair
♣4, ♠J, ♠9, ♣Q, ♦J | pair
♣4, ♠J, ♥8, ♣Q, ♦J | pair
♣4, ♣8, ♠9, ♥8, ♣Q | pair
♣4, ♣8, ♠9, ♥8, ♦J | pair
♣4, ♣8, ♥8, ♣Q, ♦J | pair
♦8, ♣5, ♠J, ♣8, ♠9 | pair
♦8, ♣5, ♠J, ♣8, ♥8 | three of a kind
♦8, ♣5, ♠J, ♣8, ♣Q | pair
♦8, ♣5, ♠J, ♣8, ♦J | two pairs
♦8, ♣5, ♠J, ♠9, ♥8 | pair
♦8, ♣5, ♠J, ♠9, ♦J | pair
♦8, ♣5, ♠J, ♥8, ♣Q | pair
♦8, ♣5, ♠J, ♥8, ♦J | two pairs
♦8, ♣5, ♠J, ♣Q, ♦J | pair
♦8, ♣5, ♣8, ♠9, ♥8 | three of a kind
♦8, ♣5, ♣8, ♠9, ♣Q | pair
♦8, ♣5, ♣8, ♠9, ♦J | pair
♦8, ♣5, ♣8, ♥8, ♣Q | three of a kind
♦8, ♣5, ♣8, ♥8, ♦J | three of a kind
♦8, ♣5, ♣8, ♣Q, ♦J | pair
♦8, ♣5, ♠9, ♥8, ♣Q | pair
♦8, ♣5, ♠9, ♥8, ♦J | pair
♦8, ♣5, ♥8, ♣Q, ♦J | pair
♦8, ♠J, ♣8, ♠9, ♥8 | three of a kind
♦8, ♠J, ♣8, ♠9, ♣Q | pair
♦8, ♠J, ♣8, ♠9, ♦J | two pairs
♦8, ♠J, ♣8, ♥8, ♣Q | three of a kind
♦8, ♠J, ♣8, ♥8, ♦J | fullhouse
♦8, ♠J, ♣8, ♣Q, ♦J | two pairs
♦8, ♠J, ♠9, ♥8, ♣Q | pair
♦8, ♠J, ♠9, ♥8, ♦J | two pairs
♦8, ♠J, ♠9, ♣Q, ♦J | pair
♦8, ♠J, ♥8, ♣Q, ♦J | two pairs
♦8, ♣8, ♠9, ♥8, ♣Q | three of a kind
♦8, ♣8, ♠9, ♥8, ♦J | three of a kind
♦8, ♣8, ♠9, ♣Q, ♦J | pair
♦8, ♣8, ♥8, ♣Q, ♦J | three of a kind
♦8, ♠9, ♥8, ♣Q, ♦J | pair
♣5, ♠J, ♣8, ♠9, ♥8 | pair
♣5, ♠J, ♣8, ♠9, ♦J | pair
♣5, ♠J, ♣8, ♥8, ♣Q | pair
♣5, ♠J, ♣8, ♥8, ♦J | two pairs
♣5, ♠J, ♣8, ♣Q, ♦J | pair
♣5, ♠J, ♠9, ♥8, ♦J | pair
♣5, ♠J, ♠9, ♣Q, ♦J | pair
♣5, ♠J, ♥8, ♣Q, ♦J | pair
♣5, ♣8, ♠9, ♥8, ♣Q | pair
♣5, ♣8, ♠9, ♥8, ♦J | pair
♣5, ♣8, ♥8, ♣Q, ♦J | pair
♠J, ♣8, ♠9, ♥8, ♣Q | pair
♠J, ♣8, ♠9, ♥8, ♦J | two pairs
♠J, ♣8, ♠9, ♣Q, ♦J | pair
♠J, ♣8, ♥8, ♣Q, ♦J | two pairs
♠J, ♠9, ♥8, ♣Q, ♦J | pair
♣8, ♠9, ♥8, ♣Q, ♦J | pair
