♥A, ♠3, ♣3, ♥J, ♥2 | pair
♥A, ♣3, ♥A, ♣A, ♦9 | three of a kind
♥A, ♣3, ♥A, ♣A, ♦A | four of a kind!
♥A, ♣3, ♥A, ♥A, ♦9 | three of a kind
♥A, ♣3, ♥A, ♥A, ♦A | four of a kind!
♥A, ♣3, ♥A, ♦9, ♦A | three of a kind
♥A, ♣3, ♦9, ♣3, ♥2 | pair
♥A, ♣3, ♦9, ♣3, ♠7 | pair
♥A, ♣3, ♦9, ♣3, ♥7 | pair
♥A, ♣3, ♦9, ♣3, ♣A | two pairs
♥A, ♣3, ♦9, ♣3, ♥A | two pairs
♥A, ♣3, ♦9, ♣3, ♦9 | two pairs
♥A, ♣3, ♦9, ♣3, ♦A | two pairs
♥A, ♣3, ♦9, ♥2, ♣A | pair
♥A, ♣3, ♦9, ♥2, ♥A | pair
♥A, ♣3, ♦9, ♥2, ♦9 | pair
♥A, ♣3, ♦9, ♥2, ♦A | pair
♥A, ♣3, ♦9, ♠7, ♥7 | pair
♥A, ♣3, ♦9, ♠7, ♣A | pair
♥A, ♣3, ♦9, ♠7, ♥A | pair
♥A, ♣3, ♦9, ♠7, ♦9 | pair
♥A, ♣3, ♦9, ♠7, ♦A | pair
♥A, ♣3, ♦9, ♥7, ♣A | pair
♥A, ♣3, ♦9, ♥7, ♥A | pair
♥A, ♣3, ♦9, ♥7, ♦9 | pair
♥A, ♣3, ♦9, ♥7, ♦A | pair
♥A, ♣3, ♦9, ♣A, ♥A | three of a kind
♥A, ♣3, ♦9, ♣A, ♦9 | two pairs
♥A, ♣3, ♦9, ♣A, ♦A | three of a kind
♥A, ♣3, ♦9, ♥A, ♦9 | two pairs
♥A, ♣3, ♦9, ♥A, ♦A | three of a kind
♥A, ♣3, ♦9, ♦9, ♦A | two pairs
♥A, ♣3, ♣3, ♥2, ♠7 | pair
♥A, ♣3, ♣3, ♥2, ♥7 | pair
♥A, ♣3, ♣3, ♥2, ♣A | two pairs
♥A, ♣3, ♣3, ♥2, ♥A | two pairs
♥A, ♣3, ♣3, ♥2, ♦9 | pair
♥A, ♣3, ♣3, ♥2, ♦A | two pairs
♥A, ♣3, ♣3, ♠7, ♥7 | two pairs
♥A, ♣3, ♣3, ♠7, ♣A | two pairs
♥A, ♣3, ♣3, ♠7, ♥A | two pairs
♥A, ♣3, ♣3, ♠7, ♦9 | pair
♥A, ♣3, ♣3, ♠7, ♦A | two pairs
♥A, ♣3, ♣3, ♥7, ♣A | two pairs
♥A, ♣3, ♣3, ♥7, ♥A | two pairs
♥A, ♣3, ♣3, ♥7, ♦9 | pair
♥A, ♣3, ♣3, ♥7, ♦A | two pairs
♥A, ♣3, ♣3, ♣A, ♥A | fullhouse
♥A, ♣3, ♣3, ♣A, ♦9 | two pairs
♥A, ♣3, ♣3, ♣A, ♦A | fullhouse
♥A, ♣3, ♣3, ♥A, ♦9 | two pairs
♥A, ♣3, ♣3, ♥A, ♦A | fullhouse
♥A, ♣3, ♣3, ♦9, ♦A | two pairs
♥A, ♣3, ♥2, ♠7, ♥7 | pair
♥A, ♣3, ♥2, ♠7, ♣A | pair
♥A, ♣3, ♥2, ♠7, ♥A | pair
♥A, ♣3, ♥2, ♠7, ♦A | pair
♥A, ♣3, ♥2, ♥7, ♣A | pair
♥A, ♣3, ♥2, ♥7, ♥A | pair
♥A, ♣3, ♥2, ♥7, ♦A | pair
♥A, ♣3, ♥2, ♣A, ♥A | three of a kind
♥A, ♣3, ♥2, ♣A, ♦9 | pair
♥A, ♣3, ♥2, ♣A, ♦A | three of a kind
♥A, ♣3, ♥2, ♥A, ♦9 | pair
♥A, ♣3, ♥2, ♥A, ♦A | three of a kind
♥A, ♣3, ♥2, ♦9, ♦A | pair
♥A, ♣3, ♠7, ♥7, ♣A | two pairs
♥A, ♣3, ♠7, ♥7, ♥A | two pairs
♥A, ♣3, ♠7, ♥7, ♦9 | pair
♥A, ♣3, ♠7, ♥7, ♦A | two pairs
♥A, ♣3, ♠7, ♣A, ♥A | three of a kind
♥A, ♣3, ♠7, ♣A, ♦9 | pair
♥A, ♣3, ♠7, ♣A, ♦A | three of a kind
♥A, ♣3, ♠7, ♥A, ♦9 | pair
♥A, ♣3, ♠7, ♥A, ♦A | three of a kind
♥A, ♣3, ♠7, ♦9, ♦A | pair
♥A, ♣3, ♥7, ♣A, ♥A | three of a kind
♥A, ♣3, ♥7, ♣A, ♦9 | pair
♥A, ♣3, ♥7, ♣A, ♦A | three of a kind
♥A, ♣3, ♥7, ♥A, ♦9 | pair
♥A, ♣3, ♥7, ♥A, ♦A | three of a kind
♥A, ♣3, ♥7, ♦9, ♦A | pair
♥A, ♣3, ♣A, ♥A, ♦9 | three of a kind
♥A, ♣3, ♣A, ♥A, ♦A | four of a kind!
♥A, ♣3, ♣A, ♦9, ♦A | three of a kind
♥A, ♣3, ♥A, ♦9, ♦A | three of a kind
♥A, ♥J, ♥2, ♠10, ♥A | pair
♥A, ♥J, ♥2, ♠10, ♥2 | pair
♥A, ♥J, ♥2, ♠10, ♣A | pair
♥A, ♥J, ♥2, ♠10, ♥A | pair
♥A, ♥J, ♥2, ♠10, ♦A | pair
♥A, ♥J, ♥2, ♥A, ♦9 | pair
♥A, ♥J, ♥2, ♥A, ♣3 | pair
♥A, ♥J, ♥2, ♥A, ♥2 | flush
♥A, ♥J, ♥2, ♥A, ♠7 | pair
♥A, ♥J, ♥2, ♥A, ♥7 | flush
♥A, ♥J, ♥2, ♥A, ♣A | three of a kind
♥A, ♥J, ♥2, ♥A, ♥A | flush
♥A, ♥J, ♥2, ♥A, ♦9 | pair
♥A, ♥J, ♥2, ♥A, ♦A | three of a kind
♥A, ♥J, ♥2, ♦9, ♥2 | pair
♥A, ♥J, ♥2, ♦9, ♣A | pair
♥A, ♥J, ♥2, ♦9, ♥A | pair
♥A, ♥J, ♥2, ♦9, ♦9 | pair
♥A, ♥J, ♥2, ♦9, ♦A | pair
♥A, ♥J, ♥2, ♣3, ♥2 | pair
♥A, ♥J, ♥2, ♣3, ♣A | pair
♥A, ♥J, ♥2, ♣3, ♥A | pair
♥A, ♥J, ♥2, ♣3, ♦A | pair
♥A, ♥J, ♥2, ♥2, ♠7 | pair
♥A, ♥J, ♥2, ♥2, ♥7 | flush
♥A, ♥J, ♥2, ♥2, ♣A | two pairs
♥A, ♥J, ♥2, ♥2, ♥A | flush
♥A, ♥J, ♥2, ♥2, ♦9 | pair
♥A, ♥J, ♥2, ♥2, ♦A | two pairs
♥A, ♥J, ♥2, ♠7, ♥7 | pair
♥A, ♥J, ♥2, ♠7, ♣A | pair
♥A, ♥J, ♥2, ♠7, ♥A | pair
♥A, ♥J, ♥2, ♠7, ♦A | pair
♥A, ♥J, ♥2, ♥7, ♣A | pair
♥A, ♥J, ♥2, ♥7, ♥A | flush
♥A, ♥J, ♥2, ♥7, ♦A | pair
♥A, ♥J, ♥2, ♣A, ♥A | three of a kind
♥A, ♥J, ♥2, ♣A, ♦9 | pair
♥A, ♥J, ♥2, ♣A, ♦A | three of a kind
♥A, ♥J, ♥2, ♥A, ♦9 | pair
♥A, ♥J, ♥2, ♥A, ♦A | three of a kind
♥A, ♥J, ♥2, ♦9, ♦A | pair
♥A, ♥J, ♠10, ♥A, ♦9 | pair
♥A, ♥J, ♠10, ♥A, ♣3 | pair
♥A, ♥J, ♠10, ♥A, ♥2 | pair
♥A, ♥J, ♠10, ♥A, ♠7 | pair
♥A, ♥J, ♠10, ♥A, ♥7 | pair
♥A, ♥J, ♠10, ♥A, ♣A | three of a kind
♥A, ♥J, ♠10, ♥A, ♥A | three of a kind
♥A, ♥J, ♠10, ♥A, ♦9 | pair
♥A, ♥J, ♠10, ♥A, ♦A | three of a kind
♥A, ♥J, ♠10, ♦9, ♣A | pair
♥A, ♥J, ♠10, ♦9, ♥A | pair
♥A, ♥J, ♠10, ♦9, ♦9 | pair
♥A, ♥J, ♠10, ♦9, ♦A | pair
♥A, ♥J, ♠10, ♣3, ♣A | pair
♥A, ♥J, ♠10, ♣3, ♥A | pair
♥A, ♥J, ♠10, ♣3, ♦A | pair
♥A, ♥J, ♠10, ♥2, ♣A | pair
♥A, ♥J, ♠10, ♥2, ♥A | pair
♥A, ♥J, ♠10, ♥2, ♦A | pair
♥A, ♥J, ♠10, ♠7, ♥7 | pair
♥A, ♥J, ♠10, ♠7, ♣A | pair
♥A, ♥J, ♠10, ♠7, ♥A | pair
♥A, ♥J, ♠10, ♠7, ♦A | pair
♥A, ♥J, ♠10, ♥7, ♣A | pair
♥A, ♥J, ♠10, ♥7, ♥A | pair
♥A, ♥J, ♠10, ♥7, ♦A | pair
♥A, ♥J, ♠10, ♣A, ♥A | three of a kind
♥A, ♥J, ♠10, ♣A, ♦9 | pair
♥A, ♥J, ♠10, ♣A, ♦A | three of a kind
♥A, ♥J, ♠10, ♥A, ♦9 | pair
♥A, ♥J, ♠10, ♥A, ♦A | three of a kind
♥A, ♥J, ♠10, ♦9, ♦A | pair
♥A, ♥J, ♥A, ♦9, ♣3 | pair
♥A, ♥J, ♥A, ♦9, ♥2 | pair
♥A, ♥J, ♥A, ♦9, ♠7 | pair
♥A, ♥J, ♥A, ♦9, ♥7 | pair
♥A, ♥J, ♥A, ♦9, ♣A | three of a kind
♥A, ♥J, ♥A, ♦9, ♥A | three of a kind
♥A, ♥J, ♥A, ♦9, ♦9 | two pairs
♥A, ♥J, ♥A, ♦9, ♦A | three of a kind
♥A, ♥J, ♥A, ♣3, ♥2 | pair
♥A, ♥J, ♥A, ♣3, ♠7 | pair
♥A, ♥J, ♥A, ♣3, ♥7 | pair
♥A, ♥J, ♥A, ♣3, ♣A | three of a kind
♥A, ♥J, ♥A, ♣3, ♥A | three of a kind
♥A, ♥J, ♥A, ♣3, ♦9 | pair
♥A, ♥J, ♥A, ♣3, ♦A | three of a kind
♥A, ♥J, ♥A, ♥2, ♠7 | pair
♥A, ♥J, ♥A, ♥2, ♥7 | flush
♥A, ♥J, ♥A, ♥2, ♣A | three of a kind
♥A, ♥J, ♥A, ♥2, ♥A | flush
♥A, ♥J, ♥A, ♥2, ♦9 | pair
♥A, ♥J, ♥A, ♥2, ♦A | three of a kind
♥A, ♥J, ♥A, ♠7, ♥7 | two pairs
♥A, ♥J, ♥A, ♠7, ♣A | three of a kind
♥A, ♥J, ♥A, ♠7, ♥A | three of a kind
♥A, ♥J, ♥A, ♠7, ♦9 | pair
♥A, ♥J, ♥A, ♠7, ♦A | three of a kind
♥A, ♥J, ♥A, ♥7, ♣A | three of a kind
♥A, ♥J, ♥A, ♥7, ♥A | flush
♥A, ♥J, ♥A, ♥7, ♦9 | pair
♥A, ♥J, ♥A, ♥7, ♦A | three of a kind
♥A, ♥J, ♥A, ♣A, ♥A | four of a kind!
♥A, ♥J, ♥A, ♣A, ♦9 | three of a kind
♥A, ♥J, ♥A, ♣A, ♦A | four of a kind!
♥A, ♥J, ♥A, ♥A, ♦9 | three of a kind
♥A, ♥J, ♥A, ♥A, ♦A | four of a kind!
♥A, ♥J, ♥A, ♦9, ♦A | three of a kind
♥A, ♥J, ♦9, ♣3, ♣A | pair
♥A, ♥J, ♦9, ♣3, ♥A | pair
♥A, ♥J, ♦9, ♣3, ♦9 | pair
♥A, ♥J, ♦9, ♣3, ♦A | pair
♥A, ♥J, ♦9, ♥2, ♣A | pair
♥A, ♥J, ♦9, ♥2, ♥A | pair
♥A, ♥J, ♦9, ♥2, ♦9 | pair
♥A, ♥J, ♦9, ♥2, ♦A | pair
♥A, ♥J, ♦9, ♠7, ♥7 | pair
♥A, ♥J, ♦9, ♠7, ♣A | pair
♥A, ♥J, ♦9, ♠7, ♥A | pair
♥A, ♥J, ♦9, ♠7, ♦9 | pair
♥A, ♥J, ♦9, ♠7, ♦A | pair
♥A, ♥J, ♦9, ♥7, ♣A | pair
♥A, ♥J, ♦9, ♥7, ♥A | pair
♥A, ♥J, ♦9, ♥7, ♦9 | pair
♥A, ♥J, ♦9, ♥7, ♦A | pair
♥A, ♥J, ♦9, ♣A, ♥A | three of a kind
♥A, ♥J, ♦9, ♣A, ♦9 | two pairs
♥A, ♥J, ♦9, ♣A, ♦A | three of a kind
♥A, ♥J, ♦9, ♥A, ♦9 | two pairs
♥A, ♥J, ♦9, ♥A, ♦A | three of a kind
♥A, ♥J, ♦9, ♦9, ♦A | two pairs
♥A, ♥J, ♣3, ♥2, ♣A | pair
♥A, ♥J, ♣3, ♥2, ♥A | pair
♥A, ♥J, ♣3, ♥2, ♦A | pair
♥A, ♥J, ♣3, ♠7, ♥7 | pair
♥A, ♥J, ♣3, ♠7, ♣A | pair
♥A, ♥J, ♣3, ♠7, ♥A | pair
♥A, ♥J, ♣3, ♠7, ♦A | pair
♥A, ♥J, ♣3, ♥7, ♣A | pair
♥A, ♥J, ♣3, ♥7, ♥A | pair
♥A, ♥J, ♣3, ♥7, ♦A | pair
♥A, ♥J, ♣3, ♣A, ♥A | three of a kind
♥A, ♥J, ♣3, ♣A, ♦9 | pair
♥A, ♥J, ♣3, ♣A, ♦A | three of a kind
♥A, ♥J, ♣3, ♥A, ♦9 | pair
♥A, ♥J, ♣3, ♥A, ♦A | three of a kind
♥A, ♥J, ♣3, ♦9, ♦A | pair
♥A, ♥J, ♥2, ♠7, ♥7 | pair
♥A, ♥J, ♥2, ♠7, ♣A | pair
♥A, ♥J, ♥2, ♠7, ♥A | pair
♥A, ♥J, ♥2, ♠7, ♦A | pair
♥A, ♥J, ♥2, ♥7, ♣A | pair
♥A, ♥J, ♥2, ♥7, ♥A | flush
♥A, ♥J, ♥2, ♥7, ♦A | pair
♥A, ♥J, ♥2, ♣A, ♥A | three of a kind
♥A, ♥J, ♥2, ♣A, ♦9 | pair
♥A, ♥J, ♥2, ♣A, ♦A | three of a kind
♥A, ♥J, ♥2, ♥A, ♦9 | pair
♥A, ♥J, ♥2, ♥A, ♦A | three of a kind
♥A, ♥J, ♥2, ♦9, ♦A | pair
♥A, ♥J, ♠7, ♥7, ♣A | two pairs
♥A, ♥J, ♠7, ♥7, ♥A | two pairs
♥A, ♥J, ♠7, ♥7, ♦9 | pair
♥A, ♥J, ♠7, ♥7, ♦A | two pairs
♥A, ♥J, ♠7, ♣A, ♥A | three of a kind
♥A, ♥J, ♠7, ♣A, ♦9 | pair
♥A, ♥J, ♠7, ♣A, ♦A | three of a kind
♥A, ♥J, ♠7, ♥A, ♦9 | pair
♥A, ♥J, ♠7, ♥A, ♦A | three of a kind
♥A, ♥J, ♠7, ♦9, ♦A | pair
♥A, ♥J, ♥7, ♣A, ♥A | three of a kind
♥A, ♥J, ♥7, ♣A, ♦9 | pair
♥A, ♥J, ♥7, ♣A, ♦A | three of a kind
♥A, ♥J, ♥7, ♥A, ♦9 | pair
♥A, ♥J, ♥7, ♥A, ♦A | three of a kind
♥A, ♥J, ♥7, ♦9, ♦A | pair
♥A, ♥J, ♣A, ♥A, ♦9 | three of a kind
♥A, ♥J, ♣A, ♥A, ♦A | four of a kind!
♥A, ♥J, ♣A, ♦9, ♦A | three of a kind
♥A, ♥J, ♥A, ♦9, ♦A | three of a kind
♥A, ♥2, ♠10, ♥A, ♦9 | pair
♥A, ♥2, ♠10, ♥A, ♣3 | pair
♥A, ♥2, ♠10, ♥A, ♥2 | two pairs
♥A, ♥2, ♠10, ♥A, ♠7 | pair
♥A, ♥2, ♠10, ♥A, ♥7 | pair
♥A, ♥2, ♠10, ♥A, ♣A | three of a kind
♥A, ♥2, ♠10, ♥A, ♥A | three of a kind
♥A, ♥2, ♠10, ♥A, ♦9 | pair
♥A, ♥2, ♠10, ♥A, ♦A | three of a kind
♥A, ♥2, ♠10, ♦9, ♥2 | pair
♥A, ♥2, ♠10, ♦9, ♣A | pair
♥A, ♥2, ♠10, ♦9, ♥A | pair
♥A, ♥2, ♠10, ♦9, ♦9 | pair
♥A, ♥2, ♠10, ♦9, ♦A | pair
♥A, ♥2, ♠10, ♣3, ♥2 | pair
♥A, ♥2, ♠10, ♣3, ♣A | pair
♥A, ♥2, ♠10, ♣3, ♥A | pair
♥A, ♥2, ♠10, ♣3, ♦A | pair
♥A, ♥2, ♠10, ♥2, ♠7 | pair
♥A, ♥2, ♠10, ♥2, ♥7 | pair
♥A, ♥2, ♠10, ♥2, ♣A | two pairs
♥A, ♥2, ♠10, ♥2, ♥A | two pairs
♥A, ♥2, ♠10, ♥2, ♦9 | pair
♥A, ♥2, ♠10, ♥2, ♦A | two pairs
♥A, ♥2, ♠10, ♠7, ♥7 | pair
♥A, ♥2, ♠10, ♠7, ♣A | pair
♥A, ♥2, ♠10, ♠7, ♥A | pair
♥A, ♥2, ♠10, ♠7, ♦A | pair
♥A, ♥2, ♠10, ♥7, ♣A | pair
♥A, ♥2, ♠10, ♥7, ♥A | pair
♥A, ♥2, ♠10, ♥7, ♦A | pair
♥A, ♥2, ♠10, ♣A, ♥A | three of a kind
♥A, ♥2, ♠10, ♣A, ♦9 | pair
♥A, ♥2, ♠10, ♣A, ♦A | three of a kind
♥A, ♥2, ♠10, ♥A, ♦9 | pair
♥A, ♥2, ♠10, ♥A, ♦A | three of a kind
♥A, ♥2, ♠10, ♦9, ♦A | pair
♥A, ♥2, ♥A, ♦9, ♣3 | pair
♥A, ♥2, ♥A, ♦9, ♥2 | two pairs
♥A, ♥2, ♥A, ♦9, ♠7 | pair
♥A, ♥2, ♥A, ♦9, ♥7 | pair
♥A, ♥2, ♥A, ♦9, ♣A | three of a kind
♥A, ♥2, ♥A, ♦9, ♥A | three of a kind
♥A, ♥2, ♥A, ♦9, ♦9 | two pairs
♥A, ♥2, ♥A, ♦9, ♦A | three of a kind
♥A, ♥2, ♥A, ♣3, ♥2 | two pairs
♥A, ♥2, ♥A, ♣3, ♠7 | pair
♥A, ♥2, ♥A, ♣3, ♥7 | pair
♥A, ♥2, ♥A, ♣3, ♣A | three of a kind
♥A, ♥2, ♥A, ♣3, ♥A | three of a kind
♥A, ♥2, ♥A, ♣3, ♦9 | pair
♥A, ♥2, ♥A, ♣3, ♦A | three of a kind
♥A, ♥2, ♥A, ♥2, ♠7 | two pairs
♥A, ♥2, ♥A, ♥2, ♥7 | flush
♥A, ♥2, ♥A, ♥2, ♣A | fullhouse
♥A, ♥2, ♥A, ♥2, ♥A | fullhouse
♥A, ♥2, ♥A, ♥2, ♦9 | two pairs
♥A, ♥2, ♥A, ♥2, ♦A | fullhouse
♥A, ♥2, ♥A, ♠7, ♥7 | two pairs
♥A, ♥2, ♥A, ♠7, ♣A | three of a kind
♥A, ♥2, ♥A, ♠7, ♥A | three of a kind
♥A, ♥2, ♥A, ♠7, ♦9 | pair
♥A, ♥2, ♥A, ♠7, ♦A | three of a kind
♥A, ♥2, ♥A, ♥7, ♣A | three of a kind
♥A, ♥2, ♥A, ♥7, ♥A | flush
♥A, ♥2, ♥A, ♥7, ♦9 | pair
♥A, ♥2, ♥A, ♥7, ♦A | three of a kind
♥A, ♥2, ♥A, ♣A, ♥A | four of a kind!
♥A, ♥2, ♥A, ♣A, ♦9 | three of a kind
♥A, ♥2, ♥A, ♣A, ♦A | four of a kind!
♥A, ♥2, ♥A, ♥A, ♦9 | three of a kind
♥A, ♥2, ♥A, ♥A, ♦A | four of a kind!
♥A, ♥2, ♥A, ♦9, ♦A | three of a kind
♥A, ♥2, ♦9, ♣3, ♥2 | pair
♥A, ♥2, ♦9, ♣3, ♣A | pair
♥A, ♥2, ♦9, ♣3, ♥A | pair
♥A, ♥2, ♦9, ♣3, ♦9 | pair
♥A, ♥2, ♦9, ♣3, ♦A | pair
♥A, ♥2, ♦9, ♥2, ♠7 | pair
♥A, ♥2, ♦9, ♥2, ♥7 | pair
♥A, ♥2, ♦9, ♥2, ♣A | two pairs
♥A, ♥2, ♦9, ♥2, ♥A | two pairs
♥A, ♥2, ♦9, ♥2, ♦9 | two pairs
♥A, ♥2, ♦9, ♥2, ♦A | two pairs
♥A, ♥2, ♦9, ♠7, ♥7 | pair
♥A, ♥2, ♦9, ♠7, ♣A | pair
♥A, ♥2, ♦9, ♠7, ♥A | pair
♥A, ♥2, ♦9, ♠7, ♦9 | pair
♥A, ♥2, ♦9, ♠7, ♦A | pair
♥A, ♥2, ♦9, ♥7, ♣A | pair
♥A, ♥2, ♦9, ♥7, ♥A | pair
♥A, ♥2, ♦9, ♥7, ♦9 | pair
♥A, ♥2, ♦9, ♥7, ♦A | pair
♥A, ♥2, ♦9, ♣A, ♥A | three of a kind
♥A, ♥2, ♦9, ♣A, ♦9 | two pairs
♥A, ♥2, ♦9, ♣A, ♦A | three of a kind
♥A, ♥2, ♦9, ♥A, ♦9 | two pairs
♥A, ♥2, ♦9, ♥A, ♦A | three of a kind
♥A, ♥2, ♦9, ♦9, ♦A | two pairs
♥A, ♥2, ♣3, ♥2, ♠7 | pair
♥A, ♥2, ♣3, ♥2, ♥7 | pair
♥A, ♥2, ♣3, ♥2, ♣A | two pairs
♥A, ♥2, ♣3, ♥2, ♥A | two pairs
♥A, ♥2, ♣3, ♥2, ♦9 | pair
♥A, ♥2, ♣3, ♥2, ♦A | two pairs
♥A, ♥2, ♣3, ♠7, ♥7 | pair
♥A, ♥2, ♣3, ♠7, ♣A | pair
♥A, ♥2, ♣3, ♠7, ♥A | pair
♥A, ♥2, ♣3, ♠7, ♦A | pair
♥A, ♥2, ♣3, ♥7, ♣A | pair
♥A, ♥2, ♣3, ♥7, ♥A | pair
♥A, ♥2, ♣3, ♥7, ♦A | pair
♥A, ♥2, ♣3, ♣A, ♥A | three of a kind
♥A, ♥2, ♣3, ♣A, ♦9 | pair
♥A, ♥2, ♣3, ♣A, ♦A | three of a kind
♥A, ♥2, ♣3, ♥A, ♦9 | pair
♥A, ♥2, ♣3, ♥A, ♦A | three of a kind
♥A, ♥2, ♣3, ♦9, ♦A | pair
♥A, ♥2, ♥2, ♠7, ♥7 | two pairs
♥A, ♥2, ♥2, ♠7, ♣A | two pairs
♥A, ♥2, ♥2, ♠7, ♥A | two pairs
♥A, ♥2, ♥2, ♠7, ♦9 | pair
♥A, ♥2, ♥2, ♠7, ♦A | two pairs
♥A, ♥2, ♥2, ♥7, ♣A | two pairs
♥A, ♥2, ♥2, ♥7, ♥A | flush
♥A, ♥2, ♥2, ♥7, ♦9 | pair
♥A, ♥2, ♥2, ♥7, ♦A | two pairs
♥A, ♥2, ♥2, ♣A, ♥A | fullhouse
♥A, ♥2, ♥2, ♣A, ♦9 | two pairs
♥A, ♥2, ♥2, ♣A, ♦A | fullhouse
♥A, ♥2, ♥2, ♥A, ♦9 | two pairs
♥A, ♥2, ♥2, ♥A, ♦A | fullhouse
♥A, ♥2, ♥2, ♦9, ♦A | two pairs
♥A, ♥2, ♠7, ♥7, ♣A | two pairs
♥A, ♥2, ♠7, ♥7, ♥A | two pairs
♥A, ♥2, ♠7, ♥7, ♦9 | pair
♥A, ♥2, ♠7, ♥7, ♦A | two pairs
♥A, ♥2, ♠7, ♣A, ♥A | three of a kind
♥A, ♥2, ♠7, ♣A, ♦9 | pair
♥A, ♥2, ♠7, ♣A, ♦A | three of a kind
♥A, ♥2, ♠7, ♥A, ♦9 | pair
♥A, ♥2, ♠7, ♥A, ♦A | three of a kind
♥A, ♥2, ♠7, ♦9, ♦A | pair
♥A, ♥2, ♥7, ♣A, ♥A | three of a kind
♥A, ♥2, ♥7, ♣A, ♦9 | pair
♥A, ♥2, ♥7, ♣A, ♦A | three of a kind
♥A, ♥2, ♥7, ♥A, ♦9 | pair
♥A, ♥2, ♥7, ♥A, ♦A | three of a kind
♥A, ♥2, ♥7, ♦9, ♦A | pair
♥A, ♥2, ♣A, ♥A, ♦9 | three of a kind
♥A, ♥2, ♣A, ♥A, ♦A | four of a kind!
♥A, ♥2, ♣A, ♦9, ♦A | three of a kind
♥A, ♥2, ♥A, ♦9, ♦A | three of a kind
♥A, ♠10, ♥A, ♦9, ♣3 | pair
♥A, ♠10, ♥A, ♦9, ♥2 | pair
♥A, ♠10, ♥A, ♦9, ♠7 | pair
♥A, ♠10, ♥A, ♦9, ♥7 | pair
♥A, ♠10, ♥A, ♦9, ♣A | three of a kind
♥A, ♠10, ♥A, ♦9, ♥A | three of a kind
♥A, ♠10, ♥A, ♦9, ♦9 | two pairs
♥A, ♠10, ♥A, ♦9, ♦A | three of a kind
♥A, ♠10, ♥A, ♣3, ♥2 | pair
♥A, ♠10, ♥A, ♣3, ♠7 | pair
♥A, ♠10, ♥A, ♣3, ♥7 | pair
♥A, ♠10, ♥A, ♣3, ♣A | three of a kind
♥A, ♠10, ♥A, ♣3, ♥A | three of a kind
♥A, ♠10, ♥A, ♣3, ♦9 | pair
♥A, ♠10, ♥A, ♣3, ♦A | three of a kind
♥A, ♠10, ♥A, ♥2, ♠7 | pair
♥A, ♠10, ♥A, ♥2, ♥7 | pair
♥A, ♠10, ♥A, ♥2, ♣A | three of a kind
♥A, ♠10, ♥A, ♥2, ♥A | three of a kind
♥A, ♠10, ♥A, ♥2, ♦9 | pair
♥A, ♠10, ♥A, ♥2, ♦A | three of a kind
♥A, ♠10, ♥A, ♠7, ♥7 | two pairs
♥A, ♠10, ♥A, ♠7, ♣A | three of a kind
♥A, ♠10, ♥A, ♠7, ♥A | three of a kind
♥A, ♠10, ♥A, ♠7, ♦9 | pair
♥A, ♠10, ♥A, ♠7, ♦A | three of a kind
♥A, ♠10, ♥A, ♥7, ♣A | three of a kind
♥A, ♠10, ♥A, ♥7, ♥A | three of a kind
♥A, ♠10, ♥A, ♥7, ♦9 | pair
♥A, ♠10, ♥A, ♥7, ♦A | three of a kind
♥A, ♠10, ♥A, ♣A, ♥A | four of a kind!
♥A, ♠10, ♥A, ♣A, ♦9 | three of a kind
♥A, ♠10, ♥A, ♣A, ♦A | four of a kind!
♥A, ♠10, ♥A, ♥A, ♦9 | three of a kind
♥A, ♠10, ♥A, ♥A, ♦A | four of a kind!
♥A, ♠10, ♥A, ♦9, ♦A | three of a kind
♥A, ♠10, ♦9, ♣3, ♣A | pair
♥A, ♠10, ♦9, ♣3, ♥A | pair
♥A, ♠10, ♦9, ♣3, ♦9 | pair
♥A, ♠10, ♦9, ♣3, ♦A | pair
♥A, ♠10, ♦9, ♥2, ♣A | pair
♥A, ♠10, ♦9, ♥2, ♥A | pair
♥A, ♠10, ♦9, ♥2, ♦9 | pair
♥A, ♠10, ♦9, ♥2, ♦A | pair
♥A, ♠10, ♦9, ♠7, ♥7 | pair
♥A, ♠10, ♦9, ♠7, ♣A | pair
♥A, ♠10, ♦9, ♠7, ♥A | pair
♥A, ♠10, ♦9, ♠7, ♦9 | pair
♥A, ♠10, ♦9, ♠7, ♦A | pair
♥A, ♠10, ♦9, ♥7, ♣A | pair
♥A, ♠10, ♦9, ♥7, ♥A | pair
♥A, ♠10, ♦9, ♥7, ♦9 | pair
♥A, ♠10, ♦9, ♥7, ♦A | pair
♥A, ♠10, ♦9, ♣A, ♥A | three of a kind
♥A, ♠10, ♦9, ♣A, ♦9 | two pairs
♥A, ♠10, ♦9, ♣A, ♦A | three of a kind
♥A, ♠10, ♦9, ♥A, ♦9 | two pairs
♥A, ♠10, ♦9, ♥A, ♦A | three of a kind
♥A, ♠10, ♦9, ♦9, ♦A | two pairs
♥A, ♠10, ♣3, ♥2, ♣A | pair
♥A, ♠10, ♣3, ♥2, ♥A | pair
♥A, ♠10, ♣3, ♥2, ♦A | pair
♥A, ♠10, ♣3, ♠7, ♥7 | pair
♥A, ♠10, ♣3, ♠7, ♣A | pair
♥A, ♠10, ♣3, ♠7, ♥A | pair
♥A, ♠10, ♣3, ♠7, ♦A | pair
♥A, ♠10, ♣3, ♥7, ♣A | pair
♥A, ♠10, ♣3, ♥7, ♥A | pair
♥A, ♠10, ♣3, ♥7, ♦A | pair
