♦9, ♦5, ♦J, ♠4, ♣J | pair
♦9, ♦8, ♦8, ♣J, ♦8 | three of a kind
♦9, ♦8, ♦8, ♣J, ♦5 | pair
♦9, ♦8, ♦8, ♣J, ♦9 | two pairs
♦9, ♦8, ♦8, ♠6, ♦8 | three of a kind
♦9, ♦8, ♦8, ♠6, ♦5 | pair
♦9, ♦8, ♦8, ♠6, ♦9 | two pairs
♦9, ♦8, ♦8, ♦8, ♦5 | flush
♦9, ♦8, ♦8, ♦8, ♦9 | fullhouse
♦9, ♦8, ♦8, ♦5, ♦9 | flush
♦9, ♦8, ♣A, ♠A, ♣J | pair
♦9, ♦8, ♣A, ♠A, ♠6 | pair
♦9, ♦8, ♣A, ♠A, ♦8 | two pairs
♦9, ♦8, ♣A, ♠A, ♦5 | pair
♦9, ♦8, ♣A, ♠A, ♦9 | two pairs
♦9, ♦8, ♣A, ♣J, ♦8 | pair
♦9, ♦8, ♣A, ♣J, ♦9 | pair
♦9, ♦8, ♣A, ♠6, ♦8 | pair
♦9, ♦8, ♣A, ♠6, ♦9 | pair
♦9, ♦8, ♣A, ♦8, ♦5 | pair
♦9, ♦8, ♣A, ♦8, ♦9 | two pairs
♦9, ♦8, ♣A, ♦5, ♦9 | pair
♦9, ♦8, ♠A, ♣J, ♦8 | pair
♦9, ♦8, ♠A, ♣J, ♦9 | pair
♦9, ♦8, ♠A, ♠6, ♦8 | pair
♦9, ♦8, ♠A, ♠6, ♦9 | pair
♦9, ♦8, ♠A, ♦8, ♦5 | pair
♦9, ♦8, ♠A, ♦8, ♦9 | two pairs
♦9, ♦8, ♠A, ♦5, ♦9 | pair
♦9, ♦8, ♣J, ♠6, ♦8 | pair
♦9, ♦8, ♣J, ♠6, ♦9 | pair
♦9, ♦8, ♣J, ♦8, ♦5 | pair
♦9, ♦8, ♣J, ♦8, ♦9 | two pairs
♦9, ♦8, ♣J, ♦5, ♦9 | pair
♦9, ♦8, ♠6, ♦8, ♦5 | pair
♦9, ♦8, ♠6, ♦8, ♦9 | two pairs
♦9, ♦8, ♠6, ♦5, ♦9 | pair
♦9, ♦8, ♦8, ♦5, ♦9 | flush
♦9, ♦8, ♣A, ♠A, ♣J | pair
♦9, ♦8, ♣A, ♠A, ♠6 | pair
♦9, ♦8, ♣A, ♠A, ♦8 | two pairs
♦9, ♦8, ♣A, ♠A, ♦5 | pair
♦9, ♦8, ♣A, ♠A, ♦9 | two pairs
♦9, ♦8, ♣A, ♣J, ♦8 | pair
♦9, ♦8, ♣A, ♣J, ♦9 | pair
♦9, ♦8, ♣A, ♠6, ♦8 | pair
♦9, ♦8, ♣A, ♠6, ♦9 | pair
♦9, ♦8, ♣A, ♦8, ♦5 | pair
♦9, ♦8, ♣A, ♦8, ♦9 | two pairs
♦9, ♦8, ♣A, ♦5, ♦9 | pair
♦9, ♦8, ♠A, ♣J, ♦8 | pair
♦9, ♦8, ♠A, ♣J, ♦9 | pair
♦9, ♦8, ♠A, ♠6, ♦8 | pair
♦9, ♦8, ♠A, ♠6, ♦9 | pair
♦9, ♦8, ♠A, ♦8, ♦5 | pair
♦9, ♦8, ♠A, ♦8, ♦9 | two pairs
♦9, ♦8, ♠A, ♦5, ♦9 | pair
♦9, ♦8, ♣J, ♠6, ♦8 | pair
♦9, ♦8, ♣J, ♠6, ♦9 | pair
♦9, ♦8, ♣J, ♦8, ♦5 | pair
♦9, ♦8, ♣J, ♦8, ♦9 | two pairs
♦9, ♦8, ♣J, ♦5, ♦9 | pair
♦9, ♦8, ♠6, ♦8, ♦5 | pair
♦9, ♦8, ♠6, ♦8, ♦9 | two pairs
♦9, ♦8, ♠6, ♦5, ♦9 | pair
♦9, ♦8, ♦8, ♦5, ♦9 | flush
♦9, ♣A, ♠A, ♣J, ♠6 | pair
♦9, ♣A, ♠A, ♣J, ♦8 | pair
♦9, ♣A, ♠A, ♣J, ♦5 | pair
♦9, ♣A, ♠A, ♣J, ♦9 | two pairs
♦9, ♣A, ♠A, ♠6, ♦8 | pair
♦9, ♣A, ♠A, ♠6, ♦5 | pair
♦9, ♣A, ♠A, ♠6, ♦9 | two pairs
♦9, ♣A, ♠A, ♦8, ♦5 | pair
♦9, ♣A, ♠A, ♦8, ♦9 | two pairs
♦9, ♣A, ♠A, ♦5, ♦9 | two pairs
♦9, ♣A, ♣J, ♠6, ♦9 | pair
♦9, ♣A, ♣J, ♦8, ♦9 | pair
♦9, ♣A, ♣J, ♦5, ♦9 | pair
♦9, ♣A, ♠6, ♦8, ♦9 | pair
♦9, ♣A, ♠6, ♦5, ♦9 | pair
♦9, ♣A, ♦8, ♦5, ♦9 | pair
♦9, ♠A, ♣J, ♠6, ♦9 | pair
♦9, ♠A, ♣J, ♦8, ♦9 | pair
♦9, ♠A, ♣J, ♦5, ♦9 | pair
♦9, ♠A, ♠6, ♦8, ♦9 | pair
♦9, ♠A, ♠6, ♦5, ♦9 | pair
♦9, ♠A, ♦8, ♦5, ♦9 | pair
♦9, ♣J, ♠6, ♦8, ♦9 | pair
♦9, ♣J, ♠6, ♦5, ♦9 | pair
♦9, ♣J, ♦8, ♦5, ♦9 | pair
♦9, ♠6, ♦8, ♦5, ♦9 | pair
♦5, ♦J, ♠4, ♥2, ♣J | pair
♦5, ♦J, ♠4, ♥2, ♦5 | pair
♦5, ♦J, ♠4, ♣Q, ♣J | pair
♦5, ♦J, ♠4, ♣Q, ♦5 | pair
♦5, ♦J, ♠4, ♦8, ♦8 | pair
♦5, ♦J, ♠4, ♦8, ♣J | pair
♦5, ♦J, ♠4, ♦8, ♦8 | pair
♦5, ♦J, ♠4, ♦8, ♦5 | pair
♦5, ♦J, ♠4, ♦8, ♣J | pair
♦5, ♦J, ♠4, ♦8, ♦8 | pair
♦5, ♦J, ♠4, ♦8, ♦5 | pair
♦5, ♦J, ♠4, ♣A, ♠A | pair
♦5, ♦J, ♠4, ♣A, ♣J | pair
♦5, ♦J, ♠4, ♣A, ♦5 | pair
♦5, ♦J, ♠4, ♠A, ♣J | pair
♦5, ♦J, ♠4, ♠A, ♦5 | pair
♦5, ♦J, ♠4, ♣J, ♠6 | pair
♦5, ♦J, ♠4, ♣J, ♦8 | pair
♦5, ♦J, ♠4, ♣J, ♦5 | two pairs
♦5, ♦J, ♠4, ♣J, ♦9 | pair
♦5, ♦J, ♠4, ♠6, ♦5 | pair
♦5, ♦J, ♠4, ♦8, ♦5 | pair
♦5, ♦J, ♠4, ♦5, ♦9 | pair
♦5, ♦J, ♥2, ♣Q, ♣J | pair
♦5, ♦J, ♥2, ♣Q, ♦5 | pair
♦5, ♦J, ♥2, ♦8, ♦8 | pair
♦5, ♦J, ♥2, ♦8, ♣J | pair
♦5, ♦J, ♥2, ♦8, ♦8 | pair
♦5, ♦J, ♥2, ♦8, ♦5 | pair
♦5, ♦J, ♥2, ♦8, ♣J | pair
♦5, ♦J, ♥2, ♦8, ♦8 | pair
♦5, ♦J, ♥2, ♦8, ♦5 | pair
♦5, ♦J, ♥2, ♣A, ♠A | pair
♦5, ♦J, ♥2, ♣A, ♣J | pair
♦5, ♦J, ♥2, ♣A, ♦5 | pair
♦5, ♦J, ♥2, ♠A, ♣J | pair
♦5, ♦J, ♥2, ♠A, ♦5 | pair
♦5, ♦J, ♥2, ♣J, ♠6 | pair
♦5, ♦J, ♥2, ♣J, ♦8 | pair
♦5, ♦J, ♥2, ♣J, ♦5 | two pairs
♦5, ♦J, ♥2, ♣J, ♦9 | pair
♦5, ♦J, ♥2, ♠6, ♦5 | pair
♦5, ♦J, ♥2, ♦8, ♦5 | pair
♦5, ♦J, ♥2, ♦5, ♦9 | pair
♦5, ♦J, ♣Q, ♦8, ♦8 | pair
♦5, ♦J, ♣Q, ♦8, ♣J | pair
♦5, ♦J, ♣Q, ♦8, ♦8 | pair
♦5, ♦J, ♣Q, ♦8, ♦5 | pair
♦5, ♦J, ♣Q, ♦8, ♣J | pair
♦5, ♦J, ♣Q, ♦8, ♦8 | pair
♦5, ♦J, ♣Q, ♦8, ♦5 | pair
♦5, ♦J, ♣Q, ♣A, ♠A | pair
♦5, ♦J, ♣Q, ♣A, ♣J | pair
♦5, ♦J, ♣Q, ♣A, ♦5 | pair
♦5, ♦J, ♣Q, ♠A, ♣J | pair
♦5, ♦J, ♣Q, ♠A, ♦5 | pair
♦5, ♦J, ♣Q, ♣J, ♠6 | pair
♦5, ♦J, ♣Q, ♣J, ♦8 | pair
♦5, ♦J, ♣Q, ♣J, ♦5 | two pairs
♦5, ♦J, ♣Q, ♣J, ♦9 | pair
♦5, ♦J, ♣Q, ♠6, ♦5 | pair
♦5, ♦J, ♣Q, ♦8, ♦5 | pair
♦5, ♦J, ♣Q, ♦5, ♦9 | pair
♦5, ♦J, ♦8, ♦8, ♣A | pair
♦5, ♦J, ♦8, ♦8, ♠A | pair
♦5, ♦J, ♦8, ♦8, ♣J | two pairs
♦5, ♦J, ♦8, ♦8, ♠6 | pair
♦5, ♦J, ♦8, ♦8, ♦8 | flush
♦5, ♦J, ♦8, ♦8, ♦5 | flush
♦5, ♦J, ♦8, ♦8, ♦9 | flush
♦5, ♦J, ♦8, ♣A, ♠A | pair
♦5, ♦J, ♦8, ♣A, ♣J | pair
♦5, ♦J, ♦8, ♣A, ♦8 | pair
♦5, ♦J, ♦8, ♣A, ♦5 | pair
♦5, ♦J, ♦8, ♠A, ♣J | pair
♦5, ♦J, ♦8, ♠A, ♦8 | pair
♦5, ♦J, ♦8, ♠A, ♦5 | pair
♦5, ♦J, ♦8, ♣J, ♠6 | pair
♦5, ♦J, ♦8, ♣J, ♦8 | two pairs
♦5, ♦J, ♦8, ♣J, ♦5 | two pairs
♦5, ♦J, ♦8, ♣J, ♦9 | pair
♦5, ♦J, ♦8, ♠6, ♦8 | pair
♦5, ♦J, ♦8, ♠6, ♦5 | pair
♦5, ♦J, ♦8, ♦8, ♦5 | flush
♦5, ♦J, ♦8, ♦8, ♦9 | flush
♦5, ♦J, ♦8, ♦5, ♦9 | flush
♦5, ♦J, ♦8, ♣A, ♠A | pair
♦5, ♦J, ♦8, ♣A, ♣J | pair
♦5, ♦J, ♦8, ♣A, ♦8 | pair
♦5, ♦J, ♦8, ♣A, ♦5 | pair
♦5, ♦J, ♦8, ♠A, ♣J | pair
♦5, ♦J, ♦8, ♠A, ♦8 | pair
♦5, ♦J, ♦8, ♠A, ♦5 | pair
♦5, ♦J, ♦8, ♣J, ♠6 | pair
♦5, ♦J, ♦8, ♣J, ♦8 | two pairs
♦5, ♦J, ♦8, ♣J, ♦5 | two pairs
♦5, ♦J, ♦8, ♣J, ♦9 | pair
♦5, ♦J, ♦8, ♠6, ♦8 | pair
♦5, ♦J, ♦8, ♠6, ♦5 | pair
♦5, ♦J, ♦8, ♦8, ♦5 | flush
♦5, ♦J, ♦8, ♦8, ♦9 | flush
♦5, ♦J, ♦8, ♦5, ♦9 | flush
♦5, ♦J, ♣A, ♠A, ♣J | two pairs
♦5, ♦J, ♣A, ♠A, ♠6 | pair
♦5, ♦J, ♣A, ♠A, ♦8 | pair
♦5, ♦J, ♣A, ♠A, ♦5 | two pairs
♦5, ♦J, ♣A, ♠A, ♦9 | pair
♦5, ♦J, ♣A, ♣J, ♠6 | pair
♦5, ♦J, ♣A, ♣J, ♦8 | pair
♦5, ♦J, ♣A, ♣J, ♦5 | two pairs
♦5, ♦J, ♣A, ♣J, ♦9 | pair
♦5, ♦J, ♣A, ♠6, ♦5 | pair
♦5, ♦J, ♣A, ♦8, ♦5 | pair
♦5, ♦J, ♣A, ♦5, ♦9 | pair
♦5, ♦J, ♠A, ♣J, ♠6 | pair
♦5, ♦J, ♠A, ♣J, ♦8 | pair
♦5, ♦J, ♠A, ♣J, ♦5 | two pairs
♦5, ♦J, ♠A, ♣J, ♦9 | pair
♦5, ♦J, ♠A, ♠6, ♦5 | pair
♦5, ♦J, ♠A, ♦8, ♦5 | pair
♦5, ♦J, ♠A, ♦5, ♦9 | pair
♦5, ♦J, ♣J, ♠6, ♦8 | pair
♦5, ♦J, ♣J, ♠6, ♦5 | two pairs
♦5, ♦J, ♣J, ♠6, ♦9 | pair
♦5, ♦J, ♣J, ♦8, ♦5 | two pairs
♦5, ♦J, ♣J, ♦8, ♦9 | pair
♦5, ♦J, ♣J, ♦5, ♦9 | two pairs
♦5, ♦J, ♠6, ♦8, ♦5 | pair
♦5, ♦J, ♠6, ♦5, ♦9 | pair
♦5, ♦J, ♦8, ♦5, ♦9 | flush
♦5, ♠4, ♥2, ♣Q, ♦5 | pair
♦5, ♠4, ♥2, ♦8, ♦8 | pair
♦5, ♠4, ♥2, ♦8, ♦8 | pair
♦5, ♠4, ♥2, ♦8, ♦5 | pair
♦5, ♠4, ♥2, ♦8, ♦8 | pair
♦5, ♠4, ♥2, ♦8, ♦5 | pair
♦5, ♠4, ♥2, ♣A, ♠A | pair
♦5, ♠4, ♥2, ♣A, ♦5 | pair
♦5, ♠4, ♥2, ♠A, ♦5 | pair
♦5, ♠4, ♥2, ♣J, ♦5 | pair
♦5, ♠4, ♥2, ♠6, ♦5 | pair
♦5, ♠4, ♥2, ♦8, ♦5 | pair
♦5, ♠4, ♥2, ♦5, ♦9 | pair
♦5, ♠4, ♣Q, ♦8, ♦8 | pair
♦5, ♠4, ♣Q, ♦8, ♦8 | pair
♦5, ♠4, ♣Q, ♦8, ♦5 | pair
♦5, ♠4, ♣Q, ♦8, ♦8 | pair
♦5, ♠4, ♣Q, ♦8, ♦5 | pair
♦5, ♠4, ♣Q, ♣A, ♠A | pair
♦5, ♠4, ♣Q, ♣A, ♦5 | pair
♦5, ♠4, ♣Q, ♠A, ♦5 | pair
♦5, ♠4, ♣Q, ♣J, ♦5 | pair
♦5, ♠4, ♣Q, ♠6, ♦5 | pair
♦5, ♠4, ♣Q, ♦8, ♦5 | pair
♦5, ♠4, ♣Q, ♦5, ♦9 | pair
♦5, ♠4, ♦8, ♦8, ♣A | pair
♦5, ♠4, ♦8, ♦8, ♠A | pair
♦5, ♠4, ♦8, ♦8, ♣J | pair
♦5, ♠4, ♦8, ♦8, ♠6 | pair
♦5, ♠4, ♦8, ♦8, ♦8 | three of a kind
♦5, ♠4, ♦8, ♦8, ♦5 | two pairs
♦5, ♠4, ♦8, ♦8, ♦9 | pair
♦5, ♠4, ♦8, ♣A, ♠A | pair
♦5, ♠4, ♦8, ♣A, ♦8 | pair
♦5, ♠4, ♦8, ♣A, ♦5 | pair
♦5, ♠4, ♦8, ♠A, ♦8 | pair
♦5, ♠4, ♦8, ♠A, ♦5 | pair
♦5, ♠4, ♦8, ♣J, ♦8 | pair
♦5, ♠4, ♦8, ♣J, ♦5 | pair
♦5, ♠4, ♦8, ♠6, ♦8 | pair
♦5, ♠4, ♦8, ♠6, ♦5 | pair
♦5, ♠4, ♦8, ♦8, ♦5 | two pairs
♦5, ♠4, ♦8, ♦8, ♦9 | pair
♦5, ♠4, ♦8, ♦5, ♦9 | pair
♦5, ♠4, ♦8, ♣A, ♠A | pair
♦5, ♠4, ♦8, ♣A, ♦8 | pair
♦5, ♠4, ♦8, ♣A, ♦5 | pair
♦5, ♠4, ♦8, ♠A, ♦8 | pair
♦5, ♠4, ♦8, ♠A, ♦5 | pair
♦5, ♠4, ♦8, ♣J, ♦8 | pair
♦5, ♠4, ♦8, ♣J, ♦5 | pair
♦5, ♠4, ♦8, ♠6, ♦8 | pair
♦5, ♠4, ♦8, ♠6, ♦5 | pair
♦5, ♠4, ♦8, ♦8, ♦5 | two pairs
♦5, ♠4, ♦8, ♦8, ♦9 | pair
♦5, ♠4, ♦8, ♦5, ♦9 | pair
♦5, ♠4, ♣A, ♠A, ♣J | pair
♦5, ♠4, ♣A, ♠A, ♠6 | pair
♦5, ♠4, ♣A, ♠A, ♦8 | pair
♦5, ♠4, ♣A, ♠A, ♦5 | two pairs
♦5, ♠4, ♣A, ♠A, ♦9 | pair
♦5, ♠4, ♣A, ♣J, ♦5 | pair
♦5, ♠4, ♣A, ♠6, ♦5 | pair
♦5, ♠4, ♣A, ♦8, ♦5 | pair
♦5, ♠4, ♣A, ♦5, ♦9 | pair
♦5, ♠4, ♠A, ♣J, ♦5 | pair
♦5, ♠4, ♠A, ♠6, ♦5 | pair
♦5, ♠4, ♠A, ♦8, ♦5 | pair
♦5, ♠4, ♠A, ♦5, ♦9 | pair
♦5, ♠4, ♣J, ♠6, ♦5 | pair
♦5, ♠4, ♣J, ♦8, ♦5 | pair
♦5, ♠4, ♣J, ♦5, ♦9 | pair
♦5, ♠4, ♠6, ♦8, ♦5 | pair
♦5, ♠4, ♠6, ♦5, ♦9 | pair
♦5, ♠4, ♦8, ♦5, ♦9 | pair
♦5, ♥2, ♣Q, ♦8, ♦8 | pair
♦5, ♥2, ♣Q, ♦8, ♦8 | pair
♦5, ♥2, ♣Q, ♦8, ♦5 | pair
♦5, ♥2, ♣Q, ♦8, ♦8 | pair
♦5, ♥2, ♣Q, ♦8, ♦5 | pair
♦5, ♥2, ♣Q, ♣A, ♠A | pair
♦5, ♥2, ♣Q, ♣A, ♦5 | pair
♦5, ♥2, ♣Q, ♠A, ♦5 | pair
♦5, ♥2, ♣Q, ♣J, ♦5 | pair
♦5, ♥2, ♣Q, ♠6, ♦5 | pair
♦5, ♥2, ♣Q, ♦8, ♦5 | pair
♦5, ♥2, ♣Q, ♦5, ♦9 | pair
♦5, ♥2, ♦8, ♦8, ♣A | pair
♦5, ♥2, ♦8, ♦8, ♠A | pair
♦5, ♥2, ♦8, ♦8, ♣J | pair
♦5, ♥2, ♦8, ♦8, ♠6 | pair
♦5, ♥2, ♦8, ♦8, ♦8 | three of a kind
♦5, ♥2, ♦8, ♦8, ♦5 | two pairs
♦5, ♥2, ♦8, ♦8, ♦9 | pair
♦5, ♥2, ♦8, ♣A, ♠A | pair
♦5, ♥2, ♦8, ♣A, ♦8 | pair
♦5, ♥2, ♦8, ♣A, ♦5 | pair
♦5, ♥2, ♦8, ♠A, ♦8 | pair
♦5, ♥2, ♦8, ♠A, ♦5 | pair
♦5, ♥2, ♦8, ♣J, ♦8 | pair
♦5, ♥2, ♦8, ♣J, ♦5 | pair
♦5, ♥2, ♦8, ♠6, ♦8 | pair
♦5, ♥2, ♦8, ♠6, ♦5 | pair
♦5, ♥2, ♦8, ♦8, ♦5 | two pairs
♦5, ♥2, ♦8, ♦8, ♦9 | pair
♦5, ♥2, ♦8, ♦5, ♦9 | pair
♦5, ♥2, ♦8, ♣A, ♠A | pair
♦5, ♥2, ♦8, ♣A, ♦8 | pair
♦5, ♥2, ♦8, ♣A, ♦5 | pair
♦5, ♥2, ♦8, ♠A, ♦8 | pair
♦5, ♥2, ♦8, ♠A, ♦5 | pair
♦5, ♥2, ♦8, ♣J, ♦8 | pair
♦5, ♥2, ♦8, ♣J, ♦5 | pair
♦5, ♥2, ♦8, ♠6, ♦8 | pair
♦5, ♥2, ♦8, ♠6, ♦5 | pair
♦5, ♥2, ♦8, ♦8, ♦5 | two pairs
♦5, ♥2, ♦8, ♦8, ♦9 | pair
♦5, ♥2, ♦8, ♦5, ♦9 | pair
♦5, ♥2, ♣A, ♠A, ♣J | pair
♦5, ♥2, ♣A, ♠A, ♠6 | pair
♦5, ♥2, ♣A, ♠A, ♦8 | pair
♦5, ♥2, ♣A, ♠A, ♦5 | two pairs
♦5, ♥2, ♣A, ♠A, ♦9 | pair
♦5, ♥2, ♣A, ♣J, ♦5 | pair
♦5, ♥2, ♣A, ♠6, ♦5 | pair
♦5, ♥2, ♣A, ♦8, ♦5 | pair
♦5, ♥2, ♣A, ♦5, ♦9 | pair
♦5, ♥2, ♠A, ♣J, ♦5 | pair
♦5, ♥2, ♠A, ♠6, ♦5 | pair
♦5, ♥2, ♠A, ♦8, ♦5 | pair
♦5, ♥2, ♠A, ♦5, ♦9 | pair
♦5, ♥2, ♣J, ♠6, ♦5 | pair
♦5, ♥2, ♣J, ♦8, ♦5 | pair
♦5, ♥2, ♣J, ♦5, ♦9 | pair
♦5, ♥2, ♠6, ♦8, ♦5 | pair
♦5, ♥2, ♠6, ♦5, ♦9 | pair
♦5, ♥2, ♦8, ♦5, ♦9 | pair
♦5, ♣Q, ♦8, ♦8, ♣A | pair
♦5, ♣Q, ♦8, ♦8, ♠A | pair
♦5, ♣Q, ♦8, ♦8, ♣J | pair
♦5, ♣Q, ♦8, ♦8, ♠6 | pair
♦5, ♣Q, ♦8, ♦8, ♦8 | three of a kind
♦5, ♣Q, ♦8, ♦8, ♦5 | two pairs
♦5, ♣Q, ♦8, ♦8, ♦9 | pair
♦5, ♣Q, ♦8, ♣A, ♠A | pair
♦5, ♣Q, ♦8, ♣A, ♦8 | pair
♦5, ♣Q, ♦8, ♣A, ♦5 | pair
♦5, ♣Q, ♦8, ♠A, ♦8 | pair
♦5, ♣Q, ♦8, ♠A, ♦5 | pair
♦5, ♣Q, ♦8, ♣J, ♦8 | pair
♦5, ♣Q, ♦8, ♣J, ♦5 | pair
♦5, ♣Q, ♦8, ♠6, ♦8 | pair
♦5, ♣Q, ♦8, ♠6, ♦5 | pair
♦5, ♣Q, ♦8, ♦8, ♦5 | two pairs
♦5, ♣Q, ♦8, ♦8, ♦9 | pair
♦5, ♣Q, ♦8, ♦5, ♦9 | pair
♦5, ♣Q, ♦8, ♣A, ♠A | pair
♦5, ♣Q, ♦8, ♣A, ♦8 | pair
♦5, ♣Q, ♦8, ♣A, ♦5 | pair
♦5, ♣Q, ♦8, ♠A, ♦8 | pair
♦5, ♣Q, ♦8, ♠A, ♦5 | pair
♦5, ♣Q, ♦8, ♣J, ♦8 | pair
♦5, ♣Q, ♦8, ♣J, ♦5 | pair
♦5, ♣Q, ♦8, ♠6, ♦8 | pair
♦5, ♣Q, ♦8, ♠6, ♦5 | pair
♦5, ♣Q, ♦8, ♦8, ♦5 | two pairs
♦5, ♣Q, ♦8, ♦8, ♦9 | pair
♦5, ♣Q, ♦8, ♦5, ♦9 | pair
♦5, ♣Q, ♣A, ♠A, ♣J | pair
♦5, ♣Q, ♣A, ♠A, ♠6 | pair
♦5, ♣Q, ♣A, ♠A, ♦8 | pair
♦5, ♣Q, ♣A, ♠A, ♦5 | two pairs
♦5, ♣Q, ♣A, ♠A, ♦9 | pair
♦5, ♣Q, ♣A, ♣J, ♦5 | pair
♦5, ♣Q, ♣A, ♠6, ♦5 | pair
♦5, ♣Q, ♣A, ♦8, ♦5 | pair
♦5, ♣Q, ♣A, ♦5, ♦9 | pair
♦5, ♣Q, ♠A, ♣J, ♦5 | pair
♦5, ♣Q, ♠A, ♠6, ♦5 | pair
♦5, ♣Q, ♠A, ♦8, ♦5 | pair
♦5, ♣Q, ♠A, ♦5, ♦9 | pair
♦5, ♣Q, ♣J, ♠6, ♦5 | pair
♦5, ♣Q, ♣J, ♦8, ♦5 | pair
♦5, ♣Q, ♣J, ♦5, ♦9 | pair
♦5, ♣Q, ♠6, ♦8, ♦5 | pair
♦5, ♣Q, ♠6, ♦5, ♦9 | pair
♦5, ♣Q, ♦8, ♦5, ♦9 | pair
♦5, ♦8, ♦8, ♣A, ♠A | two pairs
♦5, ♦8, ♦8, ♣A, ♣J | pair
♦5, ♦8, ♦8, ♣A, ♠6 | pair
♦5, ♦8, ♦8, ♣A, ♦8 | three of a kind
♦5, ♦8, ♦8, ♣A, ♦5 | two pairs
♦5, ♦8, ♦8, ♣A, ♦9 | pair
♦5, ♦8, ♦8, ♠A, ♣J | pair
♦5, ♦8, ♦8, ♠A, ♠6 | pair
♦5, ♦8, ♦8, ♠A, ♦8 | three of a kind
♦5, ♦8, ♦8, ♠A, ♦5 | two pairs
♦5, ♦8, ♦8, ♠A, ♦9 | pair
♦5, ♦8, ♦8, ♣J, ♠6 | pair
♦5, ♦8, ♦8, ♣J, ♦8 | three of a kind
♦5, ♦8, ♦8, ♣J, ♦5 | two pairs
♦5, ♦8, ♦8, ♣J, ♦9 | pair
♦5, ♦8, ♦8, ♠6, ♦8 | three of a kind
♦5, ♦8, ♦8, ♠6, ♦5 | two pairs
♦5, ♦8, ♦8, ♠6, ♦9 | pair
♦5, ♦8, ♦8, ♦8, ♦5 | fullhouse
♦5, ♦8, ♦8, ♦8, ♦9 | flush
♦5, ♦8, ♦8, ♦5, ♦9 | flush
♦5, ♦8, ♣A, ♠A, ♣J | pair
♦5, ♦8, ♣A, ♠A, ♠6 | pair
♦5, ♦8, ♣A, ♠A, ♦8 | two pairs
♦5, ♦8, ♣A, ♠A, ♦5 | two pairs
♦5, ♦8, ♣A, ♠A, ♦9 | pair
♦5, ♦8, ♣A, ♣J, ♦8 | pair
♦5, ♦8, ♣A, ♣J, ♦5 | pair
♦5, ♦8, ♣A, ♠6, ♦8 | pair
♦5, ♦8, ♣A, ♠6, ♦5 | pair
♦5, ♦8, ♣A, ♦8, ♦5 | two pairs
♦5, ♦8, ♣A, ♦8, ♦9 | pair
♦5, ♦8, ♣A, ♦5, ♦9 | pair
♦5, ♦8, ♠A, ♣J, ♦8 | pair
♦5, ♦8, ♠A, ♣J, ♦5 | pair
♦5, ♦8, ♠A, ♠6, ♦8 | pair
♦5, ♦8, ♠A, ♠6, ♦5 | pair
♦5, ♦8, ♠A, ♦8, ♦5 | two pairs
♦5, ♦8, ♠A, ♦8, ♦9 | pair
♦5, ♦8, ♠A, ♦5, ♦9 | pair
♦5, ♦8, ♣J, ♠6, ♦8 | pair
♦5, ♦8, ♣J, ♠6, ♦5 | pair
♦5, ♦8, ♣J, ♦8, ♦5 | two pairs
♦5, ♦8, ♣J, ♦8, ♦9 | pair
♦5, ♦8, ♣J, ♦5, ♦9 | pair
♦5, ♦8, ♠6, ♦8, ♦5 | two pairs
♦5, ♦8, ♠6, ♦8, ♦9 | pair
♦5, ♦8, ♠6, ♦5, ♦9 | pair
♦5, ♦8, ♦8, ♦5, ♦9 | flush
♦5, ♦8, ♣A, ♠A, ♣J | pair
♦5, ♦8, ♣A, ♠A, ♠6 | pair
♦5, ♦8, ♣A, ♠A, ♦8 | two pairs
♦5, ♦8, ♣A, ♠A, ♦5 | two pairs
♦5, ♦8, ♣A, ♠A, ♦9 | pair
♦5, ♦8, ♣A, ♣J, ♦8 | pair
♦5, ♦8, ♣A, ♣J, ♦5 | pair
♦5, ♦8, ♣A, ♠6, ♦8 | pair
♦5, ♦8, ♣A, ♠6, ♦5 | pair
♦5, ♦8, ♣A, ♦8, ♦5 | two pairs
♦5, ♦8, ♣A, ♦8, ♦9 | pair
♦5, ♦8, ♣A, ♦5, ♦9 | pair
♦5, ♦8, ♠A, ♣J, ♦8 | pair
♦5, ♦8, ♠A, ♣J, ♦5 | pair
♦5, ♦8, ♠A, ♠6, ♦8 | pair
♦5, ♦8, ♠A, ♠6, ♦5 | pair
♦5, ♦8, ♠A, ♦8, ♦5 | two pairs
♦5, ♦8, ♠A, ♦8, ♦9 | pair
♦5, ♦8, ♠A, ♦5, ♦9 | pair
♦5, ♦8, ♣J, ♠6, ♦8 | pair
♦5, ♦8, ♣J, ♠6, ♦5 | pair
♦5, ♦8, ♣J, ♦8, ♦5 | two pairs
♦5, ♦8, ♣J, ♦8, ♦9 | pair
♦5, ♦8, ♣J, ♦5, ♦9 | pair
♦5, ♦8, ♠6, ♦8, ♦5 | two pairs
♦5, ♦8, ♠6, ♦8, ♦9 | pair
♦5, ♦8, ♠6, ♦5, ♦9 | pair
♦5, ♦8, ♦8, ♦5, ♦9 | flush
♦5, ♣A, ♠A, ♣J, ♠6 | pair
♦5, ♣A, ♠A, ♣J, ♦8 | pair
♦5, ♣A, ♠A, ♣J, ♦5 | two pairs
♦5, ♣A, ♠A, ♣J, ♦9 | pair
♦5, ♣A, ♠A, ♠6, ♦8 | pair
♦5, ♣A, ♠A, ♠6, ♦5 | two pairs
