♠4, ♦J, ♣7, ♥10, ♥7 | pair
♠4, ♥10, ♥7, ♣10, ♥7 | two pairs
♠4, ♥10, ♥7, ♠10, ♣K | pair
♠4, ♥10, ♥7, ♠10, ♥10 | three of a kind
♠4, ♥10, ♥7, ♠10, ♥7 | two pairs
♠4, ♥10, ♥7, ♣K, ♥10 | pair
♠4, ♥10, ♥7, ♣K, ♥7 | pair
♠4, ♥10, ♥7, ♥10, ♥7 | two pairs
♠4, ♥10, ♣7, ♣10, ♠10 | three of a kind
♠4, ♥10, ♣7, ♣10, ♣K | pair
♠4, ♥10, ♣7, ♣10, ♥10 | three of a kind
♠4, ♥10, ♣7, ♣10, ♥7 | two pairs
♠4, ♥10, ♣7, ♠10, ♣K | pair
♠4, ♥10, ♣7, ♠10, ♥10 | three of a kind
♠4, ♥10, ♣7, ♠10, ♥7 | two pairs
♠4, ♥10, ♣7, ♣K, ♥10 | pair
♠4, ♥10, ♣7, ♣K, ♥7 | pair
♠4, ♥10, ♣7, ♥10, ♥7 | two pairs
♠4, ♥10, ♣10, ♠10, ♣K | three of a kind
♠4, ♥10, ♣10, ♠10, ♥10 | four of a kind!
♠4, ♥10, ♣10, ♠10, ♥7 | three of a kind
♠4, ♥10, ♣10, ♣K, ♥10 | three of a kind
♠4, ♥10, ♣10, ♣K, ♥7 | pair
♠4, ♥10, ♣10, ♥10, ♥7 | three of a kind
♠4, ♥10, ♠10, ♣K, ♥10 | three of a kind
♠4, ♥10, ♠10, ♣K, ♥7 | pair
♠4, ♥10, ♠10, ♥10, ♥7 | three of a kind
♠4, ♥10, ♣K, ♥10, ♥7 | pair
♠4, ♦5, ♦6, ♦5, ♥8 | pair
♠4, ♦5, ♦6, ♦5, ♦2 | pair
♠4, ♦5, ♦6, ♦5, ♥7 | pair
♠4, ♦5, ♦6, ♦5, ♣7 | pair
♠4, ♦5, ♦6, ♦5, ♣10 | pair
♠4, ♦5, ♦6, ♦5, ♠10 | pair
♠4, ♦5, ♦6, ♦5, ♣K | pair
♠4, ♦5, ♦6, ♦5, ♥10 | pair
♠4, ♦5, ♦6, ♦5, ♥7 | pair
♠4, ♦5, ♦6, ♥8, ♥7 | straight
♠4, ♦5, ♦6, ♥8, ♣7 | straight
♠4, ♦5, ♦6, ♥8, ♥7 | straight
♠4, ♦5, ♦6, ♥7, ♣7 | pair
♠4, ♦5, ♦6, ♥7, ♥7 | pair
♠4, ♦5, ♦6, ♣7, ♥7 | pair
♠4, ♦5, ♦6, ♣10, ♠10 | pair
♠4, ♦5, ♦6, ♣10, ♥10 | pair
♠4, ♦5, ♦6, ♠10, ♥10 | pair
♠4, ♦5, ♦5, ♥8, ♦2 | pair
♠4, ♦5, ♦5, ♥8, ♥7 | pair
♠4, ♦5, ♦5, ♥8, ♣7 | pair
♠4, ♦5, ♦5, ♥8, ♣10 | pair
♠4, ♦5, ♦5, ♥8, ♠10 | pair
♠4, ♦5, ♦5, ♥8, ♣K | pair
♠4, ♦5, ♦5, ♥8, ♥10 | pair
♠4, ♦5, ♦5, ♥8, ♥7 | pair
♠4, ♦5, ♦5, ♦2, ♥7 | pair
♠4, ♦5, ♦5, ♦2, ♣7 | pair
♠4, ♦5, ♦5, ♦2, ♣10 | pair
♠4, ♦5, ♦5, ♦2, ♠10 | pair
♠4, ♦5, ♦5, ♦2, ♣K | pair
♠4, ♦5, ♦5, ♦2, ♥10 | pair
♠4, ♦5, ♦5, ♦2, ♥7 | pair
♠4, ♦5, ♦5, ♥7, ♣7 | two pairs
♠4, ♦5, ♦5, ♥7, ♣10 | pair
♠4, ♦5, ♦5, ♥7, ♠10 | pair
♠4, ♦5, ♦5, ♥7, ♣K | pair
♠4, ♦5, ♦5, ♥7, ♥10 | pair
♠4, ♦5, ♦5, ♥7, ♥7 | two pairs
♠4, ♦5, ♦5, ♣7, ♣10 | pair
♠4, ♦5, ♦5, ♣7, ♠10 | pair
♠4, ♦5, ♦5, ♣7, ♣K | pair
♠4, ♦5, ♦5, ♣7, ♥10 | pair
♠4, ♦5, ♦5, ♣7, ♥7 | two pairs
♠4, ♦5, ♦5, ♣10, ♠10 | two pairs
♠4, ♦5, ♦5, ♣10, ♣K | pair
♠4, ♦5, ♦5, ♣10, ♥10 | two pairs
♠4, ♦5, ♦5, ♣10, ♥7 | pair
♠4, ♦5, ♦5, ♠10, ♣K | pair
♠4, ♦5, ♦5, ♠10, ♥10 | two pairs
♠4, ♦5, ♦5, ♠10, ♥7 | pair
♠4, ♦5, ♦5, ♣K, ♥10 | pair
♠4, ♦5, ♦5, ♣K, ♥7 | pair
♠4, ♦5, ♦5, ♥10, ♥7 | pair
♠4, ♦5, ♥8, ♥7, ♣7 | pair
♠4, ♦5, ♥8, ♥7, ♥7 | pair
♠4, ♦5, ♥8, ♣7, ♥7 | pair
♠4, ♦5, ♥8, ♣10, ♠10 | pair
♠4, ♦5, ♥8, ♣10, ♥10 | pair
♠4, ♦5, ♥8, ♠10, ♥10 | pair
♠4, ♦5, ♦2, ♥7, ♣7 | pair
♠4, ♦5, ♦2, ♥7, ♥7 | pair
♠4, ♦5, ♦2, ♣7, ♥7 | pair
♠4, ♦5, ♦2, ♣10, ♠10 | pair
♠4, ♦5, ♦2, ♣10, ♥10 | pair
♠4, ♦5, ♦2, ♠10, ♥10 | pair
♠4, ♦5, ♥7, ♣7, ♣10 | pair
♠4, ♦5, ♥7, ♣7, ♠10 | pair
♠4, ♦5, ♥7, ♣7, ♣K | pair
♠4, ♦5, ♥7, ♣7, ♥10 | pair
♠4, ♦5, ♥7, ♣7, ♥7 | three of a kind
♠4, ♦5, ♥7, ♣10, ♠10 | pair
♠4, ♦5, ♥7, ♣10, ♥10 | pair
♠4, ♦5, ♥7, ♣10, ♥7 | pair
♠4, ♦5, ♥7, ♠10, ♥10 | pair
♠4, ♦5, ♥7, ♠10, ♥7 | pair
♠4, ♦5, ♥7, ♣K, ♥7 | pair
♠4, ♦5, ♥7, ♥10, ♥7 | pair
♠4, ♦5, ♣7, ♣10, ♠10 | pair
♠4, ♦5, ♣7, ♣10, ♥10 | pair
♠4, ♦5, ♣7, ♣10, ♥7 | pair
♠4, ♦5, ♣7, ♠10, ♥10 | pair
♠4, ♦5, ♣7, ♠10, ♥7 | pair
♠4, ♦5, ♣7, ♣K, ♥7 | pair
♠4, ♦5, ♣7, ♥10, ♥7 | pair
♠4, ♦5, ♣10, ♠10, ♣K | pair
♠4, ♦5, ♣10, ♠10, ♥10 | three of a kind
♠4, ♦5, ♣10, ♠10, ♥7 | pair
♠4, ♦5, ♣10, ♣K, ♥10 | pair
♠4, ♦5, ♣10, ♥10, ♥7 | pair
♠4, ♦5, ♠10, ♣K, ♥10 | pair
♠4, ♦5, ♠10, ♥10, ♥7 | pair
♠4, ♦6, ♦5, ♥8, ♥7 | straight
♠4, ♦6, ♦5, ♥8, ♣7 | straight
♠4, ♦6, ♦5, ♥8, ♥7 | straight
♠4, ♦6, ♦5, ♥7, ♣7 | pair
♠4, ♦6, ♦5, ♥7, ♥7 | pair
♠4, ♦6, ♦5, ♣7, ♥7 | pair
♠4, ♦6, ♦5, ♣10, ♠10 | pair
♠4, ♦6, ♦5, ♣10, ♥10 | pair
♠4, ♦6, ♦5, ♠10, ♥10 | pair
♠4, ♦6, ♥8, ♥7, ♣7 | pair
♠4, ♦6, ♥8, ♥7, ♥7 | pair
♠4, ♦6, ♥8, ♣7, ♥7 | pair
♠4, ♦6, ♥8, ♣10, ♠10 | pair
♠4, ♦6, ♥8, ♣10, ♥10 | pair
♠4, ♦6, ♥8, ♠10, ♥10 | pair
♠4, ♦6, ♦2, ♥7, ♣7 | pair
♠4, ♦6, ♦2, ♥7, ♥7 | pair
♠4, ♦6, ♦2, ♣7, ♥7 | pair
♠4, ♦6, ♦2, ♣10, ♠10 | pair
♠4, ♦6, ♦2, ♣10, ♥10 | pair
♠4, ♦6, ♦2, ♠10, ♥10 | pair
♠4, ♦6, ♥7, ♣7, ♣10 | pair
♠4, ♦6, ♥7, ♣7, ♠10 | pair
♠4, ♦6, ♥7, ♣7, ♣K | pair
♠4, ♦6, ♥7, ♣7, ♥10 | pair
♠4, ♦6, ♥7, ♣7, ♥7 | three of a kind
♠4, ♦6, ♥7, ♣10, ♠10 | pair
♠4, ♦6, ♥7, ♣10, ♥10 | pair
♠4, ♦6, ♥7, ♣10, ♥7 | pair
♠4, ♦6, ♥7, ♠10, ♥10 | pair
♠4, ♦6, ♥7, ♠10, ♥7 | pair
♠4, ♦6, ♥7, ♣K, ♥7 | pair
♠4, ♦6, ♥7, ♥10, ♥7 | pair
♠4, ♦6, ♣7, ♣10, ♠10 | pair
♠4, ♦6, ♣7, ♣10, ♥10 | pair
♠4, ♦6, ♣7, ♣10, ♥7 | pair
♠4, ♦6, ♣7, ♠10, ♥10 | pair
♠4, ♦6, ♣7, ♠10, ♥7 | pair
♠4, ♦6, ♣7, ♣K, ♥7 | pair
♠4, ♦6, ♣7, ♥10, ♥7 | pair
♠4, ♦6, ♣10, ♠10, ♣K | pair
♠4, ♦6, ♣10, ♠10, ♥10 | three of a kind
♠4, ♦6, ♣10, ♠10, ♥7 | pair
♠4, ♦6, ♣10, ♣K, ♥10 | pair
♠4, ♦6, ♣10, ♥10, ♥7 | pair
♠4, ♦6, ♠10, ♣K, ♥10 | pair
♠4, ♦6, ♠10, ♥10, ♥7 | pair
♠4, ♦5, ♥8, ♥7, ♣7 | pair
♠4, ♦5, ♥8, ♥7, ♥7 | pair
♠4, ♦5, ♥8, ♣7, ♥7 | pair
♠4, ♦5, ♥8, ♣10, ♠10 | pair
♠4, ♦5, ♥8, ♣10, ♥10 | pair
♠4, ♦5, ♥8, ♠10, ♥10 | pair
♠4, ♦5, ♦2, ♥7, ♣7 | pair
♠4, ♦5, ♦2, ♥7, ♥7 | pair
♠4, ♦5, ♦2, ♣7, ♥7 | pair
♠4, ♦5, ♦2, ♣10, ♠10 | pair
♠4, ♦5, ♦2, ♣10, ♥10 | pair
♠4, ♦5, ♦2, ♠10, ♥10 | pair
♠4, ♦5, ♥7, ♣7, ♣10 | pair
♠4, ♦5, ♥7, ♣7, ♠10 | pair
♠4, ♦5, ♥7, ♣7, ♣K | pair
♠4, ♦5, ♥7, ♣7, ♥10 | pair
♠4, ♦5, ♥7, ♣7, ♥7 | three of a kind
♠4, ♦5, ♥7, ♣10, ♠10 | pair
♠4, ♦5, ♥7, ♣10, ♥10 | pair
♠4, ♦5, ♥7, ♣10, ♥7 | pair
♠4, ♦5, ♥7, ♠10, ♥10 | pair
♠4, ♦5, ♥7, ♠10, ♥7 | pair
♠4, ♦5, ♥7, ♣K, ♥7 | pair
♠4, ♦5, ♥7, ♥10, ♥7 | pair
♠4, ♦5, ♣7, ♣10, ♠10 | pair
♠4, ♦5, ♣7, ♣10, ♥10 | pair
♠4, ♦5, ♣7, ♣10, ♥7 | pair
♠4, ♦5, ♣7, ♠10, ♥10 | pair
♠4, ♦5, ♣7, ♠10, ♥7 | pair
♠4, ♦5, ♣7, ♣K, ♥7 | pair
♠4, ♦5, ♣7, ♥10, ♥7 | pair
♠4, ♦5, ♣10, ♠10, ♣K | pair
♠4, ♦5, ♣10, ♠10, ♥10 | three of a kind
♠4, ♦5, ♣10, ♠10, ♥7 | pair
♠4, ♦5, ♣10, ♣K, ♥10 | pair
♠4, ♦5, ♣10, ♥10, ♥7 | pair
♠4, ♦5, ♠10, ♣K, ♥10 | pair
♠4, ♦5, ♠10, ♥10, ♥7 | pair
♠4, ♥8, ♦2, ♥7, ♣7 | pair
♠4, ♥8, ♦2, ♥7, ♥7 | pair
♠4, ♥8, ♦2, ♣7, ♥7 | pair
♠4, ♥8, ♦2, ♣10, ♠10 | pair
♠4, ♥8, ♦2, ♣10, ♥10 | pair
♠4, ♥8, ♦2, ♠10, ♥10 | pair
♠4, ♥8, ♥7, ♣7, ♣10 | pair
♠4, ♥8, ♥7, ♣7, ♠10 | pair
♠4, ♥8, ♥7, ♣7, ♣K | pair
♠4, ♥8, ♥7, ♣7, ♥10 | pair
♠4, ♥8, ♥7, ♣7, ♥7 | three of a kind
♠4, ♥8, ♥7, ♣10, ♠10 | pair
♠4, ♥8, ♥7, ♣10, ♥10 | pair
♠4, ♥8, ♥7, ♣10, ♥7 | pair
♠4, ♥8, ♥7, ♠10, ♥10 | pair
♠4, ♥8, ♥7, ♠10, ♥7 | pair
♠4, ♥8, ♥7, ♣K, ♥7 | pair
♠4, ♥8, ♥7, ♥10, ♥7 | pair
♠4, ♥8, ♣7, ♣10, ♠10 | pair
♠4, ♥8, ♣7, ♣10, ♥10 | pair
♠4, ♥8, ♣7, ♣10, ♥7 | pair
♠4, ♥8, ♣7, ♠10, ♥10 | pair
♠4, ♥8, ♣7, ♠10, ♥7 | pair
♠4, ♥8, ♣7, ♣K, ♥7 | pair
♠4, ♥8, ♣7, ♥10, ♥7 | pair
♠4, ♥8, ♣10, ♠10, ♣K | pair
♠4, ♥8, ♣10, ♠10, ♥10 | three of a kind
♠4, ♥8, ♣10, ♠10, ♥7 | pair
♠4, ♥8, ♣10, ♣K, ♥10 | pair
♠4, ♥8, ♣10, ♥10, ♥7 | pair
♠4, ♥8, ♠10, ♣K, ♥10 | pair
♠4, ♥8, ♠10, ♥10, ♥7 | pair
♠4, ♦2, ♥7, ♣7, ♣10 | pair
♠4, ♦2, ♥7, ♣7, ♠10 | pair
♠4, ♦2, ♥7, ♣7, ♣K | pair
♠4, ♦2, ♥7, ♣7, ♥10 | pair
♠4, ♦2, ♥7, ♣7, ♥7 | three of a kind
♠4, ♦2, ♥7, ♣10, ♠10 | pair
♠4, ♦2, ♥7, ♣10, ♥10 | pair
♠4, ♦2, ♥7, ♣10, ♥7 | pair
♠4, ♦2, ♥7, ♠10, ♥10 | pair
♠4, ♦2, ♥7, ♠10, ♥7 | pair
♠4, ♦2, ♥7, ♣K, ♥7 | pair
♠4, ♦2, ♥7, ♥10, ♥7 | pair
♠4, ♦2, ♣7, ♣10, ♠10 | pair
♠4, ♦2, ♣7, ♣10, ♥10 | pair
♠4, ♦2, ♣7, ♣10, ♥7 | pair
♠4, ♦2, ♣7, ♠10, ♥10 | pair
♠4, ♦2, ♣7, ♠10, ♥7 | pair
♠4, ♦2, ♣7, ♣K, ♥7 | pair
♠4, ♦2, ♣7, ♥10, ♥7 | pair
♠4, ♦2, ♣10, ♠10, ♣K | pair
♠4, ♦2, ♣10, ♠10, ♥10 | three of a kind
♠4, ♦2, ♣10, ♠10, ♥7 | pair
♠4, ♦2, ♣10, ♣K, ♥10 | pair
♠4, ♦2, ♣10, ♥10, ♥7 | pair
♠4, ♦2, ♠10, ♣K, ♥10 | pair
♠4, ♦2, ♠10, ♥10, ♥7 | pair
♠4, ♥7, ♣7, ♣10, ♠10 | two pairs
♠4, ♥7, ♣7, ♣10, ♣K | pair
♠4, ♥7, ♣7, ♣10, ♥10 | two pairs
♠4, ♥7, ♣7, ♣10, ♥7 | three of a kind
♠4, ♥7, ♣7, ♠10, ♣K | pair
♠4, ♥7, ♣7, ♠10, ♥10 | two pairs
♠4, ♥7, ♣7, ♠10, ♥7 | three of a kind
♠4, ♥7, ♣7, ♣K, ♥10 | pair
♠4, ♥7, ♣7, ♣K, ♥7 | three of a kind
♠4, ♥7, ♣7, ♥10, ♥7 | three of a kind
♠4, ♥7, ♣10, ♠10, ♣K | pair
♠4, ♥7, ♣10, ♠10, ♥10 | three of a kind
♠4, ♥7, ♣10, ♠10, ♥7 | two pairs
♠4, ♥7, ♣10, ♣K, ♥10 | pair
♠4, ♥7, ♣10, ♣K, ♥7 | pair
♠4, ♥7, ♣10, ♥10, ♥7 | two pairs
♠4, ♥7, ♠10, ♣K, ♥10 | pair
♠4, ♥7, ♠10, ♣K, ♥7 | pair
♠4, ♥7, ♠10, ♥10, ♥7 | two pairs
♠4, ♥7, ♣K, ♥10, ♥7 | pair
♠4, ♣7, ♣10, ♠10, ♣K | pair
♠4, ♣7, ♣10, ♠10, ♥10 | three of a kind
♠4, ♣7, ♣10, ♠10, ♥7 | two pairs
♠4, ♣7, ♣10, ♣K, ♥10 | pair
♠4, ♣7, ♣10, ♣K, ♥7 | pair
♠4, ♣7, ♣10, ♥10, ♥7 | two pairs
♠4, ♣7, ♠10, ♣K, ♥10 | pair
♠4, ♣7, ♠10, ♣K, ♥7 | pair
♠4, ♣7, ♠10, ♥10, ♥7 | two pairs
♠4, ♣7, ♣K, ♥10, ♥7 | pair
♠4, ♣10, ♠10, ♣K, ♥10 | three of a kind
♠4, ♣10, ♠10, ♣K, ♥7 | pair
♠4, ♣10, ♠10, ♥10, ♥7 | three of a kind
♠4, ♣10, ♣K, ♥10, ♥7 | pair
♠4, ♠10, ♣K, ♥10, ♥7 | pair
♦J, ♣7, ♥10, ♦5, ♦5 | pair
♦J, ♣7, ♥10, ♦5, ♥7 | pair
♦J, ♣7, ♥10, ♦5, ♣7 | pair
♦J, ♣7, ♥10, ♦5, ♣10 | pair
♦J, ♣7, ♥10, ♦5, ♠10 | pair
♦J, ♣7, ♥10, ♦5, ♥10 | pair
♦J, ♣7, ♥10, ♦5, ♥7 | pair
♦J, ♣7, ♥10, ♦6, ♥7 | pair
♦J, ♣7, ♥10, ♦6, ♣7 | pair
♦J, ♣7, ♥10, ♦6, ♣10 | pair
♦J, ♣7, ♥10, ♦6, ♠10 | pair
♦J, ♣7, ♥10, ♦6, ♥10 | pair
♦J, ♣7, ♥10, ♦6, ♥7 | pair
♦J, ♣7, ♥10, ♦5, ♥7 | pair
♦J, ♣7, ♥10, ♦5, ♣7 | pair
♦J, ♣7, ♥10, ♦5, ♣10 | pair
♦J, ♣7, ♥10, ♦5, ♠10 | pair
♦J, ♣7, ♥10, ♦5, ♥10 | pair
♦J, ♣7, ♥10, ♦5, ♥7 | pair
♦J, ♣7, ♥10, ♥8, ♥7 | pair
♦J, ♣7, ♥10, ♥8, ♣7 | pair
♦J, ♣7, ♥10, ♥8, ♣10 | pair
♦J, ♣7, ♥10, ♥8, ♠10 | pair
♦J, ♣7, ♥10, ♥8, ♥10 | pair
♦J, ♣7, ♥10, ♥8, ♥7 | pair
♦J, ♣7, ♥10, ♦2, ♥7 | pair
♦J, ♣7, ♥10, ♦2, ♣7 | pair
♦J, ♣7, ♥10, ♦2, ♣10 | pair
♦J, ♣7, ♥10, ♦2, ♠10 | pair
♦J, ♣7, ♥10, ♦2, ♥10 | pair
♦J, ♣7, ♥10, ♦2, ♥7 | pair
♦J, ♣7, ♥10, ♥7, ♣7 | three of a kind
♦J, ♣7, ♥10, ♥7, ♣10 | two pairs
♦J, ♣7, ♥10, ♥7, ♠10 | two pairs
♦J, ♣7, ♥10, ♥7, ♣K | pair
♦J, ♣7, ♥10, ♥7, ♥10 | two pairs
♦J, ♣7, ♥10, ♥7, ♥7 | three of a kind
♦J, ♣7, ♥10, ♣7, ♣10 | two pairs
♦J, ♣7, ♥10, ♣7, ♠10 | two pairs
♦J, ♣7, ♥10, ♣7, ♣K | pair
♦J, ♣7, ♥10, ♣7, ♥10 | two pairs
♦J, ♣7, ♥10, ♣7, ♥7 | three of a kind
♦J, ♣7, ♥10, ♣10, ♠10 | three of a kind
♦J, ♣7, ♥10, ♣10, ♣K | pair
♦J, ♣7, ♥10, ♣10, ♥10 | three of a kind
♦J, ♣7, ♥10, ♣10, ♥7 | two pairs
♦J, ♣7, ♥10, ♠10, ♣K | pair
♦J, ♣7, ♥10, ♠10, ♥10 | three of a kind
♦J, ♣7, ♥10, ♠10, ♥7 | two pairs
♦J, ♣7, ♥10, ♣K, ♥10 | pair
♦J, ♣7, ♥10, ♣K, ♥7 | pair
♦J, ♣7, ♥10, ♥10, ♥7 | two pairs
♦J, ♣7, ♦5, ♦6, ♦5 | pair
♦J, ♣7, ♦5, ♦6, ♥7 | pair
♦J, ♣7, ♦5, ♦6, ♣7 | pair
♦J, ♣7, ♦5, ♦6, ♥7 | pair
♦J, ♣7, ♦5, ♦5, ♥8 | pair
♦J, ♣7, ♦5, ♦5, ♦2 | pair
♦J, ♣7, ♦5, ♦5, ♥7 | two pairs
♦J, ♣7, ♦5, ♦5, ♣7 | two pairs
♦J, ♣7, ♦5, ♦5, ♣10 | pair
♦J, ♣7, ♦5, ♦5, ♠10 | pair
♦J, ♣7, ♦5, ♦5, ♣K | pair
♦J, ♣7, ♦5, ♦5, ♥10 | pair
♦J, ♣7, ♦5, ♦5, ♥7 | two pairs
♦J, ♣7, ♦5, ♥8, ♥7 | pair
♦J, ♣7, ♦5, ♥8, ♣7 | pair
♦J, ♣7, ♦5, ♥8, ♥7 | pair
♦J, ♣7, ♦5, ♦2, ♥7 | pair
♦J, ♣7, ♦5, ♦2, ♣7 | pair
♦J, ♣7, ♦5, ♦2, ♥7 | pair
♦J, ♣7, ♦5, ♥7, ♣7 | three of a kind
♦J, ♣7, ♦5, ♥7, ♣10 | pair
♦J, ♣7, ♦5, ♥7, ♠10 | pair
♦J, ♣7, ♦5, ♥7, ♣K | pair
♦J, ♣7, ♦5, ♥7, ♥10 | pair
♦J, ♣7, ♦5, ♥7, ♥7 | three of a kind
♦J, ♣7, ♦5, ♣7, ♣10 | pair
♦J, ♣7, ♦5, ♣7, ♠10 | pair
♦J, ♣7, ♦5, ♣7, ♣K | pair
♦J, ♣7, ♦5, ♣7, ♥10 | pair
♦J, ♣7, ♦5, ♣7, ♥7 | three of a kind
♦J, ♣7, ♦5, ♣10, ♠10 | pair
♦J, ♣7, ♦5, ♣10, ♥10 | pair
♦J, ♣7, ♦5, ♣10, ♥7 | pair
♦J, ♣7, ♦5, ♠10, ♥10 | pair
♦J, ♣7, ♦5, ♠10, ♥7 | pair
♦J, ♣7, ♦5, ♣K, ♥7 | pair
♦J, ♣7, ♦5, ♥10, ♥7 | pair
♦J, ♣7, ♦6, ♦5, ♥7 | pair
♦J, ♣7, ♦6, ♦5, ♣7 | pair
♦J, ♣7, ♦6, ♦5, ♥7 | pair
♦J, ♣7, ♦6, ♥8, ♥7 | pair
♦J, ♣7, ♦6, ♥8, ♣7 | pair
♦J, ♣7, ♦6, ♥8, ♥7 | pair
♦J, ♣7, ♦6, ♦2, ♥7 | pair
♦J, ♣7, ♦6, ♦2, ♣7 | pair
♦J, ♣7, ♦6, ♦2, ♥7 | pair
♦J, ♣7, ♦6, ♥7, ♣7 | three of a kind
♦J, ♣7, ♦6, ♥7, ♣10 | pair
♦J, ♣7, ♦6, ♥7, ♠10 | pair
♦J, ♣7, ♦6, ♥7, ♣K | pair
♦J, ♣7, ♦6, ♥7, ♥10 | pair
♦J, ♣7, ♦6, ♥7, ♥7 | three of a kind
♦J, ♣7, ♦6, ♣7, ♣10 | pair
♦J, ♣7, ♦6, ♣7, ♠10 | pair
♦J, ♣7, ♦6, ♣7, ♣K | pair
♦J, ♣7, ♦6, ♣7, ♥10 | pair
♦J, ♣7, ♦6, ♣7, ♥7 | three of a kind
♦J, ♣7, ♦6, ♣10, ♠10 | pair
♦J, ♣7, ♦6, ♣10, ♥10 | pair
♦J, ♣7, ♦6, ♣10, ♥7 | pair
♦J, ♣7, ♦6, ♠10, ♥10 | pair
♦J, ♣7, ♦6, ♠10, ♥7 | pair
♦J, ♣7, ♦6, ♣K, ♥7 | pair
♦J, ♣7, ♦6, ♥10, ♥7 | pair
♦J, ♣7, ♦5, ♥8, ♥7 | pair
♦J, ♣7, ♦5, ♥8, ♣7 | pair
♦J, ♣7, ♦5, ♥8, ♥7 | pair
♦J, ♣7, ♦5, ♦2, ♥7 | pair
♦J, ♣7, ♦5, ♦2, ♣7 | pair
♦J, ♣7, ♦5, ♦2, ♥7 | pair
♦J, ♣7, ♦5, ♥7, ♣7 | three of a kind
♦J, ♣7, ♦5, ♥7, ♣10 | pair
♦J, ♣7, ♦5, ♥7, ♠10 | pair
♦J, ♣7, ♦5, ♥7, ♣K | pair
♦J, ♣7, ♦5, ♥7, ♥10 | pair
♦J, ♣7, ♦5, ♥7, ♥7 | three of a kind
♦J, ♣7, ♦5, ♣7, ♣10 | pair
♦J, ♣7, ♦5, ♣7, ♠10 | pair
♦J, ♣7, ♦5, ♣7, ♣K | pair
♦J, ♣7, ♦5, ♣7, ♥10 | pair
♦J, ♣7, ♦5, ♣7, ♥7 | three of a kind
♦J, ♣7, ♦5, ♣10, ♠10 | pair
♦J, ♣7, ♦5, ♣10, ♥10 | pair
♦J, ♣7, ♦5, ♣10, ♥7 | pair
♦J, ♣7, ♦5, ♠10, ♥10 | pair
♦J, ♣7, ♦5, ♠10, ♥7 | pair
♦J, ♣7, ♦5, ♣K, ♥7 | pair
♦J, ♣7, ♦5, ♥10, ♥7 | pair
♦J, ♣7, ♥8, ♦2, ♥7 | pair
♦J, ♣7, ♥8, ♦2, ♣7 | pair
♦J, ♣7, ♥8, ♦2, ♥7 | pair
♦J, ♣7, ♥8, ♥7, ♣7 | three of a kind
♦J, ♣7, ♥8, ♥7, ♣10 | pair
♦J, ♣7, ♥8, ♥7, ♠10 | pair
♦J, ♣7, ♥8, ♥7, ♣K | pair
♦J, ♣7, ♥8, ♥7, ♥10 | pair
♦J, ♣7, ♥8, ♥7, ♥7 | three of a kind
♦J, ♣7, ♥8, ♣7, ♣10 | pair
♦J, ♣7, ♥8, ♣7, ♠10 | pair
♦J, ♣7, ♥8, ♣7, ♣K | pair
♦J, ♣7, ♥8, ♣7, ♥10 | pair
♦J, ♣7, ♥8, ♣7, ♥7 | three of a kind
♦J, ♣7, ♥8, ♣10, ♠10 | pair
♦J, ♣7, ♥8, ♣10, ♥10 | pair
♦J, ♣7, ♥8, ♣10, ♥7 | pair
♦J, ♣7, ♥8, ♠10, ♥10 | pair
♦J, ♣7, ♥8, ♠10, ♥7 | pair
♦J, ♣7, ♥8, ♣K, ♥7 | pair
♦J, ♣7, ♥8, ♥10, ♥7 | pair
♦J, ♣7, ♦2, ♥7, ♣7 | three of a kind
♦J, ♣7, ♦2, ♥7, ♣10 | pair
♦J, ♣7, ♦2, ♥7, ♠10 | pair
♦J, ♣7, ♦2, ♥7, ♣K | pair
♦J, ♣7, ♦2, ♥7, ♥10 | pair
♦J, ♣7, ♦2, ♥7, ♥7 | three of a kind
♦J, ♣7, ♦2, ♣7, ♣10 | pair
♦J, ♣7, ♦2, ♣7, ♠10 | pair
♦J, ♣7, ♦2, ♣7, ♣K | pair
♦J, ♣7, ♦2, ♣7, ♥10 | pair
♦J, ♣7, ♦2, ♣7, ♥7 | three of a kind
♦J, ♣7, ♦2, ♣10, ♠10 | pair
♦J, ♣7, ♦2, ♣10, ♥10 | pair
♦J, ♣7, ♦2, ♣10, ♥7 | pair
♦J, ♣7, ♦2, ♠10, ♥10 | pair
♦J, ♣7, ♦2, ♠10, ♥7 | pair
♦J, ♣7, ♦2, ♣K, ♥7 | pair
♦J, ♣7, ♦2, ♥10, ♥7 | pair
♦J, ♣7, ♥7, ♣7, ♣10 | three of a kind
♦J, ♣7, ♥7, ♣7, ♠10 | three of a kind
♦J, ♣7, ♥7, ♣7, ♣K | three of a kind
♦J, ♣7, ♥7, ♣7, ♥10 | three of a kind
♦J, ♣7, ♥7, ♣7, ♥7 | four of a kind!
♦J, ♣7, ♥7, ♣10, ♠10 | two pairs
♦J, ♣7, ♥7, ♣10, ♣K | pair
♦J, ♣7, ♥7, ♣10, ♥10 | two pairs
♦J, ♣7, ♥7, ♣10, ♥7 | three of a kind
♦J, ♣7, ♥7, ♠10, ♣K | pair
♦J, ♣7, ♥7, ♠10, ♥10 | two pairs
♦J, ♣7, ♥7, ♠10, ♥7 | three of a kind
♦J, ♣7, ♥7, ♣K, ♥10 | pair
♦J, ♣7, ♥7, ♣K, ♥7 | three of a kind
♦J, ♣7, ♥7, ♥10, ♥7 | three of a kind
