♠Q, ♠2, ♥2, ♣K, ♣8 | pair
♠Q, ♥A, ♥5, ♦7, ♦7 | pair
♠Q, ♥A, ♥5, ♦7, ♥7 | pair
♠Q, ♥A, ♥5, ♦7, ♥7 | pair
♠Q, ♥A, ♣6, ♦7, ♦7 | pair
♠Q, ♥A, ♣6, ♦7, ♥7 | pair
♠Q, ♥A, ♣6, ♦7, ♥7 | pair
♠Q, ♥A, ♦7, ♦7, ♠2 | pair
♠Q, ♥A, ♦7, ♦7, ♥7 | three of a kind
♠Q, ♥A, ♦7, ♠2, ♥7 | pair
♠Q, ♥A, ♦7, ♠2, ♥7 | pair
♠Q, ♥K, ♠6, ♦7, ♣6 | pair
♠Q, ♥K, ♠6, ♦7, ♦7 | pair
♠Q, ♥K, ♠6, ♦7, ♦7 | pair
♠Q, ♥K, ♠6, ♦7, ♥7 | pair
♠Q, ♥K, ♠6, ♥5, ♣6 | pair
♠Q, ♥K, ♠6, ♣6, ♦7 | pair
♠Q, ♥K, ♠6, ♣6, ♦7 | pair
♠Q, ♥K, ♠6, ♣6, ♠2 | pair
♠Q, ♥K, ♠6, ♣6, ♥7 | pair
♠Q, ♥K, ♠6, ♦7, ♦7 | pair
♠Q, ♥K, ♠6, ♦7, ♥7 | pair
♠Q, ♥K, ♠6, ♦7, ♥7 | pair
♠Q, ♥K, ♦7, ♥5, ♦7 | pair
♠Q, ♥K, ♦7, ♥5, ♦7 | pair
♠Q, ♥K, ♦7, ♥5, ♥7 | pair
♠Q, ♥K, ♦7, ♣6, ♦7 | pair
♠Q, ♥K, ♦7, ♣6, ♦7 | pair
♠Q, ♥K, ♦7, ♣6, ♥7 | pair
♠Q, ♥K, ♦7, ♦7, ♦7 | three of a kind
♠Q, ♥K, ♦7, ♦7, ♠2 | pair
♠Q, ♥K, ♦7, ♦7, ♥7 | three of a kind
♠Q, ♥K, ♦7, ♦7, ♠2 | pair
♠Q, ♥K, ♦7, ♦7, ♥7 | three of a kind
♠Q, ♥K, ♦7, ♠2, ♥7 | pair
♠Q, ♥K, ♥5, ♦7, ♦7 | pair
♠Q, ♥K, ♥5, ♦7, ♥7 | pair
♠Q, ♥K, ♥5, ♦7, ♥7 | pair
♠Q, ♥K, ♣6, ♦7, ♦7 | pair
♠Q, ♥K, ♣6, ♦7, ♥7 | pair
♠Q, ♥K, ♣6, ♦7, ♥7 | pair
♠Q, ♥K, ♦7, ♦7, ♠2 | pair
♠Q, ♥K, ♦7, ♦7, ♥7 | three of a kind
♠Q, ♥K, ♦7, ♠2, ♥7 | pair
♠Q, ♥K, ♦7, ♠2, ♥7 | pair
♠Q, ♠6, ♦7, ♥5, ♣6 | pair
♠Q, ♠6, ♦7, ♥5, ♦7 | pair
♠Q, ♠6, ♦7, ♥5, ♦7 | pair
♠Q, ♠6, ♦7, ♥5, ♥7 | pair
♠Q, ♠6, ♦7, ♣6, ♦7 | two pairs
♠Q, ♠6, ♦7, ♣6, ♦7 | two pairs
♠Q, ♠6, ♦7, ♣6, ♠2 | pair
♠Q, ♠6, ♦7, ♣6, ♥7 | two pairs
♠Q, ♠6, ♦7, ♦7, ♦7 | three of a kind
♠Q, ♠6, ♦7, ♦7, ♠2 | pair
♠Q, ♠6, ♦7, ♦7, ♥7 | three of a kind
♠Q, ♠6, ♦7, ♦7, ♠2 | pair
♠Q, ♠6, ♦7, ♦7, ♥7 | three of a kind
♠Q, ♠6, ♦7, ♠2, ♥7 | pair
♠Q, ♠6, ♥5, ♣6, ♦7 | pair
♠Q, ♠6, ♥5, ♣6, ♦7 | pair
♠Q, ♠6, ♥5, ♣6, ♠2 | pair
♠Q, ♠6, ♥5, ♣6, ♥7 | pair
♠Q, ♠6, ♥5, ♦7, ♦7 | pair
♠Q, ♠6, ♥5, ♦7, ♥7 | pair
♠Q, ♠6, ♥5, ♦7, ♥7 | pair
♠Q, ♠6, ♣6, ♦7, ♦7 | two pairs
♠Q, ♠6, ♣6, ♦7, ♠2 | pair
♠Q, ♠6, ♣6, ♦7, ♥7 | two pairs
♠Q, ♠6, ♣6, ♦7, ♠2 | pair
♠Q, ♠6, ♣6, ♦7, ♥7 | two pairs
♠Q, ♠6, ♣6, ♠2, ♥7 | pair
♠Q, ♠6, ♦7, ♦7, ♠2 | pair
♠Q, ♠6, ♦7, ♦7, ♥7 | three of a kind
♠Q, ♠6, ♦7, ♠2, ♥7 | pair
♠Q, ♠6, ♦7, ♠2, ♥7 | pair
♠Q, ♦7, ♥5, ♣6, ♦7 | pair
♠Q, ♦7, ♥5, ♣6, ♦7 | pair
♠Q, ♦7, ♥5, ♣6, ♥7 | pair
♠Q, ♦7, ♥5, ♦7, ♦7 | three of a kind
♠Q, ♦7, ♥5, ♦7, ♠2 | pair
♠Q, ♦7, ♥5, ♦7, ♥7 | three of a kind
♠Q, ♦7, ♥5, ♦7, ♠2 | pair
♠Q, ♦7, ♥5, ♦7, ♥7 | three of a kind
♠Q, ♦7, ♥5, ♠2, ♥7 | pair
♠Q, ♦7, ♣6, ♦7, ♦7 | three of a kind
♠Q, ♦7, ♣6, ♦7, ♠2 | pair
♠Q, ♦7, ♣6, ♦7, ♥7 | three of a kind
♠Q, ♦7, ♣6, ♦7, ♠2 | pair
♠Q, ♦7, ♣6, ♦7, ♥7 | three of a kind
♠Q, ♦7, ♣6, ♠2, ♥7 | pair
♠Q, ♦7, ♦7, ♦7, ♠2 | three of a kind
♠Q, ♦7, ♦7, ♦7, ♥7 | four of a kind!
♠Q, ♦7, ♦7, ♠2, ♥7 | three of a kind
♠Q, ♦7, ♦7, ♠2, ♥7 | three of a kind
♠Q, ♥5, ♣6, ♦7, ♦7 | pair
♠Q, ♥5, ♣6, ♦7, ♥7 | pair
♠Q, ♥5, ♣6, ♦7, ♥7 | pair
♠Q, ♥5, ♦7, ♦7, ♠2 | pair
♠Q, ♥5, ♦7, ♦7, ♥7 | three of a kind
♠Q, ♥5, ♦7, ♠2, ♥7 | pair
♠Q, ♥5, ♦7, ♠2, ♥7 | pair
♠Q, ♣6, ♦7, ♦7, ♠2 | pair
♠Q, ♣6, ♦7, ♦7, ♥7 | three of a kind
♠Q, ♣6, ♦7, ♠2, ♥7 | pair
♠Q, ♣6, ♦7, ♠2, ♥7 | pair
♠Q, ♦7, ♦7, ♠2, ♥7 | three of a kind
♠2, ♥2, ♣K, ♣8, ♥A | pair
♠2, ♥2, ♣K, ♣8, ♥K | two pairs
♠2, ♥2, ♣K, ♣8, ♠6 | pair
♠2, ♥2, ♣K, ♣8, ♦7 | pair
♠2, ♥2, ♣K, ♣8, ♥5 | pair
♠2, ♥2, ♣K, ♣8, ♣6 | pair
♠2, ♥2, ♣K, ♣8, ♦7 | pair
♠2, ♥2, ♣K, ♣8, ♦7 | pair
♠2, ♥2, ♣K, ♣8, ♠2 | three of a kind
♠2, ♥2, ♣K, ♣8, ♥7 | pair
♠2, ♥2, ♣K, ♥A, ♥K | two pairs
♠2, ♥2, ♣K, ♥A, ♠6 | pair
♠2, ♥2, ♣K, ♥A, ♦7 | pair
♠2, ♥2, ♣K, ♥A, ♥5 | pair
♠2, ♥2, ♣K, ♥A, ♣6 | pair
♠2, ♥2, ♣K, ♥A, ♦7 | pair
♠2, ♥2, ♣K, ♥A, ♦7 | pair
♠2, ♥2, ♣K, ♥A, ♠2 | three of a kind
♠2, ♥2, ♣K, ♥A, ♥7 | pair
♠2, ♥2, ♣K, ♥K, ♠6 | two pairs
♠2, ♥2, ♣K, ♥K, ♦7 | two pairs
♠2, ♥2, ♣K, ♥K, ♥5 | two pairs
♠2, ♥2, ♣K, ♥K, ♣6 | two pairs
♠2, ♥2, ♣K, ♥K, ♦7 | two pairs
♠2, ♥2, ♣K, ♥K, ♦7 | two pairs
♠2, ♥2, ♣K, ♥K, ♠2 | fullhouse
♠2, ♥2, ♣K, ♥K, ♥7 | two pairs
♠2, ♥2, ♣K, ♠6, ♦7 | pair
♠2, ♥2, ♣K, ♠6, ♥5 | pair
♠2, ♥2, ♣K, ♠6, ♣6 | two pairs
♠2, ♥2, ♣K, ♠6, ♦7 | pair
♠2, ♥2, ♣K, ♠6, ♦7 | pair
♠2, ♥2, ♣K, ♠6, ♠2 | three of a kind
♠2, ♥2, ♣K, ♠6, ♥7 | pair
♠2, ♥2, ♣K, ♦7, ♥5 | pair
♠2, ♥2, ♣K, ♦7, ♣6 | pair
♠2, ♥2, ♣K, ♦7, ♦7 | two pairs
♠2, ♥2, ♣K, ♦7, ♦7 | two pairs
♠2, ♥2, ♣K, ♦7, ♠2 | three of a kind
♠2, ♥2, ♣K, ♦7, ♥7 | two pairs
♠2, ♥2, ♣K, ♥5, ♣6 | pair
♠2, ♥2, ♣K, ♥5, ♦7 | pair
♠2, ♥2, ♣K, ♥5, ♦7 | pair
♠2, ♥2, ♣K, ♥5, ♠2 | three of a kind
♠2, ♥2, ♣K, ♥5, ♥7 | pair
♠2, ♥2, ♣K, ♣6, ♦7 | pair
♠2, ♥2, ♣K, ♣6, ♦7 | pair
♠2, ♥2, ♣K, ♣6, ♠2 | three of a kind
♠2, ♥2, ♣K, ♣6, ♥7 | pair
♠2, ♥2, ♣K, ♦7, ♦7 | two pairs
♠2, ♥2, ♣K, ♦7, ♠2 | three of a kind
♠2, ♥2, ♣K, ♦7, ♥7 | two pairs
♠2, ♥2, ♣K, ♦7, ♠2 | three of a kind
♠2, ♥2, ♣K, ♦7, ♥7 | two pairs
♠2, ♥2, ♣K, ♠2, ♥7 | three of a kind
♠2, ♥2, ♣8, ♥A, ♥K | pair
♠2, ♥2, ♣8, ♥A, ♠6 | pair
♠2, ♥2, ♣8, ♥A, ♦7 | pair
♠2, ♥2, ♣8, ♥A, ♥5 | pair
♠2, ♥2, ♣8, ♥A, ♣6 | pair
♠2, ♥2, ♣8, ♥A, ♦7 | pair
♠2, ♥2, ♣8, ♥A, ♦7 | pair
♠2, ♥2, ♣8, ♥A, ♠2 | three of a kind
♠2, ♥2, ♣8, ♥A, ♥7 | pair
♠2, ♥2, ♣8, ♥K, ♠6 | pair
♠2, ♥2, ♣8, ♥K, ♦7 | pair
♠2, ♥2, ♣8, ♥K, ♥5 | pair
♠2, ♥2, ♣8, ♥K, ♣6 | pair
♠2, ♥2, ♣8, ♥K, ♦7 | pair
♠2, ♥2, ♣8, ♥K, ♦7 | pair
♠2, ♥2, ♣8, ♥K, ♠2 | three of a kind
♠2, ♥2, ♣8, ♥K, ♥7 | pair
♠2, ♥2, ♣8, ♠6, ♦7 | pair
♠2, ♥2, ♣8, ♠6, ♥5 | pair
♠2, ♥2, ♣8, ♠6, ♣6 | two pairs
♠2, ♥2, ♣8, ♠6, ♦7 | pair
♠2, ♥2, ♣8, ♠6, ♦7 | pair
♠2, ♥2, ♣8, ♠6, ♠2 | three of a kind
♠2, ♥2, ♣8, ♠6, ♥7 | pair
♠2, ♥2, ♣8, ♦7, ♥5 | pair
♠2, ♥2, ♣8, ♦7, ♣6 | pair
♠2, ♥2, ♣8, ♦7, ♦7 | two pairs
♠2, ♥2, ♣8, ♦7, ♦7 | two pairs
♠2, ♥2, ♣8, ♦7, ♠2 | three of a kind
♠2, ♥2, ♣8, ♦7, ♥7 | two pairs
♠2, ♥2, ♣8, ♥5, ♣6 | pair
♠2, ♥2, ♣8, ♥5, ♦7 | pair
♠2, ♥2, ♣8, ♥5, ♦7 | pair
♠2, ♥2, ♣8, ♥5, ♠2 | three of a kind
♠2, ♥2, ♣8, ♥5, ♥7 | pair
♠2, ♥2, ♣8, ♣6, ♦7 | pair
♠2, ♥2, ♣8, ♣6, ♦7 | pair
♠2, ♥2, ♣8, ♣6, ♠2 | three of a kind
♠2, ♥2, ♣8, ♣6, ♥7 | pair
♠2, ♥2, ♣8, ♦7, ♦7 | two pairs
♠2, ♥2, ♣8, ♦7, ♠2 | three of a kind
♠2, ♥2, ♣8, ♦7, ♥7 | two pairs
♠2, ♥2, ♣8, ♦7, ♠2 | three of a kind
♠2, ♥2, ♣8, ♦7, ♥7 | two pairs
♠2, ♥2, ♣8, ♠2, ♥7 | three of a kind
♠2, ♥2, ♥A, ♥K, ♠6 | pair
♠2, ♥2, ♥A, ♥K, ♦7 | pair
♠2, ♥2, ♥A, ♥K, ♥5 | pair
♠2, ♥2, ♥A, ♥K, ♣6 | pair
♠2, ♥2, ♥A, ♥K, ♦7 | pair
♠2, ♥2, ♥A, ♥K, ♦7 | pair
♠2, ♥2, ♥A, ♥K, ♠2 | three of a kind
♠2, ♥2, ♥A, ♥K, ♥7 | pair
♠2, ♥2, ♥A, ♠6, ♦7 | pair
♠2, ♥2, ♥A, ♠6, ♥5 | pair
♠2, ♥2, ♥A, ♠6, ♣6 | two pairs
♠2, ♥2, ♥A, ♠6, ♦7 | pair
♠2, ♥2, ♥A, ♠6, ♦7 | pair
♠2, ♥2, ♥A, ♠6, ♠2 | three of a kind
♠2, ♥2, ♥A, ♠6, ♥7 | pair
♠2, ♥2, ♥A, ♦7, ♥5 | pair
♠2, ♥2, ♥A, ♦7, ♣6 | pair
♠2, ♥2, ♥A, ♦7, ♦7 | two pairs
♠2, ♥2, ♥A, ♦7, ♦7 | two pairs
♠2, ♥2, ♥A, ♦7, ♠2 | three of a kind
♠2, ♥2, ♥A, ♦7, ♥7 | two pairs
♠2, ♥2, ♥A, ♥5, ♣6 | pair
♠2, ♥2, ♥A, ♥5, ♦7 | pair
♠2, ♥2, ♥A, ♥5, ♦7 | pair
♠2, ♥2, ♥A, ♥5, ♠2 | three of a kind
♠2, ♥2, ♥A, ♥5, ♥7 | pair
♠2, ♥2, ♥A, ♣6, ♦7 | pair
♠2, ♥2, ♥A, ♣6, ♦7 | pair
♠2, ♥2, ♥A, ♣6, ♠2 | three of a kind
♠2, ♥2, ♥A, ♣6, ♥7 | pair
♠2, ♥2, ♥A, ♦7, ♦7 | two pairs
♠2, ♥2, ♥A, ♦7, ♠2 | three of a kind
♠2, ♥2, ♥A, ♦7, ♥7 | two pairs
♠2, ♥2, ♥A, ♦7, ♠2 | three of a kind
♠2, ♥2, ♥A, ♦7, ♥7 | two pairs
♠2, ♥2, ♥A, ♠2, ♥7 | three of a kind
♠2, ♥2, ♥K, ♠6, ♦7 | pair
♠2, ♥2, ♥K, ♠6, ♥5 | pair
♠2, ♥2, ♥K, ♠6, ♣6 | two pairs
♠2, ♥2, ♥K, ♠6, ♦7 | pair
♠2, ♥2, ♥K, ♠6, ♦7 | pair
♠2, ♥2, ♥K, ♠6, ♠2 | three of a kind
♠2, ♥2, ♥K, ♠6, ♥7 | pair
♠2, ♥2, ♥K, ♦7, ♥5 | pair
♠2, ♥2, ♥K, ♦7, ♣6 | pair
♠2, ♥2, ♥K, ♦7, ♦7 | two pairs
♠2, ♥2, ♥K, ♦7, ♦7 | two pairs
♠2, ♥2, ♥K, ♦7, ♠2 | three of a kind
♠2, ♥2, ♥K, ♦7, ♥7 | two pairs
♠2, ♥2, ♥K, ♥5, ♣6 | pair
♠2, ♥2, ♥K, ♥5, ♦7 | pair
♠2, ♥2, ♥K, ♥5, ♦7 | pair
♠2, ♥2, ♥K, ♥5, ♠2 | three of a kind
♠2, ♥2, ♥K, ♥5, ♥7 | pair
♠2, ♥2, ♥K, ♣6, ♦7 | pair
♠2, ♥2, ♥K, ♣6, ♦7 | pair
♠2, ♥2, ♥K, ♣6, ♠2 | three of a kind
♠2, ♥2, ♥K, ♣6, ♥7 | pair
♠2, ♥2, ♥K, ♦7, ♦7 | two pairs
♠2, ♥2, ♥K, ♦7, ♠2 | three of a kind
♠2, ♥2, ♥K, ♦7, ♥7 | two pairs
♠2, ♥2, ♥K, ♦7, ♠2 | three of a kind
♠2, ♥2, ♥K, ♦7, ♥7 | two pairs
♠2, ♥2, ♥K, ♠2, ♥7 | three of a kind
♠2, ♥2, ♠6, ♦7, ♥5 | pair
♠2, ♥2, ♠6, ♦7, ♣6 | two pairs
♠2, ♥2, ♠6, ♦7, ♦7 | two pairs
♠2, ♥2, ♠6, ♦7, ♦7 | two pairs
♠2, ♥2, ♠6, ♦7, ♠2 | three of a kind
♠2, ♥2, ♠6, ♦7, ♥7 | two pairs
♠2, ♥2, ♠6, ♥5, ♣6 | two pairs
♠2, ♥2, ♠6, ♥5, ♦7 | pair
♠2, ♥2, ♠6, ♥5, ♦7 | pair
♠2, ♥2, ♠6, ♥5, ♠2 | three of a kind
♠2, ♥2, ♠6, ♥5, ♥7 | pair
♠2, ♥2, ♠6, ♣6, ♦7 | two pairs
♠2, ♥2, ♠6, ♣6, ♦7 | two pairs
♠2, ♥2, ♠6, ♣6, ♠2 | fullhouse
♠2, ♥2, ♠6, ♣6, ♥7 | two pairs
♠2, ♥2, ♠6, ♦7, ♦7 | two pairs
♠2, ♥2, ♠6, ♦7, ♠2 | three of a kind
♠2, ♥2, ♠6, ♦7, ♥7 | two pairs
♠2, ♥2, ♠6, ♦7, ♠2 | three of a kind
♠2, ♥2, ♠6, ♦7, ♥7 | two pairs
♠2, ♥2, ♠6, ♠2, ♥7 | three of a kind
♠2, ♥2, ♦7, ♥5, ♣6 | pair
♠2, ♥2, ♦7, ♥5, ♦7 | two pairs
♠2, ♥2, ♦7, ♥5, ♦7 | two pairs
♠2, ♥2, ♦7, ♥5, ♠2 | three of a kind
♠2, ♥2, ♦7, ♥5, ♥7 | two pairs
♠2, ♥2, ♦7, ♣6, ♦7 | two pairs
♠2, ♥2, ♦7, ♣6, ♦7 | two pairs
♠2, ♥2, ♦7, ♣6, ♠2 | three of a kind
♠2, ♥2, ♦7, ♣6, ♥7 | two pairs
♠2, ♥2, ♦7, ♦7, ♦7 | fullhouse
♠2, ♥2, ♦7, ♦7, ♠2 | fullhouse
♠2, ♥2, ♦7, ♦7, ♥7 | fullhouse
♠2, ♥2, ♦7, ♦7, ♠2 | fullhouse
♠2, ♥2, ♦7, ♦7, ♥7 | fullhouse
♠2, ♥2, ♦7, ♠2, ♥7 | fullhouse
♠2, ♥2, ♥5, ♣6, ♦7 | pair
♠2, ♥2, ♥5, ♣6, ♦7 | pair
♠2, ♥2, ♥5, ♣6, ♠2 | three of a kind
♠2, ♥2, ♥5, ♣6, ♥7 | pair
♠2, ♥2, ♥5, ♦7, ♦7 | two pairs
♠2, ♥2, ♥5, ♦7, ♠2 | three of a kind
♠2, ♥2, ♥5, ♦7, ♥7 | two pairs
♠2, ♥2, ♥5, ♦7, ♠2 | three of a kind
♠2, ♥2, ♥5, ♦7, ♥7 | two pairs
♠2, ♥2, ♥5, ♠2, ♥7 | three of a kind
♠2, ♥2, ♣6, ♦7, ♦7 | two pairs
♠2, ♥2, ♣6, ♦7, ♠2 | three of a kind
♠2, ♥2, ♣6, ♦7, ♥7 | two pairs
♠2, ♥2, ♣6, ♦7, ♠2 | three of a kind
♠2, ♥2, ♣6, ♦7, ♥7 | two pairs
♠2, ♥2, ♣6, ♠2, ♥7 | three of a kind
♠2, ♥2, ♦7, ♦7, ♠2 | fullhouse
♠2, ♥2, ♦7, ♦7, ♥7 | fullhouse
♠2, ♥2, ♦7, ♠2, ♥7 | fullhouse
♠2, ♥2, ♦7, ♠2, ♥7 | fullhouse
♠2, ♣K, ♣8, ♥A, ♥K | pair
♠2, ♣K, ♣8, ♥A, ♠2 | pair
♠2, ♣K, ♣8, ♥K, ♠6 | pair
♠2, ♣K, ♣8, ♥K, ♦7 | pair
♠2, ♣K, ♣8, ♥K, ♥5 | pair
♠2, ♣K, ♣8, ♥K, ♣6 | pair
♠2, ♣K, ♣8, ♥K, ♦7 | pair
♠2, ♣K, ♣8, ♥K, ♦7 | pair
♠2, ♣K, ♣8, ♥K, ♠2 | two pairs
♠2, ♣K, ♣8, ♥K, ♥7 | pair
♠2, ♣K, ♣8, ♠6, ♣6 | pair
♠2, ♣K, ♣8, ♠6, ♠2 | pair
♠2, ♣K, ♣8, ♦7, ♦7 | pair
♠2, ♣K, ♣8, ♦7, ♦7 | pair
♠2, ♣K, ♣8, ♦7, ♠2 | pair
♠2, ♣K, ♣8, ♦7, ♥7 | pair
♠2, ♣K, ♣8, ♥5, ♠2 | pair
♠2, ♣K, ♣8, ♣6, ♠2 | pair
♠2, ♣K, ♣8, ♦7, ♦7 | pair
♠2, ♣K, ♣8, ♦7, ♠2 | pair
♠2, ♣K, ♣8, ♦7, ♥7 | pair
♠2, ♣K, ♣8, ♦7, ♠2 | pair
♠2, ♣K, ♣8, ♦7, ♥7 | pair
♠2, ♣K, ♣8, ♠2, ♥7 | pair
♠2, ♣K, ♥A, ♥K, ♠6 | pair
♠2, ♣K, ♥A, ♥K, ♦7 | pair
♠2, ♣K, ♥A, ♥K, ♥5 | pair
♠2, ♣K, ♥A, ♥K, ♣6 | pair
♠2, ♣K, ♥A, ♥K, ♦7 | pair
♠2, ♣K, ♥A, ♥K, ♦7 | pair
♠2, ♣K, ♥A, ♥K, ♠2 | two pairs
♠2, ♣K, ♥A, ♥K, ♥7 | pair
♠2, ♣K, ♥A, ♠6, ♣6 | pair
♠2, ♣K, ♥A, ♠6, ♠2 | pair
♠2, ♣K, ♥A, ♦7, ♦7 | pair
♠2, ♣K, ♥A, ♦7, ♦7 | pair
♠2, ♣K, ♥A, ♦7, ♠2 | pair
♠2, ♣K, ♥A, ♦7, ♥7 | pair
♠2, ♣K, ♥A, ♥5, ♠2 | pair
♠2, ♣K, ♥A, ♣6, ♠2 | pair
♠2, ♣K, ♥A, ♦7, ♦7 | pair
♠2, ♣K, ♥A, ♦7, ♠2 | pair
♠2, ♣K, ♥A, ♦7, ♥7 | pair
♠2, ♣K, ♥A, ♦7, ♠2 | pair
♠2, ♣K, ♥A, ♦7, ♥7 | pair
♠2, ♣K, ♥A, ♠2, ♥7 | pair
♠2, ♣K, ♥K, ♠6, ♦7 | pair
♠2, ♣K, ♥K, ♠6, ♥5 | pair
♠2, ♣K, ♥K, ♠6, ♣6 | two pairs
♠2, ♣K, ♥K, ♠6, ♦7 | pair
♠2, ♣K, ♥K, ♠6, ♦7 | pair
♠2, ♣K, ♥K, ♠6, ♠2 | two pairs
♠2, ♣K, ♥K, ♠6, ♥7 | pair
♠2, ♣K, ♥K, ♦7, ♥5 | pair
♠2, ♣K, ♥K, ♦7, ♣6 | pair
♠2, ♣K, ♥K, ♦7, ♦7 | two pairs
♠2, ♣K, ♥K, ♦7, ♦7 | two pairs
♠2, ♣K, ♥K, ♦7, ♠2 | two pairs
♠2, ♣K, ♥K, ♦7, ♥7 | two pairs
♠2, ♣K, ♥K, ♥5, ♣6 | pair
♠2, ♣K, ♥K, ♥5, ♦7 | pair
♠2, ♣K, ♥K, ♥5, ♦7 | pair
♠2, ♣K, ♥K, ♥5, ♠2 | two pairs
♠2, ♣K, ♥K, ♥5, ♥7 | pair
♠2, ♣K, ♥K, ♣6, ♦7 | pair
♠2, ♣K, ♥K, ♣6, ♦7 | pair
♠2, ♣K, ♥K, ♣6, ♠2 | two pairs
♠2, ♣K, ♥K, ♣6, ♥7 | pair
♠2, ♣K, ♥K, ♦7, ♦7 | two pairs
♠2, ♣K, ♥K, ♦7, ♠2 | two pairs
♠2, ♣K, ♥K, ♦7, ♥7 | two pairs
♠2, ♣K, ♥K, ♦7, ♠2 | two pairs
♠2, ♣K, ♥K, ♦7, ♥7 | two pairs
♠2, ♣K, ♥K, ♠2, ♥7 | two pairs
♠2, ♣K, ♠6, ♦7, ♣6 | pair
♠2, ♣K, ♠6, ♦7, ♦7 | pair
♠2, ♣K, ♠6, ♦7, ♦7 | pair
♠2, ♣K, ♠6, ♦7, ♠2 | pair
♠2, ♣K, ♠6, ♦7, ♥7 | pair
♠2, ♣K, ♠6, ♥5, ♣6 | pair
♠2, ♣K, ♠6, ♥5, ♠2 | pair
♠2, ♣K, ♠6, ♣6, ♦7 | pair
♠2, ♣K, ♠6, ♣6, ♦7 | pair
♠2, ♣K, ♠6, ♣6, ♠2 | two pairs
♠2, ♣K, ♠6, ♣6, ♥7 | pair
♠2, ♣K, ♠6, ♦7, ♦7 | pair
♠2, ♣K, ♠6, ♦7, ♠2 | pair
♠2, ♣K, ♠6, ♦7, ♥7 | pair
♠2, ♣K, ♠6, ♦7, ♠2 | pair
♠2, ♣K, ♠6, ♦7, ♥7 | pair
♠2, ♣K, ♠6, ♠2, ♥7 | pair
♠2, ♣K, ♦7, ♥5, ♦7 | pair
♠2, ♣K, ♦7, ♥5, ♦7 | pair
♠2, ♣K, ♦7, ♥5, ♠2 | pair
♠2, ♣K, ♦7, ♥5, ♥7 | pair
♠2, ♣K, ♦7, ♣6, ♦7 | pair
♠2, ♣K, ♦7, ♣6, ♦7 | pair
♠2, ♣K, ♦7, ♣6, ♠2 | pair
♠2, ♣K, ♦7, ♣6, ♥7 | pair
♠2, ♣K, ♦7, ♦7, ♦7 | three of a kind
♠2, ♣K, ♦7, ♦7, ♠2 | two pairs
♠2, ♣K, ♦7, ♦7, ♥7 | three of a kind
♠2, ♣K, ♦7, ♦7, ♠2 | two pairs
♠2, ♣K, ♦7, ♦7, ♥7 | three of a kind
♠2, ♣K, ♦7, ♠2, ♥7 | two pairs
♠2, ♣K, ♥5, ♣6, ♠2 | pair
♠2, ♣K, ♥5, ♦7, ♦7 | pair
♠2, ♣K, ♥5, ♦7, ♠2 | pair
♠2, ♣K, ♥5, ♦7, ♥7 | pair
♠2, ♣K, ♥5, ♦7, ♠2 | pair
♠2, ♣K, ♥5, ♦7, ♥7 | pair
♠2, ♣K, ♥5, ♠2, ♥7 | pair
♠2, ♣K, ♣6, ♦7, ♦7 | pair
♠2, ♣K, ♣6, ♦7, ♠2 | pair
♠2, ♣K, ♣6, ♦7, ♥7 | pair
♠2, ♣K, ♣6, ♦7, ♠2 | pair
♠2, ♣K, ♣6, ♦7, ♥7 | pair
♠2, ♣K, ♣6, ♠2, ♥7 | pair
♠2, ♣K, ♦7, ♦7, ♠2 | two pairs
♠2, ♣K, ♦7, ♦7, ♥7 | three of a kind
♠2, ♣K, ♦7, ♠2, ♥7 | two pairs
♠2, ♣K, ♦7, ♠2, ♥7 | two pairs
♠2, ♣8, ♥A, ♥K, ♠2 | pair
♠2, ♣8, ♥A, ♠6, ♣6 | pair
♠2, ♣8, ♥A, ♠6, ♠2 | pair
♠2, ♣8, ♥A, ♦7, ♦7 | pair
♠2, ♣8, ♥A, ♦7, ♦7 | pair
♠2, ♣8, ♥A, ♦7, ♠2 | pair
♠2, ♣8, ♥A, ♦7, ♥7 | pair
♠2, ♣8, ♥A, ♥5, ♠2 | pair
♠2, ♣8, ♥A, ♣6, ♠2 | pair
♠2, ♣8, ♥A, ♦7, ♦7 | pair
♠2, ♣8, ♥A, ♦7, ♠2 | pair
♠2, ♣8, ♥A, ♦7, ♥7 | pair
♠2, ♣8, ♥A, ♦7, ♠2 | pair
♠2, ♣8, ♥A, ♦7, ♥7 | pair
♠2, ♣8, ♥A, ♠2, ♥7 | pair
♠2, ♣8, ♥K, ♠6, ♣6 | pair
♠2, ♣8, ♥K, ♠6, ♠2 | pair
♠2, ♣8, ♥K, ♦7, ♦7 | pair
♠2, ♣8, ♥K, ♦7, ♦7 | pair
♠2, ♣8, ♥K, ♦7, ♠2 | pair
♠2, ♣8, ♥K, ♦7, ♥7 | pair
♠2, ♣8, ♥K, ♥5, ♠2 | pair
♠2, ♣8, ♥K, ♣6, ♠2 | pair
♠2, ♣8, ♥K, ♦7, ♦7 | pair
♠2, ♣8, ♥K, ♦7, ♠2 | pair
♠2, ♣8, ♥K, ♦7, ♥7 | pair
♠2, ♣8, ♥K, ♦7, ♠2 | pair
♠2, ♣8, ♥K, ♦7, ♥7 | pair
♠2, ♣8, ♥K, ♠2, ♥7 | pair
♠2, ♣8, ♠6, ♦7, ♣6 | pair
♠2, ♣8, ♠6, ♦7, ♦7 | pair
