♦Q, ♣5, ♠A, ♦8, ♠Q | pair
♣5, ♦8, ♦7, ♥8, ♥9 | pair
♣5, ♦8, ♦7, ♦8, ♥10 | pair
♣5, ♦8, ♦7, ♦8, ♥9 | pair
♣5, ♦8, ♦3, ♥8, ♦8 | three of a kind
♣5, ♦8, ♦3, ♥8, ♥10 | pair
♣5, ♦8, ♦3, ♥8, ♥9 | pair
♣5, ♦8, ♦3, ♦8, ♥10 | pair
♣5, ♦8, ♦3, ♦8, ♥9 | pair
♣5, ♦8, ♥8, ♦8, ♥10 | three of a kind
♣5, ♦8, ♥8, ♦8, ♥9 | three of a kind
♣5, ♦8, ♥8, ♥10, ♥9 | pair
♣5, ♦8, ♦8, ♥10, ♥9 | pair
♣5, ♣K, ♣10, ♠Q, ♥10 | pair
♣5, ♣K, ♣10, ♣6, ♥10 | pair
♣5, ♣K, ♣10, ♦7, ♥10 | pair
♣5, ♣K, ♣10, ♦3, ♥10 | pair
♣5, ♣K, ♣10, ♥8, ♦8 | pair
♣5, ♣K, ♣10, ♥8, ♥10 | pair
♣5, ♣K, ♣10, ♦8, ♥10 | pair
♣5, ♣K, ♣10, ♥10, ♥9 | pair
♣5, ♣K, ♠Q, ♥8, ♦8 | pair
♣5, ♣K, ♣6, ♥8, ♦8 | pair
♣5, ♣K, ♦7, ♥8, ♦8 | pair
♣5, ♣K, ♦3, ♥8, ♦8 | pair
♣5, ♣K, ♥8, ♦8, ♥10 | pair
♣5, ♣K, ♥8, ♦8, ♥9 | pair
♣5, ♣10, ♠Q, ♣6, ♥10 | pair
♣5, ♣10, ♠Q, ♦7, ♥10 | pair
♣5, ♣10, ♠Q, ♦3, ♥10 | pair
♣5, ♣10, ♠Q, ♥8, ♦8 | pair
♣5, ♣10, ♠Q, ♥8, ♥10 | pair
♣5, ♣10, ♠Q, ♦8, ♥10 | pair
♣5, ♣10, ♠Q, ♥10, ♥9 | pair
♣5, ♣10, ♣6, ♦7, ♥10 | pair
♣5, ♣10, ♣6, ♦3, ♥10 | pair
♣5, ♣10, ♣6, ♥8, ♦8 | pair
♣5, ♣10, ♣6, ♥8, ♥10 | pair
♣5, ♣10, ♣6, ♦8, ♥10 | pair
♣5, ♣10, ♣6, ♥10, ♥9 | pair
♣5, ♣10, ♦7, ♦3, ♥10 | pair
♣5, ♣10, ♦7, ♥8, ♦8 | pair
♣5, ♣10, ♦7, ♥8, ♥10 | pair
♣5, ♣10, ♦7, ♦8, ♥10 | pair
♣5, ♣10, ♦7, ♥10, ♥9 | pair
♣5, ♣10, ♦3, ♥8, ♦8 | pair
♣5, ♣10, ♦3, ♥8, ♥10 | pair
♣5, ♣10, ♦3, ♦8, ♥10 | pair
♣5, ♣10, ♦3, ♥10, ♥9 | pair
♣5, ♣10, ♥8, ♦8, ♥10 | two pairs
♣5, ♣10, ♥8, ♦8, ♥9 | pair
♣5, ♣10, ♥8, ♥10, ♥9 | pair
♣5, ♣10, ♦8, ♥10, ♥9 | pair
♣5, ♠Q, ♣6, ♥8, ♦8 | pair
♣5, ♠Q, ♦7, ♥8, ♦8 | pair
♣5, ♠Q, ♦3, ♥8, ♦8 | pair
♣5, ♠Q, ♥8, ♦8, ♥10 | pair
♣5, ♠Q, ♥8, ♦8, ♥9 | pair
♣5, ♣6, ♦7, ♥8, ♦8 | pair
♣5, ♣6, ♦7, ♥8, ♥9 | straight
♣5, ♣6, ♦7, ♦8, ♥9 | straight
♣5, ♣6, ♦3, ♥8, ♦8 | pair
♣5, ♣6, ♥8, ♦8, ♥10 | pair
♣5, ♣6, ♥8, ♦8, ♥9 | pair
♣5, ♦7, ♦3, ♥8, ♦8 | pair
♣5, ♦7, ♥8, ♦8, ♥10 | pair
♣5, ♦7, ♥8, ♦8, ♥9 | pair
♣5, ♦3, ♥8, ♦8, ♥10 | pair
♣5, ♦3, ♥8, ♦8, ♥9 | pair
♣5, ♥8, ♦8, ♥10, ♥9 | pair
♠A, ♦8, ♣K, ♣10, ♥8 | pair
♠A, ♦8, ♣K, ♣10, ♦8 | pair
♠A, ♦8, ♣K, ♣10, ♥10 | pair
♠A, ♦8, ♣K, ♠Q, ♥8 | pair
♠A, ♦8, ♣K, ♠Q, ♦8 | pair
♠A, ♦8, ♣K, ♣6, ♥8 | pair
♠A, ♦8, ♣K, ♣6, ♦8 | pair
♠A, ♦8, ♣K, ♦7, ♥8 | pair
♠A, ♦8, ♣K, ♦7, ♦8 | pair
♠A, ♦8, ♣K, ♦3, ♥8 | pair
♠A, ♦8, ♣K, ♦3, ♦8 | pair
♠A, ♦8, ♣K, ♥8, ♦8 | three of a kind
♠A, ♦8, ♣K, ♥8, ♥10 | pair
♠A, ♦8, ♣K, ♥8, ♥9 | pair
♠A, ♦8, ♣K, ♦8, ♥10 | pair
♠A, ♦8, ♣K, ♦8, ♥9 | pair
♠A, ♦8, ♣10, ♠Q, ♥8 | pair
♠A, ♦8, ♣10, ♠Q, ♦8 | pair
♠A, ♦8, ♣10, ♠Q, ♥10 | pair
♠A, ♦8, ♣10, ♣6, ♥8 | pair
♠A, ♦8, ♣10, ♣6, ♦8 | pair
♠A, ♦8, ♣10, ♣6, ♥10 | pair
♠A, ♦8, ♣10, ♦7, ♥8 | pair
♠A, ♦8, ♣10, ♦7, ♦8 | pair
♠A, ♦8, ♣10, ♦7, ♥10 | pair
♠A, ♦8, ♣10, ♦3, ♥8 | pair
♠A, ♦8, ♣10, ♦3, ♦8 | pair
♠A, ♦8, ♣10, ♦3, ♥10 | pair
♠A, ♦8, ♣10, ♥8, ♦8 | three of a kind
♠A, ♦8, ♣10, ♥8, ♥10 | two pairs
♠A, ♦8, ♣10, ♥8, ♥9 | pair
♠A, ♦8, ♣10, ♦8, ♥10 | two pairs
♠A, ♦8, ♣10, ♦8, ♥9 | pair
♠A, ♦8, ♣10, ♥10, ♥9 | pair
♠A, ♦8, ♠Q, ♣6, ♥8 | pair
♠A, ♦8, ♠Q, ♣6, ♦8 | pair
♠A, ♦8, ♠Q, ♦7, ♥8 | pair
♠A, ♦8, ♠Q, ♦7, ♦8 | pair
♠A, ♦8, ♠Q, ♦3, ♥8 | pair
♠A, ♦8, ♠Q, ♦3, ♦8 | pair
♠A, ♦8, ♠Q, ♥8, ♦8 | three of a kind
♠A, ♦8, ♠Q, ♥8, ♥10 | pair
♠A, ♦8, ♠Q, ♥8, ♥9 | pair
♠A, ♦8, ♠Q, ♦8, ♥10 | pair
♠A, ♦8, ♠Q, ♦8, ♥9 | pair
♠A, ♦8, ♣6, ♦7, ♥8 | pair
♠A, ♦8, ♣6, ♦7, ♦8 | pair
♠A, ♦8, ♣6, ♦3, ♥8 | pair
♠A, ♦8, ♣6, ♦3, ♦8 | pair
♠A, ♦8, ♣6, ♥8, ♦8 | three of a kind
♠A, ♦8, ♣6, ♥8, ♥10 | pair
♠A, ♦8, ♣6, ♥8, ♥9 | pair
♠A, ♦8, ♣6, ♦8, ♥10 | pair
♠A, ♦8, ♣6, ♦8, ♥9 | pair
♠A, ♦8, ♦7, ♦3, ♥8 | pair
♠A, ♦8, ♦7, ♦3, ♦8 | pair
♠A, ♦8, ♦7, ♥8, ♦8 | three of a kind
♠A, ♦8, ♦7, ♥8, ♥10 | pair
♠A, ♦8, ♦7, ♥8, ♥9 | pair
♠A, ♦8, ♦7, ♦8, ♥10 | pair
♠A, ♦8, ♦7, ♦8, ♥9 | pair
♠A, ♦8, ♦3, ♥8, ♦8 | three of a kind
♠A, ♦8, ♦3, ♥8, ♥10 | pair
♠A, ♦8, ♦3, ♥8, ♥9 | pair
♠A, ♦8, ♦3, ♦8, ♥10 | pair
♠A, ♦8, ♦3, ♦8, ♥9 | pair
♠A, ♦8, ♥8, ♦8, ♥10 | three of a kind
♠A, ♦8, ♥8, ♦8, ♥9 | three of a kind
♠A, ♦8, ♥8, ♥10, ♥9 | pair
♠A, ♦8, ♦8, ♥10, ♥9 | pair
♠A, ♣K, ♣10, ♠Q, ♥10 | pair
♠A, ♣K, ♣10, ♣6, ♥10 | pair
♠A, ♣K, ♣10, ♦7, ♥10 | pair
♠A, ♣K, ♣10, ♦3, ♥10 | pair
♠A, ♣K, ♣10, ♥8, ♦8 | pair
♠A, ♣K, ♣10, ♥8, ♥10 | pair
♠A, ♣K, ♣10, ♦8, ♥10 | pair
♠A, ♣K, ♣10, ♥10, ♥9 | pair
♠A, ♣K, ♠Q, ♥8, ♦8 | pair
♠A, ♣K, ♣6, ♥8, ♦8 | pair
♠A, ♣K, ♦7, ♥8, ♦8 | pair
♠A, ♣K, ♦3, ♥8, ♦8 | pair
♠A, ♣K, ♥8, ♦8, ♥10 | pair
♠A, ♣K, ♥8, ♦8, ♥9 | pair
♠A, ♣10, ♠Q, ♣6, ♥10 | pair
♠A, ♣10, ♠Q, ♦7, ♥10 | pair
♠A, ♣10, ♠Q, ♦3, ♥10 | pair
♠A, ♣10, ♠Q, ♥8, ♦8 | pair
♠A, ♣10, ♠Q, ♥8, ♥10 | pair
♠A, ♣10, ♠Q, ♦8, ♥10 | pair
♠A, ♣10, ♠Q, ♥10, ♥9 | pair
♠A, ♣10, ♣6, ♦7, ♥10 | pair
♠A, ♣10, ♣6, ♦3, ♥10 | pair
♠A, ♣10, ♣6, ♥8, ♦8 | pair
♠A, ♣10, ♣6, ♥8, ♥10 | pair
♠A, ♣10, ♣6, ♦8, ♥10 | pair
♠A, ♣10, ♣6, ♥10, ♥9 | pair
♠A, ♣10, ♦7, ♦3, ♥10 | pair
♠A, ♣10, ♦7, ♥8, ♦8 | pair
♠A, ♣10, ♦7, ♥8, ♥10 | pair
♠A, ♣10, ♦7, ♦8, ♥10 | pair
♠A, ♣10, ♦7, ♥10, ♥9 | pair
♠A, ♣10, ♦3, ♥8, ♦8 | pair
♠A, ♣10, ♦3, ♥8, ♥10 | pair
♠A, ♣10, ♦3, ♦8, ♥10 | pair
♠A, ♣10, ♦3, ♥10, ♥9 | pair
♠A, ♣10, ♥8, ♦8, ♥10 | two pairs
♠A, ♣10, ♥8, ♦8, ♥9 | pair
♠A, ♣10, ♥8, ♥10, ♥9 | pair
♠A, ♣10, ♦8, ♥10, ♥9 | pair
♠A, ♠Q, ♣6, ♥8, ♦8 | pair
♠A, ♠Q, ♦7, ♥8, ♦8 | pair
♠A, ♠Q, ♦3, ♥8, ♦8 | pair
♠A, ♠Q, ♥8, ♦8, ♥10 | pair
♠A, ♠Q, ♥8, ♦8, ♥9 | pair
♠A, ♣6, ♦7, ♥8, ♦8 | pair
♠A, ♣6, ♦3, ♥8, ♦8 | pair
♠A, ♣6, ♥8, ♦8, ♥10 | pair
♠A, ♣6, ♥8, ♦8, ♥9 | pair
♠A, ♦7, ♦3, ♥8, ♦8 | pair
♠A, ♦7, ♥8, ♦8, ♥10 | pair
♠A, ♦7, ♥8, ♦8, ♥9 | pair
♠A, ♦3, ♥8, ♦8, ♥10 | pair
♠A, ♦3, ♥8, ♦8, ♥9 | pair
♠A, ♥8, ♦8, ♥10, ♥9 | pair
♦8, ♣K, ♣10, ♠Q, ♥8 | pair
♦8, ♣K, ♣10, ♠Q, ♦8 | pair
♦8, ♣K, ♣10, ♠Q, ♥10 | pair
♦8, ♣K, ♣10, ♣6, ♥8 | pair
♦8, ♣K, ♣10, ♣6, ♦8 | pair
♦8, ♣K, ♣10, ♣6, ♥10 | pair
♦8, ♣K, ♣10, ♦7, ♥8 | pair
♦8, ♣K, ♣10, ♦7, ♦8 | pair
♦8, ♣K, ♣10, ♦7, ♥10 | pair
♦8, ♣K, ♣10, ♦3, ♥8 | pair
♦8, ♣K, ♣10, ♦3, ♦8 | pair
♦8, ♣K, ♣10, ♦3, ♥10 | pair
♦8, ♣K, ♣10, ♥8, ♦8 | three of a kind
♦8, ♣K, ♣10, ♥8, ♥10 | two pairs
♦8, ♣K, ♣10, ♥8, ♥9 | pair
♦8, ♣K, ♣10, ♦8, ♥10 | two pairs
♦8, ♣K, ♣10, ♦8, ♥9 | pair
♦8, ♣K, ♣10, ♥10, ♥9 | pair
♦8, ♣K, ♠Q, ♣6, ♥8 | pair
♦8, ♣K, ♠Q, ♣6, ♦8 | pair
♦8, ♣K, ♠Q, ♦7, ♥8 | pair
♦8, ♣K, ♠Q, ♦7, ♦8 | pair
♦8, ♣K, ♠Q, ♦3, ♥8 | pair
♦8, ♣K, ♠Q, ♦3, ♦8 | pair
♦8, ♣K, ♠Q, ♥8, ♦8 | three of a kind
♦8, ♣K, ♠Q, ♥8, ♥10 | pair
♦8, ♣K, ♠Q, ♥8, ♥9 | pair
♦8, ♣K, ♠Q, ♦8, ♥10 | pair
♦8, ♣K, ♠Q, ♦8, ♥9 | pair
♦8, ♣K, ♣6, ♦7, ♥8 | pair
♦8, ♣K, ♣6, ♦7, ♦8 | pair
♦8, ♣K, ♣6, ♦3, ♥8 | pair
♦8, ♣K, ♣6, ♦3, ♦8 | pair
♦8, ♣K, ♣6, ♥8, ♦8 | three of a kind
♦8, ♣K, ♣6, ♥8, ♥10 | pair
♦8, ♣K, ♣6, ♥8, ♥9 | pair
♦8, ♣K, ♣6, ♦8, ♥10 | pair
♦8, ♣K, ♣6, ♦8, ♥9 | pair
♦8, ♣K, ♦7, ♦3, ♥8 | pair
♦8, ♣K, ♦7, ♦3, ♦8 | pair
♦8, ♣K, ♦7, ♥8, ♦8 | three of a kind
♦8, ♣K, ♦7, ♥8, ♥10 | pair
♦8, ♣K, ♦7, ♥8, ♥9 | pair
♦8, ♣K, ♦7, ♦8, ♥10 | pair
♦8, ♣K, ♦7, ♦8, ♥9 | pair
♦8, ♣K, ♦3, ♥8, ♦8 | three of a kind
♦8, ♣K, ♦3, ♥8, ♥10 | pair
♦8, ♣K, ♦3, ♥8, ♥9 | pair
♦8, ♣K, ♦3, ♦8, ♥10 | pair
♦8, ♣K, ♦3, ♦8, ♥9 | pair
♦8, ♣K, ♥8, ♦8, ♥10 | three of a kind
♦8, ♣K, ♥8, ♦8, ♥9 | three of a kind
♦8, ♣K, ♥8, ♥10, ♥9 | pair
♦8, ♣K, ♦8, ♥10, ♥9 | pair
♦8, ♣10, ♠Q, ♣6, ♥8 | pair
♦8, ♣10, ♠Q, ♣6, ♦8 | pair
♦8, ♣10, ♠Q, ♣6, ♥10 | pair
♦8, ♣10, ♠Q, ♦7, ♥8 | pair
♦8, ♣10, ♠Q, ♦7, ♦8 | pair
♦8, ♣10, ♠Q, ♦7, ♥10 | pair
♦8, ♣10, ♠Q, ♦3, ♥8 | pair
♦8, ♣10, ♠Q, ♦3, ♦8 | pair
♦8, ♣10, ♠Q, ♦3, ♥10 | pair
♦8, ♣10, ♠Q, ♥8, ♦8 | three of a kind
♦8, ♣10, ♠Q, ♥8, ♥10 | two pairs
♦8, ♣10, ♠Q, ♥8, ♥9 | pair
♦8, ♣10, ♠Q, ♦8, ♥10 | two pairs
♦8, ♣10, ♠Q, ♦8, ♥9 | pair
♦8, ♣10, ♠Q, ♥10, ♥9 | pair
♦8, ♣10, ♣6, ♦7, ♥8 | pair
♦8, ♣10, ♣6, ♦7, ♦8 | pair
♦8, ♣10, ♣6, ♦7, ♥10 | pair
♦8, ♣10, ♣6, ♦7, ♥9 | straight
♦8, ♣10, ♣6, ♦3, ♥8 | pair
♦8, ♣10, ♣6, ♦3, ♦8 | pair
♦8, ♣10, ♣6, ♦3, ♥10 | pair
♦8, ♣10, ♣6, ♥8, ♦8 | three of a kind
♦8, ♣10, ♣6, ♥8, ♥10 | two pairs
♦8, ♣10, ♣6, ♥8, ♥9 | pair
♦8, ♣10, ♣6, ♦8, ♥10 | two pairs
♦8, ♣10, ♣6, ♦8, ♥9 | pair
♦8, ♣10, ♣6, ♥10, ♥9 | pair
♦8, ♣10, ♦7, ♦3, ♥8 | pair
♦8, ♣10, ♦7, ♦3, ♦8 | pair
♦8, ♣10, ♦7, ♦3, ♥10 | pair
♦8, ♣10, ♦7, ♥8, ♦8 | three of a kind
♦8, ♣10, ♦7, ♥8, ♥10 | two pairs
♦8, ♣10, ♦7, ♥8, ♥9 | pair
♦8, ♣10, ♦7, ♦8, ♥10 | two pairs
♦8, ♣10, ♦7, ♦8, ♥9 | pair
♦8, ♣10, ♦7, ♥10, ♥9 | pair
♦8, ♣10, ♦3, ♥8, ♦8 | three of a kind
♦8, ♣10, ♦3, ♥8, ♥10 | two pairs
♦8, ♣10, ♦3, ♥8, ♥9 | pair
♦8, ♣10, ♦3, ♦8, ♥10 | two pairs
♦8, ♣10, ♦3, ♦8, ♥9 | pair
♦8, ♣10, ♦3, ♥10, ♥9 | pair
♦8, ♣10, ♥8, ♦8, ♥10 | fullhouse
♦8, ♣10, ♥8, ♦8, ♥9 | three of a kind
♦8, ♣10, ♥8, ♥10, ♥9 | two pairs
♦8, ♣10, ♦8, ♥10, ♥9 | two pairs
♦8, ♠Q, ♣6, ♦7, ♥8 | pair
♦8, ♠Q, ♣6, ♦7, ♦8 | pair
♦8, ♠Q, ♣6, ♦3, ♥8 | pair
♦8, ♠Q, ♣6, ♦3, ♦8 | pair
♦8, ♠Q, ♣6, ♥8, ♦8 | three of a kind
♦8, ♠Q, ♣6, ♥8, ♥10 | pair
♦8, ♠Q, ♣6, ♥8, ♥9 | pair
♦8, ♠Q, ♣6, ♦8, ♥10 | pair
♦8, ♠Q, ♣6, ♦8, ♥9 | pair
♦8, ♠Q, ♦7, ♦3, ♥8 | pair
♦8, ♠Q, ♦7, ♦3, ♦8 | pair
♦8, ♠Q, ♦7, ♥8, ♦8 | three of a kind
♦8, ♠Q, ♦7, ♥8, ♥10 | pair
♦8, ♠Q, ♦7, ♥8, ♥9 | pair
♦8, ♠Q, ♦7, ♦8, ♥10 | pair
♦8, ♠Q, ♦7, ♦8, ♥9 | pair
♦8, ♠Q, ♦3, ♥8, ♦8 | three of a kind
♦8, ♠Q, ♦3, ♥8, ♥10 | pair
♦8, ♠Q, ♦3, ♥8, ♥9 | pair
♦8, ♠Q, ♦3, ♦8, ♥10 | pair
♦8, ♠Q, ♦3, ♦8, ♥9 | pair
♦8, ♠Q, ♥8, ♦8, ♥10 | three of a kind
♦8, ♠Q, ♥8, ♦8, ♥9 | three of a kind
♦8, ♠Q, ♥8, ♥10, ♥9 | pair
♦8, ♠Q, ♦8, ♥10, ♥9 | pair
♦8, ♣6, ♦7, ♦3, ♥8 | pair
♦8, ♣6, ♦7, ♦3, ♦8 | pair
♦8, ♣6, ♦7, ♥8, ♦8 | three of a kind
♦8, ♣6, ♦7, ♥8, ♥10 | pair
♦8, ♣6, ♦7, ♥8, ♥9 | pair
♦8, ♣6, ♦7, ♦8, ♥10 | pair
♦8, ♣6, ♦7, ♦8, ♥9 | pair
♦8, ♣6, ♦7, ♥10, ♥9 | straight
♦8, ♣6, ♦3, ♥8, ♦8 | three of a kind
♦8, ♣6, ♦3, ♥8, ♥10 | pair
♦8, ♣6, ♦3, ♥8, ♥9 | pair
♦8, ♣6, ♦3, ♦8, ♥10 | pair
♦8, ♣6, ♦3, ♦8, ♥9 | pair
♦8, ♣6, ♥8, ♦8, ♥10 | three of a kind
♦8, ♣6, ♥8, ♦8, ♥9 | three of a kind
♦8, ♣6, ♥8, ♥10, ♥9 | pair
♦8, ♣6, ♦8, ♥10, ♥9 | pair
♦8, ♦7, ♦3, ♥8, ♦8 | three of a kind
♦8, ♦7, ♦3, ♥8, ♥10 | pair
♦8, ♦7, ♦3, ♥8, ♥9 | pair
♦8, ♦7, ♦3, ♦8, ♥10 | pair
♦8, ♦7, ♦3, ♦8, ♥9 | pair
♦8, ♦7, ♥8, ♦8, ♥10 | three of a kind
♦8, ♦7, ♥8, ♦8, ♥9 | three of a kind
♦8, ♦7, ♥8, ♥10, ♥9 | pair
♦8, ♦7, ♦8, ♥10, ♥9 | pair
♦8, ♦3, ♥8, ♦8, ♥10 | three of a kind
♦8, ♦3, ♥8, ♦8, ♥9 | three of a kind
♦8, ♦3, ♥8, ♥10, ♥9 | pair
♦8, ♦3, ♦8, ♥10, ♥9 | pair
♦8, ♥8, ♦8, ♥10, ♥9 | three of a kind
♣K, ♣10, ♠Q, ♣6, ♥10 | pair
♣K, ♣10, ♠Q, ♦7, ♥10 | pair
♣K, ♣10, ♠Q, ♦3, ♥10 | pair
♣K, ♣10, ♠Q, ♥8, ♦8 | pair
♣K, ♣10, ♠Q, ♥8, ♥10 | pair
♣K, ♣10, ♠Q, ♦8, ♥10 | pair
♣K, ♣10, ♠Q, ♥10, ♥9 | pair
♣K, ♣10, ♣6, ♦7, ♥10 | pair
♣K, ♣10, ♣6, ♦3, ♥10 | pair
♣K, ♣10, ♣6, ♥8, ♦8 | pair
♣K, ♣10, ♣6, ♥8, ♥10 | pair
♣K, ♣10, ♣6, ♦8, ♥10 | pair
♣K, ♣10, ♣6, ♥10, ♥9 | pair
♣K, ♣10, ♦7, ♦3, ♥10 | pair
♣K, ♣10, ♦7, ♥8, ♦8 | pair
♣K, ♣10, ♦7, ♥8, ♥10 | pair
♣K, ♣10, ♦7, ♦8, ♥10 | pair
♣K, ♣10, ♦7, ♥10, ♥9 | pair
♣K, ♣10, ♦3, ♥8, ♦8 | pair
♣K, ♣10, ♦3, ♥8, ♥10 | pair
♣K, ♣10, ♦3, ♦8, ♥10 | pair
♣K, ♣10, ♦3, ♥10, ♥9 | pair
♣K, ♣10, ♥8, ♦8, ♥10 | two pairs
♣K, ♣10, ♥8, ♦8, ♥9 | pair
♣K, ♣10, ♥8, ♥10, ♥9 | pair
♣K, ♣10, ♦8, ♥10, ♥9 | pair
♣K, ♠Q, ♣6, ♥8, ♦8 | pair
♣K, ♠Q, ♦7, ♥8, ♦8 | pair
♣K, ♠Q, ♦3, ♥8, ♦8 | pair
♣K, ♠Q, ♥8, ♦8, ♥10 | pair
♣K, ♠Q, ♥8, ♦8, ♥9 | pair
♣K, ♣6, ♦7, ♥8, ♦8 | pair
♣K, ♣6, ♦3, ♥8, ♦8 | pair
♣K, ♣6, ♥8, ♦8, ♥10 | pair
♣K, ♣6, ♥8, ♦8, ♥9 | pair
♣K, ♦7, ♦3, ♥8, ♦8 | pair
♣K, ♦7, ♥8, ♦8, ♥10 | pair
♣K, ♦7, ♥8, ♦8, ♥9 | pair
♣K, ♦3, ♥8, ♦8, ♥10 | pair
♣K, ♦3, ♥8, ♦8, ♥9 | pair
♣K, ♥8, ♦8, ♥10, ♥9 | pair
♣10, ♠Q, ♣6, ♦7, ♥10 | pair
♣10, ♠Q, ♣6, ♦3, ♥10 | pair
♣10, ♠Q, ♣6, ♥8, ♦8 | pair
♣10, ♠Q, ♣6, ♥8, ♥10 | pair
♣10, ♠Q, ♣6, ♦8, ♥10 | pair
♣10, ♠Q, ♣6, ♥10, ♥9 | pair
♣10, ♠Q, ♦7, ♦3, ♥10 | pair
♣10, ♠Q, ♦7, ♥8, ♦8 | pair
♣10, ♠Q, ♦7, ♥8, ♥10 | pair
♣10, ♠Q, ♦7, ♦8, ♥10 | pair
♣10, ♠Q, ♦7, ♥10, ♥9 | pair
♣10, ♠Q, ♦3, ♥8, ♦8 | pair
♣10, ♠Q, ♦3, ♥8, ♥10 | pair
♣10, ♠Q, ♦3, ♦8, ♥10 | pair
♣10, ♠Q, ♦3, ♥10, ♥9 | pair
♣10, ♠Q, ♥8, ♦8, ♥10 | two pairs
♣10, ♠Q, ♥8, ♦8, ♥9 | pair
♣10, ♠Q, ♥8, ♥10, ♥9 | pair
♣10, ♠Q, ♦8, ♥10, ♥9 | pair
♣10, ♣6, ♦7, ♦3, ♥10 | pair
♣10, ♣6, ♦7, ♥8, ♦8 | pair
♣10, ♣6, ♦7, ♥8, ♥10 | pair
♣10, ♣6, ♦7, ♥8, ♥9 | straight
♣10, ♣6, ♦7, ♦8, ♥10 | pair
♣10, ♣6, ♦7, ♦8, ♥9 | straight
♣10, ♣6, ♦7, ♥10, ♥9 | pair
♣10, ♣6, ♦3, ♥8, ♦8 | pair
♣10, ♣6, ♦3, ♥8, ♥10 | pair
♣10, ♣6, ♦3, ♦8, ♥10 | pair
♣10, ♣6, ♦3, ♥10, ♥9 | pair
♣10, ♣6, ♥8, ♦8, ♥10 | two pairs
♣10, ♣6, ♥8, ♦8, ♥9 | pair
♣10, ♣6, ♥8, ♥10, ♥9 | pair
♣10, ♣6, ♦8, ♥10, ♥9 | pair
♣10, ♦7, ♦3, ♥8, ♦8 | pair
♣10, ♦7, ♦3, ♥8, ♥10 | pair
♣10, ♦7, ♦3, ♦8, ♥10 | pair
♣10, ♦7, ♦3, ♥10, ♥9 | pair
♣10, ♦7, ♥8, ♦8, ♥10 | two pairs
♣10, ♦7, ♥8, ♦8, ♥9 | pair
♣10, ♦7, ♥8, ♥10, ♥9 | pair
♣10, ♦7, ♦8, ♥10, ♥9 | pair
♣10, ♦3, ♥8, ♦8, ♥10 | two pairs
♣10, ♦3, ♥8, ♦8, ♥9 | pair
♣10, ♦3, ♥8, ♥10, ♥9 | pair
♣10, ♦3, ♦8, ♥10, ♥9 | pair
♣10, ♥8, ♦8, ♥10, ♥9 | two pairs
♠Q, ♣6, ♦7, ♥8, ♦8 | pair
♠Q, ♣6, ♦3, ♥8, ♦8 | pair
♠Q, ♣6, ♥8, ♦8, ♥10 | pair
♠Q, ♣6, ♥8, ♦8, ♥9 | pair
♠Q, ♦7, ♦3, ♥8, ♦8 | pair
♠Q, ♦7, ♥8, ♦8, ♥10 | pair
♠Q, ♦7, ♥8, ♦8, ♥9 | pair
♠Q, ♦3, ♥8, ♦8, ♥10 | pair
♠Q, ♦3, ♥8, ♦8, ♥9 | pair
♠Q, ♥8, ♦8, ♥10, ♥9 | pair
♣6, ♦7, ♦3, ♥8, ♦8 | pair
♣6, ♦7, ♥8, ♦8, ♥10 | pair
♣6, ♦7, ♥8, ♦8, ♥9 | pair
♣6, ♦7, ♥8, ♥10, ♥9 | straight
♣6, ♦7, ♦8, ♥10, ♥9 | straight
♣6, ♦3, ♥8, ♦8, ♥10 | pair
♣6, ♦3, ♥8, ♦8, ♥9 | pair
♣6, ♥8, ♦8, ♥10, ♥9 | pair
♦7, ♦3, ♥8, ♦8, ♥10 | pair
♦7, ♦3, ♥8, ♦8, ♥9 | pair
♦7, ♥8, ♦8, ♥10, ♥9 | pair
♦3, ♥8, ♦8, ♥10, ♥9 | pair
